url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://peru.com/actualidad/internacionales/aslan-y-operacion-que-le-devolvio-su-mordida-leon-fotos-noticia-341484,peru.com,2015-03-31,Panama,Kukident/NP00000/kukident, Kukident  fue  la  encargada  de  operar  a  un  león  de  nueve  años  y  quitarle  los  restos  de  dientes  podridos  que  afectaban  su  vida  normal  .,kukident,np00000,kukident,,,,,,,,,,,,,,,,fue,ser,VSIS3S0,la,el,DA0FS0,encargada,encargado,NCFS000,de,de,SPS00,operar,operar,VMN0000,2015-03-31,2015,2010,,,,,,Kukident VSIS3S0 DA0FS0,Kukident VSIS3S0 DA0FS0 NCFS000,Kukident VSIS3S0 DA0FS0 NCFS000 SPS00,,,,,,Kukident ser el,Kukident ser el encargado,Kukident ser el encargado de
http://www.tribunaburgos.com/noticias/la-emocionante-historia-de-aslan-el-leon-sin-colmillos/1427884163/,tribunaburgos.com,2015-04-01,===NONE===,Kukident/NP00000/kukident,"Aslan  era  un  león  blanco  sin  colmillos  ,  cuya  historia  ha  dado  la  vuelta  al  mundo  de  la  mano  de Kukident  ,  quien  emprendió  una  campaña  para  devolverle  su  fuerza  al  morder  y  salvarle  así  la  vida  ,  en  peligro  por  su  incapacidad  para  cazar  y  alimentarse  .",kukident,np00000,kukident,de,de,SPS00,mano,mano,NCFS000,la,el,DA0FS0,de,de,SPS00,mundo,mundo,NCMS000,",",",",Fc,quien,quien,PR0CS000,emprendió,emprender,VMIS3S0,una,uno,DI0FS0,campaña,campaña,NCFS000,2015-04-01,2015,2010,NCFS000 SPS00 Kukident Fc PR0CS000,SPS00 Kukident Fc,NCFS000 SPS00 Kukident,DA0FS0 NCFS000 SPS00 Kukident,SPS00 DA0FS0 NCFS000 SPS00 Kukident,Kukident Fc PR0CS000,Kukident Fc PR0CS000 VMIS3S0,Kukident Fc PR0CS000 VMIS3S0 DI0FS0,"mano de Kukident , quien","de Kukident ,",mano de Kukident,el mano de Kukident,de el mano de Kukident,"Kukident , quien","Kukident , quien emprender","Kukident , quien emprender uno"
http://www.lacronicabadajoz.com/noticias/sociedad/aslan-leon-blanco-mas-famoso-manada_184777.html,lacronicabadajoz.com,2015-04-01,===NONE===,Kukident/NP00000/kukident,"Esta  historia  llegó  a  los  oídos  de  la  marca  líder  de  adhesivos  para  dentaduras  postizas Kukident  ,  que  no  dudó  en  emprender  una  campaña  para  devolverle  la  vida  a  Aslan  y  que  este  pudiera  volver  a  morder  con  fuerza  .",kukident,np00000,kukident,postizas,postizo,AQ0FP0,dentaduras,dentadura,NCFP000,para,para,SPS00,adhesivos,adhesivo,NCMP000,de,de,SPS00,",",",",Fc,que,que,PR0CN000,no,no,RN,dudó,dudar,VMIS3S0,en,en,SPS00,2015-04-01,2015,2010,NCFP000 AQ0FP0 Kukident Fc PR0CN000,AQ0FP0 Kukident Fc,NCFP000 AQ0FP0 Kukident,SPS00 NCFP000 AQ0FP0 Kukident,NCMP000 SPS00 NCFP000 AQ0FP0 Kukident,Kukident Fc PR0CN000,Kukident Fc PR0CN000 RN,Kukident Fc PR0CN000 RN VMIS3S0,"dentadura postizo Kukident , que","postizo Kukident ,",dentadura postizo Kukident,para dentadura postizo Kukident,adhesivo para dentadura postizo Kukident,"Kukident , que","Kukident , que no","Kukident , que no dudar"
http://www.quo.es/naturaleza/quien-le-arregla-los-dientes-a-un-leon,quo.es,2015-04-02,Spain,Kukident/NP00000/kukident,"El  experto  en  leones  Kevin  Richardson  ,  director  del  parque  ,  ya  se  había  dado  cuenta  de  los  problemas  dentales  del  animal  ,  cuando  recibió  una  oferta  de  la  marca  de  adhesivos  dentales Kukident  para  sufragar  la  instalación  de  un  quirófano  temporal  adecuado  y  devolver  a  Aslan  la  capacidad  de  morder  con  fuerza  .",kukident,np00000,kukident,dentales,dental,AQ0CP0,adhesivos,adhesivo,NCMP000,de,de,SPS00,marca,marca,NCFS000,la,el,DA0FS0,para,para,SPS00,sufragar,sufragar,VMN0000,la,el,DA0FS0,instalación,instalación,NCFS000,de,de,SPS00,2015-04-02,2015,2010,NCMP000 AQ0CP0 Kukident SPS00 VMN0000,AQ0CP0 Kukident SPS00,NCMP000 AQ0CP0 Kukident,SPS00 NCMP000 AQ0CP0 Kukident,NCFS000 SPS00 NCMP000 AQ0CP0 Kukident,Kukident SPS00 VMN0000,Kukident SPS00 VMN0000 DA0FS0,Kukident SPS00 VMN0000 DA0FS0 NCFS000,adhesivo dental Kukident para sufragar,dental Kukident para,adhesivo dental Kukident,de adhesivo dental Kukident,marca de adhesivo dental Kukident,Kukident para sufragar,Kukident para sufragar el,Kukident para sufragar el instalación
http://www.eleconomista.es/espana/noticias/7904290/10/16/Nagusi-inicia-este-viernes-su-vigesima-edicion-con-47-expositores-y-actividades-para-los-mayores.html,eleconomista.es,2016-10-20,Spain,Kukident/NP00000/kukident,"Los  expositores  proceden  principalmente  de  Bizkaia  ,  Madrid  ,  Gipuzkoa  ,  Álava  ,  Alicante  ,  Cataluña  y  Pontevedra  ,  aunque  también  participan  empresas  multinacionales  como  L'Oreal  , Kukident  ,  Colnatur  ,  y  el  Instituto  Burmuin  .",kukident,np00000,kukident,",",",",Fc,L'Oreal,l'oreal,NP00000,como,como,CS,multinacionales,multinacional,AQ0CP0,empresas,empresa,NCFP000,",",",",Fc,Colnatur,colnatur,NP00000,",",",",Fc,y,y,CC,el,el,DA0MS0,2016-10-20,2016,2010,NP00000 Fc Kukident Fc NP00000,Fc Kukident Fc,NP00000 Fc Kukident,CS NP00000 Fc Kukident,AQ0CP0 CS NP00000 Fc Kukident,Kukident Fc NP00000,Kukident Fc NP00000 Fc,Kukident Fc NP00000 Fc CC,"l'oreal , Kukident , colnatur",", Kukident ,","l'oreal , Kukident","como l'oreal , Kukident","multinacional como l'oreal , Kukident","Kukident , colnatur","Kukident , colnatur ,","Kukident , colnatur , y"
http://www.elperiodico.com/es/opinion/20171012/el-racismo-normalizado-articulo-sonia-herrera-6349168,elperiodico.com,2017-10-12,===NONE===,Kukident/NP00000/kukident,"esto  es  lo  que  he  encontrado  :  Gucci  ,  mujeres  blancas  ,  jóvenes  ,  delgadas  ;  Dormidina  ,  hombres  y  mujeres  blancos  ;  Chanel  ,  mujer  blanca  joven  ;  Línea  Directa  ,  hombres  y  mujeres  blancos  ;  Findus  ,  familia  blanca  a  lo  sitcom  ;  Max  Factor  ,  mujer  blanca  y  joven  ;  Mikado  ,  mujer  y  hombre  blancos  ;  Dentix  ,  mujer  mayor  ,  también  blanca  ;  Vivus  ,  hombre  blanco  maduro  ;  Puleva  ,  tres  niños  ,  una  niña  ,  abuelo  ,  abuela  ,  padre  y  madre  blancos  en  casa  con  jardín  (  todo  muy  normativo  )  ; Kukident  ,  mujer  blanca  madura  ;  Tesa  ,  hombres  blancos  de  unos  40  ;  Valor  ,  mujer  blanca  guapísima  anunciando  chocolate  sin  azúcar  ;  Boss  ,  hombre  blanco  ,  joven  ,  guapo  ,  elegante  ;  Nutrisse  ,  mujeres  blancas  ,  también  muy  guapas  y  divinas  ...  Y  podría  seguir  .",kukident,np00000,kukident,;,;,Fx,),),Fpt,normativo,normativo,AQ0MS0,muy,muy,RG,todo,todo,PI0MS000,",",",",Fc,mujer,mujer,NCFS000,blanca,blanco,AQ0FS0,madura,maduro,AQ0FS0,;,;,Fx,2017-10-12,2017,2010,Fpt Fx Kukident Fc NCFS000,Fx Kukident Fc,Fpt Fx Kukident,AQ0MS0 Fpt Fx Kukident,RG AQ0MS0 Fpt Fx Kukident,Kukident Fc NCFS000,Kukident Fc NCFS000 AQ0FS0,Kukident Fc NCFS000 AQ0FS0 AQ0FS0,") ; Kukident , mujer","; Kukident ,",) ; Kukident,normativo ) ; Kukident,muy normativo ) ; Kukident,"Kukident , mujer","Kukident , mujer blanco","Kukident , mujer blanco maduro"
http://eldia.es/2018-01-10/economia/20-Farmacia-Alcoy-Alicante-progresion-online.htm,eldia.es,2018-01-10,Spain,Kukident/NP00000/kukident,"Cuentan  con  el  apoyo  de  muchas  marcas  conocidas  ,  las  cuales  les  suministran  todos  los  artículos  necesarios  para  su  venta  online  ,  algunas  de  estas  marcas  son  :  A-Derma  ,  After  Bite  ,  Evax  ,  Just  For  Men  , Kukident  ,  Lacer  ,  Novalac  ,  Oral-B  ,  Pedikur  o  Rosacure  entre  muchos  otros  .",kukident,np00000,kukident,",",",",Fc,Men,men,NP00000,For,for,NP00000,Just,just,NP00000,",",",",Fc,",",",",Fc,Lacer,lacer,NP00000,",",",",Fc,Novalac,novalac,NP00000,",",",",Fc,2018-01-10,2018,2010,NP00000 Fc Kukident Fc NP00000,Fc Kukident Fc,NP00000 Fc Kukident,NP00000 NP00000 Fc Kukident,NP00000 NP00000 NP00000 Fc Kukident,Kukident Fc NP00000,Kukident Fc NP00000 Fc,Kukident Fc NP00000 Fc NP00000,"men , Kukident , lacer",", Kukident ,","men , Kukident","for men , Kukident","just for men , Kukident","Kukident , lacer","Kukident , lacer ,","Kukident , lacer , novalac"
http://www.bbc.com/mundo/noticias-44329018,bbc.com,2018-06-05,United Kingdom,Kukident/NP00000/kukident,"No  fue  hasta  mediados  del  siglo  XX  que  el  bisnieto  de  Reinmann  ,  Albert  ,  introdujo  nuevos  productos  como  el  adhesivo  para  prótesis  dentales Kukident  y  el  lavavajillas  Calgonit  ,  según  Bloomberg  .",kukident,np00000,kukident,dentales,dental,AQ0CP0,prótesis,prótesis,NCFN000,para,para,SPS00,adhesivo,adhesivo,NCMS000,el,el,DA0MS0,y,y,CC,el,el,DA0MS0,lavavajillas,lavavajillas,NCMN000,Calgonit,calgonit,NP00000,",",",",Fc,2018-06-05,2018,2010,NCFN000 AQ0CP0 Kukident CC DA0MS0,AQ0CP0 Kukident CC,NCFN000 AQ0CP0 Kukident,SPS00 NCFN000 AQ0CP0 Kukident,NCMS000 SPS00 NCFN000 AQ0CP0 Kukident,Kukident CC DA0MS0,Kukident CC DA0MS0 NCMN000,Kukident CC DA0MS0 NCMN000 NP00000,prótesis dental Kukident y el,dental Kukident y,prótesis dental Kukident,para prótesis dental Kukident,adhesivo para prótesis dental Kukident,Kukident y el,Kukident y el lavavajillas,Kukident y el lavavajillas calgonit
https://www.df.cl/noticias/empresas/multinacionales/familia-duena-de-krispy-kreme-donuts-confronta-su-pasado-nazi/2019-03-25/175547.html,df.cl,2019-03-25,Chile,Kukident/NP00000/kukident,"Durante  las  décadas  de  1950  y  1960  ,  Reimann  Jr.  transformó  el  negocio  ,  introduciendo  productos  como  la  crema  adhesiva Kukident  en  1962  y  el  detergente  para  lavavajillas  Calgonit  en  1964  .",kukident,np00000,kukident,adhesiva,adhesivo,AQ0FS0,crema,crema,NCFS000,la,el,DA0FS0,como,como,CS,productos,producto,AQ0MP0,en,en,SPS00,1962,1962,Z,y,y,CC,el,el,DA0MS0,detergente,detergente,NCMS000,2019-03-25,2019,2010,NCFS000 AQ0FS0 Kukident SPS00 Z,AQ0FS0 Kukident SPS00,NCFS000 AQ0FS0 Kukident,DA0FS0 NCFS000 AQ0FS0 Kukident,CS DA0FS0 NCFS000 AQ0FS0 Kukident,Kukident SPS00 Z,Kukident SPS00 Z CC,Kukident SPS00 Z CC DA0MS0,crema adhesivo Kukident en 1962,adhesivo Kukident en,crema adhesivo Kukident,el crema adhesivo Kukident,como el crema adhesivo Kukident,Kukident en 1962,Kukident en 1962 y,Kukident en 1962 y el
https://www.europapress.es/chance/belleza/noticia-tratar-urgencias-dentales-casa-epoca-confinamiento-20200328144015.html,europapress.es,2020-03-28,Spain,Kukident/NP00000/kukident,"""  Lo  que  sí  puede  ser  una  solución  temporal  es  recurrir  a  fijadores  de  dentadura  (  Corega  , Kukident  ...  )  hasta  que  sea  posible  ir  a  una  clínica  dental  ""  ,  recomienda  el  dentista  .",kukident,np00000,kukident,",",",",Fc,Corega,corega,NP00000,(,(,Fpa,dentadura,dentadura,NCFS000,de,de,SPS00,...,...,Fs,),),Fpt,hasta,hasta,SPS00,que,que,CS,sea,ser,VSSP1S0,2020-03-28,2020,2020,NP00000 Fc Kukident Fs Fpt,Fc Kukident Fs,NP00000 Fc Kukident,Fpa NP00000 Fc Kukident,NCFS000 Fpa NP00000 Fc Kukident,Kukident Fs Fpt,Kukident Fs Fpt SPS00,Kukident Fs Fpt SPS00 CS,"corega , Kukident ... )",", Kukident ...","corega , Kukident","( corega , Kukident","dentadura ( corega , Kukident",Kukident ... ),Kukident ... ) hasta,Kukident ... ) hasta que
