url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"En  tanto  , Kärcher  ,  el  líder  en  soluciones  de  limpieza  ,  junto  al  equipo  X-raid  se  presentó  en  el  Village  Dakar  de  Rosario  junto  a  la  participaciçon  de  los  pilotos  más  importantes  del  Rally  .",kärcher,np00000,kärcher,",",",",Fc,tanto,tanto,RG,En,en,SPS00,,,,,,,",",",",Fc,el,el,DA0MS0,líder,líder,NCCS000,en,en,SPS00,soluciones,solución,NCFP000,2014-01-03,2014,2010,RG Fc Kärcher Fc DA0MS0,Fc Kärcher Fc,RG Fc Kärcher,SPS00 RG Fc Kärcher,,Kärcher Fc DA0MS0,Kärcher Fc DA0MS0 NCCS000,Kärcher Fc DA0MS0 NCCS000 SPS00,"tanto , Kärcher , el",", Kärcher ,","tanto , Kärcher","en tanto , Kärcher",,"Kärcher , el","Kärcher , el líder","Kärcher , el líder en"
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"En  tanto  , Kärcher  ,  el  líder  en  soluciones  de  limpieza  ,  junto  al  equipo  X-raid  se  presentó  en  el  Village  Dakar  de  Rosario  .",kärcher,np00000,kärcher,",",",",Fc,tanto,tanto,RG,En,en,SPS00,,,,,,,",",",",Fc,el,el,DA0MS0,líder,líder,NCCS000,en,en,SPS00,soluciones,solución,NCFP000,2014-01-03,2014,2010,RG Fc Kärcher Fc DA0MS0,Fc Kärcher Fc,RG Fc Kärcher,SPS00 RG Fc Kärcher,,Kärcher Fc DA0MS0,Kärcher Fc DA0MS0 NCCS000,Kärcher Fc DA0MS0 NCCS000 SPS00,"tanto , Kärcher , el",", Kärcher ,","tanto , Kärcher","en tanto , Kärcher",,"Kärcher , el","Kärcher , el líder","Kärcher , el líder en"
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"También  estuvo  presente  Juan  Cruz  Dato  ,  generente  General  de Kärcher  Argentina  .",kärcher,np00000,kärcher,de,de,SPS00,General,general,NP00000,generente,generar+te,VMM03P0+PP2CS000,",",",",Fc,Dato,dato,NP00000,Argentina,argentina,NP00000,.,.,Fp,,,,,,,,,,2014-01-03,2014,2010,NP00000 SPS00 Kärcher NP00000 Fp,SPS00 Kärcher NP00000,NP00000 SPS00 Kärcher,VMM03P0+PP2CS000 NP00000 SPS00 Kärcher,Fc VMM03P0+PP2CS000 NP00000 SPS00 Kärcher,Kärcher NP00000 Fp,,,general de Kärcher argentina .,de Kärcher argentina,general de Kärcher,generar+te general de Kärcher,", generar+te general de Kärcher",Kärcher argentina .,,
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"Por  tercer  año  consecutivo  , Kärcher  es  proveedor  oficial  del  Rally  Dakar  .",kärcher,np00000,kärcher,",",",",Fc,consecutivo,consecutivo,AQ0MS0,año,año,NCMS000,tercer,3,AO0MS0,Por,por,SPS00,es,ser,VSIP3S0,proveedor,proveedor,NCMS000,oficial,oficial,AQ0CS0,del,de+el,SPS00+DA0MS0,Rally,rally,NP00000,2014-01-03,2014,2010,AQ0MS0 Fc Kärcher VSIP3S0 NCMS000,Fc Kärcher VSIP3S0,AQ0MS0 Fc Kärcher,NCMS000 AQ0MS0 Fc Kärcher,AO0MS0 NCMS000 AQ0MS0 Fc Kärcher,Kärcher VSIP3S0 NCMS000,Kärcher VSIP3S0 NCMS000 AQ0CS0,Kärcher VSIP3S0 NCMS000 AQ0CS0 SPS00+DA0MS0,"consecutivo , Kärcher ser proveedor",", Kärcher ser","consecutivo , Kärcher","año consecutivo , Kärcher","3 año consecutivo , Kärcher",Kärcher ser proveedor,Kärcher ser proveedor oficial,Kärcher ser proveedor oficial de+el
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"Estos  son  los  valores  con  los  que  se  identifica Kärcher  y  por  los  cuales  realiza  una  fuerte  apuesta  en  el  Dakar  .  ""  Tal  como  lo  hicimos  en  las  anteriores  dos  ediciones  ,  este  año  volvemos  a  apoyar  a  los  pilotos  de  X-raid  que  buscan  repetir  la  historia  y  subir  al  podio  de  los  campeones  ""  ,  expresó  el  directivo  de  Kärcher  .",kärcher,np00000,kärcher,identifica,identificar,VMIP3S0,se,se,P00CN000,que,que,PR0CN000,los,el,DA0MP0,con,con,SPS00,y,y,CC,por,por,SPS00,los,el,DA0MP0,cuales,cual,PR0CP000,realiza,realizar,VMIP3S0,2014-01-03,2014,2010,P00CN000 VMIP3S0 Kärcher CC SPS00,VMIP3S0 Kärcher CC,P00CN000 VMIP3S0 Kärcher,PR0CN000 P00CN000 VMIP3S0 Kärcher,DA0MP0 PR0CN000 P00CN000 VMIP3S0 Kärcher,Kärcher CC SPS00,Kärcher CC SPS00 DA0MP0,Kärcher CC SPS00 DA0MP0 PR0CP000,se identificar Kärcher y por,identificar Kärcher y,se identificar Kärcher,que se identificar Kärcher,el que se identificar Kärcher,Kärcher y por,Kärcher y por el,Kärcher y por el cual
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"Estos  son  los  valores  con  los  que  se  identifica  Kärcher  y  por  los  cuales  realiza  una  fuerte  apuesta  en  el  Dakar  .  ""  Tal  como  lo  hicimos  en  las  anteriores  dos  ediciones  ,  este  año  volvemos  a  apoyar  a  los  pilotos  de  X-raid  que  buscan  repetir  la  historia  y  subir  al  podio  de  los  campeones  ""  ,  expresó  el  directivo  de Kärcher  .",kärcher,np00000,kärcher,de,de,SPS00,directivo,directivo,NCMS000,el,el,DA0MS0,expresó,expresar,VMIS3S0,",",",",Fc,.,.,Fp,,,,,,,,,,,,,2014-01-03,2014,2010,,SPS00 Kärcher Fp,NCMS000 SPS00 Kärcher,DA0MS0 NCMS000 SPS00 Kärcher,VMIS3S0 DA0MS0 NCMS000 SPS00 Kärcher,,,,,de Kärcher .,directivo de Kärcher,el directivo de Kärcher,expresar el directivo de Kärcher,,,
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"Durante  la  sexta  edición  del  Dakar  en  América  del  Sur  , Kärcher  cubrirá  el  recorrido  que  unirá  Argentina  ,  Bolivia  y  Chile  con  4  centros  de  lavado  repartidos  en  :  San  Juan  y  Salta  en  Argentina  ;  y  Antofagasta  y  La  Serena  en  Chile  .",kärcher,np00000,kärcher,",",",",Fc,Sur,sur,NP00000,del,de+el,SPS00+DA0MS0,América,américa,NP00000,en,en,SPS00,cubrirá,cubrir,VMIF3S0,el,el,DA0MS0,recorrido,recorrido,NCMS000,que,que,PR0CN000,unirá,unir,VMIF3S0,2014-01-03,2014,2010,NP00000 Fc Kärcher VMIF3S0 DA0MS0,Fc Kärcher VMIF3S0,NP00000 Fc Kärcher,SPS00+DA0MS0 NP00000 Fc Kärcher,NP00000 SPS00+DA0MS0 NP00000 Fc Kärcher,Kärcher VMIF3S0 DA0MS0,Kärcher VMIF3S0 DA0MS0 NCMS000,Kärcher VMIF3S0 DA0MS0 NCMS000 PR0CN000,"sur , Kärcher cubrir el",", Kärcher cubrir","sur , Kärcher","de+el sur , Kärcher","américa de+el sur , Kärcher",Kärcher cubrir el,Kärcher cubrir el recorrido,Kärcher cubrir el recorrido que
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,"Los  centros  de  lavado Kärcher  estarán  equipados  con  hidrolavadoras  de  gran  potencia  -  HD  1040  B  ,  G  2600  ,  G  4000  y  Xpert  HD  7140  -  que  permiten  un  ahorro  de  agua  de  aproximadamente  un  80  %  si  lo  comparamos  con  los  lavados  tradicionales  .",kärcher,np00000,kärcher,lavado,lavado,NCMS000,de,de,SPS00,centros,centro,NCMP000,Los,el,DA0MP0,,,,estarán,estar,VAIF3P0,equipados,equipar,VMP00PM,con,con,SPS00,hidrolavadoras,hidrolavadora,NCFP000,de,de,SPS00,2014-01-03,2014,2010,SPS00 NCMS000 Kärcher VAIF3P0 VMP00PM,NCMS000 Kärcher VAIF3P0,SPS00 NCMS000 Kärcher,NCMP000 SPS00 NCMS000 Kärcher,DA0MP0 NCMP000 SPS00 NCMS000 Kärcher,Kärcher VAIF3P0 VMP00PM,Kärcher VAIF3P0 VMP00PM SPS00,Kärcher VAIF3P0 VMP00PM SPS00 NCFP000,de lavado Kärcher estar equipar,lavado Kärcher estar,de lavado Kärcher,centro de lavado Kärcher,el centro de lavado Kärcher,Kärcher estar equipar,Kärcher estar equipar con,Kärcher estar equipar con hidrolavadora
http://www.puntobiz.com.ar/noticia/articulo/88053.html,puntobiz.com.ar,2014-01-03,Argentina,Kärcher/NP00000/kärcher,Las  hidrolavadoras  de Kärcher  están  diseñadas  para,kärcher,np00000,kärcher,de,de,SPS00,hidrolavadoras,hidrolavadora,NCFP000,Las,el,DA0FP0,,,,,,,están,estar,VAIP3P0,diseñadas,diseñar,VMP00PF,para,para,SPS00,,,,,,,2014-01-03,2014,2010,NCFP000 SPS00 Kärcher VAIP3P0 VMP00PF,SPS00 Kärcher VAIP3P0,NCFP000 SPS00 Kärcher,DA0FP0 NCFP000 SPS00 Kärcher,,Kärcher VAIP3P0 VMP00PF,Kärcher VAIP3P0 VMP00PF SPS00,,hidrolavadora de Kärcher estar diseñar,de Kärcher estar,hidrolavadora de Kärcher,el hidrolavadora de Kärcher,,Kärcher estar diseñar,Kärcher estar diseñar para,
http://www.la-razon.com/marcas/Karcher-lavo-vehiculos-Dakar_0_1985801544.html,la-razon.com,2014-01-25,Bolivia,Kärcher/NP00000/kärcher,<doc uri=http://www.la-razon.com/marcas/Karcher-lavo-vehiculos-Dakar_0_1985801544.html website=la-razon.com date=2014-01-25 source_country=Bolivia> Kärcher  washed  down  2.500  vehicles  in  dakar,kärcher,np00000,kärcher,,,,,,,,,,,,,,,,washed,washed,NCFS000,down,down,VMIP3P0,2.500,2500,Z,vehicles,vehicles,NCMP000,in,in,RG,2014-01-25,2014,2010,,,,,,Kärcher NCFS000 VMIP3P0,Kärcher NCFS000 VMIP3P0 Z,Kärcher NCFS000 VMIP3P0 Z NCMP000,,,,,,Kärcher washed down,Kärcher washed down 2500,Kärcher washed down 2500 vehicles
