url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.laopiniondemalaga.es/opinion/2014/01/03/arcadia/642710.html?utm_source=rss,laopiniondemalaga.es,2014-01-03,Spain,la_lechera/DA0FS0_NCFS000/el_lechera,"Pocos  se  creen  el  cuento  de la_lechera  con  que  nos  brindó  don  Mariano  cuando  moría  un  año  nefasto  ,  duro  y  sin  piedad  para  millones  de  españoles  .",la_lechera,da0fs0_ncfs000,el_lechera,de,de,SPS00,cuento,cuento,NCMS000,el,el,DA0MS0,creen,creer,VMIP3P0,se,se,P00CN000,con,con,SPS00,que,que,PR0CN000,nos,nos,PP1CP000,brindó,brindar,VMIS3S0,don,don,NCMS000,2014-01-03,2014,2010,NCMS000 SPS00 La Lechera SPS00 PR0CN000,SPS00 La Lechera SPS00,NCMS000 SPS00 La Lechera,DA0MS0 NCMS000 SPS00 La Lechera,VMIP3P0 DA0MS0 NCMS000 SPS00 La Lechera,La Lechera SPS00 PR0CN000,La Lechera SPS00 PR0CN000 PP1CP000,La Lechera SPS00 PR0CN000 PP1CP000 VMIS3S0,cuento de La Lechera con que,de La Lechera con,cuento de La Lechera,el cuento de La Lechera,creer el cuento de La Lechera,La Lechera con que,La Lechera con que nos,La Lechera con que nos brindar
http://www.vanguardia.com.mx/indeteniblecomerciolocalaobrastresplazasmasensaltillo-1914988.html,vanguardia.com.mx,2014-01-03,Mexico,La_Lechera/NP00000_NP00000/la_lechera,"Saltillo  .  -  Varios  proyectos  nuevos  de  plazas  comerciales  son  los  que  estarÃ  ¡  desarrollando  este  aÃ  ±  o  el  empresario  saltillense  JosÃ  ©  Musa  de  LeÃ3n  ;  a  la  Plaza  Comercial  Musa  -  Moctezuma  se  sumarÃ  ¡  otra  especie  de  inversiÃ3n  comercial  âespejoâ  en  esa  Ã  ¡  rea  ,  pero  tambiÃ  ©  n  construirÃ  ¡  una  plaza  comercial  en  lo  que  antiguamente  se  conocÃa  como La_Lechera  ,  en  ValdÃ  ©  s  SÃ  ¡  nchez  y  PerifÃ  ©  rico  LEA  .",la_lechera,np00000_np00000,la_lechera,como,como,CS,conocÃa,conocãa,VMIP3S0,se,se,P00CN000,antiguamente,antiguamente,RG,que,que,PR0CN000,",",",",Fc,en,en,SPS00,ValdÃ,valdã,NP00000,©,©,Fz,s,s,NCFS000,2014-01-03,2014,2010,VMIP3S0 CS La Lechera Fc SPS00,CS La Lechera Fc,VMIP3S0 CS La Lechera,P00CN000 VMIP3S0 CS La Lechera,RG P00CN000 VMIP3S0 CS La Lechera,La Lechera Fc SPS00,La Lechera Fc SPS00 NP00000,La Lechera Fc SPS00 NP00000 Fz,"conocãa como La Lechera , en","como La Lechera ,",conocãa como La Lechera,se conocãa como La Lechera,antiguamente se conocãa como La Lechera,"La Lechera , en","La Lechera , en valdã","La Lechera , en valdã ©"
http://www.vanguardia.com.mx/indeteniblecomerciolocalaobrastresplazasmasensaltillo-1914988.html,vanguardia.com.mx,2014-01-03,Mexico,La_Lechera/NP00000_NP00000/la_lechera,"El  segundo  proyecto  que  empezarÃ  ¡  a  desarrollarse  a  partir  de  este  mes  es  una  plaza  comercial  en  el  lugar  que  antiguamente  se  conocÃa  como La_Lechera  ,  en  ValdÃ  ©  s  SÃ  ¡  nchez  y  PerifÃ  ©  rico  LEA  ,  aunque  en  este  caso  todavÃa  no  se  define  el  nÃomero  de  locales  con  los  que  contarÃ  ¡  ,  mientras  que  el  tercer  proyecto  contempla  âhacer  una  especie  de  inversiÃ3n  comercial  âespejoâ  ,  tambiÃ  ©  n  en  el  Pedro  Figueroa  y  JosÃ  ©  Musa  .",la_lechera,np00000_np00000,la_lechera,como,como,CS,conocÃa,conocãa,VMIP3S0,se,se,P00CN000,antiguamente,antiguamente,RG,que,que,PR0CN000,",",",",Fc,en,en,SPS00,ValdÃ,valdã,NP00000,©,©,Fz,s,s,NCFS000,2014-01-03,2014,2010,VMIP3S0 CS La Lechera Fc SPS00,CS La Lechera Fc,VMIP3S0 CS La Lechera,P00CN000 VMIP3S0 CS La Lechera,RG P00CN000 VMIP3S0 CS La Lechera,La Lechera Fc SPS00,La Lechera Fc SPS00 NP00000,La Lechera Fc SPS00 NP00000 Fz,"conocãa como La Lechera , en","como La Lechera ,",conocãa como La Lechera,se conocãa como La Lechera,antiguamente se conocãa como La Lechera,"La Lechera , en","La Lechera , en valdã","La Lechera , en valdã ©"
http://www.vanguardia.com.mx/quitarantaponalpuentelalechera-1917296.html,vanguardia.com.mx,2014-01-06,Mexico,La_Lechera/NP00000_NP00000/la_lechera,<doc uri=http://www.vanguardia.com.mx/quitarantaponalpuentelalechera-1917296.html website=vanguardia.com.mx date=2014-01-06 source_country=Mexico> /quitar/VMIF3P0 /'/Fe /tapón/NCMS000 /'/Fe /a+el/SPS00+DA0MS0 /puente/NCMS000 La_Lechera ,la_lechera,np00000_np00000,la_lechera,puente,puente,NCMS000,al,a+el,SPS00+DA0MS0,',',Fe,tapón,tapón,NCMS000,',',Fe,,,,,,,,,,,,,,,,2014-01-06,2014,2010,,,SPS00+DA0MS0 NCMS000 La Lechera,Fe SPS00+DA0MS0 NCMS000 La Lechera,NCMS000 Fe SPS00+DA0MS0 NCMS000 La Lechera,,,,,,a+el puente La Lechera,' a+el puente La Lechera,tapón ' a+el puente La Lechera,,,
http://www.vanguardia.com.mx/quitarantaponalpuentelalechera-1917296.html,vanguardia.com.mx,2014-01-06,Mexico,La_Lechera/NP00000_NP00000/la_lechera,"Saltillo  ,  Coahuila  .  -  Finalmente  se  han  propuesto  a  resolver  el  âtapÃ3nâ  del  paso  inferior  de La_Lechera  ,  obra  que  al  poco  tiempo  de  haberse  inaugurado  fue  rebasada  por  el  flujo  vehicular  .",la_lechera,np00000_np00000,la_lechera,de,de,SPS00,inferior,inferior,AQ0CS0,paso,paso,NCMS000,del,de+el,SPS00+DA0MS0,âtapÃ3nâ,âtapÃ3nâ,Z,",",",",Fc,obra,obra,NCFS000,que,que,PR0CN000,al,a+el,SPS00+DA0MS0,poco,poco,DI0MS0,2014-01-06,2014,2010,AQ0CS0 SPS00 La Lechera Fc NCFS000,SPS00 La Lechera Fc,AQ0CS0 SPS00 La Lechera,NCMS000 AQ0CS0 SPS00 La Lechera,SPS00+DA0MS0 NCMS000 AQ0CS0 SPS00 La Lechera,La Lechera Fc NCFS000,La Lechera Fc NCFS000 PR0CN000,La Lechera Fc NCFS000 PR0CN000 SPS00+DA0MS0,"inferior de La Lechera , obra","de La Lechera ,",inferior de La Lechera,paso inferior de La Lechera,de+el paso inferior de La Lechera,"La Lechera , obra","La Lechera , obra que","La Lechera , obra que a+el"
http://eleconomista.com.mx/industrias/2014/01/07/tlcan-crucial-alimentacion-mexico-eu,eleconomista.com.mx,2014-01-07,Mexico,La_lechera/DA0FS0_NCFS000/el_lechera," La_lechera  fue  vendida  en  550_millones  de  dólares  por  Dairy  Farmers  of  America  ,  una  enorme  cooperativa  de  18,000  granjeros  de  48  estados  de  la  Unión  Americana  .",la_lechera,da0fs0_ncfs000,el_lechera,,,,,,,,,,,,,,,,fue,ser,VSIS3S0,vendida,vender,VMP00SF,en,en,SPS00,550_millones,550000000,Zd,de,de,SPS00,2014-01-07,2014,2010,,,,,,La Lechera VSIS3S0 VMP00SF,La Lechera VSIS3S0 VMP00SF SPS00,La Lechera VSIS3S0 VMP00SF SPS00 Zd,,,,,,La Lechera ser vender,La Lechera ser vender en,La Lechera ser vender en 550000000
http://www.elpopular.com.ar/nota/31293/ruralistas-se-reunieron-con-el-gobierno-bonaerense-por-incendios-y-sequias,elpopular.com.ar,2014-01-08,Argentina,la_lechera/DA0FS0_NCFS000/el_lechera,"Además  ,  confirmó  que  además  de  la  reunión  de  la  Cedaba  se  reactivarán  otras  mesas  como la_lechera  y  la  tributaria  ,  para  evaluar  temas  impositivos  pendientes  con  ARBA  y  acuerdos  con  Nación  que  no  se  ejecutaron  .",la_lechera,da0fs0_ncfs000,el_lechera,como,como,CS,mesas,mesa,NCFP000,otras,otro,DI0FP0,reactivarán,reactivar,VMIF3P0,se,se,P00CN000,y,y,CC,la,el,DA0FS0,tributaria,tributario,AQ0FS0,",",",",Fc,para,para,SPS00,2014-01-08,2014,2010,NCFP000 CS La Lechera CC DA0FS0,CS La Lechera CC,NCFP000 CS La Lechera,DI0FP0 NCFP000 CS La Lechera,VMIF3P0 DI0FP0 NCFP000 CS La Lechera,La Lechera CC DA0FS0,La Lechera CC DA0FS0 AQ0FS0,La Lechera CC DA0FS0 AQ0FS0 Fc,mesa como La Lechera y el,como La Lechera y,mesa como La Lechera,otro mesa como La Lechera,reactivar otro mesa como La Lechera,La Lechera y el,La Lechera y el tributario,"La Lechera y el tributario ,"
http://www.lavozdigital.es/cadiz/v/20140109/sociedad/buen-rollo-musica-independiente-20140109.html?utm_source=lavozdigital.es&utm_medium=rss&utm_content=sociedad-rss&utm_campaign=traffic-rss,lavozdigital.es,2014-01-09,Spain,La_Lechera/NP00000_NP00000/la_lechera,"Mañana  ,  la  banda  que  lidera  Diego  Pozo  estrena  ciclo  y  temporada  en La_Lechera  ,  el  espacio  multidisciplinar  gaditano  que  en  el  nuevo  año  va  a  apostar  por  grupos  de  este  perfil  .",la_lechera,np00000_np00000,la_lechera,en,en,SPS00,temporada,temporada,NCFS000,y,y,CC,ciclo,ciclo,NCMS000,estrena,estrenar,VMIP3S0,",",",",Fc,el,el,DA0MS0,espacio,espacio,NCMS000,multidisciplinar,multidisciplinar,AQ0CS0,gaditano,gaditano,NCMS000,2014-01-09,2014,2010,NCFS000 SPS00 La Lechera Fc DA0MS0,SPS00 La Lechera Fc,NCFS000 SPS00 La Lechera,CC NCFS000 SPS00 La Lechera,NCMS000 CC NCFS000 SPS00 La Lechera,La Lechera Fc DA0MS0,La Lechera Fc DA0MS0 NCMS000,La Lechera Fc DA0MS0 NCMS000 AQ0CS0,"temporada en La Lechera , el","en La Lechera ,",temporada en La Lechera,y temporada en La Lechera,ciclo y temporada en La Lechera,"La Lechera , el","La Lechera , el espacio","La Lechera , el espacio multidisciplinar"
http://www.lavozdigital.es/cadiz/v/20140109/sociedad/buen-rollo-musica-independiente-20140109.html?utm_source=lavozdigital.es&utm_medium=rss&utm_content=sociedad-rss&utm_campaign=traffic-rss,lavozdigital.es,2014-01-09,Spain,La_Lechera/DA0FS0_NP00000/el_lechera," La_Lechera  les  da  la  posibilidad  de  mostrar  su  música  a  otros  públicos  ""  ,  explica  Félix  García  .",la_lechera,da0fs0_np00000,el_lechera,,,,,,,,,,,,,,,,les,le,PP3CPD00,da,dar,VMIP3S0,la,el,DA0FS0,posibilidad,posibilidad,NCFS000,de,de,SPS00,2014-01-09,2014,2010,,,,,,La Lechera PP3CPD00 VMIP3S0,La Lechera PP3CPD00 VMIP3S0 DA0FS0,La Lechera PP3CPD00 VMIP3S0 DA0FS0 NCFS000,,,,,,La Lechera le dar,La Lechera le dar el,La Lechera le dar el posibilidad
http://www.lavozdigital.es/cadiz/v/20140109/sociedad/regreso-homeless-sinestesia-manana-20140109.html?utm_source=lavozdigital.es&utm_medium=rss&utm_content=sociedad-rss&utm_campaign=traffic-rss,lavozdigital.es,2014-01-09,Spain,La_Lechera/NP00000_NP00000/la_lechera,"Aunque  el  disco  regreso  de  Homeless  ,  '  Sinestesia  '  ,  hace  tiempo  que  salió  del  horno  de  Discosdelrollo  ,  no  será  hasta  mañana  ,  en  la  primera  cita  del  ciclo  de  música  independiente  de La_Lechera  ,  cuando  sus  temas  se  presenten  de  forma  oficial  .",la_lechera,np00000_np00000,la_lechera,de,de,SPS00,independiente,independiente,AQ0CS0,música,música,NCFS000,de,de,SPS00,ciclo,ciclo,NCMS000,",",",",Fc,cuando,cuando,CS,sus,su,DP3CP0,temas,tema,NCMP000,se,se,P00CN000,2014-01-09,2014,2010,AQ0CS0 SPS00 La Lechera Fc CS,SPS00 La Lechera Fc,AQ0CS0 SPS00 La Lechera,NCFS000 AQ0CS0 SPS00 La Lechera,SPS00 NCFS000 AQ0CS0 SPS00 La Lechera,La Lechera Fc CS,La Lechera Fc CS DP3CP0,La Lechera Fc CS DP3CP0 NCMP000,"independiente de La Lechera , cuando","de La Lechera ,",independiente de La Lechera,música independiente de La Lechera,de música independiente de La Lechera,"La Lechera , cuando","La Lechera , cuando su","La Lechera , cuando su tema"
