url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.farodevigo.es/comarcas/2014/01/02/tradicion-desafia-temporal/940953.html?utm_medium=rss,farodevigo.es,2014-01-02,Spain,lacasitos/NCMP000/lacasitos,No  faltaron  las  uvas  para  los  mayores  y  los lacasitos  para  los  más  pequeños  .,lacasitos,ncmp000,lacasitos,los,el,DA0MP0,y,y,CC,mayores,mayor,AQ0CP0,los,el,DA0MP0,para,para,SPS00,para,para,SPS00,los,el,DA0MP0,más,más,RG,pequeños,pequeño,AQ0MP0,.,.,Fp,2014-01-02,2014,2010,CC DA0MP0 Lacasitos SPS00 DA0MP0,DA0MP0 Lacasitos SPS00,CC DA0MP0 Lacasitos,AQ0CP0 CC DA0MP0 Lacasitos,DA0MP0 AQ0CP0 CC DA0MP0 Lacasitos,Lacasitos SPS00 DA0MP0,Lacasitos SPS00 DA0MP0 RG,Lacasitos SPS00 DA0MP0 RG AQ0MP0,y el Lacasitos para el,el Lacasitos para,y el Lacasitos,mayor y el Lacasitos,el mayor y el Lacasitos,Lacasitos para el,Lacasitos para el más,Lacasitos para el más pequeño
http://www.elmundofinanciero.com/noticia/24019/Analisis-y-Opinion/Obama-y-Rajoy.html,elmundofinanciero.com,2014-01-16,Spain,lacasitos/NCMP000/lacasitos,"Rajoy  ha  venido  sonriente  de  su  visita  al  oráculo  de  Washington  por  sus  imágenes  con  el  todopoderoso  Obama  ,  después  de  rendir  la  correspondiente  pleitesía  y  traerse  unos lacasitos  de  regalo  ,  vendiendo  un  espaldarazo  de  USA  a  las  políticas  puestas  en  marcha  por  su  gobierno  . </doc>",lacasitos,ncmp000,lacasitos,unos,uno,DI0MP0,traerse,traer+se,VMN0000+PP3CN000,y,y,CC,pleitesía,pleitesía,NCFS000,correspondiente,correspondiente,AQ0CS0,de,de,SPS00,regalo,regalo,NCMS000,",",",",Fc,vendiendo,vender,VMG0000,un,uno,DI0MS0,2014-01-16,2014,2010,VMN0000+PP3CN000 DI0MP0 Lacasitos SPS00 NCMS000,DI0MP0 Lacasitos SPS00,VMN0000+PP3CN000 DI0MP0 Lacasitos,CC VMN0000+PP3CN000 DI0MP0 Lacasitos,NCFS000 CC VMN0000+PP3CN000 DI0MP0 Lacasitos,Lacasitos SPS00 NCMS000,Lacasitos SPS00 NCMS000 Fc,Lacasitos SPS00 NCMS000 Fc VMG0000,traer+se uno Lacasitos de regalo,uno Lacasitos de,traer+se uno Lacasitos,y traer+se uno Lacasitos,pleitesía y traer+se uno Lacasitos,Lacasitos de regalo,"Lacasitos de regalo ,","Lacasitos de regalo , vender"
http://www.elnortedecastilla.es/20140119/local/valladolid/paraiso-goloso-valladolid-preocupa-201401191259.html?utm_source=elnortedecastilla.es&utm_medium=rss&utm_content=valladolid-rss&utm_campaign=traffic-rss,elnortedecastilla.es,2014-01-19,Spain,lacasitos/NCMP000/lacasitos,"Y  a  partir  de  ahí  ,  todos  los  elementos  que  se  quieran  incluir  ,  desde  trocitos  de  frutas  a  gominolas  y lacasitos  (  '  toppings  '  preferidos  por  los  niños  )  y  salsas  (  que  suelen  ser  las  elecciones  de  los  adultos  )  .  ""  Es  verdad  que  ahora  hay  más  tiendas  de  yogur  helado  ""  ,  reconoce  Lorena  Cuenca  .",lacasitos,ncmp000,lacasitos,y,y,CC,gominolas,gominolas,NCFP000,a,a,SPS00,frutas,fruto,NCFP000,de,de,SPS00,(,(,Fpa,',',Fe,toppings,toppings,NCMP000,',',Fe,preferidos,preferir,VMP00PM,2014-01-19,2014,2010,NCFP000 CC Lacasitos Fpa Fe,CC Lacasitos Fpa,NCFP000 CC Lacasitos,SPS00 NCFP000 CC Lacasitos,NCFP000 SPS00 NCFP000 CC Lacasitos,Lacasitos Fpa Fe,Lacasitos Fpa Fe NCMP000,Lacasitos Fpa Fe NCMP000 Fe,gominolas y Lacasitos ( ',y Lacasitos (,gominolas y Lacasitos,a gominolas y Lacasitos,fruto a gominolas y Lacasitos,Lacasitos ( ',Lacasitos ( ' toppings,Lacasitos ( ' toppings '
http://www.diariovasco.com/v/20140220/alto-urola/carnaval-buena-temporada-pero-20140220.html?utm_source=diariovasco.com&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,diariovasco.com,2014-02-20,Spain,lacasitos/NCMP000/lacasitos,"Hay  algunos  clásicos  como  ""  payasos  ,  caperucita  ,  charleston  ...  ""  y  otros  más  innovadores  ,  ""  macetas  , lacasitos  ,  duendes  ,  Mario  Bross  ...  ""  Loraldi  ,  tal  y  como  refleja  su  escaparate  ,  está  bien  surtido  de  tejidos  más  que  apropiados  para  el  carnaval  :  mallas  plateadas  y  doradas  ,  telas  con  estampados  chinos  y  hippies  ,  lunares  ,  lentejuelas  ,  brocados  ...  Además  ,  el  establecimiento  también  trabaja  bajo  encargo  .  ""  Este  año  estoy  muy  contenta  ,  porque  me  han  hecho  un  encargo  para  las  alumnas  de  danza  .",lacasitos,ncmp000,lacasitos,",",",",Fc,macetas,maceta,NCFP000,"""","""",Fe,",",",",Fc,innovadores,innovador,AQ0MP0,",",",",Fc,duendes,duende,NCMP000,",",",",Fc,Mario,mario,NP00000,Bross,bross,NP00000,2014-02-20,2014,2010,NCFP000 Fc Lacasitos Fc NCMP000,Fc Lacasitos Fc,NCFP000 Fc Lacasitos,Fe NCFP000 Fc Lacasitos,Fc Fe NCFP000 Fc Lacasitos,Lacasitos Fc NCMP000,Lacasitos Fc NCMP000 Fc,Lacasitos Fc NCMP000 Fc NP00000,"maceta , Lacasitos , duende",", Lacasitos ,","maceta , Lacasitos",""" maceta , Lacasitos",", "" maceta , Lacasitos","Lacasitos , duende","Lacasitos , duende ,","Lacasitos , duende , mario"
http://blogs.cadenaser.com/tinta-de-calamar/2014/03/04/wikipaella/,cadenaser.com,2014-03-04,===NONE===,Lacasitos/NP00000/lacasitos,"Las  reivindicaciones  más  lógicas  ,  las  que  pretenden  que  a  una  paella  no  se  le  pueda  poner  chorizo  ,  aguacate  o Lacasitos  .",lacasitos,np00000,lacasitos,o,o,CC,aguacate,aguacate,NCMS000,",",",",Fc,chorizo,chorizo,NCMS000,poner,poner,VMN0000,.,.,Fp,,,,,,,,,,,,,2014-03-04,2014,2010,,CC Lacasitos Fp,NCMS000 CC Lacasitos,Fc NCMS000 CC Lacasitos,NCMS000 Fc NCMS000 CC Lacasitos,,,,,o Lacasitos .,aguacate o Lacasitos,", aguacate o Lacasitos","chorizo , aguacate o Lacasitos",,,
http://www.diariodenavarra.es/noticias/navarra/pamplona_comarca/2014/04/29/mutilva_con_las_manos_masa_156951_1002.html,diariodenavarra.es,2014-04-29,Spain,lacasitos/NCMP000/lacasitos,"Dispuestos  en  dos  aulas  del  colegio  público  San  Pedro  de  Mutilva  ,  los  participantes  ,  ordenados  en  dos  grupos  ,  de  4  a  7  y  de  8  a  12  años  ,  se  dispusieron  a  cocinar  su  primera  remesa  de  galletas  .  ""  Les  damos  los  ingredientes  ,  además  de  adornos  como  virutas  de  chocolate  ,  colorante  alimenticio  , lacasitos  ,  etc.  ""  ,  indicó  Adrián  Górriz  ,  uno  de  los  monitores  ,  en  representación  de  sus  compañeros  ,  como  Olaia  Belzunce  ,  Paula  Goñi  ,  Urtzi  Alcasena  ,  Nano  Napal  o  Aitor  Arana  ,  entre  otros  .",lacasitos,ncmp000,lacasitos,",",",",Fc,alimenticio,alimenticio,AQ0MS0,colorante,colorante,NCMS000,",",",",Fc,chocolate,chocolate,NCMS000,",",",",Fc,etc.,etcétera,Fs,"""","""",Fe,",",",",Fc,indicó,indicar,VMIS3S0,2014-04-29,2014,2010,AQ0MS0 Fc Lacasitos Fc Fs,Fc Lacasitos Fc,AQ0MS0 Fc Lacasitos,NCMS000 AQ0MS0 Fc Lacasitos,Fc NCMS000 AQ0MS0 Fc Lacasitos,Lacasitos Fc Fs,Lacasitos Fc Fs Fe,Lacasitos Fc Fs Fe Fc,"alimenticio , Lacasitos , etcétera",", Lacasitos ,","alimenticio , Lacasitos","colorante alimenticio , Lacasitos",", colorante alimenticio , Lacasitos","Lacasitos , etcétera","Lacasitos , etcétera ""","Lacasitos , etcétera "" ,"
http://www.ideal.es/granada/20140515/mas-actualidad/sociedad/crean-primer-confesionario-online-201405151100.html?utm_source=ideal.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,ideal.es,2014-05-15,Spain,lacasitos/NCMP000/lacasitos,"Entre  las  penitencias  impuestas  por  el  confesionario  online  de  Sbelta  Plus  se  encuentran  ,  por  ejemplo  ,  separar  por  colores  una  montaña  de lacasitos  equivalente  al  peso  ;  rellenar  los  agujeros  de  88  donuts  sin  poder  comérselos  ;  penar  dos  días  llevando  un  disfraz  de  jamón  serrano  ;  subir  256  escalones  caminando  al  revés  sin  lanzar  una  palabra  impía  ;  contar  la  cantidad  de  pelos  de  una  barba  hipster  ;  hacer  un  caldo  con  las  patas  de  353  crustáceos  y  beberlo  como  purificación  ;  hacer  83  sentadillas  en  ropa  interior  ,  al  lado  de  la  ventana  y  cuando  mire  el  vecino  mirón  ;  hacer  una  coreografía  de  Locomía  sustituyendo  los  abanicos  por  vasos  de  sangría  ;  y  peinar  los  rizos  de  un  caniche  hasta",lacasitos,ncmp000,lacasitos,de,de,SPS00,montaña,montaña,NCFS000,una,uno,DI0FS0,colores,color,NCMP000,por,por,SPS00,equivalente,equivalente,AQ0CS0,al,a+el,SPS00+DA0MS0,peso,peso,NCMS000,;,;,Fx,rellenar,rellenar,VMN0000,2014-05-15,2014,2010,NCFS000 SPS00 Lacasitos AQ0CS0 SPS00+DA0MS0,SPS00 Lacasitos AQ0CS0,NCFS000 SPS00 Lacasitos,DI0FS0 NCFS000 SPS00 Lacasitos,NCMP000 DI0FS0 NCFS000 SPS00 Lacasitos,Lacasitos AQ0CS0 SPS00+DA0MS0,Lacasitos AQ0CS0 SPS00+DA0MS0 NCMS000,Lacasitos AQ0CS0 SPS00+DA0MS0 NCMS000 Fx,montaña de Lacasitos equivalente a+el,de Lacasitos equivalente,montaña de Lacasitos,uno montaña de Lacasitos,color uno montaña de Lacasitos,Lacasitos equivalente a+el,Lacasitos equivalente a+el peso,Lacasitos equivalente a+el peso ;
http://www.andaluciainformacionweb.com/andalucia/406882/detenido-un-supuesto-violador-en-la-pinera-en-algeciras/,andaluciainformacionweb.com,2014-05-20,Spain,lacasitos/NCMP000/lacasitos,"Según  testimonios  de  vecinos  de  la  zona  ,  el  detenido  es  un  habitual  del  barrio  ,  en  concreto  de  la  zona  conocida  como  los lacasitos  ,  las  viviendas  rehabilitadas  en  La  Piñera  cuyas  fachadas  están  pintadas  de  diversos  colores  .",lacasitos,ncmp000,lacasitos,los,el,DA0MP0,como,como,CS,conocida,conocer,VMP00SF,zona,zona,NCFS000,la,el,DA0FS0,",",",",Fc,las,el,DA0FP0,viviendas,vivienda,NCFP000,rehabilitadas,rehabilitar,VMP00PF,en,en,SPS00,2014-05-20,2014,2010,CS DA0MP0 Lacasitos Fc DA0FP0,DA0MP0 Lacasitos Fc,CS DA0MP0 Lacasitos,VMP00SF CS DA0MP0 Lacasitos,NCFS000 VMP00SF CS DA0MP0 Lacasitos,Lacasitos Fc DA0FP0,Lacasitos Fc DA0FP0 NCFP000,Lacasitos Fc DA0FP0 NCFP000 VMP00PF,"como el Lacasitos , el","el Lacasitos ,",como el Lacasitos,conocer como el Lacasitos,zona conocer como el Lacasitos,"Lacasitos , el","Lacasitos , el vivienda","Lacasitos , el vivienda rehabilitar"
http://www.aragondigital.es/noticia.asp?notid=120744&secid=15,aragondigital.es,2014-05-28,Spain,Lacasitos/NP00000/lacasitos,"En  esta  línea  ,  se  regalarán  palas  Head  ,  zapatillas  deportivas  K  *  swiss  ,  bonos  para  el  gimnasio  Platinium  Wellness  Club  y  megatubos  de Lacasitos  ,  entre  otros  regalos  .",lacasitos,np00000,lacasitos,de,de,SPS00,megatubos,megatubo,NCMP000,y,y,CC,Club,club,NP00000,Wellness,wellness,NP00000,",",",",Fc,entre,entre,SPS00,otros,otro,DI0MP0,regalos,regalo,NCMP000,.,.,Fp,2014-05-28,2014,2010,NCMP000 SPS00 Lacasitos Fc SPS00,SPS00 Lacasitos Fc,NCMP000 SPS00 Lacasitos,CC NCMP000 SPS00 Lacasitos,NP00000 CC NCMP000 SPS00 Lacasitos,Lacasitos Fc SPS00,Lacasitos Fc SPS00 DI0MP0,Lacasitos Fc SPS00 DI0MP0 NCMP000,"megatubo de Lacasitos , entre","de Lacasitos ,",megatubo de Lacasitos,y megatubo de Lacasitos,club y megatubo de Lacasitos,"Lacasitos , entre","Lacasitos , entre otro","Lacasitos , entre otro regalo"
http://ccaa.elpais.com/ccaa/2014/06/06/madrid/1402079766_058622.html,elpais.com,2014-06-07,Spain,Lacasitos/NP00000/lacasitos,"Tienen  como  una  placa  de  hielo  ,  tú  elijes  los  sabores  que  quieras  ,  los  toppings  ( Lacasitos  ,  cookies  ...  )  y  luego  lo  mezclan  todo  sobre  la  placa  ,  con  dos  cucharas  .",lacasitos,np00000,lacasitos,(,(,Fpa,toppings,toppings,NCMP000,los,el,DA0MP0,",",",",Fc,quieras,querer,VMSP2S0,",",",",Fc,cookies,cookies,NCFP000,...,...,Fs,),),Fpt,y,y,CC,2014-06-07,2014,2010,NCMP000 Fpa Lacasitos Fc NCFP000,Fpa Lacasitos Fc,NCMP000 Fpa Lacasitos,DA0MP0 NCMP000 Fpa Lacasitos,Fc DA0MP0 NCMP000 Fpa Lacasitos,Lacasitos Fc NCFP000,Lacasitos Fc NCFP000 Fs,Lacasitos Fc NCFP000 Fs Fpt,"toppings ( Lacasitos , cookies","( Lacasitos ,",toppings ( Lacasitos,el toppings ( Lacasitos,", el toppings ( Lacasitos","Lacasitos , cookies","Lacasitos , cookies ...","Lacasitos , cookies ... )"
