url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.clarin.com/opinion/Quedo-gradualismo-busca-dolar-magico_0_1072092849.html,clarin.com,2014-01-24,Argentina,Barclay's/NP00000/barclay's,"Marcelo  Etchebarne  ,  que  litiga  en  Nueva  York  ,  recuerda  que  no  somos  Detroit  ,  que  cayó  en  quiebra  y  acaba  de  ser  beneficiada  por  un  fallo  que  señala  que  no  debe  abonar  a  sus  acreedores  ,  entre  ellos  , Barclay's  .",barclay's,np00000,barclay's,",",",",Fc,ellos,ellos,PP3MP000,entre,entre,SPS00,",",",",Fc,acreedores,acreedor,NCMP000,.,.,Fp,,,,,,,,,,,,,2014-01-24,2014,2010,,Fc Lay's Fp,PP3MP000 Fc Lay's,SPS00 PP3MP000 Fc Lay's,Fc SPS00 PP3MP000 Fc Lay's,,,,,", Lay's .","ellos , Lay's","entre ellos , Lay's",", entre ellos , Lay's",,,
http://cincodias.com/cincodias/2014/01/28/empresas/1390934373_518225.html,cincodias.com,2014-01-28,===NONE===,Lay's/NP00000/lay's,"Los  chicos  de  Mr.  Wonderful  ,  el  matrimonio  formado  por  Angi  Cabal  y  Javier  Aracil  ,  comenzaron  hace  tres  años  haciendo  invitaciones  de  boda  originales  y  han  terminado  ilustrando  las  patatas Lay's  ,  los  botes  de  Nocilla  y  hasta  una  línea  de  pijamas  para  Oysho  .",lay's,np00000,lay's,patatas,patata,NCFP000,las,el,DA0FP0,ilustrando,ilustrar,VMG0000,terminado,terminar,VMP00SM,han,haber,VAIP3P0,",",",",Fc,los,el,DA0MP0,botes,bote,NCMP000,de,de,SPS00,Nocilla,nocilla,NP00000,2014-01-28,2014,2010,DA0FP0 NCFP000 Lay's Fc DA0MP0,NCFP000 Lay's Fc,DA0FP0 NCFP000 Lay's,VMG0000 DA0FP0 NCFP000 Lay's,VMP00SM VMG0000 DA0FP0 NCFP000 Lay's,Lay's Fc DA0MP0,Lay's Fc DA0MP0 NCMP000,Lay's Fc DA0MP0 NCMP000 SPS00,"el patata Lay's , el","patata Lay's ,",el patata Lay's,ilustrar el patata Lay's,terminar ilustrar el patata Lay's,"Lay's , el","Lay's , el bote","Lay's , el bote de"
http://semanaeconomica.com/article/economia/132944-piero-ghezzi-produce-tecnocracia-gobierno-humala/,semanaeconomica.com,2014-02-24,===NONE===,Barclay's/NP00000/barclay's,"Entre  1995  y  1996  ,  fue  asesor  a  tiempo  completo  del  MEF  y  ,  en  el  2007  ,  entro  al  banco  de  inversión Barclay's  Capital  como  jefe  de  Estudios  de  Mercados  Emergentes  .",barclay's,np00000,barclay's,inversión,inversión,NCFS000,de,de,SPS00,banco,banco,NCMS000,al,a+el,SPS00+DA0MS0,entro,entrar,VMIP1S0,Capital,capital,NP00000,como,como,CS,jefe,jefe,NCMS000,de,de,SPS00,Estudios,estudios,NP00000,2014-02-24,2014,2010,SPS00 NCFS000 Lay's NP00000 CS,NCFS000 Lay's NP00000,SPS00 NCFS000 Lay's,NCMS000 SPS00 NCFS000 Lay's,SPS00+DA0MS0 NCMS000 SPS00 NCFS000 Lay's,Lay's NP00000 CS,Lay's NP00000 CS NCMS000,Lay's NP00000 CS NCMS000 SPS00,de inversión Lay's capital como,inversión Lay's capital,de inversión Lay's,banco de inversión Lay's,a+el banco de inversión Lay's,Lay's capital como,Lay's capital como jefe,Lay's capital como jefe de
http://www.rpp.com.pe/2014-02-24-perfil-piero-ghezzi-el-nuevo-ministro-de-produccion-noticia_672340.html,rpp.com.pe,2014-02-25,Peru,Barclay's/NP00000/barclay's,Ghezzi  ha  sido  asesor  del  MEF  y  ha  trabajado  en  el  banco  de  inversión Barclay's  Capital  .,barclay's,np00000,barclay's,inversión,inversión,NCFS000,de,de,SPS00,banco,banco,NCMS000,el,el,DA0MS0,en,en,SPS00,Capital,capital,NP00000,.,.,Fp,,,,,,,,,,2014-02-25,2014,2010,SPS00 NCFS000 Lay's NP00000 Fp,NCFS000 Lay's NP00000,SPS00 NCFS000 Lay's,NCMS000 SPS00 NCFS000 Lay's,DA0MS0 NCMS000 SPS00 NCFS000 Lay's,Lay's NP00000 Fp,,,de inversión Lay's capital .,inversión Lay's capital,de inversión Lay's,banco de inversión Lay's,el banco de inversión Lay's,Lay's capital .,,
http://www.sport.es/es/noticias/barca/selfie-desencadena-una-emboscada-messi-rio-3164877?utm_source=rss-noticias&utm_medium=feed&utm_campaign=barca,sport.es,2014-03-07,Spain,Lay's/NP00000/lay's,El  argentino  es  víctima  de  un  curioso  hurto  en  las  calles  de  Río  de  Janeiro  en  el  comercial  de  la  marca Lay's  .,lay's,np00000,lay's,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,comercial,comercial,AQ0CS0,el,el,DA0MS0,.,.,Fp,,,,,,,,,,,,,2014-03-07,2014,2010,,NCFS000 Lay's Fp,DA0FS0 NCFS000 Lay's,SPS00 DA0FS0 NCFS000 Lay's,AQ0CS0 SPS00 DA0FS0 NCFS000 Lay's,,,,,marca Lay's .,el marca Lay's,de el marca Lay's,comercial de el marca Lay's,,,
http://www.larepublica.pe/09-03-2014/el-sector-privado-debe-entender-que-el-estado-debe-ser-fuerte,larepublica.pe,2014-03-09,Peru,Barclay's/NP00000/barclay's,Desde  2007  trabajó  en  el  banco  de  inversión Barclay's  Capital  como  director  de  Investigación  Económica  Global  .,barclay's,np00000,barclay's,inversión,inversión,NCFS000,de,de,SPS00,banco,banco,NCMS000,el,el,DA0MS0,en,en,SPS00,Capital,capital,NP00000,como,como,CS,director,director,NCMS000,de,de,SPS00,Investigación,investigación,NP00000,2014-03-09,2014,2010,SPS00 NCFS000 Lay's NP00000 CS,NCFS000 Lay's NP00000,SPS00 NCFS000 Lay's,NCMS000 SPS00 NCFS000 Lay's,DA0MS0 NCMS000 SPS00 NCFS000 Lay's,Lay's NP00000 CS,Lay's NP00000 CS NCMS000,Lay's NP00000 CS NCMS000 SPS00,de inversión Lay's capital como,inversión Lay's capital,de inversión Lay's,banco de inversión Lay's,el banco de inversión Lay's,Lay's capital como,Lay's capital como director,Lay's capital como director de
http://www.tandildiario.com/noticias/Nacionales/91241%3A4/Aumentan-productos-de-tocador-y-limpieza.html,tandildiario.com,2014-03-21,===NONE===,Lay's/NP00000/lay's,"Un  paquete  de  papas  fritas Lay's  -  la  marca  más  vendida  en  snacks  ,  de  Pepsico  -  aumentó  un  12  %  ,  yéndose  de  $  18,69  a  $  20,95  .",lay's,np00000,lay's,fritas,freír,VMP00PF,papas,papa,NCMP000,de,de,SPS00,paquete,paquete,NCMS000,Un,uno,DI0MS0,-,-,Fg,la,el,DA0FS0,marca,marca,NCFS000,más,más,RG,vendida,vender,VMP00SF,2014-03-21,2014,2010,NCMP000 VMP00PF Lay's Fg DA0FS0,VMP00PF Lay's Fg,NCMP000 VMP00PF Lay's,SPS00 NCMP000 VMP00PF Lay's,NCMS000 SPS00 NCMP000 VMP00PF Lay's,Lay's Fg DA0FS0,Lay's Fg DA0FS0 NCFS000,Lay's Fg DA0FS0 NCFS000 RG,papa freír Lay's - el,freír Lay's -,papa freír Lay's,de papa freír Lay's,paquete de papa freír Lay's,Lay's - el,Lay's - el marca,Lay's - el marca más
http://laaficion.milenio.com/basquetbol/NBA-Jorge_Gutierrez-Nets-Brooklyn-Teleconferencia-La_Aficion-Milenio_0_272373030.html,milenio.com,2014-04-04,===NONE===,Barclay's/NP00000/barclay's,"""  Ha  sido  un  largo  camino  y  sé  que  no  es  nada  fácil  mantenerse  ,  aquí  juegan  los  mejores  del  mundo  ,  por  lo  que  seguiré  trabajando  duro  para  lograr  mis  metas  ""  ,  expresó  Jorge  ,  que  el  domingo  jugó  siete  minutos  de  impacto  en  el  décimo  tercer  triunfo  consecutivo  de  los  de  Brooklyn  en  la  Arena Barclay's  .",barclay's,np00000,barclay's,Arena,arena,NP00000,la,el,DA0FS0,en,en,SPS00,Brooklyn,brooklyn,NP00000,de,de,SPS00,.,.,Fp,,,,,,,,,,,,,2014-04-04,2014,2010,,NP00000 Lay's Fp,DA0FS0 NP00000 Lay's,SPS00 DA0FS0 NP00000 Lay's,NP00000 SPS00 DA0FS0 NP00000 Lay's,,,,,arena Lay's .,el arena Lay's,en el arena Lay's,brooklyn en el arena Lay's,,,
http://www.antena3.com/noticias/cultura/musica/nirvana-reunen-ceremonia-rock-and-roll-hall-fame-kurt-cobain-recuerdo_2014041100129.html,antena3.com,2014-04-11,Spain,Barclay's/NP00000/barclay's,"La  29  gala  del  Rock  and  Roll  Hall  of  Fame  ,  encontró  su  catedral  en  el Barclay's  Center  de  Brooklyn  ,  donde  hoy  se  hizo  también  un  ajuste  de  cuentas  .",barclay's,np00000,barclay's,el,el,DA0MS0,en,en,SPS00,catedral,catedral,NCFS000,su,su,DP3CS0,encontró,encontrar,VMIS3S0,Center,center,NP00000,de,de,SPS00,Brooklyn,brooklyn,NP00000,",",",",Fc,donde,donde,PR000000,2014-04-11,2014,2010,SPS00 DA0MS0 Lay's NP00000 SPS00,DA0MS0 Lay's NP00000,SPS00 DA0MS0 Lay's,NCFS000 SPS00 DA0MS0 Lay's,DP3CS0 NCFS000 SPS00 DA0MS0 Lay's,Lay's NP00000 SPS00,Lay's NP00000 SPS00 NP00000,Lay's NP00000 SPS00 NP00000 Fc,en el Lay's center de,el Lay's center,en el Lay's,catedral en el Lay's,su catedral en el Lay's,Lay's center de,Lay's center de brooklyn,"Lay's center de brooklyn ,"
http://www.telemadrid.es/noticias/cultura/noticia/primavera-als-clubs-se-estrena-en-madrid,telemadrid.es,2014-05-03,Spain,Lay's/NP00000/lay's,<doc uri=http://www.telemadrid.es/noticias/cultura/noticia/primavera-als-clubs-se-estrena-en-madrid website=telemadrid.es date=2014-05-03 source_country=Spain> /el/DA0MS0 /festival/NCMS000 /primavera/NP00000 /als/NC00000 /clubs/NP00000 /llenar/VMIF3S0 /de/SPS00 /música/NCFS000 /en/SPS00 /directo/AQ0MS0 /alguno/PI0FP000 /de/SPS00 /el/DA0FP0 /sala/NCFP000 /más/RG /emblemático/AQ0FP0 /de/SPS00 /barcelona/NP00000 /a/SPS00 /el/DA0NS0 /largo/AQ0MS0 /de/SPS00 /el/DA0FS0 /semana/NCFS000 /de+el/SPS00+DA0MS0 /festival/NCMS000 /y/CC /que/CS /por/SPS00 /1/AO0FS0 /vez/NCFS000 /se/P00CN000 /presentar/VMIF3S0 /en/SPS00 /madrid/NP00000 /con/SPS00 /uno/DI0FS0 /fiesta/NCFS000 /de/SPS00 /el/DA0FS0 /mano/NCFS000 /de/SPS00 Lay's  .,lay's,np00000,lay's,de,de,SPS00,mano,mano,NCFS000,la,el,DA0FS0,de,de,SPS00,fiesta,fiesta,NCFS000,.,.,Fp,,,,,,,,,,,,,2014-05-03,2014,2010,,SPS00 Lay's Fp,NCFS000 SPS00 Lay's,DA0FS0 NCFS000 SPS00 Lay's,SPS00 DA0FS0 NCFS000 SPS00 Lay's,,,,,de Lay's .,mano de Lay's,el mano de Lay's,de el mano de Lay's,,,
http://www.telemadrid.es/noticias/cultura/noticia/primavera-als-clubs-se-estrena-en-madrid,telemadrid.es,2014-05-03,Spain,Lay's/NP00000/lay's,"Al  igual  que  en  ediciones  anteriores  ,  la  entrada  es  libre  para  todos  los  poseedores  del  abono  Primavera  Sound  2014  Barcelona  sujeta  a  las  limitaciones  de  aforo  de  cada  sala  ,  salvo  la  fiesta Lay's  en  Madrid  a  la  que  se  accederá  exclusivamente  con  invitación  .",lay's,np00000,lay's,fiesta,fiesta,NCFS000,la,el,DA0FS0,salvo,salvo,SPS00,",",",",Fc,sala,sala,NCFS000,en,en,SPS00,Madrid,madrid,NP00000,a,a,SPS00,la,el,DA0FS0,que,que,PR0CN000,2014-05-03,2014,2010,DA0FS0 NCFS000 Lay's SPS00 NP00000,NCFS000 Lay's SPS00,DA0FS0 NCFS000 Lay's,SPS00 DA0FS0 NCFS000 Lay's,Fc SPS00 DA0FS0 NCFS000 Lay's,Lay's SPS00 NP00000,Lay's SPS00 NP00000 SPS00,Lay's SPS00 NP00000 SPS00 DA0FS0,el fiesta Lay's en madrid,fiesta Lay's en,el fiesta Lay's,salvo el fiesta Lay's,", salvo el fiesta Lay's",Lay's en madrid,Lay's en madrid a,Lay's en madrid a el
http://www.sinmordaza.com/noticia/235934-las-marcas-de-snacks-se-renuevan-.html,sinmordaza.com,2014-05-12,Argentina,Lay's/NP00000/lay's," Lay's  con  las  flamantes  Papas  Pay  de  un  lado  ,  y  los  nuevos  snacks  de  Saladix  del  otro  ,  son  las  apuestas  más  fuertes  de  este  año  .",lay's,np00000,lay's,,,,,,,,,,,,,,,,con,con,SPS00,las,el,DA0FP0,flamantes,flamante,AQ0CP0,Papas,papas,NP00000,Pay,pay,NP00000,2014-05-12,2014,2010,,,,,,Lay's SPS00 DA0FP0,Lay's SPS00 DA0FP0 AQ0CP0,Lay's SPS00 DA0FP0 AQ0CP0 NP00000,,,,,,Lay's con el,Lay's con el flamante,Lay's con el flamante papas
http://www.sinmordaza.com/noticia/235934-las-marcas-de-snacks-se-renuevan-.html,sinmordaza.com,2014-05-12,Argentina,Lay's/NP00000/lay's,PepsiCo  es  líder  en  el  mercado  de  snacks  salados  y Lay's  es  la  marca  ancla  de  la  categoría  .,lay's,np00000,lay's,y,y,CC,salados,salar,VMP00PM,snacks,snack,NCMP000,de,de,SPS00,mercado,mercado,NCMS000,es,ser,VSIP3S0,la,el,DA0FS0,marca,marca,NCFS000,ancla,anclar,VMIP3S0,de,de,SPS00,2014-05-12,2014,2010,VMP00PM CC Lay's VSIP3S0 DA0FS0,CC Lay's VSIP3S0,VMP00PM CC Lay's,NCMP000 VMP00PM CC Lay's,SPS00 NCMP000 VMP00PM CC Lay's,Lay's VSIP3S0 DA0FS0,Lay's VSIP3S0 DA0FS0 NCFS000,Lay's VSIP3S0 DA0FS0 NCFS000 VMIP3S0,salar y Lay's ser el,y Lay's ser,salar y Lay's,snack salar y Lay's,de snack salar y Lay's,Lay's ser el,Lay's ser el marca,Lay's ser el marca anclar
http://www.sinmordaza.com/noticia/235934-las-marcas-de-snacks-se-renuevan-.html,sinmordaza.com,2014-05-12,Argentina,Lay's/NP00000/lay's,"Según  datos  de  la  empresa  ,  en  el  país  se  consumen  1,2  kilos  de  snacks  por  persona  al  año  ,  con  las  papas  fritas  a  la  cabeza  .  ""  Por  segundo  se  consumen  cinco  paquetes  de  papas  fritas  en  la  Argentina  ""  ,  informan  voceros  de  PepsiCo  ,  firma  que  también  comercializa  las  marcas Lay's  ,  Doritos  ,  3D  ́  s  ,  Kesbun  y  De  Todito  .",lay's,np00000,lay's,marcas,marca,NCFP000,las,el,DA0FP0,comercializa,comercializar,VMIP3S0,también,también,RG,que,que,PR0CN000,",",",",Fc,Doritos,doritos,NP00000,",",",",Fc,3D,3D,Z,́,́,Fz,2014-05-12,2014,2010,DA0FP0 NCFP000 Lay's Fc NP00000,NCFP000 Lay's Fc,DA0FP0 NCFP000 Lay's,VMIP3S0 DA0FP0 NCFP000 Lay's,RG VMIP3S0 DA0FP0 NCFP000 Lay's,Lay's Fc NP00000,Lay's Fc NP00000 Fc,Lay's Fc NP00000 Fc Z,"el marca Lay's , doritos","marca Lay's ,",el marca Lay's,comercializar el marca Lay's,también comercializar el marca Lay's,"Lay's , doritos","Lay's , doritos ,","Lay's , doritos , 3D"
http://www.sinmordaza.com/noticia/235934-las-marcas-de-snacks-se-renuevan-.html,sinmordaza.com,2014-05-12,Argentina,Lay's/NP00000/lay's,"En  esa  línea  destacan  que  los  casos  más  resonantes  en  2013  fueron  las  campañas  El  sabor  de  ganar  ,  de Lay's  ,  con  Adrián  Suar  como  protagonista  ,  y  la  campaña  Actitud  Garpa  ,  de  Doritos  .  ""  Son  marcas  que  atienden  distintos  segmentos  de  consumidores  con  distintas  necesidades  y  que  se  distribuyen  en  diferentes  canales  y  regiones  ""  ,  señalan  .",lay's,np00000,lay's,de,de,SPS00,",",",",Fc,ganar,ganar,VMN0000,de,de,SPS00,sabor,sabor,NCMS000,",",",",Fc,con,con,SPS00,Adrián,adrián,NP00000,Suar,suar,NP00000,como,como,CS,2014-05-12,2014,2010,Fc SPS00 Lay's Fc SPS00,SPS00 Lay's Fc,Fc SPS00 Lay's,VMN0000 Fc SPS00 Lay's,SPS00 VMN0000 Fc SPS00 Lay's,Lay's Fc SPS00,Lay's Fc SPS00 NP00000,Lay's Fc SPS00 NP00000 NP00000,", de Lay's , con","de Lay's ,",", de Lay's","ganar , de Lay's","de ganar , de Lay's","Lay's , con","Lay's , con adrián","Lay's , con adrián suar"
http://www.finanzas.com/noticias/economia/20140526/economia-ocho-cada-diez-2677917.html,finanzas.com,2014-05-26,Spain,Lay's/NP00000/lay's,"Asimismo  , Lay's  es  la  marca  mundial  que  mבs  crece  con  un  7  %  mבs  .",lay's,np00000,lay's,",",",",Fc,Asimismo,asimismo,RG,,,,,,,,,,es,ser,VSIP3S0,la,el,DA0FS0,marca,marca,NCFS000,mundial,mundial,AQ0CS0,que,que,PR0CN000,2014-05-26,2014,2010,RG Fc Lay's VSIP3S0 DA0FS0,Fc Lay's VSIP3S0,RG Fc Lay's,,,Lay's VSIP3S0 DA0FS0,Lay's VSIP3S0 DA0FS0 NCFS000,Lay's VSIP3S0 DA0FS0 NCFS000 AQ0CS0,"asimismo , Lay's ser el",", Lay's ser","asimismo , Lay's",,,Lay's ser el,Lay's ser el marca,Lay's ser el marca mundial
http://www.europapress.es/economia/noticia-innova-gallina-blanca-hacendado-unicas-marcas-espanolas-dos-innovaciones-top-ten-radar-kantar-20140610121409.html,europapress.es,2014-06-10,Spain,Lay's/NP00000/lay's,"El  radar  de  la  innovación  de  Kantar  Worldpanel  ,  el  primer  tracking  continuo  de  lanzamientos  de  gran  consumo  ,  que  analiza  los  1.500  números  de  referencia  que  se  lanzan  al  mercado  cada  año  ,  destaca  en  primer  puesto  a  Bimbo  por  su  '  Silueta  Thins  8  cereales  '  en  segundo  a  Matutano  por  ' Lay's  Xtra  Sal  '  y  en  tercero  a  Danone  con  su  '  Actimel  Actiguerreros  '  .",lay's,np00000,lay's,',',Fe,por,por,SPS00,Matutano,matutano,NP00000,a,a,SPS00,segundo,2,AO0MS0,Xtra,xtra,NP00000,Sal,sal,NP00000,',',Fe,y,y,CC,en,en,SPS00,2014-06-10,2014,2010,SPS00 Fe Lay's NP00000 NP00000,Fe Lay's NP00000,SPS00 Fe Lay's,NP00000 SPS00 Fe Lay's,SPS00 NP00000 SPS00 Fe Lay's,Lay's NP00000 NP00000,Lay's NP00000 NP00000 Fe,Lay's NP00000 NP00000 Fe CC,por ' Lay's xtra sal,' Lay's xtra,por ' Lay's,matutano por ' Lay's,a matutano por ' Lay's,Lay's xtra sal,Lay's xtra sal ',Lay's xtra sal ' y
http://www.larepublica.pe/05-07-2014/peru-italia-y-brasil-compiten-por-conquistar-la-copa-de-los-sabores-de-lay-s,larepublica.pe,2014-07-11,Peru,Lay's/NP00000/lay's,"<doc uri=http://www.larepublica.pe/05-07-2014/peru-italia-y-brasil-compiten-por-conquistar-la-copa-de-los-sabores-de-lay-s website=larepublica.pe date=2014-07-11 source_country=Peru> /perú/NP00000 /,/Fc /italia/NP00000 /y/CC /brasil/NP00000 /competir/VMIP3P0 /por/SPS00 /conquistar/VMN0000 /""/Fe /el/DA0FS0 /copa/NP00000 /de/SPS00 /el/DA0MP0 /sabores/NP00000 /""/Fe /de/SPS00 Lay's ",lay's,np00000,lay's,de,de,SPS00,"""","""",Fe,Sabores,sabores,NP00000,los,el,DA0MP0,de,de,SPS00,,,,,,,,,,,,,,,,2014-07-11,2014,2010,,,Fe SPS00 Lay's,NP00000 Fe SPS00 Lay's,DA0MP0 NP00000 Fe SPS00 Lay's,,,,,,""" de Lay's","sabores "" de Lay's","el sabores "" de Lay's",,,
