url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.europapress.es/comunicados/sociedad/noticia-comunicado-abierto-plazo-registro-edicion-torneo-young-business-talents-20140729113316.html,europapress.es,2014-07-29,Spain,Liposan/NP00000/liposan,"Otras  enseñas  como  Eucerin  ,  La  Prairie  ,  Labello  ( Liposan  en  España  )  y  Hansaplast  contribuyen  también  al  éxito  internacional  de  su  portfolio  de  marcas  .",liposan,np00000,liposan,(,(,Fpa,Labello,labello,NP00000,",",",",Fc,Prairie,prairie,NP00000,La,la,NP00000,en,en,SPS00,España,españa,NP00000,),),Fpt,y,y,CC,Hansaplast,hansaplast,NP00000,2014-07-29,2014,2010,NP00000 Fpa Liposan SPS00 NP00000,Fpa Liposan SPS00,NP00000 Fpa Liposan,Fc NP00000 Fpa Liposan,NP00000 Fc NP00000 Fpa Liposan,Liposan SPS00 NP00000,Liposan SPS00 NP00000 Fpt,Liposan SPS00 NP00000 Fpt CC,labello ( Liposan en españa,( Liposan en,labello ( Liposan,", labello ( Liposan","prairie , labello ( Liposan",Liposan en españa,Liposan en españa ),Liposan en españa ) y
http://www.europapress.es/comunicados/sociedad/noticia-comunicado-abierto-plazo-inscripcion-alumnos-iv-edicion-young-business-talents-20140904161120.html,europapress.es,2014-09-04,Spain,Liposan/NP00000/liposan,"NIVEA  ,  la  marca  No1  mundial  en  cuidado  de  la  piel  *  ,  es  la  piedra  angular  dentro  del  exitoso  portfolio  internacional  de  marcas  de  Beiersdorf  AG  ,  en  el  cual  se  encuentran  también  las  marcas  líderes  Eucerin  ,  La  Prairie  ,  Labello  (  en  España Liposan  )  y  Hansaplast  /  Elastoplast  .",liposan,np00000,liposan,España,españa,NP00000,en,en,SPS00,(,(,Fpa,Labello,labello,NP00000,",",",",Fc,),),Fpt,y,y,CC,Hansaplast,hansaplast,NP00000,/,,,Elastoplast,elastoplast,NP00000,2014-09-04,2014,2010,SPS00 NP00000 Liposan Fpt CC,NP00000 Liposan Fpt,SPS00 NP00000 Liposan,Fpa SPS00 NP00000 Liposan,NP00000 Fpa SPS00 NP00000 Liposan,Liposan Fpt CC,Liposan Fpt CC NP00000,,en españa Liposan ) y,españa Liposan ),en españa Liposan,( en españa Liposan,labello ( en españa Liposan,Liposan ) y,Liposan ) y hansaplast,
http://www.europapress.es/comunicados/sociedad/noticia-comunicado-mas-300-colegios-incorporan-practica-empresarial-aulas-gracias-simuladores-20141020115414.html,europapress.es,2014-10-20,Spain,Liposan/NP00000/liposan,"NIVEA  ,  la  marca  No1  mundial  en  cuidado  de  la  piel  ,  es  la  piedra  angular  dentro  del  exitoso  portfolio  internacional  de  marcas  de  Beiersdorf  AG  ,  en  el  cual  se  encuentran  también  las  marcas  líderes  Eucerin  ,  La  Prairie  ,  Labello  (  en  España Liposan  )  y  Hansaplast  /  Elastoplast  .",liposan,np00000,liposan,España,españa,NP00000,en,en,SPS00,(,(,Fpa,Labello,labello,NP00000,",",",",Fc,),),Fpt,y,y,CC,Hansaplast,hansaplast,NP00000,/,,,Elastoplast,elastoplast,NP00000,2014-10-20,2014,2010,SPS00 NP00000 Liposan Fpt CC,NP00000 Liposan Fpt,SPS00 NP00000 Liposan,Fpa SPS00 NP00000 Liposan,NP00000 Fpa SPS00 NP00000 Liposan,Liposan Fpt CC,Liposan Fpt CC NP00000,,en españa Liposan ) y,españa Liposan ),en españa Liposan,( en españa Liposan,labello ( en españa Liposan,Liposan ) y,Liposan ) y hansaplast,
http://www.europapress.es/comunicados/sociedad/noticia-comunicadomas-7500-jovenes-competiran-ser-mejor-empresario-virtual-espana-20141201162754.html,europapress.es,2014-12-01,Spain,Liposan/NP00000/liposan,"NIVEA  ,  la  marca  No1  mundial  en  cuidado  de  la  piel  *  ,  es  la  piedra  angular  dentro  del  exitoso  portfolio  internacional  de  marcas  de  Beiersdorf  AG  ,  en  el  cual  se  encuentran  también  las  marcas  líderes  Eucerin  ,  La  Prairie  ,  Labello  (  en  España Liposan  )  y  Hansaplast  /  Elastoplast  .",liposan,np00000,liposan,España,españa,NP00000,en,en,SPS00,(,(,Fpa,Labello,labello,NP00000,",",",",Fc,),),Fpt,y,y,CC,Hansaplast,hansaplast,NP00000,/,,,Elastoplast,elastoplast,NP00000,2014-12-01,2014,2010,SPS00 NP00000 Liposan Fpt CC,NP00000 Liposan Fpt,SPS00 NP00000 Liposan,Fpa SPS00 NP00000 Liposan,NP00000 Fpa SPS00 NP00000 Liposan,Liposan Fpt CC,Liposan Fpt CC NP00000,,en españa Liposan ) y,españa Liposan ),en españa Liposan,( en españa Liposan,labello ( en españa Liposan,Liposan ) y,Liposan ) y hansaplast,
http://www.eleconomista.es/economia/noticias/6298263/12/14/Alain-Afflelou-incorpora-a-Jorge-Calvino-como-director-de-recursos-humanos-de-la-compania.html,eleconomista.es,2014-12-03,Spain,Liposan/NP00000/liposan,"Calviño  cuenta  con  una  larga  carrera  en  el  sector  de  los  recursos  humanos  avalada  por  sus  trabajos  en  multinacionales  como  Procter  &  Gamble  ,  L'Oreal  ,  Microsoft  y  el  Grupo  Beiersdorf  (  que  integra  marcas  como  Nivea  ,  Hansaplast  , Liposan  y  Atrix  )  en  el  que  lideraba  el  Sur  de  Europa  .",liposan,np00000,liposan,",",",",Fc,Hansaplast,hansaplast,NP00000,",",",",Fc,Nivea,nivea,NP00000,como,como,CS,y,y,CC,Atrix,atrix,NP00000,),),Fpt,en,en,SPS00,el,el,DA0MS0,2014-12-03,2014,2010,NP00000 Fc Liposan CC NP00000,Fc Liposan CC,NP00000 Fc Liposan,Fc NP00000 Fc Liposan,NP00000 Fc NP00000 Fc Liposan,Liposan CC NP00000,Liposan CC NP00000 Fpt,Liposan CC NP00000 Fpt SPS00,"hansaplast , Liposan y atrix",", Liposan y","hansaplast , Liposan",", hansaplast , Liposan","nivea , hansaplast , Liposan",Liposan y atrix,Liposan y atrix ),Liposan y atrix ) en
http://www.elnortedecastilla.es/sociedad/salud/201602/22/sabes-aplicas-labios-20160222191028.html,elnortedecastilla.es,2016-02-22,Spain,Liposan/NP00000/liposan,"Aquí  ponen  como  ejemplo  marcas  como  Avène  Cold  Cream  ,  Carmex  Classic  ,  ChapSan  ,  Eucerin  ,  Protector  Labial  ISDIN  ,  Letibalm  , Liposan  ,  Neutrógena  Formula  Noruega  ,  Repavar  ,  Vaselina  Neutra  Perfumada  Gal  y  Vaselina  Farline  .",liposan,np00000,liposan,",",",",Fc,Letibalm,letibalm,NP00000,",",",",Fc,ISDIN,isdin,NP00000,Labial,labial,NP00000,",",",",Fc,Neutrógena,neutrógena,NP00000,Formula,formula,NP00000,Noruega,noruega,NP00000,",",",",Fc,2016-02-22,2016,2010,NP00000 Fc Liposan Fc NP00000,Fc Liposan Fc,NP00000 Fc Liposan,Fc NP00000 Fc Liposan,NP00000 Fc NP00000 Fc Liposan,Liposan Fc NP00000,Liposan Fc NP00000 NP00000,Liposan Fc NP00000 NP00000 NP00000,"letibalm , Liposan , neutrógena",", Liposan ,","letibalm , Liposan",", letibalm , Liposan","isdin , letibalm , Liposan","Liposan , neutrógena","Liposan , neutrógena formula","Liposan , neutrógena formula noruega"
http://www.elnortedecastilla.es/sociedad/salud/201602/22/sabes-aplicas-labios-20160222191028.html,elnortedecastilla.es,2016-02-22,Spain,Liposan/NP00000/liposan,"En  este  ejemplo  entrarían  marcas  como  Carmex  Classic  ,  Cien  ,  ChapSan  , Liposan  ,  Nuxe  Rêve  de  Miel  ,  Repavar  ,  Vaselina  Neutra  Perfumada  Gal  y  Weleda  ,  según  la  Organización  de  Consumidores  . </doc>",liposan,np00000,liposan,",",",",Fc,ChapSan,chapsan,NP00000,",",",",Fc,Cien,100,Z,",",",",Fc,",",",",Fc,Nuxe,nuxe,NP00000,Rêve,rêve,NP00000,de,de,SPS00,Miel,miel,NP00000,2016-02-22,2016,2010,NP00000 Fc Liposan Fc NP00000,Fc Liposan Fc,NP00000 Fc Liposan,Fc NP00000 Fc Liposan,Z Fc NP00000 Fc Liposan,Liposan Fc NP00000,Liposan Fc NP00000 NP00000,Liposan Fc NP00000 NP00000 SPS00,"chapsan , Liposan , nuxe",", Liposan ,","chapsan , Liposan",", chapsan , Liposan","100 , chapsan , Liposan","Liposan , nuxe","Liposan , nuxe rêve","Liposan , nuxe rêve de"
http://www.lavanguardia.com/de-moda/belleza/20160413/401077324046/dia-internacional-del-beso-como-cuidar-labios.html,lavanguardia.com,2016-04-13,Spain,Liposan/NP00000/liposan,Las  que  uso  de  toda  la  vida  ahora  con  color  !  # Liposan  #  CareAndColor  #  Lipstick  #  MartaCarriedoDaily,liposan,np00000,liposan,#,#,Fz,!,!,Fat,color,color,NCMS000,con,con,SPS00,ahora,ahora,RG,#,#,Fz,CareAndColor,careandcolor,NP00000,#,#,Fz,Lipstick,lipstick,NP00000,#,#,Fz,2016-04-13,2016,2010,Fat Fz Liposan Fz NP00000,Fz Liposan Fz,Fat Fz Liposan,NCMS000 Fat Fz Liposan,SPS00 NCMS000 Fat Fz Liposan,Liposan Fz NP00000,Liposan Fz NP00000 Fz,Liposan Fz NP00000 Fz NP00000,! # Liposan # careandcolor,# Liposan #,! # Liposan,color ! # Liposan,con color ! # Liposan,Liposan # careandcolor,Liposan # careandcolor #,Liposan # careandcolor # lipstick
http://diarioavance.com/publicidad-mercadeo/oscuras-los-besos-saben-mucho-mas-sabrosos-segun-esta-simpatica-campana/,diarioavance.com,2017-07-06,===NONE===,Liposan/NP00000/liposan,"El  próximo  6  de  julio  se  celebra  el  Día  Internacional  del  Beso  Robado  y  para  celebrar  como  se  merece  esta  romántica  efeméride  (  de  la  que  muchos  no  tendrán  probablemente  noticia  )  ,  la  marca  de  protectores  labiales  Labello  ( Liposan  en  España  )  ha  llevado  a  cabo  un  singular  experimento  marketero  en  Alemania  .",liposan,np00000,liposan,(,(,Fpa,Labello,labello,NP00000,labiales,labial,AQ0CP0,protectores,protector,NCMP000,de,de,SPS00,en,en,SPS00,España,españa,NP00000,),),Fpt,ha,haber,VAIP3S0,llevado,llevar,VMP00SM,2017-07-06,2017,2010,NP00000 Fpa Liposan SPS00 NP00000,Fpa Liposan SPS00,NP00000 Fpa Liposan,AQ0CP0 NP00000 Fpa Liposan,NCMP000 AQ0CP0 NP00000 Fpa Liposan,Liposan SPS00 NP00000,Liposan SPS00 NP00000 Fpt,Liposan SPS00 NP00000 Fpt VAIP3S0,labello ( Liposan en españa,( Liposan en,labello ( Liposan,labial labello ( Liposan,protector labial labello ( Liposan,Liposan en españa,Liposan en españa ),Liposan en españa ) haber
https://elpais.com/economia/2019/07/12/actualidad/1562940921_599327.html#ref%3Drss%26format%3Dsimple%26link%3Dlink,elpais.com,2019-07-12,Spain,Liposan/NP00000/liposan,"Hoy  ,  la  empresa  fundada  por  el  ingeniero  alemán  en  1882  es  un  gigante  que  factura  más  de  7.000_millones  y  que  ,  además  de  la  crema  de  la  mítica  lata  azul  --  y  del  no  menos  mítico  balón  de  playa  --  es  dueña  de  marcas  como  Eucerin  ,  La  Prairie  ,  Labello  ( Liposan  ,  en  España  )  ,  las  tiritas  Hansaplast  o  la  marca  de  cintas  adhesivas  Tesa  .",liposan,np00000,liposan,(,(,Fpa,Labello,labello,NP00000,",",",",Fc,Prairie,prairie,NP00000,La,la,NP00000,",",",",Fc,en,en,SPS00,España,españa,NP00000,),),Fpt,",",",",Fc,2019-07-12,2019,2010,NP00000 Fpa Liposan Fc SPS00,Fpa Liposan Fc,NP00000 Fpa Liposan,Fc NP00000 Fpa Liposan,NP00000 Fc NP00000 Fpa Liposan,Liposan Fc SPS00,Liposan Fc SPS00 NP00000,Liposan Fc SPS00 NP00000 Fpt,"labello ( Liposan , en","( Liposan ,",labello ( Liposan,", labello ( Liposan","prairie , labello ( Liposan","Liposan , en","Liposan , en españa","Liposan , en españa )"
