url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://elpais.com/elpais/2014/03/12/icon/1394621934_380593.html,elpais.com,2014-03-13,Spain,Listerine/NP00000/listerine,"Juguemos  :  ¿  es  usted  hombre  Mac  o  Nike  , Listerine  o  Abercrombie  ,  Comedy  Central  o  Bimmer  ...  ?",listerine,np00000,listerine,",",",",Fc,Nike,nike,NP00000,o,o,CC,Mac,mac,NP00000,hombre,hombre,NCMS000,o,o,CC,Abercrombie,abercrombie,NP00000,",",",",Fc,Comedy,comedy,NP00000,Central,central,NP00000,2014-03-13,2014,2010,NP00000 Fc Listerine CC NP00000,Fc Listerine CC,NP00000 Fc Listerine,CC NP00000 Fc Listerine,NP00000 CC NP00000 Fc Listerine,Listerine CC NP00000,Listerine CC NP00000 Fc,Listerine CC NP00000 Fc NP00000,"nike , Listerine o abercrombie",", Listerine o","nike , Listerine","o nike , Listerine","mac o nike , Listerine",Listerine o abercrombie,"Listerine o abercrombie ,","Listerine o abercrombie , comedy"
http://informaria.com/20032014/mas-de-100-paises-celebran-el-dia-mundial-de-la-salud-bucodental/,informaria.com,2014-03-20,===NONE===,Listerine/NP00000/listerine,"Jean-Luc  Eiselé  ,  director  ejecutivo  de  FDI  ,  destaca  que  ,  "" Listerine  ,  Unilever  ,  Henry  Schein  y  Wrigley  han  proporcionado  un  apoyo  sin  igual  para  hacer  del  WOHD  2014  la  celebración  más  grande  a  nivel  de  participación  de  países  y  asociaciones  .  "" </doc>",listerine,np00000,listerine,"""","""",Fe,",",",",Fc,que,que,CS,destaca,destacar,VMIP3S0,",",",",Fc,",",",",Fc,Unilever,unilever,NP00000,",",",",Fc,Henry,henry,NP00000,Schein,schein,NP00000,2014-03-20,2014,2010,Fc Fe Listerine Fc NP00000,Fe Listerine Fc,Fc Fe Listerine,CS Fc Fe Listerine,VMIP3S0 CS Fc Fe Listerine,Listerine Fc NP00000,Listerine Fc NP00000 Fc,Listerine Fc NP00000 Fc NP00000,", "" Listerine , unilever",""" Listerine ,",", "" Listerine","que , "" Listerine","destacar que , "" Listerine","Listerine , unilever","Listerine , unilever ,","Listerine , unilever , henry"
http://www.eleconomista.es/mercados-cotizaciones/noticias/5698985/04/14/Wall-Street-descuenta-una-mejora-del-beneficio-en-7-de-cada-10-empresas.html,eleconomista.es,2014-04-11,Spain,Listerine/NP00000/listerine,"Se  estima  que  esta  compañía  ,  que  comercializa  marcas  como Listerine  o  Neutrogena  ,  obtenga  un  beneficio  de  4.210_millones  de  dólares  ,  un  20,4  por  ciento  más  que  en  el  mismo  periodo  del  ejercicio  anterior  -  ver  gráfico  -  .",listerine,np00000,listerine,como,como,CS,marcas,marca,NCFP000,comercializa,comercializar,VMIP3S0,que,que,PR0CN000,",",",",Fc,o,o,CC,Neutrogena,neutrogena,NP00000,",",",",Fc,obtenga,obtener,VMSP3S0,un,uno,DI0MS0,2014-04-11,2014,2010,NCFP000 CS Listerine CC NP00000,CS Listerine CC,NCFP000 CS Listerine,VMIP3S0 NCFP000 CS Listerine,PR0CN000 VMIP3S0 NCFP000 CS Listerine,Listerine CC NP00000,Listerine CC NP00000 Fc,Listerine CC NP00000 Fc VMSP3S0,marca como Listerine o neutrogena,como Listerine o,marca como Listerine,comercializar marca como Listerine,que comercializar marca como Listerine,Listerine o neutrogena,"Listerine o neutrogena ,","Listerine o neutrogena , obtener"
http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html,prnewswire.com,2014-06-05,United States,LISTERINE/NP00000/listerine,<doc uri=http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html website=prnewswire.com date=2014-06-05 source_country=United States> /el/DA0FS0 /marca/NCFS000 LISTERINE  ®  celebra  el  torneo  de  la  Copa  Mundial  FIFATM  a  través  de  su  mayor  activación  mundial  en  medios  sociales,listerine,np00000,listerine,marca,marca,NCFS000,La,el,DA0FS0,,,,,,,,,,®,®,Fz,celebra,celebrar,VMIP3S0,el,el,DA0MS0,torneo,torneo,NCMS000,de,de,SPS00,2014-06-05,2014,2010,DA0FS0 NCFS000 Listerine Fz VMIP3S0,NCFS000 Listerine Fz,DA0FS0 NCFS000 Listerine,,,Listerine Fz VMIP3S0,Listerine Fz VMIP3S0 DA0MS0,Listerine Fz VMIP3S0 DA0MS0 NCMS000,el marca Listerine ® celebrar,marca Listerine ®,el marca Listerine,,,Listerine ® celebrar,Listerine ® celebrar el,Listerine ® celebrar el torneo
http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html,prnewswire.com,2014-06-05,United States,LISTERINE/NP00000/listerine,"MORRIS  PLAINS  ,  Nueva  Jersey  ,  5  de  junio  de  2014  /  PRNewswire  /  --  La  marca LISTERINE  ®  lanza  su  mayor  activación  mundial  de  marketing  social  ,  ""  PODER  A  TU  BOCATM  ""  ,  para  la  Copa  Mundial  FIFATM  .",listerine,np00000,listerine,marca,marca,NCFS000,La,el,DA0FS0,--,--,Fg,/,,,PRNewswire,prnewswire,NP00000,®,®,Fz,lanza,lanzar,VMIP3S0,su,su,DP3CS0,mayor,mayor,AQ0CS0,activación,activación,NCFS000,2014-06-05,2014,2010,DA0FS0 NCFS000 Listerine Fz VMIP3S0,NCFS000 Listerine Fz,DA0FS0 NCFS000 Listerine,Fg DA0FS0 NCFS000 Listerine,,Listerine Fz VMIP3S0,Listerine Fz VMIP3S0 DP3CS0,Listerine Fz VMIP3S0 DP3CS0 AQ0CS0,el marca Listerine ® lanzar,marca Listerine ®,el marca Listerine,-- el marca Listerine,,Listerine ® lanzar,Listerine ® lanzar su,Listerine ® lanzar su mayor
http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html,prnewswire.com,2014-06-05,United States,LISTERINE/NP00000/listerine,"A  partir  del  desarrollo  previo  al  torneo  y  hasta  el  pitazo  final  ,  la  marca LISTERINE  ®  reaccionará  a  las  noticias  del  día  ,  recapitulará  los  partidos  más  importantes  y  conectará  a  los  hinchas  del  deporte  y  de  la  marca  a  través  de  sus  canales  sociales  y  del  hashtag  #  PowertoYourMouth  (  Poder  a  tu  boca  )  .",listerine,np00000,listerine,marca,marca,NCFS000,la,el,DA0FS0,",",",",Fc,final,final,AQ0CS0,pitazo,pito,NCMS00A,®,®,Fz,reaccionará,reaccionar,VMIF3S0,a,a,SPS00,las,el,DA0FP0,noticias,noticia,NCFP000,2014-06-05,2014,2010,DA0FS0 NCFS000 Listerine Fz VMIF3S0,NCFS000 Listerine Fz,DA0FS0 NCFS000 Listerine,Fc DA0FS0 NCFS000 Listerine,AQ0CS0 Fc DA0FS0 NCFS000 Listerine,Listerine Fz VMIF3S0,Listerine Fz VMIF3S0 SPS00,Listerine Fz VMIF3S0 SPS00 DA0FP0,el marca Listerine ® reaccionar,marca Listerine ®,el marca Listerine,", el marca Listerine","final , el marca Listerine",Listerine ® reaccionar,Listerine ® reaccionar a,Listerine ® reaccionar a el
http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html,prnewswire.com,2014-06-05,United States,listerineglobal/AQ0CS0/listerineglobal,"Dos  salas  de  noticias  con  expertos  del  deporte  e  ilustradores  se  instalarán  en  NYC  y  Londres  para  proporcionar  contenidos  en  inglés  y  español  en  tiempo  real  en  la  cuenta  de  Twitter  @ listerineglobal  y  también  en  árabe  ,  portugués  e  italiano  en  Facebook  .",listerineglobal,aq0cs0,listerineglobal,@,@,Fz,Twitter,twitter,NP00000,de,de,SPS00,cuenta,cuenta,NCFS000,la,el,DA0FS0,y,y,CC,también,también,RG,en,en,SPS00,árabe,árabe,AQ0CS0,",",",",Fc,2014-06-05,2014,2010,NP00000 Fz Listerine CC RG,Fz Listerine CC,NP00000 Fz Listerine,SPS00 NP00000 Fz Listerine,NCFS000 SPS00 NP00000 Fz Listerine,Listerine CC RG,Listerine CC RG SPS00,Listerine CC RG SPS00 AQ0CS0,twitter @ Listerine y también,@ Listerine y,twitter @ Listerine,de twitter @ Listerine,cuenta de twitter @ Listerine,Listerine y también,Listerine y también en,Listerine y también en árabe
http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html,prnewswire.com,2014-06-05,United States,LISTERINE/NP00000/listerine,"""  '  PODER  A  TU  BOCATM  '  es  una  extensión  de  nuestra  campaña  mundial  de  publicidad  que  apunta  a  capacitar  a  los  consumidores  para  que  tengan  bocas  saludables  ""  ,  afirmó  Mike  Marquis  ,  Vicepresidente  Mundial  de  la  marca LISTERINE  ®  .  ""  Sabemos  que  la  boca  pasa  por  muchas  cosas  a  lo  largo  del  día  .",listerine,np00000,listerine,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,Mundial,mundial,NP00000,Vicepresidente,vicepresidente,NP00000,®,®,Fz,.,.,Fp,"""","""",Fe,Sabemos,saber,VMIP1P0,que,que,CS,2014-06-05,2014,2010,DA0FS0 NCFS000 Listerine Fz Fp,NCFS000 Listerine Fz,DA0FS0 NCFS000 Listerine,SPS00 DA0FS0 NCFS000 Listerine,NP00000 SPS00 DA0FS0 NCFS000 Listerine,Listerine Fz Fp,Listerine Fz Fp Fe,Listerine Fz Fp Fe VMIP1P0,el marca Listerine ® .,marca Listerine ®,el marca Listerine,de el marca Listerine,mundial de el marca Listerine,Listerine ® .,"Listerine ® . ""","Listerine ® . "" saber"
http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html,prnewswire.com,2014-06-05,United States,LISTERINE/NP00000/listerine,Se  incorporarán  mensajes  sobre  el  cuidado  bucal  usando  el  mismo  tono  que  se  centrará  en  el  modo  en  que  la  marca LISTERINE  ®  ofrece  una  limpieza  más  profunda  que  el  solo  cepillado  .,listerine,np00000,listerine,marca,marca,NCFS000,la,el,DA0FS0,que,que,CS,en,en,SPS00,modo,modo,NCMS000,®,®,Fz,ofrece,ofrecer,VMIP3S0,una,uno,DI0FS0,limpieza,limpieza,NCFS000,más,más,RG,2014-06-05,2014,2010,DA0FS0 NCFS000 Listerine Fz VMIP3S0,NCFS000 Listerine Fz,DA0FS0 NCFS000 Listerine,CS DA0FS0 NCFS000 Listerine,SPS00 CS DA0FS0 NCFS000 Listerine,Listerine Fz VMIP3S0,Listerine Fz VMIP3S0 DI0FS0,Listerine Fz VMIP3S0 DI0FS0 NCFS000,el marca Listerine ® ofrecer,marca Listerine ®,el marca Listerine,que el marca Listerine,en que el marca Listerine,Listerine ® ofrecer,Listerine ® ofrecer uno,Listerine ® ofrecer uno limpieza
http://www.prnewswire.com/news-releases/la-marca-listerine-celebra-el-torneo-de-la-copa-mundial-fifa-a-traves-de-su-mayor-activacion-mundial-en-medios-sociales-261965581.html,prnewswire.com,2014-06-05,United States,LISTERINE/NP00000/listerine,"Desde  comer  un  hot  dog  hasta  celebrar  un  gol  ,  el  spot  muestra  una  parte  de  la  Copa  Mundial  FIFATM  que  homenajea  a  Brasil  al  mismo  tiempo  que  invita  a  descubrir  el  poder  del  enjuague  bucal LISTERINE  ®  y  sus  beneficios  para  combatir  la  formación  de  placa  y  el  mal  aliento  .",listerine,np00000,listerine,bucal,bucal,AQ0CS0,enjuague,enjuague,NCMS000,del,de+el,SPS00+DA0MS0,poder,poder,NCMS000,el,el,DA0MS0,®,®,Fz,y,y,CC,sus,su,DP3CP0,beneficios,beneficio,NCMP000,para,para,SPS00,2014-06-05,2014,2010,NCMS000 AQ0CS0 Listerine Fz CC,AQ0CS0 Listerine Fz,NCMS000 AQ0CS0 Listerine,SPS00+DA0MS0 NCMS000 AQ0CS0 Listerine,NCMS000 SPS00+DA0MS0 NCMS000 AQ0CS0 Listerine,Listerine Fz CC,Listerine Fz CC DP3CP0,Listerine Fz CC DP3CP0 NCMP000,enjuague bucal Listerine ® y,bucal Listerine ®,enjuague bucal Listerine,de+el enjuague bucal Listerine,poder de+el enjuague bucal Listerine,Listerine ® y,Listerine ® y su,Listerine ® y su beneficio
