url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.expansion.com/2014/01/17/directivos/1389987774.html,expansion.com,2014-01-18,Spain,Loctite/NP00000/loctite,"Coma  es  el  piloto  nacional  con  más  sponsors  ,  fruto  de  los  éxitos  deportivos  ,  con  el  patrocinio  además  de  la  bebida  energética  de  AMV  , Loctite  ,  Michelin  ,  Scorpion  Exo  ,  Alpinestrars  .",loctite,np00000,loctite,",",",",Fc,AMV,amv,NP00000,de,de,SPS00,energética,energético,AQ0FS0,bebida,bebida,NCFS000,",",",",Fc,Michelin,michelin,NP00000,",",",",Fc,Scorpion,scorpion,NP00000,Exo,exo,NP00000,2014-01-18,2014,2010,NP00000 Fc Loctite Fc NP00000,Fc Loctite Fc,NP00000 Fc Loctite,SPS00 NP00000 Fc Loctite,AQ0FS0 SPS00 NP00000 Fc Loctite,Loctite Fc NP00000,Loctite Fc NP00000 Fc,Loctite Fc NP00000 Fc NP00000,"amv , Loctite , michelin",", Loctite ,","amv , Loctite","de amv , Loctite","energético de amv , Loctite","Loctite , michelin","Loctite , michelin ,","Loctite , michelin , scorpion"
http://www.elperiodico.com/es/noticias/opinion/piloso-esta-regreso-pau-arenos-3257584?utm_source=rss-noticias&utm_medium=feed&utm_campaign=opinion,elperiodico.com,2014-04-25,===NONE===,Loctite/NP00000/loctite,"Esta  cincuentona  siempre  quiere  estar  a  la  última  ,  lo  que  la  obliga  a  usar  el Loctite  para  fijar  ideas  o  pelos  .",loctite,np00000,loctite,el,el,DA0MS0,usar,usar,VMN0000,a,a,SPS00,obliga,obligar,VMIP3S0,la,lo,PP3FSA00,para,para,SPS00,fijar,fijar,VMN0000,ideas,idea,NCFP000,o,o,CC,pelos,pelo,NCMP000,2014-04-25,2014,2010,VMN0000 DA0MS0 Loctite SPS00 VMN0000,DA0MS0 Loctite SPS00,VMN0000 DA0MS0 Loctite,SPS00 VMN0000 DA0MS0 Loctite,VMIP3S0 SPS00 VMN0000 DA0MS0 Loctite,Loctite SPS00 VMN0000,Loctite SPS00 VMN0000 NCFP000,Loctite SPS00 VMN0000 NCFP000 CC,usar el Loctite para fijar,el Loctite para,usar el Loctite,a usar el Loctite,obligar a usar el Loctite,Loctite para fijar,Loctite para fijar idea,Loctite para fijar idea o
http://www.eleconomista.es/economia/noticias/5761234/05/14/Henkel-eleva-un-142-su-beneficio-en-el-primer-trimestre-hasta-449-millones.html,eleconomista.es,2014-05-07,Spain,Loctite/NP00000/loctite,"<doc uri=http://www.eleconomista.es/economia/noticias/5761234/05/14/Henkel-eleva-un-142-su-beneficio-en-el-primer-trimestre-hasta-449-millones.html website=eleconomista.es date=2014-05-07 source_country=Spain> /el/DA0FP0 /venta/NCFP000 /de+el/SPS00+DA0MS0 /fabricante/NCCS000 /alemán/AQ0MS0 /,/Fc /propietario/AQ0MS0 /de/SPS00 /marca/NCFP000 /como/CS /vernel/NP00000 /,/Fc /schwarzkopf/NP00000 /,/Fc /pritt/NP00000 /o/CC Loctite  entre  otras  ,  alcanzaron  los  3.929_millones  de  euros  en  los  tres  primeros  meses  de  2014  ,  un  2,6  %  menos  que  los  4.033_millones  de  euros  que  facturó  en  el  mismo  periodo  del  pasado  año  .",loctite,np00000,loctite,o,o,CC,Pritt,pritt,NP00000,",",",",Fc,Schwarzkopf,schwarzkopf,NP00000,",",",",Fc,entre,entre,SPS00,otras,otro,PI0FP000,",",",",Fc,alcanzaron,alcanzar,VMIS3P0,los,el,DA0MP0,2014-05-07,2014,2010,NP00000 CC Loctite SPS00 PI0FP000,CC Loctite SPS00,NP00000 CC Loctite,Fc NP00000 CC Loctite,NP00000 Fc NP00000 CC Loctite,Loctite SPS00 PI0FP000,Loctite SPS00 PI0FP000 Fc,Loctite SPS00 PI0FP000 Fc VMIS3P0,pritt o Loctite entre otro,o Loctite entre,pritt o Loctite,", pritt o Loctite","schwarzkopf , pritt o Loctite",Loctite entre otro,"Loctite entre otro ,","Loctite entre otro , alcanzar"
http://www.abc.es/viajar/restaurantes/20140602/abci-cocinar-hamburguesa-perfecta-201405302010.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-06-02,Spain,loctite/NCMS000/loctite,"Eso  va  a  hacer  que  quede  más  esponjosa  y  coja  un  poco  de  volumen  ""  ,  cuenta  .  ""  Solo  hay  que  batir  bien  la  yema  y  añadirla  a  la  mezcla  de  la  carne  con  los  añadidos  que  ya  habíamos  preparado  ,  como  si  fuera  ' loctite  '  ""  .",loctite,ncms000,loctite,',',Fe,fuera,ser,VSSI1S0,si,si,CS,como,como,CS,",",",",Fc,',',Fe,"""","""",Fe,.,.,Fp,,,,,,,2014-06-02,2014,2010,VSSI1S0 Fe Loctite Fe Fe,Fe Loctite Fe,VSSI1S0 Fe Loctite,CS VSSI1S0 Fe Loctite,CS CS VSSI1S0 Fe Loctite,Loctite Fe Fe,Loctite Fe Fe Fp,,"ser ' Loctite ' """,' Loctite ',ser ' Loctite,si ser ' Loctite,como si ser ' Loctite,"Loctite ' ""","Loctite ' "" .",
http://deportes.elpais.com/deportes/2014/07/20/actualidad/1405875854_584084.html,elpais.com,2014-07-20,Spain,loctite/NCMS000/loctite,"Será  la  quinta  vez  que  el  Tour  termina  en  la  ascensión  que  domina  Lourdes  ,  la  primera  desde  2008  ,  pero  para  los  aficionados  su  nombre  está  pegado  con loctite  al  de  Miguel  Indurain  ,  quien  allí  ,  entre  la  niebla  ,  selló  la  victoria  de  su  cuarto  Tour  en  1994  ,  que  allí  ,  un  día  terrible  de  1996  ,  comprendió  que  nunca  ganaría  el  sexto  ,  que  nunca  volvería  a  ganar  el  Tour  .",loctite,ncms000,loctite,con,con,SPS00,pegado,pegar,VMP00SM,está,estar,VAIP3S0,nombre,nombre,NCMS000,su,su,DP3CS0,al,a+el,SPS00+DA0MS0,de,de,SPS00,Miguel,miguel,NP00000,Indurain,indurain,NP00000,",",",",Fc,2014-07-20,2014,2010,VMP00SM SPS00 Loctite SPS00+DA0MS0 SPS00,SPS00 Loctite SPS00+DA0MS0,VMP00SM SPS00 Loctite,VAIP3S0 VMP00SM SPS00 Loctite,NCMS000 VAIP3S0 VMP00SM SPS00 Loctite,Loctite SPS00+DA0MS0 SPS00,Loctite SPS00+DA0MS0 SPS00 NP00000,Loctite SPS00+DA0MS0 SPS00 NP00000 NP00000,pegar con Loctite a+el de,con Loctite a+el,pegar con Loctite,estar pegar con Loctite,nombre estar pegar con Loctite,Loctite a+el de,Loctite a+el de miguel,Loctite a+el de miguel indurain
http://www.lanzadigital.com/news/show/sociedad/de-industriales-a-montmelo/68125,lanzadigital.com,2014-08-28,Spain,Loctite/NP00000/loctite,"El  proyecto  cuenta  con  el  patrocinio  de  la  Diputación  Provincial  de  Ciudad  Real  y  del  Campus  de  Excelencia  Internacional  CyTEMA  de  la  UCLM  ,  quienes  han  aportado  10.000  y  5.000  euros  ,  respectivamente  ;  así  como  de  NTN  ,  Colomer  ,  Alquileres  Ciudad  Real  ,  Instituto  de  Educación  Secundaria  Maestre  de  Calatrava  ,  Polymec  , Loctite  ,  MNT  y  de  la  propia  Escuela  Técnica  Superior  de  Ingenieros  Industriales  de  Ciudad  Real  ,  la  cual  ha  puesto  a  disposición  de  los  participantes  sus  laboratorios  ,  talleres  y  maquinaria  .",loctite,np00000,loctite,",",",",Fc,Polymec,polymec,NP00000,",",",",Fc,Calatrava,calatrava,NP00000,de,de,SPS00,",",",",Fc,MNT,mnt,NP00000,y,y,CC,de,de,SPS00,la,el,DA0FS0,2014-08-28,2014,2010,NP00000 Fc Loctite Fc NP00000,Fc Loctite Fc,NP00000 Fc Loctite,Fc NP00000 Fc Loctite,NP00000 Fc NP00000 Fc Loctite,Loctite Fc NP00000,Loctite Fc NP00000 CC,Loctite Fc NP00000 CC SPS00,"polymec , Loctite , mnt",", Loctite ,","polymec , Loctite",", polymec , Loctite","calatrava , polymec , Loctite","Loctite , mnt","Loctite , mnt y","Loctite , mnt y de"
http://www.andaluciainformacionweb.com/andalucia/434706/el-psoe-asegura-que-el-pp-y-pelayo-tienen-panico-a-las-urnas/,andaluciainformacionweb.com,2014-09-08,Spain,Loctite/NP00000/loctite,"""  Nos  parece  muy  mal  -  añade  -  que  la  Sra.  Pelayo  y  a  pesar  de  su  nefasta  gestión  quiera  el  sillón  de  la  Alcaldía  aunque  sea  pegado  con Loctite  ,  en  lugar  de  analizar  y  oír  lo  que  le  reclama  la  ciudadanía  ""  .",loctite,np00000,loctite,con,con,SPS00,pegado,pegar,VMP00SM,sea,ser,VSSP1S0,aunque,aunque,CC,Alcaldía,alcaldía,NP00000,",",",",Fc,en,en,SPS00,lugar,lugar,NCMS000,de,de,SPS00,analizar,analizar,VMN0000,2014-09-08,2014,2010,VMP00SM SPS00 Loctite Fc SPS00,SPS00 Loctite Fc,VMP00SM SPS00 Loctite,VSSP1S0 VMP00SM SPS00 Loctite,CC VSSP1S0 VMP00SM SPS00 Loctite,Loctite Fc SPS00,Loctite Fc SPS00 NCMS000,Loctite Fc SPS00 NCMS000 SPS00,"pegar con Loctite , en","con Loctite ,",pegar con Loctite,ser pegar con Loctite,aunque ser pegar con Loctite,"Loctite , en","Loctite , en lugar","Loctite , en lugar de"
http://www.elperiodico.com/es/noticias/opinion/mangas-verdes-3601381?utm_source=rss-noticias&utm_medium=feed&utm_campaign=opinion,elperiodico.com,2014-10-16,===NONE===,Loctite/NP00000/loctite,"Un  parche  porque  ,  de  todas  formas  ,  ya  se  sabe  qué  pasa  con  el  bibelot  de  la  rinconera  :  una  vez  pegado  con Loctite  ,  ya  no  es  lo  mismo  ,  no  ;  igual  que  con  los  matrimonios  que  se  perdonan  los  cuernos  .",loctite,np00000,loctite,con,con,SPS00,pegado,pegar,VMP00SM,vez,vez,NCFS000,una,uno,DI0FS0,:,:,Fd,",",",",Fc,ya,ya,RG,no,no,RN,es,ser,VSIP3S0,lo,el,DA0NS0,2014-10-16,2014,2010,VMP00SM SPS00 Loctite Fc RG,SPS00 Loctite Fc,VMP00SM SPS00 Loctite,NCFS000 VMP00SM SPS00 Loctite,DI0FS0 NCFS000 VMP00SM SPS00 Loctite,Loctite Fc RG,Loctite Fc RG RN,Loctite Fc RG RN VSIP3S0,"pegar con Loctite , ya","con Loctite ,",pegar con Loctite,vez pegar con Loctite,uno vez pegar con Loctite,"Loctite , ya","Loctite , ya no","Loctite , ya no ser"
http://www.eleconomista.es/economia/noticias/6233598/11/14/Henkel-gana-un-48-mas-hasta-septiembre.html,eleconomista.es,2014-11-11,Spain,Loctite/NP00000/loctite,"<doc uri=http://www.eleconomista.es/economia/noticias/6233598/11/14/Henkel-gana-un-48-mas-hasta-septiembre.html website=eleconomista.es date=2014-11-11 source_country=Spain> /el/DA0FP0 /venta/NCFP000 /de+el/SPS00+DA0MS0 /fabricante/NCCS000 /alemán/AQ0MS0 /,/Fc /propietario/AQ0MS0 /de/SPS00 /marca/NCFP000 /como/CS /vernel/NP00000 /,/Fc /schwarzkopf/NP00000 /,/Fc /pritt/NP00000 /o/CC Loctite  entre  otras  ,  alcanzaron  los  12.302_millones  de  euros  entre  enero  y  septiembre  ,  un  1,6  %  menos  que  el  año  pasado  .",loctite,np00000,loctite,o,o,CC,Pritt,pritt,NP00000,",",",",Fc,Schwarzkopf,schwarzkopf,NP00000,",",",",Fc,entre,entre,SPS00,otras,otro,PI0FP000,",",",",Fc,alcanzaron,alcanzar,VMIS3P0,los,el,DA0MP0,2014-11-11,2014,2010,NP00000 CC Loctite SPS00 PI0FP000,CC Loctite SPS00,NP00000 CC Loctite,Fc NP00000 CC Loctite,NP00000 Fc NP00000 CC Loctite,Loctite SPS00 PI0FP000,Loctite SPS00 PI0FP000 Fc,Loctite SPS00 PI0FP000 Fc VMIS3P0,pritt o Loctite entre otro,o Loctite entre,pritt o Loctite,", pritt o Loctite","schwarzkopf , pritt o Loctite",Loctite entre otro,"Loctite entre otro ,","Loctite entre otro , alcanzar"
http://www.elmundofinanciero.com/noticia/35857/Empresas/Henkel-presenta-una-buena-evolucion-en-un-entorno-dificil.html,elmundofinanciero.com,2014-11-12,Spain,Loctite/NP00000/loctite,"Fundada  en  1876  ,  Henkel  ocupa  ,  a  nivel  global  ,  posiciones  de  liderazgo  tanto  en  los  mercados  de  los  negocios  de  consumo  como  en  los  industriales  ,  con  marcas  tan  conocidas  como  WiPP  Express  ,  Schwarzkopf  y Loctite  . </doc>",loctite,np00000,loctite,y,y,CC,Schwarzkopf,schwarzkopf,NP00000,",",",",Fc,Express,express,NP00000,WiPP,wipp,NP00000,.,.,Fp,</doc>,,,,,,,,,,,,2014-11-12,2014,2010,,CC Loctite Fp,NP00000 CC Loctite,Fc NP00000 CC Loctite,NP00000 Fc NP00000 CC Loctite,,,,,y Loctite .,schwarzkopf y Loctite,", schwarzkopf y Loctite","express , schwarzkopf y Loctite",,,
