url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://diariobrown.com/1/aylen-strgacih-se-corono-campeona-sudmericana/,diariobrown.com,2014-01-01,Argentina,Longchamps/NP00000/longchamps,"La  siete  veces  campeona  argentina  de  ajedrez  ,  Aylen  Strgacih  ,  se  coronó  campeona  Sudamericana  ,  en  un  torneo  que  se  llevo  a  cabo  en  Bolivia  ,  que  reunió  a  los  mejores  deportistas  de  su  categoría  y  que  desde  hace  años  tiene  como  principal  protagonista  a  la  joven  de Longchamps  .",longchamps,np00000,longchamps,de,de,SPS00,joven,joven,NCCS000,la,el,DA0FS0,a,a,SPS00,protagonista,protagonista,NCCS000,.,.,Fp,,,,,,,,,,,,,2014-01-01,2014,2010,,SPS00 Longchamp Fp,NCCS000 SPS00 Longchamp,DA0FS0 NCCS000 SPS00 Longchamp,SPS00 DA0FS0 NCCS000 SPS00 Longchamp,,,,,de Longchamp .,joven de Longchamp,el joven de Longchamp,a el joven de Longchamp,,,
http://www.elmundo.es/yodona/2013/12/27/52bc3b17268e3ed35a8b4571.html,elmundo.es,2014-01-02,Spain,Longchamp/NP00000/longchamp,"Presentadora  -  estandarte  de  la  cadena  MTV  gracias  a  la  que  se  dio  a  conocer  -  ;  modelo  ,  ha  posado  para  algunos  de  los  fotógrafos  más  importantes  ,  ha  protagonizado  portadas  de  revistas  y  ha  sido  ,  y  es  ,  imagen  de  marcas  legendarias  como Longchamp  que  la  ha  escogido  como  rostro  de  su  campaña  de  primavera  2014  .",longchamp,np00000,longchamp,como,como,CS,legendarias,legendario,AQ0FP0,marcas,marca,NCFP000,de,de,SPS00,imagen,imagen,NCFS000,que,que,PR0CN000,la,lo,PP3FSA00,ha,haber,VAIP3S0,escogido,escoger,VMP00SM,como,como,CS,2014-01-02,2014,2010,AQ0FP0 CS Longchamp PR0CN000 PP3FSA00,CS Longchamp PR0CN000,AQ0FP0 CS Longchamp,NCFP000 AQ0FP0 CS Longchamp,SPS00 NCFP000 AQ0FP0 CS Longchamp,Longchamp PR0CN000 PP3FSA00,Longchamp PR0CN000 PP3FSA00 VAIP3S0,Longchamp PR0CN000 PP3FSA00 VAIP3S0 VMP00SM,legendario como Longchamp que lo,como Longchamp que,legendario como Longchamp,marca legendario como Longchamp,de marca legendario como Longchamp,Longchamp que lo,Longchamp que lo haber,Longchamp que lo haber escoger
http://www.lavanguardia.com/economia/emprendedores/20140102/54397725116/emprendedores-disme-aterriza-colombia.html,lavanguardia.com,2014-01-02,Spain,Longchamp/NP00000/longchamp,"La  ubicación  les  permitirá  afrontar  proyectos  para  una  región  en  una  extensión  que  irá  desde  que  se  extiende  de  los  Estados  Unidos  a  Chile  ,  donde  ya  cuentan  con  clientes  como  Montblanc  , Longchamp  o  Timberland  .  ""  Colombia  está  invirtiendo  en  excelentes  comunicaciones  con  los  países  con  los  que  es  fronteriza  ,  así  como  puertos  en  el  Pacífico  y  el  Atlántico  .",longchamp,np00000,longchamp,",",",",Fc,Montblanc,montblanc,NP00000,como,como,CS,clientes,cliente,NCCP000,con,con,SPS00,o,o,CC,Timberland,timberland,NP00000,.,.,Fp,"""","""",Fe,Colombia,colombia,NP00000,2014-01-02,2014,2010,NP00000 Fc Longchamp CC NP00000,Fc Longchamp CC,NP00000 Fc Longchamp,CS NP00000 Fc Longchamp,NCCP000 CS NP00000 Fc Longchamp,Longchamp CC NP00000,Longchamp CC NP00000 Fp,Longchamp CC NP00000 Fp Fe,"montblanc , Longchamp o timberland",", Longchamp o","montblanc , Longchamp","como montblanc , Longchamp","cliente como montblanc , Longchamp",Longchamp o timberland,Longchamp o timberland .,"Longchamp o timberland . """
http://www.pagina12.com.ar/diario/suplementos/no/12-6806-2014-01-02.html,pagina12.com.ar,2014-01-02,Argentina,Longchamps/NP00000/longchamps,"Longparade  2014  es  la  sabrosa  convocatoria  surbonaerense  que  reúne  a  Adrián  Paoletti  Trío  ,  Travesti  ,  Emisor  ,  Perdedores  Pop  ,  Placer  y  Las  Uvas  Estroboscópicas  el  sábado  4  en  Alsina  355  , Longchamps  ,  a  las  18  .",longchamps,np00000,longchamps,",",",",Fc,355,355,Z,Alsina,alsina,NP00000,en,en,SPS00,4,4,Z,",",",",Fc,a,a,SPS00,las,el,DA0FP0,18,18,Z,.,.,Fp,2014-01-02,2014,2010,Z Fc Longchamp Fc SPS00,Fc Longchamp Fc,Z Fc Longchamp,NP00000 Z Fc Longchamp,SPS00 NP00000 Z Fc Longchamp,Longchamp Fc SPS00,Longchamp Fc SPS00 DA0FP0,Longchamp Fc SPS00 DA0FP0 Z,"355 , Longchamp , a",", Longchamp ,","355 , Longchamp","alsina 355 , Longchamp","en alsina 355 , Longchamp","Longchamp , a","Longchamp , a el","Longchamp , a el 18"
http://www.lanacion.com.ar/1652376-a-pesar-del-descenso-de-la-temperatura-siguen-cortes-de-luz-y-las-protestas,lanacion.com.ar,2014-01-03,Argentina,Longchamps/NP00000/longchamps,"También  sobre  la  autopista  Buenos  Aires-La  Plata  ,  a  la  altura  del  peaje  de  Dock  Sud  ;  en Longchamps  y  en  Lanús  .",longchamps,np00000,longchamps,en,en,SPS00,;,;,Fx,Sud,sud,NP00000,Dock,dock,NP00000,de,de,SPS00,y,y,CC,en,en,SPS00,Lanús,lanús,NP00000,.,.,Fp,,,,2014-01-03,2014,2010,Fx SPS00 Longchamp CC SPS00,SPS00 Longchamp CC,Fx SPS00 Longchamp,NP00000 Fx SPS00 Longchamp,NP00000 NP00000 Fx SPS00 Longchamp,Longchamp CC SPS00,Longchamp CC SPS00 NP00000,Longchamp CC SPS00 NP00000 Fp,; en Longchamp y en,en Longchamp y,; en Longchamp,sud ; en Longchamp,dock sud ; en Longchamp,Longchamp y en,Longchamp y en lanús,Longchamp y en lanús .
http://www.26noticias.com.ar/sandro-4-anos-sin-el-gitano-183199.html,26noticias.com.ar,2014-01-04,Argentina,Longchamps/NP00000/longchamps,"Este  sábado  4  ,  en  el  cementerio  Glorian  Memorial  ,  ubicado  en Longchamps  ,  se  rendirá  homenaje  en  la  tumba  donde  descansan  sus  restos  .",longchamps,np00000,longchamps,en,en,SPS00,ubicado,ubicar,VMP00SM,",",",",Fc,Memorial,memorial,NP00000,Glorian,glorian,NP00000,",",",",Fc,se,se,P00CN000,rendirá,rendir,VMIF3S0,homenaje,homenaje,NCMS000,en,en,SPS00,2014-01-04,2014,2010,VMP00SM SPS00 Longchamp Fc P00CN000,SPS00 Longchamp Fc,VMP00SM SPS00 Longchamp,Fc VMP00SM SPS00 Longchamp,NP00000 Fc VMP00SM SPS00 Longchamp,Longchamp Fc P00CN000,Longchamp Fc P00CN000 VMIF3S0,Longchamp Fc P00CN000 VMIF3S0 NCMS000,"ubicar en Longchamp , se","en Longchamp ,",ubicar en Longchamp,", ubicar en Longchamp","memorial , ubicar en Longchamp","Longchamp , se","Longchamp , se rendir","Longchamp , se rendir homenaje"
http://www.26noticias.com.ar/sandro-4-anos-sin-el-gitano-183199.html,26noticias.com.ar,2014-01-04,Argentina,Longchamps/NP00000/longchamps,"Este  sábado  ,  a  partir  de  las  11  ,  en  el  cementerio  Glorian  Memorial  de Longchamps  le  rendirán  homenaje  en  la  tumba  donde  descansan  sus  restos  .",longchamps,np00000,longchamps,de,de,SPS00,Memorial,memorial,NP00000,Glorian,glorian,NP00000,cementerio,cementerio,NCMS000,el,el,DA0MS0,le,le,PP3CSD00,rendirán,rendir,VMIF3P0,homenaje,homenaje,NCMS000,en,en,SPS00,la,el,DA0FS0,2014-01-04,2014,2010,NP00000 SPS00 Longchamp PP3CSD00 VMIF3P0,SPS00 Longchamp PP3CSD00,NP00000 SPS00 Longchamp,NP00000 NP00000 SPS00 Longchamp,NCMS000 NP00000 NP00000 SPS00 Longchamp,Longchamp PP3CSD00 VMIF3P0,Longchamp PP3CSD00 VMIF3P0 NCMS000,Longchamp PP3CSD00 VMIF3P0 NCMS000 SPS00,memorial de Longchamp le rendir,de Longchamp le,memorial de Longchamp,glorian memorial de Longchamp,cementerio glorian memorial de Longchamp,Longchamp le rendir,Longchamp le rendir homenaje,Longchamp le rendir homenaje en
http://www.lmneuquen.com.ar/noticias/2014/1/4/rindieron-homenaje-a-sandro-a-cuatro-anos-de-su-muerte_211371,lmneuquen.com.ar,2014-01-04,Argentina,Longchamps/NP00000/longchamps,"Esta  mañana  ,  sus  fanáticas  le  rindieron  homenaje  en  el  cementerio  Glorian  Memorial  de Longchamps  ,  donde  descansan  los  restos  del  ""  Gitano  ""  ,  el  que  se  fue  ,  pero  que  seguirá  vivo  en  la  mente  de  los  argentinos  .",longchamps,np00000,longchamps,de,de,SPS00,Memorial,memorial,NP00000,Glorian,glorian,NP00000,cementerio,cementerio,NCMS000,el,el,DA0MS0,",",",",Fc,donde,donde,PR000000,descansan,descansar,VMIP3P0,los,el,DA0MP0,restos,resto,NCMP000,2014-01-04,2014,2010,NP00000 SPS00 Longchamp Fc PR000000,SPS00 Longchamp Fc,NP00000 SPS00 Longchamp,NP00000 NP00000 SPS00 Longchamp,NCMS000 NP00000 NP00000 SPS00 Longchamp,Longchamp Fc PR000000,Longchamp Fc PR000000 VMIP3P0,Longchamp Fc PR000000 VMIP3P0 DA0MP0,"memorial de Longchamp , donde","de Longchamp ,",memorial de Longchamp,glorian memorial de Longchamp,cementerio glorian memorial de Longchamp,"Longchamp , donde","Longchamp , donde descansar","Longchamp , donde descansar el"
http://www.lmneuquen.com.ar/noticias/2014/1/4/le-rindieron-homenaje-a-sandro-a-cuatro-anos-de-su-muerte_211371,lmneuquen.com.ar,2014-01-04,Argentina,Longchamps/NP00000/longchamps,"<doc uri=http://www.lmneuquen.com.ar/noticias/2014/1/4/le-rindieron-homenaje-a-sandro-a-cuatro-anos-de-su-muerte_211371 website=lmneuquen.com.ar date=2014-01-04 source_country=Argentina> /buenos/NP00000 /aires/NP00000 /./Fp /-/Fg /el/DA0MS0 /célebre/AQ0CS0 /cantante/NCCS000 /y/CC /actor/NCMS000 /argentino/AQ0MS0 /roberto/NP00000 /sánchez/NP00000 /,/Fc /conocer/VMP00SM /popularmente/RG /como/CS /sandro/NP00000 /,/Fc /ser/VSIS3S0 /homenajear/VMP00SM /hoy/RG /por/SPS00 /su/DP3CS0 /viudo/NCFS000 /,/Fc /olga/NP00000 /garaventa/NP00000 /,/Fc /a+el/SPS00+DA0MS0 /cumplir+se/VMN0000+PP3CN000 /4/Z /año/NCMP000 /de/SPS00 /su/DP3CS0 /deceso/NCMS000 /,/Fc /en/SPS00 /el/DA0MS0 /cementerio/NCMS000 /glorian/NP00000 /memorial/NP00000 /de/SPS00 Longchamps  ,  donde  están  depositados  sus  restos  .",longchamps,np00000,longchamps,de,de,SPS00,Memorial,memorial,NP00000,Glorian,glorian,NP00000,cementerio,cementerio,NCMS000,el,el,DA0MS0,",",",",Fc,donde,donde,PR000000,están,estar,VAIP3P0,depositados,depositar,VMP00PM,sus,su,DP3CP0,2014-01-04,2014,2010,NP00000 SPS00 Longchamp Fc PR000000,SPS00 Longchamp Fc,NP00000 SPS00 Longchamp,NP00000 NP00000 SPS00 Longchamp,NCMS000 NP00000 NP00000 SPS00 Longchamp,Longchamp Fc PR000000,Longchamp Fc PR000000 VAIP3P0,Longchamp Fc PR000000 VAIP3P0 VMP00PM,"memorial de Longchamp , donde","de Longchamp ,",memorial de Longchamp,glorian memorial de Longchamp,cementerio glorian memorial de Longchamp,"Longchamp , donde","Longchamp , donde estar","Longchamp , donde estar depositar"
http://www.tucumanalas7.com.ar/nota.php?id=98562,tucumanalas7.com.ar,2014-01-04,Argentina,Longchamps/NP00000/longchamps,La  viuda  de  Sandro  lo  recordó  en  el  cementerio  de Longchamps ,longchamps,np00000,longchamps,de,de,SPS00,cementerio,cementerio,NCMS000,el,el,DA0MS0,en,en,SPS00,recordó,recordar,VMIS3S0,,,,,,,,,,,,,,,,2014-01-04,2014,2010,,,NCMS000 SPS00 Longchamp,DA0MS0 NCMS000 SPS00 Longchamp,SPS00 DA0MS0 NCMS000 SPS00 Longchamp,,,,,,cementerio de Longchamp,el cementerio de Longchamp,en el cementerio de Longchamp,,,
