url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elobservador.com.uy/noticia/270216/el-milagro-de-la-moda-colombiana-es-producto-de-un-plan-premeditado/,elobservador.com.uy,2014-01-25,Uruguay,Lyocell/NP00000/lyocell,"Varias  de  las  más  destacadas  empresas  textiles  que  participaron  de  la  feria  utilizan  fibras  como  Emana  -  conocida  por  sus  propiedades  cosméticas  como  la  mejora  de  la  circulación  y  la  reducción  de  la  celulitis  -  , Lyocell  -  fibra  natural  que  deriva  del  eucalipto  y  permite  en  el  tejido  una  mayor  respiración  -  y  fibras  derivadas  del  reciclaje  de  botellas  de  plástico  .",lyocell,np00000,lyocell,",",",",Fc,-,-,Fg,celulitis,celulitis,NCFN000,la,el,DA0FS0,de,de,SPS00,-,-,Fg,fibra,fibra,NCFS000,natural,natural,AQ0CS0,que,que,PR0CN000,deriva,derivar,VMIP3S0,2014-01-25,2014,2010,Fg Fc Lyocell Fg NCFS000,Fc Lyocell Fg,Fg Fc Lyocell,NCFN000 Fg Fc Lyocell,DA0FS0 NCFN000 Fg Fc Lyocell,Lyocell Fg NCFS000,Lyocell Fg NCFS000 AQ0CS0,Lyocell Fg NCFS000 AQ0CS0 PR0CN000,"- , Lyocell - fibra",", Lyocell -","- , Lyocell","celulitis - , Lyocell","el celulitis - , Lyocell",Lyocell - fibra,Lyocell - fibra natural,Lyocell - fibra natural que
http://www.abc.es/estilo-gente/20140927/rc-coleccion-denim-sostenible-201409271510.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-09-27,Spain,lyocell/NCMS000/lyocell,"Además  de  las  prendas  básicas  en  tejido  vaquero  ,  se  han  diseñado  otras  piezas  de  aspecto  '  denim  '  confeccionadas  en  materiales  más  sostenibles  como  el  algodón  orgánico  ,  la  lana  reciclada  ,  el  lino  orgánico  ,  el lyocell  (  un  tejido  que  se  fabrica  a  través  de  la  fibra  de  algunos  árboles  que  crecen  muy  deprisa  ,  que  necesitan  poca  agua  y  que  apenas  necesitan  pesticidas  )  y  el  tencell  (  un  tipo  de  lyocell  suave  y  ligero  que  proviene  de  la  fibra  del  eucalipto  )  .",lyocell,ncms000,lyocell,el,el,DA0MS0,",",",",Fc,orgánico,orgánico,AQ0MS0,lino,lino,NCMS000,el,el,DA0MS0,(,(,Fpa,un,uno,DI0MS0,tejido,tejido,NCMS000,que,que,PR0CN000,se,se,P00CN000,2014-09-27,2014,2010,Fc DA0MS0 Lyocell Fpa DI0MS0,DA0MS0 Lyocell Fpa,Fc DA0MS0 Lyocell,AQ0MS0 Fc DA0MS0 Lyocell,NCMS000 AQ0MS0 Fc DA0MS0 Lyocell,Lyocell Fpa DI0MS0,Lyocell Fpa DI0MS0 NCMS000,Lyocell Fpa DI0MS0 NCMS000 PR0CN000,", el Lyocell ( uno",el Lyocell (,", el Lyocell","orgánico , el Lyocell","lino orgánico , el Lyocell",Lyocell ( uno,Lyocell ( uno tejido,Lyocell ( uno tejido que
http://www.abc.es/estilo-gente/20140927/rc-coleccion-denim-sostenible-201409271510.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-09-27,Spain,lyocell/NCMS000/lyocell,"Además  de  las  prendas  básicas  en  tejido  vaquero  ,  se  han  diseñado  otras  piezas  de  aspecto  '  denim  '  confeccionadas  en  materiales  más  sostenibles  como  el  algodón  orgánico  ,  la  lana  reciclada  ,  el  lino  orgánico  ,  el  lyocell  (  un  tejido  que  se  fabrica  a  través  de  la  fibra  de  algunos  árboles  que  crecen  muy  deprisa  ,  que  necesitan  poca  agua  y  que  apenas  necesitan  pesticidas  )  y  el  tencell  (  un  tipo  de lyocell  suave  y  ligero  que  proviene  de  la  fibra  del  eucalipto  )  .",lyocell,ncms000,lyocell,de,de,SPS00,tipo,tipo,NCMS000,un,uno,DI0MS0,(,(,Fpa,tencell,tencell,NCMS000,suave,suave,AQ0CS0,y,y,CC,ligero,ligero,AQ0MS0,que,que,PR0CN000,proviene,provenir,VMIP3S0,2014-09-27,2014,2010,NCMS000 SPS00 Lyocell AQ0CS0 CC,SPS00 Lyocell AQ0CS0,NCMS000 SPS00 Lyocell,DI0MS0 NCMS000 SPS00 Lyocell,Fpa DI0MS0 NCMS000 SPS00 Lyocell,Lyocell AQ0CS0 CC,Lyocell AQ0CS0 CC AQ0MS0,Lyocell AQ0CS0 CC AQ0MS0 PR0CN000,tipo de Lyocell suave y,de Lyocell suave,tipo de Lyocell,uno tipo de Lyocell,( uno tipo de Lyocell,Lyocell suave y,Lyocell suave y ligero,Lyocell suave y ligero que
http://www.publimetro.com.mx/estilo-de-vida/como-elegir-el-mejor-edredon/moki%219WSPrgO7gTtCI/,publimetro.com.mx,2015-11-09,Mexico,lyocell/NCMS000/lyocell,"Si  no  llegas  a  los  extremos  ,  al  no  ser  muy  friolento  o  sufrir  de  calor  ,  los  edredones  de lyocell  son  los  indicados  ya  que  están  pensados  para  que  descanses  en  un  entorno  seco  durante  toda  la  noche  debidos  a  que  esta  rellenado  con  poliéster  y  lyocell  ayudando  a  que  el  aire  circule  durante  tu  descanso  y  eliminando  la  humedad  .",lyocell,ncms000,lyocell,de,de,SPS00,edredones,edredón,NCMP000,los,el,DA0MP0,",",",",Fc,calor,calor,NCMS000,son,ser,VSIP3P0,los,el,DA0MP0,indicados,indicar,VMP00PM,ya,ya,RG,que,que,CS,2015-11-09,2015,2010,NCMP000 SPS00 Lyocell VSIP3P0 DA0MP0,SPS00 Lyocell VSIP3P0,NCMP000 SPS00 Lyocell,DA0MP0 NCMP000 SPS00 Lyocell,Fc DA0MP0 NCMP000 SPS00 Lyocell,Lyocell VSIP3P0 DA0MP0,Lyocell VSIP3P0 DA0MP0 VMP00PM,Lyocell VSIP3P0 DA0MP0 VMP00PM RG,edredón de Lyocell ser el,de Lyocell ser,edredón de Lyocell,el edredón de Lyocell,", el edredón de Lyocell",Lyocell ser el,Lyocell ser el indicar,Lyocell ser el indicar ya
http://www.publimetro.com.mx/estilo-de-vida/como-elegir-el-mejor-edredon/moki%219WSPrgO7gTtCI/,publimetro.com.mx,2015-11-09,Mexico,lyocell/NCMS000/lyocell,"Si  no  llegas  a  los  extremos  ,  al  no  ser  muy  friolento  o  sufrir  de  calor  ,  los  edredones  de  lyocell  son  los  indicados  ya  que  están  pensados  para  que  descanses  en  un  entorno  seco  durante  toda  la  noche  debidos  a  que  esta  rellenado  con  poliéster  y lyocell  ayudando  a  que  el  aire  circule  durante  tu  descanso  y  eliminando  la  humedad  .",lyocell,ncms000,lyocell,y,y,CC,poliéster,poliéster,NCMS000,con,con,SPS00,rellenado,rellenado,NCMS000,esta,este,DD0FS0,ayudando,ayudar,VMG0000,a,a,SPS00,que,que,CS,el,el,DA0MS0,aire,aire,NCMS000,2015-11-09,2015,2010,NCMS000 CC Lyocell VMG0000 SPS00,CC Lyocell VMG0000,NCMS000 CC Lyocell,SPS00 NCMS000 CC Lyocell,NCMS000 SPS00 NCMS000 CC Lyocell,Lyocell VMG0000 SPS00,Lyocell VMG0000 SPS00 CS,Lyocell VMG0000 SPS00 CS DA0MS0,poliéster y Lyocell ayudar a,y Lyocell ayudar,poliéster y Lyocell,con poliéster y Lyocell,rellenado con poliéster y Lyocell,Lyocell ayudar a,Lyocell ayudar a que,Lyocell ayudar a que el
http://www.publimetro.co/medellin/el-denim-evoluciona-y-llega-recargado-para-la-temporada-primavera-verano-2016/lmkpaA%21x2Ro2m1tgW9E/,publimetro.co,2016-01-27,Colombia,Lyocell/NP00000/lyocell,"-  Faldas  largas  en  bases  muy  livianas  que  pueden  ser  en  algodón  cien  por  ciento  o  en Lyocell  que  es  una  fibra  fresca  ,  fría  y  que  da  la  posibilidad  de  unas  telas  muy  fluidas  con  mucho  movimiento  .",lyocell,np00000,lyocell,en,en,SPS00,o,o,CC,ciento,100,Z,por,por,SPS00,cien,100,Z,que,que,CS,es,ser,VSIP3S0,una,uno,DI0FS0,fibra,fibra,NCFS000,fresca,fresco,AQ0FS0,2016-01-27,2016,2010,CC SPS00 Lyocell CS VSIP3S0,SPS00 Lyocell CS,CC SPS00 Lyocell,Z CC SPS00 Lyocell,SPS00 Z CC SPS00 Lyocell,Lyocell CS VSIP3S0,Lyocell CS VSIP3S0 DI0FS0,Lyocell CS VSIP3S0 DI0FS0 NCFS000,o en Lyocell que ser,en Lyocell que,o en Lyocell,100 o en Lyocell,por 100 o en Lyocell,Lyocell que ser,Lyocell que ser uno,Lyocell que ser uno fibra
http://www.publimetro.co/medellin/el-denim-evoluciona-y-llega-recargado-para-la-temporada-primavera-verano-2016/lmkpaA%21x2Ro2m1tgW9E/,publimetro.co,2016-01-27,Colombia,Lyocell/NP00000/lyocell,"-  La  camisería  en  demin  es  importantísima  ,  pueden  ser  en  tejidos  tafetanes  ,  diagonales  en  bases  livianas  ,  algunas  con  efectos  de  brillo  ,  a  través  de  las  mezclas  o  en Lyocell  .",lyocell,np00000,lyocell,en,en,SPS00,o,o,CC,mezclas,mezcla,NCFP000,las,el,DA0FP0,de,de,SPS00,.,.,Fp,,,,,,,,,,,,,2016-01-27,2016,2010,,SPS00 Lyocell Fp,CC SPS00 Lyocell,NCFP000 CC SPS00 Lyocell,DA0FP0 NCFP000 CC SPS00 Lyocell,,,,,en Lyocell .,o en Lyocell,mezcla o en Lyocell,el mezcla o en Lyocell,,,
http://www.larazon.es/portada/reciclan-algodon-con-agua-y-sal-JB12135387,larazon.es,2016-03-07,Spain,Lyocell/NP00000/lyocell,"Es  lo  que  se  conoce  como  proceso Lyocell  ,  aunque  a  día  de  hoy  representa  una  pequeña  porción  en  la  industria  del  tejido  de  algodón  ecológico  .",lyocell,np00000,lyocell,proceso,proceso,NCMS000,como,como,CS,conoce,conocer,VMIP3S0,se,se,P00CN000,que,que,PR0CN000,",",",",Fc,aunque,aunque,CC,a,a,SPS00,día,día,NCMS000,de,de,SPS00,2016-03-07,2016,2010,CS NCMS000 Lyocell Fc CC,NCMS000 Lyocell Fc,CS NCMS000 Lyocell,VMIP3S0 CS NCMS000 Lyocell,P00CN000 VMIP3S0 CS NCMS000 Lyocell,Lyocell Fc CC,Lyocell Fc CC SPS00,Lyocell Fc CC SPS00 NCMS000,"como proceso Lyocell , aunque","proceso Lyocell ,",como proceso Lyocell,conocer como proceso Lyocell,se conocer como proceso Lyocell,"Lyocell , aunque","Lyocell , aunque a","Lyocell , aunque a día"
http://www.larazon.es/portada/reciclan-algodon-con-agua-y-sal-JB12135387,larazon.es,2016-03-07,Spain,Lyocell/NP00000/lyocell,"Este  proceso  de  hilatura  ,  llamado Lyocell  ,  está  industrializado  desde  hace  sólo  cinco  años  ;  existen  algunas  fábricas  en  Estados  Unidos  ,  Austria  e  Inglaterra  .",lyocell,np00000,lyocell,llamado,llamar,VMP00SM,",",",",Fc,hilatura,hilatura,NCFS000,de,de,SPS00,proceso,proceso,NCMS000,",",",",Fc,está,estar,VAIP3S0,industrializado,industrializar,VMP00SM,desde,desde,SPS00,hace,hacer,VMIP3S0,2016-03-07,2016,2010,Fc VMP00SM Lyocell Fc VAIP3S0,VMP00SM Lyocell Fc,Fc VMP00SM Lyocell,NCFS000 Fc VMP00SM Lyocell,SPS00 NCFS000 Fc VMP00SM Lyocell,Lyocell Fc VAIP3S0,Lyocell Fc VAIP3S0 VMP00SM,Lyocell Fc VAIP3S0 VMP00SM SPS00,", llamar Lyocell , estar","llamar Lyocell ,",", llamar Lyocell","hilatura , llamar Lyocell","de hilatura , llamar Lyocell","Lyocell , estar","Lyocell , estar industrializar","Lyocell , estar industrializar desde"
http://www.larazon.es/portada/reciclan-algodon-con-agua-y-sal-JB12135387,larazon.es,2016-03-07,Spain,Lyocell/NP00000/lyocell,"Y  lo  más  sorprendente  es  que  aunque  exista  una  tecnología  como Lyocell  algo  menos  agresiva  medioambientalmente  ,  hasta  ahora  no  existe  ningún  proceso  industrializado  que  fabrique  fibra  de  algodón  totalmente  reciclado  .  ""  Los  desechos  de  camisetas  o  vaqueros  van  a  parar  a  mercados  de  segunda  mano  o  se  venden  a  África  ,  pero  sólo  un  parte  muy  pequeña  ,  entre  un  uno  y  un  2,5  por  ciento  se  rasgan  de  manera  mecánica  y  se  incorporan  al  proceso  de  fabricación  tradicional  .",lyocell,np00000,lyocell,como,como,CS,tecnología,tecnología,NCFS000,una,uno,DI0FS0,exista,existir,VMM03S0,aunque,aunque,CC,algo,algo,PI0CS000,menos,menos,RG,agresiva,agresivo,AQ0FS0,medioambientalmente,medioambientalmente,RG,",",",",Fc,2016-03-07,2016,2010,NCFS000 CS Lyocell PI0CS000 RG,CS Lyocell PI0CS000,NCFS000 CS Lyocell,DI0FS0 NCFS000 CS Lyocell,VMM03S0 DI0FS0 NCFS000 CS Lyocell,Lyocell PI0CS000 RG,Lyocell PI0CS000 RG AQ0FS0,Lyocell PI0CS000 RG AQ0FS0 RG,tecnología como Lyocell algo menos,como Lyocell algo,tecnología como Lyocell,uno tecnología como Lyocell,existir uno tecnología como Lyocell,Lyocell algo menos,Lyocell algo menos agresivo,Lyocell algo menos agresivo medioambientalmente
