url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elmundo.es/yodona/2014/01/07/52cbd19a268e3ea0448b4570.html,elmundo.es,2014-01-07,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,"Un  espacio  que  en  la  edición  2013  conquistaron  ,  entre  otras  ,  Kate  Upton  y  su  sensual  anuncio  para  Mercedes  ,  Bar  Refaeli  y  su  famoso  beso  cortesía  de  Go-Daddy  y  la  actriz  Naya  Rivera  junto  a  los M_&_M's  . </doc>",m_&_m's,np00000_fz_np00000,m_&_m's,los,el,DA0MP0,a,a,SPS00,junto,juntar,VMIP1S0,Rivera,rivera,NP00000,Naya,naya,NP00000,.,.,Fp,</doc>,,,,,,,,,,,,2014-01-07,2014,2010,,DA0MP0 M&M's Fp,SPS00 DA0MP0 M&M's,VMIP1S0 SPS00 DA0MP0 M&M's,NP00000 VMIP1S0 SPS00 DA0MP0 M&M's,,,,,el M&M's .,a el M&M's,juntar a el M&M's,rivera juntar a el M&M's,,,
http://www.elnortedecastilla.es/rc/20140114/mas-actualidad/espana/rajoy-obama-regalos-201401141721.html?utm_source=elnortedecastilla.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,elnortedecastilla.es,2014-01-14,Spain,M_&_M'S/NP00000_Fz_NP00000/m_&_m's,Obama  correspondió  con  ...  una  pequeña  caja  de  chocolatinas M_&_M'S  .,m_&_m's,np00000_fz_np00000,m_&_m's,chocolatinas,chocolatina,NCFP000,de,de,SPS00,caja,caja,NCFS000,pequeña,pequeño,AQ0FS0,una,uno,DI0FS0,.,.,Fp,,,,,,,,,,,,,2014-01-14,2014,2010,,NCFP000 M&M's Fp,SPS00 NCFP000 M&M's,NCFS000 SPS00 NCFP000 M&M's,AQ0FS0 NCFS000 SPS00 NCFP000 M&M's,,,,,chocolatina M&M's .,de chocolatina M&M's,caja de chocolatina M&M's,pequeño caja de chocolatina M&M's,,,
http://www.elplural.com/2014/01/14/los-cinco-ridiculos-que-rajoy-ha-protagonizado-en-eeuu/,elplural.com,2014-01-14,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,"A  cambio  ,  Obama  le  ha  regalado  una  cajita  de M_&_M's  ,  los  famosos  cacahuetes  cubiertos  de  chocolate  ,  con  el  emblema  de  la  Casa  Blanca  y  un  autógrafo  .",m_&_m's,np00000_fz_np00000,m_&_m's,de,de,SPS00,cajita,cajita,NCFS000,una,uno,DI0FS0,regalado,regalar,VMP00SM,ha,haber,VAIP3S0,",",",",Fc,los,el,DA0MP0,famosos,famoso,AQ0MP0,cacahuetes,cacahuete,NCMP000,cubiertos,cubrir,VMP00PM,2014-01-14,2014,2010,NCFS000 SPS00 M&M's Fc DA0MP0,SPS00 M&M's Fc,NCFS000 SPS00 M&M's,DI0FS0 NCFS000 SPS00 M&M's,VMP00SM DI0FS0 NCFS000 SPS00 M&M's,M&M's Fc DA0MP0,M&M's Fc DA0MP0 AQ0MP0,M&M's Fc DA0MP0 AQ0MP0 NCMP000,"cajita de M&M's , el","de M&M's ,",cajita de M&M's,uno cajita de M&M's,regalar uno cajita de M&M's,"M&M's , el","M&M's , el famoso","M&M's , el famoso cacahuete"
http://ecodiario.eleconomista.es/espana/noticias/5458614/01/14/Rajoy-regala-a-Obama-tres-facsimiles-de-hace-500-anos-y-este-le-da-una-caja-de-MMs-.html,eleconomista.es,2014-01-14,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,<doc uri=http://ecodiario.eleconomista.es/espana/noticias/5458614/01/14/Rajoy-regala-a-Obama-tres-facsimiles-de-hace-500-anos-y-este-le-da-una-caja-de-MMs-.html website=eleconomista.es date=2014-01-14 source_country=Spain> /rajoy/NP00000 /regalar/VMIP3S0 /a/SPS00 /obama/NP00000 /3/Z /facsímil/NCMP000 /de/SPS00 /hacer/VMIP3S0 /500/Z /año/NCMP000 /.../Fs /y/CC /este/PD0MS000 /le/PP3CSD00 /dar/VMIP3S0 /uno/DI0FS0 /caja/NCFS000 /de/SPS00 M_&_M's ,m_&_m's,np00000_fz_np00000,m_&_m's,de,de,SPS00,caja,caja,NCFS000,una,uno,DI0FS0,da,dar,VMIP3S0,le,le,PP3CSD00,,,,,,,,,,,,,,,,2014-01-14,2014,2010,,,NCFS000 SPS00 M&M's,DI0FS0 NCFS000 SPS00 M&M's,VMIP3S0 DI0FS0 NCFS000 SPS00 M&M's,,,,,,caja de M&M's,uno caja de M&M's,dar uno caja de M&M's,,,
http://ecodiario.eleconomista.es/espana/noticias/5458614/01/14/Rajoy-regala-a-Obama-tres-facsimiles-de-hace-500-anos-y-este-le-da-una-caja-de-MMs-.html,eleconomista.es,2014-01-14,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,"Sin  embargo  ,  Obama  se  '  olvidó  '  de  ser  detallista  y  dio  al  jefe  del  Ejecutivo  una  caja  de  chocolatinas M_&_M's  .",m_&_m's,np00000_fz_np00000,m_&_m's,chocolatinas,chocolatina,NCFP000,de,de,SPS00,caja,caja,NCFS000,una,uno,DI0FS0,Ejecutivo,ejecutivo,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-14,2014,2010,,NCFP000 M&M's Fp,SPS00 NCFP000 M&M's,NCFS000 SPS00 NCFP000 M&M's,DI0FS0 NCFS000 SPS00 NCFP000 M&M's,,,,,chocolatina M&M's .,de chocolatina M&M's,caja de chocolatina M&M's,uno caja de chocolatina M&M's,,,
http://www.marca.com/2014/01/17/tenis/open_australia/1389940141.html,marca.com,2014-01-17,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,<doc uri=http://www.marca.com/2014/01/17/tenis/open_australia/1389940141.html website=marca.com date=2014-01-17 source_country=Spain> /el/DA0MP0 /maestro/NCMP000 /sufrir/VMIP3P0 /en/SPS00 /su/DP3CS0 /debut/NCMS000 /y/CC /el/DA0MP0 M_&_M's  se  despiden  de  Australia,m_&_m's,np00000_fz_np00000,m_&_m's,los,el,DA0MP0,y,y,CC,debut,debut,NCMS000,su,su,DP3CS0,en,en,SPS00,se,se,P00CN000,despiden,despedir,VMIP3P0,de,de,SPS00,Australia,australia,NP00000,,,,2014-01-17,2014,2010,CC DA0MP0 M&M's P00CN000 VMIP3P0,DA0MP0 M&M's P00CN000,CC DA0MP0 M&M's,NCMS000 CC DA0MP0 M&M's,DP3CS0 NCMS000 CC DA0MP0 M&M's,M&M's P00CN000 VMIP3P0,M&M's P00CN000 VMIP3P0 SPS00,M&M's P00CN000 VMIP3P0 SPS00 NP00000,y el M&M's se despedir,el M&M's se,y el M&M's,debut y el M&M's,su debut y el M&M's,M&M's se despedir,M&M's se despedir de,M&M's se despedir de australia
http://ecodiario.eleconomista.es/politica/noticias/5471587/01/14/El-tsunami-Obama-elude-hablar-de-Cataluna.html,eleconomista.es,2014-01-20,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,Así  fue  el  regalo  de  Obama  a  Rajoy  :  unos M_&_M's  .,m_&_m's,np00000_fz_np00000,m_&_m's,unos,uno,DI0MP0,:,:,Fd,Rajoy,rajoy,NP00000,a,a,SPS00,Obama,obama,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-20,2014,2010,,DI0MP0 M&M's Fp,Fd DI0MP0 M&M's,NP00000 Fd DI0MP0 M&M's,SPS00 NP00000 Fd DI0MP0 M&M's,,,,,uno M&M's .,: uno M&M's,rajoy : uno M&M's,a rajoy : uno M&M's,,,
http://www.elplural.com/2014/01/21/revolcon-en-las-redes-al-presidente-y-a-su-entrevistadora/,elplural.com,2014-01-21,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,"Hay  quienes  recuerdan  la  reciente  visita  de  Rajoy  a  Obama  :  ""  En  una  semana  ha  quedado  como  un  imbécil  en  EEUU  con  el  paquete  de M_&_M's  y  un  memo  en  España  con  el  paquete  500  folios  de  Lomana  ""  ;  y  otros  rozan  la  crueldad  :  ""  Lomana  declara  que  ella  también  gasta  poca  agua  duchándose  .",m_&_m's,np00000_fz_np00000,m_&_m's,de,de,SPS00,paquete,paquete,NCMS000,el,el,DA0MS0,con,con,SPS00,EEUU,eeuu,NP00000,y,y,CC,un,uno,DI0MS0,memo,memo,NCMS000,en,en,SPS00,España,españa,NP00000,2014-01-21,2014,2010,NCMS000 SPS00 M&M's CC DI0MS0,SPS00 M&M's CC,NCMS000 SPS00 M&M's,DA0MS0 NCMS000 SPS00 M&M's,SPS00 DA0MS0 NCMS000 SPS00 M&M's,M&M's CC DI0MS0,M&M's CC DI0MS0 NCMS000,M&M's CC DI0MS0 NCMS000 SPS00,paquete de M&M's y uno,de M&M's y,paquete de M&M's,el paquete de M&M's,con el paquete de M&M's,M&M's y uno,M&M's y uno memo,M&M's y uno memo en
http://online.wsj.com/article/SB10001424052702304275304579395200235750432.html?dsk=y,wsj.com,2014-02-23,USA,M_&_M's/NP00000_Fz_NP00000/m_&_m's,"Descartando  un  cambio  de  último  minuto  ,  fabricantes  de  chocolates  como  Mars  Inc.  ,  que  produce  los M_&_M's  ,  y  Nestlé  SA  ,  dueño  de  Abuelita  y  otras  marcas  ,  encaran  decisiones  difíciles  .",m_&_m's,np00000_fz_np00000,m_&_m's,los,el,DA0MP0,produce,producir,VMIP3S0,que,que,PR0CN000,",",",",Fc,Inc.,inc.,NP00000,",",",",Fc,y,y,CC,Nestlé,nestlé,NP00000,SA,sa,NP00000,",",",",Fc,2014-02-23,2014,2010,VMIP3S0 DA0MP0 M&M's Fc CC,DA0MP0 M&M's Fc,VMIP3S0 DA0MP0 M&M's,PR0CN000 VMIP3S0 DA0MP0 M&M's,Fc PR0CN000 VMIP3S0 DA0MP0 M&M's,M&M's Fc CC,M&M's Fc CC NP00000,M&M's Fc CC NP00000 NP00000,"producir el M&M's , y","el M&M's ,",producir el M&M's,que producir el M&M's,", que producir el M&M's","M&M's , y","M&M's , y nestlé","M&M's , y nestlé sa"
http://mallorcaconfidencial.com/blog/2014/03/01/palma-se-llena-de-fiesta-y-color-con-motivo-de-sa-rueta/,mallorcaconfidencial.com,2014-03-02,Spain,M_&_M's/NP00000_Fz_NP00000/m_&_m's,"Los  10  ganadores  de  este  año  han  sido  Cupcakes  , M_&_M's  ,  Payasos  ,  Girasoles  ,  Bolsos  Chanel  ,  los  Simpsons  ,  bebés  Gatito  ,  Barco  Pirata  ,  Mr.  Potato  y  Marineros  .",m_&_m's,np00000_fz_np00000,m_&_m's,",",",",Fc,Cupcakes,cupcakes,NP00000,sido,ser,VSP00SM,han,haber,VAIP3P0,año,año,NCMS000,",",",",Fc,Payasos,payasos,NP00000,",",",",Fc,Girasoles,girasoles,NP00000,",",",",Fc,2014-03-02,2014,2010,NP00000 Fc M&M's Fc NP00000,Fc M&M's Fc,NP00000 Fc M&M's,VSP00SM NP00000 Fc M&M's,VAIP3P0 VSP00SM NP00000 Fc M&M's,M&M's Fc NP00000,M&M's Fc NP00000 Fc,M&M's Fc NP00000 Fc NP00000,"cupcakes , M&M's , payasos",", M&M's ,","cupcakes , M&M's","ser cupcakes , M&M's","haber ser cupcakes , M&M's","M&M's , payasos","M&M's , payasos ,","M&M's , payasos , girasoles"
