url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://periodicodigital.com.mx/notas/michigan_state_conquista_el_rose_bowl,periodicodigital.com.mx,2014-01-02,Mexico,Martin-Manley/NP00000/martin-manley,Pero  Beathard  lanzó  también  un  pase  de  cuatro  yardas  para  que  Kevonte Martin-Manley  anotara  y  redujera  el  déficit  de  los  Hawkeyes  a  21-14  cuando  restaban  1:42  minutos  . </doc>,martin-manley,np00000,martin-manley,Kevonte,kevonte,NP00000,que,que,CS,para,para,SPS00,yardas,yarda,NCFP000,cuatro,4,Z,anotara,anotar,VMSI3S0,y,y,CC,redujera,reducir,VMSI3S0,el,el,DA0MS0,déficit,déficit,NCMS000,2014-01-02,2014,2010,CS NP00000 Manley VMSI3S0 CC,NP00000 Manley VMSI3S0,CS NP00000 Manley,SPS00 CS NP00000 Manley,NCFP000 SPS00 CS NP00000 Manley,Manley VMSI3S0 CC,Manley VMSI3S0 CC VMSI3S0,Manley VMSI3S0 CC VMSI3S0 DA0MS0,que kevonte Manley anotar y,kevonte Manley anotar,que kevonte Manley,para que kevonte Manley,yarda para que kevonte Manley,Manley anotar y,Manley anotar y reducir,Manley anotar y reducir el
http://www.elnuevodia.com/jeepobtienelasmejoresventasdesuhistoria-1685897.html,elnuevodia.com,2014-01-10,Puerto Rico,Manley/NP00000/manley,"""  Durante  los  Ãoltimos  cuatro  aÃ  ±  os  la  marca  Jeep  ha  registrado  un  incremento  constante  en  sus  ventas  a  nivel  mundial  y  en  el  mercado  de  Estados  Unidos  resultando  en  un  rÃ  ©  cord  absoluto  de  ventas  por  segundo  aÃ  ±  o  consecutivo  ""  ,  indicÃ3  Mike Manley  ,  presidente  y  CEO  de  la  marca  Jeep  del  Grupo  Chrysler  .  ""  Es  evidente  que  nuestros  clientes  aprecian  la  nueva  lÃnea  de  vehÃculos  Jeep  que  ofrece  mejor  calidad  de  conducciÃ3n  en  carretera  y  eficiencia  del  combustible  ,  ademÃ  ¡  s  de  su  legendaria  capacidad  4x4â  .",manley,np00000,manley,Mike,mike,NP00000,indicÃ3,indicÃ3,Z,",",",",Fc,"""","""",Fe,consecutivo,consecutivo,AQ0MS0,",",",",Fc,presidente,presidente,NCMS000,y,y,CC,CEO,ceo,NP00000,de,de,SPS00,2014-01-10,2014,2010,Z NP00000 Manley Fc NCMS000,NP00000 Manley Fc,Z NP00000 Manley,Fc Z NP00000 Manley,Fe Fc Z NP00000 Manley,Manley Fc NCMS000,Manley Fc NCMS000 CC,Manley Fc NCMS000 CC NP00000,"indicÃ3 mike Manley , presidente","mike Manley ,",indicÃ3 mike Manley,", indicÃ3 mike Manley",""" , indicÃ3 mike Manley","Manley , presidente","Manley , presidente y","Manley , presidente y ceo"
http://www.elnuevodia.com/jeepobtienelasmejoresventasdesuhistoria-1685897.html,elnuevodia.com,2014-01-10,Puerto Rico,Manley/NP00000/manley,"""  Estamos  especialmente  satisfechos  con  la  recepciÃ3n  que  obtuvo  el  Jeep  Cherokee  ,  el  cual  vendiÃ3  mÃ  ¡  s  de  25,000  unidades  en  los  dos  primeros  meses  que  estuvo  disponible  en  los  concesionarios  ""  ,  agregÃ3 Manley  .  ""  Logramos  este  hito  a  pesar  de  no  competir  durante  la  mayor  parte  del  aÃ  ±  o  en  este  segmento  ,  el  cual  es  el  mayor  segmento  de  SUV  a  nivel  global  .",manley,np00000,manley,agregÃ3,agregÃ3,Z,",",",",Fc,"""","""",Fe,concesionarios,concesionario,NCMP000,los,el,DA0MP0,.,.,Fp,"""","""",Fe,Logramos,lograr,VMIP1P0,este,este,DD0MS0,hito,hito,NCMS000,2014-01-10,2014,2010,Fc Z Manley Fp Fe,Z Manley Fp,Fc Z Manley,Fe Fc Z Manley,NCMP000 Fe Fc Z Manley,Manley Fp Fe,Manley Fp Fe VMIP1P0,Manley Fp Fe VMIP1P0 DD0MS0,", agregÃ3 Manley . """,agregÃ3 Manley .,", agregÃ3 Manley",""" , agregÃ3 Manley","concesionario "" , agregÃ3 Manley","Manley . ""","Manley . "" lograr","Manley . "" lograr este"
http://www.elmundo.es/motor/2014/01/15/52d64d8a22601dda798b456c.html,elmundo.es,2014-01-15,Spain,Manley/NP00000/manley,"Los  nombres  de  Richard  Tobin  ,  presidente  de  CNH  Industrial  ;  Roberto  Sistino  ,  el  de  Iveco  ;  Alfredo  Altavila  ,  responsable  de  Fiat  Auto  y  Mike Manley  ,  presidente  de  Jeep  ,  aparecen  como  candidatos  .",manley,np00000,manley,Mike,mike,NP00000,y,y,CC,Auto,auto,NP00000,Fiat,fiat,NP00000,de,de,SPS00,",",",",Fc,presidente,presidente,NCMS000,de,de,SPS00,Jeep,jeep,NP00000,",",",",Fc,2014-01-15,2014,2010,CC NP00000 Manley Fc NCMS000,NP00000 Manley Fc,CC NP00000 Manley,NP00000 CC NP00000 Manley,NP00000 NP00000 CC NP00000 Manley,Manley Fc NCMS000,Manley Fc NCMS000 SPS00,Manley Fc NCMS000 SPS00 NP00000,"y mike Manley , presidente","mike Manley ,",y mike Manley,auto y mike Manley,fiat auto y mike Manley,"Manley , presidente","Manley , presidente de","Manley , presidente de jeep"
http://www.elmundo.es/espana/2014/01/15/52d68936268e3e09558b4572.html,elmundo.es,2014-01-15,Spain,Manley/NP00000/manley,"El  buen  humor  del  Monarca  se  ha  convertido  en  una  carcajada  abierta  con  el  nuevo  embajador  británico  ,  Simon Manley  ,  que  le  ha  transmitido  los  saludos  y  deseos  de  recuperación  de  la  reina  Isabel  II  ,  a  lo  que  Don  Juan  Carlos  ha  contestado  :  ""  Está  mejor  que  yo  ""  .",manley,np00000,manley,Simon,simon,NP00000,",",",",Fc,británico,británico,AQ0MS0,embajador,embajador,NCMS000,nuevo,nuevo,AQ0MS0,",",",",Fc,que,que,PR0CN000,le,le,PP3CSD00,ha,haber,VAIP3S0,transmitido,transmitir,VMP00SM,2014-01-15,2014,2010,Fc NP00000 Manley Fc PR0CN000,NP00000 Manley Fc,Fc NP00000 Manley,AQ0MS0 Fc NP00000 Manley,NCMS000 AQ0MS0 Fc NP00000 Manley,Manley Fc PR0CN000,Manley Fc PR0CN000 PP3CSD00,Manley Fc PR0CN000 PP3CSD00 VAIP3S0,", simon Manley , que","simon Manley ,",", simon Manley","británico , simon Manley","embajador británico , simon Manley","Manley , que","Manley , que le","Manley , que le haber"
http://www.larazon.es/detalle_normal/noticias/5105694/portada/el-rey-recibe-de-pie-y-sin-muletas-a-varios-embajadores,larazon.es,2014-01-15,Spain,Manley/NP00000/manley,"Especialmente  simpático  se  ha  mostrado  el  monarca  con  el  representante  británico  ,  Simon  John Manley  ,  con  quien  incluso  ha  compartido  unas  risas  .",manley,np00000,manley,John,john,NP00000,Simon,simon,NP00000,",",",",Fc,británico,británico,AQ0MS0,representante,representante,NCCS000,",",",",Fc,con,con,SPS00,quien,quien,PR0CS000,incluso,incluso,RG,ha,haber,VAIP3S0,2014-01-15,2014,2010,NP00000 NP00000 Manley Fc SPS00,NP00000 Manley Fc,NP00000 NP00000 Manley,Fc NP00000 NP00000 Manley,AQ0MS0 Fc NP00000 NP00000 Manley,Manley Fc SPS00,Manley Fc SPS00 PR0CS000,Manley Fc SPS00 PR0CS000 RG,"simon john Manley , con","john Manley ,",simon john Manley,", simon john Manley","británico , simon john Manley","Manley , con","Manley , con quien","Manley , con quien incluso"
http://www.eluniversal.com/nacional-y-politica/140115/rey-juan-carlos-recibio-credenciales-de-embajador-mario-isea,eluniversal.com,2014-01-15,Venezuela,Manley/NP00000/manley,"El  jefe  de  Estado  dio  la  bienvenida  a  continuación  al  representante  diplomático  de  Cuba  ,  Eugenio  Martínez  Enríquez  ,  que  tomó  posesión  en  noviembre  ,  y  al  del  Reino  Unido  ,  Simon Manley  ,  que  llegó  a  España  el  pasado  octubre  y  cuya  esposa  nació  en  Barcelona  (  noreste  )  .",manley,np00000,manley,Simon,simon,NP00000,",",",",Fc,Unido,unido,NP00000,Reino,reino,NP00000,del,de+el,SPS00+DA0MS0,",",",",Fc,que,que,PR0CN000,llegó,llegar,VMIS3S0,a,a,SPS00,España,españa,NP00000,2014-01-15,2014,2010,Fc NP00000 Manley Fc PR0CN000,NP00000 Manley Fc,Fc NP00000 Manley,NP00000 Fc NP00000 Manley,NP00000 NP00000 Fc NP00000 Manley,Manley Fc PR0CN000,Manley Fc PR0CN000 VMIS3S0,Manley Fc PR0CN000 VMIS3S0 SPS00,", simon Manley , que","simon Manley ,",", simon Manley","unido , simon Manley","reino unido , simon Manley","Manley , que","Manley , que llegar","Manley , que llegar a"
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=197398,analisisdigital.com.ar,2014-01-18,Argentina,Manley/NP00000/manley,"Por  el  equipo  neoyorkino  el  neocelandés  Jeremy Manley  ,  campeón  del  mundo  con  su  selección  en  el  último  Campeonato  Mundial  ISF  ,  cargó  con  la  derrota  al  recibir  las  seis  carreras  del  equipo  nacional  ;  mientras  que  por  Argentina  los  jóvenes  Román  Godoy  y  Huemul  Mata  ocuparon  el  círculo  para  darle  la  victoria  a  los  Albicelestes  .",manley,np00000,manley,Jeremy,jeremy,NP00000,neocelandés,neocelandés,NCMS000,el,el,DA0MS0,neoyorkino,neoyorkino,AQ0MS0,equipo,equipo,NCMS000,",",",",Fc,campeón,campeón,NCMS000,del,de+el,SPS00+DA0MS0,mundo,mundo,NCMS000,con,con,SPS00,2014-01-18,2014,2010,NCMS000 NP00000 Manley Fc NCMS000,NP00000 Manley Fc,NCMS000 NP00000 Manley,DA0MS0 NCMS000 NP00000 Manley,AQ0MS0 DA0MS0 NCMS000 NP00000 Manley,Manley Fc NCMS000,Manley Fc NCMS000 SPS00+DA0MS0,Manley Fc NCMS000 SPS00+DA0MS0 NCMS000,"neocelandés jeremy Manley , campeón","jeremy Manley ,",neocelandés jeremy Manley,el neocelandés jeremy Manley,neoyorkino el neocelandés jeremy Manley,"Manley , campeón","Manley , campeón de+el","Manley , campeón de+el mundo"
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=197479,analisisdigital.com.ar,2014-01-20,Argentina,Manley/NP00000/manley,"Por  los  Gremlins  ,  la  derrota  fue  para  el  neocelandés  campeón  del  mundo  Jeremy Manley  ,  quien  recibió  el  relevo  del  argentino  Juan  Potolicchio  .",manley,np00000,manley,Jeremy,jeremy,NP00000,mundo,mundo,NCMS000,del,de+el,SPS00+DA0MS0,campeón,campeón,AQ0MS0,neocelandés,neocelandés,NCMS000,",",",",Fc,quien,quien,PR0CS000,recibió,recibir,VMIS3S0,el,el,DA0MS0,relevo,relevo,NCMS000,2014-01-20,2014,2010,NCMS000 NP00000 Manley Fc PR0CS000,NP00000 Manley Fc,NCMS000 NP00000 Manley,SPS00+DA0MS0 NCMS000 NP00000 Manley,AQ0MS0 SPS00+DA0MS0 NCMS000 NP00000 Manley,Manley Fc PR0CS000,Manley Fc PR0CS000 VMIS3S0,Manley Fc PR0CS000 VMIS3S0 DA0MS0,"mundo jeremy Manley , quien","jeremy Manley ,",mundo jeremy Manley,de+el mundo jeremy Manley,campeón de+el mundo jeremy Manley,"Manley , quien","Manley , quien recibir","Manley , quien recibir el"
http://www.elmundo.es/andalucia/2014/01/28/52e78555e2704e90248b4572.html,elmundo.es,2014-01-28,Spain,manley/NCFS000/manley,"El  mural  de  Francisco  Hernández  firmado  en  1998  ,  ocultado  después  y  eclosionado  en  el  2011  como  las  caras  de  Bélmez  ,  dibuja  una  alegoría  malagueña  que  desde  lejos  parece  coloreado  con  ceras manley  .",manley,ncfs000,manley,ceras,cera,NCFP000,con,con,SPS00,coloreado,colorear,VMP00SM,parece,parecer,VMIP3S0,lejos,lejos,RG,.,.,Fp,,,,,,,,,,,,,2014-01-28,2014,2010,,NCFP000 Manley Fp,SPS00 NCFP000 Manley,VMP00SM SPS00 NCFP000 Manley,VMIP3S0 VMP00SM SPS00 NCFP000 Manley,,,,,cera Manley .,con cera Manley,colorear con cera Manley,parecer colorear con cera Manley,,,
