url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.laopiniondemalaga.es/opinion/2014/01/24/ducha/647782.html?utm_source=rss,laopiniondemalaga.es,2014-01-24,Spain,meyba/VMII3S0/meyba,"Cómo  no  recordar  las  imágenes  de  Fraga  en  Palomares  ,  con  aquel  castísimo meyba  tamaño  familiar  ,  que  forman  parte  del  imaginario  colectivo  ,  al  menos  del  imaginario  colectivo  español  .",meyba,vmii3s0,meyba,castísimo,casto,AQSMS0,aquel,aquel,DD0MS0,con,con,SPS00,",",",",Fc,Palomares,palomares,NP00000,tamaño,tamaño,NCMS000,familiar,familiar,AQ0CS0,",",",",Fc,que,que,PR0CN000,forman,formar,VMIP3P0,2014-01-24,2014,2010,DD0MS0 AQSMS0 Meyba NCMS000 AQ0CS0,AQSMS0 Meyba NCMS000,DD0MS0 AQSMS0 Meyba,SPS00 DD0MS0 AQSMS0 Meyba,Fc SPS00 DD0MS0 AQSMS0 Meyba,Meyba NCMS000 AQ0CS0,Meyba NCMS000 AQ0CS0 Fc,Meyba NCMS000 AQ0CS0 Fc PR0CN000,aquel casto Meyba tamaño familiar,casto Meyba tamaño,aquel casto Meyba,con aquel casto Meyba,", con aquel casto Meyba",Meyba tamaño familiar,"Meyba tamaño familiar ,","Meyba tamaño familiar , que"
http://www.elmundo.es/opinion/2014/01/24/52e2c164268e3eaa7f8b457d.html,elmundo.es,2014-01-25,Spain,meyba/VMII3S0/meyba,"Pero  uno  fue  del  Barça  ,  llevó  las  equipaciones  de meyba  y  se  supo  las  alineaciones  de  memoria  cuando  el  infarto  deCruyff  ;  aún  ,  recuerdo  ,  se  vivía  de  la  felicidad  calma  de  las  Olimpiadas  y  todos  éramos  un  poco  el  monigote  de  Mariscal  ,  y  Cataluña  era  abierta  ,  amable  ,  la  otra  Infanta  lloraba  y  demás  .",meyba,vmii3s0,meyba,de,de,SPS00,equipaciones,equipaciones,NCFP000,las,el,DA0FP0,llevó,llevar,VMIS3S0,",",",",Fc,y,y,CC,se,se,P00CN000,supo,saber,VMIS3S0,las,el,DA0FP0,alineaciones,alineación,NCFP000,2014-01-25,2014,2010,NCFP000 SPS00 Meyba CC P00CN000,SPS00 Meyba CC,NCFP000 SPS00 Meyba,DA0FP0 NCFP000 SPS00 Meyba,VMIS3S0 DA0FP0 NCFP000 SPS00 Meyba,Meyba CC P00CN000,Meyba CC P00CN000 VMIS3S0,Meyba CC P00CN000 VMIS3S0 DA0FP0,equipaciones de Meyba y se,de Meyba y,equipaciones de Meyba,el equipaciones de Meyba,llevar el equipaciones de Meyba,Meyba y se,Meyba y se saber,Meyba y se saber el
http://www.telecinco.es/blogs/desdeelpalafito/Paquetes-concursantes-paquete_6_1772490001.html,telecinco.es,2014-03-31,Spain,meyba/VMII3S0/meyba,"Ahora  Anabel  confiesa  no  poder  quitarle  ojo  al  paquete  de  Rafa  Lomana  ,  que  ha  estrenado  bañador  tipo meyba  ,  tan  escueto  como  antiguo  ,  y  tentador  para  la  sobrinísima  .",meyba,vmii3s0,meyba,tipo,tipo,NCMS000,bañador,bañador,AQ0MS0,estrenado,estrenar,VMP00SM,ha,haber,VAIP3S0,que,que,PR0CN000,",",",",Fc,tan,tan,RG,escueto,escueto,AQ0MS0,como,como,CS,antiguo,antiguo,AQ0MS0,2014-03-31,2014,2010,AQ0MS0 NCMS000 Meyba Fc RG,NCMS000 Meyba Fc,AQ0MS0 NCMS000 Meyba,VMP00SM AQ0MS0 NCMS000 Meyba,VAIP3S0 VMP00SM AQ0MS0 NCMS000 Meyba,Meyba Fc RG,Meyba Fc RG AQ0MS0,Meyba Fc RG AQ0MS0 CS,"bañador tipo Meyba , tan","tipo Meyba ,",bañador tipo Meyba,estrenar bañador tipo Meyba,haber estrenar bañador tipo Meyba,"Meyba , tan","Meyba , tan escueto","Meyba , tan escueto como"
http://www.elmundo.es/deportes/2014/04/25/535a8bdf268e3e3f688b457e.html,elmundo.es,2014-04-25,Spain,Meyba/NP00000/meyba,El  chándal Meyba  .,meyba,np00000,meyba,chándal,chándal,NCMS000,El,el,DA0MS0,,,,,,,,,,.,.,Fp,,,,,,,,,,,,,2014-04-25,2014,2010,,NCMS000 Meyba Fp,DA0MS0 NCMS000 Meyba,,,,,,,chándal Meyba .,el chándal Meyba,,,,,
http://www.diariodeavisos.com/2014/04/actividad-frenetica-en-tpc/,diariodeavisos.com,2014-04-29,Spain,Meyba/NP00000/meyba,"Por  la  parte  alta  del  cuadro  de  Segunda  Categoría  Johny  Barrera  y  Javi  Guitián  superaron  la  primera  ronda  derrotando  (  6/2  y  6/3  )  a  Daniel  y  Agustín  y  ahora  se  verán  las  caras  con  la  pareja  cabeza  de  serie  número  dos  ,  la  formada  por  Antonio  Fuentes  e  Ivo Meyba  Sicilia  ,  en  una  segunda  ronda  explosiva  .",meyba,np00000,meyba,Ivo,ivo,NP00000,e,y,CC,Fuentes,fuentes,NP00000,Antonio,antonio,NP00000,por,por,SPS00,Sicilia,sicilia,NP00000,",",",",Fc,en,en,SPS00,una,uno,DI0FS0,segunda,2,AO0FS0,2014-04-29,2014,2010,CC NP00000 Meyba NP00000 Fc,NP00000 Meyba NP00000,CC NP00000 Meyba,NP00000 CC NP00000 Meyba,NP00000 NP00000 CC NP00000 Meyba,Meyba NP00000 Fc,Meyba NP00000 Fc SPS00,Meyba NP00000 Fc SPS00 DI0FS0,"y ivo Meyba sicilia ,",ivo Meyba sicilia,y ivo Meyba,fuentes y ivo Meyba,antonio fuentes y ivo Meyba,"Meyba sicilia ,","Meyba sicilia , en","Meyba sicilia , en uno"
http://www.eleconomista.es/empresas-finanzas/noticias/5840129/06/14/Lidl-se-alia-con-Custo-Dalmau-para-vender-moda-en-sus-supermercados.html,eleconomista.es,2014-06-06,Spain,Meyba/NP00000/meyba,"El  diseñador  Custo  Dalmau  trabajó  inicialmente  con  la  empresa  textil  catalana Meyba  ,  pero  en  1996  ,  y  junto  con  su  hermano  David  ,  lanzaron  su  propia  marca  por  la  que  son  actualmente  reconocidos  ,  Custo  of  Barcelona  ,  que  ,  con  el  paso  del  tiempo  ,  se  convirtió  en  Custo  Barcelona  .",meyba,np00000,meyba,catalana,catalán,AQ0FS0,textil,textil,AQ0CS0,empresa,empresa,NCFS000,la,el,DA0FS0,con,con,SPS00,",",",",Fc,pero,pero,CC,en,en,SPS00,1996,1996,Z,",",",",Fc,2014-06-06,2014,2010,AQ0CS0 AQ0FS0 Meyba Fc CC,AQ0FS0 Meyba Fc,AQ0CS0 AQ0FS0 Meyba,NCFS000 AQ0CS0 AQ0FS0 Meyba,DA0FS0 NCFS000 AQ0CS0 AQ0FS0 Meyba,Meyba Fc CC,Meyba Fc CC SPS00,Meyba Fc CC SPS00 Z,"textil catalán Meyba , pero","catalán Meyba ,",textil catalán Meyba,empresa textil catalán Meyba,el empresa textil catalán Meyba,"Meyba , pero","Meyba , pero en","Meyba , pero en 1996"
http://www.ny1noticias.com/content/sobre_ny1_noticias/lo_m%C3%A1s_destacado/215669/herencia-hispana--originales-y-atractivos-estampados-definen-a-custo-barcelona/,ny1noticias.com,2014-09-17,===NONE===,Meyba/NP00000/meyba,"Empezaron  a  mostrar  sus  colecciones  en  Londres  y  en  otras  grandes  capitales  ,  y  se  asociaron  con  la  empresa  textil  catalana Meyba  para  que  ésta  se  ocupara  de  todo  lo  referente  a  la  gestión  mientras  que  ellos  se  dedicaban  al  desarrollo  del  producto  .",meyba,np00000,meyba,catalana,catalán,AQ0FS0,textil,textil,AQ0CS0,empresa,empresa,NCFS000,la,el,DA0FS0,con,con,SPS00,para,para,SPS00,que,que,CS,ésta,este,PD0FS000,se,se,P00CN000,ocupara,ocupar,VMSI3S0,2014-09-17,2014,2010,AQ0CS0 AQ0FS0 Meyba SPS00 CS,AQ0FS0 Meyba SPS00,AQ0CS0 AQ0FS0 Meyba,NCFS000 AQ0CS0 AQ0FS0 Meyba,DA0FS0 NCFS000 AQ0CS0 AQ0FS0 Meyba,Meyba SPS00 CS,Meyba SPS00 CS PD0FS000,Meyba SPS00 CS PD0FS000 P00CN000,textil catalán Meyba para que,catalán Meyba para,textil catalán Meyba,empresa textil catalán Meyba,el empresa textil catalán Meyba,Meyba para que,Meyba para que este,Meyba para que este se
http://www.elpais.com.uy/el-empresario/barca-ladrillo-mas-batalla.html,elpais.com.uy,2014-11-07,Uruguay,Meyba/NP00000/meyba,Desde  1982  (  justo  cuando  llegó  Diego  Maradona  )  hasta  1992  fue Meyba  quien  le  puso  su  isologo  .,meyba,np00000,meyba,fue,ser,VSIS3S0,1992,1992,Z,hasta,hasta,SPS00,),),Fpt,Maradona,maradona,NP00000,quien,quien,PR0CS000,le,le,PP3CSD00,puso,poner,VMIS3S0,su,su,DP3CS0,isologo,isologo,NCMS000,2014-11-07,2014,2010,Z VSIS3S0 Meyba PR0CS000 PP3CSD00,VSIS3S0 Meyba PR0CS000,Z VSIS3S0 Meyba,SPS00 Z VSIS3S0 Meyba,Fpt SPS00 Z VSIS3S0 Meyba,Meyba PR0CS000 PP3CSD00,Meyba PR0CS000 PP3CSD00 VMIS3S0,Meyba PR0CS000 PP3CSD00 VMIS3S0 DP3CS0,1992 ser Meyba quien le,ser Meyba quien,1992 ser Meyba,hasta 1992 ser Meyba,) hasta 1992 ser Meyba,Meyba quien le,Meyba quien le poner,Meyba quien le poner su
http://www.radiohuesca.com/noticia/535792/El-sector-industrial-en-Huesca-ha-perdido-mas-de-1500-puestos-de-trabajo-en-dos-decadas,radiohuesca.com,2015-02-18,===NONE===,MEYBA/NP00000/meyba,"El  cierre  de  grandes  empresas  como  Mildred  ,  HUMSA  ,  Luna  ,  Albajar  ,  Pegaso  o MEYBA  son  un  ejemplo  de  lo  que  ha  representado  este  sector  para  la  ciudad  .",meyba,np00000,meyba,o,o,CC,Pegaso,pegaso,NP00000,",",",",Fc,Albajar,albajar,NP00000,",",",",Fc,son,ser,VSIP3P0,un,uno,DI0MS0,ejemplo,ejemplo,NCMS000,de,de,SPS00,lo,el,DA0NS0,2015-02-18,2015,2010,NP00000 CC Meyba VSIP3P0 DI0MS0,CC Meyba VSIP3P0,NP00000 CC Meyba,Fc NP00000 CC Meyba,NP00000 Fc NP00000 CC Meyba,Meyba VSIP3P0 DI0MS0,Meyba VSIP3P0 DI0MS0 NCMS000,Meyba VSIP3P0 DI0MS0 NCMS000 SPS00,pegaso o Meyba ser uno,o Meyba ser,pegaso o Meyba,", pegaso o Meyba","albajar , pegaso o Meyba",Meyba ser uno,Meyba ser uno ejemplo,Meyba ser uno ejemplo de
http://www.diariodeleon.es/noticias/opinion/triquitracatra_959492.html,diariodeleon.es,2015-02-25,Spain,meyba/NCFS000/meyba,"Y  en  estas  me  viene  al  recuerdo  que  todo  el  equipamiento  deportivo  que  tuvimos  en  mis  tiempos  de  bachillerato  era  un  "" meyba  ""  ,  que  tanto  nos  valía  para  hacer  deporte  de  cancha  como  para  la  piscina  ;  en  cuanto  a  la  camiseta  ,  con  una  de  albañil  de  tirantes  sobraba  ;  y  en  cuanto  al  calzado  ,  ¿  qué  decir  de  las  eternas  chirucas  ?  ...  El  caso  era  que  el  primer  meyba  (  bañador  con  cintura  elástica  y  suspensorio  interior  que  empezó  a  salir  en  la  década  de  los  40  de  las  fábricas  catalanas  de  Mestre  y  Ballbé  )  te  lo  compraban  grande  para  que  durara  lo  más  posible  en  los  años  del  estirón  ,  así  que  el  mío  me",meyba,ncfs000,meyba,"""","""",Fe,un,uno,DI0MS0,era,ser,VSII1S0,bachillerato,bachillerato,NCMS000,de,de,SPS00,"""","""",Fe,",",",",Fc,que,que,PR0CN000,tanto,tanto,RG,nos,nos,PP1CP000,2015-02-25,2015,2010,DI0MS0 Fe Meyba Fe Fc,Fe Meyba Fe,DI0MS0 Fe Meyba,VSII1S0 DI0MS0 Fe Meyba,NCMS000 VSII1S0 DI0MS0 Fe Meyba,Meyba Fe Fc,Meyba Fe Fc PR0CN000,Meyba Fe Fc PR0CN000 RG,"uno "" Meyba "" ,",""" Meyba ""","uno "" Meyba","ser uno "" Meyba","bachillerato ser uno "" Meyba","Meyba "" ,","Meyba "" , que","Meyba "" , que tanto"
