url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.diariodeibiza.es/pitiuses-balears/2014/01/13/flower-multidetodo/668187.html?utm_source=rss,diariodeibiza.es,2014-01-13,Spain,Micolor/NP00000/micolor,"Pelucas  rubias  ,  morenas  ,  pelirrojas  ,  moradas  ,  lisas  ,  afro  ...  gafas  redondas  de  Lennon  ,  de  corazones  ,  de  símbolo  de  la  paz  ,  de  guitarras  ...  Disfraces  de  todos  los  estilos  ,  desde  los  que  mezclan  a  Lemmy  de  Motorhead  con  los  Jackson  Five  a  los  que  unen  al  payaso  de Micolor  con  las  azafatas  del  ́  Un  ,  dos  ,  tres  ́  .",micolor,np00000,micolor,de,de,SPS00,payaso,payaso,NCMS000,al,a+el,SPS00+DA0MS0,unen,unir,VMIP3P0,que,que,PR0CN000,con,con,SPS00,las,el,DA0FP0,azafatas,azafata,NCFP000,del,de+el,SPS00+DA0MS0,́,́,Fz,2014-01-13,2014,2010,NCMS000 SPS00 Micolor SPS00 DA0FP0,SPS00 Micolor SPS00,NCMS000 SPS00 Micolor,SPS00+DA0MS0 NCMS000 SPS00 Micolor,VMIP3P0 SPS00+DA0MS0 NCMS000 SPS00 Micolor,Micolor SPS00 DA0FP0,Micolor SPS00 DA0FP0 NCFP000,Micolor SPS00 DA0FP0 NCFP000 SPS00+DA0MS0,payaso de Micolor con el,de Micolor con,payaso de Micolor,a+el payaso de Micolor,unir a+el payaso de Micolor,Micolor con el,Micolor con el azafata,Micolor con el azafata de+el
http://www.elmundo.es/andalucia/2014/02/25/530c70f9e2704eb74f8b4572.html,elmundo.es,2014-02-25,Spain,Micolor/NP00000/micolor,"También  respiraban  del  mismo  palco  María  Gámez  ,  irreconocible  ,  sin  gafas  disfrazada  de Micolor  .",micolor,np00000,micolor,de,de,SPS00,disfrazada,disfrazar,VMP00SF,gafas,gafas,NCFP000,sin,sin,SPS00,",",",",Fc,.,.,Fp,,,,,,,,,,,,,2014-02-25,2014,2010,,SPS00 Micolor Fp,VMP00SF SPS00 Micolor,NCFP000 VMP00SF SPS00 Micolor,SPS00 NCFP000 VMP00SF SPS00 Micolor,,,,,de Micolor .,disfrazar de Micolor,gafas disfrazar de Micolor,sin gafas disfrazar de Micolor,,,
http://www.elcorreo.com/vizcaya/20140308/mas-actualidad/sociedad/sabado-carro-compra-201403071814.html?utm_source=elcorreodigital.com&utm_medium=rss&utm_content=sociedad-rss&utm_campaign=traffic-rss,elcorreo.com,2014-03-08,Spain,Micolor/NP00000/micolor,"Además  ,  su  casa  quedará  equipada  con  otros  productos  :  Kleenex  ,  detergente Micolor  ,  toallitas  Vitesse  o  dentífrico  Licor  del  Polo  .",micolor,np00000,micolor,detergente,detergente,NCMS000,",",",",Fc,Kleenex,kleenex,NP00000,:,:,Fd,productos,producto,NCMP000,",",",",Fc,toallitas,toallita,NCFP000,Vitesse,vitesse,NP00000,o,o,CC,dentífrico,dentífrico,AQ0MS0,2014-03-08,2014,2010,Fc NCMS000 Micolor Fc NCFP000,NCMS000 Micolor Fc,Fc NCMS000 Micolor,NP00000 Fc NCMS000 Micolor,Fd NP00000 Fc NCMS000 Micolor,Micolor Fc NCFP000,Micolor Fc NCFP000 NP00000,Micolor Fc NCFP000 NP00000 CC,", detergente Micolor , toallita","detergente Micolor ,",", detergente Micolor","kleenex , detergente Micolor",": kleenex , detergente Micolor","Micolor , toallita","Micolor , toallita vitesse","Micolor , toallita vitesse o"
http://www.testamus.com/micolor-adios-al-separar/100008354105383,testamus.com,2014-05-21,===NONE===,Micolor/NP00000/micolor,<doc uri=http://www.testamus.com/micolor-adios-al-separar/100008354105383 website=testamus.com date=2014-05-21 source_country=> /¡/Faa /dar/VMIP1P0 /el/DA0FS0 /bienvenida/NCFS000 /a+el/SPS00+DA0MS0 /test/NCMS000 /de/SPS00 Micolor  Adiós  al  Separar  !,micolor,np00000,micolor,de,de,SPS00,test,test,NCMS000,al,a+el,SPS00+DA0MS0,bienvenida,bienvenida,NCFS000,la,el,DA0FS0,Adiós,adiós,NP00000,al,a+el,SPS00+DA0MS0,Separar,separar,NP00000,!,!,Fat,,,,2014-05-21,2014,2010,NCMS000 SPS00 Micolor NP00000 SPS00+DA0MS0,SPS00 Micolor NP00000,NCMS000 SPS00 Micolor,SPS00+DA0MS0 NCMS000 SPS00 Micolor,NCFS000 SPS00+DA0MS0 NCMS000 SPS00 Micolor,Micolor NP00000 SPS00+DA0MS0,Micolor NP00000 SPS00+DA0MS0 NP00000,Micolor NP00000 SPS00+DA0MS0 NP00000 Fat,test de Micolor adiós a+el,de Micolor adiós,test de Micolor,a+el test de Micolor,bienvenida a+el test de Micolor,Micolor adiós a+el,Micolor adiós a+el separar,Micolor adiós a+el separar !
http://www.testamus.com/micolor-adios-al-separar/100008354105383,testamus.com,2014-05-21,===NONE===,Micolor/NP00000/micolor,"En  este  nuevo  test  , Micolor  está  buscando  1.000  embajadores  para  su  nuevo  detergente  Adiós  al  Separar  .",micolor,np00000,micolor,",",",",Fc,test,test,NCMS000,nuevo,nuevo,AQ0MS0,este,este,DD0MS0,En,en,SPS00,está,estar,VAIP3S0,buscando,buscar,VMG0000,1.000,1000,Z,embajadores,embajador,NCMP000,para,para,SPS00,2014-05-21,2014,2010,NCMS000 Fc Micolor VAIP3S0 VMG0000,Fc Micolor VAIP3S0,NCMS000 Fc Micolor,AQ0MS0 NCMS000 Fc Micolor,DD0MS0 AQ0MS0 NCMS000 Fc Micolor,Micolor VAIP3S0 VMG0000,Micolor VAIP3S0 VMG0000 Z,Micolor VAIP3S0 VMG0000 Z NCMP000,"test , Micolor estar buscar",", Micolor estar","test , Micolor","nuevo test , Micolor","este nuevo test , Micolor",Micolor estar buscar,Micolor estar buscar 1000,Micolor estar buscar 1000 embajador
http://www.testamus.com/micolor-adios-al-separar/100008354105383,testamus.com,2014-05-21,===NONE===,Micolor/NP00000/micolor,Los  1.000  testamig@s  con  más  testa-tickets  pasarán  a  la  Fase3  y  se  convertirán  en  Pro-Tester  del  nuevo Micolor  Adiós  al  Separar  .,micolor,np00000,micolor,nuevo,nuevo,AQ0MS0,del,de+el,SPS00+DA0MS0,Pro-Tester,pro-tester,NP00000,en,en,SPS00,convertirán,convertir,VMIF3P0,Adiós,adiós,NP00000,al,a+el,SPS00+DA0MS0,Separar,separar,NP00000,.,.,Fp,,,,2014-05-21,2014,2010,SPS00+DA0MS0 AQ0MS0 Micolor NP00000 SPS00+DA0MS0,AQ0MS0 Micolor NP00000,SPS00+DA0MS0 AQ0MS0 Micolor,NP00000 SPS00+DA0MS0 AQ0MS0 Micolor,SPS00 NP00000 SPS00+DA0MS0 AQ0MS0 Micolor,Micolor NP00000 SPS00+DA0MS0,Micolor NP00000 SPS00+DA0MS0 NP00000,Micolor NP00000 SPS00+DA0MS0 NP00000 Fp,de+el nuevo Micolor adiós a+el,nuevo Micolor adiós,de+el nuevo Micolor,pro-tester de+el nuevo Micolor,en pro-tester de+el nuevo Micolor,Micolor adiós a+el,Micolor adiós a+el separar,Micolor adiós a+el separar .
http://www.testamus.com/micolor-adios-al-separar/100008354105383,testamus.com,2014-05-21,===NONE===,Micolor/NP00000/micolor,-  1  botella  de  22  dosis  de Micolor  Adiós  al  Separar  (  gel  )  para  ti  .,micolor,np00000,micolor,de,de,SPS00,dosis,dosis,NCFN000,22,22,Z,de,de,SPS00,botella,botella,NCFS000,Adiós,adiós,NP00000,al,a+el,SPS00+DA0MS0,Separar,separar,NP00000,(,(,Fpa,gel,gel,NCMS000,2014-05-21,2014,2010,NCFN000 SPS00 Micolor NP00000 SPS00+DA0MS0,SPS00 Micolor NP00000,NCFN000 SPS00 Micolor,Z NCFN000 SPS00 Micolor,SPS00 Z NCFN000 SPS00 Micolor,Micolor NP00000 SPS00+DA0MS0,Micolor NP00000 SPS00+DA0MS0 NP00000,Micolor NP00000 SPS00+DA0MS0 NP00000 Fpa,dosis de Micolor adiós a+el,de Micolor adiós,dosis de Micolor,22 dosis de Micolor,de 22 dosis de Micolor,Micolor adiós a+el,Micolor adiós a+el separar,Micolor adiós a+el separar (
http://www.testamus.com/micolor-adios-al-separar/100008354105383,testamus.com,2014-05-21,===NONE===,Micolor/NP00000/micolor,-  10 Micolor  Adiós  al  Separar  en  bolsas  de  1  unidad  para  repartirlas  entre  tus  colaboradores  . </doc>,micolor,np00000,micolor,10,10,Z,-,-,Fg,,,,,,,,,,Adiós,adiós,NP00000,al,a+el,SPS00+DA0MS0,Separar,separar,NP00000,en,en,SPS00,bolsas,bolsa,NCFP000,2014-05-21,2014,2010,Fg Z Micolor NP00000 SPS00+DA0MS0,Z Micolor NP00000,Fg Z Micolor,,,Micolor NP00000 SPS00+DA0MS0,Micolor NP00000 SPS00+DA0MS0 NP00000,Micolor NP00000 SPS00+DA0MS0 NP00000 SPS00,- 10 Micolor adiós a+el,10 Micolor adiós,- 10 Micolor,,,Micolor adiós a+el,Micolor adiós a+el separar,Micolor adiós a+el separar en
http://www.testamus.com/micolor-adios-al-separar/100000255543335,testamus.com,2014-06-03,===NONE===,Micolor/NP00000/micolor,<doc uri=http://www.testamus.com/micolor-adios-al-separar/100000255543335 website=testamus.com date=2014-06-03 source_country=> /¡/Faa /dar/VMIP1P0 /el/DA0FS0 /bienvenida/NCFS000 /a+el/SPS00+DA0MS0 /test/NCMS000 /de/SPS00 Micolor  Adiós  al  Separar  !,micolor,np00000,micolor,de,de,SPS00,test,test,NCMS000,al,a+el,SPS00+DA0MS0,bienvenida,bienvenida,NCFS000,la,el,DA0FS0,Adiós,adiós,NP00000,al,a+el,SPS00+DA0MS0,Separar,separar,NP00000,!,!,Fat,,,,2014-06-03,2014,2010,NCMS000 SPS00 Micolor NP00000 SPS00+DA0MS0,SPS00 Micolor NP00000,NCMS000 SPS00 Micolor,SPS00+DA0MS0 NCMS000 SPS00 Micolor,NCFS000 SPS00+DA0MS0 NCMS000 SPS00 Micolor,Micolor NP00000 SPS00+DA0MS0,Micolor NP00000 SPS00+DA0MS0 NP00000,Micolor NP00000 SPS00+DA0MS0 NP00000 Fat,test de Micolor adiós a+el,de Micolor adiós,test de Micolor,a+el test de Micolor,bienvenida a+el test de Micolor,Micolor adiós a+el,Micolor adiós a+el separar,Micolor adiós a+el separar !
http://www.testamus.com/micolor-adios-al-separar/100000255543335,testamus.com,2014-06-03,===NONE===,Micolor/NP00000/micolor,¿  Qué  os  parece  la  campaña  de  televisión  de Micolor  Adiós  al  Separar  ?,micolor,np00000,micolor,de,de,SPS00,televisión,televisión,NCFS000,de,de,SPS00,campaña,campaña,NCFS000,la,el,DA0FS0,Adiós,adiós,NP00000,al,a+el,SPS00+DA0MS0,Separar,separar,NP00000,?,?,Fit,,,,2014-06-03,2014,2010,NCFS000 SPS00 Micolor NP00000 SPS00+DA0MS0,SPS00 Micolor NP00000,NCFS000 SPS00 Micolor,SPS00 NCFS000 SPS00 Micolor,NCFS000 SPS00 NCFS000 SPS00 Micolor,Micolor NP00000 SPS00+DA0MS0,Micolor NP00000 SPS00+DA0MS0 NP00000,Micolor NP00000 SPS00+DA0MS0 NP00000 Fit,televisión de Micolor adiós a+el,de Micolor adiós,televisión de Micolor,de televisión de Micolor,campaña de televisión de Micolor,Micolor adiós a+el,Micolor adiós a+el separar,Micolor adiós a+el separar ?
