url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://blogs.publico.es/strambotic/2014/01/marcas-truchas/,publico.es,2014-01-30,Spain,Mimosín/NP00000/mimosín,<doc uri=http://blogs.publico.es/strambotic/2014/01/marcas-truchas/ website=publico.es date=2014-01-30 source_country=Spain> /strambotic/NP00000 /-/Fg /20/Z /falsificación/NCFP000 /que/PR0CN000 /no/RN /lograr/VMIC3P0 /engañar/VMN0000 /ni/CC /a+el/SPS00+DA0MS0 /oso/NCMS00D /de/SPS00 Mimosín ,mimosín,np00000,mimosín,de,de,SPS00,osito,oso,NCMS00D,al,a+el,SPS00+DA0MS0,ni,ni,CC,engañar,engañar,VMN0000,,,,,,,,,,,,,,,,2014-01-30,2014,2010,,,NCMS00D SPS00 Mimosín,SPS00+DA0MS0 NCMS00D SPS00 Mimosín,CC SPS00+DA0MS0 NCMS00D SPS00 Mimosín,,,,,,oso de Mimosín,a+el oso de Mimosín,ni a+el oso de Mimosín,,,
http://www.eleconomista.es/distribucion/noticias/5551927/02/14/Unilever-tira-de-frigo-para-hacerse-fuerte-en-restauracion.html,eleconomista.es,2014-02-18,Spain,Mimosín/NP00000/mimosín,"Con  este  nuevo  negocio  ,  Unilever  -  presidido  en  España  por  Jaime  Aguilera  y  también  propietario  de  marcas  internacionalmente  conocidas  como  Lipton  ,  Flora  , Mimosín  ,  Skip  ,  Calvé  o  Axe  ,  entre  otras  muchas  -  ,  altera  el  orden  establecido  hasta  ahora  en  el  segmento  de  las  heladerías  y  da  un  paso  más  para  no  sólo  acabar  con  el  carácter  estacional  de  los  helados  sino  para  ,  y  sobre  todo  ,  acercarse  a  sus  consumidores  .",mimosín,np00000,mimosín,",",",",Fc,Flora,flora,NP00000,",",",",Fc,Lipton,lipton,NP00000,como,como,CS,",",",",Fc,Skip,skip,NP00000,",",",",Fc,Calvé,calvé,NP00000,o,o,CC,2014-02-18,2014,2010,NP00000 Fc Mimosín Fc NP00000,Fc Mimosín Fc,NP00000 Fc Mimosín,Fc NP00000 Fc Mimosín,NP00000 Fc NP00000 Fc Mimosín,Mimosín Fc NP00000,Mimosín Fc NP00000 Fc,Mimosín Fc NP00000 Fc NP00000,"flora , Mimosín , skip",", Mimosín ,","flora , Mimosín",", flora , Mimosín","lipton , flora , Mimosín","Mimosín , skip","Mimosín , skip ,","Mimosín , skip , calvé"
http://blogs.publico.es/strambotic/2014/03/pony-cartel/,publico.es,2014-03-04,Spain,Mimosín/NP00000/mimosín,-  Veinte  falsificaciones  que  no  lograron  engañar  ni  al  osito  de Mimosín ,mimosín,np00000,mimosín,de,de,SPS00,osito,oso,NCMS00D,al,a+el,SPS00+DA0MS0,ni,ni,CC,engañar,engañar,VMN0000,,,,,,,,,,,,,,,,2014-03-04,2014,2010,,,NCMS00D SPS00 Mimosín,SPS00+DA0MS0 NCMS00D SPS00 Mimosín,CC SPS00+DA0MS0 NCMS00D SPS00 Mimosín,,,,,,oso de Mimosín,a+el oso de Mimosín,ni a+el oso de Mimosín,,,
http://www.europapress.es/chance/tv/noticia-gran-hermano-15-sentada-flower-power-evitar-nominaciones-gh15-20140925154534.html,europapress.es,2014-09-25,Spain,Mimosín/NP00000/mimosín,"Azahara  ha  sido  la  que  ha  promovido  esta  idea  entre  el  resto  de  sus  compañeros  ,  que  parecen  haber  inhalado  un  bote  de Mimosín  y  rechazar  por  completo  decir  el  nombre  de  alguno  de  sus  rivales  en  el  confesionario  .",mimosín,np00000,mimosín,de,de,SPS00,bote,bote,NCMS000,un,uno,DI0MS0,inhalado,inhalar,VMP00SM,haber,haber,VAN0000,y,y,CC,rechazar,rechazar,VMN0000,por,por,SPS00,completo,completo,AQ0MS0,decir,decir,VMN0000,2014-09-25,2014,2010,NCMS000 SPS00 Mimosín CC VMN0000,SPS00 Mimosín CC,NCMS000 SPS00 Mimosín,DI0MS0 NCMS000 SPS00 Mimosín,VMP00SM DI0MS0 NCMS000 SPS00 Mimosín,Mimosín CC VMN0000,Mimosín CC VMN0000 SPS00,Mimosín CC VMN0000 SPS00 AQ0MS0,bote de Mimosín y rechazar,de Mimosín y,bote de Mimosín,uno bote de Mimosín,inhalar uno bote de Mimosín,Mimosín y rechazar,Mimosín y rechazar por,Mimosín y rechazar por completo
http://blogs.publico.es/strambotic/2014/10/leplicas/,publico.es,2014-10-28,Spain,Mimosín/NP00000/mimosín,-  Veinte  falsificaciones  que  no  lograrían  engañar  ni  al  osito  de Mimosín ,mimosín,np00000,mimosín,de,de,SPS00,osito,oso,NCMS00D,al,a+el,SPS00+DA0MS0,ni,ni,CC,engañar,engañar,VMN0000,,,,,,,,,,,,,,,,2014-10-28,2014,2010,,,NCMS00D SPS00 Mimosín,SPS00+DA0MS0 NCMS00D SPS00 Mimosín,CC SPS00+DA0MS0 NCMS00D SPS00 Mimosín,,,,,,oso de Mimosín,a+el oso de Mimosín,ni a+el oso de Mimosín,,,
http://www.abc.es/economia/20141120/abci-unilever-espana-disciplina-201411201150.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-11-20,Spain,Mimosín/NP00000/mimosín,"En  su  intervención  ,  Jaime  Aguilera  hizo  un  esbozo  de  su  trayectoria  profesional  ,  donde  empezó  en  el  área  de  análisis  de  mercados  ,  ha  recordado  la  importancia  de  Unilever  ,  propietaria  de  marcas  como Mimosín  ,  Skip  ,  Axe  ,  Knorr  ,  Maizena  ,  Timotei  ,  en  sus  cuatro  divisiones  ,  como  son  alimentación  ,  helados  ,  cuidados  de  hogar  e  higiene  personal  .",mimosín,np00000,mimosín,como,como,CS,marcas,marca,NCFP000,de,de,SPS00,propietaria,propietario,AQ0FS0,",",",",Fc,",",",",Fc,Skip,skip,NP00000,",",",",Fc,Axe,axe,NP00000,",",",",Fc,2014-11-20,2014,2010,NCFP000 CS Mimosín Fc NP00000,CS Mimosín Fc,NCFP000 CS Mimosín,SPS00 NCFP000 CS Mimosín,AQ0FS0 SPS00 NCFP000 CS Mimosín,Mimosín Fc NP00000,Mimosín Fc NP00000 Fc,Mimosín Fc NP00000 Fc NP00000,"marca como Mimosín , skip","como Mimosín ,",marca como Mimosín,de marca como Mimosín,propietario de marca como Mimosín,"Mimosín , skip","Mimosín , skip ,","Mimosín , skip , axe"
http://blogs.publico.es/strambotic/2014/12/vinos-cachondos/,publico.es,2014-12-19,Spain,Mimosín/NP00000/mimosín,-  Veinte  falsificaciones  que  no  lograron  engañar  ni  al  osito  de Mimosín ,mimosín,np00000,mimosín,de,de,SPS00,osito,oso,NCMS00D,al,a+el,SPS00+DA0MS0,ni,ni,CC,engañar,engañar,VMN0000,,,,,,,,,,,,,,,,2014-12-19,2014,2010,,,NCMS00D SPS00 Mimosín,SPS00+DA0MS0 NCMS00D SPS00 Mimosín,CC SPS00+DA0MS0 NCMS00D SPS00 Mimosín,,,,,,oso de Mimosín,a+el oso de Mimosín,ni a+el oso de Mimosín,,,
http://cultura.elpais.com/cultura/2015/03/12/television/1426163076_774657.html,elpais.com,2015-03-12,Spain,Mimosín/NP00000/mimosín,"Y  el  cuarto  ,  Sandro  ,  un  gay  sevillano  más  tierno  que  el  osito Mimosín  capaz  de  llorar  a  moco  tendido  porque  su  amado  le  ha  regalado  un  corazón  de  plástico  hecho  con  un  botellín  de  agua  .",mimosín,np00000,mimosín,osito,oso,NCMS00D,el,el,DA0MS0,que,que,CS,tierno,tierno,AQ0MS0,más,más,RG,capaz,capaz,AQ0CS0,de,de,SPS00,llorar,llorar,VMN0000,a,a,SPS00,moco,moco,NCMS000,2015-03-12,2015,2010,DA0MS0 NCMS00D Mimosín AQ0CS0 SPS00,NCMS00D Mimosín AQ0CS0,DA0MS0 NCMS00D Mimosín,CS DA0MS0 NCMS00D Mimosín,AQ0MS0 CS DA0MS0 NCMS00D Mimosín,Mimosín AQ0CS0 SPS00,Mimosín AQ0CS0 SPS00 VMN0000,Mimosín AQ0CS0 SPS00 VMN0000 SPS00,el oso Mimosín capaz de,oso Mimosín capaz,el oso Mimosín,que el oso Mimosín,tierno que el oso Mimosín,Mimosín capaz de,Mimosín capaz de llorar,Mimosín capaz de llorar a
http://blogs.publico.es/strambotic/2015/04/drama-en-el-portal/,publico.es,2015-04-02,Spain,Mimosín/NP00000/mimosín,-  Veinte  falsificaciones  que  no  lograron  engañar  ni  al  osito  de Mimosín </doc>,mimosín,np00000,mimosín,de,de,SPS00,osito,oso,NCMS00D,al,a+el,SPS00+DA0MS0,ni,ni,CC,engañar,engañar,VMN0000,</doc>,,,,,,,,,,,,,,,2015-04-02,2015,2010,,,NCMS00D SPS00 Mimosín,SPS00+DA0MS0 NCMS00D SPS00 Mimosín,CC SPS00+DA0MS0 NCMS00D SPS00 Mimosín,,,,,,oso de Mimosín,a+el oso de Mimosín,ni a+el oso de Mimosín,,,
http://cincodias.com/cincodias/2015/05/09/empresas/1431124708_295287.html?ref=rss&format=simple&link=link,cincodias.com,2015-05-11,===NONE===,Mimosín/NP00000/mimosín,"No  en  vano  ,  la  multinacional  angloholandesa  ,  como  recuerda  Ana  Palencia  ,  directora  de  comunicación  en  España  y  responsable  de  RSC  para  Europa  ,  ""  vende  productos  del  día  a  día  ""  ,  con  marcas  reconocidas  en  alimentación  como  Flora  ,  Knorr  ,  Frigo  ,  Magnum  ,  Ligeresa  ,  Calvé  ,  Hellmann's  y  Maizena  ,  entre  otras  ,  y  en  el  cuidado  personal  y  del  hogar  como  TRESemmé  ,  Dove  ,  Axe  ,  Rexona  ,  Skip  y Mimosín  .",mimosín,np00000,mimosín,y,y,CC,Skip,skip,NP00000,",",",",Fc,Rexona,rexona,NP00000,",",",",Fc,.,.,Fp,,,,,,,,,,,,,2015-05-11,2015,2010,,CC Mimosín Fp,NP00000 CC Mimosín,Fc NP00000 CC Mimosín,NP00000 Fc NP00000 CC Mimosín,,,,,y Mimosín .,skip y Mimosín,", skip y Mimosín","rexona , skip y Mimosín",,,
