url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
https://www.coincrispy.com/2019/04/15/carrefour-nestle-ibm-mousline-blockchain/,coincrispy.com,2019-04-15,===NONE===,Mousline/NP00000/mousline,"Nestlé  y  Carrefour  ,  dos  de  los  miembros  más  importantes  de  la  plataforma  blockchain  Food  Trust  de  IBM  ,  utilizarán  esa  tecnología  a  partir  de  hoy  para  rastrear  el  suministro  de Mousline  ,  una  marca  reconocida  de  purés  de  papas  instantáneo  .",mousline,np00000,mousline,de,de,SPS00,suministro,suministro,NCMS000,el,el,DA0MS0,rastrear,rastrear,VMN0000,para,para,SPS00,",",",",Fc,una,uno,DI0FS0,marca,marca,NCFS000,reconocida,reconocer,VMP00SF,de,de,SPS00,2019-04-15,2019,2010,NCMS000 SPS00 Mousline Fc DI0FS0,SPS00 Mousline Fc,NCMS000 SPS00 Mousline,DA0MS0 NCMS000 SPS00 Mousline,VMN0000 DA0MS0 NCMS000 SPS00 Mousline,Mousline Fc DI0FS0,Mousline Fc DI0FS0 NCFS000,Mousline Fc DI0FS0 NCFS000 VMP00SF,"suministro de Mousline , uno","de Mousline ,",suministro de Mousline,el suministro de Mousline,rastrear el suministro de Mousline,"Mousline , uno","Mousline , uno marca","Mousline , uno marca reconocer"
https://es.cointelegraph.com/news/nestle-carrefour-work-with-ibm-to-track-mashed-potato-brand-with-blockchain,cointelegraph.com,2019-04-15,===NONE===,Mousline/NP00000/mousline,Una  asociación  tiene  como  objetivo  comenzar  a  utilizar  la  tecnología  para  realizar  el  seguimiento  de  los  alimentos  instantáneos Mousline  a  partir  del  lunes,mousline,np00000,mousline,instantáneos,instantáneo,AQ0MP0,alimentos,alimento,NCMP000,los,el,DA0MP0,de,de,SPS00,seguimiento,seguimiento,NCMS000,a,a,SPS00,partir,partir,VMN0000,del,de+el,SPS00+DA0MS0,lunes,lunes,NCMN000,,,,2019-04-15,2019,2010,NCMP000 AQ0MP0 Mousline SPS00 VMN0000,AQ0MP0 Mousline SPS00,NCMP000 AQ0MP0 Mousline,DA0MP0 NCMP000 AQ0MP0 Mousline,SPS00 DA0MP0 NCMP000 AQ0MP0 Mousline,Mousline SPS00 VMN0000,Mousline SPS00 VMN0000 SPS00+DA0MS0,Mousline SPS00 VMN0000 SPS00+DA0MS0 NCMN000,alimento instantáneo Mousline a partir,instantáneo Mousline a,alimento instantáneo Mousline,el alimento instantáneo Mousline,de el alimento instantáneo Mousline,Mousline a partir,Mousline a partir de+el,Mousline a partir de+el lunes
https://www.america-retail.com/category-management/category-management-carrefour-y-nestle-avanzan-en-blockchain/,america-retail.com,2019-04-18,===NONE===,Mousline/NP00000/mousline,"Nestlé  y  Carrefour  dan  un  paso  más  en  materia  de  transparencia  y  otorgan  a  los  consumidores  la  capacidad  de  acceder  a  la  información  blockchain  del  puré  de  patatas  de  la  marca Mousline  ,  disponible  en  los  estantes  de  las  tiendas  Carrefour  en  Francia  .",mousline,np00000,mousline,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,patatas,patata,NCFP000,de,de,SPS00,",",",",Fc,disponible,disponible,AQ0CS0,en,en,SPS00,los,el,DA0MP0,estantes,estante,NCMP000,2019-04-18,2019,2010,DA0FS0 NCFS000 Mousline Fc AQ0CS0,NCFS000 Mousline Fc,DA0FS0 NCFS000 Mousline,SPS00 DA0FS0 NCFS000 Mousline,NCFP000 SPS00 DA0FS0 NCFS000 Mousline,Mousline Fc AQ0CS0,Mousline Fc AQ0CS0 SPS00,Mousline Fc AQ0CS0 SPS00 DA0MP0,"el marca Mousline , disponible","marca Mousline ,",el marca Mousline,de el marca Mousline,patata de el marca Mousline,"Mousline , disponible","Mousline , disponible en","Mousline , disponible en el"
https://www.america-retail.com/category-management/category-management-carrefour-y-nestle-avanzan-en-blockchain/,america-retail.com,2019-04-18,===NONE===,Mousline/NP00000/mousline,"Carrefour  y  Nestlé  colaboran  ,  junto  a  IBM  Food  Trust  ,  en  este  proyecto  de  blockchain  en  Francia  para  el  puré  de  patatas  de  la  marca Mousline ",mousline,np00000,mousline,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,patatas,patata,NCFP000,de,de,SPS00,,,,,,,,,,,,,,,,2019-04-18,2019,2010,,,DA0FS0 NCFS000 Mousline,SPS00 DA0FS0 NCFS000 Mousline,NCFP000 SPS00 DA0FS0 NCFS000 Mousline,,,,,,el marca Mousline,de el marca Mousline,patata de el marca Mousline,,,
https://www.america-retail.com/ecommerce/ecommerce-carrefour-quiere-usar-el-blockchain-para-trackear-el-origen-del-20-de-sus-productos-en-2020/,america-retail.com,2019-04-22,===NONE===,Mousline/NP00000/mousline,"Por  ahora  el  programa  para  trackear  productos  estaba  destinado  únicamente  para  la  marca  Carrefour  ,  sin  embargo  ,  el  retail  ha  llegado  a  un  acuerdo  con  Nestlé  con  la  que  esta  nueva  tecnología  rastreará  el  suministro  de Mousline  ,  una  reconocida  marca  de  puré  de  patatas  instantáneo  .",mousline,np00000,mousline,de,de,SPS00,suministro,suministro,NCMS000,el,el,DA0MS0,rastreará,rastrear,VMIF3S0,tecnología,tecnología,NCFS000,",",",",Fc,una,uno,DI0FS0,reconocida,reconocer,VMP00SF,marca,marca,NCFS000,de,de,SPS00,2019-04-22,2019,2010,NCMS000 SPS00 Mousline Fc DI0FS0,SPS00 Mousline Fc,NCMS000 SPS00 Mousline,DA0MS0 NCMS000 SPS00 Mousline,VMIF3S0 DA0MS0 NCMS000 SPS00 Mousline,Mousline Fc DI0FS0,Mousline Fc DI0FS0 VMP00SF,Mousline Fc DI0FS0 VMP00SF NCFS000,"suministro de Mousline , uno","de Mousline ,",suministro de Mousline,el suministro de Mousline,rastrear el suministro de Mousline,"Mousline , uno","Mousline , uno reconocer","Mousline , uno reconocer marca"
https://www.america-retail.com/ecommerce/ecommerce-carrefour-quiere-usar-el-blockchain-para-trackear-el-origen-del-20-de-sus-productos-en-2020/,america-retail.com,2019-04-22,===NONE===,Mousline/NP00000/mousline,"Con  esta  alianza  ,  Carrefour  continuará  el  desarrollo  de  su  programa  Act  For  Food  y  su  promoción  del  blockchain  ,  mientras  Nestlé  ,  por  medio  de  la  marca  nacional Mousline  ,  reforzará  el  vínculo  de  confianza  con  sus  consumidores  al  ofrecerles  transparencia  sobre  su  cadena  de  suministro  y  fabricación  .",mousline,np00000,mousline,nacional,nacional,AQ0CS0,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,medio,medio,PI0MS000,",",",",Fc,reforzará,reforzar,VMIF3S0,el,el,DA0MS0,vínculo,vínculo,NCMS000,de,de,SPS00,2019-04-22,2019,2010,NCFS000 AQ0CS0 Mousline Fc VMIF3S0,AQ0CS0 Mousline Fc,NCFS000 AQ0CS0 Mousline,DA0FS0 NCFS000 AQ0CS0 Mousline,SPS00 DA0FS0 NCFS000 AQ0CS0 Mousline,Mousline Fc VMIF3S0,Mousline Fc VMIF3S0 DA0MS0,Mousline Fc VMIF3S0 DA0MS0 NCMS000,"marca nacional Mousline , reforzar","nacional Mousline ,",marca nacional Mousline,el marca nacional Mousline,de el marca nacional Mousline,"Mousline , reforzar","Mousline , reforzar el","Mousline , reforzar el vínculo"
https://www.diariobitcoin.com/index.php/2019/04/25/carrefour-empezo-a-rastrear-productos-nestle-por-blockchain-y-planea-hacerlo-con-20-de-su-mercancia-este-ano/,diariobitcoin.com,2019-04-25,===NONE===,Mousline/NP00000/mousline,"Como  parte  del  programa  Act  for  Food  ,  el  supermercado  se  ha  aliado  recientemente  con  Nestlé  para  el  seguimiento  de  uno  de  sus  productos  más  importantes  :  el  puré  de  papas Mousline  .",mousline,np00000,mousline,papas,papa,NCMP000,de,de,SPS00,puré,puré,NCMS000,el,el,DA0MS0,:,:,Fd,.,.,Fp,,,,,,,,,,,,,2019-04-25,2019,2010,,NCMP000 Mousline Fp,SPS00 NCMP000 Mousline,NCMS000 SPS00 NCMP000 Mousline,DA0MS0 NCMS000 SPS00 NCMP000 Mousline,,,,,papa Mousline .,de papa Mousline,puré de papa Mousline,el puré de papa Mousline,,,
https://es.cointelegraph.com/news/french-retail-chain-carrefour-registers-sales-boost-following-blockchain-integration,cointelegraph.com,2019-06-03,===NONE===,Mousline/NP00000/mousline,"A  mediados  de  abril  ,  Carrefour  y  el  gigante  alimentario  con  sede  en  Suiza  Nestlé  se  asociaron  con  IBM  para  utilizar  la  tecnología  de  cadena  de  bloques  de  esta  última  para  rastrear  la  cadena  de  suministro  de Mousline  ,  una  conocida  marca  de  puré  de  papas  instantáneas  .",mousline,np00000,mousline,de,de,SPS00,suministro,suministro,NCMS000,de,de,SPS00,cadena,cadena,NCFS000,la,el,DA0FS0,",",",",Fc,una,uno,DI0FS0,conocida,conocer,VMP00SF,marca,marca,NCFS000,de,de,SPS00,2019-06-03,2019,2010,NCMS000 SPS00 Mousline Fc DI0FS0,SPS00 Mousline Fc,NCMS000 SPS00 Mousline,SPS00 NCMS000 SPS00 Mousline,NCFS000 SPS00 NCMS000 SPS00 Mousline,Mousline Fc DI0FS0,Mousline Fc DI0FS0 VMP00SF,Mousline Fc DI0FS0 VMP00SF NCFS000,"suministro de Mousline , uno","de Mousline ,",suministro de Mousline,de suministro de Mousline,cadena de suministro de Mousline,"Mousline , uno","Mousline , uno conocer","Mousline , uno conocer marca"
https://www.merca20.com/nestle-auditara-su-produccion-de-leche-con-blockchain-y-planea-extender-la-experiencia/,merca20.com,2019-07-03,===NONE===,Mousline/NP00000/mousline,"En  abril  ,  Nestlé  anunció  que  había  comenzado  a  trabajar  con  Carrefour  para  usar  blockchain  para  rastrear  el  puré  de  papa Mousline  desde  las  fábricas  hasta  las  tiendas  del  gigante  minorista  francés  .",mousline,np00000,mousline,papa,papa,NCMS000,de,de,SPS00,puré,puré,NCMS000,el,el,DA0MS0,rastrear,rastrear,VMN0000,desde,desde,SPS00,las,el,DA0FP0,fábricas,fábrica,NCFP000,hasta,hasta,SPS00,las,el,DA0FP0,2019-07-03,2019,2010,SPS00 NCMS000 Mousline SPS00 DA0FP0,NCMS000 Mousline SPS00,SPS00 NCMS000 Mousline,NCMS000 SPS00 NCMS000 Mousline,DA0MS0 NCMS000 SPS00 NCMS000 Mousline,Mousline SPS00 DA0FP0,Mousline SPS00 DA0FP0 NCFP000,Mousline SPS00 DA0FP0 NCFP000 SPS00,de papa Mousline desde el,papa Mousline desde,de papa Mousline,puré de papa Mousline,el puré de papa Mousline,Mousline desde el,Mousline desde el fábrica,Mousline desde el fábrica hasta
https://www.america-retail.com/sostenibilidad/sostenibilidad-nestle-avanza-en-transparencia/,america-retail.com,2019-07-12,===NONE===,Mousline/NP00000/mousline,"Asimismo  ,  en  abril  ,  dio  a  los  consumidores  acceso  a  los  datos  de  blockchain  ,  por  primera  vez  en  su  historia  ,  a  través  del  puré Mousline  en  Francia  . </doc>",mousline,np00000,mousline,puré,puré,NCMS000,del,de+el,SPS00+DA0MS0,través,través,NCMS000,a,a,SPS00,",",",",Fc,en,en,SPS00,Francia,francia,NP00000,.,.,Fp,</doc>,,,,,,2019-07-12,2019,2010,SPS00+DA0MS0 NCMS000 Mousline SPS00 NP00000,NCMS000 Mousline SPS00,SPS00+DA0MS0 NCMS000 Mousline,NCMS000 SPS00+DA0MS0 NCMS000 Mousline,SPS00 NCMS000 SPS00+DA0MS0 NCMS000 Mousline,Mousline SPS00 NP00000,Mousline SPS00 NP00000 Fp,,de+el puré Mousline en francia,puré Mousline en,de+el puré Mousline,través de+el puré Mousline,a través de+el puré Mousline,Mousline en francia,Mousline en francia .,
