url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.abc.es/familia-ahorro/20140102/abci-almacen-reyes-magos-201312301527.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-01-02,Spain,Nenuco/NP00000/nenuco,"El  Corte  Inglés  cuenta  también  con  un  gran  número  de  juguetes  en  exclusiva  ,  entre  los  que  se  incluyen  referencias  de  algunas  de  las  marcas  más  deseadas  por  los  niños  ,  como  Playmobil  ,  Lego  ,  Nancy  ,  Barbie  ,  Monster  High  , Nenuco  ,  Vtech  ,  Fisher  Price  ,  etc.  Y  ,  por  supuesto  ,  una  gran  variedad  de  juguetes  vinculados  a  las  licencias  del  momento  :  Peppa  Pig  ,  Jake  el  Pirata  ,  Tortugas  ,  Violeta  ,  etc.  En  las  áreas  de  juguetes  de  El  Corte  Inglés  se  exponen  ,  cada  año  ,  los  juguetes  más  ""  buscados  ""  y  difíciles  de  encontrar  .",nenuco,np00000,nenuco,",",",",Fc,High,high,NP00000,Monster,monster,NP00000,",",",",Fc,Barbie,barbie,NP00000,",",",",Fc,Vtech,vtech,NP00000,",",",",Fc,Fisher,fisher,NP00000,Price,price,NP00000,2014-01-02,2014,2010,NP00000 Fc Nenuco Fc NP00000,Fc Nenuco Fc,NP00000 Fc Nenuco,NP00000 NP00000 Fc Nenuco,Fc NP00000 NP00000 Fc Nenuco,Nenuco Fc NP00000,Nenuco Fc NP00000 Fc,Nenuco Fc NP00000 Fc NP00000,"high , Nenuco , vtech",", Nenuco ,","high , Nenuco","monster high , Nenuco",", monster high , Nenuco","Nenuco , vtech","Nenuco , vtech ,","Nenuco , vtech , fisher"
http://www.eldiadevalladolid.com/noticia/Z3E8A14B1-C989-F1F1-BF60692C8197621C/20140102//carta/muy/mediatica,eldiadevalladolid.com,2014-01-02,Spain,Nenuco/NP00000/nenuco,"Otros  comunes  en  muchas  cartas  a  los  Reyes  Magos  ,  tal  y  como  apuntan  desde  El  Corte  Inglés  ,  son  las  muñecas  Nancy  ,  los  muñecos Nenuco  ,  junto  con  los  coches  radio  control  y  ,  por  supuesto  ,  los  libros  . </doc>",nenuco,np00000,nenuco,muñecos,muñeco,NCMP000,los,el,DA0MP0,",",",",Fc,Nancy,nancy,NP00000,muñecas,muñeca,NCFP000,",",",",Fc,junto,junto,RG,con,con,SPS00,los,el,DA0MP0,coches,coche,NCMP000,2014-01-02,2014,2010,DA0MP0 NCMP000 Nenuco Fc RG,NCMP000 Nenuco Fc,DA0MP0 NCMP000 Nenuco,Fc DA0MP0 NCMP000 Nenuco,NP00000 Fc DA0MP0 NCMP000 Nenuco,Nenuco Fc RG,Nenuco Fc RG SPS00,Nenuco Fc RG SPS00 DA0MP0,"el muñeco Nenuco , junto","muñeco Nenuco ,",el muñeco Nenuco,", el muñeco Nenuco","nancy , el muñeco Nenuco","Nenuco , junto","Nenuco , junto con","Nenuco , junto con el"
http://www.publimetro.com.mx/noticias/guia-para-ahorrar-en-tus-compras-de-juguetes/mnad%21fozrrWJqrnE/,publimetro.com.mx,2014-01-04,Mexico,Nenuco/NP00000/nenuco,"De  esta  forma  ,  Melchor  ,  Gaspar  y  Baltasar  pueden  comprobar  qué  una  muñeca  Disney  Princesa  ,  un Nenuco  ,  una  Little  Mommy  o  una  Monster  High  ,  se  comercializan  desde  147  pesos  hasta  399  pesos  ,  con  una  diferencia  de  56  %  de  uno  a  otro  establecimiento  .",nenuco,np00000,nenuco,un,uno,DI0MS0,",",",",Fc,Princesa,princesa,NP00000,Disney,disney,NP00000,muñeca,muñeca,NCFS000,",",",",Fc,una,uno,DI0FS0,Little,little,NP00000,Mommy,mommy,NP00000,o,o,CC,2014-01-04,2014,2010,Fc DI0MS0 Nenuco Fc DI0FS0,DI0MS0 Nenuco Fc,Fc DI0MS0 Nenuco,NP00000 Fc DI0MS0 Nenuco,NP00000 NP00000 Fc DI0MS0 Nenuco,Nenuco Fc DI0FS0,Nenuco Fc DI0FS0 NP00000,Nenuco Fc DI0FS0 NP00000 NP00000,", uno Nenuco , uno","uno Nenuco ,",", uno Nenuco","princesa , uno Nenuco","disney princesa , uno Nenuco","Nenuco , uno","Nenuco , uno little","Nenuco , uno little mommy"
http://www.diarioinformacion.com/alicante/2014/01/04/vuelven-nancy-playmobil/1454374.html?utm_source=rss,diarioinformacion.com,2014-01-04,Spain,nenucos/AQ0MP0/nenucos,"Nancys  ,  Barbies  , nenucos  y  barriguitas  ,  las  muñecas  con  las  que  jugaban  las  españolas  que  hoy  son  treintañeras  e  incluso  aún  más  mayores  ,  se  han  convertido  este  año  en  los  juguetes  más  deseados  por  las  niñas  alicantinas  como  regalo  de  Reyes  .",nenucos,aq0mp0,nenucos,",",",",Fc,Barbies,barbies,NP00000,",",",",Fc,Nancys,nancys,NP00000,,,,y,y,CC,barriguitas,barriguitas,AQ0FP0,",",",",Fc,las,el,DA0FP0,muñecas,muñeca,NCFP000,2014-01-04,2014,2010,NP00000 Fc Nenuco CC AQ0FP0,Fc Nenuco CC,NP00000 Fc Nenuco,Fc NP00000 Fc Nenuco,NP00000 Fc NP00000 Fc Nenuco,Nenuco CC AQ0FP0,Nenuco CC AQ0FP0 Fc,Nenuco CC AQ0FP0 Fc DA0FP0,"barbies , Nenuco y barriguitas",", Nenuco y","barbies , Nenuco",", barbies , Nenuco","nancys , barbies , Nenuco",Nenuco y barriguitas,"Nenuco y barriguitas ,","Nenuco y barriguitas , el"
http://www.que.es/ultimas-noticias/sociedad/201401040930-regalos-para-reyes-peppa-minions.html,que.es,2014-01-04,Spain,NENUCO/NP00000/nenuco,"1  -  LA  COCINITA  DE NENUCO  :  Aprovechando  el  tirón  de  las  exitosas  ediciones  de  MasterChef  y  Top  Chef  -  y  más  aún  la  entrañable  versión  Junior  del  programa  de  TVE  con  los  Mario  ,  Aimar  ,  Ana  Luna  y  compañía  -  no  es  una  mala  idea  que  los  pequeños  de  la  casa  empiecen  a  '  trastear  '  en  la  cocina  .",nenuco,np00000,nenuco,DE,de,NP00000,COCINITA,cocinita,NP00000,LA,la,NP00000,-,-,Fg,1,1,Z,:,:,Fd,Aprovechando,aprovechar,VMG0000,el,el,DA0MS0,tirón,tirón,NCMS000,de,de,SPS00,2014-01-04,2014,2010,NP00000 NP00000 Nenuco Fd VMG0000,NP00000 Nenuco Fd,NP00000 NP00000 Nenuco,NP00000 NP00000 NP00000 Nenuco,Fg NP00000 NP00000 NP00000 Nenuco,Nenuco Fd VMG0000,Nenuco Fd VMG0000 DA0MS0,Nenuco Fd VMG0000 DA0MS0 NCMS000,cocinita de Nenuco : aprovechar,de Nenuco :,cocinita de Nenuco,la cocinita de Nenuco,- la cocinita de Nenuco,Nenuco : aprovechar,Nenuco : aprovechar el,Nenuco : aprovechar el tirón
http://www.que.es/ultimas-noticias/sociedad/201401040930-regalos-para-reyes-peppa-minions.html,que.es,2014-01-04,Spain,Nenuco/NP00000/nenuco,"Perfecto  para  que  el Nenuco  esté  bien  alimentado  y  como  diría  Eva  Gonzále  ,  los  niños  le  puedan  dar  sabor  a  la  vida  .",nenuco,np00000,nenuco,el,el,DA0MS0,que,que,PR0CN000,para,para,SPS00,Perfecto,perfecto,NP00000,,,,esté,estar,VASP1S0,bien,bien,RG,alimentado,alimentar,VMP00SM,y,y,CC,como,como,CS,2014-01-04,2014,2010,PR0CN000 DA0MS0 Nenuco VASP1S0 RG,DA0MS0 Nenuco VASP1S0,PR0CN000 DA0MS0 Nenuco,SPS00 PR0CN000 DA0MS0 Nenuco,NP00000 SPS00 PR0CN000 DA0MS0 Nenuco,Nenuco VASP1S0 RG,Nenuco VASP1S0 RG VMP00SM,Nenuco VASP1S0 RG VMP00SM CC,que el Nenuco estar bien,el Nenuco estar,que el Nenuco,para que el Nenuco,perfecto para que el Nenuco,Nenuco estar bien,Nenuco estar bien alimentar,Nenuco estar bien alimentar y
http://www.levante-emv.com/comunitat-valenciana/2014/01/05/clasicos-vuelven-reyes/1065472.html?utm_medium=rss,levante-emv.com,2014-01-05,Spain,Nenuco/NP00000/nenuco,"Las  grandes  superficies  y  tiendas  de  juguetes  ,  abarrotadas  ayer  y  abarrotadas  hoy  en  el  último  día  antes  de  Reyes  ,  tienen  en  nombres  como  Playmobil  , Nenuco  o  Nancy  a  sus  grandes  referentes  .",nenuco,np00000,nenuco,",",",",Fc,Playmobil,playmobil,NP00000,como,como,CS,nombres,nombre,NCMP000,en,en,SPS00,o,o,CC,Nancy,nancy,NP00000,a,a,SPS00,sus,su,DP3CP0,grandes,grande,AQ0CP0,2014-01-05,2014,2010,NP00000 Fc Nenuco CC NP00000,Fc Nenuco CC,NP00000 Fc Nenuco,CS NP00000 Fc Nenuco,NCMP000 CS NP00000 Fc Nenuco,Nenuco CC NP00000,Nenuco CC NP00000 SPS00,Nenuco CC NP00000 SPS00 DP3CP0,"playmobil , Nenuco o nancy",", Nenuco o","playmobil , Nenuco","como playmobil , Nenuco","nombre como playmobil , Nenuco",Nenuco o nancy,Nenuco o nancy a,Nenuco o nancy a su
http://www.levante-emv.com/comunitat-valenciana/2014/01/05/clasicos-vuelven-reyes/1065472.html?utm_medium=rss,levante-emv.com,2014-01-05,Spain,Nenuco/NP00000/nenuco,"También  las  muñecas  de Nenuco  ,  Nancy  y  Pinypon  ""  ,  señalan  desde  El  Corte  Inglés  .",nenuco,np00000,nenuco,de,de,SPS00,muñecas,muñeca,NCFP000,las,el,DA0FP0,También,también,RG,,,,",",",",Fc,Nancy,nancy,NP00000,y,y,CC,Pinypon,pinypon,NP00000,"""","""",Fe,2014-01-05,2014,2010,NCFP000 SPS00 Nenuco Fc NP00000,SPS00 Nenuco Fc,NCFP000 SPS00 Nenuco,DA0FP0 NCFP000 SPS00 Nenuco,RG DA0FP0 NCFP000 SPS00 Nenuco,Nenuco Fc NP00000,Nenuco Fc NP00000 CC,Nenuco Fc NP00000 CC NP00000,"muñeca de Nenuco , nancy","de Nenuco ,",muñeca de Nenuco,el muñeca de Nenuco,también el muñeca de Nenuco,"Nenuco , nancy","Nenuco , nancy y","Nenuco , nancy y pinypon"
http://www.farodevigo.es/portada-ourense/2014/01/05/pepa-pig-pokemon-furby-reyes/942493.html?utm_medium=rss,farodevigo.es,2014-01-05,Spain,Nenuco/NP00000/nenuco,"Los  juguetes  más  actuales  ,  aquellos  que  salen  en  la  tele  y  llevan  meses  pidiendo  lo  niños  ,  están  agotados  ,  pero  hay  también  un  regreso  a  lo  clásico  y  ese  año  se  ha  disparado  las  ventas  de  los  Playmobil  ,  en  algún  caso  como  el  fuerte  del  oeste  en  versión  renovada  ,  clásicos  como  los Nenuco  ,  y  vuelve  con  fuerza  un  mito  de  los  70  también  totalmente  modernizada  como  es  Nancy  en  versiones  muy  ""  fashion  ""  ,  que  arrasaron  también  en  número  de  ventas  .",nenuco,np00000,nenuco,los,el,DA0MP0,como,como,CS,clásicos,clásico,AQ0MP0,",",",",Fc,renovada,renovar,VMP00SF,",",",",Fc,y,y,CC,vuelve,volver,VMIP3S0,con,con,SPS00,fuerza,fuerza,NCFS000,2014-01-05,2014,2010,CS DA0MP0 Nenuco Fc CC,DA0MP0 Nenuco Fc,CS DA0MP0 Nenuco,AQ0MP0 CS DA0MP0 Nenuco,Fc AQ0MP0 CS DA0MP0 Nenuco,Nenuco Fc CC,Nenuco Fc CC VMIP3S0,Nenuco Fc CC VMIP3S0 SPS00,"como el Nenuco , y","el Nenuco ,",como el Nenuco,clásico como el Nenuco,", clásico como el Nenuco","Nenuco , y","Nenuco , y volver","Nenuco , y volver con"
http://www.elmundo.es/comunidad-valenciana/2014/01/07/52cbd2c7268e3e7a448b4576.html,elmundo.es,2014-01-07,Spain,Nenuco/NP00000/nenuco,"Colocar  la  Nancy  ,  los  PinyPon  o  los Nenuco  en  las  estanterías  de  Walmart  o  Target  ,  las  dos  cadenas  de  distribución  líderes  en  EEUU  ,  cuesta  demasiado  por  las  duras  barreras  de  entrada  existentes  .",nenuco,np00000,nenuco,los,el,DA0MP0,o,o,CC,PinyPon,pinypon,NP00000,los,el,DA0MP0,",",",",Fc,en,en,SPS00,las,el,DA0FP0,estanterías,estantería,NCFP000,de,de,SPS00,Walmart,walmart,NP00000,2014-01-07,2014,2010,CC DA0MP0 Nenuco SPS00 DA0FP0,DA0MP0 Nenuco SPS00,CC DA0MP0 Nenuco,NP00000 CC DA0MP0 Nenuco,DA0MP0 NP00000 CC DA0MP0 Nenuco,Nenuco SPS00 DA0FP0,Nenuco SPS00 DA0FP0 NCFP000,Nenuco SPS00 DA0FP0 NCFP000 SPS00,o el Nenuco en el,el Nenuco en,o el Nenuco,pinypon o el Nenuco,el pinypon o el Nenuco,Nenuco en el,Nenuco en el estantería,Nenuco en el estantería de
