url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.publico.es/internacional/491809/grecia-alerta-contra-el-posible-envenenamiento-de-coca-cola-y-nestea,publico.es,2014-01-01,Spain,Nestea/NP00000/nestea,<doc uri=http://www.publico.es/internacional/491809/grecia-alerta-contra-el-posible-envenenamiento-de-coca-cola-y-nestea website=publico.es date=2014-01-01 source_country=Spain> /grecia/NP00000 /alertar/VMIP3S0 /contra/SPS00 /el/DA0MS0 /posible/AQ0CS0 /envenenamiento/NCMS000 /de/SPS00 /coca/NP00000 /cola/NP00000 /y/CC Nestea ,nestea,np00000,nestea,y,y,CC,Cola,cola,NP00000,Coca,coca,NP00000,de,de,SPS00,envenenamiento,envenenamiento,NCMS000,,,,,,,,,,,,,,,,2014-01-01,2014,2010,,,NP00000 CC Nestea,NP00000 NP00000 CC Nestea,SPS00 NP00000 NP00000 CC Nestea,,,,,,cola y Nestea,coca cola y Nestea,de coca cola y Nestea,,,
http://www.publico.es/internacional/491809/grecia-alerta-contra-el-posible-envenenamiento-de-coca-cola-y-nestea,publico.es,2014-01-01,Spain,Nestea/NP00000/nestea,La  FSE  solicitó  a  todos  los  comercios  que  retiren  de  sus  estanterías  todos  los  refrescos  de  Coca  Cola  Light  en  envases  de  plástico  de  500  mililitros  y  toda  la  gama  de  sabores  de Nestea  del  mismo  tamaño  .,nestea,np00000,nestea,de,de,SPS00,sabores,sabor,NCMP000,de,de,SPS00,gama,gama,NCFS000,la,el,DA0FS0,del,de+el,SPS00+DA0MS0,mismo,mismo,AQ0MS0,tamaño,tamaño,NCMS000,.,.,Fp,,,,2014-01-01,2014,2010,NCMP000 SPS00 Nestea SPS00+DA0MS0 AQ0MS0,SPS00 Nestea SPS00+DA0MS0,NCMP000 SPS00 Nestea,SPS00 NCMP000 SPS00 Nestea,NCFS000 SPS00 NCMP000 SPS00 Nestea,Nestea SPS00+DA0MS0 AQ0MS0,Nestea SPS00+DA0MS0 AQ0MS0 NCMS000,Nestea SPS00+DA0MS0 AQ0MS0 NCMS000 Fp,sabor de Nestea de+el mismo,de Nestea de+el,sabor de Nestea,de sabor de Nestea,gama de sabor de Nestea,Nestea de+el mismo,Nestea de+el mismo tamaño,Nestea de+el mismo tamaño .
http://www.publico.es/internacional/491809/grecia-alerta-contra-el-posible-envenenamiento-de-coca-cola-y-nestea,publico.es,2014-01-01,Spain,Nestea/NP00000/nestea,"El  grupo  en  cuestión  aseguró  que  en  total  tenía  previsto  colocar  63  botellas  de  plástico  de  Coca  Cola  light  de  500  ml  y  42  botellas  de  plástico  de  500  ml Nestea  ,  de  todos  los  sabores  ,  en  las  estanterías  de  ""  todo  tipo  de  tiendas  que  venden  estos  productos  ""  .",nestea,np00000,nestea,ml,mililitro,NCMN000,500,500,Z,de,de,SPS00,plástico,plástico,NCMS000,de,de,SPS00,",",",",Fc,de,de,SPS00,todos,todo,DI0MP0,los,el,DA0MP0,sabores,sabor,NCMP000,2014-01-01,2014,2010,Z NCMN000 Nestea Fc SPS00,NCMN000 Nestea Fc,Z NCMN000 Nestea,SPS00 Z NCMN000 Nestea,NCMS000 SPS00 Z NCMN000 Nestea,Nestea Fc SPS00,Nestea Fc SPS00 DI0MP0,Nestea Fc SPS00 DI0MP0 DA0MP0,"500 mililitro Nestea , de","mililitro Nestea ,",500 mililitro Nestea,de 500 mililitro Nestea,plástico de 500 mililitro Nestea,"Nestea , de","Nestea , de todo","Nestea , de todo el"
http://www.lavozdegalicia.es/noticia/politica/2014/01/03/precio-cubatas-cafeteria-congreso-congelado/00031388745290524856809.htm,lavozdegalicia.es,2014-01-03,Spain,Nestea/NP00000/nestea,"Al  igual  que  los  cubatas  ,  el  resto  de  productos  que  se  ofrecen  en  la  cafetería  del  Congreso  de  los  Diputados  también  mantienen  sus  precios  ,  por  lo  que  el  café  seguirá  costando  0,85  céntimos  ,  el  Aquarius  o  el Nestea  0,70  ,  las  coca-colas  a  0,60  y  las  bolsas  de  patatas  fritas  a  0,80  . </doc>",nestea,np00000,nestea,el,el,DA0MS0,o,o,CC,Aquarius,aquarius,NP00000,el,el,DA0MS0,",",",",Fc,"0,70",0.7,Z,",",",",Fc,las,el,DA0FP0,coca-colas,coca-cola,NCFP000,a,a,SPS00,2014-01-03,2014,2010,CC DA0MS0 Nestea Z Fc,DA0MS0 Nestea Z,CC DA0MS0 Nestea,NP00000 CC DA0MS0 Nestea,DA0MS0 NP00000 CC DA0MS0 Nestea,Nestea Z Fc,Nestea Z Fc DA0FP0,Nestea Z Fc DA0FP0 NCFP000,"o el Nestea 0.7 ,",el Nestea 0.7,o el Nestea,aquarius o el Nestea,el aquarius o el Nestea,"Nestea 0.7 ,","Nestea 0.7 , el","Nestea 0.7 , el coca-cola"
http://www.elperiodico.com/es/noticias/opinion/hombres-capturan-siquieros-por-sobre_salientes-2994932?utm_source=rss-noticias&utm_medium=feed&utm_campaign=portada,elperiodico.com,2014-01-09,===NONE===,Nestea/NP00000/nestea,"Están  muchas  noches  -  entre Nestea  y  Nestea  -  pensando  cómo  mejorar  ,  cómo  cambiar  y  adaptarse  a  esa  nueva  pareja  de  enamorados  que  ha  llegado  a  la  oficina  .",nestea,np00000,nestea,entre,entre,SPS00,-,-,Fg,noches,noche,NCFP000,muchas,mucho,DI0FP0,Están,estar,VAIP3P0,y,y,CC,Nestea,nestea,NP00000,-,-,Fg,pensando,pensar,VMG0000,cómo,cómo,PT000000,2014-01-09,2014,2010,Fg SPS00 Nestea CC NP00000,SPS00 Nestea CC,Fg SPS00 Nestea,NCFP000 Fg SPS00 Nestea,DI0FP0 NCFP000 Fg SPS00 Nestea,Nestea CC NP00000,Nestea CC NP00000 Fg,Nestea CC NP00000 Fg VMG0000,- entre Nestea y nestea,entre Nestea y,- entre Nestea,noche - entre Nestea,mucho noche - entre Nestea,Nestea y nestea,Nestea y nestea -,Nestea y nestea - pensar
http://www.elperiodico.com/es/noticias/opinion/hombres-capturan-siquieros-por-sobre_salientes-2994932?utm_source=rss-noticias&utm_medium=feed&utm_campaign=portada,elperiodico.com,2014-01-09,===NONE===,Nestea/NP00000/nestea,"Están  muchas  noches  -  entre  Nestea  y Nestea  -  pensando  cómo  mejorar  ,  cómo  cambiar  y  adaptarse  a  esa  nueva  pareja  de  enamorados  que  ha  llegado  a  la  oficina  .",nestea,np00000,nestea,y,y,CC,Nestea,nestea,NP00000,entre,entre,SPS00,-,-,Fg,noches,noche,NCFP000,-,-,Fg,pensando,pensar,VMG0000,cómo,cómo,PT000000,mejorar,mejorar,VMN0000,",",",",Fc,2014-01-09,2014,2010,NP00000 CC Nestea Fg VMG0000,CC Nestea Fg,NP00000 CC Nestea,SPS00 NP00000 CC Nestea,Fg SPS00 NP00000 CC Nestea,Nestea Fg VMG0000,Nestea Fg VMG0000 PT000000,Nestea Fg VMG0000 PT000000 VMN0000,nestea y Nestea - pensar,y Nestea -,nestea y Nestea,entre nestea y Nestea,- entre nestea y Nestea,Nestea - pensar,Nestea - pensar cómo,Nestea - pensar cómo mejorar
http://www.lavanguardia.com/local/valencia/20140226/54402584507/joan-baldovi-estruja-una-lata-de-coca-cola-y-pide-no-consumirla-en-protesta-por-los-despidos.html,lavanguardia.com,2014-02-26,Spain,nestea/NCFS000/nestea,"Más  de  un_centenar  de  trabajadores  de  Coca-Cola  Iberian  Partners  se  han  concentrado  este  martes  en  la  plaza  de  Neptuno  para  pedir  a  los  diputados  que  no  consuman  ""  ni  una  coca-cola  ,  ni  una  fanta  ,  ni  un nestea  ""  ,  como  apoyo  a  los  empleados  que  quieren  evitar  el  ERE  . </doc>",nestea,ncfs000,nestea,un,uno,DI0MS0,ni,ni,CC,",",",",Fc,fanta,fanta,NCFS000,una,uno,DI0FS0,"""","""",Fe,",",",",Fc,como,como,CS,apoyo,apoyo,NCMS000,a,a,SPS00,2014-02-26,2014,2010,CC DI0MS0 Nestea Fe Fc,DI0MS0 Nestea Fe,CC DI0MS0 Nestea,Fc CC DI0MS0 Nestea,NCFS000 Fc CC DI0MS0 Nestea,Nestea Fe Fc,Nestea Fe Fc CS,Nestea Fe Fc CS NCMS000,"ni uno Nestea "" ,","uno Nestea """,ni uno Nestea,", ni uno Nestea","fanta , ni uno Nestea","Nestea "" ,","Nestea "" , como","Nestea "" , como apoyo"
http://www.europapress.es/portaltic/portalgeek/noticia-espanola-mondariz-lanza-refrescos-coincidiendo-boicot-coca-cola-20140303130725.html,europapress.es,2014-03-04,Spain,Nestea/NP00000/nestea,"La  marca  de  agua  mineral  ha  lanzado  al  mercado  tres  productos  distintos  :  Mondariz  Sport  (  similar  al  Aquarius  )  ,  Mondariz  Té  Premium  (  al  estilo Nestea  )  y  por  último  Mondariz  Premium  Cola  ,  y  coincide  con  el  llamado  boicot  a  Coca-Cola  en  España  .",nestea,np00000,nestea,estilo,estilo,NCMS000,al,a+el,SPS00+DA0MS0,(,(,Fpa,Premium,premium,NP00000,Té,té,NP00000,),),Fpt,y,y,CC,por,por,SPS00,último,último,AO0MS0,Mondariz,mondariz,NP00000,2014-03-04,2014,2010,SPS00+DA0MS0 NCMS000 Nestea Fpt CC,NCMS000 Nestea Fpt,SPS00+DA0MS0 NCMS000 Nestea,Fpa SPS00+DA0MS0 NCMS000 Nestea,NP00000 Fpa SPS00+DA0MS0 NCMS000 Nestea,Nestea Fpt CC,Nestea Fpt CC SPS00,Nestea Fpt CC SPS00 AO0MS0,a+el estilo Nestea ) y,estilo Nestea ),a+el estilo Nestea,( a+el estilo Nestea,premium ( a+el estilo Nestea,Nestea ) y,Nestea ) y por,Nestea ) y por último
http://www.20minutos.es/noticia/2087143/0/,20minutos.es,2014-03-17,Spain,Inesteam/NP00000/inesteam,"En  concreto  ,  en  el  apartado  de  breakdance  ,  actuarán  The  Ruggerd  (  Holanda  )  , Inesteam  (  Francia  )  y  RstCrew  (  Zaragoza  )  .",inesteam,np00000,inesteam,",",",",Fc,),),Fpt,Holanda,holanda,NP00000,(,(,Fpa,Ruggerd,ruggerd,NP00000,(,(,Fpa,Francia,francia,NP00000,),),Fpt,y,y,CC,RstCrew,rstcrew,NP00000,2014-03-17,2014,2010,Fpt Fc Nestea Fpa NP00000,Fc Nestea Fpa,Fpt Fc Nestea,NP00000 Fpt Fc Nestea,Fpa NP00000 Fpt Fc Nestea,Nestea Fpa NP00000,Nestea Fpa NP00000 Fpt,Nestea Fpa NP00000 Fpt CC,") , Nestea ( francia",", Nestea (",") , Nestea","holanda ) , Nestea","( holanda ) , Nestea",Nestea ( francia,Nestea ( francia ),Nestea ( francia ) y
http://www.publico.es/politica/519384/iu-no-vendera-productos-de-coca-cola-en-las-fiestas-locales-de-madrid,publico.es,2014-05-08,Spain,Nestea/NP00000/nestea,"<doc uri=http://www.publico.es/politica/519384/iu-no-vendera-productos-de-coca-cola-en-las-fiestas-locales-de-madrid website=publico.es date=2014-05-08 source_country=Spain> /en/SPS00 /el/DA0FS0 /misiva/NCFS000 /se/P00CN000 /especificar/VMIP3P0 /el/DA0MP0 /producto/NCMP000 /que/PR0CN000 /pertenecer/VMIP3P0 /a/SPS00 /el/DA0FS0 /casa/NCFS000 /de/SPS00 /refresco/NCMP000 /y/CC /que/PR0CN000 /quedar/VMIC3P0 /vetar/VMP00PM /:/Fd /""/Fe /coca-cola/NP00000 /(/Fpa /normal/AQ0CS0 /,/Fc /light/AQ0CS0 /,/Fc /y/CC /zero/NCMS000 /)/Fpt /,/Fc /fanta/NP00000 /,/Fc Nestea  ,  Aquarius  ,  Bonaqua  ,  Minute  Maid  ,  Nordic  Mist  ,  Sprite  ,  Limon  &  Nada  ,  Mare  Rosso  ,  Burn  ,  Powerade  ,  Schuss  ,  Fioravanti  ,  y  TAB  ""  .",nestea,np00000,nestea,",",",",Fc,Fanta,fanta,NP00000,",",",",Fc,),),Fpt,zero,zero,NCMS000,",",",",Fc,Aquarius,aquarius,NP00000,",",",",Fc,Bonaqua,bonaqua,NP00000,",",",",Fc,2014-05-08,2014,2010,NP00000 Fc Nestea Fc NP00000,Fc Nestea Fc,NP00000 Fc Nestea,Fc NP00000 Fc Nestea,Fpt Fc NP00000 Fc Nestea,Nestea Fc NP00000,Nestea Fc NP00000 Fc,Nestea Fc NP00000 Fc NP00000,"fanta , Nestea , aquarius",", Nestea ,","fanta , Nestea",", fanta , Nestea",") , fanta , Nestea","Nestea , aquarius","Nestea , aquarius ,","Nestea , aquarius , bonaqua"
