url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.eleconomista.es/empresas-finanzas/noticias/5453416/01/14/Larios-y-DYC-seran-japoneses-Suntory-compra-Beams-por-16000-millones-de-dolares.html,eleconomista.es,2014-01-13,Spain,Orangina/NP00000/orangina,"Dentro  de  su  expansión  internacional  ,  destacan  las  compras  de Orangina  Schweppes  en  2009  ,  y  de  Lucozade  y  Ribena  (  bebidas  energéticas  )  .",orangina,np00000,orangina,de,de,SPS00,compras,compra,NCFP000,las,el,DA0FP0,destacan,destacar,VMIP3P0,",",",",Fc,Schweppes,schweppes,NP00000,en,en,SPS00,2009,2009,Z,",",",",Fc,y,y,CC,2014-01-13,2014,2010,NCFP000 SPS00 Orangina NP00000 SPS00,SPS00 Orangina NP00000,NCFP000 SPS00 Orangina,DA0FP0 NCFP000 SPS00 Orangina,VMIP3P0 DA0FP0 NCFP000 SPS00 Orangina,Orangina NP00000 SPS00,Orangina NP00000 SPS00 Z,Orangina NP00000 SPS00 Z Fc,compra de Orangina schweppes en,de Orangina schweppes,compra de Orangina,el compra de Orangina,destacar el compra de Orangina,Orangina schweppes en,Orangina schweppes en 2009,"Orangina schweppes en 2009 ,"
http://economia.elpais.com/economia/2014/01/13/actualidad/1389624885_805564.html,elpais.com,2014-01-13,Spain,Orangina/NP00000/orangina,"Suntory  se  hizo  famosa  en  Europa  en  2009  ,  cuando  compró  el  tercer  grupo  europeo  de  bebidas  refrescante Orangina  Schweppes  por  2.600_millones  de  dólares  (  1.970_millones  de  euros  )  .",orangina,np00000,orangina,refrescante,refrescante,AQ0CS0,bebidas,bebida,NCFP000,de,de,SPS00,europeo,europeo,AQ0MS0,grupo,grupo,NCMS000,Schweppes,schweppes,NP00000,por,por,SPS00,2.600_millones,2600000000,Zd,de,de,SPS00,dólares,dólar,NCMP000,2014-01-13,2014,2010,NCFP000 AQ0CS0 Orangina NP00000 SPS00,AQ0CS0 Orangina NP00000,NCFP000 AQ0CS0 Orangina,SPS00 NCFP000 AQ0CS0 Orangina,AQ0MS0 SPS00 NCFP000 AQ0CS0 Orangina,Orangina NP00000 SPS00,Orangina NP00000 SPS00 Zd,Orangina NP00000 SPS00 Zd SPS00,bebida refrescante Orangina schweppes por,refrescante Orangina schweppes,bebida refrescante Orangina,de bebida refrescante Orangina,europeo de bebida refrescante Orangina,Orangina schweppes por,Orangina schweppes por 2600000000,Orangina schweppes por 2600000000 de
http://www.laregion.es/noticia/275540/comisadas/marin/15000/botellas/tonica/schweppes/comercializaban/ilegalmente/,laregion.es,2014-01-20,Spain,Orangina/NP00000/orangina,La  compañía  ha  precisado  a  Efe  que Orangina  Schweppes  no  tiene  el  derecho  de  elaborar  la  marca  en  todos  los  países  del  mundo  y  que  en  esos  casos  llega  a  acuerdos  puntuales  con  determinadas  empresas  .,orangina,np00000,orangina,que,que,CS,Efe,efe,NP00000,a,a,SPS00,precisado,precisar,VMP00SM,ha,haber,VAIP3S0,Schweppes,schweppes,NP00000,no,no,RN,tiene,tener,VMIP3S0,el,el,DA0MS0,derecho,derecho,NCMS000,2014-01-20,2014,2010,NP00000 CS Orangina NP00000 RN,CS Orangina NP00000,NP00000 CS Orangina,SPS00 NP00000 CS Orangina,VMP00SM SPS00 NP00000 CS Orangina,Orangina NP00000 RN,Orangina NP00000 RN VMIP3S0,Orangina NP00000 RN VMIP3S0 DA0MS0,efe que Orangina schweppes no,que Orangina schweppes,efe que Orangina,a efe que Orangina,precisar a efe que Orangina,Orangina schweppes no,Orangina schweppes no tener,Orangina schweppes no tener el
http://www.lacerca.com/noticias/espana/publicidad_bebidas_television_incluira_mensajes_saludables_ano_2014-196473-1.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:%2520LaCerca%2520%2528La%2520Cerca%2529,lacerca.com,2014-02-05,Germany,Orangina/NP00000/orangina,"Desde  enero  de  2013  se  están  incluyendo  una  serie  de  mensajes  de  fomento  de  estilos  de  vida  saludables  en  la  publicidad  emitida  en  televisión  por  algunas  de  las  principales  empresas  de  alimentación  y  bebidas  ,  las  integrantes  de  la  Fundación  Alimentum  :  Bimbo  ,  Calvo  ,  Campofrío  ,  Coca-Cola  ,  Corporación  Alimentaria  Peñasanta  ,  Danone  ,  Deoleo  ,  ElPozo  Alimentación  ,  Ferrero  ,  Gallina  Blanca  ,  Grefusa  ,  Grupo  Lactalis  ,  Grupo  Leche  Pascual  ,  Hero  ,  Kellogg  ́  s  ,  Mondelèz  ,  Nestle  ,  Nutrexpa  , Orangina  Schweppes  ,  Panrico  ,  Pepsico  ,  Pescanova  ,  Unilever  y  Wrigley  .",orangina,np00000,orangina,",",",",Fc,Nutrexpa,nutrexpa,NP00000,",",",",Fc,Nestle,nestle,NP00000,",",",",Fc,Schweppes,schweppes,NP00000,",",",",Fc,Panrico,panrico,NP00000,",",",",Fc,Pepsico,pepsico,NP00000,2014-02-05,2014,2010,NP00000 Fc Orangina NP00000 Fc,Fc Orangina NP00000,NP00000 Fc Orangina,Fc NP00000 Fc Orangina,NP00000 Fc NP00000 Fc Orangina,Orangina NP00000 Fc,Orangina NP00000 Fc NP00000,Orangina NP00000 Fc NP00000 Fc,"nutrexpa , Orangina schweppes ,",", Orangina schweppes","nutrexpa , Orangina",", nutrexpa , Orangina","nestle , nutrexpa , Orangina","Orangina schweppes ,","Orangina schweppes , panrico","Orangina schweppes , panrico ,"
http://cincodias.com/cincodias/2014/03/10/empresas/1394434863_487144.html,cincodias.com,2014-03-10,===NONE===,Orangina/NP00000/orangina,"Las  dos  portan  la  marca  Schweppes  ,  pero  el  envase  ,  el  etiquetado  e  incluso  la  formulación  de  la  bebida  son  distintas  en  un  país  y  en  otro  .  ""  En  una  cata  a  ciegas  son  distinguibles  ""  ,  comenta  Ignacio  Silva  ,  consejero  delegado  de Orangina  Schweppes  en  España  .",orangina,np00000,orangina,de,de,SPS00,delegado,delegar,VMP00SM,consejero,consejero,NCMS000,",",",",Fc,Silva,silva,NP00000,Schweppes,schweppes,NP00000,en,en,SPS00,España,españa,NP00000,.,.,Fp,,,,2014-03-10,2014,2010,VMP00SM SPS00 Orangina NP00000 SPS00,SPS00 Orangina NP00000,VMP00SM SPS00 Orangina,NCMS000 VMP00SM SPS00 Orangina,Fc NCMS000 VMP00SM SPS00 Orangina,Orangina NP00000 SPS00,Orangina NP00000 SPS00 NP00000,Orangina NP00000 SPS00 NP00000 Fp,delegar de Orangina schweppes en,de Orangina schweppes,delegar de Orangina,consejero delegar de Orangina,", consejero delegar de Orangina",Orangina schweppes en,Orangina schweppes en españa,Orangina schweppes en españa .
http://cincodias.com/cincodias/2014/03/10/empresas/1394434863_487144.html,cincodias.com,2014-03-10,===NONE===,Orangina/NP00000/orangina,"La  policía  se  ha  incautado  en  los  últimos  meses  de  miles  de  botellines  de  tónica  Schweppes  elaborada  en  Reino  Unido  en  naves  localizadas  en  Pontevedra  y  en  Córdoba  (  15.000  en  la  provincia  gallega  y  otras  30.000  en  la  andaluza  )  .  ""  Tenemos  la  obligación  de  defender  nuestra  marca  ;  si  no  lo  hiciéramos  ,  correríamos  el  riesgo  de  perderla  ""  ,  comenta  el  consejero  delegado  de Orangina  Schweppes  .",orangina,np00000,orangina,de,de,SPS00,delegado,delegar,VMP00SM,consejero,consejero,NCMS000,el,el,DA0MS0,comenta,comentar,VMIP3S0,Schweppes,schweppes,NP00000,.,.,Fp,,,,,,,,,,2014-03-10,2014,2010,VMP00SM SPS00 Orangina NP00000 Fp,SPS00 Orangina NP00000,VMP00SM SPS00 Orangina,NCMS000 VMP00SM SPS00 Orangina,DA0MS0 NCMS000 VMP00SM SPS00 Orangina,Orangina NP00000 Fp,,,delegar de Orangina schweppes .,de Orangina schweppes,delegar de Orangina,consejero delegar de Orangina,el consejero delegar de Orangina,Orangina schweppes .,,
http://cincodias.com/cincodias/2014/03/10/empresas/1394434863_487144.html,cincodias.com,2014-03-10,===NONE===,Orangina/NP00000/orangina,"El  único  vendedor  legítimo  en  España  de  tónica  Schweppes  es Orangina  Schweppes  :  ""  El  derecho  de  propiedad  de  marca  es  superior  al  derecho  de  la  libre  circulación  de  mercancías  ""  ,  recuerda  Ignacio  Silva  .",orangina,np00000,orangina,es,ser,VSIP3S0,Schweppes,schweppes,NP00000,tónica,tónica,NCFS000,de,de,SPS00,España,españa,NP00000,Schweppes,schweppes,NP00000,:,:,Fd,"""","""",Fe,El,el,DA0MS0,derecho,derecho,NCMS000,2014-03-10,2014,2010,NP00000 VSIP3S0 Orangina NP00000 Fd,VSIP3S0 Orangina NP00000,NP00000 VSIP3S0 Orangina,NCFS000 NP00000 VSIP3S0 Orangina,SPS00 NCFS000 NP00000 VSIP3S0 Orangina,Orangina NP00000 Fd,Orangina NP00000 Fd Fe,Orangina NP00000 Fd Fe DA0MS0,schweppes ser Orangina schweppes :,ser Orangina schweppes,schweppes ser Orangina,tónica schweppes ser Orangina,de tónica schweppes ser Orangina,Orangina schweppes :,"Orangina schweppes : ""","Orangina schweppes : "" el"
http://cincodias.com/cincodias/2014/03/10/empresas/1394434863_487144.html,cincodias.com,2014-03-10,===NONE===,Orangina/NP00000/orangina,"El  grupo Orangina  Schweppes  ,  que  vende  la  bebida  en  España  ,  es  propiedad  de  la  multinacional  japonesa  Suntory  ;  en  Reino  Unido  ,  el  dueño  es  Coca-Cola  .",orangina,np00000,orangina,grupo,grupo,NCMS000,El,el,DA0MS0,,,,,,,,,,Schweppes,schweppes,NP00000,",",",",Fc,que,que,PR0CN000,vende,vender,VMIP3S0,la,el,DA0FS0,2014-03-10,2014,2010,DA0MS0 NCMS000 Orangina NP00000 Fc,NCMS000 Orangina NP00000,DA0MS0 NCMS000 Orangina,,,Orangina NP00000 Fc,Orangina NP00000 Fc PR0CN000,Orangina NP00000 Fc PR0CN000 VMIP3S0,"el grupo Orangina schweppes ,",grupo Orangina schweppes,el grupo Orangina,,,"Orangina schweppes ,","Orangina schweppes , que","Orangina schweppes , que vender"
http://cincodias.com/cincodias/2014/03/10/empresas/1394434863_487144.html,cincodias.com,2014-03-10,===NONE===,Orangina/NP00000/orangina,"Más  de  doscientos  años  después  su  bebida  se  fusionaría  con  la  inventada  por  un  farmacéutico  valenciano  en  1936  ,  cuando  ,  en  2001  ,  la  multinacional  Cadbury  Schweppes  adquirió Orangina  .",orangina,np00000,orangina,adquirió,adquirir,VMIS3S0,Schweppes,schweppes,NP00000,Cadbury,cadbury,NP00000,multinacional,multinacional,AQ0CS0,la,el,DA0FS0,.,.,Fp,,,,,,,,,,,,,2014-03-10,2014,2010,,VMIS3S0 Orangina Fp,NP00000 VMIS3S0 Orangina,NP00000 NP00000 VMIS3S0 Orangina,AQ0CS0 NP00000 NP00000 VMIS3S0 Orangina,,,,,adquirir Orangina .,schweppes adquirir Orangina,cadbury schweppes adquirir Orangina,multinacional cadbury schweppes adquirir Orangina,,,
http://cincodias.com/cincodias/2014/03/10/empresas/1394434863_487144.html,cincodias.com,2014-03-10,===NONE===,Orangina/NP00000/orangina,"Al  estallar  la  Guerra  Civil  ,  el  doctor  Trigo  marchó  a  Francia  ,  donde  poco  después  vendió  la  bebida  de  naranja  al  empresario  francés  Léon  Beton  ,  que  llamó Orangina  al  refresco  inventado  por  el  farmacéutico  valenciano  (  creador  también  de  Trina  )  y  con  la  que  tuvo  éxito  comercializándola  en  Argelia  .",orangina,np00000,orangina,llamó,llamar,VMIS3S0,que,que,PR0CN000,",",",",Fc,Beton,beton,NP00000,Léon,léon,NP00000,al,a+el,SPS00+DA0MS0,refresco,refresco,NCMS000,inventado,inventar,VMP00SM,por,por,SPS00,el,el,DA0MS0,2014-03-10,2014,2010,PR0CN000 VMIS3S0 Orangina SPS00+DA0MS0 NCMS000,VMIS3S0 Orangina SPS00+DA0MS0,PR0CN000 VMIS3S0 Orangina,Fc PR0CN000 VMIS3S0 Orangina,NP00000 Fc PR0CN000 VMIS3S0 Orangina,Orangina SPS00+DA0MS0 NCMS000,Orangina SPS00+DA0MS0 NCMS000 VMP00SM,Orangina SPS00+DA0MS0 NCMS000 VMP00SM SPS00,que llamar Orangina a+el refresco,llamar Orangina a+el,que llamar Orangina,", que llamar Orangina","beton , que llamar Orangina",Orangina a+el refresco,Orangina a+el refresco inventar,Orangina a+el refresco inventar por
