url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.abc.es/ciencia/20140515/abci-famelab-final-espana-201405151232.html,abc.es,2014-05-15,Spain,phoskitos/NCMP000/phoskitos,Si  en  vez  de  tener  este  cuerpo  de  portada  de  Men's  Health  hiciera  una  dieta  basada  en  sobaos  pasiegos  y phoskitos  los  adipocitos  aumentarían  su  tamaño  .,phoskitos,ncmp000,phoskitos,y,y,CC,pasiegos,pasiegos,NCMP000,sobaos,sobar+os,VMM02P0+PP2CP000,en,en,SPS00,basada,basar,VMP00SF,los,el,DA0MP0,adipocitos,adipocito,NCMP000,aumentarían,aumentar,VMIC3P0,su,su,DP3CS0,tamaño,tamaño,NCMS000,2014-05-15,2014,2010,NCMP000 CC Phoskitos DA0MP0 NCMP000,CC Phoskitos DA0MP0,NCMP000 CC Phoskitos,VMM02P0+PP2CP000 NCMP000 CC Phoskitos,SPS00 VMM02P0+PP2CP000 NCMP000 CC Phoskitos,Phoskitos DA0MP0 NCMP000,Phoskitos DA0MP0 NCMP000 VMIC3P0,Phoskitos DA0MP0 NCMP000 VMIC3P0 DP3CS0,pasiegos y Phoskitos el adipocito,y Phoskitos el,pasiegos y Phoskitos,sobar+os pasiegos y Phoskitos,en sobar+os pasiegos y Phoskitos,Phoskitos el adipocito,Phoskitos el adipocito aumentar,Phoskitos el adipocito aumentar su
http://www.lavanguardia.com/local/barcelona/20140619/54409199186/nutrexpa-se-divide-en-dos-grupos-y-apostara-por-la-especializacion-para-crecer.html,lavanguardia.com,2014-06-19,Spain,Phoskitos/NP00000/phoskitos,"Tras  la  división  ,  el  grupo  de  cacaos  se  centrará  en  el  desarrollo  de  Cola  Cao  ,  Nocilla  ,  Paladín  ,  Okey  y  Mesura  ,  mientras  que  el  grupo  de  galletas  se  focalizará  en  las  categorías  de  galletas  --  con  marcas  líderes  como  Cuétara  o  Artiach  --  ,  además  de  La  Piara  ,  Granja  San  Francisco  , Phoskitos  y  Aneto  .",phoskitos,np00000,phoskitos,",",",",Fc,Francisco,francisco,NP00000,San,san,NP00000,Granja,granja,NP00000,",",",",Fc,y,y,CC,Aneto,aneto,NP00000,.,.,Fp,,,,,,,2014-06-19,2014,2010,NP00000 Fc Phoskitos CC NP00000,Fc Phoskitos CC,NP00000 Fc Phoskitos,NP00000 NP00000 Fc Phoskitos,NP00000 NP00000 NP00000 Fc Phoskitos,Phoskitos CC NP00000,Phoskitos CC NP00000 Fp,,"francisco , Phoskitos y aneto",", Phoskitos y","francisco , Phoskitos","san francisco , Phoskitos","granja san francisco , Phoskitos",Phoskitos y aneto,Phoskitos y aneto .,
http://www.lavanguardia.com/economia/20140619/54409196084/las-familias-ventura-y-ferrero-dividen-en-dos-el-grupo-nutrexpa.html,lavanguardia.com,2014-06-19,Spain,Phoskitos/NP00000/phoskitos,"Por  su  parte  ,  la  familia  Ventura  se  hará  cargo  del  grupo  de  Galletas  y  gestionará  marcas  como  Cuétara  ,  Artiach  y Phoskitos  ,  además  de  La  Piara  ,  Granja  San  Francisco  y  Aneto  .",phoskitos,np00000,phoskitos,y,y,CC,Artiach,artiach,NP00000,",",",",Fc,Cuétara,cuétara,NP00000,como,como,CS,",",",",Fc,además,además,RG,de,de,SPS00,La,la,NP00000,Piara,piara,NP00000,2014-06-19,2014,2010,NP00000 CC Phoskitos Fc RG,CC Phoskitos Fc,NP00000 CC Phoskitos,Fc NP00000 CC Phoskitos,NP00000 Fc NP00000 CC Phoskitos,Phoskitos Fc RG,Phoskitos Fc RG SPS00,Phoskitos Fc RG SPS00 NP00000,"artiach y Phoskitos , además","y Phoskitos ,",artiach y Phoskitos,", artiach y Phoskitos","cuétara , artiach y Phoskitos","Phoskitos , además","Phoskitos , además de","Phoskitos , además de la"
http://jenesaispop.com/2014/08/01/197862/sideral-estrella-fugada-pros-y-contras/,jenesaispop.com,2014-08-01,===NONE===,Phoskitos/NP00000/phoskitos,"Adorable  como  los  platos  de  marcas  ""  random  ""  decorados  con  pegatinas  de  Bollycao  y Phoskitos  ,  las  recomendaciones  cinéfilas  o  el  descubrimiento  de  las  circunstancias  en  que  murió  Buddy  Holly  ,  un  trauma  temprano  para  cualquiera  que  se  haya  acercado  a  la  música  durante  los  últimos  50  años  .",phoskitos,np00000,phoskitos,y,y,CC,Bollycao,bollycao,NP00000,de,de,SPS00,pegatinas,pegatina,NCFP000,con,con,SPS00,",",",",Fc,las,el,DA0FP0,recomendaciones,recomendación,NCFP000,cinéfilas,cinéfilo,NCFP000,o,o,CC,2014-08-01,2014,2010,NP00000 CC Phoskitos Fc DA0FP0,CC Phoskitos Fc,NP00000 CC Phoskitos,SPS00 NP00000 CC Phoskitos,NCFP000 SPS00 NP00000 CC Phoskitos,Phoskitos Fc DA0FP0,Phoskitos Fc DA0FP0 NCFP000,Phoskitos Fc DA0FP0 NCFP000 NCFP000,"bollycao y Phoskitos , el","y Phoskitos ,",bollycao y Phoskitos,de bollycao y Phoskitos,pegatina de bollycao y Phoskitos,"Phoskitos , el","Phoskitos , el recomendación","Phoskitos , el recomendación cinéfilo"
http://cincodias.com/cincodias/2014/08/04/empresas/1407174595_552867.html,cincodias.com,2014-08-05,===NONE===,Phoskitos/NP00000/phoskitos,"La  segunda  ,  centrada  en  las  galletas  con  marcas  como  Artiach  o Phoskitos  ,  se  quedará  con  las  seis  fábricas  en  España  y  una  en  Portugal  .",phoskitos,np00000,phoskitos,o,o,CC,Artiach,artiach,NP00000,como,como,CS,marcas,marca,NCFP000,con,con,SPS00,",",",",Fc,se,se,P00CN000,quedará,quedar,VMIF3S0,con,con,SPS00,las,el,DA0FP0,2014-08-05,2014,2010,NP00000 CC Phoskitos Fc P00CN000,CC Phoskitos Fc,NP00000 CC Phoskitos,CS NP00000 CC Phoskitos,NCFP000 CS NP00000 CC Phoskitos,Phoskitos Fc P00CN000,Phoskitos Fc P00CN000 VMIF3S0,Phoskitos Fc P00CN000 VMIF3S0 SPS00,"artiach o Phoskitos , se","o Phoskitos ,",artiach o Phoskitos,como artiach o Phoskitos,marca como artiach o Phoskitos,"Phoskitos , se","Phoskitos , se quedar","Phoskitos , se quedar con"
http://www.andaluciainformacionweb.com/andalucia/470497/y-hay-un-espanol-que-quiere/,andaluciainformacionweb.com,2015-01-09,Spain,phoskitos/NCMP000/phoskitos,"Que  si  el  tabaco  ,  la  dieta  ,  ser  mejor  persona  ,  no  comer  demasiados phoskitos  ,  apuntarse  al  gimnasio  e  ,  incluso  ,  ir  ...  Humanos  previsibles  encerrados  en  un  eterno  día  de  la  marmota  .",phoskitos,ncmp000,phoskitos,demasiados,demasiado,DI0MP0,comer,comer,VMN0000,no,no,RN,",",",",Fc,persona,persona,NCFS000,",",",",Fc,apuntarse,apuntar+se,VMN0000+PP3CN000,al,a+el,SPS00+DA0MS0,gimnasio,gimnasio,NCMS000,e,y,CC,2015-01-09,2015,2010,VMN0000 DI0MP0 Phoskitos Fc VMN0000+PP3CN000,DI0MP0 Phoskitos Fc,VMN0000 DI0MP0 Phoskitos,RN VMN0000 DI0MP0 Phoskitos,Fc RN VMN0000 DI0MP0 Phoskitos,Phoskitos Fc VMN0000+PP3CN000,Phoskitos Fc VMN0000+PP3CN000 SPS00+DA0MS0,Phoskitos Fc VMN0000+PP3CN000 SPS00+DA0MS0 NCMS000,"comer demasiado Phoskitos , apuntar+se","demasiado Phoskitos ,",comer demasiado Phoskitos,no comer demasiado Phoskitos,", no comer demasiado Phoskitos","Phoskitos , apuntar+se","Phoskitos , apuntar+se a+el","Phoskitos , apuntar+se a+el gimnasio"
http://www.nopuedocreer.com/quelohayaninventado/26801/sushi-variado-de-chuches/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BNoPuedoCreerQueLoHayanInventado%2B%2528No%2Bpuedo%2Bcreer%2Bque%2Blo%2Bhayan%2Binventado...%2529,nopuedocreer.com,2015-01-22,===NONE===,Phoskitos/NP00000/phoskitos,"Llamadme  loco  ,  pero  no  me  gustan  los Phoskitos  mojados  en  la  salsa  blanca  del  kebab  .",phoskitos,np00000,phoskitos,los,el,DA0MP0,gustan,gustar,VMIP3P0,me,me,PP1CS000,no,no,RN,pero,pero,CC,mojados,mojar,VMP00PM,en,en,SPS00,la,el,DA0FS0,salsa,salsa,NCFS000,blanca,blanco,AQ0FS0,2015-01-22,2015,2010,VMIP3P0 DA0MP0 Phoskitos VMP00PM SPS00,DA0MP0 Phoskitos VMP00PM,VMIP3P0 DA0MP0 Phoskitos,PP1CS000 VMIP3P0 DA0MP0 Phoskitos,RN PP1CS000 VMIP3P0 DA0MP0 Phoskitos,Phoskitos VMP00PM SPS00,Phoskitos VMP00PM SPS00 DA0FS0,Phoskitos VMP00PM SPS00 DA0FS0 NCFS000,gustar el Phoskitos mojar en,el Phoskitos mojar,gustar el Phoskitos,me gustar el Phoskitos,no me gustar el Phoskitos,Phoskitos mojar en,Phoskitos mojar en el,Phoskitos mojar en el salsa
http://www.nopuedocreer.com/quelohayaninventado/26801/sushi-variado-de-chuches/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BNoPuedoCreerQueLoHayanInventado%2B%2528No%2Bpuedo%2Bcreer%2Bque%2Blo%2Bhayan%2Binventado...%2529,nopuedocreer.com,2015-01-22,===NONE===,Phoskitos/NP00000/phoskitos,"Pero  lo  más  sorprendente  es  que  la  gente  se  indigna  más  cuando  sabe  que  no  me  gusta  mucho  el  sushi  ,  olvidando  el  asunto  de  los Phoskitos  al  momento  ,  cuando  en  realidad  es  la  trama  principal  de  mi  argumento  y  lo  del  sushi  lo  digo  por  decir  .",phoskitos,np00000,phoskitos,los,el,DA0MP0,de,de,SPS00,asunto,asunto,NCMS000,el,el,DA0MS0,olvidando,olvidar,VMG0000,al,a+el,SPS00+DA0MS0,momento,momento,NCMS000,",",",",Fc,cuando,cuando,CS,en,en,SPS00,2015-01-22,2015,2010,SPS00 DA0MP0 Phoskitos SPS00+DA0MS0 NCMS000,DA0MP0 Phoskitos SPS00+DA0MS0,SPS00 DA0MP0 Phoskitos,NCMS000 SPS00 DA0MP0 Phoskitos,DA0MS0 NCMS000 SPS00 DA0MP0 Phoskitos,Phoskitos SPS00+DA0MS0 NCMS000,Phoskitos SPS00+DA0MS0 NCMS000 Fc,Phoskitos SPS00+DA0MS0 NCMS000 Fc CS,de el Phoskitos a+el momento,el Phoskitos a+el,de el Phoskitos,asunto de el Phoskitos,el asunto de el Phoskitos,Phoskitos a+el momento,"Phoskitos a+el momento ,","Phoskitos a+el momento , cuando"
http://cincodias.com/cincodias/2014/08/04/empresas/1407174595_552867.html?ref=rss&format=simple&link=link,cincodias.com,2015-03-16,===NONE===,Phoskitos/NP00000/phoskitos,"La  segunda  ,  centrada  en  las  galletas  con  marcas  como  Artiach  o Phoskitos  ,  se  quedará  con  las  seis  fábricas  en  España  y  una  en  Portugal  .",phoskitos,np00000,phoskitos,o,o,CC,Artiach,artiach,NP00000,como,como,CS,marcas,marca,NCFP000,con,con,SPS00,",",",",Fc,se,se,P00CN000,quedará,quedar,VMIF3S0,con,con,SPS00,las,el,DA0FP0,2015-03-16,2015,2010,NP00000 CC Phoskitos Fc P00CN000,CC Phoskitos Fc,NP00000 CC Phoskitos,CS NP00000 CC Phoskitos,NCFP000 CS NP00000 CC Phoskitos,Phoskitos Fc P00CN000,Phoskitos Fc P00CN000 VMIF3S0,Phoskitos Fc P00CN000 VMIF3S0 SPS00,"artiach o Phoskitos , se","o Phoskitos ,",artiach o Phoskitos,como artiach o Phoskitos,marca como artiach o Phoskitos,"Phoskitos , se","Phoskitos , se quedar","Phoskitos , se quedar con"
http://www.elperiodicodearagon.com/noticias/escenarios/fiebre-merchandising_1039493.html,elperiodicodearagon.com,2015-07-12,===NONE===,Phoskitos/NP00000/phoskitos,"Otras  importantes  empresas  como  Danone  ,  Coca-Cola  ,  Nocilla  ,  La  Piara  , Phoskitos  ,  Tosta  Rica  ,  Pascual  ,  Ferrero  ,  Pepsico  ,  Tic  Tac  y  Nestlé  Cereales  ,  han  incorporado  a  sus  productos  la  imagen  de  estas  criaturas  .",phoskitos,np00000,phoskitos,",",",",Fc,Piara,piara,NP00000,La,la,NP00000,",",",",Fc,Nocilla,nocilla,NP00000,",",",",Fc,Tosta,tosta,NP00000,Rica,rica,NP00000,",",",",Fc,Pascual,pascual,NP00000,2015-07-12,2015,2010,NP00000 Fc Phoskitos Fc NP00000,Fc Phoskitos Fc,NP00000 Fc Phoskitos,NP00000 NP00000 Fc Phoskitos,Fc NP00000 NP00000 Fc Phoskitos,Phoskitos Fc NP00000,Phoskitos Fc NP00000 NP00000,Phoskitos Fc NP00000 NP00000 Fc,"piara , Phoskitos , tosta",", Phoskitos ,","piara , Phoskitos","la piara , Phoskitos",", la piara , Phoskitos","Phoskitos , tosta","Phoskitos , tosta rica","Phoskitos , tosta rica ,"
