url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.diariolibre.com/lecturas/2015/03/24/i1069311_herberto-hlder-poeta-culto-altura-camoes-pessoa.html?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_6,diariolibre.com,2015-03-24,Dominican Republic,Photomaton/NP00000/photomaton,"Regresó  a  Portugal  después  del  25  de  Abril  de  1974  ,  año  en  el  que  se  recuperó  la  democracia  ,  y  lanzó  ,  entre  otras  obras  ,  ""  Cobra  ""  (  1977  )  ,  ""  O  Corpo  ,  o  Luxo  ,  a  Obra  ""  (  1978  )  y  "" Photomaton  &  Vox  ""  (  1979  )  .",photomaton,np00000,photomaton,"""","""",Fe,y,y,CC,),),Fpt,1978,1978,Z,(,(,Fpa,&,&,Fz,Vox,vox,NP00000,"""","""",Fe,(,(,Fpa,1979,1979,Z,2015-03-24,2015,2010,CC Fe Photomaton Fz NP00000,Fe Photomaton Fz,CC Fe Photomaton,Fpt CC Fe Photomaton,Z Fpt CC Fe Photomaton,Photomaton Fz NP00000,Photomaton Fz NP00000 Fe,Photomaton Fz NP00000 Fe Fpa,"y "" Photomaton & vox",""" Photomaton &","y "" Photomaton",") y "" Photomaton","1978 ) y "" Photomaton",Photomaton & vox,"Photomaton & vox ""","Photomaton & vox "" ("
http://www.montevideo.com.uy/auc.aspx?306496,montevideo.com.uy,2016-04-27,Uruguay,Photomaton/NP00000/photomaton,"La  obra  de  Valter  Hugo  Mãe  es  inédita  en  nuestro  país  ,  a  excepción  de  algunos  poemas  incluidos  en  la  antología  "" Photomaton  :  nueva  lírica  portuguesa  ""  ,  a  cargo  de  Andrés  Navarro  y  publicada  por  Casa  Editorial  Hum  . </doc>",photomaton,np00000,photomaton,"""","""",Fe,antología,antología,NCFS000,la,el,DA0FS0,en,en,SPS00,incluidos,incluir,VMP00PM,:,:,Fd,nueva,nuevo,AQ0FS0,lírica,lírica,NCFS000,portuguesa,portugués,AQ0FS0,"""","""",Fe,2016-04-27,2016,2010,NCFS000 Fe Photomaton Fd AQ0FS0,Fe Photomaton Fd,NCFS000 Fe Photomaton,DA0FS0 NCFS000 Fe Photomaton,SPS00 DA0FS0 NCFS000 Fe Photomaton,Photomaton Fd AQ0FS0,Photomaton Fd AQ0FS0 NCFS000,Photomaton Fd AQ0FS0 NCFS000 AQ0FS0,"antología "" Photomaton : nuevo",""" Photomaton :","antología "" Photomaton","el antología "" Photomaton","en el antología "" Photomaton",Photomaton : nuevo,Photomaton : nuevo lírica,Photomaton : nuevo lírica portugués
http://www.abc.es/espana/madrid/abci-justmad-paseo-arte-mas-joven-201702220041_noticia.html,abc.es,2017-02-21,Spain,Photomaton/NP00000/photomaton,"Destacan  la  ""  Máquina  de  Callar  ""  ,  de  Arturo  Moya  ,  ""  Ear  /  Near  ""  ,  de  Ting  Zhang  ,  o  el  "" Photomaton  ""  ,  de  IIyana  Tancheva  ,  que  hace  honor  a  su  hombre  y  ofrece  una  imagen  desobediente  ,  fuera  de  control  ,  muy  alejada  de  los  actuales  ""  selfies  ""  . </doc>",photomaton,np00000,photomaton,"""","""",Fe,el,el,DA0MS0,o,o,CC,",",",",Fc,Zhang,zhang,NP00000,"""","""",Fe,",",",",Fc,de,de,SPS00,IIyana,iiyana,NP00000,Tancheva,tancheva,NP00000,2017-02-21,2017,2010,DA0MS0 Fe Photomaton Fe Fc,Fe Photomaton Fe,DA0MS0 Fe Photomaton,CC DA0MS0 Fe Photomaton,Fc CC DA0MS0 Fe Photomaton,Photomaton Fe Fc,Photomaton Fe Fc SPS00,Photomaton Fe Fc SPS00 NP00000,"el "" Photomaton "" ,",""" Photomaton ""","el "" Photomaton","o el "" Photomaton",", o el "" Photomaton","Photomaton "" ,","Photomaton "" , de","Photomaton "" , de iiyana"
http://www.eldiariodecarlospaz.com/deportes/2018/1/12/feria-dakar-llega-carlos-sorpresas-entretenimiento-47074.html,eldiariodecarlospaz.com,2018-01-12,===NONE===,photomaton/VMIS3P0/photomaton,"Con  juegos  interactivos  y  de  realidad  virtual  ,  espectáculos  en  vivo  ,  exposición  de  vehículos  de  competencia  ,  videos  de  la  carrera  en  pantallas  gigantes  ,  muestra  de  fotos  ,  exposiciones  ,  stand  de  patrocinadores  , photomaton  ,  tienda  oficial  ,  sorteos  y  premios  ,  los  asistentes  podrán  vivir  de  la  mejor  manera  el  anticipo  de  la  llegada  del  Dakar  en  la  provincia  .",photomaton,vmis3p0,photomaton,",",",",Fc,patrocinadores,patrocinador,NCMP000,de,de,SPS00,stand,stand,NCMS000,",",",",Fc,",",",",Fc,tienda,tienda,NCFS000,oficial,oficial,AQ0CS0,",",",",Fc,sorteos,sorteo,NCMP000,2018-01-12,2018,2010,NCMP000 Fc Photomaton Fc NCFS000,Fc Photomaton Fc,NCMP000 Fc Photomaton,SPS00 NCMP000 Fc Photomaton,NCMS000 SPS00 NCMP000 Fc Photomaton,Photomaton Fc NCFS000,Photomaton Fc NCFS000 AQ0CS0,Photomaton Fc NCFS000 AQ0CS0 Fc,"patrocinador , Photomaton , tienda",", Photomaton ,","patrocinador , Photomaton","de patrocinador , Photomaton","stand de patrocinador , Photomaton","Photomaton , tienda","Photomaton , tienda oficial","Photomaton , tienda oficial ,"
https://www.eleconomista.com.mx/arteseideas/Festival-Shorts-Mexico-anuncia-su-cartel-oficial-20180802-0131.html,eleconomista.com.mx,2018-08-03,Mexico,Photomaton/NP00000/photomaton,"Algunos  de  los  trabajos  que  se  enlistan  en  el  género  de  ficción  son Photomaton  ,  de  Roberto  Fiesco  ,  El  rincón  del  mundo  a  donde  va  lo  que  se  olvida  ,  de  Fernanda  Tovar  ,  y  Si  me  entero  que  algún  día  sufres  ,  regresaré  por  ti  ,  Crispín  Zaragoza  .",photomaton,np00000,photomaton,son,ser,VSIP3P0,ficción,ficción,NCFS000,de,de,SPS00,género,género,NCMS000,el,el,DA0MS0,",",",",Fc,de,de,SPS00,Roberto,roberto,NP00000,Fiesco,fiesco,NP00000,",",",",Fc,2018-08-03,2018,2010,NCFS000 VSIP3P0 Photomaton Fc SPS00,VSIP3P0 Photomaton Fc,NCFS000 VSIP3P0 Photomaton,SPS00 NCFS000 VSIP3P0 Photomaton,NCMS000 SPS00 NCFS000 VSIP3P0 Photomaton,Photomaton Fc SPS00,Photomaton Fc SPS00 NP00000,Photomaton Fc SPS00 NP00000 NP00000,"ficción ser Photomaton , de","ser Photomaton ,",ficción ser Photomaton,de ficción ser Photomaton,género de ficción ser Photomaton,"Photomaton , de","Photomaton , de roberto","Photomaton , de roberto fiesco"
https://verne.elpais.com/verne/2018/10/06/articulo/1538819474_064288.html,elpais.com,2018-10-06,===NONE===,Photomaton/NP00000/photomaton,"El  término  utilizado  en  España  es  la  versión  castellana  del  nombre  comercial  de  la  máquina  , Photomaton  .",photomaton,np00000,photomaton,",",",",Fc,máquina,máquina,NCFS000,la,el,DA0FS0,de,de,SPS00,comercial,comercial,AQ0CS0,.,.,Fp,,,,,,,,,,,,,2018-10-06,2018,2010,,Fc Photomaton Fp,NCFS000 Fc Photomaton,DA0FS0 NCFS000 Fc Photomaton,SPS00 DA0FS0 NCFS000 Fc Photomaton,,,,,", Photomaton .","máquina , Photomaton","el máquina , Photomaton","de el máquina , Photomaton",,,
https://kaosenlared.net/obras-anteriores-del-polemico-escritor-frances-ii/,kaosenlared.net,2019-01-08,===NONE===,photomaton/NCMS000/photomaton,"¿  señalan  la  procedencia  ?  )  ...  dejo  de  lado  el  cabreo  de  los  fotógrafos  (  al  señalarse  que  muchas  de  sus  obras  parecen  el  fruto  de  un  simple photomaton  )  ,  o  los  hooligans  del  Arsenal  ,  o  ...  ya  que  estas  alusiones  que  aparecen  en  la  novela  son  opiniones  ,  y  uso  del  sarcasmo  y  la  ironía  ,  uno  de  los  componentes  más  sabiamente  utilizados  por  al  autor  de",photomaton,ncms000,photomaton,simple,simple,AQ0CS0,un,uno,DI0MS0,de,de,SPS00,fruto,fruto,NCMS000,el,el,DA0MS0,),),Fpt,",",",",Fc,o,o,CC,los,el,DA0MP0,hooligans,hooligans,NCMP000,2019-01-08,2019,2010,DI0MS0 AQ0CS0 Photomaton Fpt Fc,AQ0CS0 Photomaton Fpt,DI0MS0 AQ0CS0 Photomaton,SPS00 DI0MS0 AQ0CS0 Photomaton,NCMS000 SPS00 DI0MS0 AQ0CS0 Photomaton,Photomaton Fpt Fc,Photomaton Fpt Fc CC,Photomaton Fpt Fc CC DA0MP0,"uno simple Photomaton ) ,",simple Photomaton ),uno simple Photomaton,de uno simple Photomaton,fruto de uno simple Photomaton,"Photomaton ) ,","Photomaton ) , o","Photomaton ) , o el"
https://elpais.com/ccaa/2019/02/08/catalunya/1549655894_412428.html#ref%3Drss%26format%3Dsimple%26link%3Dlink,elpais.com,2019-02-09,Spain,Photomaton/NP00000/photomaton,"Y  así  voy  ,  90  años  entre  un  pie  y  otro  :  ante  las  selfies  ,  rememoro  el  impacto  del  primer Photomaton  ,  del  17  de  febrero  de  1929  :  había  que  esperar  la  eternidad  de  16  segundos  para  que  diera  seis  copias  por  1,50  pesetas  .",photomaton,np00000,photomaton,primer,1,AO0MS0,del,de+el,SPS00+DA0MS0,impacto,impacto,NCMS000,el,el,DA0MS0,rememoro,rememorar,VMIP1S0,",",",",Fc,del,de+el,SPS00+DA0MS0,17,17,Z,de,de,SPS00,febrero,febrero,NCMS000,2019-02-09,2019,2010,SPS00+DA0MS0 AO0MS0 Photomaton Fc SPS00+DA0MS0,AO0MS0 Photomaton Fc,SPS00+DA0MS0 AO0MS0 Photomaton,NCMS000 SPS00+DA0MS0 AO0MS0 Photomaton,DA0MS0 NCMS000 SPS00+DA0MS0 AO0MS0 Photomaton,Photomaton Fc SPS00+DA0MS0,Photomaton Fc SPS00+DA0MS0 Z,Photomaton Fc SPS00+DA0MS0 Z SPS00,"de+el 1 Photomaton , de+el","1 Photomaton ,",de+el 1 Photomaton,impacto de+el 1 Photomaton,el impacto de+el 1 Photomaton,"Photomaton , de+el","Photomaton , de+el 17","Photomaton , de+el 17 de"
https://www.elcorreogallego.es/tendencias/ecg/musica-luz-mucha-diversion/idEdicion-2019-02-26/idNoticia-1168115/,elcorreogallego.es,2019-02-26,Spain,photomaton/NCMS000/photomaton,"Lo  conseguimos  con  la  iluminación  ,  la  decoración  y  los  pequeños  detalles  que  creemos  marcan  la  diferencia  ,  como  la  selección  musical  y  la  cabina  en  forma  de  casette  ,  la  imagen  de  pantallas  ,  el  photocall  o  el  propio photomaton  ,  que  siempre  tiene  mucho  éxito  ,  porque  permite  que  todos  los  invitados  se  lleven  una  fotografía  personalizada  y  divertida  como  recuerdo  de  ese  acto  ""  .",photomaton,ncms000,photomaton,propio,propio,AQ0MS0,el,el,DA0MS0,o,o,CC,photocall,photocall,NCMS000,el,el,DA0MS0,",",",",Fc,que,que,PR0CN000,siempre,siempre,RG,tiene,tener,VMIP3S0,mucho,mucho,DI0MS0,2019-02-26,2019,2010,DA0MS0 AQ0MS0 Photomaton Fc PR0CN000,AQ0MS0 Photomaton Fc,DA0MS0 AQ0MS0 Photomaton,CC DA0MS0 AQ0MS0 Photomaton,NCMS000 CC DA0MS0 AQ0MS0 Photomaton,Photomaton Fc PR0CN000,Photomaton Fc PR0CN000 RG,Photomaton Fc PR0CN000 RG VMIP3S0,"el propio Photomaton , que","propio Photomaton ,",el propio Photomaton,o el propio Photomaton,photocall o el propio Photomaton,"Photomaton , que","Photomaton , que siempre","Photomaton , que siempre tener"
https://elsuburbanodigital.com.ar/el-espacio-incaa-quilmes-junto-con-el-centro-cultural-recoleta-seran-sedes-del-festival-internacional-cineversatil/,elsuburbanodigital.com.ar,2019-06-19,Argentina,Photomaton/NP00000/photomaton,"La  selección  internacional  está  conformada  por  :  La  mariachi  (  México/2018  )  ,  Carlito  se  va  para  siempre  (  Perú/2018  )  ,  Inquilinos  (  España/2018  )  ,  Porque  me  quieren  (  Colombia/2019  )  ,  Caracoles  (  Argentina/2018  )  ,  Halley  &  Marilyn  (  Brasil/2019  )  ,  The  snail  (  Irán/2018  )  ,  The  stroke  (  Reino  Unido/2017  )  , Photomaton  (  México/2018  )  y  Un  edén  para  lady  Helena  (  Ecuador/2018  )  .",photomaton,np00000,photomaton,",",",",Fc,),),Fpt,Unido/2017,Unido,2017/Z,Reino,reino,NCMS000,(,(,Fpa,(,(,Fpa,México/2018,México,2018/Z,),),Fpt,y,y,CC,Un,uno,DI0MS0,2019-06-19,2019,2010,Fpt Fc Photomaton Fpa 2018/Z,Fc Photomaton Fpa,Fpt Fc Photomaton,2017/Z Fpt Fc Photomaton,NCMS000 2017/Z Fpt Fc Photomaton,Photomaton Fpa 2018/Z,Photomaton Fpa 2018/Z Fpt,Photomaton Fpa 2018/Z Fpt CC,") , Photomaton ( México",", Photomaton (",") , Photomaton","Unido ) , Photomaton","reino Unido ) , Photomaton",Photomaton ( México,Photomaton ( México ),Photomaton ( México ) y
