url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.noticiascadadia.com//noticia/37509-grandes-firmas-espanolas-de-calzado-acudiran-a-momad-metropolis/,noticiascadadia.com,2014-01-07,Spain,Pikolinos/NP00000/pikolinos,"El  certamen  recupera  enseñas  líderes  en  su  segmento  de  mercado  como Pikolinos  ,  Wonders  ,  Nordikas  o  Pablosky",pikolinos,np00000,pikolinos,como,como,CS,mercado,mercado,NCMS000,de,de,SPS00,segmento,segmento,NCMS000,su,su,DP3CS0,",",",",Fc,Wonders,wonders,NP00000,",",",",Fc,Nordikas,nordikas,NP00000,o,o,CC,2014-01-07,2014,2010,NCMS000 CS Pikolinos Fc NP00000,CS Pikolinos Fc,NCMS000 CS Pikolinos,SPS00 NCMS000 CS Pikolinos,NCMS000 SPS00 NCMS000 CS Pikolinos,Pikolinos Fc NP00000,Pikolinos Fc NP00000 Fc,Pikolinos Fc NP00000 Fc NP00000,"mercado como Pikolinos , wonders","como Pikolinos ,",mercado como Pikolinos,de mercado como Pikolinos,segmento de mercado como Pikolinos,"Pikolinos , wonders","Pikolinos , wonders ,","Pikolinos , wonders , nordikas"
http://www.noticiascadadia.com//noticia/37509-grandes-firmas-espanolas-de-calzado-acudiran-a-momad-metropolis/,noticiascadadia.com,2014-01-07,Spain,Pikolinos/NP00000/pikolinos,"A  poco  más  de  un  mes  para  la  celebración  de  la  segunda  edición  de  MOMAD  METROPOLIS  ,  el  certamen  de  moda  multisectorial  más  importante  de  la  Península  Ibérica  muestra  un  positivo  ritmo  de  comercialización  y  ya  han  confirmado  su  participación  un  importante  número  de  destacadas  firmas  de  calzado  ,  entre  las  que  resulta  relevante  la  vuelta  al  salón  de  las  conocidas Pikolinos  ,  Wonders  ,  Pablosky  o  Nordika's  ,  que  lo  han  elegido  para  presentar  ,  en  primicia  ,  sus  colecciones  para  la  próxima  temporada  Otoño  /  Invierno  2014-15  .",pikolinos,np00000,pikolinos,conocidas,conocer,VMP00PF,las,el,DA0FP0,de,de,SPS00,salón,salón,NCMS000,al,a+el,SPS00+DA0MS0,",",",",Fc,Wonders,wonders,NP00000,",",",",Fc,Pablosky,pablosky,NP00000,o,o,CC,2014-01-07,2014,2010,DA0FP0 VMP00PF Pikolinos Fc NP00000,VMP00PF Pikolinos Fc,DA0FP0 VMP00PF Pikolinos,SPS00 DA0FP0 VMP00PF Pikolinos,NCMS000 SPS00 DA0FP0 VMP00PF Pikolinos,Pikolinos Fc NP00000,Pikolinos Fc NP00000 Fc,Pikolinos Fc NP00000 Fc NP00000,"el conocer Pikolinos , wonders","conocer Pikolinos ,",el conocer Pikolinos,de el conocer Pikolinos,salón de el conocer Pikolinos,"Pikolinos , wonders","Pikolinos , wonders ,","Pikolinos , wonders , pablosky"
http://www.elmundo.es/comunidad-valenciana/2014/01/13/52d3b9b1268e3e413a8b4570.html,elmundo.es,2014-01-13,Spain,Pikolinos/NP00000/pikolinos,"aLa  Generalitat  incorporará  a  las  empresas  Ford  ,  Porcelanosa  , Pikolinos  y  Anecoop  al  Consejo  de  Acción  Exterior  que  debe  diseñar  ""  la  hoja  de  ruta  que  identifique  las  estrategias  ,  acciones  y  países  que  serán  objeto  del  nuevo  Plan  de  Acción  Comercial  Exterior  (  PACE  )  ""  ,  según  explicaron  a  este  diario  fuentes  de  la  Conselleria  de  Economía  ,  Industria  ,  Turismo  y  Empleo  .",pikolinos,np00000,pikolinos,",",",",Fc,Porcelanosa,porcelanosa,NP00000,",",",",Fc,Ford,ford,NP00000,empresas,empresa,NCFP000,y,y,CC,Anecoop,anecoop,NP00000,al,a+el,SPS00+DA0MS0,Consejo,consejo,NP00000,de,de,SPS00,2014-01-13,2014,2010,NP00000 Fc Pikolinos CC NP00000,Fc Pikolinos CC,NP00000 Fc Pikolinos,Fc NP00000 Fc Pikolinos,NP00000 Fc NP00000 Fc Pikolinos,Pikolinos CC NP00000,Pikolinos CC NP00000 SPS00+DA0MS0,Pikolinos CC NP00000 SPS00+DA0MS0 NP00000,"porcelanosa , Pikolinos y anecoop",", Pikolinos y","porcelanosa , Pikolinos",", porcelanosa , Pikolinos","ford , porcelanosa , Pikolinos",Pikolinos y anecoop,Pikolinos y anecoop a+el,Pikolinos y anecoop a+el consejo
http://www.lavanguardia.com/local/madrid/20140121/54399386596/momad-metropolis-reune-grandes-firmas-nacionales-e-internacionales-del-14-al-16-de-febrero.html,lavanguardia.com,2014-01-21,Spain,Pikolinos/NP00000/pikolinos,"Además  ,  el  certamen  recupera  enseñas  líderes  en  su  segmento  de  mercado  como Pikolinos  ,  Wonders  ,  Nordikas  o  Pablosky  .",pikolinos,np00000,pikolinos,como,como,CS,mercado,mercado,NCMS000,de,de,SPS00,segmento,segmento,NCMS000,su,su,DP3CS0,",",",",Fc,Wonders,wonders,NP00000,",",",",Fc,Nordikas,nordikas,NP00000,o,o,CC,2014-01-21,2014,2010,NCMS000 CS Pikolinos Fc NP00000,CS Pikolinos Fc,NCMS000 CS Pikolinos,SPS00 NCMS000 CS Pikolinos,NCMS000 SPS00 NCMS000 CS Pikolinos,Pikolinos Fc NP00000,Pikolinos Fc NP00000 Fc,Pikolinos Fc NP00000 Fc NP00000,"mercado como Pikolinos , wonders","como Pikolinos ,",mercado como Pikolinos,de mercado como Pikolinos,segmento de mercado como Pikolinos,"Pikolinos , wonders","Pikolinos , wonders ,","Pikolinos , wonders , nordikas"
http://www.elmundo.es/comunidad-valenciana/2014/02/10/52f911aae2704e1c318b4588.html,elmundo.es,2014-02-10,Spain,PIKOLINOS/NP00000/pikolinos,Mejor  innovación  industrial PIKOLINOS  por  su  zapato  de  suela  hueca  que  soporta  el  peso  de  la  persona  y  evita  el  dolor  lumbar  que  aparece  tras  largas  caminatas  .,pikolinos,np00000,pikolinos,industrial,industrial,AQ0CS0,innovación,innovación,NCFS000,Mejor,mejor,AQ0CS0,,,,,,,por,por,SPS00,su,su,DP3CS0,zapato,zapato,NCMS000,de,de,SPS00,suela,suela,NCFS000,2014-02-10,2014,2010,NCFS000 AQ0CS0 Pikolinos SPS00 DP3CS0,AQ0CS0 Pikolinos SPS00,NCFS000 AQ0CS0 Pikolinos,AQ0CS0 NCFS000 AQ0CS0 Pikolinos,,Pikolinos SPS00 DP3CS0,Pikolinos SPS00 DP3CS0 NCMS000,Pikolinos SPS00 DP3CS0 NCMS000 SPS00,innovación industrial Pikolinos por su,industrial Pikolinos por,innovación industrial Pikolinos,mejor innovación industrial Pikolinos,,Pikolinos por su,Pikolinos por su zapato,Pikolinos por su zapato de
http://www.20minutos.es/noticia/2089228/0/zapatos/calzado/espanol/,20minutos.es,2014-03-21,Spain,Pikolinos/NP00000/pikolinos,"Otros  fabricantes  españoles  como  Inditex  ,  el  número  uno  , Pikolinos  ,  Lotusse  o  Camper  han  declinado  participar  en  este  reportaje  . </doc>",pikolinos,np00000,pikolinos,",",",",Fc,uno,uno,PI0MS000,número,número,NCMS000,el,el,DA0MS0,",",",",Fc,",",",",Fc,Lotusse,lotusse,NP00000,o,o,CC,Camper,camper,NP00000,han,haber,VAIP3P0,2014-03-21,2014,2010,PI0MS000 Fc Pikolinos Fc NP00000,Fc Pikolinos Fc,PI0MS000 Fc Pikolinos,NCMS000 PI0MS000 Fc Pikolinos,DA0MS0 NCMS000 PI0MS000 Fc Pikolinos,Pikolinos Fc NP00000,Pikolinos Fc NP00000 CC,Pikolinos Fc NP00000 CC NP00000,"uno , Pikolinos , lotusse",", Pikolinos ,","uno , Pikolinos","número uno , Pikolinos","el número uno , Pikolinos","Pikolinos , lotusse","Pikolinos , lotusse o","Pikolinos , lotusse o camper"
http://ecodiario.eleconomista.es/espana/noticias/5725750/04/14/La-Generalitat-sacara-a-concurso-publico-en-mayo-13-puestos-de-delegado-comercial-en-el-exterior-durante-dos-anos.html,eleconomista.es,2014-04-23,Spain,Pikolinos/NP00000/pikolinos,"Al  respecto  ,  el  presidente  del  Consejo  de  Cámaras  de  la  Comunitat  ,  José  Vicente  Morata  ,  ha  valorado  la  coordinación  existente  entre  empresas  y  administraciones  y  también  entre  las  distintas  administraciones  ,  que  permite  concentrar  información  y  servicios  ,  mientras  que  la  presidenta  de  la  Asociación  Valenciana  del  Calzado  y  adjunta  a  vicepresidencia  en Pikolinos  ,  Rosana  Perán  ,  ha  celebrado  que  es  un  plan  ""  realmente  creíble  ""  y  muy  similar  al  de  una  empresa  ,  por  lo  que  es  ""  muy  fácil  realizar  un  plan  de  acción  y  seguimiento  ""  .",pikolinos,np00000,pikolinos,en,en,SPS00,vicepresidencia,vicepresidencia,NCFS000,a,a,SPS00,adjunta,adjuntar,VMIP3S0,y,y,CC,",",",",Fc,Rosana,rosana,NP00000,Perán,perán,NP00000,",",",",Fc,ha,haber,VAIP3S0,2014-04-23,2014,2010,NCFS000 SPS00 Pikolinos Fc NP00000,SPS00 Pikolinos Fc,NCFS000 SPS00 Pikolinos,SPS00 NCFS000 SPS00 Pikolinos,VMIP3S0 SPS00 NCFS000 SPS00 Pikolinos,Pikolinos Fc NP00000,Pikolinos Fc NP00000 NP00000,Pikolinos Fc NP00000 NP00000 Fc,"vicepresidencia en Pikolinos , rosana","en Pikolinos ,",vicepresidencia en Pikolinos,a vicepresidencia en Pikolinos,adjuntar a vicepresidencia en Pikolinos,"Pikolinos , rosana","Pikolinos , rosana perán","Pikolinos , rosana perán ,"
http://ccaa.elpais.com/ccaa/2014/04/23/valencia/1398276343_334859.html,elpais.com,2014-04-23,Spain,Pikolinos/NP00000/pikolinos,"Con  el  consejero  estuvieron  la  directora  general  de  Internacionalización  y  directora  adjunta  del  Ivace  ,  Mar  Casanova  ,  el  presidente  del  Consejo  de  Cámaras  ,  José  Vicente  Morata  y  la  directora  adjunta  de Pikolinos  ,  Rosana  Perán  .  ""  Este  plan  exterior  es  realmente  creíble  ""  ,  aseguró  la  empresaria  .",pikolinos,np00000,pikolinos,de,de,SPS00,adjunta,adjunto,NCFS000,directora,director,AQ0FS0,la,el,DA0FS0,y,y,CC,",",",",Fc,Rosana,rosana,NP00000,Perán,perán,NP00000,.,.,Fp,"""","""",Fe,2014-04-23,2014,2010,NCFS000 SPS00 Pikolinos Fc NP00000,SPS00 Pikolinos Fc,NCFS000 SPS00 Pikolinos,AQ0FS0 NCFS000 SPS00 Pikolinos,DA0FS0 AQ0FS0 NCFS000 SPS00 Pikolinos,Pikolinos Fc NP00000,Pikolinos Fc NP00000 NP00000,Pikolinos Fc NP00000 NP00000 Fp,"adjunto de Pikolinos , rosana","de Pikolinos ,",adjunto de Pikolinos,director adjunto de Pikolinos,el director adjunto de Pikolinos,"Pikolinos , rosana","Pikolinos , rosana perán","Pikolinos , rosana perán ."
http://www.expansion.com/2014/05/04/tendencias/1399195936.html,expansion.com,2014-05-04,Spain,Pikolinos/NP00000/pikolinos,"La  blogger  y  modelo  neoyorquina  repite  su  colaboración  con  la  firma Pikolinos  en  Proyecto  Maasai  ,  una  línea  de  calzado  que  trata  de  mejorar  la  situación  laboral  de  las  mujeres  de  esta  tribu  keniata  .",pikolinos,np00000,pikolinos,firma,firma,NCFS000,la,el,DA0FS0,con,con,SPS00,colaboración,colaboración,NCFS000,su,su,DP3CS0,en,en,SPS00,Proyecto,proyecto,NP00000,Maasai,maasai,NP00000,",",",",Fc,una,uno,DI0FS0,2014-05-04,2014,2010,DA0FS0 NCFS000 Pikolinos SPS00 NP00000,NCFS000 Pikolinos SPS00,DA0FS0 NCFS000 Pikolinos,SPS00 DA0FS0 NCFS000 Pikolinos,NCFS000 SPS00 DA0FS0 NCFS000 Pikolinos,Pikolinos SPS00 NP00000,Pikolinos SPS00 NP00000 NP00000,Pikolinos SPS00 NP00000 NP00000 Fc,el firma Pikolinos en proyecto,firma Pikolinos en,el firma Pikolinos,con el firma Pikolinos,colaboración con el firma Pikolinos,Pikolinos en proyecto,Pikolinos en proyecto maasai,"Pikolinos en proyecto maasai ,"
http://www.expansion.com/2014/05/04/tendencias/1399195936.html,expansion.com,2014-05-04,Spain,Pikolinos/NP00000/pikolinos,"Así  es  la  nueva  colección  de  zapatos  y  sandalias  Proyecto  Maasai  ,  de Pikolinos  ,  que  por  quinto  año  consecutivo  ha  colaborado  con  las  mujeres  de  esta  tribu  de  Kenia  en  la  elaboración  de  un  producto  sostenible  .",pikolinos,np00000,pikolinos,de,de,SPS00,",",",",Fc,Maasai,maasai,NP00000,Proyecto,proyecto,NP00000,sandalias,sandalia,NCFP000,",",",",Fc,que,que,PR0CN000,por,por,SPS00,quinto,5,AO0MS0,año,año,NCMS000,2014-05-04,2014,2010,Fc SPS00 Pikolinos Fc PR0CN000,SPS00 Pikolinos Fc,Fc SPS00 Pikolinos,NP00000 Fc SPS00 Pikolinos,NP00000 NP00000 Fc SPS00 Pikolinos,Pikolinos Fc PR0CN000,Pikolinos Fc PR0CN000 SPS00,Pikolinos Fc PR0CN000 SPS00 AO0MS0,", de Pikolinos , que","de Pikolinos ,",", de Pikolinos","maasai , de Pikolinos","proyecto maasai , de Pikolinos","Pikolinos , que","Pikolinos , que por","Pikolinos , que por 5"
