url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://elsolonline.com/noticias/ver/1401/194493/los-utiles-escolares-ya-cuestan-30-por-ciento-mas-caros-y-especulan-con-otro-aumento-para-febrero,elsolonline.com,2014-01-29,Argentina,plasticola/NCFS000/plasticola,"Cuadernos  ,  carpetas  ,  hojas  ,  colores  ,  lápices  , plasticola  ,  manuales  y  libros  .",plasticola,ncfs000,plasticola,",",",",Fc,lápices,lápiz,NCMP000,",",",",Fc,colores,color,NCMP000,",",",",Fc,",",",",Fc,manuales,manual,NCMP000,y,y,CC,libros,libro,NCMP000,.,.,Fp,2014-01-29,2014,2010,NCMP000 Fc Plasticola Fc NCMP000,Fc Plasticola Fc,NCMP000 Fc Plasticola,Fc NCMP000 Fc Plasticola,NCMP000 Fc NCMP000 Fc Plasticola,Plasticola Fc NCMP000,Plasticola Fc NCMP000 CC,Plasticola Fc NCMP000 CC NCMP000,"lápiz , Plasticola , manual",", Plasticola ,","lápiz , Plasticola",", lápiz , Plasticola","color , lápiz , Plasticola","Plasticola , manual","Plasticola , manual y","Plasticola , manual y libro"
http://www.abc.com.py/edicion-impresa/locales/con-exposicion-concluira-colonia-inclusiva-del-ccejs-1214092.html,abc.com.py,2014-02-12,Paraguay,plasticola/NCFS000/plasticola,"La  creatividad  fluye  de  las  manos  de  los  chicos  ,  quienes  usan  una  variedad  de  materiales  ,  entre  trozos  y  láminas  de  cartulina  ,  lápices  de  colores  ,  tijeritas  , plasticola  ,  etc.",plasticola,ncfs000,plasticola,",",",",Fc,tijeritas,tijera,NCFP00D,",",",",Fc,colores,color,NCMP000,de,de,SPS00,",",",",Fc,etc.,etcétera,Fs,,,,,,,,,,2014-02-12,2014,2010,NCFP00D Fc Plasticola Fc Fs,Fc Plasticola Fc,NCFP00D Fc Plasticola,Fc NCFP00D Fc Plasticola,NCMP000 Fc NCFP00D Fc Plasticola,Plasticola Fc Fs,,,"tijera , Plasticola , etcétera",", Plasticola ,","tijera , Plasticola",", tijera , Plasticola","color , tijera , Plasticola","Plasticola , etcétera",,
http://www.lanacion.com.ar/1664372-el-negocio-de-los-articulos-de-libreria-saca-punta-en-esta-epoca,lanacion.com.ar,2014-02-16,Argentina,Plasticola/NP00000/plasticola,"También  la  goma  blanca  ,  como Plasticola  (  HB  Fuller  )  y  Maped  ,  es  producida  a  nivel  local  .",plasticola,np00000,plasticola,como,como,CS,",",",",Fc,blanca,blanco,AQ0FS0,goma,goma,NCFS000,la,el,DA0FS0,(,(,Fpa,HB,hb,NP00000,Fuller,fuller,NP00000,),),Fpt,y,y,CC,2014-02-16,2014,2010,Fc CS Plasticola Fpa NP00000,CS Plasticola Fpa,Fc CS Plasticola,AQ0FS0 Fc CS Plasticola,NCFS000 AQ0FS0 Fc CS Plasticola,Plasticola Fpa NP00000,Plasticola Fpa NP00000 NP00000,Plasticola Fpa NP00000 NP00000 Fpt,", como Plasticola ( hb",como Plasticola (,", como Plasticola","blanco , como Plasticola","goma blanco , como Plasticola",Plasticola ( hb,Plasticola ( hb fuller,Plasticola ( hb fuller )
http://www.lmneuquen.com.ar/noticias/2014/3/2/colectan-utiles-escolares-ropa-y-guardapolvos-para-carenciados_216720,lmneuquen.com.ar,2014-03-02,Argentina,plasticolas/NCFP000/plasticolas,"Indicaron  que  ,  dentro  de  lo  que  es  librería  lo  que  más  hace  falta  son  lápices  negros  ,  lapiceras  ,  cartucheras  ,  mochilas  ,  repuestos  de  hojas  ,  papel  afiche  y plasticolas  .",plasticolas,ncfp000,plasticolas,y,y,CC,afiche,afiche,NCMS000,papel,papel,NCMS000,",",",",Fc,hojas,hoja,NCFP000,.,.,Fp,,,,,,,,,,,,,2014-03-02,2014,2010,,CC Plasticola Fp,NCMS000 CC Plasticola,NCMS000 NCMS000 CC Plasticola,Fc NCMS000 NCMS000 CC Plasticola,,,,,y Plasticola .,afiche y Plasticola,papel afiche y Plasticola,", papel afiche y Plasticola",,,
http://www.elpopular.com.ar/nota/34077/la-higuera-entrego-utiles-en-barrios-de-la-ciudad,elpopular.com.ar,2014-03-04,Argentina,plasticola/NCFS000/plasticola,"En  esta  oportunidad  se  dividieron  los  kits  de  útiles  en  dos  grupos  ,  entre  estudiantes  del  primario  y  del  secundario  ,  que  incluyeron  para  los  estudiantes  del  1o  ciclo  cuadernos  ,  lápices  de  colores  ,  lápiz  negro  ,  goma  ,  regla  ,  sacapuntas  , plasticola  y  lapiceras  .",plasticola,ncfs000,plasticola,",",",",Fc,sacapuntas,sacapuntas,NCMN000,",",",",Fc,regla,regla,NCFS000,",",",",Fc,y,y,CC,lapiceras,lapiceras,NCFP000,.,.,Fp,,,,,,,2014-03-04,2014,2010,NCMN000 Fc Plasticola CC NCFP000,Fc Plasticola CC,NCMN000 Fc Plasticola,Fc NCMN000 Fc Plasticola,NCFS000 Fc NCMN000 Fc Plasticola,Plasticola CC NCFP000,Plasticola CC NCFP000 Fp,,"sacapuntas , Plasticola y lapiceras",", Plasticola y","sacapuntas , Plasticola",", sacapuntas , Plasticola","regla , sacapuntas , Plasticola",Plasticola y lapiceras,Plasticola y lapiceras .,
http://www.pagina12.com.ar/diario/suplementos/soy/1-3333-2014-02-28.html,pagina12.com.ar,2014-03-04,Argentina,plasticola/NCFS000/plasticola,Antes  hacía  las  pestañas  de  cartulina  y  me  las  pegaba  con plasticola  .,plasticola,ncfs000,plasticola,con,con,SPS00,pegaba,pegar,VMII3S0,las,lo,PP3FPA00,me,me,PP1CS000,y,y,CC,.,.,Fp,,,,,,,,,,,,,2014-03-04,2014,2010,,SPS00 Plasticola Fp,VMII3S0 SPS00 Plasticola,PP3FPA00 VMII3S0 SPS00 Plasticola,PP1CS000 PP3FPA00 VMII3S0 SPS00 Plasticola,,,,,con Plasticola .,pegar con Plasticola,lo pegar con Plasticola,me lo pegar con Plasticola,,,
http://www.diarioc.com.ar/interior/Donacion/220490,diarioc.com.ar,2014-03-22,Argentina,plasticolas/NCFP000/plasticolas,"El  establecimiento  educacional  ubicado  al  sur  del  distrito  Huaco  recibió  un  kit  de  útiles  escolares  ,  como  ser  lápices  negros  ,  de  colores  ,  cuadernos  , plasticolas  ,  bloc  de  carpetas  ,  gomas  ,  bolsitas  para  niños  de  jardín  de  infantes  entre  otros  elementos  ,  todo  esto  con  la  colaboración  de  comercios  del  medio  como  así  también  de  lo  recaudado  en  el  evento  que  se  realizó  en  la  semana  de  la  mujer  ,  todos  de  suma  utilidad  para  los  alumnos  que  concurren  al  mismo  .",plasticolas,ncfp000,plasticolas,",",",",Fc,cuadernos,cuaderno,NCMP000,",",",",Fc,colores,color,NCMP000,de,de,SPS00,",",",",Fc,bloc,bloc,NCMS000,de,de,SPS00,carpetas,carpeta,NCFP000,",",",",Fc,2014-03-22,2014,2010,NCMP000 Fc Plasticola Fc NCMS000,Fc Plasticola Fc,NCMP000 Fc Plasticola,Fc NCMP000 Fc Plasticola,NCMP000 Fc NCMP000 Fc Plasticola,Plasticola Fc NCMS000,Plasticola Fc NCMS000 SPS00,Plasticola Fc NCMS000 SPS00 NCFP000,"cuaderno , Plasticola , bloc",", Plasticola ,","cuaderno , Plasticola",", cuaderno , Plasticola","color , cuaderno , Plasticola","Plasticola , bloc","Plasticola , bloc de","Plasticola , bloc de carpeta"
http://www.lasextaseccion.com.ar/gente-y-personajes/memoria-en-maquetas/?utm_source=rss&utm_medium=rss&utm_campaign=memoria-en-maquetas,lasextaseccion.com.ar,2014-03-29,Argentina,plasticola/NCFS000/plasticola,"Cajas  de  vino  ,  tijera  y plasticola  ,  con  esos  elementos  Bocha  produce  su  flota  .",plasticola,ncfs000,plasticola,y,y,CC,tijera,tijera,NCFS000,",",",",Fc,vino,vino,NCMS000,de,de,SPS00,",",",",Fc,con,con,SPS00,esos,ese,DD0MP0,elementos,elemento,NCMP000,Bocha,bocha,NP00000,2014-03-29,2014,2010,NCFS000 CC Plasticola Fc SPS00,CC Plasticola Fc,NCFS000 CC Plasticola,Fc NCFS000 CC Plasticola,NCMS000 Fc NCFS000 CC Plasticola,Plasticola Fc SPS00,Plasticola Fc SPS00 DD0MP0,Plasticola Fc SPS00 DD0MP0 NCMP000,"tijera y Plasticola , con","y Plasticola ,",tijera y Plasticola,", tijera y Plasticola","vino , tijera y Plasticola","Plasticola , con","Plasticola , con ese","Plasticola , con ese elemento"
http://www.clarin.com/ciudades/dama-instantes_0_1127287411.html,clarin.com,2014-04-26,Argentina,plasticolas/NCFP000/plasticolas,"Mi  amigo  Julio  me  había  hecho  reparar  ,  un  tiempo  atrás  ,  en  el  porte  majestuoso  de  la  señora  Perka  ,  la  dueña  del  local  de  venta  de  materiales  tales  como  papel  glacé  ,  papel  afiche  , plasticolas  ,  gomas  de  borrar  ,  toda  la  gama  de  marcadores  ,  hojas  de  repuesto  ,  etcétera  .",plasticolas,ncfp000,plasticolas,",",",",Fc,afiche,afiche,NCMS000,papel,papel,NCMS000,",",",",Fc,glacé,glacé,AQ0CN0,",",",",Fc,gomas,goma,NCFP000,de,de,SPS00,borrar,borrar,VMN0000,",",",",Fc,2014-04-26,2014,2010,NCMS000 Fc Plasticola Fc NCFP000,Fc Plasticola Fc,NCMS000 Fc Plasticola,NCMS000 NCMS000 Fc Plasticola,Fc NCMS000 NCMS000 Fc Plasticola,Plasticola Fc NCFP000,Plasticola Fc NCFP000 SPS00,Plasticola Fc NCFP000 SPS00 VMN0000,"afiche , Plasticola , goma",", Plasticola ,","afiche , Plasticola","papel afiche , Plasticola",", papel afiche , Plasticola","Plasticola , goma","Plasticola , goma de","Plasticola , goma de borrar"
http://www.tucumanhoy.com/n64893,tucumanhoy.com,2014-05-31,Argentina,plasticola/NCFS000/plasticola,"Con  un  cartón  y  un  poquito  de plasticola  se  puede  hacer  una  actividad  artesanal  y  artística  constructiva  ""  ,  remarcó  . </doc>",plasticola,ncfs000,plasticola,de,de,SPS00,poquito,poquito,AQ0MS0,un,uno,DI0MS0,y,y,CC,cartón,cartón,NCMS000,se,se,P00CN000,puede,poder,VMIP3S0,hacer,hacer,VMN0000,una,uno,DI0FS0,actividad,actividad,NCFS000,2014-05-31,2014,2010,AQ0MS0 SPS00 Plasticola P00CN000 VMIP3S0,SPS00 Plasticola P00CN000,AQ0MS0 SPS00 Plasticola,DI0MS0 AQ0MS0 SPS00 Plasticola,CC DI0MS0 AQ0MS0 SPS00 Plasticola,Plasticola P00CN000 VMIP3S0,Plasticola P00CN000 VMIP3S0 VMN0000,Plasticola P00CN000 VMIP3S0 VMN0000 DI0FS0,poquito de Plasticola se poder,de Plasticola se,poquito de Plasticola,uno poquito de Plasticola,y uno poquito de Plasticola,Plasticola se poder,Plasticola se poder hacer,Plasticola se poder hacer uno
