url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.publico.es/especial/videojuegos/analisis/87454/yoshi-s-new-island?src=lmGNp&pos=1,publico.es,2014-03-15,Spain,plastidecor/NCMS000/plastidecor,"En  la  misma  línea  ,  algunas  ilustraciones  de  los  escenarios  son  encantadoras  ,  casi  huelen  a plastidecor  y  sí  dibujan  esa  sonrisa  ,  como  ocurre  con  la  mayoría  de  los  personajes  y  sus  movimientos  .",plastidecor,ncms000,plastidecor,a,a,SPS00,huelen,oler,VMIP3P0,casi,casi,RG,",",",",Fc,encantadoras,encantador,AQ0FP0,y,y,CC,sí,sí,PP3CNO00,dibujan,dibujar,VMIP3P0,esa,ese,DD0FS0,sonrisa,sonrisa,NCFS000,2014-03-15,2014,2010,VMIP3P0 SPS00 Plastidecor CC PP3CNO00,SPS00 Plastidecor CC,VMIP3P0 SPS00 Plastidecor,RG VMIP3P0 SPS00 Plastidecor,Fc RG VMIP3P0 SPS00 Plastidecor,Plastidecor CC PP3CNO00,Plastidecor CC PP3CNO00 VMIP3P0,Plastidecor CC PP3CNO00 VMIP3P0 DD0FS0,oler a Plastidecor y sí,a Plastidecor y,oler a Plastidecor,casi oler a Plastidecor,", casi oler a Plastidecor",Plastidecor y sí,Plastidecor y sí dibujar,Plastidecor y sí dibujar ese
http://www.nopuedocreer.com/quelohayaninventado/25920/la-mesa-del-dinero-ardiente/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BNoPuedoCreerQueLoHayanInventado%2B%2528No%2Bpuedo%2Bcreer%2Bque%2Blo%2Bhayan%2Binventado...%2529,nopuedocreer.com,2014-07-16,===NONE===,Plastidecor/NP00000/plastidecor,¿  Podrían  haber  dicho  lo  mismo  estampando  una  bolsa  de  gusanitos  de  a  duro  en  un  lienzo  y  una  sonrisa  dibujada  con  un Plastidecor  ?,plastidecor,np00000,plastidecor,un,uno,DI0MS0,con,con,SPS00,dibujada,dibujar,VMP00SF,sonrisa,sonrisa,NCFS000,una,uno,DI0FS0,?,?,Fit,,,,,,,,,,,,,2014-07-16,2014,2010,,DI0MS0 Plastidecor Fit,SPS00 DI0MS0 Plastidecor,VMP00SF SPS00 DI0MS0 Plastidecor,NCFS000 VMP00SF SPS00 DI0MS0 Plastidecor,,,,,uno Plastidecor ?,con uno Plastidecor,dibujar con uno Plastidecor,sonrisa dibujar con uno Plastidecor,,,
http://www.nopuedocreer.com/quelohayaninventado/26159/madre-cool-convierte-los-desvarios-de-su-hija-en-hermosas-ilustraciones/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BNoPuedoCreerQueLoHayanInventado%2B%2528No%2Bpuedo%2Bcreer%2Bque%2Blo%2Bhayan%2Binventado...%2529,nopuedocreer.com,2014-09-11,===NONE===,Plastidecor/NP00000/plastidecor,"Hace  falta  tener  una  buena  dosis  de  valentía  para  darle  a  tu  hija  de  dos  años  algo  que  pueda  manchar  ,  bien  sea  un Plastidecor  o  un  rotulador  invisible  (  esos  son  peores  porque  la  sorpresa  te  la  dan  por  la  noche  )  .",plastidecor,np00000,plastidecor,un,uno,DI0MS0,sea,ser,VSSP1S0,bien,bien,RG,",",",",Fc,manchar,manchar,VMN0000,o,o,CC,un,uno,DI0MS0,rotulador,rotulador,NCMS000,invisible,invisible,AQ0CS0,(,(,Fpa,2014-09-11,2014,2010,VSSP1S0 DI0MS0 Plastidecor CC DI0MS0,DI0MS0 Plastidecor CC,VSSP1S0 DI0MS0 Plastidecor,RG VSSP1S0 DI0MS0 Plastidecor,Fc RG VSSP1S0 DI0MS0 Plastidecor,Plastidecor CC DI0MS0,Plastidecor CC DI0MS0 NCMS000,Plastidecor CC DI0MS0 NCMS000 AQ0CS0,ser uno Plastidecor o uno,uno Plastidecor o,ser uno Plastidecor,bien ser uno Plastidecor,", bien ser uno Plastidecor",Plastidecor o uno,Plastidecor o uno rotulador,Plastidecor o uno rotulador invisible
http://blogs.publico.es/davidtorres/2014/10/27/entre-mortadelos-y-sacarinos/,publico.es,2014-10-27,Spain,plastidecor/NCMS000/plastidecor,"En  las  encuestas  que  a  veces  nos  hacen  los  escritores  preguntando  cuáles  fueron  los  libros  que  nos  marcaron  en  la  infancia  y  con  qué  personajes  descubrimos  la  literatura  ,  suele  haber  mucha  respuesta  de  camelo  ,  mucho  libro  impostado  ,  mucho  genio  precoz  que  a  los  siete  años  ya  estaba  leyendo  el  Quijote  y  subrayando  con plastidecor  a  Dostoyevski  .",plastidecor,ncms000,plastidecor,con,con,SPS00,subrayando,subrayar,VMG0000,y,y,CC,Quijote,quijote,NP00000,el,el,DA0MS0,a,a,SPS00,Dostoyevski,dostoyevski,NP00000,.,.,Fp,,,,,,,2014-10-27,2014,2010,VMG0000 SPS00 Plastidecor SPS00 NP00000,SPS00 Plastidecor SPS00,VMG0000 SPS00 Plastidecor,CC VMG0000 SPS00 Plastidecor,NP00000 CC VMG0000 SPS00 Plastidecor,Plastidecor SPS00 NP00000,Plastidecor SPS00 NP00000 Fp,,subrayar con Plastidecor a dostoyevski,con Plastidecor a,subrayar con Plastidecor,y subrayar con Plastidecor,quijote y subrayar con Plastidecor,Plastidecor a dostoyevski,Plastidecor a dostoyevski .,
http://cadenaser.com/programa/2014/12/19/la_ventana/1418991367_372446.html?ssm=14092012-Ser-rs-1-Tw,cadenaser.com,2014-12-19,===NONE===,Plastidecor/NP00000/plastidecor,"A  pesar  de  su  éxito  ,  ha  decidido  que  se  retira  y  que  deja  las  calles  por  los  folios  y  los Plastidecor  como  consecuencia  de  sus  miedos  .",plastidecor,np00000,plastidecor,los,el,DA0MP0,y,y,CC,folios,folio,NCMP000,los,el,DA0MP0,por,por,SPS00,como,como,CS,consecuencia,consecuencia,NCFS000,de,de,SPS00,sus,su,DP3CP0,miedos,miedo,NCMP000,2014-12-19,2014,2010,CC DA0MP0 Plastidecor CS NCFS000,DA0MP0 Plastidecor CS,CC DA0MP0 Plastidecor,NCMP000 CC DA0MP0 Plastidecor,DA0MP0 NCMP000 CC DA0MP0 Plastidecor,Plastidecor CS NCFS000,Plastidecor CS NCFS000 SPS00,Plastidecor CS NCFS000 SPS00 DP3CP0,y el Plastidecor como consecuencia,el Plastidecor como,y el Plastidecor,folio y el Plastidecor,el folio y el Plastidecor,Plastidecor como consecuencia,Plastidecor como consecuencia de,Plastidecor como consecuencia de su
http://www.rockdelux.com/opinion/p/garatge-club-el-ritmo-del-garage.html,rockdelux.com,2015-03-11,===NONE===,PLASTIDECORE/NP00000/plastidecore,"Como  añadidos  locales  ,  los  badaloneses  AFRAID  TO  SPEAK  IN  PUBLIC  confirmaron  lo  mucho  que  ya  valían  con  su  abigarrado  debut  ""  Subcircus  ""  ,  anulando  de  paso  el  esfuerzo  de  los  sabadellenses PLASTIDECORE  . </doc>",plastidecore,np00000,plastidecore,sabadellenses,sabadellense,AQ0CP0,los,el,DA0MP0,de,de,SPS00,esfuerzo,esfuerzo,NCMS000,el,el,DA0MS0,.,.,Fp,</doc>,,,,,,,,,,,,2015-03-11,2015,2010,,AQ0CP0 Plastidecor Fp,DA0MP0 AQ0CP0 Plastidecor,SPS00 DA0MP0 AQ0CP0 Plastidecor,NCMS000 SPS00 DA0MP0 AQ0CP0 Plastidecor,,,,,sabadellense Plastidecor .,el sabadellense Plastidecor,de el sabadellense Plastidecor,esfuerzo de el sabadellense Plastidecor,,,
http://www.antena3.com/se-estrena/especiales/ahora-o-nunca/tita-nines/capitulo-tita-nines-ensena-como-maquillarte-como-princesa-hielo_2015052500088.html,antena3.com,2015-05-25,Spain,plastidecor/NCMS000/plastidecor,"Buesca  una  pintuta  como  un plastidecor  que  es  fácil  de  encontrar  en  ""  tu  barrio  ""  . </doc>",plastidecor,ncms000,plastidecor,un,uno,DI0MS0,como,como,CS,pintuta,pintuta,NCFS000,una,uno,DI0FS0,Buesca,buesca,NP00000,que,que,PR0CN000,es,ser,VSIP3S0,fácil,fácil,AQ0CS0,de,de,SPS00,encontrar,encontrar,VMN0000,2015-05-25,2015,2010,CS DI0MS0 Plastidecor PR0CN000 VSIP3S0,DI0MS0 Plastidecor PR0CN000,CS DI0MS0 Plastidecor,NCFS000 CS DI0MS0 Plastidecor,DI0FS0 NCFS000 CS DI0MS0 Plastidecor,Plastidecor PR0CN000 VSIP3S0,Plastidecor PR0CN000 VSIP3S0 AQ0CS0,Plastidecor PR0CN000 VSIP3S0 AQ0CS0 SPS00,como uno Plastidecor que ser,uno Plastidecor que,como uno Plastidecor,pintuta como uno Plastidecor,uno pintuta como uno Plastidecor,Plastidecor que ser,Plastidecor que ser fácil,Plastidecor que ser fácil de
http://www.eldiario.es/cultura/tecnologia/Cuidado-viene-logo_0_426607578.html,eldiario.es,2015-09-04,Spain,plastidecor/NCMS000/plastidecor,"Y  además  en  septiembre  ,  ese  mes  en  el  que  se  empieza  todo  de  nuevo  ,  quizá  por  eso  la  mano  del  niño  y  las plastidecor  con  tonos  dulces  :  vuelta  al  ejercicio  con  la  mirada  puesta  en  lo  que  va  a  venir  .",plastidecor,ncms000,plastidecor,las,el,DA0FP0,y,y,CC,niño,niño,NCMS000,del,de+el,SPS00+DA0MS0,mano,mano,NCFS000,con,con,SPS00,tonos,tono,NCMP000,dulces,dulce,AQ0CP0,:,:,Fd,vuelta,vuelta,NCFS000,2015-09-04,2015,2010,CC DA0FP0 Plastidecor SPS00 NCMP000,DA0FP0 Plastidecor SPS00,CC DA0FP0 Plastidecor,NCMS000 CC DA0FP0 Plastidecor,SPS00+DA0MS0 NCMS000 CC DA0FP0 Plastidecor,Plastidecor SPS00 NCMP000,Plastidecor SPS00 NCMP000 AQ0CP0,Plastidecor SPS00 NCMP000 AQ0CP0 Fd,y el Plastidecor con tono,el Plastidecor con,y el Plastidecor,niño y el Plastidecor,de+el niño y el Plastidecor,Plastidecor con tono,Plastidecor con tono dulce,Plastidecor con tono dulce :
http://www.rtve.es/noticias/20150921/alvarno-hace-historia-se-lleva-tercera-vez-premio-mejor-coleccion/1223502.shtml,rtve.es,2015-09-21,Spain,plastidecor/NCMS000/plastidecor,"Además  ,  los  decora  con  lirios  de  estilo  ikebana  y  en  rayas  de  colores  "" plastidecor  ""  inspiradas  en  los  bañadores  de  chico  .",plastidecor,ncms000,plastidecor,"""","""",Fe,colores,color,NCMP000,de,de,SPS00,rayas,raya,NCFP000,en,en,SPS00,"""","""",Fe,inspiradas,inspirar,VMP00PF,en,en,SPS00,los,el,DA0MP0,bañadores,bañador,NCMP000,2015-09-21,2015,2010,NCMP000 Fe Plastidecor Fe VMP00PF,Fe Plastidecor Fe,NCMP000 Fe Plastidecor,SPS00 NCMP000 Fe Plastidecor,NCFP000 SPS00 NCMP000 Fe Plastidecor,Plastidecor Fe VMP00PF,Plastidecor Fe VMP00PF SPS00,Plastidecor Fe VMP00PF SPS00 DA0MP0,"color "" Plastidecor "" inspirar",""" Plastidecor ""","color "" Plastidecor","de color "" Plastidecor","raya de color "" Plastidecor","Plastidecor "" inspirar","Plastidecor "" inspirar en","Plastidecor "" inspirar en el"
http://periodicodeibiza.es/opinion/opinion/2015/12/13/169611/vaca-azul-rosa.html,periodicodeibiza.es,2015-12-13,Spain,Plastidecor/NP00000/plastidecor,"Eran  mis  colores  preferidos  de  un  roído  estuche  de  lápices Plastidecor  que  no  manchaban  ,  no  se  rompían  y  que  me  permitían  dibujar  trazos  para  ,  acto  seguido  ,  rellenar  el  cielo  y  la  tierra  coloreando  de  lado  sin  salirme  del  folio  .",plastidecor,np00000,plastidecor,lápices,lápiz,NCMP000,de,de,SPS00,estuche,estuche,NCMS000,roído,roer,VMP00SM,un,uno,DI0MS0,que,que,CS,no,no,RN,manchaban,manchar,VMII3P0,",",",",Fc,no,no,RN,2015-12-13,2015,2010,SPS00 NCMP000 Plastidecor CS RN,NCMP000 Plastidecor CS,SPS00 NCMP000 Plastidecor,NCMS000 SPS00 NCMP000 Plastidecor,VMP00SM NCMS000 SPS00 NCMP000 Plastidecor,Plastidecor CS RN,Plastidecor CS RN VMII3P0,Plastidecor CS RN VMII3P0 Fc,de lápiz Plastidecor que no,lápiz Plastidecor que,de lápiz Plastidecor,estuche de lápiz Plastidecor,roer estuche de lápiz Plastidecor,Plastidecor que no,Plastidecor que no manchar,"Plastidecor que no manchar ,"
