url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.20minutos.es/noticia/2027667/0/arquitectura/proyectos-faraonicos/planes-urbanisticos/,20minutos.es,2014-01-31,Spain,plexiglas/NCFP000/plexiglas,"El  componente  principal  de  la  estructura  será  el plexiglas  ,  con  el  que  se  construirán  grandes  ventanales  y  burbujas  que  permitan  ver  las  maravillas  del  fondo  marino  desde  cualquier  estancia  del  edificio  .",plexiglas,ncfp000,plexiglas,el,el,DA0MS0,será,ser,VSIF3S0,estructura,estructura,NCFS000,la,el,DA0FS0,de,de,SPS00,",",",",Fc,con,con,SPS00,el,el,DA0MS0,que,que,PR0CN000,se,se,P00CN000,2014-01-31,2014,2010,VSIF3S0 DA0MS0 Plexiglas Fc SPS00,DA0MS0 Plexiglas Fc,VSIF3S0 DA0MS0 Plexiglas,NCFS000 VSIF3S0 DA0MS0 Plexiglas,DA0FS0 NCFS000 VSIF3S0 DA0MS0 Plexiglas,Plexiglas Fc SPS00,Plexiglas Fc SPS00 DA0MS0,Plexiglas Fc SPS00 DA0MS0 PR0CN000,"ser el Plexiglas , con","el Plexiglas ,",ser el Plexiglas,estructura ser el Plexiglas,el estructura ser el Plexiglas,"Plexiglas , con","Plexiglas , con el","Plexiglas , con el que"
http://www.javiergutierrezchamorro.com/casio-al-180/2151?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bjaviergutierrezchamorro%2B%2528Bit%25C3%25A1cora%2Bde%2BJavier%2BGuti%25C3%25A9rrez%2BChamorro%2B%2528Guti%2529%2529,javiergutierrezchamorro.com,2014-02-03,===NONE===,plexiglass/NC00000/plexiglass,"Sólo  se  ofrecía  en  su  variante  metálica  ,  así  que  externamente  su  caja  de  resina  está  pintada  en  plateado  como  el  AL-190WD  ,  y  de  igual  forma  ,  su  cristal  de plexiglass  .",plexiglass,nc00000,plexiglass,de,de,SPS00,cristal,cristal,NCMS000,su,su,DP3CS0,",",",",Fc,forma,forma,NCFS000,.,.,Fp,,,,,,,,,,,,,2014-02-03,2014,2010,,SPS00 Plexiglas Fp,NCMS000 SPS00 Plexiglas,DP3CS0 NCMS000 SPS00 Plexiglas,Fc DP3CS0 NCMS000 SPS00 Plexiglas,,,,,de Plexiglas .,cristal de Plexiglas,su cristal de Plexiglas,", su cristal de Plexiglas",,,
http://www.javiergutierrezchamorro.com/steel-bagelsport-day-date/2170?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bjaviergutierrezchamorro%2B%2528Bit%25C3%25A1cora%2Bde%2BJavier%2BGuti%25C3%25A9rrez%2BChamorro%2B%2528Guti%2529%2529,javiergutierrezchamorro.com,2014-03-05,===NONE===,plexiglas/NCFP000/plexiglas,Lástima  que  el  Ricoh  montara  un  cristal  de plexiglas  .,plexiglas,ncfp000,plexiglas,de,de,SPS00,cristal,cristal,NCMS000,un,uno,DI0MS0,montara,montar,VMSI3S0,Ricoh,ricoh,NP00000,.,.,Fp,,,,,,,,,,,,,2014-03-05,2014,2010,,SPS00 Plexiglas Fp,NCMS000 SPS00 Plexiglas,DI0MS0 NCMS000 SPS00 Plexiglas,VMSI3S0 DI0MS0 NCMS000 SPS00 Plexiglas,,,,,de Plexiglas .,cristal de Plexiglas,uno cristal de Plexiglas,montar uno cristal de Plexiglas,,,
http://www.eleconomista.es/cultura/noticias/5618971/03/14/Yoko-Ono-se-inspirara-en-el-Guggenheim-Bilbao-para-sus-nuevas-creaciones.html,eleconomista.es,2014-03-13,Spain,plexiglas/NCFP000/plexiglas,"O  ""  teléfono  en  el  laberinto  ""  (  Telephone  in  maze  )  ,  una  encrucijada  de plexiglas  que  lleva  hasta  un  teléfono  al  que  la  propia  artista  llamará  de  vez  en  cuando  dando  lugar  a  inesperadas  experiencias  .",plexiglas,ncfp000,plexiglas,de,de,SPS00,encrucijada,encrucijada,NCFS000,una,uno,DI0FS0,",",",",Fc,),),Fpt,que,que,PR0CN000,lleva,llevar,VMIP3S0,hasta,hasta,SPS00,un,uno,DI0MS0,teléfono,teléfono,NCMS000,2014-03-13,2014,2010,NCFS000 SPS00 Plexiglas PR0CN000 VMIP3S0,SPS00 Plexiglas PR0CN000,NCFS000 SPS00 Plexiglas,DI0FS0 NCFS000 SPS00 Plexiglas,Fc DI0FS0 NCFS000 SPS00 Plexiglas,Plexiglas PR0CN000 VMIP3S0,Plexiglas PR0CN000 VMIP3S0 SPS00,Plexiglas PR0CN000 VMIP3S0 SPS00 DI0MS0,encrucijada de Plexiglas que llevar,de Plexiglas que,encrucijada de Plexiglas,uno encrucijada de Plexiglas,", uno encrucijada de Plexiglas",Plexiglas que llevar,Plexiglas que llevar hasta,Plexiglas que llevar hasta uno
http://www.avaate.org/spip.php?article226,avaate.org,2014-04-02,===NONE===,Plexiglas/NP00000/plexiglas,"La  manera  estándar  para  medir  el  SAR  (  tasa  de  energía  aborbida  )  es  un  ""  método-fantasma  ""  que  consiste  ,  increíblemente  ,  en  un  líquido  homogéneo  metido  en  una  bolsa  de Plexiglas  (  un  plástico  )  con  la  forma  de  cabeza  .",plexiglas,np00000,plexiglas,de,de,SPS00,bolsa,bolsa,NCFS000,una,uno,DI0FS0,en,en,SPS00,metido,meter,VMP00SM,(,(,Fpa,un,uno,DI0MS0,plástico,plástico,NCMS000,),),Fpt,con,con,SPS00,2014-04-02,2014,2010,NCFS000 SPS00 Plexiglas Fpa DI0MS0,SPS00 Plexiglas Fpa,NCFS000 SPS00 Plexiglas,DI0FS0 NCFS000 SPS00 Plexiglas,SPS00 DI0FS0 NCFS000 SPS00 Plexiglas,Plexiglas Fpa DI0MS0,Plexiglas Fpa DI0MS0 NCMS000,Plexiglas Fpa DI0MS0 NCMS000 Fpt,bolsa de Plexiglas ( uno,de Plexiglas (,bolsa de Plexiglas,uno bolsa de Plexiglas,en uno bolsa de Plexiglas,Plexiglas ( uno,Plexiglas ( uno plástico,Plexiglas ( uno plástico )
http://www.laestrelladeloriente.com/noticia-completa.php?idnoticia=32074,laestrelladeloriente.com,2014-06-11,Bolivia,plexiglas/NCFP000/plexiglas,"El  molusco  ,  que  falleció  poco  tiempo  después  del  Mundial  ,  emitía  sus  predicciones  eligiendo  la  comida  colocada  en  cajas  de plexiglas  transparente  con  las  banderas  de  los  equipos  en  liza  dentro  de  su  acuario  . </doc>",plexiglas,ncfp000,plexiglas,de,de,SPS00,cajas,caja,NCFP000,en,en,SPS00,colocada,colocar,VMP00SF,comida,comida,NCFS000,transparente,transparente,AQ0CS0,con,con,SPS00,las,el,DA0FP0,banderas,bandera,NCFP000,de,de,SPS00,2014-06-11,2014,2010,NCFP000 SPS00 Plexiglas AQ0CS0 SPS00,SPS00 Plexiglas AQ0CS0,NCFP000 SPS00 Plexiglas,SPS00 NCFP000 SPS00 Plexiglas,VMP00SF SPS00 NCFP000 SPS00 Plexiglas,Plexiglas AQ0CS0 SPS00,Plexiglas AQ0CS0 SPS00 DA0FP0,Plexiglas AQ0CS0 SPS00 DA0FP0 NCFP000,caja de Plexiglas transparente con,de Plexiglas transparente,caja de Plexiglas,en caja de Plexiglas,colocar en caja de Plexiglas,Plexiglas transparente con,Plexiglas transparente con el,Plexiglas transparente con el bandera
http://eldia.es/2014-06-14/GENTE/4-pasarelas-museo.htm,eldia.es,2014-07-11,Spain,Plexiglas/NP00000/plexiglas,"Los  juegos  de  texturas  ,  con  un  abanico  que  va  desde  el  encaje  ,  la  seda  y  las  pieles  hasta  el  más  atípico  plástico Plexiglas  ,  estimulan  el  tacto  y  dan  fe  de  la  filosofía  de  la  marca  . </doc>",plexiglas,np00000,plexiglas,plástico,plástico,NCMS000,atípico,atípico,AQ0MS0,más,más,RG,el,el,DA0MS0,hasta,hasta,SPS00,",",",",Fc,estimulan,estimular,VMIP3P0,el,el,DA0MS0,tacto,tacto,NCMS000,y,y,CC,2014-07-11,2014,2010,AQ0MS0 NCMS000 Plexiglas Fc VMIP3P0,NCMS000 Plexiglas Fc,AQ0MS0 NCMS000 Plexiglas,RG AQ0MS0 NCMS000 Plexiglas,DA0MS0 RG AQ0MS0 NCMS000 Plexiglas,Plexiglas Fc VMIP3P0,Plexiglas Fc VMIP3P0 DA0MS0,Plexiglas Fc VMIP3P0 DA0MS0 NCMS000,"atípico plástico Plexiglas , estimular","plástico Plexiglas ,",atípico plástico Plexiglas,más atípico plástico Plexiglas,el más atípico plástico Plexiglas,"Plexiglas , estimular","Plexiglas , estimular el","Plexiglas , estimular el tacto"
http://www.elnuevodiario.com.ni/mundial-futbol-2014/322166-conejillo-de-indias-buscara-suplantar-al-pulpo-paul,elnuevodiario.com.ni,2014-07-11,Nicaragua,plexiglas/NCFP000/plexiglas,"El  molusco  ,  que  falleció  poco  tiempo  después  del  Mundial  ,  emitía  sus  eligiendo  la  comida  colocada  en  cajas  de plexiglas  transparente  con  las  banderas  de  los  equipos  en  liza  dentro  de  su  acuario  . </doc>",plexiglas,ncfp000,plexiglas,de,de,SPS00,cajas,caja,NCFP000,en,en,SPS00,colocada,colocar,VMP00SF,comida,comida,NCFS000,transparente,transparente,AQ0CS0,con,con,SPS00,las,el,DA0FP0,banderas,bandera,NCFP000,de,de,SPS00,2014-07-11,2014,2010,NCFP000 SPS00 Plexiglas AQ0CS0 SPS00,SPS00 Plexiglas AQ0CS0,NCFP000 SPS00 Plexiglas,SPS00 NCFP000 SPS00 Plexiglas,VMP00SF SPS00 NCFP000 SPS00 Plexiglas,Plexiglas AQ0CS0 SPS00,Plexiglas AQ0CS0 SPS00 DA0FP0,Plexiglas AQ0CS0 SPS00 DA0FP0 NCFP000,caja de Plexiglas transparente con,de Plexiglas transparente,caja de Plexiglas,en caja de Plexiglas,colocar en caja de Plexiglas,Plexiglas transparente con,Plexiglas transparente con el,Plexiglas transparente con el bandera
http://www.tendencias21.net/Crean-una-pantalla-transparente-que-puede-usarse-a-la-vez-por-los-dos-lados_a35492.html,tendencias21.net,2014-07-11,Spain,plexiglas/NCFP000/plexiglas,La  pantalla  está  compuesta  de  dos  capas  de plexiglas  que  contienen  una  película  holográfica  .,plexiglas,ncfp000,plexiglas,de,de,SPS00,capas,capa,NCFP000,dos,2,Z,de,de,SPS00,compuesta,componer,VMP00SF,que,que,PR0CN000,contienen,contener,VMIP3P0,una,uno,DI0FS0,película,película,NCFS000,holográfica,holográfico,AQ0FS0,2014-07-11,2014,2010,NCFP000 SPS00 Plexiglas PR0CN000 VMIP3P0,SPS00 Plexiglas PR0CN000,NCFP000 SPS00 Plexiglas,Z NCFP000 SPS00 Plexiglas,SPS00 Z NCFP000 SPS00 Plexiglas,Plexiglas PR0CN000 VMIP3P0,Plexiglas PR0CN000 VMIP3P0 DI0FS0,Plexiglas PR0CN000 VMIP3P0 DI0FS0 NCFS000,capa de Plexiglas que contener,de Plexiglas que,capa de Plexiglas,2 capa de Plexiglas,de 2 capa de Plexiglas,Plexiglas que contener,Plexiglas que contener uno,Plexiglas que contener uno película
http://www.elmundo.es/economia/2014/09/22/54096cdfca474173088b456f.html,elmundo.es,2014-09-22,Spain,Plexiglas/NP00000/plexiglas,"Se  accede  a  ella  sin  necesidad  de  un  traje  de  buzo  o  de  un  descompresor  y  ,  gracias  a  sus  paneles  de Plexiglas  (  polimetilmetacrilato  )  se  pueden  observar  los  corales  ,  las  algas  y  los  peces  desde  el  sofá  .",plexiglas,np00000,plexiglas,de,de,SPS00,paneles,panel,NCMP000,sus,su,DP3CP0,a,a,SPS00,gracias,gracia,NCFP000,(,(,Fpa,polimetilmetacrilato,polimetilmetacrilato,NCMS000,),),Fpt,se,se,P00CN000,pueden,poder,VMIP3P0,2014-09-22,2014,2010,NCMP000 SPS00 Plexiglas Fpa NCMS000,SPS00 Plexiglas Fpa,NCMP000 SPS00 Plexiglas,DP3CP0 NCMP000 SPS00 Plexiglas,SPS00 DP3CP0 NCMP000 SPS00 Plexiglas,Plexiglas Fpa NCMS000,Plexiglas Fpa NCMS000 Fpt,Plexiglas Fpa NCMS000 Fpt P00CN000,panel de Plexiglas ( polimetilmetacrilato,de Plexiglas (,panel de Plexiglas,su panel de Plexiglas,a su panel de Plexiglas,Plexiglas ( polimetilmetacrilato,Plexiglas ( polimetilmetacrilato ),Plexiglas ( polimetilmetacrilato ) se
