url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elmostrador.cl/sin-editar/2014/01/22/los-ultimos-nombres-para-el-gabinete-de-bachelet/,elmostrador.cl,2014-01-24,Chile,Teplizky/NP00000/teplizky,"El  actual  timonel  del  Partido  Radical  ,  José  Antonio  Gómez  ,  sería  nombrado  ministro  de  Minería  ,  una  cartera  que  otrora  estuvo  en  manos  del  radicalismo  ,  de  una  de  sus  figuras  emblemáticas  ,  Benjamin Teplizky  .",teplizky,np00000,teplizky,Benjamin,benjamin,NP00000,",",",",Fc,emblemáticas,emblemático,AQ0FP0,figuras,figura,NCFP000,sus,su,DP3CP0,.,.,Fp,,,,,,,,,,,,,2014-01-24,2014,2010,,NP00000 Pliz Fp,Fc NP00000 Pliz,AQ0FP0 Fc NP00000 Pliz,NCFP000 AQ0FP0 Fc NP00000 Pliz,,,,,benjamin Pliz .,", benjamin Pliz","emblemático , benjamin Pliz","figura emblemático , benjamin Pliz",,,
http://ladiaria.com.uy/articulo/2014/1/murgas-de-vuelta/,ladiaria.com.uy,2014-01-27,Uruguay,frenteamplización/NCFS000/frenteamplización,"Ya  superada  la  dictadura  ,  comenzó  la frenteamplización  de  muchas  murgas  ,  un  proceso  lento  pero  constante  ,  en  cuyo  relato  los  partidos  tradicionales  se  convirtieron  en  el  blanco  de  todas  las  burlas  y  las  críticas  ,  mientras  que  la  esperanza  absoluta  de  un  cambio  quedó  depositada  en  el  triunfo  electoral  del  Frente  Amplio  (  FA  )  .",frenteamplización,ncfs000,frenteamplización,la,el,DA0FS0,comenzó,comenzar,VMIS3S0,",",",",Fc,dictadura,dictadura,NCFS000,la,el,DA0FS0,de,de,SPS00,muchas,mucho,DI0FP0,murgas,murga,NCFP000,",",",",Fc,un,uno,DI0MS0,2014-01-27,2014,2010,VMIS3S0 DA0FS0 Pliz SPS00 DI0FP0,DA0FS0 Pliz SPS00,VMIS3S0 DA0FS0 Pliz,Fc VMIS3S0 DA0FS0 Pliz,NCFS000 Fc VMIS3S0 DA0FS0 Pliz,Pliz SPS00 DI0FP0,Pliz SPS00 DI0FP0 NCFP000,Pliz SPS00 DI0FP0 NCFP000 Fc,comenzar el Pliz de mucho,el Pliz de,comenzar el Pliz,", comenzar el Pliz","dictadura , comenzar el Pliz",Pliz de mucho,Pliz de mucho murga,"Pliz de mucho murga ,"
http://ladiaria.com.uy/articulo/2014/1/murgas-de-vuelta/,ladiaria.com.uy,2014-01-27,Uruguay,desfrenteamplización/NCFS000/desfrenteamplización,"Compartibles  o  no  ,  las  críticas  directas  al  proyecto  frentista  y  a  varios  de  sus  dirigentes  ,  sumadas  a  las  más  abstractas  y  al  silencio  de  otros  discursos  ,  vienen  a  dar  cuenta  de  que  la desfrenteamplización  de  la  murga  ya  es  un  hecho  .",desfrenteamplización,ncfs000,desfrenteamplización,la,el,DA0FS0,que,que,CS,de,de,SPS00,cuenta,cuenta,NCFS000,dar,dar,VMN0000,de,de,SPS00,la,el,DA0FS0,murga,murga,NCFS000,ya,ya,RG,es,ser,VSIP3S0,2014-01-27,2014,2010,CS DA0FS0 Pliz SPS00 DA0FS0,DA0FS0 Pliz SPS00,CS DA0FS0 Pliz,SPS00 CS DA0FS0 Pliz,NCFS000 SPS00 CS DA0FS0 Pliz,Pliz SPS00 DA0FS0,Pliz SPS00 DA0FS0 NCFS000,Pliz SPS00 DA0FS0 NCFS000 RG,que el Pliz de el,el Pliz de,que el Pliz,de que el Pliz,cuenta de que el Pliz,Pliz de el,Pliz de el murga,Pliz de el murga ya
http://ladiaria.com.uy/articulo/2014/1/murgas-de-vuelta/,ladiaria.com.uy,2014-01-27,Uruguay,desfrenteamplización/NCFS000/desfrenteamplización,"Ya  sobre  el  final  del  segundo  gobierno  del  FA  ,  es  esperable  que  el  carnaval  2014  avance  en  su desfrenteamplización  ,  lo  cual  no  quiere  decir  que  las  murgas  dejen  de  ser  compañeras  ,  se  derechicen  o  se  estén  frivolizando  .",desfrenteamplización,ncfs000,desfrenteamplización,su,su,DP3CS0,en,en,SPS00,avance,avance,NCMS000,2014,2014,Z,carnaval,carnaval,NCMS000,",",",",Fc,lo,el,DA0NS0,cual,cual,PR0CS000,no,no,RN,quiere,querer,VMIP3S0,2014-01-27,2014,2010,SPS00 DP3CS0 Pliz Fc DA0NS0,DP3CS0 Pliz Fc,SPS00 DP3CS0 Pliz,NCMS000 SPS00 DP3CS0 Pliz,Z NCMS000 SPS00 DP3CS0 Pliz,Pliz Fc DA0NS0,Pliz Fc DA0NS0 PR0CS000,Pliz Fc DA0NS0 PR0CS000 RN,"en su Pliz , el","su Pliz ,",en su Pliz,avance en su Pliz,2014 avance en su Pliz,"Pliz , el","Pliz , el cual","Pliz , el cual no"
http://www.elcorreo.com/vizcaya/20140303/economia/incidentes-gran-escaparates-rotos-201403031054.html?utm_source=elcorreodigital.com&utm_medium=rss&utm_content=economia-rss&utm_campaign=traffic-rss,elcorreo.com,2014-03-03,Spain,komplizeak/NCMS000/komplizeak,"La  marcha  que  ha  salido  del  Sagrado  Corazón  está  encabezada  por  una  pancarta  en  la  que  se  lee  ""  Troika  eta  bere komplizeak  ,  go  home  ""  (  ""  Troika  y  sus  cómplices  ,  iros  a  casa  ""  )  .",komplizeak,ncms000,komplizeak,bere,bere,VMIP3S0,eta,eta,NCFS000,Troika,troika,NCFS000,"""","""",Fe,lee,leer,VMIP3S0,",",",",Fc,go,go,VMIP1S0,home,home,NCMS000,"""","""",Fe,(,(,Fpa,2014-03-03,2014,2010,NCFS000 VMIP3S0 Pliz Fc VMIP1S0,VMIP3S0 Pliz Fc,NCFS000 VMIP3S0 Pliz,NCFS000 NCFS000 VMIP3S0 Pliz,Fe NCFS000 NCFS000 VMIP3S0 Pliz,Pliz Fc VMIP1S0,Pliz Fc VMIP1S0 NCMS000,Pliz Fc VMIP1S0 NCMS000 Fe,"eta bere Pliz , go","bere Pliz ,",eta bere Pliz,troika eta bere Pliz,""" troika eta bere Pliz","Pliz , go","Pliz , go home","Pliz , go home """
http://www.elperiodico.com/es/noticias/economia/ertzaintza-impide-acercarse-guggenheim-cientos-manifestantes-contra-cumbre-economica-mundial-bilbao-3152770?utm_source=rss-noticias&utm_medium=feed&utm_campaign=economia,elperiodico.com,2014-03-04,===NONE===,konplizeak/NCMS000/konplizeak,"La  marcha  había  partido  a  las  10  horas  con  una  pancarta  en  la  que  se  leía  ""  Troika  eta  bere konplizeak  ,  go  home  ""  (  Troika  y  sus  cómplices  ,  iros  a  casa  )  .",konplizeak,ncms000,konplizeak,bere,bere,VMIP3S0,eta,eta,NCFS000,Troika,troika,NCFS000,"""","""",Fe,leía,leer,VMII1S0,",",",",Fc,go,go,VMIP1S0,home,home,NCMS000,"""","""",Fe,(,(,Fpa,2014-03-04,2014,2010,NCFS000 VMIP3S0 Pliz Fc VMIP1S0,VMIP3S0 Pliz Fc,NCFS000 VMIP3S0 Pliz,NCFS000 NCFS000 VMIP3S0 Pliz,Fe NCFS000 NCFS000 VMIP3S0 Pliz,Pliz Fc VMIP1S0,Pliz Fc VMIP1S0 NCMS000,Pliz Fc VMIP1S0 NCMS000 Fe,"eta bere Pliz , go","bere Pliz ,",eta bere Pliz,troika eta bere Pliz,""" troika eta bere Pliz","Pliz , go","Pliz , go home","Pliz , go home """
http://ladiaria.com.uy/articulo/2014/3/adios-carnaval/,ladiaria.com.uy,2014-03-17,Uruguay,desfrenteamplización/NCFS000/desfrenteamplización,"Hacia  fines  de  enero  escribí  sobre  la  murga  y  el  leve  pero  marcado  proceso  de desfrenteamplización  de  su  discurso  ,  que  abandonó  las  formas  casi  propagandísticas  que  había  llegado  a  asumir  para  complejizarse  en  sus  planteos  políticos  ,  tendencia  que  se  confirmó  en  este  carnaval  .",desfrenteamplización,ncfs000,desfrenteamplización,de,de,SPS00,proceso,proceso,NCMS000,marcado,marcar,VMP00SM,pero,pero,CC,leve,leve,AQ0CS0,de,de,SPS00,su,su,DP3CS0,discurso,discurso,NCMS000,",",",",Fc,que,que,PR0CN000,2014-03-17,2014,2010,NCMS000 SPS00 Pliz SPS00 DP3CS0,SPS00 Pliz SPS00,NCMS000 SPS00 Pliz,VMP00SM NCMS000 SPS00 Pliz,CC VMP00SM NCMS000 SPS00 Pliz,Pliz SPS00 DP3CS0,Pliz SPS00 DP3CS0 NCMS000,Pliz SPS00 DP3CS0 NCMS000 Fc,proceso de Pliz de su,de Pliz de,proceso de Pliz,marcar proceso de Pliz,pero marcar proceso de Pliz,Pliz de su,Pliz de su discurso,"Pliz de su discurso ,"
http://ladiaria.com.uy/articulo/2014/3/adios-carnaval/,ladiaria.com.uy,2014-03-17,Uruguay,desfrenteamplización/NCFS000/desfrenteamplización,"La desfrenteamplización  de  la  murga  ,  es  decir  ,  el  abandono  de  los  panfletos  partidarios  ,  enriquece  a  los  espectáculos  al  tornarlos  menos  predecibles  ,  más  contradictorios  (  internamente  y  entre  sí  )  .",desfrenteamplización,ncfs000,desfrenteamplización,La,el,DA0FS0,,,,,,,,,,,,,de,de,SPS00,la,el,DA0FS0,murga,murga,NCFS000,",",",",Fc,es,ser,VSIP3S0,2014-03-17,2014,2010,,DA0FS0 Pliz SPS00,,,,Pliz SPS00 DA0FS0,Pliz SPS00 DA0FS0 NCFS000,Pliz SPS00 DA0FS0 NCFS000 Fc,,el Pliz de,,,,Pliz de el,Pliz de el murga,"Pliz de el murga ,"
http://www.lavanguardia.com/local/castilla-leon/20140402/54405367920/el-112-gestiona-mas-de-una-docena-de-incidentes-relacionados-con-la-crecida-de-los-rios.html,lavanguardia.com,2014-04-02,Spain,Villasimpliz/NP00000/villasimpliz,"En  la  provincia  de  León  los  incidentes  más  destacados  se  han  producido  en  las  localidades  de Villasimpliz  ,  donde  se  ha  producido  alguna  inundación  en  las  zonas  próximas  al  puente  ,  en  Puente  de  Domingo  Flórez  ,  donde  se  ha  inundado  una  pequeña  central  hidroeléctrica  que  no  estaba  en  funcionamiento  ,  y  en  Villarrodrigo  de  Ordás  ,  donde  un  vehículo  se  ha  quedado  atrapado  debido  al  desbordamiento  del  río  aunque  finalmente  no  ha  sido  necesaria  la  intervención  de  los  bomberos  .",villasimpliz,np00000,villasimpliz,de,de,SPS00,localidades,localidad,NCFP000,las,el,DA0FP0,en,en,SPS00,producido,producir,VMP00SM,",",",",Fc,donde,donde,PR000000,se,se,P00CN000,ha,haber,VAIP3S0,producido,producir,VMP00SM,2014-04-02,2014,2010,NCFP000 SPS00 Pliz Fc PR000000,SPS00 Pliz Fc,NCFP000 SPS00 Pliz,DA0FP0 NCFP000 SPS00 Pliz,SPS00 DA0FP0 NCFP000 SPS00 Pliz,Pliz Fc PR000000,Pliz Fc PR000000 P00CN000,Pliz Fc PR000000 P00CN000 VAIP3S0,"localidad de Pliz , donde","de Pliz ,",localidad de Pliz,el localidad de Pliz,en el localidad de Pliz,"Pliz , donde","Pliz , donde se","Pliz , donde se haber"
http://www.ellitoral.com.ar/es/articulo/330617/Greve-logro-el-pasaje-al-Tour-de-Francia,ellitoral.com.ar,2014-10-10,Argentina,Pliz/NP00000/pliz,"En  una  carrera  cerrada  ,  Greve  y Pliz  rodaron  juntas  durante  toda  la  competencia  ,  logrando  un  contundente  1-2  para  el  equipo  Shimano  .",pliz,np00000,pliz,y,y,CC,Greve,greve,NP00000,",",",",Fc,cerrada,cerrar,VMP00SF,carrera,carrera,NCFS000,rodaron,rodar,VMIS3P0,juntas,junta,NCFP000,durante,durante,SPS00,toda,todo,DI0FS0,la,el,DA0FS0,2014-10-10,2014,2010,NP00000 CC Pliz VMIS3P0 NCFP000,CC Pliz VMIS3P0,NP00000 CC Pliz,Fc NP00000 CC Pliz,VMP00SF Fc NP00000 CC Pliz,Pliz VMIS3P0 NCFP000,Pliz VMIS3P0 NCFP000 SPS00,Pliz VMIS3P0 NCFP000 SPS00 DI0FS0,greve y Pliz rodar junta,y Pliz rodar,greve y Pliz,", greve y Pliz","cerrar , greve y Pliz",Pliz rodar junta,Pliz rodar junta durante,Pliz rodar junta durante todo
http://www.europapress.es/asturianu/noticia-laudiencia-decidira-esti-vienres-si-envia-xuiciu-infanta-cristina-20141103174836.html,europapress.es,2014-11-03,Spain,cómpliz/AQ0CS0/cómpliz,"L'acusación  popular  consideraba  ,  en  base  a  los  datos  aconceyaos  hasta  entós  ,  que  la  Infanta  pudo  ser  beneficiaria  directa  del  aumentu  patrimonial  supuestamente  fraudulentu  del  so  maríu  a  partir  de  los  ingresos  llograos  de  Baleares  y  la  Comunidá  Valenciana  -  unos  5,9_millones  d'  euros  -  y  ,  poro  ,  encubridora  , cómpliz  o  cooperadora  necesaria  de  l'actuación  irregular  del  Duque  ,  al  que  yá  imputaren  mes  y  mediu  antes  por  delitos  de  falsedá  documental  ,  prevaricación  ,  fraude  a  l'alministración  y  malversación  de  caudales  públicos  .",cómpliz,aq0cs0,cómpliz,",",",",Fc,encubridora,encubridor,AQ0FS0,",",",",Fc,poro,poro,NCMS000,",",",",Fc,o,o,CC,cooperadora,cooperador,AQ0FS0,necesaria,necesario,AQ0FS0,de,de,SPS00,l'actuación,l'actuación,NCFS000,2014-11-03,2014,2010,AQ0FS0 Fc Pliz CC AQ0FS0,Fc Pliz CC,AQ0FS0 Fc Pliz,Fc AQ0FS0 Fc Pliz,NCMS000 Fc AQ0FS0 Fc Pliz,Pliz CC AQ0FS0,Pliz CC AQ0FS0 AQ0FS0,Pliz CC AQ0FS0 AQ0FS0 SPS00,"encubridor , Pliz o cooperador",", Pliz o","encubridor , Pliz",", encubridor , Pliz","poro , encubridor , Pliz",Pliz o cooperador,Pliz o cooperador necesario,Pliz o cooperador necesario de
http://www.ekaenlinea.com/algunas-de-las-ofertas-para-este-viernes-negro/,ekaenlinea.com,2014-12-01,===NONE===,Multipliza/NP00000/multipliza,Tanto  Multiplica  Curridabat  como Multipliza  en  Escazú  ofrecerán  un  horario  especial  de  8  a  .  m  .  a  12  medianoche  .,multipliza,np00000,multipliza,como,como,CS,Curridabat,curridabat,NP00000,Multiplica,multiplica,NP00000,Tanto,tanto,RG,,,,en,en,SPS00,Escazú,escazú,NP00000,ofrecerán,ofrecer,VMIF3P0,un,uno,DI0MS0,horario,horario,NCMS000,2014-12-01,2014,2010,NP00000 CS Pliz SPS00 NP00000,CS Pliz SPS00,NP00000 CS Pliz,NP00000 NP00000 CS Pliz,RG NP00000 NP00000 CS Pliz,Pliz SPS00 NP00000,Pliz SPS00 NP00000 VMIF3P0,Pliz SPS00 NP00000 VMIF3P0 DI0MS0,curridabat como Pliz en escazú,como Pliz en,curridabat como Pliz,multiplica curridabat como Pliz,tanto multiplica curridabat como Pliz,Pliz en escazú,Pliz en escazú ofrecer,Pliz en escazú ofrecer uno
http://www.europapress.es/asturianu/noticia-policia-da-acabaul-secuestru-sidney-20141215174306.html,europapress.es,2014-12-15,Spain,cómpliz/AQ0CS0/cómpliz,"Ésti  ta  identificáu  yá  como  un  clérigu  radical  llamáu  Man  Maron  Monis  ,  de  50  años  d'  edá  y  al  qu'acusaron  nel  2013  de  ser cómpliz  nel  asesinatu  del  so  exmuyer  .",cómpliz,aq0cs0,cómpliz,ser,ser,VSN0000,de,de,SPS00,2013,2013,Z,nel,nel,NCMS000,qu'acusaron,qu'acusaron,VMIS3P0,nel,nel,NCMS000,asesinatu,asesinatu,NCMS000,del,de+el,SPS00+DA0MS0,so,so,SPS00,exmuyer,exmuyer,NCMS000,2014-12-15,2014,2010,SPS00 VSN0000 Pliz NCMS000 NCMS000,VSN0000 Pliz NCMS000,SPS00 VSN0000 Pliz,Z SPS00 VSN0000 Pliz,NCMS000 Z SPS00 VSN0000 Pliz,Pliz NCMS000 NCMS000,Pliz NCMS000 NCMS000 SPS00+DA0MS0,Pliz NCMS000 NCMS000 SPS00+DA0MS0 SPS00,de ser Pliz nel asesinatu,ser Pliz nel,de ser Pliz,2013 de ser Pliz,nel 2013 de ser Pliz,Pliz nel asesinatu,Pliz nel asesinatu de+el,Pliz nel asesinatu de+el so
