url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.regiondigital.com/noticias/juventud/201736-los-reyes-magos-recogeran-productos-infantiles-para-los-ninos-mas-desfavorecidos-de-la-provincia-cacerena.html,regiondigital.com,2014-01-02,===NONE===,potitos/NCMP00D/pote,"Sus  Majestades  los  Reyes  Magos  de  Oriente  ,  que  cada  año  reciben  a  los  niños  cacereños  y  placentinos  antes  de  la  cabalgata  tradicional  ,  recogerán  en  esta  ocasión  productos  infantiles  como potitos  ,  leche  ,  pañales  ,  artículos  de  higiene  o  juguetes  para  hacérselos  llegar  a  los  más  desfavorecidos  a  través  del  Banco  de  Alimentos  de  la  provincia  .",potitos,ncmp00d,pote,como,como,CS,infantiles,infantil,AQ0CP0,productos,producto,AQ0MP0,ocasión,ocasión,NCFS000,esta,este,DD0FS0,",",",",Fc,leche,leche,NCFS000,",",",",Fc,pañales,pañal,NCMP000,",",",",Fc,2014-01-02,2014,2010,AQ0CP0 CS Potitos Fc NCFS000,CS Potitos Fc,AQ0CP0 CS Potitos,AQ0MP0 AQ0CP0 CS Potitos,NCFS000 AQ0MP0 AQ0CP0 CS Potitos,Potitos Fc NCFS000,Potitos Fc NCFS000 Fc,Potitos Fc NCFS000 Fc NCMP000,"infantil como Potitos , leche","como Potitos ,",infantil como Potitos,producto infantil como Potitos,ocasión producto infantil como Potitos,"Potitos , leche","Potitos , leche ,","Potitos , leche , pañal"
http://www.regiondigital.com/noticias/juventud/201750-caja-de-ahorros-de-extremadura-celebra-la-fiesta-infantil-de-reyes-magos-en-plasencia-y-caceres.html,regiondigital.com,2014-01-02,===NONE===,potitos/NCMP00D/pote,"Se  dispondrá  de  un  punto  de  recogida  de  alimentos  para  que  ""  las  gentes  de  buen  corazón  ""  hagan  llegar  sus  donaciones  destinada  al  Banco  de  Alimentos  ,  en  especial  de  productos  para  niños  y  bebes  de  las  familias  ""  más  necesitadas  ""  , potitos  ,  leche  ,  pañales  y  productos  que  ""  son  más  difíciles  de  adquirir  para  estas  familias  ""  .",potitos,ncmp00d,pote,",",",",Fc,"""","""",Fe,necesitadas,necesitar,VMP00PF,más,más,RG,"""","""",Fe,",",",",Fc,leche,leche,NCFS000,",",",",Fc,pañales,pañal,NCMP000,y,y,CC,2014-01-02,2014,2010,Fe Fc Potitos Fc NCFS000,Fc Potitos Fc,Fe Fc Potitos,VMP00PF Fe Fc Potitos,RG VMP00PF Fe Fc Potitos,Potitos Fc NCFS000,Potitos Fc NCFS000 Fc,Potitos Fc NCFS000 Fc NCMP000,""" , Potitos , leche",", Potitos ,",""" , Potitos","necesitar "" , Potitos","más necesitar "" , Potitos","Potitos , leche","Potitos , leche ,","Potitos , leche , pañal"
http://www.elcomercio.es/v/20140103/siero-centro/desnutricion-infantil-sensibiliza-fresneda-20140103.html?utm_source=elcomerciodigital.com&utm_medium=rss&utm_content=siero-rss&utm_campaign=traffic-rss,elcomercio.es,2014-01-03,Spain,potitos/NCMP00D/pote,"En  su  mesa  recogió  un  total  de  101  botes  de  leche  en  polvo  ,  10  tetrabriks  de  leche  infantil  ,  189  cajas  de  papillas  infantiles  ,  247  packs  de potitos  y  otras  39  cajas  de  alimentos  infantiles  .",potitos,ncmp00d,pote,de,de,SPS00,packs,pack,NCMP000,247,247,Z,",",",",Fc,infantiles,infantil,AQ0CP0,y,y,CC,otras,otro,DI0FP0,39,39,Z,cajas,caja,NCFP000,de,de,SPS00,2014-01-03,2014,2010,NCMP000 SPS00 Potitos CC DI0FP0,SPS00 Potitos CC,NCMP000 SPS00 Potitos,Z NCMP000 SPS00 Potitos,Fc Z NCMP000 SPS00 Potitos,Potitos CC DI0FP0,Potitos CC DI0FP0 Z,Potitos CC DI0FP0 Z NCFP000,pack de Potitos y otro,de Potitos y,pack de Potitos,247 pack de Potitos,", 247 pack de Potitos",Potitos y otro,Potitos y otro 39,Potitos y otro 39 caja
http://www.elcomercio.es/v/20140103/siero-centro/desnutricion-infantil-sensibiliza-fresneda-20140103.html?utm_source=elcomerciodigital.com&utm_medium=rss&utm_content=siero-rss&utm_campaign=traffic-rss,elcomercio.es,2014-01-03,Spain,potitos/NCMP00D/pote,"Me  puse  en  contacto  con  los  responsables  del  Banco  de  Alimentos  y  me  comentaron  que  se  necesitaba  sobre  todo potitos  ,  leche  en  polvo  ,  de  continuación  y  de  crecimiento  ,  cereales  ,  galletas  ,  dodotis  y  especialmente  aceite  porque  les  llegaban  muchos  productos  no  perecederos  como  macarrones  o  judías  pero  no  tenían  aceite  ""  .",potitos,ncmp00d,pote,todo,todo,DI0MS0,sobre,sobre,SPS00,necesitaba,necesitar,VMII3S0,se,se,P00CN000,que,que,CS,",",",",Fc,leche,leche,NCFS000,en,en,SPS00,polvo,polvo,NCMS000,",",",",Fc,2014-01-03,2014,2010,SPS00 DI0MS0 Potitos Fc NCFS000,DI0MS0 Potitos Fc,SPS00 DI0MS0 Potitos,VMII3S0 SPS00 DI0MS0 Potitos,P00CN000 VMII3S0 SPS00 DI0MS0 Potitos,Potitos Fc NCFS000,Potitos Fc NCFS000 SPS00,Potitos Fc NCFS000 SPS00 NCMS000,"sobre todo Potitos , leche","todo Potitos ,",sobre todo Potitos,necesitar sobre todo Potitos,se necesitar sobre todo Potitos,"Potitos , leche","Potitos , leche en","Potitos , leche en polvo"
http://www.elperiodicoextremadura.com/noticias/caceres/reyes-magos-recibiran-ninos-manana-bombo_778446.html,elperiodicoextremadura.com,2014-01-03,===NONE===,potitos/NCMP00D/pote,"El  evento  ,  organizado  por  la  Obra  Social  de  Caja  Extremadura  ,  adquirirá  este  año  un  tinte  solidario  ,  ya  que  los  pequeños  que  se  acerquen  a  darle  sus  cartas  con  sus  deseos  a  Melchor  ,  Gaspar  y  Baltasar  pueden  entregar  juguetes  ,  kilos  de  alimentos  u  otros  productos  infantiles  (  pañales  ,  material  de  ase  , potitos  ,  ...  )  que  serán  repartidos  por  el  Banco  de  Alimentos  entre  los  niños  necesitados  de  la  provincia  .",potitos,ncmp00d,pote,",",",",Fc,ase,asar,VMSP3S0,de,de,SPS00,material,material,NCMS000,",",",",Fc,",",",",Fc,...,...,Fs,),),Fpt,que,que,PR0CN000,serán,ser,VSIF3P0,2014-01-03,2014,2010,VMSP3S0 Fc Potitos Fc Fs,Fc Potitos Fc,VMSP3S0 Fc Potitos,SPS00 VMSP3S0 Fc Potitos,NCMS000 SPS00 VMSP3S0 Fc Potitos,Potitos Fc Fs,Potitos Fc Fs Fpt,Potitos Fc Fs Fpt PR0CN000,"asar , Potitos , ...",", Potitos ,","asar , Potitos","de asar , Potitos","material de asar , Potitos","Potitos , ...","Potitos , ... )","Potitos , ... ) que"
http://www.lavozdegalicia.es/noticia/santiago/2014/01/04/red-solidaria-vispera-reyesun-hombre-resulta-herido-atropellado-junto-estacion-busesmanos-unidas-lleno-concierto-contra-hambre-aniversario-misa-canonigo-jenaro-cebrian/0003_201401S4C4995.htm,lavozdegalicia.es,2014-01-05,Spain,potitos/NCMP00D/pote,"Si  bien  los  juguetes  son  la  prioridad  de  estos  días  ,  la  organización  también  llama  a  la  solidaridad  para  que  en  las  donaciones  de  alimentos  que  se  hacen  tanto  ahora  como  el  resto  del  año  se  incluya  comida  para  bebés  .  ""  La  leche  infantil  ,  los potitos  o  los  cereales  infantiles  ""  son  muy  necesarios  ,  ya  que  se  trata  de  ""  alimentos  caros  que  son  fundamentales  ""  para  las  familias  que  acuden  a  la  organización  Red  Madre  . </doc>",potitos,ncmp00d,pote,los,el,DA0MP0,",",",",Fc,infantil,infantil,AQ0CS0,leche,leche,NCFS000,La,el,DA0FS0,o,o,CC,los,el,DA0MP0,cereales,cereal,NCMP000,infantiles,infantil,AQ0CP0,"""","""",Fe,2014-01-05,2014,2010,Fc DA0MP0 Potitos CC DA0MP0,DA0MP0 Potitos CC,Fc DA0MP0 Potitos,AQ0CS0 Fc DA0MP0 Potitos,NCFS000 AQ0CS0 Fc DA0MP0 Potitos,Potitos CC DA0MP0,Potitos CC DA0MP0 NCMP000,Potitos CC DA0MP0 NCMP000 AQ0CP0,", el Potitos o el",el Potitos o,", el Potitos","infantil , el Potitos","leche infantil , el Potitos",Potitos o el,Potitos o el cereal,Potitos o el cereal infantil
http://www.laopiniondezamora.es/deportes/2014/01/08/amigos-duero-luce-solidaridad-vecina/731836.html?utm_source=rss,laopiniondezamora.es,2014-01-08,Spain,potitos/NCMP00D/pote,"Al  campeonato  organizado  por  el  C.  D.  Salamanca  Fútbol  Femenino  acudieron  los  equipos  de  categorías  alevin  e  infantil  ,  acompañados  de  sus  respectivas  familias  que  colaboraron  con  la  entrega  de  alimentos  no  perecederos  tales  como  azucar  ,  harina  o potitos  infantiles  ,  y  de  higiene  (  jabón  ,  champú  ...  )  .",potitos,ncmp00d,pote,o,o,CC,harina,harina,NCFS000,",",",",Fc,azucar,azucar,VMN0000,como,como,CS,infantiles,infantil,AQ0CP0,",",",",Fc,y,y,CC,de,de,SPS00,higiene,higiene,NCFS000,2014-01-08,2014,2010,NCFS000 CC Potitos AQ0CP0 Fc,CC Potitos AQ0CP0,NCFS000 CC Potitos,Fc NCFS000 CC Potitos,VMN0000 Fc NCFS000 CC Potitos,Potitos AQ0CP0 Fc,Potitos AQ0CP0 Fc CC,Potitos AQ0CP0 Fc CC SPS00,"harina o Potitos infantil ,",o Potitos infantil,harina o Potitos,", harina o Potitos","azucar , harina o Potitos","Potitos infantil ,","Potitos infantil , y","Potitos infantil , y de"
http://www.diariodeleon.es/noticias/deportes/ademar-juega-caritas_857681.html,diariodeleon.es,2014-01-11,Spain,potitos/NCMP00D/pote,"No  habrá  que  pasar  por  taquilla  ,  aunque  todo  aquel  que  quiera  acudir  al  partido  deberá  llevar  ,  al  menos  ,  dos  kilos  de  productos  no  perecederos  ,  ""  sobre  todo  alimentos  infantiles  ""  ,  reclamó  ayer  la  responsable  de  Cáritas  en  León  ,  Beatriz  Gallego  ,  que  confío  en  la  colaboración  ciudadana  para  paliar  la  necesidad  que  existe  de  ""  pañales  , potitos  ,  leche  maternizada  o  papillas  ""  .",potitos,ncmp00d,pote,",",",",Fc,pañales,pañal,NCMP000,"""","""",Fe,de,de,SPS00,existe,existir,VMIP3S0,",",",",Fc,leche,leche,NCFS000,maternizada,maternizada,VMP00SF,o,o,CC,papillas,papilla,NCFP000,2014-01-11,2014,2010,NCMP000 Fc Potitos Fc NCFS000,Fc Potitos Fc,NCMP000 Fc Potitos,Fe NCMP000 Fc Potitos,SPS00 Fe NCMP000 Fc Potitos,Potitos Fc NCFS000,Potitos Fc NCFS000 VMP00SF,Potitos Fc NCFS000 VMP00SF CC,"pañal , Potitos , leche",", Potitos ,","pañal , Potitos",""" pañal , Potitos","de "" pañal , Potitos","Potitos , leche","Potitos , leche maternizada","Potitos , leche maternizada o"
http://www.ideal.es/granada/20140113/local/granada/medicos-vagabundos-201401130001.html?utm_source=ideal.es&utm_medium=rss&utm_content=granada-rss&utm_campaign=traffic-rss,ideal.es,2014-01-13,Spain,potitos/NCMP00D/pote,"""  Damos  unos  690 potitos  al  mes  a  las  familias  con  hijos  pequeños  .",potitos,ncmp00d,pote,690,690,Z,unos,uno,DI0MP0,Damos,dar,VMIP1P0,"""","""",Fe,,,,al,a+el,SPS00+DA0MS0,mes,mes,NCMS000,a,a,SPS00,las,el,DA0FP0,familias,familia,NCFP000,2014-01-13,2014,2010,DI0MP0 Z Potitos SPS00+DA0MS0 NCMS000,Z Potitos SPS00+DA0MS0,DI0MP0 Z Potitos,VMIP1P0 DI0MP0 Z Potitos,Fe VMIP1P0 DI0MP0 Z Potitos,Potitos SPS00+DA0MS0 NCMS000,Potitos SPS00+DA0MS0 NCMS000 SPS00,Potitos SPS00+DA0MS0 NCMS000 SPS00 DA0FP0,uno 690 Potitos a+el mes,690 Potitos a+el,uno 690 Potitos,dar uno 690 Potitos,""" dar uno 690 Potitos",Potitos a+el mes,Potitos a+el mes a,Potitos a+el mes a el
http://www.farodevigo.es/gran-vigo/2014/01/14/banco-tiempo-aumenta-credito/947269.html?utm_medium=rss,farodevigo.es,2014-01-14,Spain,potitos/NCMP00D/pote,"De  esta  forma  ,  en  la  reciente  campaña  de  Navidad  se  recogieron  97  kilogramos  de  alimentos  para  los  niños  -  leche  ,  cereales  y potitos  -  ,  108  juguetes  y  pañales  ,  así  como  una  veintena  de  bolsas  de  ropa  en  los  centros  de  Casco  Vello  ,  Coruxo  ,  Teis  y  Saiáns  .",potitos,ncmp00d,pote,y,y,CC,cereales,cereal,NCMP000,",",",",Fc,leche,leche,NCFS000,-,-,Fg,-,-,Fg,",",",",Fc,108,108,Z,juguetes,juguete,NCMP000,y,y,CC,2014-01-14,2014,2010,NCMP000 CC Potitos Fg Fc,CC Potitos Fg,NCMP000 CC Potitos,Fc NCMP000 CC Potitos,NCFS000 Fc NCMP000 CC Potitos,Potitos Fg Fc,Potitos Fg Fc Z,Potitos Fg Fc Z NCMP000,"cereal y Potitos - ,",y Potitos -,cereal y Potitos,", cereal y Potitos","leche , cereal y Potitos","Potitos - ,","Potitos - , 108","Potitos - , 108 juguete"
