url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.expansion.com/fueradeserie/cuerpo/2016/03/28/56f26d75ca474107188b457c.html,expansion.com,2016-03-29,Spain,Roacután/NP00000/roacután,"Concebida  como  crema  antiaging  ,  también  la  están  prescribiendo  los  especialiastas  a  personas  con  tratamientos  de Roacután  o  Retinol  ,  así  como  en  después  de  intervenciones  con  láser  . </doc>",roacután,np00000,roacután,de,de,SPS00,tratamientos,tratamiento,NCMP000,con,con,SPS00,personas,persona,NCFP000,a,a,SPS00,o,o,CC,Retinol,retinol,NP00000,",",",",Fc,así,así,RG,como,como,CS,2016-03-29,2016,2010,NCMP000 SPS00 Roacután CC NP00000,SPS00 Roacután CC,NCMP000 SPS00 Roacután,SPS00 NCMP000 SPS00 Roacután,NCFP000 SPS00 NCMP000 SPS00 Roacután,Roacután CC NP00000,Roacután CC NP00000 Fc,Roacután CC NP00000 Fc RG,tratamiento de Roacután o retinol,de Roacután o,tratamiento de Roacután,con tratamiento de Roacután,persona con tratamiento de Roacután,Roacután o retinol,"Roacután o retinol ,","Roacután o retinol , así"
http://www.wradio.com.co/noticias/salud/me-desperte-y-tenia-bultos-en-el-menton-y-en-la-frente/20170420/nota/3441439.aspx,wradio.com.co,2017-04-20,Colombia,Roacután/NP00000/roacután,"Finalmente  Judith  decidió  empezar  un  delicado  tratamiento  con  el  fármaco  isotretinoína  ,  más  conocido  popularmente  por  su  nombre  comercial Roacután  .",roacután,np00000,roacután,comercial,comercial,AQ0CS0,nombre,nombre,NCMS000,su,su,DP3CS0,por,por,SPS00,popularmente,popularmente,RG,.,.,Fp,,,,,,,,,,,,,2017-04-20,2017,2010,,AQ0CS0 Roacután Fp,NCMS000 AQ0CS0 Roacután,DP3CS0 NCMS000 AQ0CS0 Roacután,SPS00 DP3CS0 NCMS000 AQ0CS0 Roacután,,,,,comercial Roacután .,nombre comercial Roacután,su nombre comercial Roacután,por su nombre comercial Roacután,,,
http://www.wradio.com.co/noticias/salud/me-desperte-y-tenia-bultos-en-el-menton-y-en-la-frente/20170420/nota/3441439.aspx,wradio.com.co,2017-04-20,Colombia,Roacután/NP00000/roacután,"En  el  pasado  se  asoció  al Roacután  a  un  mayor  riesgo  de  depresión  o  suicidio  ,  pero  no  se  ha  probado  que  haya  una  relación  causal  con  el  tratamiento  .",roacután,np00000,roacután,al,a+el,SPS00+DA0MS0,asoció,asociar,VMIS3S0,se,se,P00CN000,pasado,pasado,NCMS000,el,el,DA0MS0,a,a,SPS00,un,uno,DI0MS0,mayor,mayor,AQ0CS0,riesgo,riesgo,NCMS000,de,de,SPS00,2017-04-20,2017,2010,VMIS3S0 SPS00+DA0MS0 Roacután SPS00 DI0MS0,SPS00+DA0MS0 Roacután SPS00,VMIS3S0 SPS00+DA0MS0 Roacután,P00CN000 VMIS3S0 SPS00+DA0MS0 Roacután,NCMS000 P00CN000 VMIS3S0 SPS00+DA0MS0 Roacután,Roacután SPS00 DI0MS0,Roacután SPS00 DI0MS0 AQ0CS0,Roacután SPS00 DI0MS0 AQ0CS0 NCMS000,asociar a+el Roacután a uno,a+el Roacután a,asociar a+el Roacután,se asociar a+el Roacután,pasado se asociar a+el Roacután,Roacután a uno,Roacután a uno mayor,Roacután a uno mayor riesgo
http://www.wradio.com.co/noticias/salud/me-desperte-y-tenia-bultos-en-el-menton-y-en-la-frente/20170420/nota/3441439.aspx,wradio.com.co,2017-04-20,Colombia,Roacután/NP00000/roacután,"Me  ha  cambiado  la  vida  completamente  ""  ,  le  dijo  a  la  BBC  después  de  cuatro  meses  tomando Roacután  .",roacután,np00000,roacután,tomando,tomar,VMG0000,meses,mes,NCMP000,cuatro,4,Z,de,de,SPS00,después,después,RG,.,.,Fp,,,,,,,,,,,,,2017-04-20,2017,2010,,VMG0000 Roacután Fp,NCMP000 VMG0000 Roacután,Z NCMP000 VMG0000 Roacután,SPS00 Z NCMP000 VMG0000 Roacután,,,,,tomar Roacután .,mes tomar Roacután,4 mes tomar Roacután,de 4 mes tomar Roacután,,,
http://www.elciudadano.cl/tendencias/desperto-y-vio-que-tenia-algo-extrano-en-la-cara-cuando-miro-mas-de-cerca-supo-la-terrible-verdad/05/18/,elciudadano.cl,2017-05-18,Chile,Roacután/NP00000/roacután,"Finalmente  Judith  decidió  empezar  un  delicado  tratamiento  con  el  fármaco  isotretinoína  ,  más  conocido  popularmente  por  su  nombre  comercial Roacután  .",roacután,np00000,roacután,comercial,comercial,AQ0CS0,nombre,nombre,NCMS000,su,su,DP3CS0,por,por,SPS00,popularmente,popularmente,RG,.,.,Fp,,,,,,,,,,,,,2017-05-18,2017,2010,,AQ0CS0 Roacután Fp,NCMS000 AQ0CS0 Roacután,DP3CS0 NCMS000 AQ0CS0 Roacután,SPS00 DP3CS0 NCMS000 AQ0CS0 Roacután,,,,,comercial Roacután .,nombre comercial Roacután,su nombre comercial Roacután,por su nombre comercial Roacután,,,
http://www.elciudadano.cl/tendencias/desperto-y-vio-que-tenia-algo-extrano-en-la-cara-cuando-miro-mas-de-cerca-supo-la-terrible-verdad/05/18/,elciudadano.cl,2017-05-18,Chile,Roacután/NP00000/roacután,"En  el  pasado  se  asoció  al Roacután  a  un  mayor  riesgo  de  depresión  o  suicidio  ,  pero  no  se  ha  probado  que  haya  una  relación  causal  con  el  tratamiento  .",roacután,np00000,roacután,al,a+el,SPS00+DA0MS0,asoció,asociar,VMIS3S0,se,se,P00CN000,pasado,pasado,NCMS000,el,el,DA0MS0,a,a,SPS00,un,uno,DI0MS0,mayor,mayor,AQ0CS0,riesgo,riesgo,NCMS000,de,de,SPS00,2017-05-18,2017,2010,VMIS3S0 SPS00+DA0MS0 Roacután SPS00 DI0MS0,SPS00+DA0MS0 Roacután SPS00,VMIS3S0 SPS00+DA0MS0 Roacután,P00CN000 VMIS3S0 SPS00+DA0MS0 Roacután,NCMS000 P00CN000 VMIS3S0 SPS00+DA0MS0 Roacután,Roacután SPS00 DI0MS0,Roacután SPS00 DI0MS0 AQ0CS0,Roacután SPS00 DI0MS0 AQ0CS0 NCMS000,asociar a+el Roacután a uno,a+el Roacután a,asociar a+el Roacután,se asociar a+el Roacután,pasado se asociar a+el Roacután,Roacután a uno,Roacután a uno mayor,Roacután a uno mayor riesgo
http://www.elciudadano.cl/tendencias/desperto-y-vio-que-tenia-algo-extrano-en-la-cara-cuando-miro-mas-de-cerca-supo-la-terrible-verdad/05/18/,elciudadano.cl,2017-05-18,Chile,Roacután/NP00000/roacután,"Me  ha  cambiado  la  vida  completamente  ""  ,  le  dijo  a  la  BBC  después  de  cuatro  meses  tomando Roacután  .  ""  Tengo  una  autoestima  mucho  mayor  .",roacután,np00000,roacután,tomando,tomar,VMG0000,meses,mes,NCMP000,cuatro,4,Z,de,de,SPS00,después,después,RG,.,.,Fp,"""","""",Fe,Tengo,tener,VMIP1S0,una,uno,DI0FS0,autoestima,autoestima,NCFS000,2017-05-18,2017,2010,NCMP000 VMG0000 Roacután Fp Fe,VMG0000 Roacután Fp,NCMP000 VMG0000 Roacután,Z NCMP000 VMG0000 Roacután,SPS00 Z NCMP000 VMG0000 Roacután,Roacután Fp Fe,Roacután Fp Fe VMIP1S0,Roacután Fp Fe VMIP1S0 DI0FS0,"mes tomar Roacután . """,tomar Roacután .,mes tomar Roacután,4 mes tomar Roacután,de 4 mes tomar Roacután,"Roacután . ""","Roacután . "" tener","Roacután . "" tener uno"
http://www.elmundo.es/vida-sana/bienestar/2018/03/21/5aabc2d3e2704eb1768b45c5.html,elmundo.es,2018-03-21,Spain,roacután/NCMS000/roacután,"Mientras  tanto  ,  el  único  principio  activo  que  puede  presumir  de  curar  el  acné  severo  es  la  isotretinoína  ,  más  conocido  por  uno  de  sus  nombres  comerciales  , roacután  .",roacután,ncms000,roacután,",",",",Fc,comerciales,comercial,AQ0CP0,nombres,nombre,NCMP000,sus,su,DP3CP0,de,de,SPS00,.,.,Fp,,,,,,,,,,,,,2018-03-21,2018,2010,,Fc Roacután Fp,AQ0CP0 Fc Roacután,NCMP000 AQ0CP0 Fc Roacután,DP3CP0 NCMP000 AQ0CP0 Fc Roacután,,,,,", Roacután .","comercial , Roacután","nombre comercial , Roacután","su nombre comercial , Roacután",,,
https://www.elespectador.com/noticias/salud/medicamento-para-el-acne-induce-la-depresion-articulo-752345,elespectador.com,2018-04-26,United States,Roacután/NP00000/roacután,"El  medicamento  ,  comúnmente  conocido  como Roacután  ,  Isoface  o  Dercutan  ,  se  suministra  por  vía  oral  .",roacután,np00000,roacután,como,como,CS,conocido,conocer,VMP00SM,comúnmente,comúnmente,RG,",",",",Fc,medicamento,medicamento,NCMS000,",",",",Fc,Isoface,isoface,NP00000,o,o,CC,Dercutan,dercutan,NP00000,",",",",Fc,2018-04-26,2018,2010,VMP00SM CS Roacután Fc NP00000,CS Roacután Fc,VMP00SM CS Roacután,RG VMP00SM CS Roacután,Fc RG VMP00SM CS Roacután,Roacután Fc NP00000,Roacután Fc NP00000 CC,Roacután Fc NP00000 CC NP00000,"conocer como Roacután , isoface","como Roacután ,",conocer como Roacután,comúnmente conocer como Roacután,", comúnmente conocer como Roacután","Roacután , isoface","Roacután , isoface o","Roacután , isoface o dercutan"
https://www.elespectador.com/noticias/salud/medicamento-para-el-acne-induce-la-depresion-articulo-752345,elespectador.com,2018-04-26,United States,roacután/NCMS000/roacután,"Cuando  tenía  18  tomó  por  prescripción  médica  isotretinoína  ,  popularmente  conocida  como roacután  ,  para  tratar  el  acné  quístico  :  granos  grandes  y  abultados  en  las  mejillas  ,  la  barbilla  ,  la  frente  ,  el  pecho  y  la  espalda  .  ""  Era  esa  época  en  la  que  uno  se  quiere  ver  bien  .",roacután,ncms000,roacután,como,como,CS,conocida,conocer,VMP00SF,popularmente,popularmente,RG,",",",",Fc,isotretinoína,isotretinoína,NCFS000,",",",",Fc,para,para,SPS00,tratar,tratar,VMN0000,el,el,DA0MS0,acné,acné,NCMS000,2018-04-26,2018,2010,VMP00SF CS Roacután Fc SPS00,CS Roacután Fc,VMP00SF CS Roacután,RG VMP00SF CS Roacután,Fc RG VMP00SF CS Roacután,Roacután Fc SPS00,Roacután Fc SPS00 VMN0000,Roacután Fc SPS00 VMN0000 DA0MS0,"conocer como Roacután , para","como Roacután ,",conocer como Roacután,popularmente conocer como Roacután,", popularmente conocer como Roacután","Roacután , para","Roacután , para tratar","Roacután , para tratar el"
