url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.frontera.info/EdicionEnlinea/Notas/Entretenimiento/02012014/791920-Como-recibieron-los-famosos-el-Ano-Nuevo.html,frontera.info,2014-01-02,Mexico,Rollerblades/NP00000/rollerblades,"La  cantante  Ale  GuzmÃ  ¡  n  pescÃ3  y  patinÃ3  en Rollerblades  ,  junto  con  su  hermano  Luis  Enrique  GuzmÃ  ¡  n  Pinal  ,  por  calles  y  parques  de  Miami  ,  ademÃ  ¡  s  caminÃ3  descalza  por  las  playas  de  arena  blanca  .",rollerblades,np00000,rollerblades,en,en,SPS00,patinÃ3,patinÃ3,Z,y,y,CC,pescÃ3,pescÃ3,Z,n,n,NCFS000,",",",",Fc,junto,junto,RG,con,con,SPS00,su,su,DP3CS0,hermano,hermano,NCMS000,2014-01-02,2014,2010,Z SPS00 Rollerblade Fc RG,SPS00 Rollerblade Fc,Z SPS00 Rollerblade,CC Z SPS00 Rollerblade,Z CC Z SPS00 Rollerblade,Rollerblade Fc RG,Rollerblade Fc RG SPS00,Rollerblade Fc RG SPS00 DP3CS0,"patinÃ3 en Rollerblade , junto","en Rollerblade ,",patinÃ3 en Rollerblade,y patinÃ3 en Rollerblade,pescÃ3 y patinÃ3 en Rollerblade,"Rollerblade , junto","Rollerblade , junto con","Rollerblade , junto con su"
http://www.mundodeportivo.com/20140420/mas-deporte/el-espectacular-nuevo-anuncio-de-voll-damm-inspirado-en-el-deporte_54405978417.html,mundodeportivo.com,2014-04-21,Spain,rollerblade/VMIP3S0/rollerblade,"La  base  son  historias  independientes  de  protagonistas  que  practican  boxeo  ,  doma  , rollerblade  ,  escalada  o  rugby  contra  viento  y  marea  vuelven  a  hacer  hincapié  en  la  actitud  de  la  marca  :  la  idea  de  luchar  por  lo  que  verdaderamente  le  gusta  a  uno  ,  cueste  lo  que  cueste  . </doc>",rollerblade,vmip3s0,rollerblade,",",",",Fc,doma,doma,NCFS000,",",",",Fc,boxeo,boxeo,NCMS000,practican,practicar,VMIP3P0,",",",",Fc,escalada,escalada,NCFS000,o,o,CC,rugby,rugby,NCMS000,contra,contra,SPS00,2014-04-21,2014,2010,NCFS000 Fc Rollerblade Fc NCFS000,Fc Rollerblade Fc,NCFS000 Fc Rollerblade,Fc NCFS000 Fc Rollerblade,NCMS000 Fc NCFS000 Fc Rollerblade,Rollerblade Fc NCFS000,Rollerblade Fc NCFS000 CC,Rollerblade Fc NCFS000 CC NCMS000,"doma , Rollerblade , escalada",", Rollerblade ,","doma , Rollerblade",", doma , Rollerblade","boxeo , doma , Rollerblade","Rollerblade , escalada","Rollerblade , escalada o","Rollerblade , escalada o rugby"
http://economia.elpais.com/economia/2015/12/18/actualidad/1450459494_810087.html#%3Fref%3Drss%26format%3Dsimple%26link%3Dlink,elpais.com,2015-12-19,Spain,Rollerblade/NP00000/rollerblade,"El  distrito  alberga  las  sedes  de  otras  importantes  marcas  como  Geox  ,  Nordica  ,  Tecnica  o Rollerblade  ,  que  mantienen  estrictas  sinergias  con  instituciones  científicas  y  en  el  campo  de  la  formación  .",rollerblade,np00000,rollerblade,o,o,CC,Tecnica,tecnica,NP00000,",",",",Fc,Nordica,nordica,NP00000,",",",",Fc,",",",",Fc,que,que,PR0CN000,mantienen,mantener,VMIP3P0,estrictas,estricto,AQ0FP0,sinergias,sinergia,NCFP000,2015-12-19,2015,2010,NP00000 CC Rollerblade Fc PR0CN000,CC Rollerblade Fc,NP00000 CC Rollerblade,Fc NP00000 CC Rollerblade,NP00000 Fc NP00000 CC Rollerblade,Rollerblade Fc PR0CN000,Rollerblade Fc PR0CN000 VMIP3P0,Rollerblade Fc PR0CN000 VMIP3P0 AQ0FP0,"tecnica o Rollerblade , que","o Rollerblade ,",tecnica o Rollerblade,", tecnica o Rollerblade","nordica , tecnica o Rollerblade","Rollerblade , que","Rollerblade , que mantener","Rollerblade , que mantener estricto"
http://www.cnnexpansion.com/lifestyle/2016/01/28/8-de-los-mejores-cruceros-en-zarpar-en-2016?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bcnnexpansion%252Fportada%2B%2528Portada%2529&utm_content=FeedBurner%2Buser%2Bview,cnnexpansion.com,2016-01-30,Mexico,Rollerblades/NP00000/rollerblades,"Su  SkyRide  -  inventado  por  la  misma  persona  que  creó  los Rollerblades  en  la  década  de  los  80  -  será  la  ""  primera  atracción  aérea  accionada  con  pedales  ""  de  la  industria  .",rollerblades,np00000,rollerblades,los,el,DA0MP0,creó,crear,VMIS3S0,que,que,PR0CN000,persona,persona,NCFS000,misma,mismo,AQ0FS0,en,en,SPS00,la,el,DA0FS0,década,década,NCFS000,de,de,SPS00,los,el,DA0MP0,2016-01-30,2016,2010,VMIS3S0 DA0MP0 Rollerblade SPS00 DA0FS0,DA0MP0 Rollerblade SPS00,VMIS3S0 DA0MP0 Rollerblade,PR0CN000 VMIS3S0 DA0MP0 Rollerblade,NCFS000 PR0CN000 VMIS3S0 DA0MP0 Rollerblade,Rollerblade SPS00 DA0FS0,Rollerblade SPS00 DA0FS0 NCFS000,Rollerblade SPS00 DA0FS0 NCFS000 SPS00,crear el Rollerblade en el,el Rollerblade en,crear el Rollerblade,que crear el Rollerblade,persona que crear el Rollerblade,Rollerblade en el,Rollerblade en el década,Rollerblade en el década de
http://www.estrelladigital.es/articulo/comunicados/patines-linea-innovacion-espanola-impide-caidas/20160331200004278732.html,estrelladigital.es,2016-03-31,Spain,Rollerblades/NP00000/rollerblades,"Así  que  San  Gabino  se  propuso  eliminar  el  movimiento  descontrolado  de  las  ruedas  y  ,  después  de  años  de  diseño  ,  nacieron  lo  que  llama  los  ' Rollerblades  del  futuro  '  ,  que  ya  cuentan  con  dos  patentes  en  trámite  .",rollerblades,np00000,rollerblades,',',Fe,los,el,DA0MP0,llama,llamar,VMIP3S0,que,que,PR0CN000,lo,el,DA0NS0,del,de+el,SPS00+DA0MS0,futuro,futuro,NCMS000,',',Fe,",",",",Fc,que,que,PR0CN000,2016-03-31,2016,2010,DA0MP0 Fe Rollerblade SPS00+DA0MS0 NCMS000,Fe Rollerblade SPS00+DA0MS0,DA0MP0 Fe Rollerblade,VMIP3S0 DA0MP0 Fe Rollerblade,PR0CN000 VMIP3S0 DA0MP0 Fe Rollerblade,Rollerblade SPS00+DA0MS0 NCMS000,Rollerblade SPS00+DA0MS0 NCMS000 Fe,Rollerblade SPS00+DA0MS0 NCMS000 Fe Fc,el ' Rollerblade de+el futuro,' Rollerblade de+el,el ' Rollerblade,llamar el ' Rollerblade,que llamar el ' Rollerblade,Rollerblade de+el futuro,Rollerblade de+el futuro ',"Rollerblade de+el futuro ' ,"
http://www.estrelladigital.es/articulo/comunicados/patines-linea-innovacion-espanola-impide-caidas/20160331200004278732.html,estrelladigital.es,2016-03-31,Spain,rollerblades/NCFP000/rollerblades,"Estos rollerblades  cuentan  con  diferentes  modelos  ,  pero  todos  ellos  tienen  en  común  estas  ruedas  que  giran  en  un  único  sentido  .",rollerblades,ncfp000,rollerblades,Estos,este,DD0MP0,,,,,,,,,,,,,cuentan,contar,VMIP3P0,con,con,SPS00,diferentes,diferente,AQ0CP0,modelos,modelo,NCCP000,",",",",Fc,2016-03-31,2016,2010,,DD0MP0 Rollerblade VMIP3P0,,,,Rollerblade VMIP3P0 SPS00,Rollerblade VMIP3P0 SPS00 AQ0CP0,Rollerblade VMIP3P0 SPS00 AQ0CP0 NCCP000,,este Rollerblade contar,,,,Rollerblade contar con,Rollerblade contar con diferente,Rollerblade contar con diferente modelo
http://www.estrelladigital.es/articulo/comunicados/patines-linea-innovacion-espanola-impide-caidas/20160331200004278732.html,estrelladigital.es,2016-03-31,Spain,rollerblades/NCFP000/rollerblades,"Para  poder  hacer  realidad  estos  patines  ,  San  Gabino  ha  iniciado  un  proyecto  de  crowdfounding  en  Kickstarter  en  el  que  pide  10.000  euros  para  realizar  la  gama  de rollerblades  SK  con  tres  modelos  distintos  :  el  SK1  ,  con  una  rueda  unidireccional  y  freno  de  talón  ;  el  SK2  con  dos  ruedas  unidireccionales  que  permiten  eliminar  el  dispositivo  de  freno  externo  ,  pero  manteniendo  la  seguridad  y  el  SK3  que  permite  patinar  en  ambas  direcciones  .",rollerblades,ncfp000,rollerblades,de,de,SPS00,gama,gama,NCFS000,la,el,DA0FS0,realizar,realizar,VMN0000,para,para,SPS00,SK,sk,NP00000,con,con,SPS00,tres,3,Z,modelos,modelo,NCCP000,distintos,distinto,AQ0MP0,2016-03-31,2016,2010,NCFS000 SPS00 Rollerblade NP00000 SPS00,SPS00 Rollerblade NP00000,NCFS000 SPS00 Rollerblade,DA0FS0 NCFS000 SPS00 Rollerblade,VMN0000 DA0FS0 NCFS000 SPS00 Rollerblade,Rollerblade NP00000 SPS00,Rollerblade NP00000 SPS00 Z,Rollerblade NP00000 SPS00 Z NCCP000,gama de Rollerblade sk con,de Rollerblade sk,gama de Rollerblade,el gama de Rollerblade,realizar el gama de Rollerblade,Rollerblade sk con,Rollerblade sk con 3,Rollerblade sk con 3 modelo
http://www.europapress.es/comunicados/sociedad/noticia-comunicado-patines-linea-innovacion-espanola-impide-caidas-20160401094227.html,europapress.es,2016-04-01,Spain,Rollerblades/NP00000/rollerblades,"Así  que  San  Gabino  se  propuso  eliminar  el  movimiento  descontrolado  de  las  ruedas  y  ,  después  de  años  de  diseño  ,  nacieron  lo  que  llama  los  ' Rollerblades  del  futuro  '  ,  que  ya  cuentan  con  dos  patentes  en  trámite  .",rollerblades,np00000,rollerblades,',',Fe,los,el,DA0MP0,llama,llamar,VMIP3S0,que,que,PR0CN000,lo,el,DA0NS0,del,de+el,SPS00+DA0MS0,futuro,futuro,NCMS000,',',Fe,",",",",Fc,que,que,PR0CN000,2016-04-01,2016,2010,DA0MP0 Fe Rollerblade SPS00+DA0MS0 NCMS000,Fe Rollerblade SPS00+DA0MS0,DA0MP0 Fe Rollerblade,VMIP3S0 DA0MP0 Fe Rollerblade,PR0CN000 VMIP3S0 DA0MP0 Fe Rollerblade,Rollerblade SPS00+DA0MS0 NCMS000,Rollerblade SPS00+DA0MS0 NCMS000 Fe,Rollerblade SPS00+DA0MS0 NCMS000 Fe Fc,el ' Rollerblade de+el futuro,' Rollerblade de+el,el ' Rollerblade,llamar el ' Rollerblade,que llamar el ' Rollerblade,Rollerblade de+el futuro,Rollerblade de+el futuro ',"Rollerblade de+el futuro ' ,"
http://www.europapress.es/comunicados/sociedad/noticia-comunicado-patines-linea-innovacion-espanola-impide-caidas-20160401094227.html,europapress.es,2016-04-01,Spain,rollerblades/NCFP000/rollerblades,"Estos rollerblades  cuentan  con  diferentes  modelos  ,  pero  todos  ellos  tienen  en  común  estas  ruedas  que  giran  en  un  único  sentido  .",rollerblades,ncfp000,rollerblades,Estos,este,DD0MP0,,,,,,,,,,,,,cuentan,contar,VMIP3P0,con,con,SPS00,diferentes,diferente,AQ0CP0,modelos,modelo,NCCP000,",",",",Fc,2016-04-01,2016,2010,,DD0MP0 Rollerblade VMIP3P0,,,,Rollerblade VMIP3P0 SPS00,Rollerblade VMIP3P0 SPS00 AQ0CP0,Rollerblade VMIP3P0 SPS00 AQ0CP0 NCCP000,,este Rollerblade contar,,,,Rollerblade contar con,Rollerblade contar con diferente,Rollerblade contar con diferente modelo
http://www.europapress.es/comunicados/sociedad/noticia-comunicado-patines-linea-innovacion-espanola-impide-caidas-20160401094227.html,europapress.es,2016-04-01,Spain,rollerblades/NCFP000/rollerblades,"En  proceso  de  financiación  Para  poder  hacer  realidad  estos  patines  ,  San  Gabino  ha  iniciado  un  proyecto  de  crowdfounding  en  Kickstarter  en  el  que  pide  10.000  euros  para  realizar  la  gama  de rollerblades  SK  con  tres  modelos  distintos  :  el  SK1  ,  con  una  rueda  unidireccional  y  freno  de  talón  ;  el  SK2  con  dos  ruedas  unidireccionales  que  permiten  eliminar  el  dispositivo  de  freno  externo  ,  pero  manteniendo  la  seguridad  y  el  SK3  que  permite  patinar  en  ambas  direcciones  .",rollerblades,ncfp000,rollerblades,de,de,SPS00,gama,gama,NCFS000,la,el,DA0FS0,realizar,realizar,VMN0000,para,para,SPS00,SK,sk,NP00000,con,con,SPS00,tres,3,Z,modelos,modelo,NCCP000,distintos,distinto,AQ0MP0,2016-04-01,2016,2010,NCFS000 SPS00 Rollerblade NP00000 SPS00,SPS00 Rollerblade NP00000,NCFS000 SPS00 Rollerblade,DA0FS0 NCFS000 SPS00 Rollerblade,VMN0000 DA0FS0 NCFS000 SPS00 Rollerblade,Rollerblade NP00000 SPS00,Rollerblade NP00000 SPS00 Z,Rollerblade NP00000 SPS00 Z NCCP000,gama de Rollerblade sk con,de Rollerblade sk,gama de Rollerblade,el gama de Rollerblade,realizar el gama de Rollerblade,Rollerblade sk con,Rollerblade sk con 3,Rollerblade sk con 3 modelo
