url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.laprovincia.es/las-palmas/2013/12/29/chiquillos-sueltos-planeta-gc/580532.html?utm_source=rss,laprovincia.es,2014-01-02,Spain,scalextric/NCMN000/scalextric,"Si  aguanta  ,  yo  también  ""  ,  decía  la  madre  de  Eros  ,  que  ha  pedido  un scalextric  para  los  Reyes  y  los  espera  nervioso  .",scalextric,ncmn000,scalextric,un,uno,DI0MS0,pedido,pedir,VMP00SM,ha,haber,VAIP3S0,que,que,PR0CN000,",",",",Fc,para,para,SPS00,los,el,DA0MP0,Reyes,reyes,NP00000,y,y,CC,los,el,DA0MP0,2014-01-02,2014,2010,VMP00SM DI0MS0 Scalextric SPS00 DA0MP0,DI0MS0 Scalextric SPS00,VMP00SM DI0MS0 Scalextric,VAIP3S0 VMP00SM DI0MS0 Scalextric,PR0CN000 VAIP3S0 VMP00SM DI0MS0 Scalextric,Scalextric SPS00 DA0MP0,Scalextric SPS00 DA0MP0 NP00000,Scalextric SPS00 DA0MP0 NP00000 CC,pedir uno Scalextric para el,uno Scalextric para,pedir uno Scalextric,haber pedir uno Scalextric,que haber pedir uno Scalextric,Scalextric para el,Scalextric para el reyes,Scalextric para el reyes y
http://www.laprovincia.es/las-palmas/2013/12/29/chiquillos-sueltos-planeta-gc/580532.html?utm_source=rss,laprovincia.es,2014-01-02,Spain,scalextric/NCMN000/scalextric,"Los  más  pequeños  ,  Enrique  y  Adrián  ,  hicieron  cola  durante  un  buen  tiempo  para  jugar  con  el scalextric  ,  mientras  que  las  tres  grandes  ,  Patricia  ,  Laura  y  Sonia  ,  ya  se  gobiernan  solas  .",scalextric,ncmn000,scalextric,el,el,DA0MS0,con,con,SPS00,jugar,jugar,VMN0000,para,para,SPS00,tiempo,tiempo,NCMS000,",",",",Fc,mientras,mientras,CS,que,que,CS,las,el,DA0FP0,tres,3,Z,2014-01-02,2014,2010,SPS00 DA0MS0 Scalextric Fc CS,DA0MS0 Scalextric Fc,SPS00 DA0MS0 Scalextric,VMN0000 SPS00 DA0MS0 Scalextric,SPS00 VMN0000 SPS00 DA0MS0 Scalextric,Scalextric Fc CS,Scalextric Fc CS CS,Scalextric Fc CS CS DA0FP0,"con el Scalextric , mientras","el Scalextric ,",con el Scalextric,jugar con el Scalextric,para jugar con el Scalextric,"Scalextric , mientras","Scalextric , mientras que","Scalextric , mientras que el"
http://www.abc.es/familia-ahorro/20140102/abci-almacen-reyes-magos-201312301527.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-01-02,Spain,scalextric/NCMN000/scalextric,"Por  ellos  han  pasado  caballos  de  madera  ,  trenes  ,  las  primeras  muñecas  Mariquita  Pérez  o  Nancy  ,  los  Juegos  Reunidos  ,  patines  ,  balones  ,  peluches  ,  tiovivos  ,  el  Cinexín  ,  Madelman  ,  los  juegos  de  indios  y  vaqueros  ,  los  castillos  ,  los  diferentes scalextric  ,  los  primeros  coches  teledirigidos  ,  etc.",scalextric,ncmn000,scalextric,diferentes,diferente,AQ0CP0,los,el,DA0MP0,",",",",Fc,castillos,castillo,NCMP000,los,el,DA0MP0,",",",",Fc,los,el,DA0MP0,primeros,1,AO0MP0,coches,coche,NCMP000,teledirigidos,teledirigir,VMP00PM,2014-01-02,2014,2010,DA0MP0 AQ0CP0 Scalextric Fc DA0MP0,AQ0CP0 Scalextric Fc,DA0MP0 AQ0CP0 Scalextric,Fc DA0MP0 AQ0CP0 Scalextric,NCMP000 Fc DA0MP0 AQ0CP0 Scalextric,Scalextric Fc DA0MP0,Scalextric Fc DA0MP0 AO0MP0,Scalextric Fc DA0MP0 AO0MP0 NCMP000,"el diferente Scalextric , el","diferente Scalextric ,",el diferente Scalextric,", el diferente Scalextric","castillo , el diferente Scalextric","Scalextric , el","Scalextric , el 1","Scalextric , el 1 coche"
http://www.farodevigo.es/portada-arousa/2013/12/30/feria-atracciones-llega-ecuador-haber/940069.html?utm_medium=rss,farodevigo.es,2014-01-02,Spain,scalextric/NCMN000/scalextric,"Las  demás  son  los  coches  de  choque  ,  el scalextric  ,  dos  hinchables  ,  las  cadenas  y  unas  camas  elásticas  .",scalextric,ncmn000,scalextric,el,el,DA0MS0,",",",",Fc,choque,choque,NCMS000,de,de,SPS00,coches,coche,NCMP000,",",",",Fc,dos,2,Z,hinchables,hinchable,AQ0CP0,",",",",Fc,las,el,DA0FP0,2014-01-02,2014,2010,Fc DA0MS0 Scalextric Fc Z,DA0MS0 Scalextric Fc,Fc DA0MS0 Scalextric,NCMS000 Fc DA0MS0 Scalextric,SPS00 NCMS000 Fc DA0MS0 Scalextric,Scalextric Fc Z,Scalextric Fc Z AQ0CP0,Scalextric Fc Z AQ0CP0 Fc,", el Scalextric , 2","el Scalextric ,",", el Scalextric","choque , el Scalextric","de choque , el Scalextric","Scalextric , 2","Scalextric , 2 hinchable","Scalextric , 2 hinchable ,"
http://www.eldiadevalladolid.com/noticia/Z3E8A14B1-C989-F1F1-BF60692C8197621C/20140102//carta/muy/mediatica,eldiadevalladolid.com,2014-01-02,Spain,Scalextric/NP00000/scalextric,"Los  personajes  Peppa  Pig  ,  Violetta  ,  los  Angry  Birds  o  la  Abeja  Maya  centran  las  peticiones  a  los  Reyes  Magos  junto  con  clásicos  como  Playmobil  , Scalextric  o  los  Lego",scalextric,np00000,scalextric,",",",",Fc,Playmobil,playmobil,NP00000,como,como,CS,clásicos,clásico,NCMP000,con,con,SPS00,o,o,CC,los,el,DA0MP0,Lego,lego,NP00000,,,,,,,2014-01-02,2014,2010,NP00000 Fc Scalextric CC DA0MP0,Fc Scalextric CC,NP00000 Fc Scalextric,CS NP00000 Fc Scalextric,NCMP000 CS NP00000 Fc Scalextric,Scalextric CC DA0MP0,Scalextric CC DA0MP0 NP00000,,"playmobil , Scalextric o el",", Scalextric o","playmobil , Scalextric","como playmobil , Scalextric","clásico como playmobil , Scalextric",Scalextric o el,Scalextric o el lego,
http://www.eldiadevalladolid.com/noticia/Z3E8A14B1-C989-F1F1-BF60692C8197621C/20140102//carta/muy/mediatica,eldiadevalladolid.com,2014-01-02,Spain,Scalextric/NP00000/scalextric,"Pero  en  una  amplia  variedad  ,  tampoco  faltan  peticiones  alrededor  de  las  nuevas  tecnologías  ,  como  pueden  ser  los  ordenadores  para  niños  ,  las  '  tablets  '  adaptadas  para  cada  edad  ,  los  juegos  interactivos  ,  electrónicos  y  científicos  ,  pero  también  otros  muñecos  articulados  clásicos  como  son  todas  las  series  de  la  compañía  Playmobil  ,  los  clásicos  circuitos  de Scalextric  e  incluso  los  más  clásicos  aún  juegos  de  mesa  ,  muñecas  o  figuras  de  plástico  .",scalextric,np00000,scalextric,de,de,SPS00,circuitos,circuito,NCMP000,clásicos,clásico,AQ0MP0,los,el,DA0MP0,",",",",Fc,e,y,CC,incluso,incluso,RG,los,el,DA0MP0,más,más,RG,clásicos,clásico,AQ0MP0,2014-01-02,2014,2010,NCMP000 SPS00 Scalextric CC RG,SPS00 Scalextric CC,NCMP000 SPS00 Scalextric,AQ0MP0 NCMP000 SPS00 Scalextric,DA0MP0 AQ0MP0 NCMP000 SPS00 Scalextric,Scalextric CC RG,Scalextric CC RG DA0MP0,Scalextric CC RG DA0MP0 RG,circuito de Scalextric y incluso,de Scalextric y,circuito de Scalextric,clásico circuito de Scalextric,el clásico circuito de Scalextric,Scalextric y incluso,Scalextric y incluso el,Scalextric y incluso el más
http://www.elnortedecastilla.es/20140102/local/segovia/concejalia-juventud-propone-actividades-201401022340.html?utm_source=elnortedecastilla.es&amputm_medium=rss&amputm_content=ultima-rss&amputm_campaign=traffic-rss,elnortedecastilla.es,2014-01-02,Spain,scalextric/NCMN000/scalextric,"Además  ,  los  menores  de  18  años  podrán  disfrutar  de  lecciones  sobre  repostería  de  chocolate  ,  cocina  del  mundo  o  un  taller  de  slot  y scalextric  .",scalextric,ncmn000,scalextric,y,y,CC,slot,slot,NCMS000,de,de,SPS00,taller,taller,NCMS000,un,uno,DI0MS0,.,.,Fp,,,,,,,,,,,,,2014-01-02,2014,2010,,CC Scalextric Fp,NCMS000 CC Scalextric,SPS00 NCMS000 CC Scalextric,NCMS000 SPS00 NCMS000 CC Scalextric,,,,,y Scalextric .,slot y Scalextric,de slot y Scalextric,taller de slot y Scalextric,,,
http://www.antena3.com/programas/espejo-publico/noticias/2013-dramatico-ano-muchas-empresas-emblematicas-espanolas_2014010300030.html,antena3.com,2014-01-03,Spain,Scalextric/NP00000/scalextric,"El  mítico Scalextric  que  acompañó  interminables  jornadas  de  juegos  desde  los  años  60  ,  vio  bajar  su  particular  bandera  a  cuadros  en  2013  .",scalextric,np00000,scalextric,mítico,mítico,AQ0MS0,El,el,DA0MS0,,,,,,,,,,que,que,PR0CN000,acompañó,acompañar,VMIS3S0,interminables,interminable,AQ0CP0,jornadas,jornada,NCFP000,de,de,SPS00,2014-01-03,2014,2010,DA0MS0 AQ0MS0 Scalextric PR0CN000 VMIS3S0,AQ0MS0 Scalextric PR0CN000,DA0MS0 AQ0MS0 Scalextric,,,Scalextric PR0CN000 VMIS3S0,Scalextric PR0CN000 VMIS3S0 AQ0CP0,Scalextric PR0CN000 VMIS3S0 AQ0CP0 NCFP000,el mítico Scalextric que acompañar,mítico Scalextric que,el mítico Scalextric,,,Scalextric que acompañar,Scalextric que acompañar interminable,Scalextric que acompañar interminable jornada
http://www.que.es/ultimas-noticias/sociedad/201401040930-regalos-para-reyes-peppa-minions.html,que.es,2014-01-04,Spain,SCALEXTRIC/NP00000/scalextric,"2  -  PARA  LOS  TRADICIONALES  ,  LA  EVOLUCIÓN  DE SCALEXTRIC  :  Unas  Navidades  no  podían  ser  Navidades  sin  el  famoso  Scalextric  en  casa  .",scalextric,np00000,scalextric,DE,de,NP00000,EVOLUCIÓN,evolución,NP00000,LA,la,NP00000,",",",",Fc,TRADICIONALES,tradicionales,NP00000,:,:,Fd,Unas,uno,DI0FP0,Navidades,navidades,NP00000,no,no,RN,podían,poder,VMII3P0,2014-01-04,2014,2010,NP00000 NP00000 Scalextric Fd DI0FP0,NP00000 Scalextric Fd,NP00000 NP00000 Scalextric,NP00000 NP00000 NP00000 Scalextric,Fc NP00000 NP00000 NP00000 Scalextric,Scalextric Fd DI0FP0,Scalextric Fd DI0FP0 NP00000,Scalextric Fd DI0FP0 NP00000 RN,evolución de Scalextric : uno,de Scalextric :,evolución de Scalextric,la evolución de Scalextric,", la evolución de Scalextric",Scalextric : uno,Scalextric : uno navidades,Scalextric : uno navidades no
http://www.que.es/ultimas-noticias/sociedad/201401040930-regalos-para-reyes-peppa-minions.html,que.es,2014-01-04,Spain,Scalextric/NP00000/scalextric,"2  -  PARA  LOS  TRADICIONALES  ,  LA  EVOLUCIÓN  DE  SCALEXTRIC  :  Unas  Navidades  no  podían  ser  Navidades  sin  el  famoso Scalextric  en  casa  .",scalextric,np00000,scalextric,famoso,famoso,AQ0MS0,el,el,DA0MS0,sin,sin,SPS00,Navidades,navidades,NP00000,ser,ser,VSN0000,en,en,SPS00,casa,casa,NCFS000,.,.,Fp,,,,,,,2014-01-04,2014,2010,DA0MS0 AQ0MS0 Scalextric SPS00 NCFS000,AQ0MS0 Scalextric SPS00,DA0MS0 AQ0MS0 Scalextric,SPS00 DA0MS0 AQ0MS0 Scalextric,NP00000 SPS00 DA0MS0 AQ0MS0 Scalextric,Scalextric SPS00 NCFS000,Scalextric SPS00 NCFS000 Fp,,el famoso Scalextric en casa,famoso Scalextric en,el famoso Scalextric,sin el famoso Scalextric,navidades sin el famoso Scalextric,Scalextric en casa,Scalextric en casa .,
