url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.fayerwayer.com/2014/01/robot-lagartija-podria-reparar-naves-en-el-espacio/,fayerwayer.com,2014-01-04,Canada,scotch/NCMN000/scotch,"Los  métodos  normales  para  adherir  cosas  no  funcionan  bien  en  el  espacio  .  ""  El scotch  ,  cinta  adhesiva  o  sensible  a  la  presión  juntaría  polvo  ,  reduciendo  su  pegajosidad  con  el  tiempo  .",scotch,ncmn000,scotch,El,el,DA0MS0,"""","""",Fe,.,.,Fp,espacio,espacio,NCMS000,el,el,DA0MS0,",",",",Fc,cinta,cinta,NCFS000,adhesiva,adhesivo,AQ0FS0,o,o,CC,sensible,sensible,AQ0CS0,2014-01-04,2014,2010,Fe DA0MS0 Scotch Fc NCFS000,DA0MS0 Scotch Fc,Fe DA0MS0 Scotch,Fp Fe DA0MS0 Scotch,NCMS000 Fp Fe DA0MS0 Scotch,Scotch Fc NCFS000,Scotch Fc NCFS000 AQ0FS0,Scotch Fc NCFS000 AQ0FS0 CC,""" el Scotch , cinta","el Scotch ,",""" el Scotch",". "" el Scotch","espacio . "" el Scotch","Scotch , cinta","Scotch , cinta adhesivo","Scotch , cinta adhesivo o"
http://economia.elpais.com/economia/2014/01/10/agencias/1389345920_383380.html,elpais.com,2014-01-10,Spain,Scotch/NP00000/scotch,"El  programa  empezará  con  el Scotch  Whisky  ,  una  importante  industria  exportadora  para  el  Reino  Unido  y  que  aporta  unos  4.000_millones  de  libras  (  4.800_millones  de  euros  )  a  la  economía  escocesa  ,  pero  luego  se  extenderá  a  otros  licores  como  el  ""  whisky  ""  irlandés  -  Irish  Whiskey  -  producido  en  Irlanda  del  Norte  y  el  brandy  de  Somerset  (  oeste  de  Inglaterra  )  .",scotch,np00000,scotch,el,el,DA0MS0,con,con,SPS00,empezará,empezar,VMIF3S0,programa,programa,NCMS000,El,el,DA0MS0,Whisky,whisky,NP00000,",",",",Fc,una,uno,DI0FS0,importante,importante,AQ0CS0,industria,industria,NCFS000,2014-01-10,2014,2010,SPS00 DA0MS0 Scotch NP00000 Fc,DA0MS0 Scotch NP00000,SPS00 DA0MS0 Scotch,VMIF3S0 SPS00 DA0MS0 Scotch,NCMS000 VMIF3S0 SPS00 DA0MS0 Scotch,Scotch NP00000 Fc,Scotch NP00000 Fc DI0FS0,Scotch NP00000 Fc DI0FS0 AQ0CS0,"con el Scotch whisky ,",el Scotch whisky,con el Scotch,empezar con el Scotch,programa empezar con el Scotch,"Scotch whisky ,","Scotch whisky , uno","Scotch whisky , uno importante"
http://economia.elpais.com/economia/2014/01/10/agencias/1389345920_383380.html,elpais.com,2014-01-10,Spain,Scotch/NP00000/scotch,"Alexander  señaló  que  el  programa  servirá  para  que  ""  la  gente  que  compra Scotch  obtenga  aquello  por  lo  que  paga  ,  el  mejor  licor  del  mundo  ""  y  reducirá  el  riesgo  de  que  marcas  falsas  ""  socaven  este  producto  único  de  exportación  global  ""  .",scotch,np00000,scotch,compra,comprar,VMIP3S0,que,que,PR0CN000,gente,gente,NCFS000,la,el,DA0FS0,"""","""",Fe,obtenga,obtener,VMSP3S0,aquello,aquel,PD0NS000,por,por,SPS00,lo,el,DA0NS0,que,que,PR0CN000,2014-01-10,2014,2010,PR0CN000 VMIP3S0 Scotch VMSP3S0 PD0NS000,VMIP3S0 Scotch VMSP3S0,PR0CN000 VMIP3S0 Scotch,NCFS000 PR0CN000 VMIP3S0 Scotch,DA0FS0 NCFS000 PR0CN000 VMIP3S0 Scotch,Scotch VMSP3S0 PD0NS000,Scotch VMSP3S0 PD0NS000 SPS00,Scotch VMSP3S0 PD0NS000 SPS00 DA0NS0,que comprar Scotch obtener aquel,comprar Scotch obtener,que comprar Scotch,gente que comprar Scotch,el gente que comprar Scotch,Scotch obtener aquel,Scotch obtener aquel por,Scotch obtener aquel por el
http://www.abc.com.py/mundo-curioso/londres-refuerza-la-proteccion-del-whisky-escoces-de-las-falsificaciones-1204453.html,abc.com.py,2014-01-10,Paraguay,Scotch/NP00000/scotch,"Durante  una  visita  a  una  destilería  en  Escocia  ,  el  secretario  de  Estado  del  Tesoro  ,  el  escocés  Danny  Alexander  ,  declaró  que  las  medidas  permitirán  ""  proteger  una  de  las  industrias  exportadoras  británicas  más  importante  y  exitosa  ""  ,  y  asegurarse  que  ""  la  gente  que  compra Scotch  sepa  bien  lo  que  compra  :  el  alcohol  más  refinado  del  mundo  ""  .",scotch,np00000,scotch,compra,comprar,VMIP3S0,que,que,PR0CN000,gente,gente,NCFS000,la,el,DA0FS0,"""","""",Fe,sepa,saber,VMSP3S0,bien,bien,RG,lo,el,DA0NS0,que,que,PR0CN000,compra,comprar,VMIP3S0,2014-01-10,2014,2010,PR0CN000 VMIP3S0 Scotch VMSP3S0 RG,VMIP3S0 Scotch VMSP3S0,PR0CN000 VMIP3S0 Scotch,NCFS000 PR0CN000 VMIP3S0 Scotch,DA0FS0 NCFS000 PR0CN000 VMIP3S0 Scotch,Scotch VMSP3S0 RG,Scotch VMSP3S0 RG DA0NS0,Scotch VMSP3S0 RG DA0NS0 PR0CN000,que comprar Scotch saber bien,comprar Scotch saber,que comprar Scotch,gente que comprar Scotch,el gente que comprar Scotch,Scotch saber bien,Scotch saber bien el,Scotch saber bien el que
http://online.wsj.com/news/articles/SB10001424052702304549504579318490763205748?mod=rss_americas_spanish&mg=reno64-wsj&url=http%253A%252F%252Fonline.wsj.com%252Farticle%252FSB10001424052702304549504579318490763205748.html%253Fmod%253Drss_americas_spanish,wsj.com,2014-01-14,USA,Scotch/NP00000/scotch,"El  portafolio  combinado  de  marcas  de  la  nueva  empresa  incluirá  al  bourbon  Jim  Beam  ,  Maker's  Mark  y  Knob  Creek  ;  el  cognac  Courvoisier  whiskey  Canadian  Club  ;  tequila  Sauza  ,  y  la  línea  de  bebidas  alcoholicas  Skinny  Girl  ,  así  como  los  whiskeys  japoneses  Yamazaki  ,  Hakushu  ,  Hibiki  y  Kakubin  ;  Bowmore Scotch  whisky  y  el  licor  Midori  . </doc>",scotch,np00000,scotch,Bowmore,bowmore,NP00000,;,;,Fx,Kakubin,kakubin,NP00000,y,y,CC,Hibiki,hibiki,NP00000,whisky,whisky,NCMS000,y,y,CC,el,el,DA0MS0,licor,licor,NCMS000,Midori,midori,NP00000,2014-01-14,2014,2010,Fx NP00000 Scotch NCMS000 CC,NP00000 Scotch NCMS000,Fx NP00000 Scotch,NP00000 Fx NP00000 Scotch,CC NP00000 Fx NP00000 Scotch,Scotch NCMS000 CC,Scotch NCMS000 CC DA0MS0,Scotch NCMS000 CC DA0MS0 NCMS000,; bowmore Scotch whisky y,bowmore Scotch whisky,; bowmore Scotch,kakubin ; bowmore Scotch,y kakubin ; bowmore Scotch,Scotch whisky y,Scotch whisky y el,Scotch whisky y el licor
http://www.awe24.com/r16938,awe24.com,2014-01-16,Aruba,Scotch/NP00000/scotch,"marca  número  uno  de  Blended Scotch  Whisky  de  todo  el  mundo  ""  .",scotch,np00000,scotch,Blended,blended,NP00000,de,de,SPS00,uno,uno,PI0MS000,número,número,NCMS000,marca,marcar,VMM02S0,Whisky,whisky,NP00000,de,de,SPS00,todo,todo,DI0MS0,el,el,DA0MS0,mundo,mundo,NCMS000,2014-01-16,2014,2010,SPS00 NP00000 Scotch NP00000 SPS00,NP00000 Scotch NP00000,SPS00 NP00000 Scotch,PI0MS000 SPS00 NP00000 Scotch,NCMS000 PI0MS000 SPS00 NP00000 Scotch,Scotch NP00000 SPS00,Scotch NP00000 SPS00 DI0MS0,Scotch NP00000 SPS00 DI0MS0 DA0MS0,de blended Scotch whisky de,blended Scotch whisky,de blended Scotch,uno de blended Scotch,número uno de blended Scotch,Scotch whisky de,Scotch whisky de todo,Scotch whisky de todo el
http://www.awe24.com/r16938,awe24.com,2014-01-16,Aruba,Scotch/NP00000/scotch, Scotch  Whisky  -  la  voz  de  nuestros  whiskies  y  nuestra  herencia  .,scotch,np00000,scotch,,,,,,,,,,,,,,,,Whisky,whisky,NP00000,-,-,Fg,la,el,DA0FS0,voz,voz,NCFS000,de,de,SPS00,2014-01-16,2014,2010,,,,,,Scotch NP00000 Fg,Scotch NP00000 Fg DA0FS0,Scotch NP00000 Fg DA0FS0 NCFS000,,,,,,Scotch whisky -,Scotch whisky - el,Scotch whisky - el voz
http://www.abc.es/internacional/20140117/abci-escocia-independencia-hague-201401171349.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-01-17,Spain,Scotch/NCMN000/scotch,"""  Hizo  falta  movilizar  toda  la  influencia  diplomática  del  Reino  Unido  para  lograr  la  protección  del  whisky  en  China  ,  de  manera  que  se  vende  en  Shanghai  como  "" Scotch  ""  sea  de  verdad  ""  hecho  en  Escocia  ""  ,  explica  el  documento  .",scotch,ncmn000,scotch,"""","""",Fe,como,como,CS,Shanghai,shanghai,NP00000,en,en,SPS00,vende,vender,VMIP3S0,"""","""",Fe,sea,ser,VSSP1S0,de,de,SPS00,verdad,verdad,NCFS000,"""","""",Fe,2014-01-17,2014,2010,CS Fe Scotch Fe VSSP1S0,Fe Scotch Fe,CS Fe Scotch,NP00000 CS Fe Scotch,SPS00 NP00000 CS Fe Scotch,Scotch Fe VSSP1S0,Scotch Fe VSSP1S0 SPS00,Scotch Fe VSSP1S0 SPS00 NCFS000,"como "" Scotch "" ser",""" Scotch ""","como "" Scotch","shanghai como "" Scotch","en shanghai como "" Scotch","Scotch "" ser","Scotch "" ser de","Scotch "" ser de verdad"
http://www.clarin.com/sociedad/museo-convierte-set-filmacion_0_1072692842.html,clarin.com,2014-01-25,Argentina,scotch/NCMN000/scotch,"El  sostenía  que  en  el  origen  del  continente  existían  unos  gigantes  albinos  ,  y  que  los  mapuches  se  relacionan  con  eso  .  ""  Puede  verse  ,  en  la  filmación  ,  cómo  unos  muñecos  -  con  algo  de  marioneta  hecha  de  papel  ,  alambre  y  cinta scotch  ,  a  tamaño  casi  natural  -  van  moviéndose  por  la  escena  ,  cambiando  de  forma  ,  fundiéndose  de  repente  con  las  paredes  ,  con  un  reloj  ,  con  las  ventanas  y  con  el  propio  suelo  .",scotch,ncmn000,scotch,cinta,cinta,NCFS000,y,y,CC,alambre,alambre,NCMS000,",",",",Fc,papel,papel,NCMS000,",",",",Fc,a,a,SPS00,tamaño,tamaño,NCMS000,casi,casi,RG,natural,natural,AQ0CS0,2014-01-25,2014,2010,CC NCFS000 Scotch Fc SPS00,NCFS000 Scotch Fc,CC NCFS000 Scotch,NCMS000 CC NCFS000 Scotch,Fc NCMS000 CC NCFS000 Scotch,Scotch Fc SPS00,Scotch Fc SPS00 NCMS000,Scotch Fc SPS00 NCMS000 RG,"y cinta Scotch , a","cinta Scotch ,",y cinta Scotch,alambre y cinta Scotch,", alambre y cinta Scotch","Scotch , a","Scotch , a tamaño","Scotch , a tamaño casi"
http://www.mercado.com.ar/notas/protagonistas/8014712/3m-presenta-propuestas-para-la-vuelta-al-colegio,mercado.com.ar,2014-01-29,Argentina,Scotch/NP00000/scotch," Scotch  renueva  la  propuesta  con  sus  clásicas  cinta  Mágica  (  invisible  )  ,  que  permite  rotular  sobre  ella  ,  y  Cristal  ,  transparente  y  con  eficaz  pegamento  . </doc>",scotch,np00000,scotch,,,,,,,,,,,,,,,,renueva,renovar,VMIP3S0,la,el,DA0FS0,propuesta,propuesta,NCFS000,con,con,SPS00,sus,su,DP3CP0,2014-01-29,2014,2010,,,,,,Scotch VMIP3S0 DA0FS0,Scotch VMIP3S0 DA0FS0 NCFS000,Scotch VMIP3S0 DA0FS0 NCFS000 SPS00,,,,,,Scotch renovar el,Scotch renovar el propuesta,Scotch renovar el propuesta con
