url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://economia.elpais.com/economia/2014/04/22/actualidad/1398156904_400624.html,elpais.com,2014-04-22,Spain,Sensodyne/NP00000/sensodyne,"Glaxo  tendrá  la  mayoría  del  capital  en  la  sociedad  ,  en  la  que  se  incluirán  marcas  como  el  analgésico  Excedrin  y  la  pasta  de  dientes Sensodyne  .",sensodyne,np00000,sensodyne,dientes,diente,NCMP000,de,de,SPS00,pasta,pasta,NCFS000,la,el,DA0FS0,y,y,CC,.,.,Fp,,,,,,,,,,,,,2014-04-22,2014,2010,,NCMP000 Sensodyne Fp,SPS00 NCMP000 Sensodyne,NCFS000 SPS00 NCMP000 Sensodyne,DA0FS0 NCFS000 SPS00 NCMP000 Sensodyne,,,,,diente Sensodyne .,de diente Sensodyne,pasta de diente Sensodyne,el pasta de diente Sensodyne,,,
http://www.elmundo.es/economia/2014/04/22/53565069ca47410b128b4576.html,elmundo.es,2014-04-22,Spain,Sensodyne/NP00000/sensodyne,"Así  ,  en  esta  nueva  firma  se  reunirán  marcas  como  el  analgésico  '  Excedrin  '  ,  de  Novartis  ,  y  la  pasta  de  dientes  ' Sensodyne  '  ,  de  Glaxo  .",sensodyne,np00000,sensodyne,',',Fe,dientes,diente,NCMP000,de,de,SPS00,pasta,pasta,NCFS000,la,el,DA0FS0,',',Fe,",",",",Fc,de,de,SPS00,Glaxo,glaxo,NP00000,.,.,Fp,2014-04-22,2014,2010,NCMP000 Fe Sensodyne Fe Fc,Fe Sensodyne Fe,NCMP000 Fe Sensodyne,SPS00 NCMP000 Fe Sensodyne,NCFS000 SPS00 NCMP000 Fe Sensodyne,Sensodyne Fe Fc,Sensodyne Fe Fc SPS00,Sensodyne Fe Fc SPS00 NP00000,"diente ' Sensodyne ' ,",' Sensodyne ',diente ' Sensodyne,de diente ' Sensodyne,pasta de diente ' Sensodyne,"Sensodyne ' ,","Sensodyne ' , de","Sensodyne ' , de glaxo"
http://ecodiario.eleconomista.es/salud/noticias/6007599/08/14/La-pasta-de-dientes-Colgate-Total-cancerigena.html,eleconomista.es,2014-08-13,Spain,Sensodyne/NP00000/sensodyne,"Además  de  Colgate  Total  ,  casi  200  productos  -  como Sensodyne  Total  Care  -  contienen  triclosán  .",sensodyne,np00000,sensodyne,como,como,CS,-,-,Fg,productos,producto,NCMP000,200,200,Z,casi,casi,RG,Total,total,NP00000,Care,care,NP00000,-,-,Fg,contienen,contener,VMIP3P0,triclosán,triclosán,NCMS000,2014-08-13,2014,2010,Fg CS Sensodyne NP00000 NP00000,CS Sensodyne NP00000,Fg CS Sensodyne,NCMP000 Fg CS Sensodyne,Z NCMP000 Fg CS Sensodyne,Sensodyne NP00000 NP00000,Sensodyne NP00000 NP00000 Fg,Sensodyne NP00000 NP00000 Fg VMIP3P0,- como Sensodyne total care,como Sensodyne total,- como Sensodyne,producto - como Sensodyne,200 producto - como Sensodyne,Sensodyne total care,Sensodyne total care -,Sensodyne total care - contener
http://www.noticias24.com/internacionales/noticia/86322/bbc-mundo-los-secretos-de-la-formula-1-por-fin-salen-de-la-pista/,noticias24.com,2014-08-28,"Venezuela, Bolivarian Republic of",Sensodyne/NP00000/sensodyne,"Un  ejemplo  ya  se  ha  puesto  en  práctica  en  la  planta  de  la  multinacional  farmacéutica  GlaxoSmithKline  en  Berkshire  ,  donde  se  producen  distintas  marcas  de  crema  dental  como Sensodyne  ,  Aquafresh  y  Macleans  para  el  mercado  internacional  .",sensodyne,np00000,sensodyne,como,como,CS,dental,dental,AQ0CS0,crema,crema,NCFS000,de,de,SPS00,marcas,marca,NCFP000,",",",",Fc,Aquafresh,aquafresh,NP00000,y,y,CC,Macleans,macleans,NP00000,para,para,SPS00,2014-08-28,2014,2010,AQ0CS0 CS Sensodyne Fc NP00000,CS Sensodyne Fc,AQ0CS0 CS Sensodyne,NCFS000 AQ0CS0 CS Sensodyne,SPS00 NCFS000 AQ0CS0 CS Sensodyne,Sensodyne Fc NP00000,Sensodyne Fc NP00000 CC,Sensodyne Fc NP00000 CC NP00000,"dental como Sensodyne , aquafresh","como Sensodyne ,",dental como Sensodyne,crema dental como Sensodyne,de crema dental como Sensodyne,"Sensodyne , aquafresh","Sensodyne , aquafresh y","Sensodyne , aquafresh y macleans"
http://www.galiciahoxe.com/santiago/gh/mas-de-200-odontologos-participaran-en-un-encuentro-cientifico/idEdicion-2014-11-07/idNoticia-899831/,galiciahoxe.com,2014-11-07,Spain,Sensodyne/NP00000/sensodyne,"En  el  marco  del  encuentro  se  hará  la  presentación  de  trabajos  originales  y  la  entrega  de  distintos  galardones  como  el  Premio  SEPA  Joven  Maxillaris  al  mejor  póster  de  investigación  ,  Premio  SEPA  Joven  Sunstar  al  mejor  póster  de  grado  y  Premio  SEPA  Joven  Glaxo Sensodyne  al  mejor  póster  clínico  .",sensodyne,np00000,sensodyne,Glaxo,glaxo,NP00000,Joven,joven,NP00000,SEPA,sepa,NP00000,Premio,premio,NP00000,y,y,CC,al,a+el,SPS00+DA0MS0,mejor,mejor,AQ0CS0,póster,póster,NCMS000,clínico,clínico,AQ0MS0,.,.,Fp,2014-11-07,2014,2010,NP00000 NP00000 Sensodyne SPS00+DA0MS0 AQ0CS0,NP00000 Sensodyne SPS00+DA0MS0,NP00000 NP00000 Sensodyne,NP00000 NP00000 NP00000 Sensodyne,NP00000 NP00000 NP00000 NP00000 Sensodyne,Sensodyne SPS00+DA0MS0 AQ0CS0,Sensodyne SPS00+DA0MS0 AQ0CS0 NCMS000,Sensodyne SPS00+DA0MS0 AQ0CS0 NCMS000 AQ0MS0,joven glaxo Sensodyne a+el mejor,glaxo Sensodyne a+el,joven glaxo Sensodyne,sepa joven glaxo Sensodyne,premio sepa joven glaxo Sensodyne,Sensodyne a+el mejor,Sensodyne a+el mejor póster,Sensodyne a+el mejor póster clínico
http://www.artigasweb.com/remedio-para-la-sensibilidad-al-calor-frio.html,artigasweb.com,2015-02-14,===NONE===,Sensodyne/NP00000/sensodyne,"Algunas  marcas  de  fábrica  son  : Sensodyne  ,  Denquel  y  brazo  martillo  &  .",sensodyne,np00000,sensodyne,:,:,Fd,son,ser,VSIP3P0,fábrica,fábrica,NCFS000,de,de,SPS00,marcas,marca,NCFP000,",",",",Fc,Denquel,denquel,NP00000,y,y,CC,brazo,brazo,NCMS000,martillo,martillo,NCMS000,2015-02-14,2015,2010,VSIP3P0 Fd Sensodyne Fc NP00000,Fd Sensodyne Fc,VSIP3P0 Fd Sensodyne,NCFS000 VSIP3P0 Fd Sensodyne,SPS00 NCFS000 VSIP3P0 Fd Sensodyne,Sensodyne Fc NP00000,Sensodyne Fc NP00000 CC,Sensodyne Fc NP00000 CC NCMS000,"ser : Sensodyne , denquel",": Sensodyne ,",ser : Sensodyne,fábrica ser : Sensodyne,de fábrica ser : Sensodyne,"Sensodyne , denquel","Sensodyne , denquel y","Sensodyne , denquel y brazo"
http://www.primerahora.com/noticias/policia-tribunales/nota/aleganextremanecesidadpadresquerobanconsushijos-1085749/,primerahora.com,2015-05-29,Puerto Rico,Sensodyne/NP00000/sensodyne,"Rosa  Caldero  explicÃ3  que  la  familia  acudiÃ3  a  la  farmacia  Rey  ,  localizada  en  el  centro  comercial  Naranjito  Shopping  Village  ,  a  llevar  una  receta  ,  pero  mientras  esperaban  por  el  despacho  de  medicamentos  ,  se  apropiaron  ilegalmente  de  12  tubos  de  pasta  dental Sensodyne  ,  algunos  de  los  cuales  ocultaron  dentro  de  la  ropa  de  sus  hijos  menores  .",sensodyne,np00000,sensodyne,dental,dental,AQ0CS0,pasta,pasta,NCFS000,de,de,SPS00,tubos,tubo,NCMP000,12,12,Z,",",",",Fc,algunos,alguno,PI0MP000,de,de,SPS00,los,el,DA0MP0,cuales,cual,PR0CP000,2015-05-29,2015,2010,NCFS000 AQ0CS0 Sensodyne Fc PI0MP000,AQ0CS0 Sensodyne Fc,NCFS000 AQ0CS0 Sensodyne,SPS00 NCFS000 AQ0CS0 Sensodyne,NCMP000 SPS00 NCFS000 AQ0CS0 Sensodyne,Sensodyne Fc PI0MP000,Sensodyne Fc PI0MP000 SPS00,Sensodyne Fc PI0MP000 SPS00 DA0MP0,"pasta dental Sensodyne , alguno","dental Sensodyne ,",pasta dental Sensodyne,de pasta dental Sensodyne,tubo de pasta dental Sensodyne,"Sensodyne , alguno","Sensodyne , alguno de","Sensodyne , alguno de el"
http://www.publimetro.cl/nota/concursos/participa-por-un-completo-set-de-enjuague-bucal-sensodyne/xIQofs%21s6IUUds9Xawbk/,publimetro.cl,2015-06-19,Chile,Sensodyne/NP00000/sensodyne,<doc uri=http://www.publimetro.cl/nota/concursos/participa-por-un-completo-set-de-enjuague-bucal-sensodyne/xIQofs%21s6IUUds9Xawbk/ website=publimetro.cl date=2015-06-19 source_country=Chile> /participar/VMIP3S0 /por/SPS00 /uno/DI0MS0 /completo/AQ0MS0 /set/NCMS000 /de/SPS00 /enjuague/NCMS000 /bucal/AQ0CS0 Sensodyne ,sensodyne,np00000,sensodyne,bucal,bucal,AQ0CS0,enjuague,enjuague,NCMS000,de,de,SPS00,set,set,NCMS000,completo,completo,AQ0MS0,,,,,,,,,,,,,,,,2015-06-19,2015,2010,,,NCMS000 AQ0CS0 Sensodyne,SPS00 NCMS000 AQ0CS0 Sensodyne,NCMS000 SPS00 NCMS000 AQ0CS0 Sensodyne,,,,,,enjuague bucal Sensodyne,de enjuague bucal Sensodyne,set de enjuague bucal Sensodyne,,,
http://www.publimetro.cl/nota/concursos/participa-por-un-completo-set-de-enjuague-bucal-sensodyne/xIQofs%21s6IUUds9Xawbk/,publimetro.cl,2015-06-19,Chile,Sensodyne/NP00000/sensodyne,El  nuevo  enjuague  bucal Sensodyne  es  recomendable  como  complemento  al  cepillado  de  dientes  que  se  realiza  al  menos  dos  veces  al  día  con  una  crema  dental  que  contiene  flúor  como  parte  de  un  esquema  regular  de  higiene  oral  .,sensodyne,np00000,sensodyne,bucal,bucal,AQ0CS0,enjuague,enjuague,NCMS000,nuevo,nuevo,AQ0MS0,El,el,DA0MS0,,,,es,ser,VSIP3S0,recomendable,recomendable,AQ0CS0,como,como,CS,complemento,complemento,NCMS000,al,a+el,SPS00+DA0MS0,2015-06-19,2015,2010,NCMS000 AQ0CS0 Sensodyne VSIP3S0 AQ0CS0,AQ0CS0 Sensodyne VSIP3S0,NCMS000 AQ0CS0 Sensodyne,AQ0MS0 NCMS000 AQ0CS0 Sensodyne,DA0MS0 AQ0MS0 NCMS000 AQ0CS0 Sensodyne,Sensodyne VSIP3S0 AQ0CS0,Sensodyne VSIP3S0 AQ0CS0 CS,Sensodyne VSIP3S0 AQ0CS0 CS NCMS000,enjuague bucal Sensodyne ser recomendable,bucal Sensodyne ser,enjuague bucal Sensodyne,nuevo enjuague bucal Sensodyne,el nuevo enjuague bucal Sensodyne,Sensodyne ser recomendable,Sensodyne ser recomendable como,Sensodyne ser recomendable como complemento
http://www.que.es/ultimas-noticias/sociedad/201509070801-mejores-peores-pastas-dientes-mercado.html,que.es,2015-09-08,Spain,Sensodyne/NP00000/sensodyne,El  dentífrico  de Sensodyne  '  Protección  Total  '  ha  sido  seleccionado  por  la  OCU  como  la  mejor  pasta  de  dientes  de  todo  el  mercado  .,sensodyne,np00000,sensodyne,de,de,SPS00,dentífrico,dentífrico,NCMS000,El,el,DA0MS0,,,,,,,',',Fe,Protección,protección,NP00000,Total,total,NP00000,',',Fe,ha,haber,VAIP3S0,2015-09-08,2015,2010,NCMS000 SPS00 Sensodyne Fe NP00000,SPS00 Sensodyne Fe,NCMS000 SPS00 Sensodyne,DA0MS0 NCMS000 SPS00 Sensodyne,,Sensodyne Fe NP00000,Sensodyne Fe NP00000 NP00000,Sensodyne Fe NP00000 NP00000 Fe,dentífrico de Sensodyne ' protección,de Sensodyne ',dentífrico de Sensodyne,el dentífrico de Sensodyne,,Sensodyne ' protección,Sensodyne ' protección total,Sensodyne ' protección total '
