url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lanzadigital.com//actualidad/juventud_apuesta_por_la_formacion_en_la_programacion_del_primer_trimestre_del_anyo-58379.html,lanzadigital.com,2014-01-03,Spain,Musicordae/NP00000/musicordae,"En  el  apartado  musical  se  celebrará  un  concierto  joven  a  cargo  de  la  Asociación Musicordae  ,  el  24  de  enero  en  el  Espacio  Joven  .",musicordae,np00000,musicordae,Asociación,asociación,NP00000,la,el,DA0FS0,de,de,SPS00,cargo,cargo,NCMS000,a,a,SPS00,",",",",Fc,el,el,DA0MS0,24,24,Z,de,de,SPS00,enero,enero,NCMS000,2014-01-03,2014,2010,DA0FS0 NP00000 Sicor Fc DA0MS0,NP00000 Sicor Fc,DA0FS0 NP00000 Sicor,SPS00 DA0FS0 NP00000 Sicor,NCMS000 SPS00 DA0FS0 NP00000 Sicor,Sicor Fc DA0MS0,Sicor Fc DA0MS0 Z,Sicor Fc DA0MS0 Z SPS00,"el asociación Sicor , el","asociación Sicor ,",el asociación Sicor,de el asociación Sicor,cargo de el asociación Sicor,"Sicor , el","Sicor , el 24","Sicor , el 24 de"
http://lt10digital.com.ar/noticia/idnot/198351/venceelplazoparadeducirretencionesdeafipporgastosenelexterior.html,lt10digital.com.ar,2014-01-13,Argentina,Sicore/NP00000/sicore,"En  relación  a  los  pagos  a  cuenta  correspondientes  a  las  percepciones  del  Impuesto  a  las  Ganancias  por  los  consumos  con  tarjeta  en  el  exterior  ,  por  la  compra  de  divisas  para  gastos  de  viajes  y  turismo  ,  por  los  adelantos  en  efectivo  en  el  exterior  o  por  la  compra  de  pasajes  con  destino  fuera  del  país  -  alícuota  vigente  del  35  %  -  ,  el  empleado  tiene  la  posibilidad  de  ingresar  con  su  Clave  Fiscal  a  la  página  de  Internet  de  la  AFIP  ,  y  consultar  en  el  sitio  Mis  Retenciones  (  seleccionado  código  de  impuesto  217  - Sicore  -  Impto  a  las  Ganancias  )  a  efectos  de  verificar  que  la  información  a  reportar  a  su  empleador  sea  coincidente  con  la  que  disponen  las  autoridades  fiscales  ,  explicó  Baldomá  .",sicore,np00000,sicore,-,-,Fg,217,217,Z,impuesto,impuesto,NCMS000,de,de,SPS00,código,código,NCMS000,-,-,Fg,Impto,impto,NP00000,a,a,SPS00,las,el,DA0FP0,Ganancias,ganancias,NP00000,2014-01-13,2014,2010,Z Fg Sicor Fg NP00000,Fg Sicor Fg,Z Fg Sicor,NCMS000 Z Fg Sicor,SPS00 NCMS000 Z Fg Sicor,Sicor Fg NP00000,Sicor Fg NP00000 SPS00,Sicor Fg NP00000 SPS00 DA0FP0,217 - Sicor - impto,- Sicor -,217 - Sicor,impuesto 217 - Sicor,de impuesto 217 - Sicor,Sicor - impto,Sicor - impto a,Sicor - impto a el
http://juank.io/hacking-session-problemas-windows-live-writer-wordpress/,juank.io,2014-01-16,British Indian Ocean Territory,sicorígido/AQ0MS0/sicorígido,Soy  demasiado sicorígido  para  quedarme  con  esa  pregunta  abierta  .,sicorígido,aq0ms0,sicorígido,demasiado,demasiado,RG,Soy,ser,VSIP1S0,,,,,,,,,,para,para,SPS00,quedarme,quedar+me,VMN0000+PP1CS000,con,con,SPS00,esa,ese,DD0FS0,pregunta,pregunta,NCFS000,2014-01-16,2014,2010,VSIP1S0 RG Sicor SPS00 VMN0000+PP1CS000,RG Sicor SPS00,VSIP1S0 RG Sicor,,,Sicor SPS00 VMN0000+PP1CS000,Sicor SPS00 VMN0000+PP1CS000 SPS00,Sicor SPS00 VMN0000+PP1CS000 SPS00 DD0FS0,ser demasiado Sicor para quedar+me,demasiado Sicor para,ser demasiado Sicor,,,Sicor para quedar+me,Sicor para quedar+me con,Sicor para quedar+me con ese
http://www.listindiario.com//entretenimiento/2014/1/24/308168/El-sueno-de-Walt,listindiario.com,2014-01-25,Dominican Republic,sicorrígida/VMP00SF/sicorrígida,"Y  la  Pamela  que  conocemos  entonces  es  una  solterona sicorrígida  ,  hosca  ,  huraña  y  detestable  que  llega  predispuesta  a  poner  todos  los  obstáculos  posibles  para  que  se  llegue  a  una  conclusión  .",sicorrígida,vmp00sf,sicorrígida,solterona,solterón,NCFS000,una,uno,DI0FS0,es,ser,VSIP3S0,entonces,entonces,RG,conocemos,conocer,VMIP1P0,",",",",Fc,hosca,hosco,AQ0FS0,",",",",Fc,huraña,huraño,AQ0FS0,y,y,CC,2014-01-25,2014,2010,DI0FS0 NCFS000 Sicor Fc AQ0FS0,NCFS000 Sicor Fc,DI0FS0 NCFS000 Sicor,VSIP3S0 DI0FS0 NCFS000 Sicor,RG VSIP3S0 DI0FS0 NCFS000 Sicor,Sicor Fc AQ0FS0,Sicor Fc AQ0FS0 Fc,Sicor Fc AQ0FS0 Fc AQ0FS0,"uno solterón Sicor , hosco","solterón Sicor ,",uno solterón Sicor,ser uno solterón Sicor,entonces ser uno solterón Sicor,"Sicor , hosco","Sicor , hosco ,","Sicor , hosco , huraño"
http://www.lanzadigital.com//actualidad/el_teatro_y_el_v_festival_de_cine_de_castilla_la_mancha_copan_la_agenda_cultural_de_febrero_en_la_capital-59552.html,lanzadigital.com,2014-01-31,Spain,Musicordae/NP00000/musicordae,"La  música  llegará  de  la  mano  de  los  lunes  musicales  con  el  guitarrista  Enrique  Montoya  ,  la  Asociación  Cultural  Amigos  de  Javier  Segovia  , Musicordae  y  Machu-K  flamenco  y  fusión  ,  y  con  el  X  Certamen  de  Bandas  Ciudad  Real  Cofrade  en  el  Quijano  el  domingo  16  .",musicordae,np00000,musicordae,",",",",Fc,Segovia,segovia,NP00000,Javier,javier,NP00000,de,de,SPS00,Amigos,amigos,NP00000,y,y,CC,Machu-K,machu-k,NP00000,flamenco,flamenco,AQ0MS0,y,y,CC,fusión,fusión,NCFS000,2014-01-31,2014,2010,NP00000 Fc Sicor CC NP00000,Fc Sicor CC,NP00000 Fc Sicor,NP00000 NP00000 Fc Sicor,SPS00 NP00000 NP00000 Fc Sicor,Sicor CC NP00000,Sicor CC NP00000 AQ0MS0,Sicor CC NP00000 AQ0MS0 CC,"segovia , Sicor y machu-k",", Sicor y","segovia , Sicor","javier segovia , Sicor","de javier segovia , Sicor",Sicor y machu-k,Sicor y machu-k flamenco,Sicor y machu-k flamenco y
http://www.ellatinoamericano.net/index.php?option=com_content&view=article&id=689:consejos-para-vivir-mas-de-100-anos-y-para-evitar-el-cancer&catid=42:salud&Itemid=70,ellatinoamericano.net,2014-02-13,Spain,psicorrígido/VMP00SM/psicorrígido,Agus  no  lo  dice  porque  le  guste  ser psicorrígido  sino  porque  al  organismo  le  encanta  todo  lo  predecible  .,psicorrígido,vmp00sm,psicorrígido,ser,ser,VSN0000,guste,gustar,VMSP3S0,le,le,PP3CSD00,porque,porque,CS,dice,decir,VMIP3S0,sino,sino,CC,porque,porque,CS,al,a+el,SPS00+DA0MS0,organismo,organismo,NCMS000,le,le,PP3CSD00,2014-02-13,2014,2010,VMSP3S0 VSN0000 Sicor CC CS,VSN0000 Sicor CC,VMSP3S0 VSN0000 Sicor,PP3CSD00 VMSP3S0 VSN0000 Sicor,CS PP3CSD00 VMSP3S0 VSN0000 Sicor,Sicor CC CS,Sicor CC CS SPS00+DA0MS0,Sicor CC CS SPS00+DA0MS0 NCMS000,gustar ser Sicor sino porque,ser Sicor sino,gustar ser Sicor,le gustar ser Sicor,porque le gustar ser Sicor,Sicor sino porque,Sicor sino porque a+el,Sicor sino porque a+el organismo
http://www.elnuevodiario.com.ni/opinion/311249-hombre-medida-de-todas-cosas,elnuevodiario.com.ni,2014-02-15,Nicaragua,pasicorto/AQ0MS0/pasicorto,"Y  para  medir  las  distancias  allí  donde  todavía  no  hay  carreteras  de  penetración  hablan  de  ""  una  hora  de  camino  ""  que  especifican  ""  de  un  hombre  a  pie  ""  o  ""  a  caballo  ""  ,  ""  en  invierno  ""  o  ""  en  verano  ""  ,  y  si  la  cabalgadura  es pasicorto  ,  pasilargo  o  ""  jacón  ""  .",pasicorto,aq0ms0,pasicorto,es,ser,VSIP3S0,cabalgadura,cabalgadura,NCFS000,la,el,DA0FS0,si,si,CS,y,y,CC,",",",",Fc,pasilargo,pasilargo,AQ0MS0,o,o,CC,"""","""",Fe,jacón,jaca,NCMS00A,2014-02-15,2014,2010,NCFS000 VSIP3S0 Sicor Fc AQ0MS0,VSIP3S0 Sicor Fc,NCFS000 VSIP3S0 Sicor,DA0FS0 NCFS000 VSIP3S0 Sicor,CS DA0FS0 NCFS000 VSIP3S0 Sicor,Sicor Fc AQ0MS0,Sicor Fc AQ0MS0 CC,Sicor Fc AQ0MS0 CC Fe,"cabalgadura ser Sicor , pasilargo","ser Sicor ,",cabalgadura ser Sicor,el cabalgadura ser Sicor,si el cabalgadura ser Sicor,"Sicor , pasilargo","Sicor , pasilargo o","Sicor , pasilargo o """
http://www.elnuevodia.com/pisicorretransportaranapasajerosdelaama-1714488.html,elnuevodia.com,2014-02-18,Puerto Rico,Pisicorre/NP00000/pisicorre,<doc uri=http://www.elnuevodia.com/pisicorretransportaranapasajerosdelaama-1714488.html website=elnuevodia.com date=2014-02-18 source_country=Puerto Rico> Pisicorre  transportarán  a  pasajeros  de  la  AMA,pisicorre,np00000,pisicorre,,,,,,,,,,,,,,,,transportarán,transportar,VMIF3P0,a,a,SPS00,pasajeros,pasajero,NCMP000,de,de,SPS00,la,el,DA0FS0,2014-02-18,2014,2010,,,,,,Sicor VMIF3P0 SPS00,Sicor VMIF3P0 SPS00 NCMP000,Sicor VMIF3P0 SPS00 NCMP000 SPS00,,,,,,Sicor transportar a,Sicor transportar a pasajero,Sicor transportar a pasajero de
http://www.elnuevodia.com/pisicorretransportaranapasajerosdelaama-1714488.html,elnuevodia.com,2014-02-18,Puerto Rico,pisicorre/VMIP3S0/pisicorre,"El  secretario  del  Departamento  de  TransportaciÃ3n  y  Obras  PÃoblicas  (  DTOP  )  ,  Miguel  Torres  ,  firmÃ3  hoy  una  orden  para  permitir  a  los  transportistas  pÃoblicos  de  las  guaguas pisicorre  ofrecer  su  servicio  a  los  usuarios  de  la  Autoridad  Metropolitana  de  Autobuses  (  AMA  )  .",pisicorre,vmip3s0,pisicorre,guaguas,guagua,NCFP000,las,el,DA0FP0,de,de,SPS00,pÃoblicos,pãoblicos,AQ0MP0,transportistas,transportista,NCMP000,ofrecer,ofrecer,VMN0000,su,su,DP3CS0,servicio,servicio,NCMS000,a,a,SPS00,los,el,DA0MP0,2014-02-18,2014,2010,DA0FP0 NCFP000 Sicor VMN0000 DP3CS0,NCFP000 Sicor VMN0000,DA0FP0 NCFP000 Sicor,SPS00 DA0FP0 NCFP000 Sicor,AQ0MP0 SPS00 DA0FP0 NCFP000 Sicor,Sicor VMN0000 DP3CS0,Sicor VMN0000 DP3CS0 NCMS000,Sicor VMN0000 DP3CS0 NCMS000 SPS00,el guagua Sicor ofrecer su,guagua Sicor ofrecer,el guagua Sicor,de el guagua Sicor,pãoblicos de el guagua Sicor,Sicor ofrecer su,Sicor ofrecer su servicio,Sicor ofrecer su servicio a
http://www.elnuevodia.com/pisicorretransportaranapasajerosdelaama-1714488.html,elnuevodia.com,2014-02-18,Puerto Rico,pisicorre/VMIP3S0/pisicorre,"A  esos  efectos  ,  yo  ,  como  secretario  ,  estamos  emitiendo  una  orden  y  autorizaciÃ3n  a  los  transportistas  pÃoblicos  ,  a  las pisicorre  ,  que  puedan  recoger  pasajeros  en  donde  quiera  que  ven  a  alguien  en  una  parada  ,  ofrecerle  el  servicio  para  mitigar  parte  de  la  situaciÃ3n  que  ha  provocado  la  uniÃ3n  de  TuAmaâ  ,  detallÃ3  en  entrevista  radial  (  Wapa  Radio  )  .",pisicorre,vmip3s0,pisicorre,las,el,DA0FP0,a,a,SPS00,",",",",Fc,pÃoblicos,pãoblicos,AQ0MP0,transportistas,transportista,NCMP000,",",",",Fc,que,que,CS,puedan,poder,VMSP3P0,recoger,recoger,VMN0000,pasajeros,pasajero,NCMP000,2014-02-18,2014,2010,SPS00 DA0FP0 Sicor Fc CS,DA0FP0 Sicor Fc,SPS00 DA0FP0 Sicor,Fc SPS00 DA0FP0 Sicor,AQ0MP0 Fc SPS00 DA0FP0 Sicor,Sicor Fc CS,Sicor Fc CS VMSP3P0,Sicor Fc CS VMSP3P0 VMN0000,"a el Sicor , que","el Sicor ,",a el Sicor,", a el Sicor","pãoblicos , a el Sicor","Sicor , que","Sicor , que poder","Sicor , que poder recoger"
