url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lavoz901.com/despachos.asp?cod_des=245568,lavoz901.com,2016-05-09,===NONE===,melisopalinológico/AQ0MS0/melisopalinológico,"El  método  reconocido  internacionalmente  para  determinar  el  origen  botánico  de  las  mieles  es  a  través  de  su  estudio melisopalinológico  ,  entendiendo  por  tal  ,  el  reconocimiento  de  la  diversidad  específica  del  polen  que  contienen  y  su  posterior  análisis  cualicuantitativo  .",melisopalinológico,aq0ms0,melisopalinológico,estudio,estudio,NCMS000,su,su,DP3CS0,de,de,SPS00,través,través,NCMS000,a,a,SPS00,",",",",Fc,entendiendo,entender,VMG0000,por,por,SPS00,tal,tal,DD0CS0,",",",",Fc,2016-05-09,2016,2010,DP3CS0 NCMS000 Sopalin Fc VMG0000,NCMS000 Sopalin Fc,DP3CS0 NCMS000 Sopalin,SPS00 DP3CS0 NCMS000 Sopalin,NCMS000 SPS00 DP3CS0 NCMS000 Sopalin,Sopalin Fc VMG0000,Sopalin Fc VMG0000 SPS00,Sopalin Fc VMG0000 SPS00 DD0CS0,"su estudio Sopalin , entender","estudio Sopalin ,",su estudio Sopalin,de su estudio Sopalin,través de su estudio Sopalin,"Sopalin , entender","Sopalin , entender por","Sopalin , entender por tal"
http://www.boe.es/diario_boe/txt.php?id=BOE-A-2018-8493,boe.es,2018-06-21,Spain,melisopalinológicos/AQ0MP0/melisopalinológicos,"Los  pliegos  de  condiciones  de  mieles  con  Denominación  de  Origen  Protegida  o  Indicación  Geográfica  Protegida  establecen  los  parámetros  físico-químicos  , melisopalinológicos  y  ,  en  su  caso  organolépticos  ,  que  deben  cumplir  para  estar  acogidas  a  la  figura  de  protección  que  les  corresponda  .",melisopalinológicos,aq0mp0,melisopalinológicos,",",",",Fc,físico-químicos,físico-químicos,AQ0MP0,parámetros,parámetro,NCMP000,los,el,DA0MP0,establecen,establecer,VMIP3P0,y,y,CC,",",",",Fc,en,en,SPS00,su,su,DP3CS0,caso,caso,NCMS000,2018-06-21,2018,2010,AQ0MP0 Fc Sopalin CC Fc,Fc Sopalin CC,AQ0MP0 Fc Sopalin,NCMP000 AQ0MP0 Fc Sopalin,DA0MP0 NCMP000 AQ0MP0 Fc Sopalin,Sopalin CC Fc,Sopalin CC Fc SPS00,Sopalin CC Fc SPS00 DP3CS0,"físico-químicos , Sopalin y ,",", Sopalin y","físico-químicos , Sopalin","parámetro físico-químicos , Sopalin","el parámetro físico-químicos , Sopalin","Sopalin y ,","Sopalin y , en","Sopalin y , en su"
http://www.boe.es/diario_boe/txt.php?id=BOE-A-2018-8493,boe.es,2018-06-21,Spain,melisopalinológicos/AQ0MP0/melisopalinológicos,"La  literatura  científica  relativa  al  origen  floral  o  vegetal  de  las  mieles  es  abundante  y  exhaustiva  al  establecer  parámetros  físico-químicos  , melisopalinológicos  y  organolépticos  que  caracterizan  las  distintas  mieles  monoflorales  .",melisopalinológicos,aq0mp0,melisopalinológicos,",",",",Fc,físico-químicos,físico-químicos,AQ0MP0,parámetros,parámetro,NCMP000,establecer,establecer,VMN0000,al,a+el,SPS00+DA0MS0,y,y,CC,organolépticos,organoléptico,AQ0MP0,que,que,PR0CN000,caracterizan,caracterizar,VMIP3P0,las,el,DA0FP0,2018-06-21,2018,2010,AQ0MP0 Fc Sopalin CC AQ0MP0,Fc Sopalin CC,AQ0MP0 Fc Sopalin,NCMP000 AQ0MP0 Fc Sopalin,VMN0000 NCMP000 AQ0MP0 Fc Sopalin,Sopalin CC AQ0MP0,Sopalin CC AQ0MP0 PR0CN000,Sopalin CC AQ0MP0 PR0CN000 VMIP3P0,"físico-químicos , Sopalin y organoléptico",", Sopalin y","físico-químicos , Sopalin","parámetro físico-químicos , Sopalin","establecer parámetro físico-químicos , Sopalin",Sopalin y organoléptico,Sopalin y organoléptico que,Sopalin y organoléptico que caracterizar
http://www.boe.es/diario_boe/txt.php?id=BOE-A-2018-8493,boe.es,2018-06-21,Spain,melisopalinológicos/AQ0MP0/melisopalinológicos,"El  objeto  del  presente  Convenio  es  la  colaboración  entre  las  dos  instituciones  para  la  definición  de  los  valores  cuantitativos  o  cualitativos  de  los  parámetros  físico-químicos  ,  organolépticos  , melisopalinológicos  ,  e  isotópicos  y  de  perfiles  indicativos  de  las  principales  mieles  monoflorales  españolas  con  el  fin  de  contribuir  al  fomento  de  su  producción  ,  envasado  y  comercialización  ,  así  como  su  promoción  en  el  ámbito  nacional  e  internacional  .",melisopalinológicos,aq0mp0,melisopalinológicos,",",",",Fc,organolépticos,organoléptico,AQ0MP0,",",",",Fc,físico-químicos,físico-químicos,AQ0MP0,parámetros,parámetro,NCMP000,",",",",Fc,e,y,CC,isotópicos,isotópico,AQ0MP0,y,y,CC,de,de,SPS00,2018-06-21,2018,2010,AQ0MP0 Fc Sopalin Fc CC,Fc Sopalin Fc,AQ0MP0 Fc Sopalin,Fc AQ0MP0 Fc Sopalin,AQ0MP0 Fc AQ0MP0 Fc Sopalin,Sopalin Fc CC,Sopalin Fc CC AQ0MP0,Sopalin Fc CC AQ0MP0 CC,"organoléptico , Sopalin , y",", Sopalin ,","organoléptico , Sopalin",", organoléptico , Sopalin","físico-químicos , organoléptico , Sopalin","Sopalin , y","Sopalin , y isotópico","Sopalin , y isotópico y"
http://www.boe.es/diario_boe/txt.php?id=BOE-A-2018-8493,boe.es,2018-06-21,Spain,melisopalinológicos/AQ0MP0/melisopalinológicos,"Los  laboratorios  participantes  realizarán  los  análisis  necesarios  para  definir  los  parámetros  físico-químicos  ,  organolépticos  , melisopalinológicos  ,  isotópicos  y  de  perfiles  característicos  de  las  muestras  analizadas  ,  que  caracterizan  las  principales  mieles  monoflorales  españolas  .",melisopalinológicos,aq0mp0,melisopalinológicos,",",",",Fc,organolépticos,organoléptico,AQ0MP0,",",",",Fc,físico-químicos,físico-químicos,AQ0MP0,parámetros,parámetro,NCMP000,",",",",Fc,isotópicos,isotópico,AQ0MP0,y,y,CC,de,de,SPS00,perfiles,perfil,NCMP000,2018-06-21,2018,2010,AQ0MP0 Fc Sopalin Fc AQ0MP0,Fc Sopalin Fc,AQ0MP0 Fc Sopalin,Fc AQ0MP0 Fc Sopalin,AQ0MP0 Fc AQ0MP0 Fc Sopalin,Sopalin Fc AQ0MP0,Sopalin Fc AQ0MP0 CC,Sopalin Fc AQ0MP0 CC SPS00,"organoléptico , Sopalin , isotópico",", Sopalin ,","organoléptico , Sopalin",", organoléptico , Sopalin","físico-químicos , organoléptico , Sopalin","Sopalin , isotópico","Sopalin , isotópico y","Sopalin , isotópico y de"
https://lahora.com.ec/noticia/1102235679/vehiculo-con-familia-china-cae-al-rio-blanco,lahora.com.ec,2019-04-11,Ecuador,Sopalin/NP00000/sopalin,"El  hecho  trágico  ocurrió  la  noche  de  ayer  miércoles  (  19H30  )  ,  en  el  recinto  29  de  Septiembre  ,  sector  conocido  como  '  el  puente  de Sopalin  '  ,  límite  entre  los  cantones  Puerto  Quito  y  Quinindé  .",sopalin,np00000,sopalin,de,de,SPS00,puente,puente,NCMS000,el,el,DA0MS0,',',Fe,como,como,CS,',',Fe,",",",",Fc,límite,límite,AQ0CN0,entre,entre,SPS00,los,el,DA0MP0,2019-04-11,2019,2010,NCMS000 SPS00 Sopalin Fe Fc,SPS00 Sopalin Fe,NCMS000 SPS00 Sopalin,DA0MS0 NCMS000 SPS00 Sopalin,Fe DA0MS0 NCMS000 SPS00 Sopalin,Sopalin Fe Fc,Sopalin Fe Fc AQ0CN0,Sopalin Fe Fc AQ0CN0 SPS00,"puente de Sopalin ' ,",de Sopalin ',puente de Sopalin,el puente de Sopalin,' el puente de Sopalin,"Sopalin ' ,","Sopalin ' , límite","Sopalin ' , límite entre"
http://www.diariodelujan.com/se-desarrolla-la-semana-de-la-miel-en-toda-la-provincia/,diariodelujan.com,2019-05-17,Argentina,Melisopalinologia/NP00000/melisopalinologia,"En  el  Laboratorio  Apícola  solo  en  2018  se  analizaron  2596  muestras  ,  las  cuales  corresponden  a  los  laboratorios  de  Sanidad  , Melisopalinologia  y  Calidad  de  Productos  de  la  Colmena  ;  logrando  convertirse  en  una  herramienta  fundamental  para  los  productores  apícolas  .",melisopalinologia,np00000,melisopalinologia,",",",",Fc,Sanidad,sanidad,NP00000,de,de,SPS00,laboratorios,laboratorio,NCMP000,los,el,DA0MP0,y,y,CC,Calidad,calidad,NP00000,de,de,SPS00,Productos,productos,NP00000,de,de,SPS00,2019-05-17,2019,2010,NP00000 Fc Sopalin CC NP00000,Fc Sopalin CC,NP00000 Fc Sopalin,SPS00 NP00000 Fc Sopalin,NCMP000 SPS00 NP00000 Fc Sopalin,Sopalin CC NP00000,Sopalin CC NP00000 SPS00,Sopalin CC NP00000 SPS00 NP00000,"sanidad , Sopalin y calidad",", Sopalin y","sanidad , Sopalin","de sanidad , Sopalin","laboratorio de sanidad , Sopalin",Sopalin y calidad,Sopalin y calidad de,Sopalin y calidad de productos
http://www.diarioc.com.ar/salud/Semana_de_la_dulzura-Sobre_mitos_y_verdades_de_la_miel/254997,diarioc.com.ar,2019-05-24,Argentina,melisopalinológico/AQ0MS0/melisopalinológico,"Además  ,  se  dedica  a  investigar  los  recursos  florales  utilizados  por  la  abeja  doméstica  y  realiza  análisis melisopalinológico  de  miel  ,  que  constituye  una  importante  producción  agrícola  en  la  Argentina  .",melisopalinológico,aq0ms0,melisopalinológico,análisis,análisis,NCMN000,realiza,realizar,VMIP3S0,y,y,CC,doméstica,doméstico,AQ0FS0,abeja,abeja,NCFS000,de,de,SPS00,miel,miel,NCFS000,",",",",Fc,que,que,PR0CN000,constituye,constituir,VMIP3S0,2019-05-24,2019,2010,VMIP3S0 NCMN000 Sopalin SPS00 NCFS000,NCMN000 Sopalin SPS00,VMIP3S0 NCMN000 Sopalin,CC VMIP3S0 NCMN000 Sopalin,AQ0FS0 CC VMIP3S0 NCMN000 Sopalin,Sopalin SPS00 NCFS000,Sopalin SPS00 NCFS000 Fc,Sopalin SPS00 NCFS000 Fc PR0CN000,realizar análisis Sopalin de miel,análisis Sopalin de,realizar análisis Sopalin,y realizar análisis Sopalin,doméstico y realizar análisis Sopalin,Sopalin de miel,"Sopalin de miel ,","Sopalin de miel , que"
http://ellibertadorenlinea.com.ar/2020/02/28/la-miel-de-la-region-nea-con-caracteristicas-definidas-por-su-origen-floral-nativo/,ellibertadorenlinea.com.ar,2020-02-28,Argentina,Melisopalinología/NP00000/melisopalinología,Las  muestras  fueron  procesadas  con  las  técnicas  convencionales  en Melisopalinología  y  la  identificación  taxonómica  de  los  tipos  polínicos  se  realizó  por  comparación  con  preparados  de  referencia  y  con  ilustraciones  de  Atlas  Palinológicos  .,melisopalinología,np00000,melisopalinología,en,en,SPS00,convencionales,convencional,AQ0CP0,técnicas,técnica,NCFP000,las,el,DA0FP0,con,con,SPS00,y,y,CC,la,el,DA0FS0,identificación,identificación,NCFS000,taxonómica,taxonómico,AQ0FS0,de,de,SPS00,2020-02-28,2020,2020,AQ0CP0 SPS00 Sopalin CC DA0FS0,SPS00 Sopalin CC,AQ0CP0 SPS00 Sopalin,NCFP000 AQ0CP0 SPS00 Sopalin,DA0FP0 NCFP000 AQ0CP0 SPS00 Sopalin,Sopalin CC DA0FS0,Sopalin CC DA0FS0 NCFS000,Sopalin CC DA0FS0 NCFS000 AQ0FS0,convencional en Sopalin y el,en Sopalin y,convencional en Sopalin,técnica convencional en Sopalin,el técnica convencional en Sopalin,Sopalin y el,Sopalin y el identificación,Sopalin y el identificación taxonómico
https://www.heraldo.es/noticias/aragon/teruel/2020/12/01/la-miel-de-teruel-se-mira-al-espejo-de-la-calidad-1407958.html,heraldo.es,2020-12-01,Spain,melisopalinológico/AQ0MS0/melisopalinológico,"Como  consecuencia  ,  los  apicultores  han  tenido  que  encargar  analíticas  de  calidad  ,  en  concreto  análisis melisopalinológico  (  identificación  de  pólenes  )  ,  para  poder  negociar  mejores  precios  de  venta  .",melisopalinológico,aq0ms0,melisopalinológico,análisis,análisis,NCMN000,concreto,concreto,AQ0MS0,en,en,SPS00,",",",",Fc,calidad,calidad,NCFS000,(,(,Fpa,identificación,identificación,NCFS000,de,de,SPS00,pólenes,polen,NCMP000,),),Fpt,2020-12-01,2020,2020,AQ0MS0 NCMN000 Sopalin Fpa NCFS000,NCMN000 Sopalin Fpa,AQ0MS0 NCMN000 Sopalin,SPS00 AQ0MS0 NCMN000 Sopalin,Fc SPS00 AQ0MS0 NCMN000 Sopalin,Sopalin Fpa NCFS000,Sopalin Fpa NCFS000 SPS00,Sopalin Fpa NCFS000 SPS00 NCMP000,concreto análisis Sopalin ( identificación,análisis Sopalin (,concreto análisis Sopalin,en concreto análisis Sopalin,", en concreto análisis Sopalin",Sopalin ( identificación,Sopalin ( identificación de,Sopalin ( identificación de polen
