url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.cadenaser.com/espana/articulo/trabajadores-subcontrata-barajas-critican-falta-protocolo-luchar-virus-ebola/csrcsrpor/20141021csrcsrnac_5/Tes/?ssm=14092012-Ser-rs-1-Tw,cadenaser.com,2014-10-21,Spain,spontex/NCMN000/spontex,"Les  ordenaron  subir  al  avión  para  evacuar  a  cuatro  viajeros  que  utilizaban  silla  de  ruedas  ,  pero  se  negaron  por  la  falta  de  protección  y  de  información  .  ""  Ni  estaban  preparados  ni  tenían  trajes  ;  salvo  unas  mascarillas  de  papel  y  unos  guantes  de  la  marca spontex  para  fregar  platos  ""  que  el  personal  de  Sanidad  les  ofreció  justo  antes  de  subir  al  avión  .",spontex,ncmn000,spontex,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,guantes,guante,NCMP000,unos,uno,DI0MP0,para,para,SPS00,fregar,fregar,VMN0000,platos,plato,NCMP000,"""","""",Fe,que,que,CS,2014-10-21,2014,2010,DA0FS0 NCFS000 Spontex SPS00 VMN0000,NCFS000 Spontex SPS00,DA0FS0 NCFS000 Spontex,SPS00 DA0FS0 NCFS000 Spontex,NCMP000 SPS00 DA0FS0 NCFS000 Spontex,Spontex SPS00 VMN0000,Spontex SPS00 VMN0000 NCMP000,Spontex SPS00 VMN0000 NCMP000 Fe,el marca Spontex para fregar,marca Spontex para,el marca Spontex,de el marca Spontex,guante de el marca Spontex,Spontex para fregar,Spontex para fregar plato,"Spontex para fregar plato """
http://ecodiario.eleconomista.es/salud/noticias/6188367/10/14/CSIFAena-pide-a-Trabajo-que-examine-protocolos-en-Barajas-ante-la-alarma-de-ebola.html,eleconomista.es,2014-10-25,Spain,spontex/NCMN000/spontex,"Así  ,  recuerda  que  trabajadores  del  aeropuerto  denunciaron  que  solo  tenían  ""  guantes  de  ' spontex  '  y  mascarillas  de  papel  ""  para  atender  a  los  pasajeros  del  avión  de  Air  France  aislado  el  pasado  16  ante  la  sospecha  de  que  un  pasajero  proveniente  de  Nigeria  estaba  infectado  de  ébola  .",spontex,ncmn000,spontex,',',Fe,de,de,SPS00,guantes,guante,NCMP000,"""","""",Fe,tenían,tener,VMII3P0,',',Fe,y,y,CC,mascarillas,mascarilla,NCFP000,de,de,SPS00,papel,papel,NCMS000,2014-10-25,2014,2010,SPS00 Fe Spontex Fe CC,Fe Spontex Fe,SPS00 Fe Spontex,NCMP000 SPS00 Fe Spontex,Fe NCMP000 SPS00 Fe Spontex,Spontex Fe CC,Spontex Fe CC NCFP000,Spontex Fe CC NCFP000 SPS00,de ' Spontex ' y,' Spontex ',de ' Spontex,guante de ' Spontex,""" guante de ' Spontex",Spontex ' y,Spontex ' y mascarilla,Spontex ' y mascarilla de
http://www.elmundo.es/espana/2014/12/03/547d8bc122601d2d4c8b457e.html,elmundo.es,2014-12-03,Spain,Espontex/NP00000/espontex,"No  era  el  caso  de  '  Paganini  paga  tot  a  nono  '  ,  que  es  una  pieza  propia  que  formaba  parte  de  su  disco  ' Espontex  Sinfonia  '  ,  de  2006  .",espontex,np00000,espontex,',',Fe,disco,disco,NCMS000,su,su,DP3CS0,de,de,SPS00,parte,parte,NCFS000,Sinfonia,sinfonia,NP00000,',',Fe,",",",",Fc,de,de,SPS00,2006,2006,Z,2014-12-03,2014,2010,NCMS000 Fe Spontex NP00000 Fe,Fe Spontex NP00000,NCMS000 Fe Spontex,DP3CS0 NCMS000 Fe Spontex,SPS00 DP3CS0 NCMS000 Fe Spontex,Spontex NP00000 Fe,Spontex NP00000 Fe Fc,Spontex NP00000 Fe Fc SPS00,disco ' Spontex sinfonia ',' Spontex sinfonia,disco ' Spontex,su disco ' Spontex,de su disco ' Spontex,Spontex sinfonia ',"Spontex sinfonia ' ,","Spontex sinfonia ' , de"
http://www.libertaddigital.com/opinion/federico-jimenez-losantos/the-guindos-brothers-y-la-operacion-menina-79968/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Blibertaddigital%252Fportada%2B%2528Libertad%2BDigital%2529,libertaddigital.com,2016-09-11,===NONE===,spontex/NCMN000/spontex,"Y  de  ambas  debería  dar  cuenta  esta  semana  ,  en  la  que  intentará  que  Rajoy  limpie  sus  pecados  políticos  con  el spontex  de  la  Verónica  de  la  Moncloa  .",spontex,ncmn000,spontex,el,el,DA0MS0,con,con,SPS00,políticos,político,AQ0MP0,pecados,pecado,NCMP000,sus,su,DP3CP0,de,de,SPS00,la,el,DA0FS0,Verónica,verónica,NP00000,de,de,SPS00,la,el,DA0FS0,2016-09-11,2016,2010,SPS00 DA0MS0 Spontex SPS00 DA0FS0,DA0MS0 Spontex SPS00,SPS00 DA0MS0 Spontex,AQ0MP0 SPS00 DA0MS0 Spontex,NCMP000 AQ0MP0 SPS00 DA0MS0 Spontex,Spontex SPS00 DA0FS0,Spontex SPS00 DA0FS0 NP00000,Spontex SPS00 DA0FS0 NP00000 SPS00,con el Spontex de el,el Spontex de,con el Spontex,político con el Spontex,pecado político con el Spontex,Spontex de el,Spontex de el verónica,Spontex de el verónica de
http://elcomercio.pe/luces/cine/jonah-hill-fue-humillado-conductora-francesa-video-noticia-1931842,elcomercio.pe,2016-09-15,Peru,Spontex/NP00000/spontex,"La  verdad  es  que  tú  has  rodado  con  Scorsese  y  Tarantino  y  a  mí  ni  siquiera  me  cogieron  para  un  anuncio  de Spontex  ""  ,  dijo  la  presentadora  ,  como  puedes  ver  en  este  video  de  YouTube  : </doc>",spontex,np00000,spontex,de,de,SPS00,anuncio,anuncio,NCMS000,un,uno,DI0MS0,para,para,SPS00,cogieron,coger,VMIS3P0,"""","""",Fe,",",",",Fc,dijo,decir,VMIS3S0,la,el,DA0FS0,presentadora,presentador,NCFS000,2016-09-15,2016,2010,NCMS000 SPS00 Spontex Fe Fc,SPS00 Spontex Fe,NCMS000 SPS00 Spontex,DI0MS0 NCMS000 SPS00 Spontex,SPS00 DI0MS0 NCMS000 SPS00 Spontex,Spontex Fe Fc,Spontex Fe Fc VMIS3S0,Spontex Fe Fc VMIS3S0 DA0FS0,"anuncio de Spontex "" ,","de Spontex """,anuncio de Spontex,uno anuncio de Spontex,para uno anuncio de Spontex,"Spontex "" ,","Spontex "" , decir","Spontex "" , decir el"
http://peru21.pe/espectaculos/jonah-hill-reacciona-mal-ante-broma-presentadora-video-2257245,peru21.pe,2016-09-15,Peru,Spontex/NP00000/spontex,"Que  tú  has  rodado  con  Scorsese  y  Tarantino  y  a  mí  ni  siquiera  me  cogieron  para  un  anuncio  de Spontex  ""  ,  explicó  Fleury  . </doc>",spontex,np00000,spontex,de,de,SPS00,anuncio,anuncio,NCMS000,un,uno,DI0MS0,para,para,SPS00,cogieron,coger,VMIS3P0,"""","""",Fe,",",",",Fc,explicó,explicar,VMIS3S0,Fleury,fleury,NP00000,.,.,Fp,2016-09-15,2016,2010,NCMS000 SPS00 Spontex Fe Fc,SPS00 Spontex Fe,NCMS000 SPS00 Spontex,DI0MS0 NCMS000 SPS00 Spontex,SPS00 DI0MS0 NCMS000 SPS00 Spontex,Spontex Fe Fc,Spontex Fe Fc VMIS3S0,Spontex Fe Fc VMIS3S0 NP00000,"anuncio de Spontex "" ,","de Spontex """,anuncio de Spontex,uno anuncio de Spontex,para uno anuncio de Spontex,"Spontex "" ,","Spontex "" , explicar","Spontex "" , explicar fleury"
http://www.elperiodico.com/es/noticias/sociedad/estilosa-carrera-brompton-circuit-catalunya-montmelo-5989992?utm_source=rss-noticias&utm_medium=feed&utm_campaign=portada,elperiodico.com,2017-04-22,===NONE===,spontex/NCMN000/spontex,"Tampoco  ayuda  la  americana  ,  que  convierte  la  camisa  en  una  ' spontex  '  .",spontex,ncmn000,spontex,',',Fe,una,uno,DI0FS0,en,en,SPS00,camisa,camisa,NCFS000,la,el,DA0FS0,',',Fe,.,.,Fp,,,,,,,,,,2017-04-22,2017,2010,DI0FS0 Fe Spontex Fe Fp,Fe Spontex Fe,DI0FS0 Fe Spontex,SPS00 DI0FS0 Fe Spontex,NCFS000 SPS00 DI0FS0 Fe Spontex,Spontex Fe Fp,,,uno ' Spontex ' .,' Spontex ',uno ' Spontex,en uno ' Spontex,camisa en uno ' Spontex,Spontex ' .,,
http://www.elmundo.es/opinion/2018/01/05/5a4e7cc7468aeb4f6e8b4572.html,elmundo.es,2018-01-05,Spain,spontex/NCMN000/spontex,"Por  ejemplo  :  el  pacto  social  manipulado  para  asumir  como  mercancía  de  negocio  lo  que  era  nuestro  (  e  irrenunciable  )  y  la  resignación  de  vivir  mejor  con  su  copia  ,  que  además  se  puede  limpiar  pasando  el spontex  por  la  tela  .",spontex,ncmn000,spontex,el,el,DA0MS0,pasando,pasar,VMG0000,limpiar,limpiar,VMN0000,puede,poder,VMIP3S0,se,se,P00CN000,por,por,SPS00,la,el,DA0FS0,tela,tela,NCFS000,.,.,Fp,,,,2018-01-05,2018,2010,VMG0000 DA0MS0 Spontex SPS00 DA0FS0,DA0MS0 Spontex SPS00,VMG0000 DA0MS0 Spontex,VMN0000 VMG0000 DA0MS0 Spontex,VMIP3S0 VMN0000 VMG0000 DA0MS0 Spontex,Spontex SPS00 DA0FS0,Spontex SPS00 DA0FS0 NCFS000,Spontex SPS00 DA0FS0 NCFS000 Fp,pasar el Spontex por el,el Spontex por,pasar el Spontex,limpiar pasar el Spontex,poder limpiar pasar el Spontex,Spontex por el,Spontex por el tela,Spontex por el tela .
http://www.europapress.es/motor/coches-00640/noticia-sernauto-incorporo-25-nuevos-asociados-2017-20180109134504.html,europapress.es,2018-01-09,Spain,Spontex/NP00000/spontex,"Las  empresas  que  se  unieron  a  Sernauto  durante  2017  fueron  Arosa  ,  BInternational  ,  Eversheds  ,  Gefco  ,  Generix  ,  Hogan  Lovells  ,  Itera  Solutions  ,  MSC  Software  ,  Mapa Spontex  ,  Nefab  ,  Selectiva  ,  SGS  y  Vicomtech  . </doc>",spontex,np00000,spontex,Mapa,mapa,NP00000,",",",",Fc,Software,software,NP00000,MSC,msc,NP00000,",",",",Fc,",",",",Fc,Nefab,nefab,NP00000,",",",",Fc,Selectiva,selectiva,NP00000,",",",",Fc,2018-01-09,2018,2010,Fc NP00000 Spontex Fc NP00000,NP00000 Spontex Fc,Fc NP00000 Spontex,NP00000 Fc NP00000 Spontex,NP00000 NP00000 Fc NP00000 Spontex,Spontex Fc NP00000,Spontex Fc NP00000 Fc,Spontex Fc NP00000 Fc NP00000,", mapa Spontex , nefab","mapa Spontex ,",", mapa Spontex","software , mapa Spontex","msc software , mapa Spontex","Spontex , nefab","Spontex , nefab ,","Spontex , nefab , selectiva"
https://www.laopinioncoruna.es/opinion/2018/08/22/sacudida-administracion/1321341.html,laopinioncoruna.es,2018-08-22,Spain,spontex/NCMN000/spontex,"La  decoración  en  esta  epopeya  estética  se  completa  con  la  reforma  de  los  despachos  ,  por  lo  que  hay  que  pasar  el spontex  .",spontex,ncmn000,spontex,el,el,DA0MS0,pasar,pasar,VMN0000,que,que,CS,hay,haber,VMIP3S0,que,que,PR0CN000,.,.,Fp,,,,,,,,,,,,,2018-08-22,2018,2010,,DA0MS0 Spontex Fp,VMN0000 DA0MS0 Spontex,CS VMN0000 DA0MS0 Spontex,VMIP3S0 CS VMN0000 DA0MS0 Spontex,,,,,el Spontex .,pasar el Spontex,que pasar el Spontex,haber que pasar el Spontex,,,
