url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.telemadrid.es/noticias/madrid/noticia/monologos-y-cine-contra-la-leucemia-infantil,telemadrid.es,2014-12-10,Spain,Sunny_Delight/NP00000_NP00000/sunny_delight,"El  ciclo  ,  que  cuenta  con  el  apoyo  de Sunny_Delight  ,  recupera  largometrajes  que  marcaron  una  época  y  la  infancia  de  toda  una  generación  de  madres  y  padres  .",sunny_delight,np00000_np00000,sunny_delight,de,de,SPS00,apoyo,apoyo,NCMS000,el,el,DA0MS0,con,con,SPS00,cuenta,contar,VMIP3S0,",",",",Fc,recupera,recuperar,VMIP3S0,largometrajes,largometraje,NCMP000,que,que,PR0CN000,marcaron,marcar,VMIS3P0,2014-12-10,2014,2010,NCMS000 SPS00 Sunny Delight Fc VMIP3S0,SPS00 Sunny Delight Fc,NCMS000 SPS00 Sunny Delight,DA0MS0 NCMS000 SPS00 Sunny Delight,SPS00 DA0MS0 NCMS000 SPS00 Sunny Delight,Sunny Delight Fc VMIP3S0,Sunny Delight Fc VMIP3S0 NCMP000,Sunny Delight Fc VMIP3S0 NCMP000 PR0CN000,"apoyo de Sunny Delight , recuperar","de Sunny Delight ,",apoyo de Sunny Delight,el apoyo de Sunny Delight,con el apoyo de Sunny Delight,"Sunny Delight , recuperar","Sunny Delight , recuperar largometraje","Sunny Delight , recuperar largometraje que"
http://www.hispanidad.com/Confidencial/a-coca-cola-le-crecen-los-enanos-pepsico-y-orangina-schweppes-distrib-20150206-168085.html,hispanidad.com,2015-02-06,Spain,Sunny_Delight/NP00000_NP00000/sunny_delight,"Mientras  que  Orangina  Schweppes  cuenta  con  más  de  20  marcas  ,  entre  ellas  :  Schweppes  ,  Trina  ,  La  Casera  o Sunny_Delight  .",sunny_delight,np00000_np00000,sunny_delight,o,o,CC,Casera,casera,NP00000,La,la,NP00000,",",",",Fc,Trina,trina,NP00000,.,.,Fp,,,,,,,,,,,,,2015-02-06,2015,2010,,CC Sunny Delight Fp,NP00000 CC Sunny Delight,NP00000 NP00000 CC Sunny Delight,Fc NP00000 NP00000 CC Sunny Delight,,,,,o Sunny Delight .,casera o Sunny Delight,la casera o Sunny Delight,", la casera o Sunny Delight",,,
http://www.expansion.com/2015/02/05/empresas/distribucion/1423157998.html,expansion.com,2015-02-05,Spain,Sunny_Delight/NP00000_NP00000/sunny_delight,"Pepsico  ,  fabricante  de  Pepsi  ,  Kas  ,  Gatorade  y  Tropicana  ,  considera  que  sus  marcas  son  complementarias  con  los  refrescos  elaborados  por  Orangina  ,  dueña  de  Schweppes  ,  TriNa  ,  La  Casera  y Sunny_Delight  .  ""  Juntos  mejoraremos  el  posicionamiento  en  hostelería  y  al  mismo  tiempo  reforzaremos  la  calidad  del  servicio  a  los  clientes  y  la  oferta  de  productos  a  los  consumidores  ""  ,  señalan  ambas  empresas  en  un  comunicado  conjunto  .",sunny_delight,np00000_np00000,sunny_delight,y,y,CC,Casera,casera,NP00000,La,la,NP00000,",",",",Fc,TriNa,trina,NP00000,.,.,Fp,"""","""",Fe,Juntos,juntos,NP00000,mejoraremos,mejorar,VMIF1P0,el,el,DA0MS0,2015-02-05,2015,2010,NP00000 CC Sunny Delight Fp Fe,CC Sunny Delight Fp,NP00000 CC Sunny Delight,NP00000 NP00000 CC Sunny Delight,Fc NP00000 NP00000 CC Sunny Delight,Sunny Delight Fp Fe,Sunny Delight Fp Fe NP00000,Sunny Delight Fp Fe NP00000 VMIF1P0,"casera y Sunny Delight . """,y Sunny Delight .,casera y Sunny Delight,la casera y Sunny Delight,", la casera y Sunny Delight","Sunny Delight . ""","Sunny Delight . "" juntos","Sunny Delight . "" juntos mejorar"
http://www.solidaridaddigital.com/solidaridaddigital/noticias/Deportes/DetalleNoticia.aspx?id=20631,solidaridaddigital.com,2015-07-29,===NONE===,Sunny_Delight/NP00000_NP00000/sunny_delight,"El  acto  contó  con  la  colaboración  de  Grupo  Pascual  ,  Grupo  Vips  y Sunny_Delight  ,  encargados  de  surtir  a  los  participantes  en  el  trascurso  de  la  jornada  . </doc>",sunny_delight,np00000_np00000,sunny_delight,y,y,CC,Vips,vips,NP00000,Grupo,grupo,NP00000,",",",",Fc,Pascual,pascual,NP00000,",",",",Fc,encargados,encargar,VMP00PM,de,de,SPS00,surtir,surtir,VMN0000,a,a,SPS00,2015-07-29,2015,2010,NP00000 CC Sunny Delight Fc VMP00PM,CC Sunny Delight Fc,NP00000 CC Sunny Delight,NP00000 NP00000 CC Sunny Delight,Fc NP00000 NP00000 CC Sunny Delight,Sunny Delight Fc VMP00PM,Sunny Delight Fc VMP00PM SPS00,Sunny Delight Fc VMP00PM SPS00 VMN0000,"vips y Sunny Delight , encargar","y Sunny Delight ,",vips y Sunny Delight,grupo vips y Sunny Delight,", grupo vips y Sunny Delight","Sunny Delight , encargar","Sunny Delight , encargar de","Sunny Delight , encargar de surtir"
http://cincodias.com/cincodias/2015/09/22/empresas/1442921104_774244.html#%3Fref%3Drss%26format%3Dsimple%26link%3Dlink,cincodias.com,2015-09-22,===NONE===,Sunny_Delight/NP00000_NP00000/sunny_delight,"Hace  un  año  ,  el  grupo  Orangina  Schweppes  ,  que  comercializa  en  España  marcas  como  Trina  ,  Schweppes  ,  La  Casera  o Sunny_Delight  ,  inició  acciones  judiciales  contra  Coca  Cola  ,  responsable  de  la  tónica  Schweppes  que  se  vende  en  Reino  Unido  y  que  comenzó  a  llegar  a  España  .",sunny_delight,np00000_np00000,sunny_delight,o,o,CC,Casera,casera,NP00000,La,la,NP00000,",",",",Fc,Schweppes,schweppes,NP00000,",",",",Fc,inició,iniciar,VMIS3S0,acciones,acción,NCFP000,judiciales,judicial,AQ0CP0,contra,contra,SPS00,2015-09-22,2015,2010,NP00000 CC Sunny Delight Fc VMIS3S0,CC Sunny Delight Fc,NP00000 CC Sunny Delight,NP00000 NP00000 CC Sunny Delight,Fc NP00000 NP00000 CC Sunny Delight,Sunny Delight Fc VMIS3S0,Sunny Delight Fc VMIS3S0 NCFP000,Sunny Delight Fc VMIS3S0 NCFP000 AQ0CP0,"casera o Sunny Delight , iniciar","o Sunny Delight ,",casera o Sunny Delight,la casera o Sunny Delight,", la casera o Sunny Delight","Sunny Delight , iniciar","Sunny Delight , iniciar acción","Sunny Delight , iniciar acción judicial"
http://www.europapress.es/epsocial/menores-00645/noticia-mas-mil-ninos-correran-san-silvestre-ciudad-rayo-vallecano-recoger-juguetes-20151130105334.html,europapress.es,2015-11-30,Spain,Sunny_Delight/NP00000_NP00000/sunny_delight,"Todos  los  gastos  asociados  a  la  carrera  serán  sufragados  por  los  patrocinadores  (  Volkswagen  Jarmauto  ,  Clínica  Menorca  ,  Flipbelt  ,  XDS  Bikes  ,  Salomon  , Sunny_Delight  ,  Wolder  ,  IKEA  Ensanche  de  Vallecas  ,  Atelier  ,  Asociación  de  Deporte  Alternativo  La  Gallina  y  AMPA  CP  Rafael  Alberti  )  ,  de  forma  que  el  cien  por  cien  de  la  colaboración  aportada  por  los  jóvenes  deportistas  en  la  carrera  tendrá  su  destino  en  los  niños  más  desfavorecidos  de  Madrid  .",sunny_delight,np00000_np00000,sunny_delight,",",",",Fc,Salomon,salomon,NP00000,",",",",Fc,Bikes,bikes,NP00000,XDS,xds,NP00000,",",",",Fc,Wolder,wolder,NP00000,",",",",Fc,IKEA,ikea,NP00000,Ensanche,ensanche,NP00000,2015-11-30,2015,2010,NP00000 Fc Sunny Delight Fc NP00000,Fc Sunny Delight Fc,NP00000 Fc Sunny Delight,Fc NP00000 Fc Sunny Delight,NP00000 Fc NP00000 Fc Sunny Delight,Sunny Delight Fc NP00000,Sunny Delight Fc NP00000 Fc,Sunny Delight Fc NP00000 Fc NP00000,"salomon , Sunny Delight , wolder",", Sunny Delight ,","salomon , Sunny Delight",", salomon , Sunny Delight","bikes , salomon , Sunny Delight","Sunny Delight , wolder","Sunny Delight , wolder ,","Sunny Delight , wolder , ikea"
http://www.europapress.es/epsocial/menores-00645/noticia-mas-mil-ninos-correran-san-silvestre-ciudad-rayo-vallecano-recoger-juguetes-20151130105334.html,europapress.es,2015-11-30,Spain,Sunny_Delight/NP00000_NP00000/sunny_delight,"El  cien  por  cien  de  los  costes  de  la  carrera  está  sufragado  por  los  patrocinadores  del  evento  :  Volkswagen  Jarmauto  ,  Clínica  Menorca  ,  Flipbelt  ,  XDS  Bikes  ,  Salomon  , Sunny_Delight  ,  Wolder  ,  IKEA  Ensanche  de  Vallecas  ,  Atelier  ,  Asociación  de  Deporte  Alternativo  La  Gallina  y  AMPA  CP  Rafael  Alberti  ,  entre  otros  ,  de  forma  que  todo  lo  que  aporten  los  corredores  será  destinado  a  la  Asociación  ICEAS  ,  y  cuenta  con  la  colaboración  de  La  Mancha  Amarilla  ,  Ocio  Runners  ,  Noizze  Media  y  la  Fundación  Rayo  Vallecano  . </doc>",sunny_delight,np00000_np00000,sunny_delight,",",",",Fc,Salomon,salomon,NP00000,",",",",Fc,Bikes,bikes,NP00000,XDS,xds,NP00000,",",",",Fc,Wolder,wolder,NP00000,",",",",Fc,IKEA,ikea,NP00000,Ensanche,ensanche,NP00000,2015-11-30,2015,2010,NP00000 Fc Sunny Delight Fc NP00000,Fc Sunny Delight Fc,NP00000 Fc Sunny Delight,Fc NP00000 Fc Sunny Delight,NP00000 Fc NP00000 Fc Sunny Delight,Sunny Delight Fc NP00000,Sunny Delight Fc NP00000 Fc,Sunny Delight Fc NP00000 Fc NP00000,"salomon , Sunny Delight , wolder",", Sunny Delight ,","salomon , Sunny Delight",", salomon , Sunny Delight","bikes , salomon , Sunny Delight","Sunny Delight , wolder","Sunny Delight , wolder ,","Sunny Delight , wolder , ikea"
http://madridpress.com/not/198107/-un-millar-de-ninos-se-adelantan-la-san-silvestre/,madridpress.com,2015-12-21,===NONE===,Sunny_Delight/NP00000_NP00000/sunny_delight,"La  carrera  ha  sido  patrocinada  por  Volkswagen  Jarmauto  ,  Clínica  Menorca  ,  Flipbelt  ,  XDS  Bikes  ,  Salomon  , Sunny_Delight  ,  Wolder  ,  Big  Ben  Interactive  ,  IKEA  Ensanche  de  Vallecas  ,  Atelier  ,  Asociación  de  Deporte  Alternativo  La  Gallina  y  AMPA  CP  Rafael  Alberti  ,  entre  otros  ,  y  cuenta  con  la  colaboración  de  La  Mancha  Amarilla  ,  Ocio  Runners  ,  Noizze  Media  y  la  Fundación  Rayo  Vallecano  . </doc>",sunny_delight,np00000_np00000,sunny_delight,",",",",Fc,Salomon,salomon,NP00000,",",",",Fc,Bikes,bikes,NP00000,XDS,xds,NP00000,",",",",Fc,Wolder,wolder,NP00000,",",",",Fc,Big,big,NP00000,Ben,ben,NP00000,2015-12-21,2015,2010,NP00000 Fc Sunny Delight Fc NP00000,Fc Sunny Delight Fc,NP00000 Fc Sunny Delight,Fc NP00000 Fc Sunny Delight,NP00000 Fc NP00000 Fc Sunny Delight,Sunny Delight Fc NP00000,Sunny Delight Fc NP00000 Fc,Sunny Delight Fc NP00000 Fc NP00000,"salomon , Sunny Delight , wolder",", Sunny Delight ,","salomon , Sunny Delight",", salomon , Sunny Delight","bikes , salomon , Sunny Delight","Sunny Delight , wolder","Sunny Delight , wolder ,","Sunny Delight , wolder , big"
http://www.marca.com/baloncesto/basketfeb/2016/07/09/5780fd28268e3ef3628b4589.html,marca.com,2016-07-09,Spain,Sunny_Delight/NP00000_NP00000/sunny_delight,"En  todos  estos  años  las  actividades  se  han  contado  por  miles  ,  con  programas  innovadores  ,  desde  los  pioneros  Tribasket  y  Circuito Sunny_Delight  ,  hasta  los  Plaza  3x3  ,  Liga  B3  Interempresas  ,  3x3  Universitario  o  la  Liga  Junior  NBA-FEB  ,  en  la  que  nos  hemos  unido  a  la  mejor  marca  del  mundo  del  baloncesto  y  de  la  que  ya  hemos  celebrado  en  varias  ciudades  ,  con  renovado  éxito  ,  la  segunda  edición  .",sunny_delight,np00000_np00000,sunny_delight,Circuito,circuito,NP00000,y,y,CC,Tribasket,tribasket,NP00000,pioneros,pionero,NCMP000,los,el,DA0MP0,",",",",Fc,hasta,hasta,SPS00,los,el,DA0MP0,Plaza,plaza,NP00000,3x3,3x3,Z,2016-07-09,2016,2010,CC NP00000 Sunny Delight Fc SPS00,NP00000 Sunny Delight Fc,CC NP00000 Sunny Delight,NP00000 CC NP00000 Sunny Delight,NCMP000 NP00000 CC NP00000 Sunny Delight,Sunny Delight Fc SPS00,Sunny Delight Fc SPS00 DA0MP0,Sunny Delight Fc SPS00 DA0MP0 NP00000,"y circuito Sunny Delight , hasta","circuito Sunny Delight ,",y circuito Sunny Delight,tribasket y circuito Sunny Delight,pionero tribasket y circuito Sunny Delight,"Sunny Delight , hasta","Sunny Delight , hasta el","Sunny Delight , hasta el plaza"
http://eldiadigital.es/not/189045/los-empleados-de-la-planta-de-toledo-de-schweppes-suntory-artistas-por-un-dia/,eldiadigital.es,2016-09-17,Spain,Sunny_Delight/NP00000_NP00000/sunny_delight,"La  compañía  comercializa  ,  embotella  y  distribuye  bebidas  no  alcohólicas  y  cuenta  con  una  exclusiva  cartera  de  marcas  líderes  como  Orangina  ,  Schweppes  ,  Oasis  ,  TriNa  ,  La  Casera  , Sunny_Delight  ,  Lucozade  y  Ribena  y  de  otras  marcas  como  Champomy  ,  Gini  ,  Vida  ,  Pulco  y  Pampryl  .",sunny_delight,np00000_np00000,sunny_delight,",",",",Fc,Casera,casera,NP00000,La,la,NP00000,",",",",Fc,TriNa,trina,NP00000,",",",",Fc,Lucozade,lucozade,NP00000,y,y,CC,Ribena,ribena,NP00000,y,y,CC,2016-09-17,2016,2010,NP00000 Fc Sunny Delight Fc NP00000,Fc Sunny Delight Fc,NP00000 Fc Sunny Delight,NP00000 NP00000 Fc Sunny Delight,Fc NP00000 NP00000 Fc Sunny Delight,Sunny Delight Fc NP00000,Sunny Delight Fc NP00000 CC,Sunny Delight Fc NP00000 CC NP00000,"casera , Sunny Delight , lucozade",", Sunny Delight ,","casera , Sunny Delight","la casera , Sunny Delight",", la casera , Sunny Delight","Sunny Delight , lucozade","Sunny Delight , lucozade y","Sunny Delight , lucozade y ribena"
