url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lavanguardia.com/local/navarra/20140204/54400835991/una-exposicion-mostrara-en-pamplona-la-historia-de-los-tebeos-a-traves-de-obras-de-un-centenar-de.html,lavanguardia.com,2014-02-04,Spain,TBO/NP00000/tbo,"Esta  denominación  tiene  su  origen  en  la  revista TBO  ,  una  de  las  precursoras  en  1917  de  la  publicación  de  cómics  en  España  .",tbo,np00000,tbo,revista,revista,NCFS000,la,el,DA0FS0,en,en,SPS00,origen,origen,NCMS000,su,su,DP3CS0,",",",",Fc,una,uno,DI0FS0,de,de,SPS00,las,el,DA0FP0,precursoras,precursor,NCFP000,2014-02-04,2014,2010,DA0FS0 NCFS000 TBO Fc DI0FS0,NCFS000 TBO Fc,DA0FS0 NCFS000 TBO,SPS00 DA0FS0 NCFS000 TBO,NCMS000 SPS00 DA0FS0 NCFS000 TBO,TBO Fc DI0FS0,TBO Fc DI0FS0 SPS00,TBO Fc DI0FS0 SPS00 DA0FP0,"el revista TBO , uno","revista TBO ,",el revista TBO,en el revista TBO,origen en el revista TBO,"TBO , uno","TBO , uno de","TBO , uno de el"
http://www.larazon.es/detalle_normal/noticias/5463758/cultura%2Bcine/shirley-temple-la-nina-que-alivio-la-gran-depresion,larazon.es,2014-02-12,Spain,TBO/NP00000/tbo,"La  moda  perduró  durante  años  ,  especialmente  los  recordables  ,  que  en  España  llegaron  a  dibujarse  con  vestidos  de  andaluza  y  uniforme  de  la  Sección  femenina  de  la  Falange  ,  editados  por  el TBO  .",tbo,np00000,tbo,el,el,DA0MS0,por,por,SPS00,editados,editar,VMP00PM,",",",",Fc,Falange,falange,NP00000,.,.,Fp,,,,,,,,,,,,,2014-02-12,2014,2010,,DA0MS0 TBO Fp,SPS00 DA0MS0 TBO,VMP00PM SPS00 DA0MS0 TBO,Fc VMP00PM SPS00 DA0MS0 TBO,,,,,el TBO .,por el TBO,editar por el TBO,", editar por el TBO",,,
http://www.rtve.es/noticias/20140219/dias-nieve-historias-sin-principio-ni-final-francisco-marchante/882020.shtml,rtve.es,2014-02-19,Spain,TBO/NP00000/tbo,"Lo  mismo  hacía  Vermeer  en  un  arte  considerado  mayor  pintando  los  misterios  del  tiempo  y  de  la  luz  y  debiéndole  dinero  a  su  panadero  ,  que  Josep  Coll  en  el TBO  elaborando  en  sus  historietas  toda  una  poética  sobre  la  traición  cotidiana  de  los  acontecimientos  y  el  tiempo  para  luego  tener  que  volver  a  su  oficio  de  albañil  ""  .",tbo,np00000,tbo,el,el,DA0MS0,en,en,SPS00,Coll,coll,NP00000,Josep,josep,NP00000,que,que,CS,elaborando,elaborar,VMG0000,en,en,SPS00,sus,su,DP3CP0,historietas,historieta,NCFP000,toda,todo,DI0FS0,2014-02-19,2014,2010,SPS00 DA0MS0 TBO VMG0000 SPS00,DA0MS0 TBO VMG0000,SPS00 DA0MS0 TBO,NP00000 SPS00 DA0MS0 TBO,NP00000 NP00000 SPS00 DA0MS0 TBO,TBO VMG0000 SPS00,TBO VMG0000 SPS00 DP3CP0,TBO VMG0000 SPS00 DP3CP0 NCFP000,en el TBO elaborar en,el TBO elaborar,en el TBO,coll en el TBO,josep coll en el TBO,TBO elaborar en,TBO elaborar en su,TBO elaborar en su historieta
http://www.rtve.es/noticias/20140219/dias-nieve-historias-sin-principio-ni-final-francisco-marchante/882020.shtml,rtve.es,2014-02-19,Spain,TBO/NP00000/tbo,"Allí  espero  ir  desarrollando  poco  a  poco  un  acercamiento  lúdico  a  una  historieta  de  puro  acontecimiento  gráfico  ,  al  tebeo  más  primordial  ,  a  lo  que  para  mi  es  lo  más  singular  de  su  lenguaje  ,  aquello  que  ,  por  ejemplo  ,  late  en  las  páginas  del TBO  y  el  semanario  infantil  ,  en  las  tiras  de  prensa  americanas  de  las  primeras  décadas  del  siglo  XX  ,  en  los  cuadernos  de  aventuras  ...  hay  tanta  magia  y  tantas  posibilidades  olvidadas  en  los  rincones  de  sus  viñetas  ...  """,tbo,np00000,tbo,del,de+el,SPS00+DA0MS0,páginas,página,NCFP000,las,el,DA0FP0,en,en,SPS00,late,latir,VMIP3S0,y,y,CC,el,el,DA0MS0,semanario,semanario,NCMS000,infantil,infantil,AQ0CS0,",",",",Fc,2014-02-19,2014,2010,NCFP000 SPS00+DA0MS0 TBO CC DA0MS0,SPS00+DA0MS0 TBO CC,NCFP000 SPS00+DA0MS0 TBO,DA0FP0 NCFP000 SPS00+DA0MS0 TBO,SPS00 DA0FP0 NCFP000 SPS00+DA0MS0 TBO,TBO CC DA0MS0,TBO CC DA0MS0 NCMS000,TBO CC DA0MS0 NCMS000 AQ0CS0,página de+el TBO y el,de+el TBO y,página de+el TBO,el página de+el TBO,en el página de+el TBO,TBO y el,TBO y el semanario,TBO y el semanario infantil
http://tecnologia.elpais.com/tecnologia/2014/02/27/actualidad/1393529052_364815.html,elpais.com,2014-02-28,Spain,TBO/NP00000/tbo,Las  fiestas  más  petardas  eran  las  que  de  alguna  manera  estaban  a  cargo  de  la  organización  o  las  de  los  insufribles  emprendedores  y  sus  inventos  del TBO  digital  .,tbo,np00000,tbo,del,de+el,SPS00+DA0MS0,inventos,invento,NCMP000,sus,su,DP3CP0,y,y,CC,emprendedores,emprendedor,AQ0MP0,digital,digital,AQ0CS0,.,.,Fp,,,,,,,,,,2014-02-28,2014,2010,NCMP000 SPS00+DA0MS0 TBO AQ0CS0 Fp,SPS00+DA0MS0 TBO AQ0CS0,NCMP000 SPS00+DA0MS0 TBO,DP3CP0 NCMP000 SPS00+DA0MS0 TBO,CC DP3CP0 NCMP000 SPS00+DA0MS0 TBO,TBO AQ0CS0 Fp,,,invento de+el TBO digital .,de+el TBO digital,invento de+el TBO,su invento de+el TBO,y su invento de+el TBO,TBO digital .,,
http://www.defensa.com/index.php?option=com_content&view=article&id=11614:el-ejercito-brasileno-comienza-a-recibir-los-panther-modernizados-&catid=55:latinoamerica&Itemid=163,defensa.com,2014-03-04,Spain,TBO/NP00000/tbo,"La  actualización  tecnológica  de  la  variante  K2  del  Pantera  ,  por  el  momento  el  principal  vector  armado  del  Ejército  ,  llevó  a  la  adopción  de  los  motores  Arriel  2C2CG  ,  con  FADEC  ,  un  40  %  más  potentes  y  con  mayor TBO  ,  lo  que  permite  un  mejor  mantenimiento  ,  alcance  y  velocidad  .",tbo,np00000,tbo,mayor,mayor,AQ0CS0,con,con,SPS00,y,y,CC,potentes,potente,AQ0CP0,más,más,RG,",",",",Fc,lo,el,DA0NS0,que,que,PR0CN000,permite,permitir,VMIP3S0,un,uno,DI0MS0,2014-03-04,2014,2010,SPS00 AQ0CS0 TBO Fc DA0NS0,AQ0CS0 TBO Fc,SPS00 AQ0CS0 TBO,CC SPS00 AQ0CS0 TBO,AQ0CP0 CC SPS00 AQ0CS0 TBO,TBO Fc DA0NS0,TBO Fc DA0NS0 PR0CN000,TBO Fc DA0NS0 PR0CN000 VMIP3S0,"con mayor TBO , el","mayor TBO ,",con mayor TBO,y con mayor TBO,potente y con mayor TBO,"TBO , el","TBO , el que","TBO , el que permitir"
http://www.vidaextra.com/vidaextra/inventos-del-tbo-para-oculus-rift-y-pensando-counter-strike-all-your-blog-are-belong-to-us-ccxl?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bvidaextra%2B%2528VidaExtra%2529,vidaextra.com,2014-03-08,===NONE===,TBO/NP00000/tbo,<doc uri=http://www.vidaextra.com/vidaextra/inventos-del-tbo-para-oculus-rift-y-pensando-counter-strike-all-your-blog-are-belong-to-us-ccxl?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bvidaextra%2B%2528VidaExtra%2529 website=vidaextra.com date=2014-03-08 source_country=> /inventos/NP00000 /de+el/SPS00+DA0MS0 TBO  para  Oculus  Rift  y  pensando  Counter  Strike  .,tbo,np00000,tbo,del,de+el,SPS00+DA0MS0,Inventos,inventos,NP00000,,,,,,,,,,para,para,SPS00,Oculus,oculus,NP00000,Rift,rift,NP00000,y,y,CC,pensando,pensar,VMG0000,2014-03-08,2014,2010,NP00000 SPS00+DA0MS0 TBO SPS00 NP00000,SPS00+DA0MS0 TBO SPS00,NP00000 SPS00+DA0MS0 TBO,,,TBO SPS00 NP00000,TBO SPS00 NP00000 NP00000,TBO SPS00 NP00000 NP00000 CC,inventos de+el TBO para oculus,de+el TBO para,inventos de+el TBO,,,TBO para oculus,TBO para oculus rift,TBO para oculus rift y
http://www.europapress.es/navarra/noticia-exposicion-historia-tebeo-llega-civivox-condestable-20140313115813.html,europapress.es,2014-03-13,Spain,TBO/NP00000/tbo,"Además  de  ofrecer  un  panorama  actual  ,  la  muestra  apoya  la  utilización  del  nombre  tradicional  de  tebeo  ,  nombre  tomado  de  la  revista TBO  ,  una  de  las  precursoras  en  1917  de  la  publicación  de  cómics  en  España  .",tbo,np00000,tbo,revista,revista,NCFS000,la,el,DA0FS0,de,de,SPS00,tomado,tomar,VMP00SM,nombre,nombre,NCMS000,",",",",Fc,una,uno,DI0FS0,de,de,SPS00,las,el,DA0FP0,precursoras,precursor,NCFP000,2014-03-13,2014,2010,DA0FS0 NCFS000 TBO Fc DI0FS0,NCFS000 TBO Fc,DA0FS0 NCFS000 TBO,SPS00 DA0FS0 NCFS000 TBO,VMP00SM SPS00 DA0FS0 NCFS000 TBO,TBO Fc DI0FS0,TBO Fc DI0FS0 SPS00,TBO Fc DI0FS0 SPS00 DA0FP0,"el revista TBO , uno","revista TBO ,",el revista TBO,de el revista TBO,tomar de el revista TBO,"TBO , uno","TBO , uno de","TBO , uno de el"
http://www.microsiervos.com/archivo/tecnologia/canon-riel-lanza-proyectiles-8000-kmh-sin-explosivos.html,microsiervos.com,2014-04-09,Canada,TBO/NP00000/tbo,"<doc uri=http://www.microsiervos.com/archivo/tecnologia/canon-riel-lanza-proyectiles-8000-kmh-sin-explosivos.html website=microsiervos.com date=2014-04-09 source_country=Canada> /el/DA0MS0 /cañón/NCMS000 /de/SPS00 /riel/NCMS000 /ser/VSIP3S0 /uno/DI0MS0 /concepto/NCMS000 /literalmente/RG /más/RG /viejo/AQ0MS0 /que/CS /el/DA0MS0 TBO  ,  y  probablemente  muchos  lo  conocemos  más  por  películas  como  ""  Eraser  ""  o  videojuegos  como  ""  Quake  ""  o  ""  Metal  Gear  Solid  ""  .",tbo,np00000,tbo,el,el,DA0MS0,que,que,CS,viejo,viejo,AQ0MS0,más,más,RG,literalmente,literalmente,RG,",",",",Fc,y,y,CC,probablemente,probablemente,RG,muchos,mucho,PI0MP000,lo,lo,PP3CNA00,2014-04-09,2014,2010,CS DA0MS0 TBO Fc CC,DA0MS0 TBO Fc,CS DA0MS0 TBO,AQ0MS0 CS DA0MS0 TBO,RG AQ0MS0 CS DA0MS0 TBO,TBO Fc CC,TBO Fc CC RG,TBO Fc CC RG PI0MP000,"que el TBO , y","el TBO ,",que el TBO,viejo que el TBO,más viejo que el TBO,"TBO , y","TBO , y probablemente","TBO , y probablemente mucho"
http://www.elnortedecastilla.es/20140423/local/segovia/diez-establecimientos-suman-septima-201404232038.html?utm_source=elnortedecastilla.es&utm_medium=rss&utm_content=segovia-rss&utm_campaign=traffic-rss,elnortedecastilla.es,2014-04-23,Spain,TBO/NP00000/tbo,"La  oferta  gastronómica  de  esta  Feria  de  la  Tapa  se  podrá  degustar  en  los  bares  Cantábrico  ,  Chaplin  ,  Naipe  ,  Figón  Sotanillo  ,  Las  Aldabas  ,  El  Rincón  Castellano  , TBO  ,  La  Cúpula  de  San  Pedro  ,  La  Calleja  ,  y  Bay  on  Bay  .",tbo,np00000,tbo,",",",",Fc,Castellano,castellano,NP00000,Rincón,rincón,NP00000,El,el,NP00000,",",",",Fc,",",",",Fc,La,la,NP00000,Cúpula,cúpula,NP00000,de,de,SPS00,San,san,NP00000,2014-04-23,2014,2010,NP00000 Fc TBO Fc NP00000,Fc TBO Fc,NP00000 Fc TBO,NP00000 NP00000 Fc TBO,NP00000 NP00000 NP00000 Fc TBO,TBO Fc NP00000,TBO Fc NP00000 NP00000,TBO Fc NP00000 NP00000 SPS00,"castellano , TBO , la",", TBO ,","castellano , TBO","rincón castellano , TBO","el rincón castellano , TBO","TBO , la","TBO , la cúpula","TBO , la cúpula de"
