url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elperiodico.com/es/noticias/opinion/fomenta-que-algo-queda-2974930?utm_source=rss-noticias&utm_medium=feed&utm_campaign=opinion,elperiodico.com,2014-01-03,===NONE===,TGV/NP00000/tgv,"Es  una  manera  de  descansar  ,  porque  pienso  ir  en  el  AVE  y  luego  en  el TGV  .",tgv,np00000,tgv,el,el,DA0MS0,en,en,SPS00,luego,luego,RG,y,y,CC,AVE,ave,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-03,2014,2010,,DA0MS0 TGV Fp,SPS00 DA0MS0 TGV,RG SPS00 DA0MS0 TGV,CC RG SPS00 DA0MS0 TGV,,,,,el TGV .,en el TGV,luego en el TGV,y luego en el TGV,,,
http://www.elcorreogallego.es/opinion/firmas/ecg/politica-caprichosa/idEdicion-2014-01-15/idNoticia-847050/,elcorreogallego.es,2014-01-15,Spain,TGV/NP00000/tgv,"Y  si  miramos  a  nuestros  vecinos  europeos  ,  se  da  el  caso  significativo  que  Air  France  va  a  reemplazar  sus  aviones  por  la TGV  en  la  línea  Estrasburgo-Roissy  .",tgv,np00000,tgv,la,el,DA0FS0,por,por,SPS00,aviones,avión,NCMP000,sus,su,DP3CP0,reemplazar,reemplazar,VMN0000,en,en,SPS00,la,el,DA0FS0,línea,línea,NCFS000,Estrasburgo-Roissy,estrasburgo-roissy,NP00000,.,.,Fp,2014-01-15,2014,2010,SPS00 DA0FS0 TGV SPS00 DA0FS0,DA0FS0 TGV SPS00,SPS00 DA0FS0 TGV,NCMP000 SPS00 DA0FS0 TGV,DP3CP0 NCMP000 SPS00 DA0FS0 TGV,TGV SPS00 DA0FS0,TGV SPS00 DA0FS0 NCFS000,TGV SPS00 DA0FS0 NCFS000 NP00000,por el TGV en el,el TGV en,por el TGV,avión por el TGV,su avión por el TGV,TGV en el,TGV en el línea,TGV en el línea estrasburgo-roissy
http://lt10digital.com.ar/noticia/idnot/199190/laindustriadelsoftwarellegaraaventasporus4700millonesen2015.html,lt10digital.com.ar,2014-01-22,Argentina,TGV/NP00000/tgv,";  el  vicepresidente  de  Competir  ,  Mario  Vásquez  ;  el  Director  de  Globant  ,  Martín  Umaran  ;  el  presidente  de  Infosis  ,  Alejandro  Ortiz  ;  la  gerenta  de  Asuntos  Corporativos  de  Intel  ,  Paula  Códoba  ;  el  presidente  de  Intelap  ,  Federico  Gurban  ;  el  presidente  de  Intersoft  ,  Fernando  Racca  ;  el  vicepresidente  de  Mercado  Libre  ,  Imach  Jacobo  Cohen  ;  el  presidente  de  Open  Solutions  ,  Miguel  Calello  ;  el  presidente  de  SIA  Interactive  ,  Adrian  Simonovich  ;  el  socio  de  Staffing  IT  ,  Rubén  Minond  ,  el  presidente  de  Technysis  ,  Adrián  Igleias  ;  el  presidente  de TGV  ,  Ernesto  Galindez  y  la  representante  ejecutiva  de  la  CESSI  ,  Vanessa  Luchessi  .",tgv,np00000,tgv,de,de,SPS00,presidente,presidente,NCMS000,el,el,DA0MS0,;,;,Fx,Igleias,igleias,NP00000,",",",",Fc,Ernesto,ernesto,NP00000,Galindez,galindez,NP00000,y,y,CC,la,el,DA0FS0,2014-01-22,2014,2010,NCMS000 SPS00 TGV Fc NP00000,SPS00 TGV Fc,NCMS000 SPS00 TGV,DA0MS0 NCMS000 SPS00 TGV,Fx DA0MS0 NCMS000 SPS00 TGV,TGV Fc NP00000,TGV Fc NP00000 NP00000,TGV Fc NP00000 NP00000 CC,"presidente de TGV , ernesto","de TGV ,",presidente de TGV,el presidente de TGV,; el presidente de TGV,"TGV , ernesto","TGV , ernesto galindez","TGV , ernesto galindez y"
http://www.europapress.es/turismo/transportes/tren/noticia-cha-traslada-campana-ave-francia-parada-aragon-estacion-atocha-madrid-20140129154023.html,europapress.es,2014-01-29,Spain,TGV/NP00000/tgv,"De  este  modo  ,  un_centenar  de  militantes  y  simpatizantes  de  CHA-Zaragoza  y  emigrantes  aragoneses  en  Madrid  se  han  concentrado  en  la  salida  de  la  estación  de  Atocha  en  Madrid  como  acto  previo  a  la  entrega  de  un  escrito  en  las  oficinas  de  RENFE  en  el  que  se  demanda  la  inclusión  de  Zaragoza-Delicias  dentro  del  nuevo  servicio  ferroviario  con  conecta  el  Tren  de  Alta  Velocidad  con  las  líneas  del TGV  de  la  República  Francesa  .",tgv,np00000,tgv,del,de+el,SPS00+DA0MS0,líneas,línea,NCFP000,las,el,DA0FP0,con,con,SPS00,Velocidad,velocidad,NP00000,de,de,SPS00,la,el,DA0FS0,República,república,NP00000,Francesa,francesa,NP00000,.,.,Fp,2014-01-29,2014,2010,NCFP000 SPS00+DA0MS0 TGV SPS00 DA0FS0,SPS00+DA0MS0 TGV SPS00,NCFP000 SPS00+DA0MS0 TGV,DA0FP0 NCFP000 SPS00+DA0MS0 TGV,SPS00 DA0FP0 NCFP000 SPS00+DA0MS0 TGV,TGV SPS00 DA0FS0,TGV SPS00 DA0FS0 NP00000,TGV SPS00 DA0FS0 NP00000 NP00000,línea de+el TGV de el,de+el TGV de,línea de+el TGV,el línea de+el TGV,con el línea de+el TGV,TGV de el,TGV de el república,TGV de el república francesa
http://elviajero.elpais.com/elviajero/2014/01/30/actualidad/1391079352_954136.html,elpais.com,2014-01-31,Spain,TGV/NP00000/tgv,Durante  décadas  la  compañía  estatal  Trenitalia  permaneció  tan  tranquila  mientras  que  el  Shinkansen  y  el TGV  hacían  historia  en  la  alta  velocidad  .,tgv,np00000,tgv,el,el,DA0MS0,y,y,CC,Shinkansen,shinkansen,NP00000,el,el,DA0MS0,que,que,CS,hacían,hacer,VMII3P0,historia,historia,NCFS000,en,en,SPS00,la,el,DA0FS0,alta,alto,AQ0FS0,2014-01-31,2014,2010,CC DA0MS0 TGV VMII3P0 NCFS000,DA0MS0 TGV VMII3P0,CC DA0MS0 TGV,NP00000 CC DA0MS0 TGV,DA0MS0 NP00000 CC DA0MS0 TGV,TGV VMII3P0 NCFS000,TGV VMII3P0 NCFS000 SPS00,TGV VMII3P0 NCFS000 SPS00 DA0FS0,y el TGV hacer historia,el TGV hacer,y el TGV,shinkansen y el TGV,el shinkansen y el TGV,TGV hacer historia,TGV hacer historia en,TGV hacer historia en el
http://cincodias.com/cincodias/2014/02/17/empresas/1392662574_939431.html,cincodias.com,2014-02-18,===NONE===,TGV/NP00000/tgv,"La  SNCF  francesa  ha  probado  el  wifi  en  el TGV  Este  y  avanza  con  las  operadoras  en  su  instalación  masiva  a  lo  largo  de  los  tres  próximos  años  ,  al  igual  que  en  el  Eurostar  que  cruza  el  Canal  de  la  Mancha  .",tgv,np00000,tgv,el,el,DA0MS0,en,en,SPS00,wifi,wifi,NCMS000,el,el,DA0MS0,probado,probar,VMP00SM,Este,este,NP00000,y,y,CC,avanza,avanzar,VMIP3S0,con,con,SPS00,las,el,DA0FP0,2014-02-18,2014,2010,SPS00 DA0MS0 TGV NP00000 CC,DA0MS0 TGV NP00000,SPS00 DA0MS0 TGV,NCMS000 SPS00 DA0MS0 TGV,DA0MS0 NCMS000 SPS00 DA0MS0 TGV,TGV NP00000 CC,TGV NP00000 CC VMIP3S0,TGV NP00000 CC VMIP3S0 SPS00,en el TGV este y,el TGV este,en el TGV,wifi en el TGV,el wifi en el TGV,TGV este y,TGV este y avanzar,TGV este y avanzar con
http://www.diariocordoba.com/noticias/sociedad/renfe-sncf-ponen-tercera-frecuencia-diaria-alta-velocidad-barcelona-paris_861852.html,diariocordoba.com,2014-02-19,===NONE===,TGV/NP00000/tgv,"El  tren  de  alta  velocidad  ,  que  se  realiza  con  un TGV  Dasye  de  la  empresa  ferroviaria  francesa  ,  saldrá  de  la  capital  catalana  a  las  13.20  horas  y  llegará  a  París  a  las  19.53  horas  .",tgv,np00000,tgv,un,uno,DI0MS0,con,con,SPS00,realiza,realizar,VMIP3S0,se,se,P00CN000,que,que,PR0CN000,Dasye,dasye,NP00000,de,de,SPS00,la,el,DA0FS0,empresa,empresa,NCFS000,ferroviaria,ferroviario,AQ0FS0,2014-02-19,2014,2010,SPS00 DI0MS0 TGV NP00000 SPS00,DI0MS0 TGV NP00000,SPS00 DI0MS0 TGV,VMIP3S0 SPS00 DI0MS0 TGV,P00CN000 VMIP3S0 SPS00 DI0MS0 TGV,TGV NP00000 SPS00,TGV NP00000 SPS00 DA0FS0,TGV NP00000 SPS00 DA0FS0 NCFS000,con uno TGV dasye de,uno TGV dasye,con uno TGV,realizar con uno TGV,se realizar con uno TGV,TGV dasye de,TGV dasye de el,TGV dasye de el empresa
http://vozpopuli.com/next/39097-descenso-al-otro-lhc-lo-que-los-fisicos-no-esperaban-encontrar,vozpopuli.com,2014-02-23,===NONE===,TGV/NP00000/tgv,"Solo  entonces  establecieron  la  correlación  y  descubrieron  que  la  anomalía  era  producida  por  el  paso  en  la  zona  cercana  ,  y  en  determinados  día  de  la  semana  ,  del  tren  de  alta  velocidad  ( TGV  )  que  unía  Francia  con  la  ciudad  de  Ginebra  .",tgv,np00000,tgv,(,(,Fpa,velocidad,velocidad,NCFS000,alta,alto,AQ0FS0,de,de,SPS00,tren,tren,NCMS000,),),Fpt,que,que,PR0CN000,unía,unir,VMII3S0,Francia,francia,NP00000,con,con,SPS00,2014-02-23,2014,2010,NCFS000 Fpa TGV Fpt PR0CN000,Fpa TGV Fpt,NCFS000 Fpa TGV,AQ0FS0 NCFS000 Fpa TGV,SPS00 AQ0FS0 NCFS000 Fpa TGV,TGV Fpt PR0CN000,TGV Fpt PR0CN000 VMII3S0,TGV Fpt PR0CN000 VMII3S0 NP00000,velocidad ( TGV ) que,( TGV ),velocidad ( TGV,alto velocidad ( TGV,de alto velocidad ( TGV,TGV ) que,TGV ) que unir,TGV ) que unir francia
http://www.lavozdegalicia.es/noticia/galicia/2014/03/08/competencia-ave-cuestiona-mapa-vuelos-dibuja-aena/0003_201403G8P6991.htm,lavozdegalicia.es,2014-03-08,Spain,TGV/NP00000/tgv,"En  realidad  ,  el  estudio  de  la  consultora  Airia  traslada  al  escenario  gallego  la  experiencia  de  Sevilla  ,  Barcelona  ,  Málaga  y  Valencia  ,  que  combina  con  datos  de  la  UIC  (  International  Union  of  Railways  )  y  con  otros  estudios  comparados  internacionales  que  incluyen  los  casos  de  ciudades  francesas  conectadas  por  el TGV  ,  la  alta  velocidad  gala  .",tgv,np00000,tgv,el,el,DA0MS0,por,por,SPS00,conectadas,conectar,VMP00PF,francesas,francés,AQ0FP0,ciudades,ciudad,NCFP000,",",",",Fc,la,el,DA0FS0,alta,alto,AQ0FS0,velocidad,velocidad,NCFS000,gala,galo,AQ0FS0,2014-03-08,2014,2010,SPS00 DA0MS0 TGV Fc DA0FS0,DA0MS0 TGV Fc,SPS00 DA0MS0 TGV,VMP00PF SPS00 DA0MS0 TGV,AQ0FP0 VMP00PF SPS00 DA0MS0 TGV,TGV Fc DA0FS0,TGV Fc DA0FS0 AQ0FS0,TGV Fc DA0FS0 AQ0FS0 NCFS000,"por el TGV , el","el TGV ,",por el TGV,conectar por el TGV,francés conectar por el TGV,"TGV , el","TGV , el alto","TGV , el alto velocidad"
http://ecodiario.eleconomista.es/europa/noticias/5629096/03/14/Un-tren-frances-circula-40-kilometros-con-el-cadaver-de-un-ciclista-empotrado-.html,eleconomista.es,2014-03-18,Spain,TGV/NP00000/tgv,"El  suceso  se  produjo  ayer  domingo  ,  cuando  a  la  cabeza  de  un  tren TGV  que  entró  a  la  estación  de  Mulhouse  (  este  )  se  descubrió  incrustado  el  cuerpo  sin  vida  de  un  ciclista  ,  de  48  años  .",tgv,np00000,tgv,tren,tren,NCMS000,un,uno,DI0MS0,de,de,SPS00,cabeza,cabeza,NCFS000,la,el,DA0FS0,que,que,PR0CN000,entró,entrar,VMIS3S0,a,a,SPS00,la,el,DA0FS0,estación,estación,NCFS000,2014-03-18,2014,2010,DI0MS0 NCMS000 TGV PR0CN000 VMIS3S0,NCMS000 TGV PR0CN000,DI0MS0 NCMS000 TGV,SPS00 DI0MS0 NCMS000 TGV,NCFS000 SPS00 DI0MS0 NCMS000 TGV,TGV PR0CN000 VMIS3S0,TGV PR0CN000 VMIS3S0 SPS00,TGV PR0CN000 VMIS3S0 SPS00 DA0FS0,uno tren TGV que entrar,tren TGV que,uno tren TGV,de uno tren TGV,cabeza de uno tren TGV,TGV que entrar,TGV que entrar a,TGV que entrar a el
