url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elnuevodiario.com.ni/especiales/306338-del-desplome-de-helicoptero-al-final-de-novela-de-falsos-televisa,elnuevodiario.com.ni,2014-01-01,Nicaragua,TUC/NP00000/tuc,"El  lunes  19  de  agosto  se  inició  lo  que  posteriormente  fueron  semanas  y  meses  de  discordias  entre  usuarios  del  transporte  urbano  colectivo  de  Managua  y  la  empresa  MPeso  ,  designada  por  el  Irtramma  para  prestar  el  servicio  de  pago  electrónico  del  pasaje  a  través  de  las  tarjetas TUC  .",tuc,np00000,tuc,tarjetas,tarjeta,NCFP000,las,el,DA0FP0,de,de,SPS00,través,través,NCMS000,a,a,SPS00,.,.,Fp,,,,,,,,,,,,,2014-01-01,2014,2010,,NCFP000 TUC Fp,DA0FP0 NCFP000 TUC,SPS00 DA0FP0 NCFP000 TUC,NCMS000 SPS00 DA0FP0 NCFP000 TUC,,,,,tarjeta TUC .,el tarjeta TUC,de el tarjeta TUC,través de el tarjeta TUC,,,
http://www.elnuevodiario.com.ni/especiales/306338-del-desplome-de-helicoptero-al-final-de-novela-de-falsos-televisa,elnuevodiario.com.ni,2014-01-01,Nicaragua,TUC/NP00000/tuc,"El  cambio  de  pago  hizo  que  miles  de  usuarios  se  mostraran  inconformes  ,  porque  de  las  más  de  600,000  personas  que  pagaban  el  transporte  de  la  capital  en  efectivo  ,  unas  177,000  aún  no  tenían  las  tarjetas TUC  para  adecuarse  a  la  nueva  forma  de  pago  electrónico  .",tuc,np00000,tuc,tarjetas,tarjeta,NCFP000,las,el,DA0FP0,tenían,tener,VMII3P0,no,no,RN,aún,aun,RG,para,para,SPS00,adecuarse,adecuar+se,VMN0000+PP3CN000,a,a,SPS00,la,el,DA0FS0,nueva,nuevo,AQ0FS0,2014-01-01,2014,2010,DA0FP0 NCFP000 TUC SPS00 VMN0000+PP3CN000,NCFP000 TUC SPS00,DA0FP0 NCFP000 TUC,VMII3P0 DA0FP0 NCFP000 TUC,RN VMII3P0 DA0FP0 NCFP000 TUC,TUC SPS00 VMN0000+PP3CN000,TUC SPS00 VMN0000+PP3CN000 SPS00,TUC SPS00 VMN0000+PP3CN000 SPS00 DA0FS0,el tarjeta TUC para adecuar+se,tarjeta TUC para,el tarjeta TUC,tener el tarjeta TUC,no tener el tarjeta TUC,TUC para adecuar+se,TUC para adecuar+se a,TUC para adecuar+se a el
http://www.expansion.com/2014/01/22/mercados/1390398462.html,expansion.com,2014-01-22,Spain,TUC/NP00000/tuc,"La  secretaria  general  de  la  confederación  sindical TUC  ,  Frances  O'Grady  ,  también  avisó  hoy  de  que  la  reducción  del  desempleo  no  debe  traducirse  en  un  aumento  de  los  tipos  ,  pues  dañaría  a  ""  los  tenedores  de  hipotecas  y  a  los  pequeños  negocios  ""  y  dispararía  la  deuda  personal  .",tuc,np00000,tuc,sindical,sindical,AQ0CS0,confederación,confederación,NCFS000,la,el,DA0FS0,de,de,SPS00,general,general,AQ0CS0,",",",",Fc,Frances,frances,NP00000,O'Grady,o'grady,NP00000,",",",",Fc,también,también,RG,2014-01-22,2014,2010,NCFS000 AQ0CS0 TUC Fc NP00000,AQ0CS0 TUC Fc,NCFS000 AQ0CS0 TUC,DA0FS0 NCFS000 AQ0CS0 TUC,SPS00 DA0FS0 NCFS000 AQ0CS0 TUC,TUC Fc NP00000,TUC Fc NP00000 NP00000,TUC Fc NP00000 NP00000 Fc,"confederación sindical TUC , frances","sindical TUC ,",confederación sindical TUC,el confederación sindical TUC,de el confederación sindical TUC,"TUC , frances","TUC , frances o'grady","TUC , frances o'grady ,"
http://nuevaya.com.ni/2014/01/nombran-nuevo-director-de-irtramma/,nuevaya.com.ni,2014-01-28,Nicaragua,TUC/NP00000/tuc,"Amaru  Ramírez  ,  informó  que  como  una  de  las  primeras  instrucciones  que  se  hará  bajo  su  administración  es  seguir  implementando  el  Sistema  de  Pago  Mixto  del  Transporte  Urbano  Colectivo  (  60  %  pago  con TUC  y  40  %  pago  Mixto  )  . </doc>",tuc,np00000,tuc,con,con,SPS00,pago,pago,NCMS000,%,%,Ft,60,60,Z,(,(,Fpa,y,y,CC,40,40,Z,%,%,Ft,pago,pago,NCMS000,Mixto,mixto,NP00000,2014-01-28,2014,2010,NCMS000 SPS00 TUC CC Z,SPS00 TUC CC,NCMS000 SPS00 TUC,Ft NCMS000 SPS00 TUC,Z Ft NCMS000 SPS00 TUC,TUC CC Z,TUC CC Z Ft,TUC CC Z Ft NCMS000,pago con TUC y 40,con TUC y,pago con TUC,% pago con TUC,60 % pago con TUC,TUC y 40,TUC y 40 %,TUC y 40 % pago
http://www.larepublica.pe/07-02-2014/movilidades-escolares-cuestionan-exigencias-para-recibir-permisos,larepublica.pe,2014-02-07,Peru,TUC/NP00000/tuc,"Ellos  demandan  mayores  facilidades  para  la  obtención  de  autorizaciones  y  las  Tarjetas  Únicas  de  Circulación  ( TUC  )  ,  requisitos  básicos  para  operar  de  manera  legal  .  ""  Todos  queremos  ser  formales  ,  pero  esto  motivará  a  que  algunos  opten  por  la  ilegalidad  ""  ,  precisa  Erika  Pinillos  ,  presidenta  de  la  mencionada  organización  .",tuc,np00000,tuc,(,(,Fpa,Circulación,circulación,NP00000,de,de,SPS00,Únicas,únicas,NP00000,Tarjetas,tarjetas,NP00000,),),Fpt,",",",",Fc,requisitos,requisito,NCMP000,básicos,básico,AQ0MP0,para,para,SPS00,2014-02-07,2014,2010,NP00000 Fpa TUC Fpt Fc,Fpa TUC Fpt,NP00000 Fpa TUC,SPS00 NP00000 Fpa TUC,NP00000 SPS00 NP00000 Fpa TUC,TUC Fpt Fc,TUC Fpt Fc NCMP000,TUC Fpt Fc NCMP000 AQ0MP0,"circulación ( TUC ) ,",( TUC ),circulación ( TUC,de circulación ( TUC,únicas de circulación ( TUC,"TUC ) ,","TUC ) , requisito","TUC ) , requisito básico"
http://www.larepublica.pe/07-02-2014/movilidades-escolares-cuestionan-exigencias-para-recibir-permisos,larepublica.pe,2014-02-07,Peru,TUC/NP00000/tuc,"Los  servicios  son  formales  cuando  el  conductor  tiene  una  autorización  y  la  unidad  goza  de  la  Tarjeta  Única  de  Circulación  ( TUC  )  ,  ambos  documentos  entregados  por  la  Municipalidad  de  Lima  .",tuc,np00000,tuc,(,(,Fpa,Circulación,circulación,NP00000,de,de,SPS00,Única,única,NP00000,Tarjeta,tarjeta,NP00000,),),Fpt,",",",",Fc,ambos,ambos,DI0MP0,documentos,documento,NCMP000,entregados,entregar,VMP00PM,2014-02-07,2014,2010,NP00000 Fpa TUC Fpt Fc,Fpa TUC Fpt,NP00000 Fpa TUC,SPS00 NP00000 Fpa TUC,NP00000 SPS00 NP00000 Fpa TUC,TUC Fpt Fc,TUC Fpt Fc DI0MP0,TUC Fpt Fc DI0MP0 NCMP000,"circulación ( TUC ) ,",( TUC ),circulación ( TUC,de circulación ( TUC,única de circulación ( TUC,"TUC ) ,","TUC ) , ambos","TUC ) , ambos documento"
http://www.larepublica.pe/07-02-2014/movilidades-escolares-cuestionan-exigencias-para-recibir-permisos,larepublica.pe,2014-02-07,Peru,TUC/NP00000/tuc,"El  costo  de  la  autorización  es  de  S  /  .  115.37  ,  mientras  que  el  de  la TUC  es  de  S  /  .  22.89  . </doc>",tuc,np00000,tuc,la,el,DA0FS0,de,de,SPS00,el,el,DA0MS0,que,que,CS,mientras,mientras,CS,es,ser,VSIP3S0,de,de,SPS00,S,s,NP00000,/,,,.,.,Fp,2014-02-07,2014,2010,SPS00 DA0FS0 TUC VSIP3S0 SPS00,DA0FS0 TUC VSIP3S0,SPS00 DA0FS0 TUC,DA0MS0 SPS00 DA0FS0 TUC,CS DA0MS0 SPS00 DA0FS0 TUC,TUC VSIP3S0 SPS00,TUC VSIP3S0 SPS00 NP00000,,de el TUC ser de,el TUC ser,de el TUC,el de el TUC,que el de el TUC,TUC ser de,TUC ser de s,
http://www.clarin.com/politica/Gobierno-fondos-exterior-construir-torre_0_1081691961.html,clarin.com,2014-02-09,Argentina,TUC/NP00000/tuc,"Se  trata  de  la  ""  Torre  Unica  de  Comunicaciones  ""  ( TUC  )  de  Avellaneda  ,  que  tendrá  368  metros  de  altura  y  concentrará  las  señales  de  la  televisión  digital  y  las  transmisiones  de  FM  ,  UHF  ,  VHF  y  microondas  que  actualmente  están  en  el  edificio  del  ex  ministerio  de  Obras  Públicas  ,  en  la  avenida  9  de  Julio  .",tuc,np00000,tuc,(,(,Fpa,"""","""",Fe,Comunicaciones,comunicaciones,NP00000,de,de,SPS00,Unica,unica,NP00000,),),Fpt,de,de,SPS00,Avellaneda,avellaneda,NP00000,",",",",Fc,que,que,PR0CN000,2014-02-09,2014,2010,Fe Fpa TUC Fpt SPS00,Fpa TUC Fpt,Fe Fpa TUC,NP00000 Fe Fpa TUC,SPS00 NP00000 Fe Fpa TUC,TUC Fpt SPS00,TUC Fpt SPS00 NP00000,TUC Fpt SPS00 NP00000 Fc,""" ( TUC ) de",( TUC ),""" ( TUC","comunicaciones "" ( TUC","de comunicaciones "" ( TUC",TUC ) de,TUC ) de avellaneda,"TUC ) de avellaneda ,"
http://www.clarin.com/politica/Gobierno-fondos-exterior-construir-torre_0_1081691961.html,clarin.com,2014-02-09,Argentina,TUC/NP00000/tuc,"Los  grupos  oferentes  deberán  traer  una  financiación  que  cubra  ,  como  mínimo  ,  el  85  %  de  la  inversión  ,  la  cual  se  repagará  con  la  explotación  comercial  de  la TUC  y  los  desembolsos  que  asuma  el  Estado  .",tuc,np00000,tuc,la,el,DA0FS0,de,de,SPS00,comercial,comercial,AQ0CS0,explotación,explotación,NCFS000,la,el,DA0FS0,y,y,CC,los,el,DA0MP0,desembolsos,desembolso,NCMP000,que,que,PR0CN000,asuma,asumir,VMSP3S0,2014-02-09,2014,2010,SPS00 DA0FS0 TUC CC DA0MP0,DA0FS0 TUC CC,SPS00 DA0FS0 TUC,AQ0CS0 SPS00 DA0FS0 TUC,NCFS000 AQ0CS0 SPS00 DA0FS0 TUC,TUC CC DA0MP0,TUC CC DA0MP0 NCMP000,TUC CC DA0MP0 NCMP000 PR0CN000,de el TUC y el,el TUC y,de el TUC,comercial de el TUC,explotación comercial de el TUC,TUC y el,TUC y el desembolso,TUC y el desembolso que
http://www.clarin.com/politica/Gobierno-fondos-exterior-construir-torre_0_1081691961.html,clarin.com,2014-02-09,Argentina,TUC/NP00000/tuc,"Según  las  proyecciones  oficiales  ,  cuando  esté  en  pleno  funcionamiento  ,  en  la TUC  trabajarán  2.400  personas  ,  mientras  que  se  prevé  que  el  área  cultural  y  turística  reciba  1.800  visitantes  diarios  .",tuc,np00000,tuc,la,el,DA0FS0,en,en,SPS00,",",",",Fc,funcionamiento,funcionamiento,NCMS000,pleno,pleno,AQ0MS0,trabajarán,trabajar,VMIF3P0,2.400,2400,Z,personas,persona,NCFP000,",",",",Fc,mientras,mientras,CS,2014-02-09,2014,2010,SPS00 DA0FS0 TUC VMIF3P0 Z,DA0FS0 TUC VMIF3P0,SPS00 DA0FS0 TUC,Fc SPS00 DA0FS0 TUC,NCMS000 Fc SPS00 DA0FS0 TUC,TUC VMIF3P0 Z,TUC VMIF3P0 Z NCFP000,TUC VMIF3P0 Z NCFP000 Fc,en el TUC trabajar 2400,el TUC trabajar,en el TUC,", en el TUC","funcionamiento , en el TUC",TUC trabajar 2400,TUC trabajar 2400 persona,"TUC trabajar 2400 persona ,"
