url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.cuatro.com/deja-sitio-para-el-postre/recetas/Receta-Macaron_0_1732500639.html,cuatro.com,2014-01-15,Spain,teflon/NCMN000/teflon,Preparar  las  latas  de  horno  con  papel  de  horno  o teflon  para  una  correcta  coccion,teflon,ncmn000,teflon,o,o,CC,horno,horno,NCMS000,de,de,SPS00,papel,papel,NCMS000,con,con,SPS00,para,para,SPS00,una,uno,DI0FS0,correcta,correcto,AQ0FS0,coccion,coccion,VMIS3P0,,,,2014-01-15,2014,2010,NCMS000 CC Teflon SPS00 DI0FS0,CC Teflon SPS00,NCMS000 CC Teflon,SPS00 NCMS000 CC Teflon,NCMS000 SPS00 NCMS000 CC Teflon,Teflon SPS00 DI0FS0,Teflon SPS00 DI0FS0 AQ0FS0,Teflon SPS00 DI0FS0 AQ0FS0 VMIS3P0,horno o Teflon para uno,o Teflon para,horno o Teflon,de horno o Teflon,papel de horno o Teflon,Teflon para uno,Teflon para uno correcto,Teflon para uno correcto coccion
http://www.expansion.com/2014/01/17/empresas/1389992563.html,expansion.com,2014-01-18,Spain,Teflon/NP00000/teflon,"Otro  ejemplo  clarificador  es  Velcro  ,  marca  registrada  por  la  sociedad  Velcro  Industries  A  su  vez  ,  la  marca  registrada Teflon  ha  dado  lugar  a  un  ""  material  aislante  muy  resistente  al  calor  y  a  la  corrosión  ,  usado  para  articulaciones  y  revestimientos  así  como  en  la  fabricación  de  ollas  y  sartenes  ""  .",teflon,np00000,teflon,registrada,registrar,VMP00SF,marca,marca,NCFS000,la,el,DA0FS0,",",",",Fc,vez,vez,NCFS000,ha,haber,VAIP3S0,dado,dar,VMP00SM,lugar,lugar,NCMS000,a,a,SPS00,un,uno,DI0MS0,2014-01-18,2014,2010,NCFS000 VMP00SF Teflon VAIP3S0 VMP00SM,VMP00SF Teflon VAIP3S0,NCFS000 VMP00SF Teflon,DA0FS0 NCFS000 VMP00SF Teflon,Fc DA0FS0 NCFS000 VMP00SF Teflon,Teflon VAIP3S0 VMP00SM,Teflon VAIP3S0 VMP00SM NCMS000,Teflon VAIP3S0 VMP00SM NCMS000 SPS00,marca registrar Teflon haber dar,registrar Teflon haber,marca registrar Teflon,el marca registrar Teflon,", el marca registrar Teflon",Teflon haber dar,Teflon haber dar lugar,Teflon haber dar lugar a
http://www.elmundo.es/blogs/elmundo/clima/2014/02/08/la-nieve-en-el-caucaso-en-los-juegos-de.html,elmundo.es,2014-02-14,Spain,teflon/NCMN000/teflon,"¡  Ah  ,  el  placer  de  respirar  los  gases  del  diesel  mientras  baja  uno  con  los  esquíes  por  una  ladera  cubierta  de teflon  en  las  afueras  del  sur  Madrid  con  árboles  de  plástico  ,  a  donde  hemos  llegado  tras  tres  horas  de  atasco  escuchando  música  sintetica  que  nos  ha  recomendado  un  conocido  mediante  un  mensaje  con  la  '  guasa  '  ''  . </doc>",teflon,ncmn000,teflon,de,de,SPS00,cubierta,cubrir,VMP00SF,ladera,ladera,NCFS000,una,uno,DI0FS0,por,por,SPS00,en,en,SPS00,las,el,DA0FP0,afueras,afueras,NCFP000,del,de+el,SPS00+DA0MS0,sur,sur,NCMS000,2014-02-14,2014,2010,VMP00SF SPS00 Teflon SPS00 DA0FP0,SPS00 Teflon SPS00,VMP00SF SPS00 Teflon,NCFS000 VMP00SF SPS00 Teflon,DI0FS0 NCFS000 VMP00SF SPS00 Teflon,Teflon SPS00 DA0FP0,Teflon SPS00 DA0FP0 NCFP000,Teflon SPS00 DA0FP0 NCFP000 SPS00+DA0MS0,cubrir de Teflon en el,de Teflon en,cubrir de Teflon,ladera cubrir de Teflon,uno ladera cubrir de Teflon,Teflon en el,Teflon en el afueras,Teflon en el afueras de+el
http://www.tendencias21.net/HI-FINITY-CORREDERA-EXCLUSIVA-DE-REYNAERS-ALUMINIUM_a32902.html,tendencias21.net,2014-04-14,Spain,Teflon/NP00000/teflon,Las  juntas  recubiertas  de Teflon  crean  una  firme  barrera  a  las  entradas  de  aire  .,teflon,np00000,teflon,de,de,SPS00,recubiertas,recubrir,VMP00PF,juntas,junta,NCFP000,Las,el,DA0FP0,,,,crean,crear,VMIP3P0,una,uno,DI0FS0,firme,firme,AQ0CS0,barrera,barrera,NCFS000,a,a,SPS00,2014-04-14,2014,2010,VMP00PF SPS00 Teflon VMIP3P0 DI0FS0,SPS00 Teflon VMIP3P0,VMP00PF SPS00 Teflon,NCFP000 VMP00PF SPS00 Teflon,DA0FP0 NCFP000 VMP00PF SPS00 Teflon,Teflon VMIP3P0 DI0FS0,Teflon VMIP3P0 DI0FS0 AQ0CS0,Teflon VMIP3P0 DI0FS0 AQ0CS0 NCFS000,recubrir de Teflon crear uno,de Teflon crear,recubrir de Teflon,junta recubrir de Teflon,el junta recubrir de Teflon,Teflon crear uno,Teflon crear uno firme,Teflon crear uno firme barrera
http://www.sinmordaza.com/noticia/236685-me-tienen-con-los-huevos-al-plato.html,sinmordaza.com,2014-05-15,Argentina,teflonizada/VMP00SF/teflonizada,"""  Cuando  no  hay  charla  ...  yo  tengo  la  mejor  con  Carmen  en  escena  ,  estoy  "" teflonizada  ""  ,  pero  me  parece  que  las  cosas  no  van  .",teflonizada,vmp00sf,teflonizada,"""","""",Fe,estoy,estar,VAIP1S0,",",",",Fc,escena,escena,NCFS000,en,en,SPS00,"""","""",Fe,",",",",Fc,pero,pero,CC,me,me,PP1CS000,parece,parecer,VMIP3S0,2014-05-15,2014,2010,VAIP1S0 Fe Teflon Fe Fc,Fe Teflon Fe,VAIP1S0 Fe Teflon,Fc VAIP1S0 Fe Teflon,NCFS000 Fc VAIP1S0 Fe Teflon,Teflon Fe Fc,Teflon Fe Fc CC,Teflon Fe Fc CC PP1CS000,"estar "" Teflon "" ,",""" Teflon ""","estar "" Teflon",", estar "" Teflon","escena , estar "" Teflon","Teflon "" ,","Teflon "" , pero","Teflon "" , pero me"
http://www.la-razon.com/ciudades/junio-licitaran-Barrios-Verdad-calificaron_0_2062593721.html,la-razon.com,2014-06-01,Bolivia,teflones/NCMP000/teflón,"""  Lo  que  hacemos  es  dotarles  de  forma  gratuita  de  materiales  como  cañerías  ,  codos  , teflones  ,  lavamanos  ,  duchas  ,  jaboneras  ,  portapapeles  ,  por  ejemplo  ""  ,  explicó  Ribero  .",teflones,ncmp000,teflón,",",",",Fc,codos,codo,NCMP000,",",",",Fc,cañerías,cañería,NCFP000,como,como,CS,",",",",Fc,lavamanos,lavamanos,NCMN000,",",",",Fc,duchas,ducha,NCFP000,",",",",Fc,2014-06-01,2014,2010,NCMP000 Fc Teflon Fc NCMN000,Fc Teflon Fc,NCMP000 Fc Teflon,Fc NCMP000 Fc Teflon,NCFP000 Fc NCMP000 Fc Teflon,Teflon Fc NCMN000,Teflon Fc NCMN000 Fc,Teflon Fc NCMN000 Fc NCFP000,"codo , Teflon , lavamanos",", Teflon ,","codo , Teflon",", codo , Teflon","cañería , codo , Teflon","Teflon , lavamanos","Teflon , lavamanos ,","Teflon , lavamanos , ducha"
http://noticias.terra.com.ar/sociedad/allanaron-una-fabrica-de-tumberas-en-lanus-y-hay-tres-detenidos%2C9735734834266410VgnCLD200000b2bf46d0RCRD.html,terra.com.ar,2014-06-03,Argentina,teflonadas/VMP00PF/teflonadas,"Por  otro  lado  ,  se  encontró  en  el  lugar  cartuchos  calibre  12.70  y  balas  9  milímetros teflonadas  ,  conocidas  en  la  jerga  delictiva  como  ""  mata  policías  ""  .",teflonadas,vmp00pf,teflonadas,milímetros,milímetro,NCMP000,9,9,Z,balas,balar,VMIP2S0,y,y,CC,12.70,12.70,Z,",",",",Fc,conocidas,conocer,VMP00PF,en,en,SPS00,la,el,DA0FS0,jerga,jerga,NCFS000,2014-06-03,2014,2010,Z NCMP000 Teflon Fc VMP00PF,NCMP000 Teflon Fc,Z NCMP000 Teflon,VMIP2S0 Z NCMP000 Teflon,CC VMIP2S0 Z NCMP000 Teflon,Teflon Fc VMP00PF,Teflon Fc VMP00PF SPS00,Teflon Fc VMP00PF SPS00 DA0FS0,"9 milímetro Teflon , conocer","milímetro Teflon ,",9 milímetro Teflon,balar 9 milímetro Teflon,y balar 9 milímetro Teflon,"Teflon , conocer","Teflon , conocer en","Teflon , conocer en el"
http://www.elsigloweb.com/nota.php?id=139000,elsigloweb.com,2014-06-04,Argentina,teflonadas/VMP00PF/teflonadas,"También  fueron  secuestradas  las  herramientas  necesarias  para  la  actividad  ,  como  agujas  percutoras  ,  máquinas  soldadoras  ,  amoladoras  y  electrodos  ,  además  de  municiones  calibre  12.70  y  9  milímetros teflonadas  ,  denominadas  en  la  jerga  como  ""  mata  policías  ""  por  su  capacidad  de  penetrar  los  chalecos  antibalas  .",teflonadas,vmp00pf,teflonadas,milímetros,milímetro,NCMP000,9,9,Z,y,y,CC,12.70,12.70,Z,calibre,calibrar,VMSP3S0,",",",",Fc,denominadas,denominar,VMP00PF,en,en,SPS00,la,el,DA0FS0,jerga,jerga,NCFS000,2014-06-04,2014,2010,Z NCMP000 Teflon Fc VMP00PF,NCMP000 Teflon Fc,Z NCMP000 Teflon,CC Z NCMP000 Teflon,Z CC Z NCMP000 Teflon,Teflon Fc VMP00PF,Teflon Fc VMP00PF SPS00,Teflon Fc VMP00PF SPS00 DA0FS0,"9 milímetro Teflon , denominar","milímetro Teflon ,",9 milímetro Teflon,y 9 milímetro Teflon,12.70 y 9 milímetro Teflon,"Teflon , denominar","Teflon , denominar en","Teflon , denominar en el"
http://www.ultimahora.com/la-cruz-roja-suiza-asiste-damnificados-concepcion-n836916.html,ultimahora.com,2014-10-09,Paraguay,teflonados/VMP00PM/teflonados,"Cada  paquete  contiene  alimentos  como  fideo  ,  arroz  ,  yerba  ,  harina  ,  poroto  ,  sal  y  aceite  ,  además  ,  cada  familia  recibió  una  cocina  a  inducción  ,  dos  ollas  ,  una  sartén  (  ambos teflonados  )  ,  1  hervidora  ,  5  platos  ,  5  tazas  ,  cuchillos  ,  espátula  ,  detergente  ,  esponja  y  baldes  y  bidones  para  agua  .",teflonados,vmp00pm,teflonados,ambos,ambos,PI0MP000,(,(,Fpa,sartén,sartén,NCFS000,una,uno,DI0FS0,",",",",Fc,),),Fpt,",",",",Fc,1,1,Z,hervidora,hervidor,AQ0FS0,",",",",Fc,2014-10-09,2014,2010,Fpa PI0MP000 Teflon Fpt Fc,PI0MP000 Teflon Fpt,Fpa PI0MP000 Teflon,NCFS000 Fpa PI0MP000 Teflon,DI0FS0 NCFS000 Fpa PI0MP000 Teflon,Teflon Fpt Fc,Teflon Fpt Fc Z,Teflon Fpt Fc Z AQ0FS0,"( ambos Teflon ) ,",ambos Teflon ),( ambos Teflon,sartén ( ambos Teflon,uno sartén ( ambos Teflon,"Teflon ) ,","Teflon ) , 1","Teflon ) , 1 hervidor"
http://www.clarin.com/viva/Gabriel_Rolon-Moria_Casan-Revista_Viva_0_1253874850.html,clarin.com,2014-11-23,Argentina,teflonizando/VMG0000/teflonizando,"Doy  un  changüí  para  que  me  ocurran  las  desilusiones  ,  porque  me  voy teflonizando  .",teflonizando,vmg0000,teflonizando,voy,ir,VMIP1S0,me,me,PP1CS000,porque,porque,CS,",",",",Fc,desilusiones,desilusión,NCFP000,.,.,Fp,,,,,,,,,,,,,2014-11-23,2014,2010,,VMIP1S0 Teflon Fp,PP1CS000 VMIP1S0 Teflon,CS PP1CS000 VMIP1S0 Teflon,Fc CS PP1CS000 VMIP1S0 Teflon,,,,,ir Teflon .,me ir Teflon,porque me ir Teflon,", porque me ir Teflon",,,
