url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elcomercio.com/construir/Ecuador-reciclaje-materiales-construccion-tetrapak-tejas-muebles_0_1051694848.html,elcomercio.com,2014-01-01,Ecuador,Tetra_Pak/NP00000_NP00000/tetra_pak,"Édgar  Mora  ,  de  Ecuaplastic  ,  compañía  que  trabaja  de  consuno  con Tetra_Pak  Andina  .",tetra_pak,np00000_np00000,tetra_pak,con,con,SPS00,consuno,consuno,NCMS000,de,de,SPS00,trabaja,trabajar,VMIP3S0,que,que,PR0CN000,Andina,andina,NP00000,.,.,Fp,,,,,,,,,,2014-01-01,2014,2010,NCMS000 SPS00 Tetra Pak NP00000 Fp,SPS00 Tetra Pak NP00000,NCMS000 SPS00 Tetra Pak,SPS00 NCMS000 SPS00 Tetra Pak,VMIP3S0 SPS00 NCMS000 SPS00 Tetra Pak,Tetra Pak NP00000 Fp,,,consuno con Tetra Pak andina .,con Tetra Pak andina,consuno con Tetra Pak,de consuno con Tetra Pak,trabajar de consuno con Tetra Pak,Tetra Pak andina .,,
http://www.elcomercio.com/construir/Ecuador-reciclaje-materiales-construccion-tetrapak-tejas-muebles_0_1051694848.html,elcomercio.com,2014-01-01,Ecuador,Tetra_Pak/NP00000_NP00000/tetra_pak,"La  recolección  es  parte  esencial  en  el  proceso  ,  explica  Philippe  Delouche  ,  de Tetra_Pak  Andina  .",tetra_pak,np00000_np00000,tetra_pak,de,de,SPS00,",",",",Fc,Delouche,delouche,NP00000,Philippe,philippe,NP00000,explica,explicar,VMIP3S0,Andina,andina,NP00000,.,.,Fp,,,,,,,,,,2014-01-01,2014,2010,Fc SPS00 Tetra Pak NP00000 Fp,SPS00 Tetra Pak NP00000,Fc SPS00 Tetra Pak,NP00000 Fc SPS00 Tetra Pak,NP00000 NP00000 Fc SPS00 Tetra Pak,Tetra Pak NP00000 Fp,,,", de Tetra Pak andina .",de Tetra Pak andina,", de Tetra Pak","delouche , de Tetra Pak","philippe delouche , de Tetra Pak",Tetra Pak andina .,,
http://www.excelsior.com.mx/comunidad/2014/01/01/936238,excelsior.com.mx,2014-01-02,Mexico,Tetra_Pak/NP00000_NP00000/tetra_pak,"Alrededor  de  2_mil  artesanos  y  panaderos  fueron  convocados  para  elaborar  la  mega  rosca  de  mil_440  metros  de  largo  y  9_mil_375  kilogramos  de  peso  ,  que  será  repartida  de  manera  gratuita  en  alrededor  de  200_mil  porciones  de  65  por  45  centímetros  ,  e  igual  número  de  envases Tetra_Pak  con  250  mililitros  de  leche  cada  uno  .",tetra_pak,np00000_np00000,tetra_pak,envases,envase,NCMP000,de,de,SPS00,número,número,NCMS000,igual,igual,AQ0CS0,e,y,CC,con,con,SPS00,250,250,Z,mililitros,mililitro,NCMP000,de,de,SPS00,leche,leche,NCFS000,2014-01-02,2014,2010,SPS00 NCMP000 Tetra Pak SPS00 Z,NCMP000 Tetra Pak SPS00,SPS00 NCMP000 Tetra Pak,NCMS000 SPS00 NCMP000 Tetra Pak,AQ0CS0 NCMS000 SPS00 NCMP000 Tetra Pak,Tetra Pak SPS00 Z,Tetra Pak SPS00 Z NCMP000,Tetra Pak SPS00 Z NCMP000 SPS00,de envase Tetra Pak con 250,envase Tetra Pak con,de envase Tetra Pak,número de envase Tetra Pak,igual número de envase Tetra Pak,Tetra Pak con 250,Tetra Pak con 250 mililitro,Tetra Pak con 250 mililitro de
http://www.zonainmobiliaria.com/ahorre-hasta-24-000-de-luz-al-ano-reciclando/prontus_zonainmobiliaria/2014-01-02/181323.html,zonainmobiliaria.com,2014-01-02,===NONE===,Tetra_Pak/NP00000_NP00000/tetra_pak,"c  )  Contenedor  de Tetra_Pak  :  Se  trata  de  los  envases  de  leche  ,  jugos  ,  etc.",tetra_pak,np00000_np00000,tetra_pak,de,de,SPS00,Contenedor,contenedor,NP00000,),),Fpt,c,c,NCFS000,,,,:,:,Fd,Se,se,P00CN000,trata,tratar,VMIP3S0,de,de,SPS00,los,el,DA0MP0,2014-01-02,2014,2010,NP00000 SPS00 Tetra Pak Fd P00CN000,SPS00 Tetra Pak Fd,NP00000 SPS00 Tetra Pak,Fpt NP00000 SPS00 Tetra Pak,NCFS000 Fpt NP00000 SPS00 Tetra Pak,Tetra Pak Fd P00CN000,Tetra Pak Fd P00CN000 VMIP3S0,Tetra Pak Fd P00CN000 VMIP3S0 SPS00,contenedor de Tetra Pak : se,de Tetra Pak :,contenedor de Tetra Pak,) contenedor de Tetra Pak,c ) contenedor de Tetra Pak,Tetra Pak : se,Tetra Pak : se tratar,Tetra Pak : se tratar de
http://www.lajornadamichoacan.com.mx/2014/01/03/parten-monumental-rosca-de-reyes-en-el-zocalo-mide-mil-440-metros/,lajornadamichoacan.com.mx,2014-01-03,Mexico,Tetra_Pak/NP00000_NP00000/tetra_pak,"Se  espera  repartir  de  manera  gratuita  alrededor  de  200_mil  porciones  de  65  por  45  centímetros  ,  e  igual  número  de  porciones  de  250  milímetros  de  leche  en  envases Tetra_Pak  .",tetra_pak,np00000_np00000,tetra_pak,envases,envase,NCMP000,en,en,SPS00,leche,leche,NCFS000,de,de,SPS00,milímetros,milímetro,NCMP000,.,.,Fp,,,,,,,,,,,,,2014-01-03,2014,2010,,NCMP000 Tetra Pak Fp,SPS00 NCMP000 Tetra Pak,NCFS000 SPS00 NCMP000 Tetra Pak,SPS00 NCFS000 SPS00 NCMP000 Tetra Pak,,,,,envase Tetra Pak .,en envase Tetra Pak,leche en envase Tetra Pak,de leche en envase Tetra Pak,,,
http://economia.elpais.com/economia/2014/01/10/actualidad/1389385480_191353.html,elpais.com,2014-01-12,Spain,Tetra_Pak/NP00000_NP00000/tetra_pak,"Este  es  ,  en  realidad  ,  el  credo  que  toda  compañía  debería  tener  ,  independientemente  del  ciclo  económico  ,  tal  y  como  apuntó  Gervasio  Vázquez  ,  director  de  la  cadena  de  suministro  de Tetra_Pak  Iberia  ,  filial  de  un  grupo  sueco  dedicada  al  envasado  de  alimentos  .  ""  Cuando  estás  en  la  cresta  es  complicado  introducir  a  la  gente  hacia  un  cambio  que  te  va  a  proteger  en  los  años  siguientes  .",tetra_pak,np00000_np00000,tetra_pak,de,de,SPS00,suministro,suministro,NCMS000,de,de,SPS00,cadena,cadena,NCFS000,la,el,DA0FS0,Iberia,iberia,NP00000,",",",",Fc,filial,filial,NCCS000,de,de,SPS00,un,uno,DI0MS0,2014-01-12,2014,2010,NCMS000 SPS00 Tetra Pak NP00000 Fc,SPS00 Tetra Pak NP00000,NCMS000 SPS00 Tetra Pak,SPS00 NCMS000 SPS00 Tetra Pak,NCFS000 SPS00 NCMS000 SPS00 Tetra Pak,Tetra Pak NP00000 Fc,Tetra Pak NP00000 Fc NCCS000,Tetra Pak NP00000 Fc NCCS000 SPS00,"suministro de Tetra Pak iberia ,",de Tetra Pak iberia,suministro de Tetra Pak,de suministro de Tetra Pak,cadena de suministro de Tetra Pak,"Tetra Pak iberia ,","Tetra Pak iberia , filial","Tetra Pak iberia , filial de"
http://www.revistasumma.com/esquina-verde/45422-costa-rica-aluminio-es-el-material-que-mas-reciclan-los-visitantes-a-importantes-festejos-populares.html,revistasumma.com,2014-01-15,Costa Rica,Tetra_Pak/NP00000_NP00000/tetra_pak,"En  total  se  recolectaron  6,8  toneladas  de  aluminio  ,  3,6  de  plástico  ,  3,3  de Tetra_Pak  y  0,8  de  cartón  .",tetra_pak,np00000_np00000,tetra_pak,de,de,SPS00,"3,3",3.3,Z,",",",",Fc,plástico,plástico,NCMS000,de,de,SPS00,y,y,CC,"0,8",0.8,Z,de,de,SPS00,cartón,cartón,NCMS000,.,.,Fp,2014-01-15,2014,2010,Z SPS00 Tetra Pak CC Z,SPS00 Tetra Pak CC,Z SPS00 Tetra Pak,Fc Z SPS00 Tetra Pak,NCMS000 Fc Z SPS00 Tetra Pak,Tetra Pak CC Z,Tetra Pak CC Z SPS00,Tetra Pak CC Z SPS00 NCMS000,3.3 de Tetra Pak y 0.8,de Tetra Pak y,3.3 de Tetra Pak,", 3.3 de Tetra Pak","plástico , 3.3 de Tetra Pak",Tetra Pak y 0.8,Tetra Pak y 0.8 de,Tetra Pak y 0.8 de cartón
http://www.revistasumma.com/esquina-verde/45422-costa-rica-aluminio-es-el-material-que-mas-reciclan-los-visitantes-a-importantes-festejos-populares.html,revistasumma.com,2014-01-15,Costa Rica,Tetra_Pak/NP00000_NP00000/tetra_pak,"Un  equipo  de  50  personas  recolectará  todos  los  envases  de  plástico  PET  ,  aluminio  y  cartón Tetra_Pak  ,  ofrecerá  información  sobre  reciclaje  y  trabajará  en  el  campo  ferial  ,  el  área  de  conciertos  ,  así  como  durante  el  tope  y  el  carnaval  .",tetra_pak,np00000_np00000,tetra_pak,cartón,cartón,NCMS000,y,y,CC,aluminio,aluminio,NCMS000,",",",",Fc,PET,pet,NP00000,",",",",Fc,ofrecerá,ofrecer,VMIF3S0,información,información,NCFS000,sobre,sobre,SPS00,reciclaje,reciclaje,NCMS000,2014-01-15,2014,2010,CC NCMS000 Tetra Pak Fc VMIF3S0,NCMS000 Tetra Pak Fc,CC NCMS000 Tetra Pak,NCMS000 CC NCMS000 Tetra Pak,Fc NCMS000 CC NCMS000 Tetra Pak,Tetra Pak Fc VMIF3S0,Tetra Pak Fc VMIF3S0 NCFS000,Tetra Pak Fc VMIF3S0 NCFS000 SPS00,"y cartón Tetra Pak , ofrecer","cartón Tetra Pak ,",y cartón Tetra Pak,aluminio y cartón Tetra Pak,", aluminio y cartón Tetra Pak","Tetra Pak , ofrecer","Tetra Pak , ofrecer información","Tetra Pak , ofrecer información sobre"
http://www.revistasumma.com/esquina-verde/45422-costa-rica-aluminio-es-el-material-que-mas-reciclan-los-visitantes-a-importantes-festejos-populares.html,revistasumma.com,2014-01-15,Costa Rica,Tetra_Pak/NP00000_NP00000/tetra_pak,Con  el  cartón Tetra_Pak  se  fabrica  papel  y  láminas  de  construcción  .,tetra_pak,np00000_np00000,tetra_pak,cartón,cartón,NCMS000,el,el,DA0MS0,Con,con,SPS00,,,,,,,se,se,P00CN000,fabrica,fabricar,VMIP3S0,papel,papel,NCMS000,y,y,CC,láminas,lámina,NCFP000,2014-01-15,2014,2010,DA0MS0 NCMS000 Tetra Pak P00CN000 VMIP3S0,NCMS000 Tetra Pak P00CN000,DA0MS0 NCMS000 Tetra Pak,SPS00 DA0MS0 NCMS000 Tetra Pak,,Tetra Pak P00CN000 VMIP3S0,Tetra Pak P00CN000 VMIP3S0 NCMS000,Tetra Pak P00CN000 VMIP3S0 NCMS000 CC,el cartón Tetra Pak se fabricar,cartón Tetra Pak se,el cartón Tetra Pak,con el cartón Tetra Pak,,Tetra Pak se fabricar,Tetra Pak se fabricar papel,Tetra Pak se fabricar papel y
http://peru21.pe/actualidad/empresas-peruanas-cada-vez-mas-interesadas-responsabilidad-medioambiental-2168032,peru21.pe,2014-01-31,Peru,Tetra_Pak/NP00000_NP00000/tetra_pak,Solo  en  el  2012  se  comercializaron  alrededor  de  134_millones  de  envases  de Tetra_Pak  con  el  sello  FSC  en  el  país  (  40  %  más  que  el  2011  )  .,tetra_pak,np00000_np00000,tetra_pak,de,de,SPS00,envases,envase,NCMP000,de,de,SPS00,134_millones,134000000,Zd,de,de,SPS00,con,con,SPS00,el,el,DA0MS0,sello,sello,NCMS000,FSC,fsc,NP00000,en,en,SPS00,2014-01-31,2014,2010,NCMP000 SPS00 Tetra Pak SPS00 DA0MS0,SPS00 Tetra Pak SPS00,NCMP000 SPS00 Tetra Pak,SPS00 NCMP000 SPS00 Tetra Pak,Zd SPS00 NCMP000 SPS00 Tetra Pak,Tetra Pak SPS00 DA0MS0,Tetra Pak SPS00 DA0MS0 NCMS000,Tetra Pak SPS00 DA0MS0 NCMS000 NP00000,envase de Tetra Pak con el,de Tetra Pak con,envase de Tetra Pak,de envase de Tetra Pak,134000000 de envase de Tetra Pak,Tetra Pak con el,Tetra Pak con el sello,Tetra Pak con el sello fsc
