url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elmundo.es/andalucia/2014/01/31/52eb77c3e2704e4d3c8b4571.html,elmundo.es,2014-01-31,Spain,tipp-ex/NCMN000/tipp-ex,"Se  relaja  pintando  otras  cosas  ,  entregándose  a  todo  tipo  de  técnicas  en  las  que  lo  mismo  coquetea  con  el  acrílico  y  el  pastel  ,  que  convierte  al  bolígrafo  ,  el tipp-ex  o  las  cenizas  de  un  cigarro  en  materia  prima  .",tipp-ex,ncmn000,tipp-ex,el,el,DA0MS0,",",",",Fc,bolígrafo,bolígrafo,NCMS000,al,a+el,SPS00+DA0MS0,convierte,convertir,VMIP3S0,o,o,CC,las,el,DA0FP0,cenizas,ceniza,NCFP000,de,de,SPS00,un,uno,DI0MS0,2014-01-31,2014,2010,Fc DA0MS0 Tipp-ex CC DA0FP0,DA0MS0 Tipp-ex CC,Fc DA0MS0 Tipp-ex,NCMS000 Fc DA0MS0 Tipp-ex,SPS00+DA0MS0 NCMS000 Fc DA0MS0 Tipp-ex,Tipp-ex CC DA0FP0,Tipp-ex CC DA0FP0 NCFP000,Tipp-ex CC DA0FP0 NCFP000 SPS00,", el Tipp-ex o el",el Tipp-ex o,", el Tipp-ex","bolígrafo , el Tipp-ex","a+el bolígrafo , el Tipp-ex",Tipp-ex o el,Tipp-ex o el ceniza,Tipp-ex o el ceniza de
http://www.lavozdegalicia.es/noticia/santiago/2014/04/28/piden-seis-anos-prision-exalcalde-santa-comba-falsedad-documental/00031398697182145184745.htm,lavozdegalicia.es,2014-04-28,Spain,Tipp-Ex/NP00000/tipp-ex,"En  una  hoja  posterior  ,  con  al  menos  diecisiete  correcciones  con  "" Tipp-Ex  ""  esa  nota  bajó  hasta  los  3,25  ,  por  lo  que  se  quedó  fuera  de  las  personas  que  finalmente  fueron  seleccionadas  para  formar  parte  de  este  taller  de  empleo  .",tipp-ex,np00000,tipp-ex,"""","""",Fe,con,con,SPS00,correcciones,corrección,NCFP000,diecisiete,17,Z,menos,menos,RG,"""","""",Fe,esa,ese,DD0FS0,nota,nota,NCFS000,bajó,bajar,VMIS3S0,hasta,hasta,SPS00,2014-04-28,2014,2010,SPS00 Fe Tipp-ex Fe DD0FS0,Fe Tipp-ex Fe,SPS00 Fe Tipp-ex,NCFP000 SPS00 Fe Tipp-ex,Z NCFP000 SPS00 Fe Tipp-ex,Tipp-ex Fe DD0FS0,Tipp-ex Fe DD0FS0 NCFS000,Tipp-ex Fe DD0FS0 NCFS000 VMIS3S0,"con "" Tipp-ex "" ese",""" Tipp-ex ""","con "" Tipp-ex","corrección con "" Tipp-ex","17 corrección con "" Tipp-ex","Tipp-ex "" ese","Tipp-ex "" ese nota","Tipp-ex "" ese nota bajar"
http://www.eldiario.es/economia/Banco_Santander-Valores_Santander_0_223977830.html,eldiario.es,2014-06-16,Spain,Tipp-ex/NP00000/tipp-ex,"Algunos  no  tuvieron  ningún  reparo  en  hacerlo  con  una  burda  capa  de  ' Tipp-ex  '  para  sobreescribir  con  una  vieja  máquina  de  escribir  ,  como  ha  podido  comprobar  eldiario  .  es  en  los  documentos  a  los  que  ha  tenido  acceso  .",tipp-ex,np00000,tipp-ex,',',Fe,de,de,SPS00,capa,capa,NCFS000,burda,burdo,AQ0FS0,una,uno,DI0FS0,',',Fe,para,para,SPS00,sobreescribir,sobreescribir,VMN0000,con,con,SPS00,una,uno,DI0FS0,2014-06-16,2014,2010,SPS00 Fe Tipp-ex Fe SPS00,Fe Tipp-ex Fe,SPS00 Fe Tipp-ex,NCFS000 SPS00 Fe Tipp-ex,AQ0FS0 NCFS000 SPS00 Fe Tipp-ex,Tipp-ex Fe SPS00,Tipp-ex Fe SPS00 VMN0000,Tipp-ex Fe SPS00 VMN0000 SPS00,de ' Tipp-ex ' para,' Tipp-ex ',de ' Tipp-ex,capa de ' Tipp-ex,burdo capa de ' Tipp-ex,Tipp-ex ' para,Tipp-ex ' para sobreescribir,Tipp-ex ' para sobreescribir con
http://www.marca.com/2014/07/07/futbol/equipos/valladolid/1404731735.html,marca.com,2014-07-11,Spain,tipp-ex/NCMN000/tipp-ex,"Si  los  hay  ,  se  borran  con tipp-ex  para  escribir  encima  nuevas  metas  .",tipp-ex,ncmn000,tipp-ex,con,con,SPS00,borran,borrar,VMIP3P0,se,se,P00CN000,",",",",Fc,hay,haber,VMIP3S0,para,para,SPS00,escribir,escribir,VMN0000,encima,encima,RG,nuevas,nuevo,AQ0FP0,metas,meta,NCFP000,2014-07-11,2014,2010,VMIP3P0 SPS00 Tipp-ex SPS00 VMN0000,SPS00 Tipp-ex SPS00,VMIP3P0 SPS00 Tipp-ex,P00CN000 VMIP3P0 SPS00 Tipp-ex,Fc P00CN000 VMIP3P0 SPS00 Tipp-ex,Tipp-ex SPS00 VMN0000,Tipp-ex SPS00 VMN0000 RG,Tipp-ex SPS00 VMN0000 RG AQ0FP0,borrar con Tipp-ex para escribir,con Tipp-ex para,borrar con Tipp-ex,se borrar con Tipp-ex,", se borrar con Tipp-ex",Tipp-ex para escribir,Tipp-ex para escribir encima,Tipp-ex para escribir encima nuevo
http://www.genbeta.com/herramientas/la-evolucion-de-las-chuletas-en-la-nueva-era?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bgenbeta%2B%2528Genbeta%2529,genbeta.com,2014-11-20,===NONE===,tipp-ex/NCMN000/tipp-ex,"Incluso  tenemos  a  nuestro  alcance  programas  open  source  como  Chuletas  ,  un  editor  de  texto  especialmente  adaptado  que  ofrece  varias  plantillas  con  las  que  adaptar  los  textos  al  tamaño  de  la  sección  de  ingredientes  de  una  botella  de  refresco  o  la  etiqueta  de  un tipp-ex  .",tipp-ex,ncmn000,tipp-ex,un,uno,DI0MS0,de,de,SPS00,etiqueta,etiqueta,NCFS000,la,el,DA0FS0,o,o,CC,.,.,Fp,,,,,,,,,,,,,2014-11-20,2014,2010,,DI0MS0 Tipp-ex Fp,SPS00 DI0MS0 Tipp-ex,NCFS000 SPS00 DI0MS0 Tipp-ex,DA0FS0 NCFS000 SPS00 DI0MS0 Tipp-ex,,,,,uno Tipp-ex .,de uno Tipp-ex,etiqueta de uno Tipp-ex,el etiqueta de uno Tipp-ex,,,
http://www.elmundo.es/enredados/2014/12/02/547db20bca47416f298b457a.html,elmundo.es,2014-12-02,Spain,Tipp-ex/NP00000/tipp-ex,Y  pegar  el  mensaje  en  tu  muro  sería  el  equivalente  a  llevar  encima  un  Código  Civil  en  el  que  has  borrado  artículos  con Tipp-ex  y  has  añadido  cosas  con  bolígrafo  :  no  tiene  validez  legal  .,tipp-ex,np00000,tipp-ex,con,con,SPS00,artículos,artículo,NCMP000,borrado,borrar,VMP00SM,has,haber,VAIP2S0,que,que,PR0CN000,y,y,CC,has,haber,VAIP2S0,añadido,añadir,VMP00SM,cosas,cosa,NCFP000,con,con,SPS00,2014-12-02,2014,2010,NCMP000 SPS00 Tipp-ex CC VAIP2S0,SPS00 Tipp-ex CC,NCMP000 SPS00 Tipp-ex,VMP00SM NCMP000 SPS00 Tipp-ex,VAIP2S0 VMP00SM NCMP000 SPS00 Tipp-ex,Tipp-ex CC VAIP2S0,Tipp-ex CC VAIP2S0 VMP00SM,Tipp-ex CC VAIP2S0 VMP00SM NCFP000,artículo con Tipp-ex y haber,con Tipp-ex y,artículo con Tipp-ex,borrar artículo con Tipp-ex,haber borrar artículo con Tipp-ex,Tipp-ex y haber,Tipp-ex y haber añadir,Tipp-ex y haber añadir cosa
http://cultura.elpais.com/cultura/2015/03/12/babelia/1426172441_102178.html?ref=rss&format=simple&link=link,elpais.com,2015-03-18,Spain,tipp-ex/NCMN000/tipp-ex,"No  escribió  una  sola  línea  ,  sacó  fotos  ,  pero  al  verlas  impresas  no  le  gustaban  y  comenzó  a  borrarlas  con tipp-ex  .",tipp-ex,ncmn000,tipp-ex,con,con,SPS00,borrarlas,borrar+lo,VMN0000+PP3FPA00,a,a,SPS00,comenzó,comenzar,VMIS3S0,y,y,CC,.,.,Fp,,,,,,,,,,,,,2015-03-18,2015,2010,,SPS00 Tipp-ex Fp,VMN0000+PP3FPA00 SPS00 Tipp-ex,SPS00 VMN0000+PP3FPA00 SPS00 Tipp-ex,VMIS3S0 SPS00 VMN0000+PP3FPA00 SPS00 Tipp-ex,,,,,con Tipp-ex .,borrar+lo con Tipp-ex,a borrar+lo con Tipp-ex,comenzar a borrar+lo con Tipp-ex,,,
http://radio.uchile.cl/2015/04/28/la-corrupcion-se-borra-con-tipex,uchile.cl,2015-04-28,Chile,Tipp-Ex/NP00000/tipp-ex,"Se  trata  de  la  palabra  típex  ,  que  procede  de  la  marca  registrada Tipp-Ex  ,  que  refiere  ""  en  minúscula  ,  con  tilde  en  la  i  y  con  una  sola  p  y  de  manera  genérica  a  un  tipo  de  líquido  o  cinta  que  permite  tapar  con  una  capa  blanca  lo  escrito  y  volver  a  escribir  encima  ""  .",tipp-ex,np00000,tipp-ex,registrada,registrar,VMP00SF,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,procede,proceder,VMIP3S0,",",",",Fc,que,que,PR0CN000,refiere,referir,VMIP3S0,"""","""",Fe,en,en,SPS00,2015-04-28,2015,2010,NCFS000 VMP00SF Tipp-ex Fc PR0CN000,VMP00SF Tipp-ex Fc,NCFS000 VMP00SF Tipp-ex,DA0FS0 NCFS000 VMP00SF Tipp-ex,SPS00 DA0FS0 NCFS000 VMP00SF Tipp-ex,Tipp-ex Fc PR0CN000,Tipp-ex Fc PR0CN000 VMIP3S0,Tipp-ex Fc PR0CN000 VMIP3S0 Fe,"marca registrar Tipp-ex , que","registrar Tipp-ex ,",marca registrar Tipp-ex,el marca registrar Tipp-ex,de el marca registrar Tipp-ex,"Tipp-ex , que","Tipp-ex , que referir","Tipp-ex , que referir """
http://www.elmundo.es/economia/2015/04/28/553fb131268e3e70058b456f.html,elmundo.es,2015-04-28,Spain,Tipp-ex/NP00000/tipp-ex,"Parece  mentira  ,  pero  aún  hay  gente  que  recurre  al  famoso Tipp-ex  ,  o  a  los  aún  menos  atractivos  tachones  cuando  detecta  un  error  en  su  pila  de  currículos  impresos  .",tipp-ex,np00000,tipp-ex,famoso,famoso,AQ0MS0,al,a+el,SPS00+DA0MS0,recurre,recurrir,VMIP3S0,que,que,PR0CN000,gente,gente,NCFS000,",",",",Fc,o,o,CC,a,a,SPS00,los,el,DA0MP0,aún,aun,RG,2015-04-28,2015,2010,SPS00+DA0MS0 AQ0MS0 Tipp-ex Fc CC,AQ0MS0 Tipp-ex Fc,SPS00+DA0MS0 AQ0MS0 Tipp-ex,VMIP3S0 SPS00+DA0MS0 AQ0MS0 Tipp-ex,PR0CN000 VMIP3S0 SPS00+DA0MS0 AQ0MS0 Tipp-ex,Tipp-ex Fc CC,Tipp-ex Fc CC SPS00,Tipp-ex Fc CC SPS00 DA0MP0,"a+el famoso Tipp-ex , o","famoso Tipp-ex ,",a+el famoso Tipp-ex,recurrir a+el famoso Tipp-ex,que recurrir a+el famoso Tipp-ex,"Tipp-ex , o","Tipp-ex , o a","Tipp-ex , o a el"
http://www.abc.es/espana/catalunya/politica/abci-puigdemont-no-razon-para-cambiar-nombre-conselleria-exteriores-201602181031_noticia.html,abc.es,2016-02-18,Spain,Tipp-Ex/NP00000/tipp-ex,"No  obstante  ,  ha  insistido  en  que  Raül  Romeva  seguirá  siendo  el  conseller  del  ramo  :  ""  Ni  tan  solo  pondremos  ' Tipp-Ex  '  a  su  tarjeta  de  visita  allí  donde  dice  Asuntos  Exteriores  ""  ,  ha  afirmado  Puigdemont  ,  convencido  de  que  ""  no  tenemos  por  qué  cambiar  ""  el  nombre  .",tipp-ex,np00000,tipp-ex,',',Fe,pondremos,poner,VMIF1P0,solo,solo,AQ0MS0,tan,tan,RG,Ni,ni,CC,',',Fe,a,a,SPS00,su,su,DP3CS0,tarjeta,tarjeta,NCFS000,de,de,SPS00,2016-02-18,2016,2010,VMIF1P0 Fe Tipp-ex Fe SPS00,Fe Tipp-ex Fe,VMIF1P0 Fe Tipp-ex,AQ0MS0 VMIF1P0 Fe Tipp-ex,RG AQ0MS0 VMIF1P0 Fe Tipp-ex,Tipp-ex Fe SPS00,Tipp-ex Fe SPS00 DP3CS0,Tipp-ex Fe SPS00 DP3CS0 NCFS000,poner ' Tipp-ex ' a,' Tipp-ex ',poner ' Tipp-ex,solo poner ' Tipp-ex,tan solo poner ' Tipp-ex,Tipp-ex ' a,Tipp-ex ' a su,Tipp-ex ' a su tarjeta
