url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://vidayestilo.terra.com.pe/turismo/lima-entre-las-ciudades-que-mas-turistas-reciben-en-el-mundo%2Cf3595acd4b3e3410VgnVCM4000009bcceb0aRCRD.html,terra.com.pe,2014-01-30,Peru,Toblerone/NP00000/toblerone,Comer  el  lomo  saltado  (  y  el  cheessecake  de Toblerone  )  de  El  Grifo  .,toblerone,np00000,toblerone,de,de,SPS00,cheessecake,cheessecake,NCMS000,el,el,DA0MS0,y,y,CC,(,(,Fpa,),),Fpt,de,de,SPS00,El,el,NP00000,Grifo,grifo,NP00000,.,.,Fp,2014-01-30,2014,2010,NCMS000 SPS00 Toblerone Fpt SPS00,SPS00 Toblerone Fpt,NCMS000 SPS00 Toblerone,DA0MS0 NCMS000 SPS00 Toblerone,CC DA0MS0 NCMS000 SPS00 Toblerone,Toblerone Fpt SPS00,Toblerone Fpt SPS00 NP00000,Toblerone Fpt SPS00 NP00000 NP00000,cheessecake de Toblerone ) de,de Toblerone ),cheessecake de Toblerone,el cheessecake de Toblerone,y el cheessecake de Toblerone,Toblerone ) de,Toblerone ) de el,Toblerone ) de el grifo
http://www.elcorreo.com/alava/20140308/local/casarse-engorda-201403071802.html?utm_source=elcorreodigital.com&utm_medium=rss&utm_content=alava-rss&utm_campaign=traffic-rss,elcorreo.com,2014-03-08,Spain,toblerone/VMIP3S0/toblerone,"Y  que  él  le  dirá-No  soy  yo  ,  eres  tú-y  ella  le  echará  en  cara  que  comprara  el toblerone  cuando  fue  a  pagar  en  la  gasolinera  .",toblerone,vmip3s0,toblerone,el,el,DA0MS0,comprara,comprar,VMSI3S0,que,que,PR0CN000,cara,cara,NCFS000,en,en,SPS00,cuando,cuando,CS,fue,ser,VSIS3S0,a,a,SPS00,pagar,pagar,VMN0000,en,en,SPS00,2014-03-08,2014,2010,VMSI3S0 DA0MS0 Toblerone CS VSIS3S0,DA0MS0 Toblerone CS,VMSI3S0 DA0MS0 Toblerone,PR0CN000 VMSI3S0 DA0MS0 Toblerone,NCFS000 PR0CN000 VMSI3S0 DA0MS0 Toblerone,Toblerone CS VSIS3S0,Toblerone CS VSIS3S0 SPS00,Toblerone CS VSIS3S0 SPS00 VMN0000,comprar el Toblerone cuando ser,el Toblerone cuando,comprar el Toblerone,que comprar el Toblerone,cara que comprar el Toblerone,Toblerone cuando ser,Toblerone cuando ser a,Toblerone cuando ser a pagar
http://www.xataka.com/reproductores/ponoplayer-quiere-convertirse-en-el-nuevo-ipod-de-los-audiofilos?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bxataka2%2B%2528Xataka%2529,xataka.com,2014-03-10,===NONE===,toblerone/NCMS000/toblerone,"Este  reproductor  con  un  diseño  "" toblerone  ""  ofrecerá  según  sus  responsables  ""  música  digital  con  calidad  de  master  de  estudio  a  la  más  alta  fidelidad  de  audio  posible  ""  .",toblerone,ncms000,toblerone,"""","""",Fe,diseño,diseño,NCMS000,un,uno,DI0MS0,con,con,SPS00,reproductor,reproductor,NCMS000,"""","""",Fe,ofrecerá,ofrecer,VMIF3S0,según,según,SPS00,sus,su,DP3CP0,responsables,responsable,NCCP000,2014-03-10,2014,2010,NCMS000 Fe Toblerone Fe VMIF3S0,Fe Toblerone Fe,NCMS000 Fe Toblerone,DI0MS0 NCMS000 Fe Toblerone,SPS00 DI0MS0 NCMS000 Fe Toblerone,Toblerone Fe VMIF3S0,Toblerone Fe VMIF3S0 SPS00,Toblerone Fe VMIF3S0 SPS00 DP3CP0,"diseño "" Toblerone "" ofrecer",""" Toblerone ""","diseño "" Toblerone","uno diseño "" Toblerone","con uno diseño "" Toblerone","Toblerone "" ofrecer","Toblerone "" ofrecer según","Toblerone "" ofrecer según su"
http://www.idealista.com/news/archivo/2014/03/05/0724925-victimas-de-la-piqueta-ll-otras-101-joyas-arquitectonicas-espanolas-demolidas-en-nombre-del-progr,idealista.com,2014-03-11,===NONE===,toblerone/NCMS000/toblerone,"quizá  no  se  le  pueda  considerar  una  joya  arquitectónica  ,  pero  al  menos  si  merece  el  calificativo  de  original  y  ,  por  qué  no  ,  de  icónico  .  construido  por  la  compañía  andaluza  de  minas  en  1973  ,  este  característico  silo  mineral  estaba  situado  junto  a  la  estación  de  trenes  de  la  localidad  andaluza  hasta  su  derribo  el  verano  pasado  .  se  conocía  como  '  el toblerone  '  por  el  parecido  con  las  tabletas  de  las  conocidas  chocolatinas  suizas  .  de  hecho  ,  en  los  meses  previos  a  su  demolición  ,  la  compañía  chocolatera  apoyo  a  las  plataformas  locales  que  lucharon  sin  éxito  por  su  rehabilitación </doc>",toblerone,ncms000,toblerone,el,el,DA0MS0,',',Fe,como,como,CS,conocía,conocer,VMII3S0,se,se,P00CN000,',',Fe,por,por,SPS00,el,el,DA0MS0,parecido,parecer,VMP00SM,con,con,SPS00,2014-03-11,2014,2010,Fe DA0MS0 Toblerone Fe SPS00,DA0MS0 Toblerone Fe,Fe DA0MS0 Toblerone,CS Fe DA0MS0 Toblerone,VMII3S0 CS Fe DA0MS0 Toblerone,Toblerone Fe SPS00,Toblerone Fe SPS00 DA0MS0,Toblerone Fe SPS00 DA0MS0 VMP00SM,' el Toblerone ' por,el Toblerone ',' el Toblerone,como ' el Toblerone,conocer como ' el Toblerone,Toblerone ' por,Toblerone ' por el,Toblerone ' por el parecer
http://www.eleconomista.es/turismo-viajes/noticias/5617523/03/14/Zermatt-a-los-pies-del-Monte-Cervino.html,eleconomista.es,2014-03-18,Spain,Toblerone/NP00000/toblerone,"Este  pequeño  pueblo  alpino  es  conocido  mundialmente  por  ser  el  punto  de  partida  de  todos  los  alpinistas  que  desean  descubrir  los  misterios  que  ocultan  las  paredes  de  la  mítica  cumbre  del  Cervino  ,  que  son  conocidas  por  todos  nosotros  por  estar  representadas  en  nuestros  archiconocidos  lápices  de  colores  Alpino  ,  o  por  la  forma  del  chocolate Toblerone  .",toblerone,np00000,toblerone,chocolate,chocolate,NCMS000,del,de+el,SPS00+DA0MS0,forma,forma,NCFS000,la,el,DA0FS0,por,por,SPS00,.,.,Fp,,,,,,,,,,,,,2014-03-18,2014,2010,,NCMS000 Toblerone Fp,SPS00+DA0MS0 NCMS000 Toblerone,NCFS000 SPS00+DA0MS0 NCMS000 Toblerone,DA0FS0 NCFS000 SPS00+DA0MS0 NCMS000 Toblerone,,,,,chocolate Toblerone .,de+el chocolate Toblerone,forma de+el chocolate Toblerone,el forma de+el chocolate Toblerone,,,
http://www.ideal.es/almeria/v/20140320/almeria/comendador-propondra-plan-para-20140320.html?utm_source=ideal.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,ideal.es,2014-03-21,Spain,Toblerone/NP00000/toblerone,"Esos  150_millones  de  euros  sí  que  serían  perfectamente  asumibles  -  según  las  estimaciones  municipales  -  por  la  aportación  gubernamental  para  la  llegada  del  AVE  y  por  los  aprovechamientos  urbanísticos  ligados  al  plan  especial  del  espacio  ferroviario  (  los  suelos  del  antiguo Toblerone  y  los  que  actualmente  ocupan  talleres  y  otros  servicios  de  Renfe  ,  junto  a  la  avenida  de  Montserrat  )  .",toblerone,np00000,toblerone,antiguo,antiguo,AQ0MS0,del,de+el,SPS00+DA0MS0,suelos,suelo,NCMP000,los,el,DA0MP0,(,(,Fpa,y,y,CC,los,el,DA0MP0,que,que,PR0CN000,actualmente,actualmente,RG,ocupan,ocupar,VMIP3P0,2014-03-21,2014,2010,SPS00+DA0MS0 AQ0MS0 Toblerone CC DA0MP0,AQ0MS0 Toblerone CC,SPS00+DA0MS0 AQ0MS0 Toblerone,NCMP000 SPS00+DA0MS0 AQ0MS0 Toblerone,DA0MP0 NCMP000 SPS00+DA0MS0 AQ0MS0 Toblerone,Toblerone CC DA0MP0,Toblerone CC DA0MP0 PR0CN000,Toblerone CC DA0MP0 PR0CN000 RG,de+el antiguo Toblerone y el,antiguo Toblerone y,de+el antiguo Toblerone,suelo de+el antiguo Toblerone,el suelo de+el antiguo Toblerone,Toblerone y el,Toblerone y el que,Toblerone y el que actualmente
http://www.ideal.es/almeria/v/20140320/almeria/comendador-propondra-plan-para-20140320.html?utm_source=ideal.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,ideal.es,2014-03-21,Spain,Toblerone/NP00000/toblerone,Primero  con  la  aprobación  del  plan  especial  sobre  parte  de  la  pastilla  urbanística  del  ferrocarril  que  permitirá  volcar  edificabilidad  en  los  suelos  del  antiguo  silo  de  mineral  del  ' Toblerone  '  .,toblerone,np00000,toblerone,',',Fe,del,de+el,SPS00+DA0MS0,mineral,mineral,NCMS000,de,de,SPS00,silo,silo,NCMS000,',',Fe,.,.,Fp,,,,,,,,,,2014-03-21,2014,2010,SPS00+DA0MS0 Fe Toblerone Fe Fp,Fe Toblerone Fe,SPS00+DA0MS0 Fe Toblerone,NCMS000 SPS00+DA0MS0 Fe Toblerone,SPS00 NCMS000 SPS00+DA0MS0 Fe Toblerone,Toblerone Fe Fp,,,de+el ' Toblerone ' .,' Toblerone ',de+el ' Toblerone,mineral de+el ' Toblerone,de mineral de+el ' Toblerone,Toblerone ' .,,
http://www.elalmeria.es/article/almeria/1733650/las/vias/tren/dividen/la/capital/paso/la/historia.html,elalmeria.es,2014-03-22,Spain,Toblerone/NP00000/toblerone,"Estas  obras  ,  han  sido  calificadas  desde  el  responsable  de  la  Gerencia  de  Urbanismo  de  la  capital  ,  Pablo  Venzal  ,  como  ""  el  inicio  del  soterramiento  del  ferrocarril  ""  a  pesar  de  que  ,  a  falta  de  conocer  las  más  que  optimistas  plusvalías  previstas  en  los  terrenos  liberados  después  de  la  demolición  del Toblerone  ,  no  se  tiene  prevista  su  continuación  al  menos  a  corto  plazo  .",toblerone,np00000,toblerone,del,de+el,SPS00+DA0MS0,demolición,demolición,NCFS000,la,el,DA0FS0,de,de,SPS00,después,después,RG,",",",",Fc,no,no,RN,se,se,P00CN000,tiene,tener,VMIP3S0,prevista,prever,VMP00SF,2014-03-22,2014,2010,NCFS000 SPS00+DA0MS0 Toblerone Fc RN,SPS00+DA0MS0 Toblerone Fc,NCFS000 SPS00+DA0MS0 Toblerone,DA0FS0 NCFS000 SPS00+DA0MS0 Toblerone,SPS00 DA0FS0 NCFS000 SPS00+DA0MS0 Toblerone,Toblerone Fc RN,Toblerone Fc RN P00CN000,Toblerone Fc RN P00CN000 VMIP3S0,"demolición de+el Toblerone , no","de+el Toblerone ,",demolición de+el Toblerone,el demolición de+el Toblerone,de el demolición de+el Toblerone,"Toblerone , no","Toblerone , no se","Toblerone , no se tener"
http://www.elfinanciero.com.mx/empresas/pega-a-halls-y-trident-la-reforma-fiscal-en-sus-ingresos-del-1t2014.html,elfinanciero.com.mx,2014-04-15,Mexico,Toblerone/NP00000/toblerone,"A  nivel  mundial  ,  las  marcas  de  gomas  y  dulces  aportan  14  por  ciento  de  la  facturación  total  de  la  empresa  ,  lo  que  la  convierte  en  la  tercera  categoría  más  importante  después  de  los  chocolates  (  donde  se  incluyen  marcas  como Toblerone  )  ,  que  aportan  27  por  ciento  y  las  galletas  (  que  incluyen  a  Oreo  y  Ritz  )  ,  que  aportan  33  por  ciento  .",toblerone,np00000,toblerone,como,como,CS,marcas,marca,NCFP000,incluyen,incluir,VMIP3P0,se,se,P00CN000,donde,donde,PR000000,),),Fpt,",",",",Fc,que,que,PR0CN000,aportan,aportar,VMIP3P0,27,27,Z,2014-04-15,2014,2010,NCFP000 CS Toblerone Fpt Fc,CS Toblerone Fpt,NCFP000 CS Toblerone,VMIP3P0 NCFP000 CS Toblerone,P00CN000 VMIP3P0 NCFP000 CS Toblerone,Toblerone Fpt Fc,Toblerone Fpt Fc PR0CN000,Toblerone Fpt Fc PR0CN000 VMIP3P0,"marca como Toblerone ) ,",como Toblerone ),marca como Toblerone,incluir marca como Toblerone,se incluir marca como Toblerone,"Toblerone ) ,","Toblerone ) , que","Toblerone ) , que aportar"
http://www.abc.es/sociedad/20140526/abci-pilares-estado-bienestar-suecia-201405192111.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-05-26,Spain,Toblerone/NP00000/toblerone,"En  esta  sede  ,  su  portavoz  Hans  Sundström  asegura  que  ""  no  es  que  no  haya  corrupción  en  Suecia  ,  sino  que  aquí  es  mucho  más  fácil  detectarla  y  castigarla  ""  ,  y  recuerda  aquel  tímido  caso  que  ahora  en  España  no  pasaría  de  una  anecdótica  factura  de  la  líder  del  Partido  Socialdemócrata  ,  Mona  Shalin  ,  que  destapó  el  ""  escándalo Toblerone  ""  por  usar  su  tarjeta  de  crédito  reservada  a  los  parlamentarios  para  adquirir  unas  barritas  de  chocolate  en  un  aeropuerto  .",toblerone,np00000,toblerone,escándalo,escándalo,NCMS000,"""","""",Fe,el,el,DA0MS0,destapó,destapar,VMIS3S0,que,que,PR0CN000,"""","""",Fe,por,por,SPS00,usar,usar,VMN0000,su,su,DP3CS0,tarjeta,tarjeta,NCFS000,2014-05-26,2014,2010,Fe NCMS000 Toblerone Fe SPS00,NCMS000 Toblerone Fe,Fe NCMS000 Toblerone,DA0MS0 Fe NCMS000 Toblerone,VMIS3S0 DA0MS0 Fe NCMS000 Toblerone,Toblerone Fe SPS00,Toblerone Fe SPS00 VMN0000,Toblerone Fe SPS00 VMN0000 DP3CS0,""" escándalo Toblerone "" por","escándalo Toblerone """,""" escándalo Toblerone","el "" escándalo Toblerone","destapar el "" escándalo Toblerone","Toblerone "" por","Toblerone "" por usar","Toblerone "" por usar su"
