url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.periodistadigital.com/ocio-y-cultura/gente/2014/06/23/la-actriz-gallega-que-anunciaba-compresas-se-mete-a-monja.shtml,periodistadigital.com,2014-06-23,Spain,Trinaranjus/NP00000/trinaranjus,"Hasta  que  decidió  ingresar  en  la  Orden  y  Mandato  de  San  Miguel  Arcángel  ,  Olalla  Oliveros  era  un  rostro  conocido  de  la  televisión  tras  protagonizar  anuncios  para  marcas  como  Ford  ,  Rover  ,  ING  Direct  ,  Evax  ,  Ausonia  , Trinaranjus  y  Kellog  ́  s  ,  entre  otras  ,  y  haber  tenido  papeles  episódicos  y  secundarios  en  series  tan  populares  como  '  El  Comisario  '  ,  '  Escenas  de  matrimonio  '  y  '  La  familia  Mata  '  .",trinaranjus,np00000,trinaranjus,",",",",Fc,Ausonia,ausonia,NP00000,",",",",Fc,Evax,evax,NP00000,",",",",Fc,y,y,CC,Kellog,kellog,NP00000,́,́,Fz,s,s,NCFS000,",",",",Fc,2014-06-23,2014,2010,NP00000 Fc Trinaranjus CC NP00000,Fc Trinaranjus CC,NP00000 Fc Trinaranjus,Fc NP00000 Fc Trinaranjus,NP00000 Fc NP00000 Fc Trinaranjus,Trinaranjus CC NP00000,Trinaranjus CC NP00000 Fz,Trinaranjus CC NP00000 Fz NCFS000,"ausonia , Trinaranjus y kellog",", Trinaranjus y","ausonia , Trinaranjus",", ausonia , Trinaranjus","evax , ausonia , Trinaranjus",Trinaranjus y kellog,Trinaranjus y kellog ́,Trinaranjus y kellog ́ s
http://futbol.as.com/futbol/2015/06/06/primera/1433556506_191902.html?ref=rss&format=simple&link=link,as.com,2015-06-06,Spain,Trinaranjus/NP00000/trinaranjus,"Así  escaló  hasta  el  Castilla  ,  donde  era  tan  devoto  de  la  condición  física  que  le  apodaban  Trina  (  por Trinaranjus  )  porque  evitaba  la  más  mínima  gota  de  alcohol  .",trinaranjus,np00000,trinaranjus,por,por,SPS00,(,(,Fpa,Trina,trina,NP00000,apodaban,apodar,VMII3P0,le,le,PP3CSD00,),),Fpt,porque,porque,CS,evitaba,evitar,VMII3S0,la,el,DA0FS0,más,más,RG,2015-06-06,2015,2010,Fpa SPS00 Trinaranjus Fpt CS,SPS00 Trinaranjus Fpt,Fpa SPS00 Trinaranjus,NP00000 Fpa SPS00 Trinaranjus,VMII3P0 NP00000 Fpa SPS00 Trinaranjus,Trinaranjus Fpt CS,Trinaranjus Fpt CS VMII3S0,Trinaranjus Fpt CS VMII3S0 DA0FS0,( por Trinaranjus ) porque,por Trinaranjus ),( por Trinaranjus,trina ( por Trinaranjus,apodar trina ( por Trinaranjus,Trinaranjus ) porque,Trinaranjus ) porque evitar,Trinaranjus ) porque evitar el
http://www.publico.es/sociedad/carboneria-lorences.html,publico.es,2016-02-24,Spain,TriNaranjus/NP00000/trinaranjus,"Arturo  no  siempre  fue  carbonero  ,  aunque  de  herencia  le  viene  .  ""  Mi  primer  trabajo  fue  en  el TriNaranjus  y  después  fui  viajante  de  cuberterías  ,  vajillas  y  cristalerías  ""  .",trinaranjus,np00000,trinaranjus,el,el,DA0MS0,en,en,SPS00,fue,ser,VSIS3S0,trabajo,trabajo,NCMS000,primer,1,AO0MS0,y,y,CC,después,después,RG,fui,ser,VSIS1S0,viajante,viajante,AQ0CS0,de,de,SPS00,2016-02-24,2016,2010,SPS00 DA0MS0 Trinaranjus CC RG,DA0MS0 Trinaranjus CC,SPS00 DA0MS0 Trinaranjus,VSIS3S0 SPS00 DA0MS0 Trinaranjus,NCMS000 VSIS3S0 SPS00 DA0MS0 Trinaranjus,Trinaranjus CC RG,Trinaranjus CC RG VSIS1S0,Trinaranjus CC RG VSIS1S0 AQ0CS0,en el Trinaranjus y después,el Trinaranjus y,en el Trinaranjus,ser en el Trinaranjus,trabajo ser en el Trinaranjus,Trinaranjus y después,Trinaranjus y después ser,Trinaranjus y después ser viajante
http://www.elcorreogallego.es/opinion/firmas/ecg/confesion-de-parte/idEdicion-2016-05-31/idNoticia-1000132/,elcorreogallego.es,2016-05-31,Spain,TriNaranjus/NP00000/trinaranjus,"Sí  ,  señores  ;  no  solo  Sergio  Ramos  estaba  en  fuera  de  juego  ,  sino  que  a  Griezmann  se  le  facilitó  un TriNaranjus  en  mal  estado  para  que  fallase  el  penalti  y  el  balón  de  Juanfran  estaba  imantado  para  que  se  fuese  directo  al  poste  izquierdo  .",trinaranjus,np00000,trinaranjus,un,uno,DI0MS0,facilitó,facilitar,VMIS3S0,le,le,PP3CSD00,se,se,P00CN000,Griezmann,griezmann,NP00000,en,en,SPS00,mal,mal,RG,estado,estado,NCMS000,para,para,SPS00,que,que,CS,2016-05-31,2016,2010,VMIS3S0 DI0MS0 Trinaranjus SPS00 RG,DI0MS0 Trinaranjus SPS00,VMIS3S0 DI0MS0 Trinaranjus,PP3CSD00 VMIS3S0 DI0MS0 Trinaranjus,P00CN000 PP3CSD00 VMIS3S0 DI0MS0 Trinaranjus,Trinaranjus SPS00 RG,Trinaranjus SPS00 RG NCMS000,Trinaranjus SPS00 RG NCMS000 SPS00,facilitar uno Trinaranjus en mal,uno Trinaranjus en,facilitar uno Trinaranjus,le facilitar uno Trinaranjus,se le facilitar uno Trinaranjus,Trinaranjus en mal,Trinaranjus en mal estado,Trinaranjus en mal estado para
http://cincodias.com/cincodias/2016/07/22/sentidos/1469213416_967438.html#%3Fref%3Drss%26format%3Dsimple%26link%3Dlink,cincodias.com,2016-07-23,===NONE===,Trinaranjus/NP00000/trinaranjus,"En  la  actualidad  Trina  ,  otrora Trinaranjus  ,  la  bebida  refrescante  que  se  hizo  un  hueco  en  el  mercado  presumiendo  de  no  tener  burbujas  .",trinaranjus,np00000,trinaranjus,otrora,otrora,RG,",",",",Fc,Trina,trina,NP00000,actualidad,actualidad,NCFS000,la,el,DA0FS0,",",",",Fc,la,el,DA0FS0,bebida,bebida,NCFS000,refrescante,refrescante,AQ0CS0,que,que,PR0CN000,2016-07-23,2016,2010,Fc RG Trinaranjus Fc DA0FS0,RG Trinaranjus Fc,Fc RG Trinaranjus,NP00000 Fc RG Trinaranjus,NCFS000 NP00000 Fc RG Trinaranjus,Trinaranjus Fc DA0FS0,Trinaranjus Fc DA0FS0 NCFS000,Trinaranjus Fc DA0FS0 NCFS000 AQ0CS0,", otrora Trinaranjus , el","otrora Trinaranjus ,",", otrora Trinaranjus","trina , otrora Trinaranjus","actualidad trina , otrora Trinaranjus","Trinaranjus , el","Trinaranjus , el bebida","Trinaranjus , el bebida refrescante"
http://cincodias.com/cincodias/2016/07/22/sentidos/1469213416_967438.html#%3Fref%3Drss%26format%3Dsimple%26link%3Dlink,cincodias.com,2016-07-23,===NONE===,TriNaranjus/NP00000/trinaranjus,Lo  bautizaron  como TriNaranjus  .,trinaranjus,np00000,trinaranjus,como,como,CS,bautizaron,bautizar,VMIS3P0,Lo,lo,PP3CNA00,,,,,,,.,.,Fp,,,,,,,,,,,,,2016-07-23,2016,2010,,CS Trinaranjus Fp,VMIS3P0 CS Trinaranjus,PP3CNA00 VMIS3P0 CS Trinaranjus,,,,,,como Trinaranjus .,bautizar como Trinaranjus,lo bautizar como Trinaranjus,,,,
http://cincodias.com/cincodias/2016/07/22/sentidos/1469213416_967438.html#%3Fref%3Drss%26format%3Dsimple%26link%3Dlink,cincodias.com,2016-07-23,===NONE===,TriNaranjus/NP00000/trinaranjus,"En  cualquier  caso  , TriNaranjus  se  convirtió  en  un  éxito  a  nivel  nacional  ,  sobre  todo  desde  los  años  50  ,  cuando  se  popularizó  el  consumo  de  refrescos  .",trinaranjus,np00000,trinaranjus,",",",",Fc,caso,caso,NCMS000,cualquier,cualquiera,DI0CS0,En,en,SPS00,,,,se,se,P00CN000,convirtió,convertir,VMIS3S0,en,en,SPS00,un,uno,DI0MS0,éxito,éxito,NCMS000,2016-07-23,2016,2010,NCMS000 Fc Trinaranjus P00CN000 VMIS3S0,Fc Trinaranjus P00CN000,NCMS000 Fc Trinaranjus,DI0CS0 NCMS000 Fc Trinaranjus,SPS00 DI0CS0 NCMS000 Fc Trinaranjus,Trinaranjus P00CN000 VMIS3S0,Trinaranjus P00CN000 VMIS3S0 SPS00,Trinaranjus P00CN000 VMIS3S0 SPS00 DI0MS0,"caso , Trinaranjus se convertir",", Trinaranjus se","caso , Trinaranjus","cualquiera caso , Trinaranjus","en cualquiera caso , Trinaranjus",Trinaranjus se convertir,Trinaranjus se convertir en,Trinaranjus se convertir en uno
http://eldiadigital.es/not/189056/psoe-la-madre-de-todas-las-batallas/,eldiadigital.es,2016-09-17,Spain,Trinaranjus/NP00000/trinaranjus,"Los  guerrilleros  publicitarios  del  entorno  de  Susana  contratacan  diciendo  que  ""  al  de  Madrid  le  llaman  el Trinaranjus  porque  no  se  toma  en  ningún  lado  ""  .",trinaranjus,np00000,trinaranjus,el,el,DA0MS0,llaman,llamar,VMIP3P0,le,le,PP3CSD00,Madrid,madrid,NP00000,de,de,SPS00,porque,porque,CS,no,no,RN,se,se,P00CN000,toma,tomar,VMIP3S0,en,en,SPS00,2016-09-17,2016,2010,VMIP3P0 DA0MS0 Trinaranjus CS RN,DA0MS0 Trinaranjus CS,VMIP3P0 DA0MS0 Trinaranjus,PP3CSD00 VMIP3P0 DA0MS0 Trinaranjus,NP00000 PP3CSD00 VMIP3P0 DA0MS0 Trinaranjus,Trinaranjus CS RN,Trinaranjus CS RN P00CN000,Trinaranjus CS RN P00CN000 VMIP3S0,llamar el Trinaranjus porque no,el Trinaranjus porque,llamar el Trinaranjus,le llamar el Trinaranjus,madrid le llamar el Trinaranjus,Trinaranjus porque no,Trinaranjus porque no se,Trinaranjus porque no se tomar
http://www.eleconomista.es/espana/noticias/7872067/10/16/El-CEU-dedica-un-libro-y-una-exposicion-al-farmaceutico-valenciano-inventor-del-Trinaranjus.html,eleconomista.es,2016-10-05,Spain,Trinaranjus/NP00000/trinaranjus,"<doc uri=http://www.eleconomista.es/espana/noticias/7872067/10/16/El-CEU-dedica-un-libro-y-una-exposicion-al-farmaceutico-valenciano-inventor-del-Trinaranjus.html website=eleconomista.es date=2016-10-05 source_country=Spain> /el/DA0FS0 /universidad/NP00000 /ceu/NP00000 /cardenal/NP00000 /herrera/NP00000 /haber/VAIP3S0 /acoger/VMP00SM /este/DD0MS0 /miércoles/NCMN000 /el/DA0FS0 /presentación/NCFS000 /de+el/SPS00+DA0MS0 /libro/NCMS000 /'/Fe /agustín/NP00000 /trigo/NP00000 /mezquita/NP00000 /,/Fc /farmacéutico/NCMS000 /valenciano/AQ0MS0 /inventor/NCMS000 /de+el/SPS00+DA0MS0 Trinaranjus  '  ,  y  la  posterior  inauguración  de  una  exposición  dedicada  a  la  vida  y  obra  del  doctor  Trigo  ,  según  ha  informado  la  institución  académica  en  un  comunicado  .",trinaranjus,np00000,trinaranjus,del,de+el,SPS00+DA0MS0,inventor,inventor,NCMS000,valenciano,valenciano,AQ0MS0,farmacéutico,farmacéutico,NCMS000,",",",",Fc,',',Fe,",",",",Fc,y,y,CC,la,el,DA0FS0,posterior,posterior,AQ0CS0,2016-10-05,2016,2010,NCMS000 SPS00+DA0MS0 Trinaranjus Fe Fc,SPS00+DA0MS0 Trinaranjus Fe,NCMS000 SPS00+DA0MS0 Trinaranjus,AQ0MS0 NCMS000 SPS00+DA0MS0 Trinaranjus,NCMS000 AQ0MS0 NCMS000 SPS00+DA0MS0 Trinaranjus,Trinaranjus Fe Fc,Trinaranjus Fe Fc CC,Trinaranjus Fe Fc CC DA0FS0,"inventor de+el Trinaranjus ' ,",de+el Trinaranjus ',inventor de+el Trinaranjus,valenciano inventor de+el Trinaranjus,farmacéutico valenciano inventor de+el Trinaranjus,"Trinaranjus ' ,","Trinaranjus ' , y","Trinaranjus ' , y el"
http://www.eleconomista.es/espana/noticias/7872067/10/16/El-CEU-dedica-un-libro-y-una-exposicion-al-farmaceutico-valenciano-inventor-del-Trinaranjus.html,eleconomista.es,2016-10-05,Spain,Trinaranjus/NP00000/trinaranjus,"El  profesor  De  Jaime  es  el  autor  del  libro  '  Agustín  Trigo  Mezquita  ,  farmacéutico  valenciano  inventor  del Trinaranjus  '  ,  un  estudio  que  recorre  las  diferentes  facetas  de  este  farmacéutico  valenciano  .",trinaranjus,np00000,trinaranjus,del,de+el,SPS00+DA0MS0,inventor,inventor,NCMS000,valenciano,valenciano,AQ0MS0,farmacéutico,farmacéutico,NCMS000,",",",",Fc,',',Fe,",",",",Fc,un,uno,DI0MS0,estudio,estudio,NCMS000,que,que,PR0CN000,2016-10-05,2016,2010,NCMS000 SPS00+DA0MS0 Trinaranjus Fe Fc,SPS00+DA0MS0 Trinaranjus Fe,NCMS000 SPS00+DA0MS0 Trinaranjus,AQ0MS0 NCMS000 SPS00+DA0MS0 Trinaranjus,NCMS000 AQ0MS0 NCMS000 SPS00+DA0MS0 Trinaranjus,Trinaranjus Fe Fc,Trinaranjus Fe Fc DI0MS0,Trinaranjus Fe Fc DI0MS0 NCMS000,"inventor de+el Trinaranjus ' ,",de+el Trinaranjus ',inventor de+el Trinaranjus,valenciano inventor de+el Trinaranjus,farmacéutico valenciano inventor de+el Trinaranjus,"Trinaranjus ' ,","Trinaranjus ' , uno","Trinaranjus ' , uno estudio"
