url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elcorreogallego.es/santiago/ecg/los-contentos-unos-malditos-pioneros-del-garage/idEdicion-2014-03-28/idNoticia-860525/,elcorreogallego.es,2014-03-28,Spain,Turmix/NP00000/turmix,"""  En  el  camino  se  quedó  lo  que  podría  haber  sido  el  grupo  DEFINITIVO  ,  eran  magníficos  ""  Son  palabras  de  Kike Turmix  unos  años  antes  de  abandonar  éste  mundo  .",turmix,np00000,turmix,Kike,kike,NP00000,de,de,SPS00,palabras,palabra,NCFP000,Son,ser,VSIP3P0,"""","""",Fe,unos,uno,DI0MP0,años,año,NCMP000,antes,antes,RG,de,de,SPS00,abandonar,abandonar,VMN0000,2014-03-28,2014,2010,SPS00 NP00000 Turmix DI0MP0 NCMP000,NP00000 Turmix DI0MP0,SPS00 NP00000 Turmix,NCFP000 SPS00 NP00000 Turmix,VSIP3P0 NCFP000 SPS00 NP00000 Turmix,Turmix DI0MP0 NCMP000,Turmix DI0MP0 NCMP000 RG,Turmix DI0MP0 NCMP000 RG SPS00,de kike Turmix uno año,kike Turmix uno,de kike Turmix,palabra de kike Turmix,ser palabra de kike Turmix,Turmix uno año,Turmix uno año antes,Turmix uno año antes de
http://www.elcorreogallego.es/santiago/ecg/los-contentos-unos-malditos-pioneros-del-garage/idEdicion-2014-03-28/idNoticia-860525/,elcorreogallego.es,2014-03-28,Spain,Turmix/NP00000/turmix,"Y  bien  es  sabido  que Turmix  no  se  caracterizaba  por  halagar  bandas  a  la  ligera  ,  mas  bien  al  contrario  .",turmix,np00000,turmix,que,que,CS,sabido,saber,VMP00SM,es,ser,VSIP3S0,bien,bien,RG,Y,y,CC,no,no,RN,se,se,P00CN000,caracterizaba,caracterizar,VMII3S0,por,por,SPS00,halagar,halagar,VMN0000,2014-03-28,2014,2010,VMP00SM CS Turmix RN P00CN000,CS Turmix RN,VMP00SM CS Turmix,VSIP3S0 VMP00SM CS Turmix,RG VSIP3S0 VMP00SM CS Turmix,Turmix RN P00CN000,Turmix RN P00CN000 VMII3S0,Turmix RN P00CN000 VMII3S0 SPS00,saber que Turmix no se,que Turmix no,saber que Turmix,ser saber que Turmix,bien ser saber que Turmix,Turmix no se,Turmix no se caracterizar,Turmix no se caracterizar por
http://www.elcorreogallego.es/santiago/ecg/los-contentos-unos-malditos-pioneros-del-garage/idEdicion-2014-03-28/idNoticia-860525/,elcorreogallego.es,2014-03-28,Spain,Turmix/NP00000/turmix,"Eran  magníficos  ""  (  Kike Turmix  )",turmix,np00000,turmix,Kike,kike,NP00000,(,(,Fpa,"""","""",Fe,magníficos,magnífico,AQ0MP0,Eran,ser,VSII3P0,),),Fpt,,,,,,,,,,,,,2014-03-28,2014,2010,,NP00000 Turmix Fpt,Fpa NP00000 Turmix,Fe Fpa NP00000 Turmix,AQ0MP0 Fe Fpa NP00000 Turmix,,,,,kike Turmix ),( kike Turmix,""" ( kike Turmix","magnífico "" ( kike Turmix",,,
http://blogs.libertaddigital.com/confesiones-de-un-cinepata/critica-pompeya-con-kit-harington-y-emily-browning-12930/,libertaddigital.com,2014-04-25,===NONE===,turmix/NCMN000/turmix,"En  Pompeya  el  andamiaje  de  un  guión  básico  se  descubre  en  un turmix  digitalizado  de  Titanic  despachado  en  hora  y  media  que  ,  desde  luego  ,  se  pasa  alegremente  .",turmix,ncmn000,turmix,un,uno,DI0MS0,en,en,SPS00,descubre,descubrir,VMIP3S0,se,se,P00CN000,básico,básico,AQ0MS0,digitalizado,digitalizar,VMP00SM,de,de,SPS00,Titanic,titanic,NP00000,despachado,despachar,VMP00SM,en,en,SPS00,2014-04-25,2014,2010,SPS00 DI0MS0 Turmix VMP00SM SPS00,DI0MS0 Turmix VMP00SM,SPS00 DI0MS0 Turmix,VMIP3S0 SPS00 DI0MS0 Turmix,P00CN000 VMIP3S0 SPS00 DI0MS0 Turmix,Turmix VMP00SM SPS00,Turmix VMP00SM SPS00 NP00000,Turmix VMP00SM SPS00 NP00000 VMP00SM,en uno Turmix digitalizar de,uno Turmix digitalizar,en uno Turmix,descubrir en uno Turmix,se descubrir en uno Turmix,Turmix digitalizar de,Turmix digitalizar de titanic,Turmix digitalizar de titanic despachar
http://www.elmundo.es/blogs/elmundo/elblogdesantiagogonzalez/2014/05/07/elena-valenciano-y-el-barrendero-de.html,elmundo.es,2014-05-07,Spain,Turmix/NP00000/turmix,"Elena  pertenece  a  una  generación Turmix  ,  alimentada  con  potitos  también  en  lo  intelectual  .",turmix,np00000,turmix,generación,generación,NCFS000,una,uno,DI0FS0,a,a,SPS00,pertenece,pertenecer,VMIP3S0,Elena,elena,NP00000,",",",",Fc,alimentada,alimentar,VMP00SF,con,con,SPS00,potitos,pote,NCMP00D,también,también,RG,2014-05-07,2014,2010,DI0FS0 NCFS000 Turmix Fc VMP00SF,NCFS000 Turmix Fc,DI0FS0 NCFS000 Turmix,SPS00 DI0FS0 NCFS000 Turmix,VMIP3S0 SPS00 DI0FS0 NCFS000 Turmix,Turmix Fc VMP00SF,Turmix Fc VMP00SF SPS00,Turmix Fc VMP00SF SPS00 NCMP00D,"uno generación Turmix , alimentar","generación Turmix ,",uno generación Turmix,a uno generación Turmix,pertenecer a uno generación Turmix,"Turmix , alimentar","Turmix , alimentar con","Turmix , alimentar con pote"
http://www.elnuevoherald.com/2014/05/14/1748083/fania-celebra-50-anos-con-serie.html#storylink%3Drss,elnuevoherald.com,2014-05-15,United States,Turmix/NP00000/turmix,"Una  noche  de  boogaloo  latino  con  Joe  Bataan  ,  Boogaloo  Assassins  y  DJ Turmix  está  programada  en  Clove  Lakes  ,  en  Staten  Island  ,  el  31  de  julio  ;  y  Típica  73  con  Adalberto  Santiago  y  la  Orquesta  de  Salsa  Williamsburg  se  presentarán  en  el  East  River  Park  de  Manhattan  el  5  de  agosto  .",turmix,np00000,turmix,DJ,dj,NP00000,y,y,CC,Assassins,assassins,NP00000,Boogaloo,boogaloo,NP00000,",",",",Fc,está,estar,VAIP3S0,programada,programar,VMP00SF,en,en,SPS00,Clove,clove,NP00000,Lakes,lakes,NP00000,2014-05-15,2014,2010,CC NP00000 Turmix VAIP3S0 VMP00SF,NP00000 Turmix VAIP3S0,CC NP00000 Turmix,NP00000 CC NP00000 Turmix,NP00000 NP00000 CC NP00000 Turmix,Turmix VAIP3S0 VMP00SF,Turmix VAIP3S0 VMP00SF SPS00,Turmix VAIP3S0 VMP00SF SPS00 NP00000,y dj Turmix estar programar,dj Turmix estar,y dj Turmix,assassins y dj Turmix,boogaloo assassins y dj Turmix,Turmix estar programar,Turmix estar programar en,Turmix estar programar en clove
http://www.lanzadigital.com/news/show/gastronomia/gazpacho-clasico/13474,lanzadigital.com,2014-07-11,Spain,turmix/NCMN000/turmix,"Entonces  triturarlo  ,  bien  pasando  esta  mezcla  a  un  vaso  de turmix  o  con  una  de  brazo  en  la  misma  cacerola  .",turmix,ncmn000,turmix,de,de,SPS00,vaso,vaso,NCMS000,un,uno,DI0MS0,a,a,SPS00,mezcla,mezcla,NCFS000,o,o,CC,con,con,SPS00,una,uno,DI0FS0,de,de,SPS00,brazo,brazo,NCMS000,2014-07-11,2014,2010,NCMS000 SPS00 Turmix CC SPS00,SPS00 Turmix CC,NCMS000 SPS00 Turmix,DI0MS0 NCMS000 SPS00 Turmix,SPS00 DI0MS0 NCMS000 SPS00 Turmix,Turmix CC SPS00,Turmix CC SPS00 DI0FS0,Turmix CC SPS00 DI0FS0 SPS00,vaso de Turmix o con,de Turmix o,vaso de Turmix,uno vaso de Turmix,a uno vaso de Turmix,Turmix o con,Turmix o con uno,Turmix o con uno de
http://www.xataka.com/robotica/robots-en-la-cocina-la-receta-algoritmica-se-cocina-mejor?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bxataka2%2B%2528Xataka%2529,xataka.com,2014-07-17,===NONE===,Turmix/NP00000/turmix,"En  Europa  tuvimos  que  esperar  un  poco  más  ,  pues  hasta  1943  no  se  lanzó  la Turmix  Stanmixer  y  otros  modelos  similares  de  batidoras  de  jarra  .",turmix,np00000,turmix,la,el,DA0FS0,lanzó,lanzar,VMIS3S0,se,se,P00CN000,no,no,RN,1943,1943,Z,Stanmixer,stanmixer,NP00000,y,y,CC,otros,otro,DI0MP0,modelos,modelo,NCCP000,similares,similar,AQ0CP0,2014-07-17,2014,2010,VMIS3S0 DA0FS0 Turmix NP00000 CC,DA0FS0 Turmix NP00000,VMIS3S0 DA0FS0 Turmix,P00CN000 VMIS3S0 DA0FS0 Turmix,RN P00CN000 VMIS3S0 DA0FS0 Turmix,Turmix NP00000 CC,Turmix NP00000 CC DI0MP0,Turmix NP00000 CC DI0MP0 NCCP000,lanzar el Turmix stanmixer y,el Turmix stanmixer,lanzar el Turmix,se lanzar el Turmix,no se lanzar el Turmix,Turmix stanmixer y,Turmix stanmixer y otro,Turmix stanmixer y otro modelo
http://www.eleconomista.es/economia/noticias/5975651/07/14/Economia-Empresas-Taurus-se-hace-con-Solac-tras-el-concurso-voluntario-de-Cegasa.html,eleconomista.es,2014-07-29,Spain,Turmix/NP00000/turmix,"Taurus  Group  ,  presente  en  más  de  80  países  y  con  filiales  en  más  de  10  países  ,  está  integrado  por  17  marcas  :  Taurus  ,  Mycook  ,  Monix  , Turmix  ,  Minimoka  ,  Coffeemotion  ,  Winsor  ,  Casals  ,  Taurus  Professional  ,  White  &  Brown  ,  Alpatec  ,  Mallory  ,  Inalsa  ,  Práctika  ,  Mellerware  ,  Lucky  y  la  reciente  Solac  . </doc>",turmix,np00000,turmix,",",",",Fc,Monix,monix,NP00000,",",",",Fc,Mycook,mycook,NP00000,",",",",Fc,",",",",Fc,Minimoka,minimoka,NP00000,",",",",Fc,Coffeemotion,coffeemotion,NP00000,",",",",Fc,2014-07-29,2014,2010,NP00000 Fc Turmix Fc NP00000,Fc Turmix Fc,NP00000 Fc Turmix,Fc NP00000 Fc Turmix,NP00000 Fc NP00000 Fc Turmix,Turmix Fc NP00000,Turmix Fc NP00000 Fc,Turmix Fc NP00000 Fc NP00000,"monix , Turmix , minimoka",", Turmix ,","monix , Turmix",", monix , Turmix","mycook , monix , Turmix","Turmix , minimoka","Turmix , minimoka ,","Turmix , minimoka , coffeemotion"
http://www.antena3.com/programas/top-chef/recetas/canelones-tradicionales-fina-bechamel-berenjena_2014111200311.html,antena3.com,2014-11-12,Spain,turmix/NCMN000/turmix,"Deshuesar  el  pollo  y  triturar  con  la  ayuda  de  un turmix  ,  hasta  conseguir  una  masa  fina",turmix,ncmn000,turmix,un,uno,DI0MS0,de,de,SPS00,ayuda,ayuda,NCFS000,la,el,DA0FS0,con,con,SPS00,",",",",Fc,hasta,hasta,SPS00,conseguir,conseguir,VMN0000,una,uno,DI0FS0,masa,masa,NCFS000,2014-11-12,2014,2010,SPS00 DI0MS0 Turmix Fc SPS00,DI0MS0 Turmix Fc,SPS00 DI0MS0 Turmix,NCFS000 SPS00 DI0MS0 Turmix,DA0FS0 NCFS000 SPS00 DI0MS0 Turmix,Turmix Fc SPS00,Turmix Fc SPS00 VMN0000,Turmix Fc SPS00 VMN0000 DI0FS0,"de uno Turmix , hasta","uno Turmix ,",de uno Turmix,ayuda de uno Turmix,el ayuda de uno Turmix,"Turmix , hasta","Turmix , hasta conseguir","Turmix , hasta conseguir uno"
