url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.rockdelux.com/secciones/p/micah-p-hinson-gigante.html,rockdelux.com,2014-01-02,===NONE===,Valium/NP00000/valium,"Recuerda  cómo  era  su  vida  antes  de  entrar  a  grabar  ""  Micah  P.  Hinson  And  The  Gospel  Of  Progress  ""  y  cómo  todo  comenzó  por  fin  a  estabilizarse  tras  media  década  dando  tumbos  entre  faldas  y  cajas  vacías  de Valium  .",valium,np00000,valium,de,de,SPS00,vacías,vacío,AQ0FP0,cajas,caja,NCFP000,y,y,CC,faldas,falda,NCFP000,.,.,Fp,,,,,,,,,,,,,2014-01-02,2014,2010,,SPS00 Valium Fp,AQ0FP0 SPS00 Valium,NCFP000 AQ0FP0 SPS00 Valium,CC NCFP000 AQ0FP0 SPS00 Valium,,,,,de Valium .,vacío de Valium,caja vacío de Valium,y caja vacío de Valium,,,
http://www.nopuedocreer.com/quelohayaninventado/24913/el-tendedero-contra-contagios/,nopuedocreer.com,2014-01-04,===NONE===,Valium/NP00000/valium,"Pero  el  contagio  de  los  tendederos  es  también  emocional  :  una  prenda  con  la  que  hayas  fracasado  en  cualquier  intento  que  se  seque  junto  a  una  prenda  que  cumple  sus  objetivos  (  el  pijama  de  dormir  con Valium  ,  por  ejemplo  )  podrá  hacerla  partícipe  de  su  desgraciada  existencia  y  hacerle  ver  las  cosas  más  oscuras  .",valium,np00000,valium,con,con,SPS00,dormir,dormir,VMN0000,de,de,SPS00,pijama,pijama,NCMS000,el,el,DA0MS0,",",",",Fc,por,por,SPS00,ejemplo,ejemplo,NCMS000,),),Fpt,podrá,poder,VMIF3S0,2014-01-04,2014,2010,VMN0000 SPS00 Valium Fc SPS00,SPS00 Valium Fc,VMN0000 SPS00 Valium,SPS00 VMN0000 SPS00 Valium,NCMS000 SPS00 VMN0000 SPS00 Valium,Valium Fc SPS00,Valium Fc SPS00 NCMS000,Valium Fc SPS00 NCMS000 Fpt,"dormir con Valium , por","con Valium ,",dormir con Valium,de dormir con Valium,pijama de dormir con Valium,"Valium , por","Valium , por ejemplo","Valium , por ejemplo )"
http://www.nopuedocreer.com/quelohayaninventado/24913/el-tendedero-contra-contagios/,nopuedocreer.com,2014-01-04,===NONE===,Valium/NP00000/valium,Consecuencias  :  el  pijama  de  dormir  con Valium  ya  no  te  da  sueño  y  a  los  pantalones  de  correr  media  horita  todos  los  días  para  hacer  algo  de  deporte  les  siguen  faltando  20  minutos  .,valium,np00000,valium,con,con,SPS00,dormir,dormir,VMN0000,de,de,SPS00,pijama,pijama,NCMS000,el,el,DA0MS0,ya,ya,RG,no,no,RN,te,te,PP2CS000,da,dar,VMIP3S0,sueño,sueño,NCMS000,2014-01-04,2014,2010,VMN0000 SPS00 Valium RG RN,SPS00 Valium RG,VMN0000 SPS00 Valium,SPS00 VMN0000 SPS00 Valium,NCMS000 SPS00 VMN0000 SPS00 Valium,Valium RG RN,Valium RG RN PP2CS000,Valium RG RN PP2CS000 VMIP3S0,dormir con Valium ya no,con Valium ya,dormir con Valium,de dormir con Valium,pijama de dormir con Valium,Valium ya no,Valium ya no te,Valium ya no te dar
http://politica.elpais.com/politica/2014/01/03/actualidad/1388782679_265453.html,elpais.com,2014-01-04,Spain,Valium/NP00000/valium,"Y  revela  restos  de Valium  y  Talofen  --  dos  fármacos  utilizados  para  ""  sedaciones  rápidas  en  estados  de  agitación  aguda  ""  --  en  el  cuerpo  de  José  Luis  ,  algo  que  no  apareció  en  el  primer  informe  .",valium,np00000,valium,de,de,SPS00,restos,resto,NCMP000,revela,revelar,VMIP3S0,Y,y,CC,,,,y,y,CC,Talofen,talofen,NP00000,--,--,Fg,dos,2,Z,fármacos,fármaco,NCMP000,2014-01-04,2014,2010,NCMP000 SPS00 Valium CC NP00000,SPS00 Valium CC,NCMP000 SPS00 Valium,VMIP3S0 NCMP000 SPS00 Valium,CC VMIP3S0 NCMP000 SPS00 Valium,Valium CC NP00000,Valium CC NP00000 Fg,Valium CC NP00000 Fg Z,resto de Valium y talofen,de Valium y,resto de Valium,revelar resto de Valium,y revelar resto de Valium,Valium y talofen,Valium y talofen --,Valium y talofen -- 2
http://www.libertaddigital.com/espana/2014-01-08/marhuenda-se-pone-hecho-una-furia-con-la-chaqueta-espantosa-del-juez-castro-1276507762/,libertaddigital.com,2014-01-08,===NONE===,valium/NCMS000/valium,¿  Alguien  tiene  un valium  ? </doc>,valium,ncms000,valium,un,uno,DI0MS0,tiene,tener,VMIP3S0,Alguien,alguien,PI0CS000,¿,¿,Fia,,,,?,?,Fit,</doc>,,,,,,,,,,,,2014-01-08,2014,2010,,DI0MS0 Valium Fit,VMIP3S0 DI0MS0 Valium,PI0CS000 VMIP3S0 DI0MS0 Valium,Fia PI0CS000 VMIP3S0 DI0MS0 Valium,,,,,uno Valium ?,tener uno Valium,alguien tener uno Valium,¿ alguien tener uno Valium,,,
http://jenesaispop.com/2014/01/09/clasicos-que-nunca-lo-fueron-on-the-beach-de-neil-young/,jenesaispop.com,2014-01-09,===NONE===,valium/NCMS000/valium,"Las  contradicciones  de  un  artista  que  necesita  el  reconocimiento  pero  a  la  vez  no  caer  en  las  trampas  del  éxito  aparecen  expresadas  magistralmente  en  el  verso  ""  Necesito  una  multitud  de  gente  /  Pero  no  puedo  ponerme  delante  de  ellos  todos  los  días  ""  .  '  On  The  Beach  '  es  pura  magia  ,  la  banda  sonora  de  alguien  descubriendo  que  las  cosas  no  acaban  de  encajar  ,  pero  haciéndolo  sobre  un  colchón  de valium  que  se  acerca  a  los  siete  minutos  .",valium,ncms000,valium,de,de,SPS00,colchón,colchón,NCMS000,un,uno,DI0MS0,sobre,sobre,SPS00,haciéndolo,hacer+lo,VMG0000+PP3CNA00,que,que,PR0CN000,se,se,P00CN000,acerca,acercar,VMIP3S0,a,a,SPS00,los,el,DA0MP0,2014-01-09,2014,2010,NCMS000 SPS00 Valium PR0CN000 P00CN000,SPS00 Valium PR0CN000,NCMS000 SPS00 Valium,DI0MS0 NCMS000 SPS00 Valium,SPS00 DI0MS0 NCMS000 SPS00 Valium,Valium PR0CN000 P00CN000,Valium PR0CN000 P00CN000 VMIP3S0,Valium PR0CN000 P00CN000 VMIP3S0 SPS00,colchón de Valium que se,de Valium que,colchón de Valium,uno colchón de Valium,sobre uno colchón de Valium,Valium que se,Valium que se acercar,Valium que se acercar a
http://www.europapress.es/islas-canarias/noticia-acusado-caso-talio-no-le-he-suministrado-nunca-talio-esposa-20140114172901.html,europapress.es,2014-01-14,Spain,valium/NCMS000/valium,"Así  la  primera  vez  que  la  mujer  de  Iván  ingresó  ,  el  15  de  mayo  ,  y  en  relación  a  los  resultados  de  los  análisis  ,  aseguró  que  la  noche  anterior  Laura  no  había  querido  comer  ni  beber  pero  se  había  tomado  dos valium  de  5  miligramos  cada  uno  para  poder  dormir  .",valium,ncms000,valium,dos,2,Z,tomado,tomar,VMP00SM,había,haber,VAII1S0,se,se,P00CN000,pero,pero,CC,de,de,SPS00,5,5,Z,miligramos,miligramo,NCMP000,cada,cada,DI0CS0,uno,uno,PI0MS000,2014-01-14,2014,2010,VMP00SM Z Valium SPS00 Z,Z Valium SPS00,VMP00SM Z Valium,VAII1S0 VMP00SM Z Valium,P00CN000 VAII1S0 VMP00SM Z Valium,Valium SPS00 Z,Valium SPS00 Z NCMP000,Valium SPS00 Z NCMP000 DI0CS0,tomar 2 Valium de 5,2 Valium de,tomar 2 Valium,haber tomar 2 Valium,se haber tomar 2 Valium,Valium de 5,Valium de 5 miligramo,Valium de 5 miligramo cada
http://www.elcomercio.es/v/20140115/gente/vecina-enfrente-20140115.html?utm_source=elcomerciodigital.com&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,elcomercio.es,2014-01-15,Spain,Valium/NP00000/valium,"Le  recetaron Valium  ,  ""  pero  no  lo  tomé  .",valium,np00000,valium,recetaron,recetar,VMIS3P0,Le,le,PP3CSD00,,,,,,,,,,",",",",Fc,"""","""",Fe,pero,pero,CC,no,no,RN,lo,lo,PP3CNA00,2014-01-15,2014,2010,PP3CSD00 VMIS3P0 Valium Fc Fe,VMIS3P0 Valium Fc,PP3CSD00 VMIS3P0 Valium,,,Valium Fc Fe,Valium Fc Fe CC,Valium Fc Fe CC RN,"le recetar Valium , ""","recetar Valium ,",le recetar Valium,,,"Valium , ""","Valium , "" pero","Valium , "" pero no"
http://www.larazon.es/detalle_normal/noticias/5167807/portada/la-dgt-estudia-multar-a-quien-conduzca-bajo-los-efectos-de-psicofarmacos,larazon.es,2014-01-20,Spain,Valium/NP00000/valium,"¿  y  si  fueran  otros  medicamentos  benzodiacepínicos  comercializados  como Valium  ,  Noctamid  ,  Orfidal  ,  Librium  ,  Halción  ,  Lexatín  ,  Tranxilium  ,  Trankimazín  ,  Dormicum  ,  Myolastán  (  de  momento  retirado  )  con  los  que  muchos  españoles  se  medican  en  algún  momento  de  su  vida  ?",valium,np00000,valium,como,como,CS,comercializados,comercializar,VMP00PM,benzodiacepínicos,benzodiacepínicos,AQ0MP0,medicamentos,medicamento,NCMP000,otros,otro,DI0MP0,",",",",Fc,Noctamid,noctamid,NP00000,",",",",Fc,Orfidal,orfidal,NP00000,",",",",Fc,2014-01-20,2014,2010,VMP00PM CS Valium Fc NP00000,CS Valium Fc,VMP00PM CS Valium,AQ0MP0 VMP00PM CS Valium,NCMP000 AQ0MP0 VMP00PM CS Valium,Valium Fc NP00000,Valium Fc NP00000 Fc,Valium Fc NP00000 Fc NP00000,"comercializar como Valium , noctamid","como Valium ,",comercializar como Valium,benzodiacepínicos comercializar como Valium,medicamento benzodiacepínicos comercializar como Valium,"Valium , noctamid","Valium , noctamid ,","Valium , noctamid , orfidal"
http://www.larazon.es/detalle_normal/noticias/5167807/portada/la-dgt-estudia-multar-a-quien-conduzca-bajo-los-efectos-de-psicofarmacos,larazon.es,2014-01-20,Spain,Valium/NP00000/valium,"La  realidad  ,  a  día  de  hoy  ,  es  que  el  ""  Drager  5.000  ""  -  como  se  llama  el  medidor  que  utilizan  los  agentes  -  sólo  usa  reactivos  para  detectar  drogas  ilegales  :  sedantes  (  opiáceos  y  cannabis  )  ,  estimulantes  (  cocaína  ,  anfetaminas  y  metaanfetaminas  )  y  alucinógenos  (  LSD  ,  PSP  y  DMDA  )  ,  según  confirmó  un  portavoz  de  la  Guardia  Civil  de  Tráfico  .  ""  Aunque  también  está  preparado  para  detectar  medicamentos  benzodiacepínicos  como  el  citado  Lexatín  o Valium  ""  ,  añade  .",valium,np00000,valium,o,o,CC,Lexatín,lexatín,NP00000,citado,citar,VMP00SM,el,el,DA0MS0,como,como,CS,"""","""",Fe,",",",",Fc,añade,añadir,VMIP3S0,.,.,Fp,,,,2014-01-20,2014,2010,NP00000 CC Valium Fe Fc,CC Valium Fe,NP00000 CC Valium,VMP00SM NP00000 CC Valium,DA0MS0 VMP00SM NP00000 CC Valium,Valium Fe Fc,Valium Fe Fc VMIP3S0,Valium Fe Fc VMIP3S0 Fp,"lexatín o Valium "" ,","o Valium """,lexatín o Valium,citar lexatín o Valium,el citar lexatín o Valium,"Valium "" ,","Valium "" , añadir","Valium "" , añadir ."
