url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://jenesaispop.com/2014/01/02/ataque-de-caspa-estrenan-sol/,jenesaispop.com,2014-01-02,===NONE===,Vanishing/NP00000/vanishing,"Ahora  esa  intención  se  ha  materializado  a  través  de  un  nuevo  tema  llamado  '  Sol  '  que  ha  aparecido  online  en  un  blog  , Vanishing  Point  .",vanishing,np00000,vanishing,",",",",Fc,blog,blog,NCMS000,un,uno,DI0MS0,en,en,SPS00,online,online,RG,Point,point,NP00000,.,.,Fp,,,,,,,,,,2014-01-02,2014,2010,NCMS000 Fc Vanish NP00000 Fp,Fc Vanish NP00000,NCMS000 Fc Vanish,DI0MS0 NCMS000 Fc Vanish,SPS00 DI0MS0 NCMS000 Fc Vanish,Vanish NP00000 Fp,,,"blog , Vanish point .",", Vanish point","blog , Vanish","uno blog , Vanish","en uno blog , Vanish",Vanish point .,,
http://alt1040.com/2014/02/darpa-ibm-chips-autodestruccion,alt1040.com,2014-02-07,===NONE===,Vanishing/NP00000/vanishing,"Para  que  nos  hagamos  una  idea  del  proyecto Vanishing  Programmable  Resources  (  VAPR  )  ,  el  Departamento  de  Defensa  invertirá  en  esta  idea  un  montante  de  3,5_millones  de  dólares  y  se  trabajará  en  el  desarrollo  e  implementación  de  chips  que  se  puedan  ""  detonar  ""  en  remoto  mediante  el  envío  de  una  señal  de  radiofrecuencia  .",vanishing,np00000,vanishing,proyecto,proyecto,NCMS000,del,de+el,SPS00+DA0MS0,idea,idea,NCFS000,una,uno,DI0FS0,hagamos,hacer,VMSP1P0,Programmable,programmable,NP00000,Resources,resources,NP00000,(,(,Fpa,VAPR,vapr,NP00000,),),Fpt,2014-02-07,2014,2010,SPS00+DA0MS0 NCMS000 Vanish NP00000 NP00000,NCMS000 Vanish NP00000,SPS00+DA0MS0 NCMS000 Vanish,NCFS000 SPS00+DA0MS0 NCMS000 Vanish,DI0FS0 NCFS000 SPS00+DA0MS0 NCMS000 Vanish,Vanish NP00000 NP00000,Vanish NP00000 NP00000 Fpa,Vanish NP00000 NP00000 Fpa NP00000,de+el proyecto Vanish programmable resources,proyecto Vanish programmable,de+el proyecto Vanish,idea de+el proyecto Vanish,uno idea de+el proyecto Vanish,Vanish programmable resources,Vanish programmable resources (,Vanish programmable resources ( vapr
http://www.fayerwayer.com/2014/02/darpa-financia-proyecto-para-crear-tecnologia-que-se-autodestruye/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bfayerwayer%2B%2528FayerWayer%2529&utm_content=FeedBurner,fayerwayer.com,2014-02-10,Canada,Vanishing/NP00000/vanishing,"Así  ,  la  agencia  ha  entregado  financiamiento  a  IBM  y  PARC  (  de  Xerox  )  para  trabajar  en  los Vanishing  Programmable  Resources  (  VAPR  )  ,  algo  como  ""  recursos  programables  que  desaparecen  ""  .",vanishing,np00000,vanishing,los,el,DA0MP0,en,en,SPS00,trabajar,trabajar,VMN0000,para,para,SPS00,),),Fpt,Programmable,programmable,NP00000,Resources,resources,NP00000,(,(,Fpa,VAPR,vapr,NP00000,),),Fpt,2014-02-10,2014,2010,SPS00 DA0MP0 Vanish NP00000 NP00000,DA0MP0 Vanish NP00000,SPS00 DA0MP0 Vanish,VMN0000 SPS00 DA0MP0 Vanish,SPS00 VMN0000 SPS00 DA0MP0 Vanish,Vanish NP00000 NP00000,Vanish NP00000 NP00000 Fpa,Vanish NP00000 NP00000 Fpa NP00000,en el Vanish programmable resources,el Vanish programmable,en el Vanish,trabajar en el Vanish,para trabajar en el Vanish,Vanish programmable resources,Vanish programmable resources (,Vanish programmable resources ( vapr
http://mexico.cnn.com/opinion/2014/02/10/opinion-los-souvenirs-y-el-terrorismo-razones-para-matar-elefantes,cnn.com,2014-02-10,===NONE===,Vanishing/NP00000/vanishing,"También  he  trabajado  para  que  reautoricen  la  estampilla  Saving Vanishing  Species  ,  con  la  que  recaudan  fondos  para  la  protección  de  los  animales  amenazados  y  su  hábitat  sin  costo  para  los  contribuyentes  estadounidenses  .",vanishing,np00000,vanishing,Saving,saving,NP00000,estampilla,estampilla,NCFS000,la,el,DA0FS0,reautoricen,reautorizar,VMSP3P0,que,que,CS,Species,species,NP00000,",",",",Fc,con,con,SPS00,la,el,DA0FS0,que,que,PR0CN000,2014-02-10,2014,2010,NCFS000 NP00000 Vanish NP00000 Fc,NP00000 Vanish NP00000,NCFS000 NP00000 Vanish,DA0FS0 NCFS000 NP00000 Vanish,VMSP3P0 DA0FS0 NCFS000 NP00000 Vanish,Vanish NP00000 Fc,Vanish NP00000 Fc SPS00,Vanish NP00000 Fc SPS00 DA0FS0,"estampilla saving Vanish species ,",saving Vanish species,estampilla saving Vanish,el estampilla saving Vanish,reautorizar el estampilla saving Vanish,"Vanish species ,","Vanish species , con","Vanish species , con el"
http://www.elobservador.com.uy/noticia/271599/como-fue-ser-un-beatle-por-10-dias/,elobservador.com.uy,2014-02-15,Uruguay,vanished/NCFS000/vanished,"En  enero  de  2013  ,  Jim  Berkenstadt  ,  un  investigador  yanqui  a  quien  llaman  ""  el  detective  del  rock  ""  ,  publicó  un  libro  dedicado  a  la  vida  de  Nicol  y  titulado  The  beatle  who vanished  (  El  beatle  que  desapareció  )  .",vanished,ncfs000,vanished,who,who,RG,beatle,beatle,NCCS000,The,the,NP00000,titulado,titular,VMP00SM,y,y,CC,(,(,Fpa,El,el,DA0MS0,beatle,beatle,NCCS000,que,que,PR0CN000,desapareció,desaparecer,VMIS3S0,2014-02-15,2014,2010,NCCS000 RG Vanish Fpa DA0MS0,RG Vanish Fpa,NCCS000 RG Vanish,NP00000 NCCS000 RG Vanish,VMP00SM NP00000 NCCS000 RG Vanish,Vanish Fpa DA0MS0,Vanish Fpa DA0MS0 NCCS000,Vanish Fpa DA0MS0 NCCS000 PR0CN000,beatle who Vanish ( el,who Vanish (,beatle who Vanish,the beatle who Vanish,titular the beatle who Vanish,Vanish ( el,Vanish ( el beatle,Vanish ( el beatle que
http://noticias.lainformacion.com/economia-negocios-y-finanzas/espana-se-queda-sin-jefas_nXUD3tz5NESCNHOzJbTwK6/,lainformacion.com,2014-03-01,Spain,Vanisha/NP00000/vanisha,"Ana  Patricia  Botín  en  el  Banco  Santander  ,  Eva  Castillo  de  Telefónica  , Vanisha  Mittal  en  Arcelor  y  Dolores  Dancausa  ,  en  Bankinter  .",vanisha,np00000,vanisha,",",",",Fc,Telefónica,telefónica,NP00000,de,de,SPS00,Castillo,castillo,NP00000,Eva,eva,NP00000,Mittal,mittal,NP00000,en,en,SPS00,Arcelor,arcelor,NP00000,y,y,CC,Dolores,dolores,NP00000,2014-03-01,2014,2010,NP00000 Fc Vanish NP00000 SPS00,Fc Vanish NP00000,NP00000 Fc Vanish,SPS00 NP00000 Fc Vanish,NP00000 SPS00 NP00000 Fc Vanish,Vanish NP00000 SPS00,Vanish NP00000 SPS00 NP00000,Vanish NP00000 SPS00 NP00000 CC,"telefónica , Vanish mittal en",", Vanish mittal","telefónica , Vanish","de telefónica , Vanish","castillo de telefónica , Vanish",Vanish mittal en,Vanish mittal en arcelor,Vanish mittal en arcelor y
http://www.lavozlibre.com/noticias/ampliar/887853/el-peso-de-mujeres-en-los-consejos-del-ibex-alcanza-el-166-y-se-iguala-a-la-media-de-la-ue-por-primera-vez,lavozlibre.com,2014-03-05,===NONE===,Vanisha/NP00000/vanisha,"Sólo  cuatro  mujeres  son  ejecutivas  :  Ana  Patricia  Botín  (  Banco  Santander  )  ,  Eva  Castillo  (  Telefónica  )  ,  María  Dolores  Dancausa  (  Bankinter  )  y Vanisha  Mittal  (  Arcelormittal  )  .",vanisha,np00000,vanisha,y,y,CC,),),Fpt,Bankinter,bankinter,NP00000,(,(,Fpa,Dancausa,dancausa,NP00000,Mittal,mittal,NP00000,(,(,Fpa,Arcelormittal,arcelormittal,NP00000,),),Fpt,.,.,Fp,2014-03-05,2014,2010,Fpt CC Vanish NP00000 Fpa,CC Vanish NP00000,Fpt CC Vanish,NP00000 Fpt CC Vanish,Fpa NP00000 Fpt CC Vanish,Vanish NP00000 Fpa,Vanish NP00000 Fpa NP00000,Vanish NP00000 Fpa NP00000 Fpt,) y Vanish mittal (,y Vanish mittal,) y Vanish,bankinter ) y Vanish,( bankinter ) y Vanish,Vanish mittal (,Vanish mittal ( arcelormittal,Vanish mittal ( arcelormittal )
http://www.eleconomista.es/empresas-finanzas/noticias/5594659/03/14/Rsc-las-mujeres-en-los-consejos-de-empresas-del-ibex-igualan-la-media-europea.html,eleconomista.es,2014-03-05,Spain,Vanisha/NP00000/vanisha,"Además  ,  el  informe  destaca  que  tan  sólo  hay  cuatro  ejecutivas  ,  un  5,33  %  del  total  :  Ana  Patricia  Botín  (  Santander  )  ,  Eva  Castillo  (  Telefónica  )  ,  María  Dolores  Dancausa  (  Bankinter  )  y Vanisha  Mittal  (  Arcelor  Mittal  )  .",vanisha,np00000,vanisha,y,y,CC,),),Fpt,Bankinter,bankinter,NP00000,(,(,Fpa,Dancausa,dancausa,NP00000,Mittal,mittal,NP00000,(,(,Fpa,Arcelor,arcelor,NP00000,Mittal,mittal,NP00000,),),Fpt,2014-03-05,2014,2010,Fpt CC Vanish NP00000 Fpa,CC Vanish NP00000,Fpt CC Vanish,NP00000 Fpt CC Vanish,Fpa NP00000 Fpt CC Vanish,Vanish NP00000 Fpa,Vanish NP00000 Fpa NP00000,Vanish NP00000 Fpa NP00000 NP00000,) y Vanish mittal (,y Vanish mittal,) y Vanish,bankinter ) y Vanish,( bankinter ) y Vanish,Vanish mittal (,Vanish mittal ( arcelor,Vanish mittal ( arcelor mittal
http://economia.elpais.com/economia/2014/03/05/actualidad/1394050318_801739.html,elpais.com,2014-03-05,Spain,Vanisha/NP00000/vanisha,"Es  más  ,  cuando  se  trata  de  mujeres  con  responsabilidad  ejecutiva  ,  se  pueden  contar  con  los  dedos  de  una  mano  :  María  Dolores  Dancausa  (  Bankinter  )  ,  Ana  Patricia  Botín  (  Banco  Santander  )  y Vanisha  Mittal  (  ArcelorMittal  )  son  las  únicas  administradoras  ejecutivas  del  Ibex  ,  después  de  que  Eva  Castillo  haya  dejado  su  puesto  como  presidenta  de  Telefónica  Europa  .",vanisha,np00000,vanisha,y,y,CC,),),Fpt,Santander,santander,NP00000,Banco,banco,NP00000,(,(,Fpa,Mittal,mittal,NP00000,(,(,Fpa,ArcelorMittal,arcelormittal,NP00000,),),Fpt,son,ser,VSIP3P0,2014-03-05,2014,2010,Fpt CC Vanish NP00000 Fpa,CC Vanish NP00000,Fpt CC Vanish,NP00000 Fpt CC Vanish,NP00000 NP00000 Fpt CC Vanish,Vanish NP00000 Fpa,Vanish NP00000 Fpa NP00000,Vanish NP00000 Fpa NP00000 Fpt,) y Vanish mittal (,y Vanish mittal,) y Vanish,santander ) y Vanish,banco santander ) y Vanish,Vanish mittal (,Vanish mittal ( arcelormittal,Vanish mittal ( arcelormittal )
http://vozpopuli.com/economia-y-finanzas/39951-demasiada-testosterona-las-mujeres-en-los-consejos-del-ibex-solo-representan-el-16,vozpopuli.com,2014-03-09,===NONE===,Vanisha/NP00000/vanisha," Vanisha  Mittal  (  ArcelorMittal  )  ,  Eva  Castillo  (  Telefónica  )  ,  María  Dolores  Dancausa  (  Bankinter  )  y  Ana  Patricia  Botín  (  Santander  )  han  sido  las  únicas  cuatro  mujeres  en  puestos  ejecutivos  .",vanisha,np00000,vanisha,,,,,,,,,,,,,,,,Mittal,mittal,NP00000,(,(,Fpa,ArcelorMittal,arcelormittal,NP00000,),),Fpt,",",",",Fc,2014-03-09,2014,2010,,,,,,Vanish NP00000 Fpa,Vanish NP00000 Fpa NP00000,Vanish NP00000 Fpa NP00000 Fpt,,,,,,Vanish mittal (,Vanish mittal ( arcelormittal,Vanish mittal ( arcelormittal )
