url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://nauta360.expansion.com/2014/01/02/de_regata_en_regata/1388679785.html,expansion.com,2014-01-03,Spain,Velux/NP00000/velux,Esta  vez  llegaba  exhibiendo  un  palmarés  soberbio  :  dos  victorias  en  la  vuelta  al  mundo  en  solitario  y  con  escalas  (  Around  Alone  2002/2003  y Velux  5  Océanos  de  2007  )  y  con  el  Trofeo  Julio  Verne  logrado  en  2005  .,velux,np00000,velux,y,y,CC,2002/2003,2002,2003/Z,Alone,alone,NP00000,Around,around,NP00000,(,(,Fpa,5,5,Z,Océanos,océanos,NP00000,de,de,SPS00,2007,2007,Z,),),Fpt,2014-01-03,2014,2010,2003/Z CC Velux Z NP00000,CC Velux Z,2003/Z CC Velux,NP00000 2003/Z CC Velux,NP00000 NP00000 2003/Z CC Velux,Velux Z NP00000,Velux Z NP00000 SPS00,Velux Z NP00000 SPS00 Z,2002 y Velux 5 océanos,y Velux 5,2002 y Velux,alone 2002 y Velux,around alone 2002 y Velux,Velux 5 océanos,Velux 5 océanos de,Velux 5 océanos de 2007
http://www.mundodeportivo.com/20140208/balonmano/barca-visita-al-colista-en-el-regreso-de-la-champions_54400039837.html,mundodeportivo.com,2014-02-08,Spain,Velux/NP00000/velux,"El  FC  Barcelona  se  ha  desplazado  a  Suiza  con  el  objetivo  de  asegurarse  esta  tarde  (  16.30  h  .  )  ,  en  partido  de  la Velux  EHF  Champions  League  contra  el  Wacker  Thun  de  Berna  ,  la  primera  plaza  de  grupo  y  ,  además  ,  alargar  su  imbatibilidad  en  el  regreso  a  la  competición  tras  el  parón  por  el  Europeo  .",velux,np00000,velux,la,el,DA0FS0,de,de,SPS00,partido,partido,NCMS000,en,en,SPS00,",",",",Fc,EHF,ehf,NP00000,Champions,champions,NP00000,League,league,NP00000,contra,contra,SPS00,el,el,DA0MS0,2014-02-08,2014,2010,SPS00 DA0FS0 Velux NP00000 NP00000,DA0FS0 Velux NP00000,SPS00 DA0FS0 Velux,NCMS000 SPS00 DA0FS0 Velux,SPS00 NCMS000 SPS00 DA0FS0 Velux,Velux NP00000 NP00000,Velux NP00000 NP00000 NP00000,Velux NP00000 NP00000 NP00000 SPS00,de el Velux ehf champions,el Velux ehf,de el Velux,partido de el Velux,en partido de el Velux,Velux ehf champions,Velux ehf champions league,Velux ehf champions league contra
http://deportes.elpais.com/deportes/2014/01/28/actualidad/1390904163_195551.html,elpais.com,2014-02-10,Spain,VELUX5/Z/VELUX5,"Designado  tres  veces  Navegante  del  Año  en  el  Reino  Unido  ,  recibió  la  Orden  del  Imperio  Británico  en  1995  y  su  vida  continuó  ligada  al  mar.  En  2007  ,  a  los  68  años  ,  completó  su  segunda  Vuelta  al  Mundo  en  solitario  ,  a  bordo  del  SAGA  Insurance  ,  finalizando  cuarto  en  la VELUX5  Oceans  Race  .",velux5,z,velux5,la,el,DA0FS0,en,en,SPS00,cuarto,cuarto,NCMS000,finalizando,finalizar,VMG0000,",",",",Fc,Oceans,oceans,NP00000,Race,race,NP00000,.,.,Fp,,,,,,,2014-02-10,2014,2010,SPS00 DA0FS0 Velux NP00000 NP00000,DA0FS0 Velux NP00000,SPS00 DA0FS0 Velux,NCMS000 SPS00 DA0FS0 Velux,VMG0000 NCMS000 SPS00 DA0FS0 Velux,Velux NP00000 NP00000,Velux NP00000 NP00000 Fp,,en el Velux oceans race,el Velux oceans,en el Velux,cuarto en el Velux,finalizar cuarto en el Velux,Velux oceans race,Velux oceans race .,
http://www.lavanguardia.com/local/extremadura/20140507/54406670220/intromac-y-villar-del-rey-natural-stones-presentan-sus-novedades-en-la-feria-internacional-de-la.html,lavanguardia.com,2014-05-07,Spain,Velux/NP00000/velux,"Por  otro  lado  ,  Deceuninck  mostrará  su  plataforma  Zendow  ,  de  alto  ahorro  energético  ,  en  el  stand  3C14  del  pabellón  3  y Velux  exhibirá  una  nueva  generación  de  ventanas  de  tejado  ,  que  suponen  un  ""  salto  ""  de  una  década  en  el  futuro  de  estos  productos  ,  que  proporcionan  ""  más  luz  natural  ,  más  confort  y  menos  consumo  energético  ""  .",velux,np00000,velux,y,y,CC,3,3,Z,pabellón,pabellón,NCMS000,del,de+el,SPS00+DA0MS0,3C14,3C14,Z,exhibirá,exhibir,VMIF3S0,una,uno,DI0FS0,nueva,nuevo,AQ0FS0,generación,generación,NCFS000,de,de,SPS00,2014-05-07,2014,2010,Z CC Velux VMIF3S0 DI0FS0,CC Velux VMIF3S0,Z CC Velux,NCMS000 Z CC Velux,SPS00+DA0MS0 NCMS000 Z CC Velux,Velux VMIF3S0 DI0FS0,Velux VMIF3S0 DI0FS0 AQ0FS0,Velux VMIF3S0 DI0FS0 AQ0FS0 NCFS000,3 y Velux exhibir uno,y Velux exhibir,3 y Velux,pabellón 3 y Velux,de+el pabellón 3 y Velux,Velux exhibir uno,Velux exhibir uno nuevo,Velux exhibir uno nuevo generación
http://www.mundodeportivo.com/20140530/balonmano/los-hombres-de-xavi-pascual-listos-para-la-gran-final_54408523401.html,mundodeportivo.com,2014-05-30,Spain,Velux/NP00000/velux,"Tras  el  desayuno  del  sábado  y  la  sesión  táctica  ,  hacia  las  16.15  está  prevista  la  salida  del  Barça  hacia  el  Lanxess  Arena  de  Colonia  para  disputar  la  segunda  semifinal  de  la Velux  EHF  Final  Four  ante  el  SG  Flensburg-Handewitt  ,  partido  que  se  disputa  a  las  18.00  horas  y  que  podrás  seguir  en  directo  en  la  web  de  Mundo  Deportivo  . </doc>",velux,np00000,velux,la,el,DA0FS0,de,de,SPS00,semifinal,semifinal,NCFS000,segunda,2,AO0FS0,la,el,DA0FS0,EHF,ehf,NP00000,Final,final,NP00000,Four,four,NP00000,ante,ante,SPS00,el,el,DA0MS0,2014-05-30,2014,2010,SPS00 DA0FS0 Velux NP00000 NP00000,DA0FS0 Velux NP00000,SPS00 DA0FS0 Velux,NCFS000 SPS00 DA0FS0 Velux,AO0FS0 NCFS000 SPS00 DA0FS0 Velux,Velux NP00000 NP00000,Velux NP00000 NP00000 NP00000,Velux NP00000 NP00000 NP00000 SPS00,de el Velux ehf final,el Velux ehf,de el Velux,semifinal de el Velux,2 semifinal de el Velux,Velux ehf final,Velux ehf final four,Velux ehf final four ante
http://www.eluniversal.com.mx/estilos/2014/colores-pastel-adultos-1039105.html,eluniversal.com.mx,2014-09-19,Mexico,Velux/NP00000/velux,"En  las  ventanas  las  cortinas  de Velux  en  los  espacios  abuhardillados  ,  gracias  no  solo  a  su  tecnología  sino  a  la  elección  del  color  .",velux,np00000,velux,de,de,SPS00,cortinas,cortina,NCFP000,las,el,DA0FP0,ventanas,ventana,NCFP000,las,el,DA0FP0,en,en,SPS00,los,el,DA0MP0,espacios,espacio,NCMP000,abuhardillados,abuhardillados,VMP00PM,",",",",Fc,2014-09-19,2014,2010,NCFP000 SPS00 Velux SPS00 DA0MP0,SPS00 Velux SPS00,NCFP000 SPS00 Velux,DA0FP0 NCFP000 SPS00 Velux,NCFP000 DA0FP0 NCFP000 SPS00 Velux,Velux SPS00 DA0MP0,Velux SPS00 DA0MP0 NCMP000,Velux SPS00 DA0MP0 NCMP000 VMP00PM,cortina de Velux en el,de Velux en,cortina de Velux,el cortina de Velux,ventana el cortina de Velux,Velux en el,Velux en el espacio,Velux en el espacio abuhardillados
http://www.marca.com/2014/09/29/balonmano/1412002937.html,marca.com,2014-09-29,Spain,Velux/NP00000/velux,Martin  Stranovsky  en  un  partido  de  la Velux  Champions  League  2011/12  /  C.  Hernández,velux,np00000,velux,la,el,DA0FS0,de,de,SPS00,partido,partido,NCMS000,un,uno,DI0MS0,en,en,SPS00,Champions,champions,NP00000,League,league,NP00000,2011/12,2011,12/Z,/,,,C.,c.,NP00000,2014-09-29,2014,2010,SPS00 DA0FS0 Velux NP00000 NP00000,DA0FS0 Velux NP00000,SPS00 DA0FS0 Velux,NCMS000 SPS00 DA0FS0 Velux,DI0MS0 NCMS000 SPS00 DA0FS0 Velux,Velux NP00000 NP00000,Velux NP00000 NP00000 12/Z,,de el Velux champions league,el Velux champions,de el Velux,partido de el Velux,uno partido de el Velux,Velux champions league,Velux champions league 2011,
http://www.marca.com/2014/09/30/balonmano/EHF-champions-league/1412063594.html,marca.com,2014-09-30,Spain,VELUX/NP00000/velux,"La  Federación  Europea  de  Balonmano  anunció  los  cinco  mejores  goles  de  la  primera  jornada  de  la VELUX  Champions  League  ,  tres  de  ellos  logrados  desde  el  extremo  .",velux,np00000,velux,la,el,DA0FS0,de,de,SPS00,jornada,jornada,NCFS000,primera,1,AO0FS0,la,el,DA0FS0,Champions,champions,NP00000,League,league,NP00000,",",",",Fc,tres,3,Z,de,de,SPS00,2014-09-30,2014,2010,SPS00 DA0FS0 Velux NP00000 NP00000,DA0FS0 Velux NP00000,SPS00 DA0FS0 Velux,NCFS000 SPS00 DA0FS0 Velux,AO0FS0 NCFS000 SPS00 DA0FS0 Velux,Velux NP00000 NP00000,Velux NP00000 NP00000 Fc,Velux NP00000 NP00000 Fc Z,de el Velux champions league,el Velux champions,de el Velux,jornada de el Velux,1 jornada de el Velux,Velux champions league,"Velux champions league ,","Velux champions league , 3"
http://www.marca.com/2014/09/30/balonmano/EHF-champions-league/1412062634.html,marca.com,2014-10-08,Spain,VELUX/NP00000/velux,"La  Federación  Europa  de  Balonmano  notificó  las  cinco  mejores  paradas  de  la  primera  jornada  de  la VELUX  Champions  League  ,  con  un  representante  español  como  protagonista  .",velux,np00000,velux,la,el,DA0FS0,de,de,SPS00,jornada,jornada,NCFS000,primera,1,AO0FS0,la,el,DA0FS0,Champions,champions,NP00000,League,league,NP00000,",",",",Fc,con,con,SPS00,un,uno,DI0MS0,2014-10-08,2014,2010,SPS00 DA0FS0 Velux NP00000 NP00000,DA0FS0 Velux NP00000,SPS00 DA0FS0 Velux,NCFS000 SPS00 DA0FS0 Velux,AO0FS0 NCFS000 SPS00 DA0FS0 Velux,Velux NP00000 NP00000,Velux NP00000 NP00000 Fc,Velux NP00000 NP00000 Fc SPS00,de el Velux champions league,el Velux champions,de el Velux,jornada de el Velux,1 jornada de el Velux,Velux champions league,"Velux champions league ,","Velux champions league , con"
http://www.marca.com/2014/09/30/balonmano/EHF-champions-league/1412061807.html,marca.com,2014-10-08,Spain,VELUX/NP00000/velux,La  Federación  Europea  de  Balonmano  publicó  este  lunes  el  7  Ideal  de  la  primera  jornada  de  la VELUX  Champions  League  .,velux,np00000,velux,la,el,DA0FS0,de,de,SPS00,jornada,jornada,NCFS000,primera,1,AO0FS0,la,el,DA0FS0,Champions,champions,NP00000,League,league,NP00000,.,.,Fp,,,,,,,2014-10-08,2014,2010,SPS00 DA0FS0 Velux NP00000 NP00000,DA0FS0 Velux NP00000,SPS00 DA0FS0 Velux,NCFS000 SPS00 DA0FS0 Velux,AO0FS0 NCFS000 SPS00 DA0FS0 Velux,Velux NP00000 NP00000,Velux NP00000 NP00000 Fp,,de el Velux champions league,el Velux champions,de el Velux,jornada de el Velux,1 jornada de el Velux,Velux champions league,Velux champions league .,
