url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.eldiariomontanes.es/20140104/local/castro-oriental/cien-personas-cortejaran-llegada-201401041502.html?utm_source=eldiariomontanes.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,eldiariomontanes.es,2014-01-04,Spain,Ventolines/NP00000/ventolines,"El  cortejo  será  abierto  por  un  vehículo  de  la  Policía  Local  ,  tras  el  que  asomará  el  camión  de  bomberos  ,  seguido  de  la  Banda  de  Música  Municipal  y  la  agrupación  de  '  Los Ventolines  '  .",ventolines,np00000,ventolines,Los,el,DA0MP0,',',Fe,de,de,SPS00,agrupación,agrupación,NCFS000,la,el,DA0FS0,',',Fe,.,.,Fp,,,,,,,,,,2014-01-04,2014,2010,Fe DA0MP0 Ventoline Fe Fp,DA0MP0 Ventoline Fe,Fe DA0MP0 Ventoline,SPS00 Fe DA0MP0 Ventoline,NCFS000 SPS00 Fe DA0MP0 Ventoline,Ventoline Fe Fp,,,' el Ventoline ' .,el Ventoline ',' el Ventoline,de ' el Ventoline,agrupación de ' el Ventoline,Ventoline ' .,,
http://www.eldiariomontanes.es/20140221/deportes/racing/pasacalles-racing-centenario-gaitas-201402211157.html?utm_source=eldiariomontanes.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,eldiariomontanes.es,2014-02-21,Spain,Ventolines/NP00000/ventolines,"Los  músicos  y  bandas  que  participarán  en  el  pasacalles  son  Airis  de  Rumiría  ,  Dúo  Bajo  Asón  ,  Grupo  Brañajana  ,  Banda  de  Gaitas  Cantabria  ,  Banda  de  Gaitas  Peña  Gedíu  ,  Banda  de  Gaitas  San  Pelayo  ,  Bozainas  del  Junco  ,  Las  Estelas  ,  Dúo  Guriezu  ,  Banduca  de  Peñarrubia  ,  Cascabijas  ,  Grupo  Danzas  Virgen  de  las  Nieves  ,  Grupo  Danzas  San  Blas  ,  Los Ventolines  ,  La  Jhila  ,  La  Hila  de  Vadinia  ,  Grupo  Valdinia  ,  Garabanduya  ,  Piterus  del  Andamio  ,  Escuelas  de  Astillero  (  la  Barquía  )  ,  Colindres  ,  Corrales  ,  Laredo  ,  San  Vicente  de  la  Barquera  ,  Santander  ,  Somahoz  ,  Torrelavega  y  Val  de  San  Vicente  . </doc>",ventolines,np00000,ventolines,Los,los,NP00000,",",",",Fc,Blas,blas,NP00000,San,san,NP00000,Danzas,danzas,NP00000,",",",",Fc,La,la,NP00000,Jhila,jhila,NP00000,",",",",Fc,La,la,NP00000,2014-02-21,2014,2010,Fc NP00000 Ventoline Fc NP00000,NP00000 Ventoline Fc,Fc NP00000 Ventoline,NP00000 Fc NP00000 Ventoline,NP00000 NP00000 Fc NP00000 Ventoline,Ventoline Fc NP00000,Ventoline Fc NP00000 NP00000,Ventoline Fc NP00000 NP00000 Fc,", los Ventoline , la","los Ventoline ,",", los Ventoline","blas , los Ventoline","san blas , los Ventoline","Ventoline , la","Ventoline , la jhila","Ventoline , la jhila ,"
http://www.eldiariomontanes.es/v/20140315/deportes/deporte/arranca-circuito-2014-bajo-20140315.html?utm_source=eldiariomontanes.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,eldiariomontanes.es,2014-03-15,Spain,ventolineros/NCMP000/ventolineros,Será  sin  duda  un  campeonato  para  los  mas  ' ventolineros  '  .,ventolineros,ncmp000,ventolineros,',',Fe,mas,mas,NCMS000,los,el,DA0MP0,para,para,SPS00,campeonato,campeonato,NCMS000,',',Fe,.,.,Fp,,,,,,,,,,2014-03-15,2014,2010,NCMS000 Fe Ventoline Fe Fp,Fe Ventoline Fe,NCMS000 Fe Ventoline,DA0MP0 NCMS000 Fe Ventoline,SPS00 DA0MP0 NCMS000 Fe Ventoline,Ventoline Fe Fp,,,mas ' Ventoline ' .,' Ventoline ',mas ' Ventoline,el mas ' Ventoline,para el mas ' Ventoline,Ventoline ' .,,
http://www.eldiariomontanes.es/20140515/local/castro-oriental/laredo-isidro-labrador-201405151703.html?utm_source=eldiariomontanes.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,eldiariomontanes.es,2014-05-15,Spain,Ventolines/NP00000/ventolines,"La  ceremonia  litúrgica  estuvo  precedida  por  una  procesión  en  torno  a  la  iglesia  gótica  en  la  que  el  santo  fue  portado  en  andas  por  integrantes  de  la  '  Cofradía  del  Respigo  '  ,  bajo  los  sones  de  tonadas  populares  interpretadas  por  la  Asociación  '  Los Ventolines  '  de  Laredo  .",ventolines,np00000,ventolines,Los,el,DA0MP0,',',Fe,Asociación,asociación,NP00000,la,el,DA0FS0,por,por,SPS00,',',Fe,de,de,SPS00,Laredo,laredo,NP00000,.,.,Fp,,,,2014-05-15,2014,2010,Fe DA0MP0 Ventoline Fe SPS00,DA0MP0 Ventoline Fe,Fe DA0MP0 Ventoline,NP00000 Fe DA0MP0 Ventoline,DA0FS0 NP00000 Fe DA0MP0 Ventoline,Ventoline Fe SPS00,Ventoline Fe SPS00 NP00000,Ventoline Fe SPS00 NP00000 Fp,' el Ventoline ' de,el Ventoline ',' el Ventoline,asociación ' el Ventoline,el asociación ' el Ventoline,Ventoline ' de,Ventoline ' de laredo,Ventoline ' de laredo .
http://www.lavanguardia.com/local/cantabria/20140531/54408552979/cientos-de-personas-asisten-en-baiona-al-i-dia-de-villas-marineras.html,lavanguardia.com,2014-05-31,Spain,Ventolines/NP00000/ventolines,"Sobre  el  escenario  se  han  relevado  agrupaciones  como  la  Banda  de  Gaites  Ribeseya  de  Ribadesella  ;  el  grupo  folclórico  El  Pericote  de  Llanes  ;  los Ventolines  de  Laredo  ,  y  la  agrupación  folclórica  Airiños  da  Lagoa  de  Baiona  .",ventolines,np00000,ventolines,los,el,DA0MP0,;,;,Fx,Llanes,llanes,NP00000,de,de,SPS00,Pericote,pericote,NP00000,de,de,SPS00,Laredo,laredo,NP00000,",",",",Fc,y,y,CC,la,el,DA0FS0,2014-05-31,2014,2010,Fx DA0MP0 Ventoline SPS00 NP00000,DA0MP0 Ventoline SPS00,Fx DA0MP0 Ventoline,NP00000 Fx DA0MP0 Ventoline,SPS00 NP00000 Fx DA0MP0 Ventoline,Ventoline SPS00 NP00000,Ventoline SPS00 NP00000 Fc,Ventoline SPS00 NP00000 Fc CC,; el Ventoline de laredo,el Ventoline de,; el Ventoline,llanes ; el Ventoline,de llanes ; el Ventoline,Ventoline de laredo,"Ventoline de laredo ,","Ventoline de laredo , y"
http://ecodiario.eleconomista.es/espana/noticias/6307898/12/14/Laredo-abraza-a-la-Puebla-Vieja-y-el-equipo-de-Gobierno-recibe-un-premio-limon-por-su-proyecto-de-accesibilidad.html,eleconomista.es,2014-12-07,Spain,Ventolines/NP00000/ventolines,"También  en  la  Plaza  de  la  Constitución  se  dieron  cita  miembros  del  Grupo  de  Teatro  Aldaba  ,  que  escenificaron  distintos  ""  sketch  ""  rememorando  escenas  marineras  del  viejo  Laredo  ,  mientras  que  la  asociación  El  Palenque  desarrollaba  distintos  juegos  medievales  para  los  más  pequeños  ,  y  las  voces  y  compases  musicales  de  Los Ventolines  entonaban  distintas  canciones  pejinas  .",ventolines,np00000,ventolines,Los,los,NP00000,de,de,SPS00,musicales,musical,AQ0CP0,compases,compás,NCMP000,y,y,CC,entonaban,entonar,VMII3P0,distintas,distinto,AQ0FP0,canciones,canción,NCFP000,pejinas,pejinas,AQ0FP0,.,.,Fp,2014-12-07,2014,2010,SPS00 NP00000 Ventoline VMII3P0 AQ0FP0,NP00000 Ventoline VMII3P0,SPS00 NP00000 Ventoline,AQ0CP0 SPS00 NP00000 Ventoline,NCMP000 AQ0CP0 SPS00 NP00000 Ventoline,Ventoline VMII3P0 AQ0FP0,Ventoline VMII3P0 AQ0FP0 NCFP000,Ventoline VMII3P0 AQ0FP0 NCFP000 AQ0FP0,de los Ventoline entonar distinto,los Ventoline entonar,de los Ventoline,musical de los Ventoline,compás musical de los Ventoline,Ventoline entonar distinto,Ventoline entonar distinto canción,Ventoline entonar distinto canción pejinas
http://www.laprovincia.es/carnaval/2017/02/08/carnaval-ritmo-taca-taca/906844.html?utm_source=rss,laprovincia.es,2017-02-08,Spain,ventolines/NCMP000/ventolines,"Y  es  que  estos  yayos  son  de  los  que  sacan  partido  a  todo  por  lo  que  llevarán  un  taca  taca  maraca  ,  ""  un  ventontolín  para  los  que  asman  el  Carnaval  ""  (  han  adaptado  los  pitos  a  sus ventolines  )  y  un  ""  medishaker  ""  lleno  de  pastillas  que  también  tienen  su  ritmo  .",ventolines,ncmp000,ventolines,sus,su,DP3CP0,a,a,SPS00,pitos,pito,NCMP000,los,el,DA0MP0,adaptado,adaptar,VMP00SM,),),Fpt,y,y,CC,un,uno,DI0MS0,"""","""",Fe,medishaker,medishaker,NCMS000,2017-02-08,2017,2010,SPS00 DP3CP0 Ventoline Fpt CC,DP3CP0 Ventoline Fpt,SPS00 DP3CP0 Ventoline,NCMP000 SPS00 DP3CP0 Ventoline,DA0MP0 NCMP000 SPS00 DP3CP0 Ventoline,Ventoline Fpt CC,Ventoline Fpt CC DI0MS0,Ventoline Fpt CC DI0MS0 Fe,a su Ventoline ) y,su Ventoline ),a su Ventoline,pito a su Ventoline,el pito a su Ventoline,Ventoline ) y,Ventoline ) y uno,"Ventoline ) y uno """
http://www.europapress.es/cantabria/noticia-revilla-destaca-calidad-productos-cantabros-20170312142039.html,europapress.es,2017-03-12,Spain,ventolines/NCMP000/ventolines,"Asimismo  ,  han  desfilado  por  las  calles  de  El  Astillero  los  Zamarrones  de  '  Los  Carabeos  '  de  Valdeprado  del  Río  ,  el  Coro-Ronda  '  La  Encina  '  ,  la  Escuela  Luís  García  de  Fresno  del  Río  ,  '  Los ventolines  '  de  Laredo  ,  la  Asociación  de  trajes  regionales  Son  de  Laredo  ,  la  Banda  de  gaitas  '  Al  tresbolillo  '  y  los  Gigantes  y  Cabezudos  '  Mitología  de  Cantabria  '  .",ventolines,ncmp000,ventolines,Los,el,DA0MP0,',',Fe,",",",",Fc,Río,río,NP00000,del,de+el,SPS00+DA0MS0,',',Fe,de,de,SPS00,Laredo,laredo,NP00000,",",",",Fc,la,el,DA0FS0,2017-03-12,2017,2010,Fe DA0MP0 Ventoline Fe SPS00,DA0MP0 Ventoline Fe,Fe DA0MP0 Ventoline,Fc Fe DA0MP0 Ventoline,NP00000 Fc Fe DA0MP0 Ventoline,Ventoline Fe SPS00,Ventoline Fe SPS00 NP00000,Ventoline Fe SPS00 NP00000 Fc,' el Ventoline ' de,el Ventoline ',' el Ventoline,", ' el Ventoline","río , ' el Ventoline",Ventoline ' de,Ventoline ' de laredo,"Ventoline ' de laredo ,"
http://www.abc.es/deportes/ciclismo/abci-chris-froome-positivo-dopaje-vuelta-201712130805_noticia.html,abc.es,2017-12-13,Spain,ventolines/NCMP000/ventolines,"El  salbutamol  es  una  sustancia  que  se  encuentra  ,  por  ejemplo  ,  en  los ventolines  ,  esos  inhaladores  que  utilizan  asmáticos  y  otras  personas  con  problemas  respiratorios  .",ventolines,ncmp000,ventolines,los,el,DA0MP0,en,en,SPS00,",",",",Fc,ejemplo,ejemplo,NCMS000,por,por,SPS00,",",",",Fc,esos,ese,DD0MP0,inhaladores,inhalador,NCMP000,que,que,PR0CN000,utilizan,utilizar,VMIP3P0,2017-12-13,2017,2010,SPS00 DA0MP0 Ventoline Fc DD0MP0,DA0MP0 Ventoline Fc,SPS00 DA0MP0 Ventoline,Fc SPS00 DA0MP0 Ventoline,NCMS000 Fc SPS00 DA0MP0 Ventoline,Ventoline Fc DD0MP0,Ventoline Fc DD0MP0 NCMP000,Ventoline Fc DD0MP0 NCMP000 PR0CN000,"en el Ventoline , ese","el Ventoline ,",en el Ventoline,", en el Ventoline","ejemplo , en el Ventoline","Ventoline , ese","Ventoline , ese inhalador","Ventoline , ese inhalador que"
http://www.lacronicabadajoz.com/noticias/deportes/salbutamol-medicamento-asmaticos_280300.html,lacronicabadajoz.com,2017-12-13,===NONE===,Ventoline/NP00000/ventoline,Es  un  producto  broncodilatador  comercializado  con  el  nombre  de  ' Ventoline  ',ventoline,np00000,ventoline,',',Fe,de,de,SPS00,nombre,nombre,NCMS000,el,el,DA0MS0,con,con,SPS00,',',Fe,,,,,,,,,,,,,2017-12-13,2017,2010,,Fe Ventoline Fe,SPS00 Fe Ventoline,NCMS000 SPS00 Fe Ventoline,DA0MS0 NCMS000 SPS00 Fe Ventoline,,,,,' Ventoline ',de ' Ventoline,nombre de ' Ventoline,el nombre de ' Ventoline,,,
