url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://ecodiario.eleconomista.es/salud/noticias/6580002/03/15/Los-laboratorios-farmaceuticos-aumentan-su-inversion-publicitaria-un-20-en-2014.html,eleconomista.es,2015-03-24,Spain,Voltadol/NP00000/voltadol,"Concretamente  ,  '  Durex  '  ,  '  Frenadol  '  ,  '  Strepsils  '  ,  ' Voltadol  '  y  '  Rhinomer  '  son  los  que  más  se  publicitaron  en  los  medios  en  el  último  año  .",voltadol,np00000,voltadol,',',Fe,",",",",Fc,',',Fe,Strepsils,strepsils,NP00000,',',Fe,',',Fe,y,y,CC,',',Fe,Rhinomer,rhinomer,NP00000,',',Fe,2015-03-24,2015,2010,Fc Fe Voltadol Fe CC,Fe Voltadol Fe,Fc Fe Voltadol,Fe Fc Fe Voltadol,NP00000 Fe Fc Fe Voltadol,Voltadol Fe CC,Voltadol Fe CC Fe,Voltadol Fe CC Fe NP00000,", ' Voltadol ' y",' Voltadol ',", ' Voltadol","' , ' Voltadol","strepsils ' , ' Voltadol",Voltadol ' y,Voltadol ' y ',Voltadol ' y ' rhinomer
http://ecodiario.eleconomista.es/salud/noticias/7177326/11/15/Los-laboratorios-farmaceuticos-han-invertido-en-publicidad-un-29-mas-que-el-ano-anterior.html,eleconomista.es,2015-11-26,Spain,Voltadol/NP00000/voltadol,"En  cuanto  a  las  marcas  de  productos  farmacéuticos  con  mayor  inversión  en  publicidad  ha  destacado  '  Scholl's  '  (  Reckitt  Benckiser  )  con  casi  seis_millones  de  euros  ,  seguido  a  gran  distancia  por  ' Voltadol  '  (  Novartis  )  ,  '  Frenadol  '  (  Johnson  &  Johnson  )  y  '  Megared  '  (  Reckitt  Benckiser  )  .",voltadol,np00000,voltadol,',',Fe,por,por,SPS00,distancia,distancia,NCFS000,gran,gran,AQ0CS0,a,a,SPS00,',',Fe,(,(,Fpa,Novartis,novartis,NP00000,),),Fpt,",",",",Fc,2015-11-26,2015,2010,SPS00 Fe Voltadol Fe Fpa,Fe Voltadol Fe,SPS00 Fe Voltadol,NCFS000 SPS00 Fe Voltadol,AQ0CS0 NCFS000 SPS00 Fe Voltadol,Voltadol Fe Fpa,Voltadol Fe Fpa NP00000,Voltadol Fe Fpa NP00000 Fpt,por ' Voltadol ' (,' Voltadol ',por ' Voltadol,distancia por ' Voltadol,gran distancia por ' Voltadol,Voltadol ' (,Voltadol ' ( novartis,Voltadol ' ( novartis )
http://ecodiario.eleconomista.es/salud/noticias/7177326/11/15/Los-laboratorios-farmaceuticos-han-invertido-en-publicidad-un-29-mas-que-el-ano-anterior.html,eleconomista.es,2015-11-26,Spain,Voltadol/NP00000/voltadol,"Así  ,  han  tenido  crecimientos  por  encima  del  100  por  cien  respecto  a  2014  Scholl's  ,  ' Voltadol  '  ,  '  Gaviscon  '  ,  '  Alli  '  ,  y  '  Ensure  '  ,  mientras  que  han  reducido  su  inversión  '  Frenadol  '  ,  '  Iniston  '  ,  '  Strepsils  '  ,  '  Fluimucil  '  y  Durex  .",voltadol,np00000,voltadol,',',Fe,",",",",Fc,Scholl's,scholl's,NP00000,2014,2014,Z,a,a,SPS00,',',Fe,",",",",Fc,',',Fe,Gaviscon,gaviscon,NP00000,',',Fe,2015-11-26,2015,2010,Fc Fe Voltadol Fe Fc,Fe Voltadol Fe,Fc Fe Voltadol,NP00000 Fc Fe Voltadol,Z NP00000 Fc Fe Voltadol,Voltadol Fe Fc,Voltadol Fe Fc Fe,Voltadol Fe Fc Fe NP00000,", ' Voltadol ' ,",' Voltadol ',", ' Voltadol","scholl's , ' Voltadol","2014 scholl's , ' Voltadol","Voltadol ' ,","Voltadol ' , '","Voltadol ' , ' gaviscon"
http://www.expansion.com/empresas/2016/02/14/56c0d157ca47413b568b45a3.html,expansion.com,2016-02-14,Spain,Voltadol/NP00000/voltadol,"El  producto  que  más  elevó  sus  ingresos  fue Voltadol  ,  un  antiinflamatorio  comercializado  por  Novartis  (  +148  %  )  . </doc>",voltadol,np00000,voltadol,fue,ser,VSIS3S0,ingresos,ingreso,NCMP000,sus,su,DP3CP0,elevó,elevar,VMIS3S0,más,más,RG,",",",",Fc,un,uno,DI0MS0,antiinflamatorio,antiinflamatorio,AQ0MS0,comercializado,comercializar,VMP00SM,por,por,SPS00,2016-02-14,2016,2010,NCMP000 VSIS3S0 Voltadol Fc DI0MS0,VSIS3S0 Voltadol Fc,NCMP000 VSIS3S0 Voltadol,DP3CP0 NCMP000 VSIS3S0 Voltadol,VMIS3S0 DP3CP0 NCMP000 VSIS3S0 Voltadol,Voltadol Fc DI0MS0,Voltadol Fc DI0MS0 AQ0MS0,Voltadol Fc DI0MS0 AQ0MS0 VMP00SM,"ingreso ser Voltadol , uno","ser Voltadol ,",ingreso ser Voltadol,su ingreso ser Voltadol,elevar su ingreso ser Voltadol,"Voltadol , uno","Voltadol , uno antiinflamatorio","Voltadol , uno antiinflamatorio comercializar"
http://www.eleconomista.es/salud/noticias/7687877/07/16/En-2015-hubo-menos-hogares-espanoles-que-compraron-medicamentos-sin-receta.html,eleconomista.es,2016-07-06,Spain,Voltadol/NP00000/voltadol,Las  marcas  que  más  están  dinamizando  estos  grupos  son  '  Gelocatil  '  entre  los  analgésicos  (  aunque  Aspirina  sigue  siendo  la  marca  de  analgésicos  más  comprada  )  y  ' Voltadol  '  entre  los  antiinflamatorios  tópicos  .,voltadol,np00000,voltadol,',',Fe,y,y,CC,),),Fpt,comprada,comprar,VMP00SF,más,más,RG,',',Fe,entre,entre,SPS00,los,el,DA0MP0,antiinflamatorios,antiinflamatorio,AQ0MP0,tópicos,tópico,NCMP000,2016-07-06,2016,2010,CC Fe Voltadol Fe SPS00,Fe Voltadol Fe,CC Fe Voltadol,Fpt CC Fe Voltadol,VMP00SF Fpt CC Fe Voltadol,Voltadol Fe SPS00,Voltadol Fe SPS00 DA0MP0,Voltadol Fe SPS00 DA0MP0 AQ0MP0,y ' Voltadol ' entre,' Voltadol ',y ' Voltadol,) y ' Voltadol,comprar ) y ' Voltadol,Voltadol ' entre,Voltadol ' entre el,Voltadol ' entre el antiinflamatorio
http://ecodiario.eleconomista.es/salud/noticias/7712324/07/16/La-publicidad-de-la-industria-farmaceutica-crece-un-32-y-se-situa-a-niveles-precrisis.html,eleconomista.es,2016-07-18,Spain,Voltadol/NP00000/voltadol,"Respecto  a  las  marcas  de  productos  farmacéuticos  con  mayor  inversión  en  publicidad  ha  destacado  '  Scholls  '  (  Reckitt  Benckiser  )  con  más  de  9_millones  de  euros  ,  seguido  por  ' Voltadol  '  (  GSK  )  y  '  Frenadol  '  (  Johnson  &  Johnson  )  . </doc>",voltadol,np00000,voltadol,',',Fe,por,por,SPS00,seguido,seguir,VMP00SM,",",",",Fc,euros,euro,NCMP000,',',Fe,(,(,Fpa,GSK,gsk,NP00000,),),Fpt,y,y,CC,2016-07-18,2016,2010,SPS00 Fe Voltadol Fe Fpa,Fe Voltadol Fe,SPS00 Fe Voltadol,VMP00SM SPS00 Fe Voltadol,Fc VMP00SM SPS00 Fe Voltadol,Voltadol Fe Fpa,Voltadol Fe Fpa NP00000,Voltadol Fe Fpa NP00000 Fpt,por ' Voltadol ' (,' Voltadol ',por ' Voltadol,seguir por ' Voltadol,", seguir por ' Voltadol",Voltadol ' (,Voltadol ' ( gsk,Voltadol ' ( gsk )
http://www.diariosur.es/sociedad/salud/vida-sana/201706/09/espana-presenta-mayor-20170609112453-ntrc-rc.html,diariosur.es,2017-06-09,Spain,Voltadol/NP00000/voltadol,"Promovido  por Voltadol  ,  el  Barómetro  del  Dolor  es  el  primer  estudio  de  este  tipo  realizado  en  el  mundo  y  analiza  no  solo  la  vertiente  física  del  dolor  ,  sino  también  sus  consecuencias  en  el  bienestar  emocional  ,  la  vida  familiar  ,  el  rendimiento  laboral  ,  e  incluso  ,  la  economía  nacional  .",voltadol,np00000,voltadol,por,por,SPS00,Promovido,promover,VMP00SM,,,,,,,,,,",",",",Fc,el,el,DA0MS0,Barómetro,barómetro,NP00000,del,de+el,SPS00+DA0MS0,Dolor,dolor,NP00000,2017-06-09,2017,2010,VMP00SM SPS00 Voltadol Fc DA0MS0,SPS00 Voltadol Fc,VMP00SM SPS00 Voltadol,,,Voltadol Fc DA0MS0,Voltadol Fc DA0MS0 NP00000,Voltadol Fc DA0MS0 NP00000 SPS00+DA0MS0,"promover por Voltadol , el","por Voltadol ,",promover por Voltadol,,,"Voltadol , el","Voltadol , el barómetro","Voltadol , el barómetro de+el"
http://www.ideal.es/sociedad/espana-paises-mundo-20170902125408-nt.html,ideal.es,2017-09-02,Spain,Voltadol/NP00000/voltadol,"En  España  cerca  del  75  por  ciento  de  las  personas  admite  que  el  dolor  corporal  perjudica  su  calidad  de  vida  ,  tanto  que  este  país  se  encuentra  entre  todos  los  del  mundo  con  mayor  número  de  bajas  laborales  ,  de  media  3,1  días  de  baja  frente  a  la  media  mundial  de  2,6  ,  según  el  '  Barómetro  del  Dolor  '  promovido  por Voltadol  y  realizado  en  32  países  a  nivel  mundial  ,  con  más  de  19.000  participantes  .",voltadol,np00000,voltadol,por,por,SPS00,promovido,promover,VMP00SM,',',Fe,Dolor,dolor,NP00000,del,de+el,SPS00+DA0MS0,y,y,CC,realizado,realizar,VMP00SM,en,en,SPS00,32,32,Z,países,país,NCMP000,2017-09-02,2017,2010,VMP00SM SPS00 Voltadol CC VMP00SM,SPS00 Voltadol CC,VMP00SM SPS00 Voltadol,Fe VMP00SM SPS00 Voltadol,NP00000 Fe VMP00SM SPS00 Voltadol,Voltadol CC VMP00SM,Voltadol CC VMP00SM SPS00,Voltadol CC VMP00SM SPS00 Z,promover por Voltadol y realizar,por Voltadol y,promover por Voltadol,' promover por Voltadol,dolor ' promover por Voltadol,Voltadol y realizar,Voltadol y realizar en,Voltadol y realizar en 32
http://www.eleconomista.es/espana/noticias/8617706/09/17/Voltadol-pretende-reunir-este-miercoles-en-la-plaza-de-la-Merced-a-5000-personas-para-promover-la-vida-activa.html,eleconomista.es,2017-09-19,Spain,Voltadol/NP00000/voltadol,<doc uri=http://www.eleconomista.es/espana/noticias/8617706/09/17/Voltadol-pretende-reunir-este-miercoles-en-la-plaza-de-la-Merced-a-5000-personas-para-promover-la-vida-activa.html website=eleconomista.es date=2017-09-19 source_country=Spain> Voltadol  pretende  reunir  este  miércoles  en  la  plaza  de  la  Merced  a  5.000  personas  para  promover  la  vida  activa,voltadol,np00000,voltadol,,,,,,,,,,,,,,,,pretende,pretender,VMIP3S0,reunir,reunir,VMN0000,este,este,DD0MS0,miércoles,miércoles,NCMN000,en,en,SPS00,2017-09-19,2017,2010,,,,,,Voltadol VMIP3S0 VMN0000,Voltadol VMIP3S0 VMN0000 DD0MS0,Voltadol VMIP3S0 VMN0000 DD0MS0 NCMN000,,,,,,Voltadol pretender reunir,Voltadol pretender reunir este,Voltadol pretender reunir este miércoles
http://www.eleconomista.es/espana/noticias/8617706/09/17/Voltadol-pretende-reunir-este-miercoles-en-la-plaza-de-la-Merced-a-5000-personas-para-promover-la-vida-activa.html,eleconomista.es,2017-09-19,Spain,Voltadol/NP00000/voltadol,La  plaza  de  la  Merced  de  Málaga  capital  será  el  escenario  este  miércoles  del  reto  lanzado  por Voltadol  a  los  malagueños  para  lograr  en  un  solo  día  5.000  gestos  sin  dolor  .,voltadol,np00000,voltadol,por,por,SPS00,lanzado,lanzar,VMP00SM,reto,reto,NCMS000,del,de+el,SPS00+DA0MS0,miércoles,miércoles,NCMN000,a,a,SPS00,los,el,DA0MP0,malagueños,malagueño,NCMP000,para,para,SPS00,lograr,lograr,VMN0000,2017-09-19,2017,2010,VMP00SM SPS00 Voltadol SPS00 DA0MP0,SPS00 Voltadol SPS00,VMP00SM SPS00 Voltadol,NCMS000 VMP00SM SPS00 Voltadol,SPS00+DA0MS0 NCMS000 VMP00SM SPS00 Voltadol,Voltadol SPS00 DA0MP0,Voltadol SPS00 DA0MP0 NCMP000,Voltadol SPS00 DA0MP0 NCMP000 SPS00,lanzar por Voltadol a el,por Voltadol a,lanzar por Voltadol,reto lanzar por Voltadol,de+el reto lanzar por Voltadol,Voltadol a el,Voltadol a el malagueño,Voltadol a el malagueño para
http://www.eleconomista.es/espana/noticias/8617706/09/17/Voltadol-pretende-reunir-este-miercoles-en-la-plaza-de-la-Merced-a-5000-personas-para-promover-la-vida-activa.html,eleconomista.es,2017-09-19,Spain,Voltadol/NP00000/voltadol,"Según  el  estudio  Barómetro  del  Dolor  ,  promovido  por Voltadol  ,  de  los  países  participantes  España  es  el  que  más  dolor  corporal  sufre  ,  un  63  por  ciento  .",voltadol,np00000,voltadol,por,por,SPS00,promovido,promover,VMP00SM,",",",",Fc,Dolor,dolor,NP00000,del,de+el,SPS00+DA0MS0,",",",",Fc,de,de,SPS00,los,el,DA0MP0,países,país,NCMP000,participantes,participante,AQ0CP0,2017-09-19,2017,2010,VMP00SM SPS00 Voltadol Fc SPS00,SPS00 Voltadol Fc,VMP00SM SPS00 Voltadol,Fc VMP00SM SPS00 Voltadol,NP00000 Fc VMP00SM SPS00 Voltadol,Voltadol Fc SPS00,Voltadol Fc SPS00 DA0MP0,Voltadol Fc SPS00 DA0MP0 NCMP000,"promover por Voltadol , de","por Voltadol ,",promover por Voltadol,", promover por Voltadol","dolor , promover por Voltadol","Voltadol , de","Voltadol , de el","Voltadol , de el país"
http://www.eleconomista.es/espana/noticias/8617706/09/17/Voltadol-pretende-reunir-este-miercoles-en-la-plaza-de-la-Merced-a-5000-personas-para-promover-la-vida-activa.html,eleconomista.es,2017-09-19,Spain,Voltadol/NP00000/voltadol,"Cada  actividad  física  de  este  reto  responde  a  un  resultado  del  estudio  Barómetro  del  Dolor  ,  promovido  por Voltadol  ,  un  estudio  que  no  sólo  recoge  el  impacto  del  dolor  a  nivel  físico  ,  sino  también  a  nivel  psicológico  ,  social  y  en  el  ámbito  familiar  .",voltadol,np00000,voltadol,por,por,SPS00,promovido,promover,VMP00SM,",",",",Fc,Dolor,dolor,NP00000,del,de+el,SPS00+DA0MS0,",",",",Fc,un,uno,DI0MS0,estudio,estudio,NCMS000,que,que,PR0CN000,no,no,RN,2017-09-19,2017,2010,VMP00SM SPS00 Voltadol Fc DI0MS0,SPS00 Voltadol Fc,VMP00SM SPS00 Voltadol,Fc VMP00SM SPS00 Voltadol,NP00000 Fc VMP00SM SPS00 Voltadol,Voltadol Fc DI0MS0,Voltadol Fc DI0MS0 NCMS000,Voltadol Fc DI0MS0 NCMS000 PR0CN000,"promover por Voltadol , uno","por Voltadol ,",promover por Voltadol,", promover por Voltadol","dolor , promover por Voltadol","Voltadol , uno","Voltadol , uno estudio","Voltadol , uno estudio que"
