url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.prensa.com/uhora/locales/fiscalia-abogado-familia-leis-pide-juicio-medico-miguel-wong-tang/259743,prensa.com,2014-01-14,Panama,Voltaren/NP00000/voltaren,"14/01/2014  -  La  fiscal  décima  de  circuito  ,  Vielka  Vargas  ,  y  el  abogado  de  la  familia  del  sociólogo  Raúl  Leis  ,  Sergio  Campos  ,  pidieron  el  llamamiento  a  juicio  del  médico  Miguel  Wong  Tang  al  considerar  que  hubo  negligencia  de  su  parte  al  recetarle  a  Leis Voltaren  oftalmológico  ,  un  medicamento  al  que  era  alérgico  .",voltaren,np00000,voltaren,Leis,leis,NP00000,a,a,SPS00,recetarle,recetar+le,VMN0000+PP3CSD00,al,a+el,SPS00+DA0MS0,parte,parte,NCFS000,oftalmológico,oftalmológico,AQ0MS0,",",",",Fc,un,uno,DI0MS0,medicamento,medicamento,NCMS000,al,a+el,SPS00+DA0MS0,2014-01-14,2014,2010,SPS00 NP00000 Voltaren AQ0MS0 Fc,NP00000 Voltaren AQ0MS0,SPS00 NP00000 Voltaren,VMN0000+PP3CSD00 SPS00 NP00000 Voltaren,SPS00+DA0MS0 VMN0000+PP3CSD00 SPS00 NP00000 Voltaren,Voltaren AQ0MS0 Fc,Voltaren AQ0MS0 Fc DI0MS0,Voltaren AQ0MS0 Fc DI0MS0 NCMS000,"a leis Voltaren oftalmológico ,",leis Voltaren oftalmológico,a leis Voltaren,recetar+le a leis Voltaren,a+el recetar+le a leis Voltaren,"Voltaren oftalmológico ,","Voltaren oftalmológico , uno","Voltaren oftalmológico , uno medicamento"
http://www.prensa.com/uhora/locales/fallo-muerte-raul-leis-justicia/263509,prensa.com,2014-01-21,Panama,voltaren/NCMS000/voltaren,En  el  fallo  -  que  consta  de  65  páginas  -  se  determinó  que  la  muerte  de  Leis  no  ocurrió  por  arritmia  cardiaca  debido  a  una  alergia  ocasionada  por  la  aplicación  del  medicamento  dicoflenaco  ( voltaren  oftálmico  )  .,voltaren,ncms000,voltaren,(,(,Fpa,dicoflenaco,dicoflenaco,NCMS000,medicamento,medicamento,NCMS000,del,de+el,SPS00+DA0MS0,aplicación,aplicación,NCFS000,oftálmico,oftálmico,AQ0MS0,),),Fpt,.,.,Fp,,,,,,,2014-01-21,2014,2010,NCMS000 Fpa Voltaren AQ0MS0 Fpt,Fpa Voltaren AQ0MS0,NCMS000 Fpa Voltaren,NCMS000 NCMS000 Fpa Voltaren,SPS00+DA0MS0 NCMS000 NCMS000 Fpa Voltaren,Voltaren AQ0MS0 Fpt,Voltaren AQ0MS0 Fpt Fp,,dicoflenaco ( Voltaren oftálmico ),( Voltaren oftálmico,dicoflenaco ( Voltaren,medicamento dicoflenaco ( Voltaren,de+el medicamento dicoflenaco ( Voltaren,Voltaren oftálmico ),Voltaren oftálmico ) .,
http://www.prensa.com/uhora/locales/fallo-muerte-raul-leis-justicia/263509,prensa.com,2014-01-21,Panama,voltaren/NCMS000/voltaren,"El  sociólogo  tenía  una  afección  cardíaca  ,  sufría  de  asma  y  era  alérgico  a  medicamentos  con  aines  ,  producto  que  estaba  contenido  en  el voltaren  oftalmológico  que  le  recetó  Wong  Tang  después  de  la  operación  .",voltaren,ncms000,voltaren,el,el,DA0MS0,en,en,SPS00,contenido,contener,VMP00SM,estaba,estar,VAII1S0,que,que,PR0CN000,oftalmológico,oftalmológico,AQ0MS0,que,que,PR0CN000,le,le,PP3CSD00,recetó,recetar,VMIS3S0,Wong,wong,NP00000,2014-01-21,2014,2010,SPS00 DA0MS0 Voltaren AQ0MS0 PR0CN000,DA0MS0 Voltaren AQ0MS0,SPS00 DA0MS0 Voltaren,VMP00SM SPS00 DA0MS0 Voltaren,VAII1S0 VMP00SM SPS00 DA0MS0 Voltaren,Voltaren AQ0MS0 PR0CN000,Voltaren AQ0MS0 PR0CN000 PP3CSD00,Voltaren AQ0MS0 PR0CN000 PP3CSD00 VMIS3S0,en el Voltaren oftalmológico que,el Voltaren oftalmológico,en el Voltaren,contener en el Voltaren,estar contener en el Voltaren,Voltaren oftalmológico que,Voltaren oftalmológico que le,Voltaren oftalmológico que le recetar
http://ccaa.elpais.com/ccaa/2014/04/24/paisvasco/1398341261_419530.html,elpais.com,2014-04-24,Spain,voltaren/VMIP3P0/voltaren,"Después  de  reconocer  al  paciente  ,  el  equipo  médico  le  diagnosticó  una  lumbalgia  ,  le  administró  un  tratamiento  consistente  en  nolotil  , voltaren  y  valium  y  le  dio  el  alta  .",voltaren,vmip3p0,voltaren,",",",",Fc,nolotil,nolotil,AQ0CS0,en,en,SPS00,consistente,consistente,AQ0CS0,tratamiento,tratamiento,NCMS000,y,y,CC,valium,valium,NCMS000,y,y,CC,le,le,PP3CSD00,dio,dar,VMIS3S0,2014-04-24,2014,2010,AQ0CS0 Fc Voltaren CC NCMS000,Fc Voltaren CC,AQ0CS0 Fc Voltaren,SPS00 AQ0CS0 Fc Voltaren,AQ0CS0 SPS00 AQ0CS0 Fc Voltaren,Voltaren CC NCMS000,Voltaren CC NCMS000 CC,Voltaren CC NCMS000 CC PP3CSD00,"nolotil , Voltaren y valium",", Voltaren y","nolotil , Voltaren","en nolotil , Voltaren","consistente en nolotil , Voltaren",Voltaren y valium,Voltaren y valium y,Voltaren y valium y le
http://www.diariomedico.com/2014/04/25/area-profesional/normativa/condena-dano-desproporcionado-tratar-tiron,diariomedico.com,2014-04-25,Spain,Voltaren/NP00000/voltaren,"El  paciente  afirmó  no  ser  alérgico  a  ningún  medicamento  y  ,  tras  valorar  todos  los  resultados  ,  le  diagnosticaron  un  lumbago  ,  para  el  que  le  suministraron  una  inyección  de  ""  Nolotil  , Voltaren  y  Valium  ""  ,  según  consta  en  la  sentencia  .",voltaren,np00000,voltaren,",",",",Fc,Nolotil,nolotil,NP00000,"""","""",Fe,de,de,SPS00,inyección,inyección,NCFS000,y,y,CC,Valium,valium,NP00000,"""","""",Fe,",",",",Fc,según,según,SPS00,2014-04-25,2014,2010,NP00000 Fc Voltaren CC NP00000,Fc Voltaren CC,NP00000 Fc Voltaren,Fe NP00000 Fc Voltaren,SPS00 Fe NP00000 Fc Voltaren,Voltaren CC NP00000,Voltaren CC NP00000 Fe,Voltaren CC NP00000 Fe Fc,"nolotil , Voltaren y valium",", Voltaren y","nolotil , Voltaren",""" nolotil , Voltaren","de "" nolotil , Voltaren",Voltaren y valium,"Voltaren y valium ""","Voltaren y valium "" ,"
http://www.elmundo.es/internacional/2014/04/26/535ba42422601de7768b4571.html,elmundo.es,2014-04-26,Spain,Voltaren/NP00000/voltaren,"El  portavoz  de  la  Policía  local  ,  Hery  Wiyanto  ,  señaló  que  el  australiano  de  28  años  ha  declarado  que  sólo  se  tomó  varias  pastillas  (  cuatro  Panadol  y  dos Voltaren  )  y  bebió  dos  Coca  Colas  en  el  aeropuerto  de  Brisbane  .",voltaren,np00000,voltaren,dos,2,Z,y,y,CC,Panadol,panadol,NP00000,cuatro,4,Z,(,(,Fpa,),),Fpt,y,y,CC,bebió,beber,VMIS3S0,dos,2,Z,Coca,coca,NP00000,2014-04-26,2014,2010,CC Z Voltaren Fpt CC,Z Voltaren Fpt,CC Z Voltaren,NP00000 CC Z Voltaren,Z NP00000 CC Z Voltaren,Voltaren Fpt CC,Voltaren Fpt CC VMIS3S0,Voltaren Fpt CC VMIS3S0 Z,y 2 Voltaren ) y,2 Voltaren ),y 2 Voltaren,panadol y 2 Voltaren,4 panadol y 2 Voltaren,Voltaren ) y,Voltaren ) y beber,Voltaren ) y beber 2
http://www.eleconomista.es/cultura/noticias/5734729/04/14/Un-pasajero-confunde-la-cabina-con-el-bano-y-causa-una-alerta-de-secuestro.html,eleconomista.es,2014-04-26,Spain,Voltaren/NP00000/voltaren,"Tras  realizar  pruebas  de  sangre  ,  la  policía  dijo  que  Lockley  había  tomado  varios  tranquilizantes  ,  incluyendo  cuatro  píldoras  de  Panadol  y  dos  de Voltaren  .",voltaren,np00000,voltaren,de,de,SPS00,dos,2,Z,y,y,CC,Panadol,panadol,NP00000,de,de,SPS00,.,.,Fp,,,,,,,,,,,,,2014-04-26,2014,2010,,SPS00 Voltaren Fp,Z SPS00 Voltaren,CC Z SPS00 Voltaren,NP00000 CC Z SPS00 Voltaren,,,,,de Voltaren .,2 de Voltaren,y 2 de Voltaren,panadol y 2 de Voltaren,,,
http://www.prensa-latina.cu/index.php?option=com_content&task=view&id=2625341&Itemid=1,prensa-latina.cu,2014-04-28,Cuba,Voltaren/NP00000/voltaren,"El  australiano  de  28  años  declaró  que  tomó  pastillas  (  cuatro  Panadol  y  dos Voltaren  y  bebió  dos  Coca  Colas  antes  de  abordar  en  el  aeropuerto  de  Brisbane  ,  noroeste  de  Australia  ,  especificó  el  portavoz  policial  Hery  Wiyanto  . </doc>",voltaren,np00000,voltaren,dos,2,Z,y,y,CC,Panadol,panadol,NP00000,cuatro,4,Z,(,(,Fpa,y,y,CC,bebió,beber,VMIS3S0,dos,2,Z,Coca,coca,NP00000,Colas,colas,NP00000,2014-04-28,2014,2010,CC Z Voltaren CC VMIS3S0,Z Voltaren CC,CC Z Voltaren,NP00000 CC Z Voltaren,Z NP00000 CC Z Voltaren,Voltaren CC VMIS3S0,Voltaren CC VMIS3S0 Z,Voltaren CC VMIS3S0 Z NP00000,y 2 Voltaren y beber,2 Voltaren y,y 2 Voltaren,panadol y 2 Voltaren,4 panadol y 2 Voltaren,Voltaren y beber,Voltaren y beber 2,Voltaren y beber 2 coca
http://www.clarin.com/opinion/Ahora-Torneo-Companero-Grondona_0_1132086815.html,clarin.com,2014-05-04,Argentina,Voltaren/NP00000/voltaren,Lo  bueno  es  que  se  van  a  ahorrar  el  preparador  físico  porque  lo  único  que  van  a  necesitar  los  jugadores  es  un Voltaren  50  cada  8  horas  .,voltaren,np00000,voltaren,un,uno,DI0MS0,es,ser,VSIP3S0,jugadores,jugador,NCMP000,los,el,DA0MP0,necesitar,necesitar,VMN0000,50,50,Z,cada,cada,DI0CS0,8,8,Z,horas,hora,NCFP000,.,.,Fp,2014-05-04,2014,2010,VSIP3S0 DI0MS0 Voltaren Z DI0CS0,DI0MS0 Voltaren Z,VSIP3S0 DI0MS0 Voltaren,NCMP000 VSIP3S0 DI0MS0 Voltaren,DA0MP0 NCMP000 VSIP3S0 DI0MS0 Voltaren,Voltaren Z DI0CS0,Voltaren Z DI0CS0 Z,Voltaren Z DI0CS0 Z NCFP000,ser uno Voltaren 50 cada,uno Voltaren 50,ser uno Voltaren,jugador ser uno Voltaren,el jugador ser uno Voltaren,Voltaren 50 cada,Voltaren 50 cada 8,Voltaren 50 cada 8 hora
http://ww2.elinformador.com.ve/desmantelan-organizacion-que-falsificaba-medicamentos/,elinformador.com.ve,2014-05-16,"Venezuela, Bolivarian Republic of",Voltaren/NP00000/voltaren,"También  se  incautaron  medicamentos  presuntamente  falsos  ,  entre  relajantes  musculares  ,  como  Cataflam  y Voltaren  ,  además  del  antidepresivo  Rivotril  ,  los  cuales  se  trasladaron  a  los  laboratorios  para  su  experticia  ,  refiere  AVN  .",voltaren,np00000,voltaren,y,y,CC,Cataflam,cataflam,NP00000,como,como,CS,",",",",Fc,musculares,muscular,AQ0CP0,",",",",Fc,además,además,RG,del,de+el,SPS00+DA0MS0,antidepresivo,antidepresivo,NCMS000,Rivotril,rivotril,NP00000,2014-05-16,2014,2010,NP00000 CC Voltaren Fc RG,CC Voltaren Fc,NP00000 CC Voltaren,CS NP00000 CC Voltaren,Fc CS NP00000 CC Voltaren,Voltaren Fc RG,Voltaren Fc RG SPS00+DA0MS0,Voltaren Fc RG SPS00+DA0MS0 NCMS000,"cataflam y Voltaren , además","y Voltaren ,",cataflam y Voltaren,como cataflam y Voltaren,", como cataflam y Voltaren","Voltaren , además","Voltaren , además de+el","Voltaren , además de+el antidepresivo"
