url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.eluniverso.com/deportes/2014/01/12/nota/2014181/rivera-lesiones-tuvieron-culpa,eluniverso.com,2014-01-12,Ecuador,Voltarén/NP00000/voltarén,Cuando  empezó  el  campeonato  yo  tomaba Voltarén  dos  veces  al  día  .,voltarén,np00000,voltarén,tomaba,tomar,VMII3S0,yo,yo,PP1CSN00,campeonato,campeonato,NCMS000,el,el,DA0MS0,empezó,empezar,VMIS3S0,dos,2,Z,veces,vez,NCFP000,al,a+el,SPS00+DA0MS0,día,día,NCMS000,.,.,Fp,2014-01-12,2014,2010,PP1CSN00 VMII3S0 Voltarén Z NCFP000,VMII3S0 Voltarén Z,PP1CSN00 VMII3S0 Voltarén,NCMS000 PP1CSN00 VMII3S0 Voltarén,DA0MS0 NCMS000 PP1CSN00 VMII3S0 Voltarén,Voltarén Z NCFP000,Voltarén Z NCFP000 SPS00+DA0MS0,Voltarén Z NCFP000 SPS00+DA0MS0 NCMS000,yo tomar Voltarén 2 vez,tomar Voltarén 2,yo tomar Voltarén,campeonato yo tomar Voltarén,el campeonato yo tomar Voltarén,Voltarén 2 vez,Voltarén 2 vez a+el,Voltarén 2 vez a+el día
http://www.elcomercio.com/deportes/futbol/futbolistas-publicidad-television-marcas_0_1065493539.html,elcomercio.com,2014-01-13,Ecuador,Voltarén/NP00000/voltarén,"'  Toño  '  tiene  contratos  con  Claro  ,  Pony  Malta  , Voltarén  ,  Valvoline  y  Nike  .",voltarén,np00000,voltarén,",",",",Fc,Malta,malta,NP00000,Pony,pony,NP00000,",",",",Fc,Claro,claro,NP00000,",",",",Fc,Valvoline,valvoline,NP00000,y,y,CC,Nike,nike,NP00000,.,.,Fp,2014-01-13,2014,2010,NP00000 Fc Voltarén Fc NP00000,Fc Voltarén Fc,NP00000 Fc Voltarén,NP00000 NP00000 Fc Voltarén,Fc NP00000 NP00000 Fc Voltarén,Voltarén Fc NP00000,Voltarén Fc NP00000 CC,Voltarén Fc NP00000 CC NP00000,"malta , Voltarén , valvoline",", Voltarén ,","malta , Voltarén","pony malta , Voltarén",", pony malta , Voltarén","Voltarén , valvoline","Voltarén , valvoline y","Voltarén , valvoline y nike"
http://www.europapress.es/internacional/noticia-hombre-provoco-alerta-secuestro-avion-confundio-cabina-piloto-bano-20140426101901.html,europapress.es,2014-04-26,Spain,Voltarén/NP00000/voltarén,"Tras  haber  analizado  muestras  de  sangre  de  Lockley  ,  la  Policía  de  Bali  ha  indicado  que  el  pasajero  había  tomado  varios  analgésicos  ,  en  concreto  cuatro  cápsulas  de  Panadol  y  dos  de Voltarén  ,  descartando  que  estuviera  ebrio  . </doc>",voltarén,np00000,voltarén,de,de,SPS00,dos,2,Z,y,y,CC,Panadol,panadol,NP00000,de,de,SPS00,",",",",Fc,descartando,descartar,VMG0000,que,que,CS,estuviera,estar,VASI1S0,ebrio,ebrio,AQ0MS0,2014-04-26,2014,2010,Z SPS00 Voltarén Fc VMG0000,SPS00 Voltarén Fc,Z SPS00 Voltarén,CC Z SPS00 Voltarén,NP00000 CC Z SPS00 Voltarén,Voltarén Fc VMG0000,Voltarén Fc VMG0000 CS,Voltarén Fc VMG0000 CS VASI1S0,"2 de Voltarén , descartar","de Voltarén ,",2 de Voltarén,y 2 de Voltarén,panadol y 2 de Voltarén,"Voltarén , descartar","Voltarén , descartar que","Voltarén , descartar que estar"
http://elcomercio.pe/economia/mundo/mundialistas-sudamericanos-mas-caros-y-sus-marcas-noticia-1732964,elcomercio.pe,2014-05-30,Peru,Voltarén/NP00000/voltarén,"En  el  norteño  Ecuador  afirman  que  Antonio  Valencia  ,  su  estrella  consagrada  en  el  inglés  Manchester  United  ,  presta  su  imagen  a  Valvoline  ,  Claro  ,  Pony  Malta  y Voltarén  .",voltarén,np00000,voltarén,y,y,CC,Malta,malta,NP00000,Pony,pony,NP00000,",",",",Fc,Claro,claro,NP00000,.,.,Fp,,,,,,,,,,,,,2014-05-30,2014,2010,,CC Voltarén Fp,NP00000 CC Voltarén,NP00000 NP00000 CC Voltarén,Fc NP00000 NP00000 CC Voltarén,,,,,y Voltarén .,malta y Voltarén,pony malta y Voltarén,", pony malta y Voltarén",,,
http://www.elperiodico.com/es/noticias/sociedad/clubs-con-enfermos-3485086?utm_source=rss-noticias&utm_medium=feed&utm_campaign=portada,elperiodico.com,2014-09-01,===NONE===,Voltarén/NP00000/voltarén,"Lo  mismo  :  le  recetaron Voltarén  ,  luego  Miolastán  ,  luego  Lyrica  ,  luego  Miolastán  con  Lyrica  .  ""  Y  empezó  la  mezcla  de  medicamentos  ""  .",voltarén,np00000,voltarén,recetaron,recetar,VMIS3P0,le,le,PP3CSD00,:,:,Fd,mismo,mismo,AQ0MS0,Lo,el,DA0NS0,",",",",Fc,luego,luego,RG,Miolastán,miolastán,NP00000,",",",",Fc,luego,luego,RG,2014-09-01,2014,2010,PP3CSD00 VMIS3P0 Voltarén Fc RG,VMIS3P0 Voltarén Fc,PP3CSD00 VMIS3P0 Voltarén,Fd PP3CSD00 VMIS3P0 Voltarén,AQ0MS0 Fd PP3CSD00 VMIS3P0 Voltarén,Voltarén Fc RG,Voltarén Fc RG NP00000,Voltarén Fc RG NP00000 Fc,"le recetar Voltarén , luego","recetar Voltarén ,",le recetar Voltarén,: le recetar Voltarén,mismo : le recetar Voltarén,"Voltarén , luego","Voltarén , luego miolastán","Voltarén , luego miolastán ,"
http://deportes.elpais.com/deportes/2014/09/07/actualidad/1410101826_684979.html,elpais.com,2014-09-07,Spain,voltarén/RG/voltarén,Y  me  pinchaban voltarén  unas  200  veces  al  año  .,voltarén,rg,voltarén,pinchaban,pinchar,VMII3P0,me,me,PP1CS000,Y,y,CC,,,,,,,unas,uno,DI0FP0,200,200,Z,veces,vez,NCFP000,al,a+el,SPS00+DA0MS0,año,año,NCMS000,2014-09-07,2014,2010,PP1CS000 VMII3P0 Voltarén DI0FP0 Z,VMII3P0 Voltarén DI0FP0,PP1CS000 VMII3P0 Voltarén,CC PP1CS000 VMII3P0 Voltarén,,Voltarén DI0FP0 Z,Voltarén DI0FP0 Z NCFP000,Voltarén DI0FP0 Z NCFP000 SPS00+DA0MS0,me pinchar Voltarén uno 200,pinchar Voltarén uno,me pinchar Voltarén,y me pinchar Voltarén,,Voltarén uno 200,Voltarén uno 200 vez,Voltarén uno 200 vez a+el
http://www.elsiglo.net.ve//modules.php?name=News&file=article&sid=92578,elsiglo.net.ve,2014-11-15,"Venezuela, Bolivarian Republic of",Voltarén/NP00000/voltarén,"La  Guardia  Nacional  Bolivariana  logró  retener  2.400  cabillas  que  serán  distribuidas  a  la  Gran  Misión  Vivienda  Venezuela  ;  también  7.884  unidades  de  medicinas  ,  entre  ellas Voltarén  y  Amoxicilina  ;  y  repuestos  de  vehículos  ,  como  baterías  para  motos  ,  bujías  y  accesorios  .",voltarén,np00000,voltarén,ellas,ellos,PP3FP000,entre,entre,SPS00,",",",",Fc,medicinas,medicina,NCFP000,de,de,SPS00,y,y,CC,Amoxicilina,amoxicilina,NP00000,;,;,Fx,y,y,CC,repuestos,reponer,VMP00PM,2014-11-15,2014,2010,SPS00 PP3FP000 Voltarén CC NP00000,PP3FP000 Voltarén CC,SPS00 PP3FP000 Voltarén,Fc SPS00 PP3FP000 Voltarén,NCFP000 Fc SPS00 PP3FP000 Voltarén,Voltarén CC NP00000,Voltarén CC NP00000 Fx,Voltarén CC NP00000 Fx CC,entre ellos Voltarén y amoxicilina,ellos Voltarén y,entre ellos Voltarén,", entre ellos Voltarén","medicina , entre ellos Voltarén",Voltarén y amoxicilina,Voltarén y amoxicilina ;,Voltarén y amoxicilina ; y
http://www.diariodeleon.es/noticias/leon/gasto-farmaceutico-sube-leon-2-5-millones-dos-anos-despues-copago_967771.html,diariodeleon.es,2015-03-30,Spain,voltarén/RG/voltarén,"Los  diez  medicamentos  más  consumidos  en  León  son  ,  por  este  orden  ,  Adiro  (  para  la  circulación  )  ,  Omeprazol  (  protector  digestivo  )  ,  Sintron  (  circulación  sangre  )  ,  orfidal  (  antidepresivo  )  ,  metformina  , voltarén  ,  seguril  ,  viscofresh  y  dianben  .",voltarén,rg,voltarén,",",",",Fc,metformina,metformina,VMIP3S0,",",",",Fc,),),Fpt,antidepresivo,antidepresivo,NCMS000,",",",",Fc,seguril,seguril,AQ0CS0,",",",",Fc,viscofresh,viscofresh,NCMS000,y,y,CC,2015-03-30,2015,2010,VMIP3S0 Fc Voltarén Fc AQ0CS0,Fc Voltarén Fc,VMIP3S0 Fc Voltarén,Fc VMIP3S0 Fc Voltarén,Fpt Fc VMIP3S0 Fc Voltarén,Voltarén Fc AQ0CS0,Voltarén Fc AQ0CS0 Fc,Voltarén Fc AQ0CS0 Fc NCMS000,"metformina , Voltarén , seguril",", Voltarén ,","metformina , Voltarén",", metformina , Voltarén",") , metformina , Voltarén","Voltarén , seguril","Voltarén , seguril ,","Voltarén , seguril , viscofresh"
http://diarioavance.com/de-tu-interes/salud/sin-ampollas-estan-las-farmacias-de-los-teques/,diarioavance.com,2015-04-06,===NONE===,voltarén/RG/voltarén,"Expresó  que  otros  relajantes  más  conocidos  como  diclofenac  ,  coltrax  y voltarén  están  desaparecidos  .",voltarén,rg,voltarén,y,y,CC,coltrax,coltrax,NCMN000,",",",",Fc,diclofenac,diclofenac,NCMS000,como,como,CS,están,estar,VAIP3P0,desaparecidos,desaparecer,VMP00PM,.,.,Fp,,,,,,,2015-04-06,2015,2010,NCMN000 CC Voltarén VAIP3P0 VMP00PM,CC Voltarén VAIP3P0,NCMN000 CC Voltarén,Fc NCMN000 CC Voltarén,NCMS000 Fc NCMN000 CC Voltarén,Voltarén VAIP3P0 VMP00PM,Voltarén VAIP3P0 VMP00PM Fp,,coltrax y Voltarén estar desaparecer,y Voltarén estar,coltrax y Voltarén,", coltrax y Voltarén","diclofenac , coltrax y Voltarén",Voltarén estar desaparecer,Voltarén estar desaparecer .,
http://www.elfinanciero.com.mx/opinion/despues-del-informe.html,elfinanciero.com.mx,2015-09-04,Mexico,Voltarén/NP00000/voltarén,"Dirán  que  Gil  es  un  irresponsable  ,  pero  la  sexta  vez  que  bostezó  durante  el  mensaje  del  presidente  Peña  ,  la  quijada  casi  se  le  paraliza  ,  tuvo  que  ponerse  un  poco  de Voltarén  debajo  de  las  orejas  (  muy  bueno  el  Voltarén  Gel  para  los  dolores  musculares  )  .",voltarén,np00000,voltarén,de,de,SPS00,poco,poco,PI0MS000,un,uno,DI0MS0,ponerse,poner+se,VMN0000+PP3CN000,que,que,CS,debajo,debajo,RG,de,de,SPS00,las,el,DA0FP0,orejas,oreja,NCFP000,(,(,Fpa,2015-09-04,2015,2010,PI0MS000 SPS00 Voltarén RG SPS00,SPS00 Voltarén RG,PI0MS000 SPS00 Voltarén,DI0MS0 PI0MS000 SPS00 Voltarén,VMN0000+PP3CN000 DI0MS0 PI0MS000 SPS00 Voltarén,Voltarén RG SPS00,Voltarén RG SPS00 DA0FP0,Voltarén RG SPS00 DA0FP0 NCFP000,poco de Voltarén debajo de,de Voltarén debajo,poco de Voltarén,uno poco de Voltarén,poner+se uno poco de Voltarén,Voltarén debajo de,Voltarén debajo de el,Voltarén debajo de el oreja
