url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lavanguardia.com/local/madrid/20140527/54409353164/dani-comas-realizara-exhibiciones-de-biketrial-en-el-centro-comercial-la-vaguada-de-madrid.html,lavanguardia.com,2014-05-27,Spain,WD-40/Z/WD-40,"El  diez  veces  campeón  mundial  de  Biketrial  ,  Dani  Comas  ,  realizará  el  próximo  viernes  6  y  sábado  7  de  junio  ,  una  serie  de  exhibiciones  patrocinadas  por WD-40  ,  Bricosoriano  y  el  Centro  Comercial  La  Vaguada  para  acercar  este  deporte  a  los  madrileños  .",wd-40,z,wd-40,por,por,SPS00,patrocinadas,patrocinar,VMP00PF,exhibiciones,exhibición,NCFP000,de,de,SPS00,serie,serie,NCFS000,",",",",Fc,Bricosoriano,bricosoriano,NP00000,y,y,CC,el,el,DA0MS0,Centro,centro,NP00000,2014-05-27,2014,2010,VMP00PF SPS00 WD-40 Fc NP00000,SPS00 WD-40 Fc,VMP00PF SPS00 WD-40,NCFP000 VMP00PF SPS00 WD-40,SPS00 NCFP000 VMP00PF SPS00 WD-40,WD-40 Fc NP00000,WD-40 Fc NP00000 CC,WD-40 Fc NP00000 CC DA0MS0,"patrocinar por WD-40 , bricosoriano","por WD-40 ,",patrocinar por WD-40,exhibición patrocinar por WD-40,de exhibición patrocinar por WD-40,"WD-40 , bricosoriano","WD-40 , bricosoriano y","WD-40 , bricosoriano y el"
http://www.lavanguardia.com/local/madrid/20140603/54409592127/el-diez-veces-campeon-mundial-de-biketrial-dani-comas-realizara-exhibiciones-este-viernes-y-sabado.html,lavanguardia.com,2014-06-03,Spain,WD-40/Z/WD-40,"El  evento  está  patrocinado  por WD-40  ,  Bricosoriano  y  el  Centro  Comercial  La  Vaguada  y  pretende  acercar  este  deporte  a  los  madrileños  .",wd-40,z,wd-40,por,por,SPS00,patrocinado,patrocinar,VMP00SM,está,estar,VAIP3S0,evento,evento,NCMS000,El,el,DA0MS0,",",",",Fc,Bricosoriano,bricosoriano,NP00000,y,y,CC,el,el,DA0MS0,Centro,centro,NP00000,2014-06-03,2014,2010,VMP00SM SPS00 WD-40 Fc NP00000,SPS00 WD-40 Fc,VMP00SM SPS00 WD-40,VAIP3S0 VMP00SM SPS00 WD-40,NCMS000 VAIP3S0 VMP00SM SPS00 WD-40,WD-40 Fc NP00000,WD-40 Fc NP00000 CC,WD-40 Fc NP00000 CC DA0MS0,"patrocinar por WD-40 , bricosoriano","por WD-40 ,",patrocinar por WD-40,estar patrocinar por WD-40,evento estar patrocinar por WD-40,"WD-40 , bricosoriano","WD-40 , bricosoriano y","WD-40 , bricosoriano y el"
http://www.guatevision.com/5-usos-que-no-sabias-de-wd-40/#comment-2141,guatevision.com,2015-03-27,===NONE===,WD-40/Z/WD-40,<doc uri=http://www.guatevision.com/5-usos-que-no-sabias-de-wd-40/#comment-2141 website=guatevision.com date=2015-03-27 source_country=> /comment/NP00000 /on/VMIS3P0 /5/Z /uso/NCMP000 /que/PR0CN000 /no/RN /saber/VMII2S0 /de/SPS00 WD-40  by  sonia,wd-40,z,wd-40,de,de,SPS00,sabías,saber,VMII2S0,no,no,RN,que,que,PR0CN000,usos,uso,NCMP000,by,by,RG,sonia,sonia,NCFS000,,,,,,,,,,2015-03-27,2015,2010,VMII2S0 SPS00 WD-40 RG NCFS000,SPS00 WD-40 RG,VMII2S0 SPS00 WD-40,RN VMII2S0 SPS00 WD-40,PR0CN000 RN VMII2S0 SPS00 WD-40,WD-40 RG NCFS000,,,saber de WD-40 by sonia,de WD-40 by,saber de WD-40,no saber de WD-40,que no saber de WD-40,WD-40 by sonia,,
http://www.guatevision.com/5-usos-que-no-sabias-de-wd-40/#comment-2141,guatevision.com,2015-03-27,===NONE===,WD-40/Z/WD-40,"No  querido  /  a  amigo  /  a  , WD-40  no  sólo  lo  puedes  utilizar  para  prevenir  el  óxido  ,  desatascar  piezas  de  metal  o  tuercas  .",wd-40,z,wd-40,",",",",Fc,a,a,SPS00,/,,,amigo,amigo,AQ0MS0,a,a,SPS00,no,no,RN,sólo,sólo,RG,lo,lo,PP3CNA00,puedes,poder,VMIP2S0,utilizar,utilizar,VMN0000,2015-03-27,2015,2010,SPS00 Fc WD-40 RN RG,Fc WD-40 RN,SPS00 Fc WD-40,,,WD-40 RN RG,WD-40 RN RG PP3CNA00,WD-40 RN RG PP3CNA00 VMIP2S0,"a , WD-40 no sólo",", WD-40 no","a , WD-40",,,WD-40 no sólo,WD-40 no sólo lo,WD-40 no sólo lo poder
http://www.guatevision.com/5-usos-que-no-sabias-de-wd-40/#comment-2141,guatevision.com,2015-03-27,===NONE===,WD-40/Z/WD-40,"Sí  ,  utilizar WD-40  en  la  entrada  de  las  puertas  ,  marcos  de  ventanas  ,  ventilas  del  aire  acondicionado  (  atrás  en  el  motor  ,  nunca  en  donde  expele  el  aire  ya  que  los  gases  son  dañinos  para  la  salud  )  y  cualquier  lugar  de  fácil  ,  común  ,  acceso  para  las  cucarachas  ,  alejará  a  estas  molestas  ""  invitadas  ""  .",wd-40,z,wd-40,utilizar,utilizar,VMN0000,",",",",Fc,Sí,sí,RG,,,,,,,en,en,SPS00,la,el,DA0FS0,entrada,entrada,NCFS000,de,de,SPS00,las,el,DA0FP0,2015-03-27,2015,2010,Fc VMN0000 WD-40 SPS00 DA0FS0,VMN0000 WD-40 SPS00,Fc VMN0000 WD-40,RG Fc VMN0000 WD-40,,WD-40 SPS00 DA0FS0,WD-40 SPS00 DA0FS0 NCFS000,WD-40 SPS00 DA0FS0 NCFS000 SPS00,", utilizar WD-40 en el",utilizar WD-40 en,", utilizar WD-40","sí , utilizar WD-40",,WD-40 en el,WD-40 en el entrada,WD-40 en el entrada de
http://www.guatevision.com/5-usos-que-no-sabias-de-wd-40/#comment-2141,guatevision.com,2015-03-27,===NONE===,WD-40/Z/WD-40,"Aplícate WD-40  y  frótate  las  manos  ,  área  ,  con  ello  hasta  que  la  goma  desaparezca  .",wd-40,z,wd-40,Aplícate,aplicar+te,VMM02S0+PP2CS000,,,,,,,,,,,,,y,y,CC,frótate,frotar+te,VMM02S0+PP2CS000,las,el,DA0FP0,manos,mano,NCFP000,",",",",Fc,2015-03-27,2015,2010,,VMM02S0+PP2CS000 WD-40 CC,,,,WD-40 CC VMM02S0+PP2CS000,WD-40 CC VMM02S0+PP2CS000 DA0FP0,WD-40 CC VMM02S0+PP2CS000 DA0FP0 NCFP000,,aplicar+te WD-40 y,,,,WD-40 y frotar+te,WD-40 y frotar+te el,WD-40 y frotar+te el mano
http://www.guatevision.com/5-usos-que-no-sabias-de-wd-40/#comment-2141,guatevision.com,2015-03-27,===NONE===,WD-40/Z/WD-40,Rocía WD-40  sobre  la  superficie  afectada  y  en  30  segundos  elimina  esas  calcomanías  y  la  goma  imposible  de  eliminar  .,wd-40,z,wd-40,Rocía,rociar,VMIP3S0,,,,,,,,,,,,,sobre,sobre,SPS00,la,el,DA0FS0,superficie,superficie,NCFS000,afectada,afectar,VMP00SF,y,y,CC,2015-03-27,2015,2010,,VMIP3S0 WD-40 SPS00,,,,WD-40 SPS00 DA0FS0,WD-40 SPS00 DA0FS0 NCFS000,WD-40 SPS00 DA0FS0 NCFS000 VMP00SF,,rociar WD-40 sobre,,,,WD-40 sobre el,WD-40 sobre el superficie,WD-40 sobre el superficie afectar
http://www.guatevision.com/5-usos-que-no-sabias-de-wd-40/#comment-2141,guatevision.com,2015-03-27,===NONE===,WD-40/Z/WD-40,"Se  te  acaba  de  caer  sobre  tu  camisa  o  blusa  blanca  una  desagradable  cantidad  de  salsa  de  tomate  y  no  sabes  qué  hacer  por  que  tu  mamá  te  ha  dicho  que  ""  no  le  va  salir  ""  ,  tranquila  ,  sigue  comiendo  ,  disfruta  el  momento  y  luego  ve  por  esa  lata  de WD-40  ,  rocía  un  poco  sobre  la  mancha  ,  deja  que  trabaje  unos  minutos  y  lava  de  inmediato  como  de  costumbre  .  (  Ahora  cuéntale  a  tu  mamá  el  secreto  )  . </doc>",wd-40,z,wd-40,de,de,SPS00,lata,lata,NCFS000,esa,ese,DD0FS0,por,por,SPS00,ve,ver,VMIP3S0,",",",",Fc,rocía,rociar,VMIP3S0,un,uno,DI0MS0,poco,poco,PI0MS000,sobre,sobre,SPS00,2015-03-27,2015,2010,NCFS000 SPS00 WD-40 Fc VMIP3S0,SPS00 WD-40 Fc,NCFS000 SPS00 WD-40,DD0FS0 NCFS000 SPS00 WD-40,SPS00 DD0FS0 NCFS000 SPS00 WD-40,WD-40 Fc VMIP3S0,WD-40 Fc VMIP3S0 DI0MS0,WD-40 Fc VMIP3S0 DI0MS0 PI0MS000,"lata de WD-40 , rociar","de WD-40 ,",lata de WD-40,ese lata de WD-40,por ese lata de WD-40,"WD-40 , rociar","WD-40 , rociar uno","WD-40 , rociar uno poco"
http://www.guatevision.com/5-usos-de-windex-que-desconocias-limpia-vidrios/#comment-2297,guatevision.com,2015-03-30,===NONE===,WD-40/Z/WD-40,"El  limpia  vidrios  puede  quitar  todas  las  manchas  producidas  por  salsa  de  soya  ,  salsa  de  hongos  ,  vino  y  hasta  aguacate  ,  pero  ,  deberás  apresurarte  por  que  ,  a  diferencia  del WD-40  (  te  compartimos  el  enlace  por  si  te  perdiste  de  esta  serie  de  consejos  de  acerca  del  WD-40  )  ,  el  limpia  vidrios  trabaja  mejor  con  la  mancha  fresca  .",wd-40,z,wd-40,del,de+el,SPS00+DA0MS0,diferencia,diferencia,NCFS000,a,a,SPS00,",",",",Fc,que,que,CS,(,(,Fpa,te,te,PP2CS000,compartimos,compartir,VMIP1P0,el,el,DA0MS0,enlace,enlace,NCMS000,2015-03-30,2015,2010,NCFS000 SPS00+DA0MS0 WD-40 Fpa PP2CS000,SPS00+DA0MS0 WD-40 Fpa,NCFS000 SPS00+DA0MS0 WD-40,SPS00 NCFS000 SPS00+DA0MS0 WD-40,Fc SPS00 NCFS000 SPS00+DA0MS0 WD-40,WD-40 Fpa PP2CS000,WD-40 Fpa PP2CS000 VMIP1P0,WD-40 Fpa PP2CS000 VMIP1P0 DA0MS0,diferencia de+el WD-40 ( te,de+el WD-40 (,diferencia de+el WD-40,a diferencia de+el WD-40,", a diferencia de+el WD-40",WD-40 ( te,WD-40 ( te compartir,WD-40 ( te compartir el
http://www.guatevision.com/5-usos-de-windex-que-desconocias-limpia-vidrios/#comment-2297,guatevision.com,2015-03-30,===NONE===,WD-40/Z/WD-40,"El  limpia  vidrios  puede  quitar  todas  las  manchas  producidas  por  salsa  de  soya  ,  salsa  de  hongos  ,  vino  y  hasta  aguacate  ,  pero  ,  deberás  apresurarte  por  que  ,  a  diferencia  del  WD-40  (  te  compartimos  el  enlace  por  si  te  perdiste  de  esta  serie  de  consejos  de  acerca  del WD-40  )  ,  el  limpia  vidrios  trabaja  mejor  con  la  mancha  fresca  .",wd-40,z,wd-40,del,de+el,SPS00+DA0MS0,acerca,acercar,VMIP3S0,de,de,SPS00,consejos,consejo,NCMP000,de,de,SPS00,),),Fpt,",",",",Fc,el,el,DA0MS0,limpia,limpio,AQ0FS0,vidrios,vidrio,NCMP000,2015-03-30,2015,2010,VMIP3S0 SPS00+DA0MS0 WD-40 Fpt Fc,SPS00+DA0MS0 WD-40 Fpt,VMIP3S0 SPS00+DA0MS0 WD-40,SPS00 VMIP3S0 SPS00+DA0MS0 WD-40,NCMP000 SPS00 VMIP3S0 SPS00+DA0MS0 WD-40,WD-40 Fpt Fc,WD-40 Fpt Fc DA0MS0,WD-40 Fpt Fc DA0MS0 AQ0FS0,"acercar de+el WD-40 ) ,",de+el WD-40 ),acercar de+el WD-40,de acercar de+el WD-40,consejo de acercar de+el WD-40,"WD-40 ) ,","WD-40 ) , el","WD-40 ) , el limpio"
