url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ehui.com/2014/01/30/desde-enero-ya-es-mas-caro-alimentar-a-perros-y-gatos-a-causa-del-iva,ehui.com,2014-01-30,===NONE===,Whiskas/NP00000/whiskas,"El  mayor  aumento  detectado  fue  la  lata  de Whiskas  de  156  gramos  para  gato  con  sabor  atún  ,  que  pasó  de  9.80  pesos  a  11.50  pesos  en  la  cadena  Chedraui  ,  es  decir  ,  un  incremento  del  17.34  %  .",whiskas,np00000,whiskas,de,de,SPS00,lata,lata,NCFS000,la,el,DA0FS0,fue,ser,VSIS3S0,detectado,detectar,VMP00SM,de,de,SPS00,156,156,Z,gramos,gramo,NCMP000,para,para,SPS00,gato,gato,NCMS000,2014-01-30,2014,2010,NCFS000 SPS00 Whiskas SPS00 Z,SPS00 Whiskas SPS00,NCFS000 SPS00 Whiskas,DA0FS0 NCFS000 SPS00 Whiskas,VSIS3S0 DA0FS0 NCFS000 SPS00 Whiskas,Whiskas SPS00 Z,Whiskas SPS00 Z NCMP000,Whiskas SPS00 Z NCMP000 SPS00,lata de Whiskas de 156,de Whiskas de,lata de Whiskas,el lata de Whiskas,ser el lata de Whiskas,Whiskas de 156,Whiskas de 156 gramo,Whiskas de 156 gramo para
http://www.ehui.com/2014/01/30/desde-enero-ya-es-mas-caro-alimentar-a-perros-y-gatos-a-causa-del-iva,ehui.com,2014-01-30,===NONE===,Whiskas/NP00000/whiskas,"La  misma  lata  de Whiskas  sabor  atún  tuvo  incrementos  distintos  en  otras  cadenas  comerciales  y  en  otras  ciudades  :  por  ejemplo  ,  en  un  Soriana  de  la  Ciudad  de  México  aumentó  15.78  %  ,  al  pasar  de  9.50  a  11  pesos  ;  y  en  un  Walmart  de  Tijuana  subió  16  %  al  pasar  de  10  a  11.60  pesos  .",whiskas,np00000,whiskas,de,de,SPS00,lata,lata,NCFS000,misma,mismo,AQ0FS0,La,el,DA0FS0,,,,sabor,sabor,NCMS000,atún,atún,NCMS000,tuvo,tener,VMIS3S0,incrementos,incremento,NCMP000,distintos,distinto,AQ0MP0,2014-01-30,2014,2010,NCFS000 SPS00 Whiskas NCMS000 NCMS000,SPS00 Whiskas NCMS000,NCFS000 SPS00 Whiskas,AQ0FS0 NCFS000 SPS00 Whiskas,DA0FS0 AQ0FS0 NCFS000 SPS00 Whiskas,Whiskas NCMS000 NCMS000,Whiskas NCMS000 NCMS000 VMIS3S0,Whiskas NCMS000 NCMS000 VMIS3S0 NCMP000,lata de Whiskas sabor atún,de Whiskas sabor,lata de Whiskas,mismo lata de Whiskas,el mismo lata de Whiskas,Whiskas sabor atún,Whiskas sabor atún tener,Whiskas sabor atún tener incremento
http://www.ehui.com/2014/01/30/desde-enero-ya-es-mas-caro-alimentar-a-perros-y-gatos-a-causa-del-iva,ehui.com,2014-01-30,===NONE===,Whiskas/NP00000/whiskas,"Los  aumentos  más  bajos  de  la  lata  de Whiskas  de  atún  los  encontramos  en  una  Comercial  Mexicana  de  Tijuana  y  otra  del  DF  ,  donde  el  incremento  fue  de  5.45  %  (  pasó  de  11  a  11.60  )  ,  así  como  en  un  Walmart  de  Oaxaca  ,  donde  el  precio  subió  solo  5  %  (  de  10  a  10.50  pesos  )  .",whiskas,np00000,whiskas,de,de,SPS00,lata,lata,NCFS000,la,el,DA0FS0,de,de,SPS00,bajos,bajo,AQ0MP0,de,de,SPS00,atún,atún,NCMS000,los,lo,PP3MPA00,encontramos,encontrar,VMIP1P0,en,en,SPS00,2014-01-30,2014,2010,NCFS000 SPS00 Whiskas SPS00 NCMS000,SPS00 Whiskas SPS00,NCFS000 SPS00 Whiskas,DA0FS0 NCFS000 SPS00 Whiskas,SPS00 DA0FS0 NCFS000 SPS00 Whiskas,Whiskas SPS00 NCMS000,Whiskas SPS00 NCMS000 PP3MPA00,Whiskas SPS00 NCMS000 PP3MPA00 VMIP1P0,lata de Whiskas de atún,de Whiskas de,lata de Whiskas,el lata de Whiskas,de el lata de Whiskas,Whiskas de atún,Whiskas de atún lo,Whiskas de atún lo encontrar
http://www.ehui.com/2014/01/30/desde-enero-ya-es-mas-caro-alimentar-a-perros-y-gatos-a-causa-del-iva,ehui.com,2014-01-30,===NONE===,Whiskas/NP00000/whiskas,"CNNMéxico  compró  también  una  lata  de Whiskas  sabor  salmón  en  un  Soriana  de  Guadalajara  ,  y  este  alimento  para  gato  registró  un  aumento  de  16  %  al  pasar  de  11.50  a  13.35  pesos  .",whiskas,np00000,whiskas,de,de,SPS00,lata,lata,NCFS000,una,uno,DI0FS0,también,también,RG,compró,comprar,VMIS3S0,sabor,sabor,NCMS000,salmón,salmón,NCMS000,en,en,SPS00,un,uno,DI0MS0,Soriana,soriana,NP00000,2014-01-30,2014,2010,NCFS000 SPS00 Whiskas NCMS000 NCMS000,SPS00 Whiskas NCMS000,NCFS000 SPS00 Whiskas,DI0FS0 NCFS000 SPS00 Whiskas,RG DI0FS0 NCFS000 SPS00 Whiskas,Whiskas NCMS000 NCMS000,Whiskas NCMS000 NCMS000 SPS00,Whiskas NCMS000 NCMS000 SPS00 DI0MS0,lata de Whiskas sabor salmón,de Whiskas sabor,lata de Whiskas,uno lata de Whiskas,también uno lata de Whiskas,Whiskas sabor salmón,Whiskas sabor salmón en,Whiskas sabor salmón en uno
http://www.quo.es/ser-humano/mejores-fotos-2013-premios-sony/premio-sony,quo.es,2014-02-07,Spain,Whiskas/NP00000/whiskas,"""  Big  Cat  ,  Little  Cat  ""  es  una  campaña  publicitaria  de  comida  para  gatos Whiskas  .",whiskas,np00000,whiskas,gatos,gato,NCMP000,para,para,SPS00,comida,comida,NCFS000,de,de,SPS00,publicitaria,publicitario,AQ0FS0,.,.,Fp,,,,,,,,,,,,,2014-02-07,2014,2010,,NCMP000 Whiskas Fp,SPS00 NCMP000 Whiskas,NCFS000 SPS00 NCMP000 Whiskas,SPS00 NCFS000 SPS00 NCMP000 Whiskas,,,,,gato Whiskas .,para gato Whiskas,comida para gato Whiskas,de comida para gato Whiskas,,,
http://www.infobae.com/2014/02/07/1542263-novedades-del-sector-real-y-financiero,infobae.com,2014-02-08,Argentina,Whiskas/NP00000/whiskas,"Directivos  de  la  compañía  ,  que  produce  alimento  balanceado  para  mascotas  ,  con  sus  marcas  Pedigree  ,  Royal  Canin  y Whiskas  ;  y  chocolates  M  &  M  y  Snickers  ,  entre  otras  etiquetas  informaron  que  la  empresa  prevé  duplicar  su  capacidad  de  producción  en  su  planta  de  Mercedes  y  sumar  cerca  de  cien  empleados  .",whiskas,np00000,whiskas,y,y,CC,Canin,canin,NP00000,Royal,royal,NP00000,",",",",Fc,Pedigree,pedigree,NP00000,;,;,Fx,y,y,CC,chocolates,chocolate,NCMP000,M,m,NP00000,&,&,Fz,2014-02-08,2014,2010,NP00000 CC Whiskas Fx CC,CC Whiskas Fx,NP00000 CC Whiskas,NP00000 NP00000 CC Whiskas,Fc NP00000 NP00000 CC Whiskas,Whiskas Fx CC,Whiskas Fx CC NCMP000,Whiskas Fx CC NCMP000 NP00000,canin y Whiskas ; y,y Whiskas ;,canin y Whiskas,royal canin y Whiskas,", royal canin y Whiskas",Whiskas ; y,Whiskas ; y chocolate,Whiskas ; y chocolate m
http://www.eluniversal.com.mx/sociedad/2014/aclaran-10-mitos-de-los-gatos-988970.html,eluniversal.com.mx,2014-02-21,Mexico,Whiskas/NP00000/whiskas,"La  Dra.  Claudia  Edwards  Patiño  ,  médico  veterinario  zootecnista  ,  catedrática  de  la  UNAM  y  vocera  de Whiskas  enlista  algunas  de  las  creencias  más  comunes  ,  en  donde  se  explica  también  porqué  todas  ellas  son  sólo  mitos  :",whiskas,np00000,whiskas,de,de,SPS00,vocera,vocero,NCFS000,y,y,CC,UNAM,unam,NP00000,la,el,DA0FS0,enlista,enlista,NCCS000,algunas,alguno,PI0FP000,de,de,SPS00,las,el,DA0FP0,creencias,creencia,NCFP000,2014-02-21,2014,2010,NCFS000 SPS00 Whiskas NCCS000 PI0FP000,SPS00 Whiskas NCCS000,NCFS000 SPS00 Whiskas,CC NCFS000 SPS00 Whiskas,NP00000 CC NCFS000 SPS00 Whiskas,Whiskas NCCS000 PI0FP000,Whiskas NCCS000 PI0FP000 SPS00,Whiskas NCCS000 PI0FP000 SPS00 DA0FP0,vocero de Whiskas enlista alguno,de Whiskas enlista,vocero de Whiskas,y vocero de Whiskas,unam y vocero de Whiskas,Whiskas enlista alguno,Whiskas enlista alguno de,Whiskas enlista alguno de el
http://www.eluniversal.com.mx/sociedad/2014/aclaran-10-mitos-de-los-gatos-988970.html,eluniversal.com.mx,2014-02-21,Mexico,Whiskas/NP00000/whiskas,"En  la  actualidad  ,  un  gato  puede  estar  perfectamente  dentro  de  casa  sin  la  necesidad  de  salir  a  alimentarse  afuera  si  se  le  brinda  el  enriquecimiento  ambiental  suficiente  y  alimento  procesado  ,  como Whiskas  ,  para  estar  bien  nutrido  y  feliz  .",whiskas,np00000,whiskas,como,como,CS,",",",",Fc,procesado,procesar,VMP00SM,alimento,alimento,NCMS000,y,y,CC,",",",",Fc,para,para,SPS00,estar,estar,VAN0000,bien,bien,RG,nutrido,nutrir,VMP00SM,2014-02-21,2014,2010,Fc CS Whiskas Fc SPS00,CS Whiskas Fc,Fc CS Whiskas,VMP00SM Fc CS Whiskas,NCMS000 VMP00SM Fc CS Whiskas,Whiskas Fc SPS00,Whiskas Fc SPS00 VAN0000,Whiskas Fc SPS00 VAN0000 RG,", como Whiskas , para","como Whiskas ,",", como Whiskas","procesar , como Whiskas","alimento procesar , como Whiskas","Whiskas , para","Whiskas , para estar","Whiskas , para estar bien"
http://www.frontera.info/EdicionEnLinea/Notas/LoCurioso/20022014/810961-10-mitos-y-realidades-sobre-los-gatos.html,frontera.info,2014-02-21,Mexico,Whiskas/NP00000/whiskas,"<doc uri=http://www.frontera.info/EdicionEnLinea/Notas/LoCurioso/20022014/810961-10-mitos-y-realidades-sobre-los-gatos.html website=frontera.info date=2014-02-21 source_country=Mexico> /el/DA0FS0 /dra./NP00000 /claudia/NP00000 /edwards/NP00000 /patiã/NP00000 /±/Fz /o/CC /,/Fc /mã/NCFS000 /©/Fz /do/NCMS00D /veterinario/AQ0MS0 /zootecnista/NCCS000 /,/Fc /catedrã/NCFS000 /¡/Faa /tica/AQ0FS0 /de/SPS00 /el/DA0FS0 /unam/NP00000 /y/CC /vocero/NCFS000 /de/SPS00 Whiskas  enlista  algunas  de  las  creencias  mÃ  ¡  s  comunes  ,  en  donde  se  explica  tambiÃ  ©  n  porquÃ  ©  todas  ellas  son  sÃ3lo  mitos  : </doc>",whiskas,np00000,whiskas,de,de,SPS00,vocera,vocero,NCFS000,y,y,CC,UNAM,unam,NP00000,la,el,DA0FS0,enlista,enlista,NCCS000,algunas,alguno,PI0FP000,de,de,SPS00,las,el,DA0FP0,creencias,creencia,NCFP000,2014-02-21,2014,2010,NCFS000 SPS00 Whiskas NCCS000 PI0FP000,SPS00 Whiskas NCCS000,NCFS000 SPS00 Whiskas,CC NCFS000 SPS00 Whiskas,NP00000 CC NCFS000 SPS00 Whiskas,Whiskas NCCS000 PI0FP000,Whiskas NCCS000 PI0FP000 SPS00,Whiskas NCCS000 PI0FP000 SPS00 DA0FP0,vocero de Whiskas enlista alguno,de Whiskas enlista,vocero de Whiskas,y vocero de Whiskas,unam y vocero de Whiskas,Whiskas enlista alguno,Whiskas enlista alguno de,Whiskas enlista alguno de el
http://www.hidrocalidodigital.com/dinneg/articulo.php?idnota=67193,hidrocalidodigital.com,2014-04-09,Mexico,Whiskas/NP00000/whiskas,"La  división  de  alimentación  animal  de  P  &  G  incluye  algunas  marcas  muy  conocidas  ,  como  Eukanuba  ,  Iams  y  Nature  ,  que  se  unirán  a  otras  que  ya  tiene  Mars  Petcare  ,  como  Pedigree  , Whiskas  y  Royal  Canin  .",whiskas,np00000,whiskas,",",",",Fc,Pedigree,pedigree,NP00000,como,como,CS,",",",",Fc,Petcare,petcare,NP00000,y,y,CC,Royal,royal,NP00000,Canin,canin,NP00000,.,.,Fp,,,,2014-04-09,2014,2010,NP00000 Fc Whiskas CC NP00000,Fc Whiskas CC,NP00000 Fc Whiskas,CS NP00000 Fc Whiskas,Fc CS NP00000 Fc Whiskas,Whiskas CC NP00000,Whiskas CC NP00000 NP00000,Whiskas CC NP00000 NP00000 Fp,"pedigree , Whiskas y royal",", Whiskas y","pedigree , Whiskas","como pedigree , Whiskas",", como pedigree , Whiskas",Whiskas y royal,Whiskas y royal canin,Whiskas y royal canin .
http://www.oem.com.mx/eloccidental/notas/n3487876.htm,oem.com.mx,2014-08-01,Mexico,Whiskas/NP00000/whiskas,En  sus  marcas  figuran Whiskas  y  Pedigree  .,whiskas,np00000,whiskas,figuran,figurar,VMIP3P0,marcas,marca,NCFP000,sus,su,DP3CP0,En,en,SPS00,,,,y,y,CC,Pedigree,pedigree,NP00000,.,.,Fp,,,,,,,2014-08-01,2014,2010,NCFP000 VMIP3P0 Whiskas CC NP00000,VMIP3P0 Whiskas CC,NCFP000 VMIP3P0 Whiskas,DP3CP0 NCFP000 VMIP3P0 Whiskas,SPS00 DP3CP0 NCFP000 VMIP3P0 Whiskas,Whiskas CC NP00000,Whiskas CC NP00000 Fp,,marca figurar Whiskas y pedigree,figurar Whiskas y,marca figurar Whiskas,su marca figurar Whiskas,en su marca figurar Whiskas,Whiskas y pedigree,Whiskas y pedigree .,
