url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.eluniversal.com/internacional/140105/la-guerra-contra-los-alimentos-transgenicos-arrecia-en-eeuu,eluniversal.com,2014-01-05,Venezuela,Yoplait/NP00000/yoplait,"Sin  embargo  ,  la  compañía  ,  entre  cuyas  marcas  estrella  se  encuentran  los  helados  Haagen-Dazs  y  los  yogures Yoplait  ,  afirma  que  para  otras  variedades  de  Cheerios  no  podrán  eliminar  los  elementos  transgénicos  .",yoplait,np00000,yoplait,yogures,yogur,NCMP000,los,el,DA0MP0,y,y,CC,Haagen-Dazs,haagen-dazs,NP00000,helados,helado,NCMP000,",",",",Fc,afirma,afirmar,VMIP3S0,que,que,CS,para,para,SPS00,otras,otro,DI0FP0,2014-01-05,2014,2010,DA0MP0 NCMP000 Yoplait Fc VMIP3S0,NCMP000 Yoplait Fc,DA0MP0 NCMP000 Yoplait,CC DA0MP0 NCMP000 Yoplait,NP00000 CC DA0MP0 NCMP000 Yoplait,Yoplait Fc VMIP3S0,Yoplait Fc VMIP3S0 CS,Yoplait Fc VMIP3S0 CS SPS00,"el yogur Yoplait , afirmar","yogur Yoplait ,",el yogur Yoplait,y el yogur Yoplait,haagen-dazs y el yogur Yoplait,"Yoplait , afirmar","Yoplait , afirmar que","Yoplait , afirmar que para"
http://www.eleconomista.es/empresas-finanzas/noticias/5636839/03/14/Problemas-para-Starbucks-el-precio-del-cafe-y-la-leche-se-disparan-globalmente.html,eleconomista.es,2014-03-20,Spain,Yoplait/NP00000/yoplait,"General  Mills  Inc  ,  que  vende  el  yogur Yoplait  y  los  helados  Haagen-Dazs  ,  dijo  el  miércoles  que  su  negocio  de  yogures  fue  la  causa  principal  de  una  caída  del  11  %  en  el  beneficio  opreativo  de  su  segmento  minorista  en  Estados  Unidos  en  el  último  trimestre  .",yoplait,np00000,yoplait,yogur,yogur,NCMS000,el,el,DA0MS0,vende,vender,VMIP3S0,que,que,PR0CN000,",",",",Fc,y,y,CC,los,el,DA0MP0,helados,helado,NCMP000,Haagen-Dazs,haagen-dazs,NP00000,",",",",Fc,2014-03-20,2014,2010,DA0MS0 NCMS000 Yoplait CC DA0MP0,NCMS000 Yoplait CC,DA0MS0 NCMS000 Yoplait,VMIP3S0 DA0MS0 NCMS000 Yoplait,PR0CN000 VMIP3S0 DA0MS0 NCMS000 Yoplait,Yoplait CC DA0MP0,Yoplait CC DA0MP0 NCMP000,Yoplait CC DA0MP0 NCMP000 NP00000,el yogur Yoplait y el,yogur Yoplait y,el yogur Yoplait,vender el yogur Yoplait,que vender el yogur Yoplait,Yoplait y el,Yoplait y el helado,Yoplait y el helado haagen-dazs
http://www.europapress.es/andalucia/sevilla-00357/noticia-exabogado-jose-maria-ruiz-mateos-asegura-llamaba-zarrias-virrey-andalucia-20140421152642.html,europapress.es,2014-04-21,Spain,Yoplait/NP00000/yoplait,"Según  el  texto  de  su  declaración  ,  al  que  ha  tenido  acceso  Europa  Press  ,  Yvancos  ha  señalado  que  ""  sobre  el  año  2006  ,  2007  ,  incluso  2008  ""  ,  Ruiz-Mateos  le  contó  que  Zarrías  ""  le  ha  pedido  un  favor  ""  ,  en  concreto  que  compre  la  fábrica  de  yogurt Yoplait  de  Sevilla  ,  que  ""  se  la  quedó  Clesa  ""  ,  tras  lo  que  ""  le  pidió  que  hiciera  una  fábrica  en  la  antigua  Primayor  de  Jaén  ""  ,  ya  que  Zarrías  ""  era  de  Jaén  y  quería  hacer  algo  en  dicha  localidad  ""  .",yoplait,np00000,yoplait,yogurt,yogur,NCMS000,de,de,SPS00,fábrica,fábrica,NCFS000,la,el,DA0FS0,compre,comprar,VMSP3S0,de,de,SPS00,Sevilla,sevilla,NP00000,",",",",Fc,que,que,CS,"""","""",Fe,2014-04-21,2014,2010,SPS00 NCMS000 Yoplait SPS00 NP00000,NCMS000 Yoplait SPS00,SPS00 NCMS000 Yoplait,NCFS000 SPS00 NCMS000 Yoplait,DA0FS0 NCFS000 SPS00 NCMS000 Yoplait,Yoplait SPS00 NP00000,Yoplait SPS00 NP00000 Fc,Yoplait SPS00 NP00000 Fc CS,de yogur Yoplait de sevilla,yogur Yoplait de,de yogur Yoplait,fábrica de yogur Yoplait,el fábrica de yogur Yoplait,Yoplait de sevilla,"Yoplait de sevilla ,","Yoplait de sevilla , que"
http://www.cadenaser.com/sociedad/articulo/zarrias-era-virrey-andalucia-ruiz-mateos/csrcsrpor/20140421csrcsrsoc_5/Tes,cadenaser.com,2014-04-21,Spain,Yoplait/NP00000/yoplait,"Joaquín  Yvancos  ,  el  que  fue  durante  años  abogado  de  la  familia  Ruiz  Mateos  ,  imputado  en  los  ERE  ,  le  ha  dicho  a  la  jueza  Alaya  que  José  María  Ruiz  Mateos  le  contó  que  Gaspar  Zarrías  ,  el  diputado  que  fue  vicepresidente  de  la  Junta  ,  le  pidió  como  favor  que  comprara  la  fábrica  de  yogures Yoplait  de  Sevilla  y  que  hiciera  una  fábrica  en  Jaén  en  la  antigua  empresa  Primayor  .",yoplait,np00000,yoplait,yogures,yogur,NCMP000,de,de,SPS00,fábrica,fábrica,NCFS000,la,el,DA0FS0,comprara,comprar,VMSI3S0,de,de,SPS00,Sevilla,sevilla,NP00000,y,y,CC,que,que,PR0CN000,hiciera,hacer,VMSI3S0,2014-04-21,2014,2010,SPS00 NCMP000 Yoplait SPS00 NP00000,NCMP000 Yoplait SPS00,SPS00 NCMP000 Yoplait,NCFS000 SPS00 NCMP000 Yoplait,DA0FS0 NCFS000 SPS00 NCMP000 Yoplait,Yoplait SPS00 NP00000,Yoplait SPS00 NP00000 CC,Yoplait SPS00 NP00000 CC PR0CN000,de yogur Yoplait de sevilla,yogur Yoplait de,de yogur Yoplait,fábrica de yogur Yoplait,el fábrica de yogur Yoplait,Yoplait de sevilla,Yoplait de sevilla y,Yoplait de sevilla y que
http://www.larazon.es/detalle_normal/noticias/6168023/portada/zarrias-virrey-de-andalucia-en-el-reparto-de-ayudas,larazon.es,2014-04-23,Spain,Yoplait/NP00000/yoplait,"Yvancos  apuntó  ""  que  sobre  el  año  2006  ,  2007  ,  e  incluso  2008  ""  ,  el  padre  de  la  familia  le  contó  que  Zarrías  le  pidió  ""  un  favor  ""  :  comprar  la  fábrica  de  yogures Yoplait  en  Sevilla  .",yoplait,np00000,yoplait,yogures,yogur,NCMP000,de,de,SPS00,fábrica,fábrica,NCFS000,la,el,DA0FS0,comprar,comprar,VMN0000,en,en,SPS00,Sevilla,sevilla,NP00000,.,.,Fp,,,,,,,2014-04-23,2014,2010,SPS00 NCMP000 Yoplait SPS00 NP00000,NCMP000 Yoplait SPS00,SPS00 NCMP000 Yoplait,NCFS000 SPS00 NCMP000 Yoplait,DA0FS0 NCFS000 SPS00 NCMP000 Yoplait,Yoplait SPS00 NP00000,Yoplait SPS00 NP00000 Fp,,de yogur Yoplait en sevilla,yogur Yoplait en,de yogur Yoplait,fábrica de yogur Yoplait,el fábrica de yogur Yoplait,Yoplait en sevilla,Yoplait en sevilla .,
http://www.20minutos.es/noticia/2182353/0/80-empresarios-santander-participan-coloquio-con-emilio-duro-organizado-por-caixabank/,20minutos.es,2014-07-10,Spain,Yoplait-ATO/NP00000/yoplait-ato,"Además  ,  es  ex  directivo  de  empresas  nacionales  e  internacionales  como  Coopers  &  Lybrand  ,  Martini  &  Rossi  y Yoplait-ATO  y  es  miembro  del  consejo  de  administración  de  varias  empresas  .",yoplait-ato,np00000,yoplait-ato,y,y,CC,Rossi,rossi,NP00000,&,&,Fz,Martini,martini,NP00000,",",",",Fc,y,y,CC,es,ser,VSIP3S0,miembro,miembro,NCMS000,del,de+el,SPS00+DA0MS0,consejo,consejo,NCMS000,2014-07-10,2014,2010,NP00000 CC Yoplait CC VSIP3S0,CC Yoplait CC,NP00000 CC Yoplait,Fz NP00000 CC Yoplait,NP00000 Fz NP00000 CC Yoplait,Yoplait CC VSIP3S0,Yoplait CC VSIP3S0 NCMS000,Yoplait CC VSIP3S0 NCMS000 SPS00+DA0MS0,rossi y Yoplait y ser,y Yoplait y,rossi y Yoplait,& rossi y Yoplait,martini & rossi y Yoplait,Yoplait y ser,Yoplait y ser miembro,Yoplait y ser miembro de+el
http://www.cnnexpansion.com/negocios/2014/07/09/nom-012-elevaria-precio-alimentos-y-gas,cnnexpansion.com,2014-07-12,Mexico,Yoplait/NP00000/yoplait,"Sigma  alimentos  ,  fabricante  de  las  marcas  San  Rafael  ,  La  Villita  ,  Nochebuena  , Yoplait  ,  Fud  ,  Guten  y  Café  Olé  ,  entre  otros  ,  indicó  que  la  limitación  generaría  la  necesidad  de  aumentar  los  precios  de  sus  productos  hasta  2.2  %  .",yoplait,np00000,yoplait,",",",",Fc,Nochebuena,nochebuena,NP00000,",",",",Fc,Villita,villita,NP00000,La,la,NP00000,",",",",Fc,Fud,fud,NP00000,",",",",Fc,Guten,guten,NP00000,y,y,CC,2014-07-12,2014,2010,NP00000 Fc Yoplait Fc NP00000,Fc Yoplait Fc,NP00000 Fc Yoplait,Fc NP00000 Fc Yoplait,NP00000 Fc NP00000 Fc Yoplait,Yoplait Fc NP00000,Yoplait Fc NP00000 Fc,Yoplait Fc NP00000 Fc NP00000,"nochebuena , Yoplait , fud",", Yoplait ,","nochebuena , Yoplait",", nochebuena , Yoplait","villita , nochebuena , Yoplait","Yoplait , fud","Yoplait , fud ,","Yoplait , fud , guten"
http://www.elnuevodia.com/nuevavariedaddeyoguresgongelados-1842490.html,elnuevodia.com,2014-08-31,Puerto Rico,Yoplait/NP00000/yoplait,"General  Mills  y  su  yogur Yoplait  presentan  las  innovaciones  de  sabor  de  Go-Gurt  ,  el  primer  yogur  bajo  en  grasa  en  un  tubo  portÃ  ¡  til  ,  que  permite  merendar  sobre  la  marcha  de  manera  saludable  y  divertida  .",yoplait,np00000,yoplait,yogur,yogur,NCMS000,su,su,DP3CS0,y,y,CC,Mills,mills,NP00000,General,general,NP00000,presentan,presentar,VMIP3P0,las,el,DA0FP0,innovaciones,innovación,NCFP000,de,de,SPS00,sabor,sabor,NCMS000,2014-08-31,2014,2010,DP3CS0 NCMS000 Yoplait VMIP3P0 DA0FP0,NCMS000 Yoplait VMIP3P0,DP3CS0 NCMS000 Yoplait,CC DP3CS0 NCMS000 Yoplait,NP00000 CC DP3CS0 NCMS000 Yoplait,Yoplait VMIP3P0 DA0FP0,Yoplait VMIP3P0 DA0FP0 NCFP000,Yoplait VMIP3P0 DA0FP0 NCFP000 SPS00,su yogur Yoplait presentar el,yogur Yoplait presentar,su yogur Yoplait,y su yogur Yoplait,mills y su yogur Yoplait,Yoplait presentar el,Yoplait presentar el innovación,Yoplait presentar el innovación de
http://www.elnuevodia.com/nuevavariedaddeyoguresgongelados-1842490.html,elnuevodia.com,2014-08-31,Puerto Rico,Yoplait/NP00000/yoplait,"Por  fortuna  ,  todos  los  yogures  de Yoplait  para  niÃ  ±  os  tienen  al  menos  10  %  del  valor  diario  recomendado  de  calcio  y  vitamina  D  ,  que  ayuda  a  la  absorciÃ3n  de  calcio  .",yoplait,np00000,yoplait,de,de,SPS00,yogures,yogur,NCMP000,los,el,DA0MP0,todos,todo,DI0MP0,",",",",Fc,para,para,SPS00,niÃ,niã,NCFS000,±,±,Fz,os,os,PP2CP000,tienen,tener,VMIP3P0,2014-08-31,2014,2010,NCMP000 SPS00 Yoplait SPS00 NCFS000,SPS00 Yoplait SPS00,NCMP000 SPS00 Yoplait,DA0MP0 NCMP000 SPS00 Yoplait,DI0MP0 DA0MP0 NCMP000 SPS00 Yoplait,Yoplait SPS00 NCFS000,Yoplait SPS00 NCFS000 Fz,Yoplait SPS00 NCFS000 Fz PP2CP000,yogur de Yoplait para niã,de Yoplait para,yogur de Yoplait,el yogur de Yoplait,todo el yogur de Yoplait,Yoplait para niã,Yoplait para niã ±,Yoplait para niã ± os
http://www.eleconomista.es/economia-eAm-argentina/noticias/6103735/09/14/Las-multinacionales-alimenticias-y-la-industria-de-las-bebidas-en-la-Argentina.html,eleconomista.es,2014-09-24,Spain,Yoplait/NP00000/yoplait,"La  cuarta  es  General  Mills  Inc  (  Estados  Unidos  ,  1866  )  ,  procesa  alimentos  y  gestiona  un  gran  número  de  famosas  empresas  como  Gigante  Verde  ,  Haagen-Daz  ,  Pillsbury  ,  Betty  Corcker  , Yoplait  ,  Totinos  ,  Chererios  y  Trix  .",yoplait,np00000,yoplait,",",",",Fc,Corcker,corcker,NP00000,Betty,betty,NP00000,",",",",Fc,Pillsbury,pillsbury,NP00000,",",",",Fc,Totinos,totinos,NP00000,",",",",Fc,Chererios,chererios,NP00000,y,y,CC,2014-09-24,2014,2010,NP00000 Fc Yoplait Fc NP00000,Fc Yoplait Fc,NP00000 Fc Yoplait,NP00000 NP00000 Fc Yoplait,Fc NP00000 NP00000 Fc Yoplait,Yoplait Fc NP00000,Yoplait Fc NP00000 Fc,Yoplait Fc NP00000 Fc NP00000,"corcker , Yoplait , totinos",", Yoplait ,","corcker , Yoplait","betty corcker , Yoplait",", betty corcker , Yoplait","Yoplait , totinos","Yoplait , totinos ,","Yoplait , totinos , chererios"
